"alg-geom/9611012","Lothar Goettsche","Lothar G\""ottsche and Rahul Pandharipande","The quantum cohomology of blow-ups of P^2 and enumerative geometry","AMS-LaTeX, 26 pages",,,,"alg-geom math.AG",,"  We compute the Gromov-Witten invariants of the projective plane blown up in r
general points. These are determined by associativity from r+1 intial values.
Applications are given to the enumeration of rational plane curves with
prescribed multiplicities at fixed general points. We show that the numbers are
enumerative if at least one of the prescribed multiplicities is 1 or 2. In
particular, all the invariants for r<=8 (the Del Pezzo case) are enumerative.
","[{""version"":""v1"",""created"":""Mon, 11 Nov 1996 15:39:30 GMT""}]","2008-02-03"
"cond-mat/9611073","Yury Krotov","Yu.A.Krotov, D.-H.Lee, and Steven G.Louie","Low Energy Properties of the (n,n) Carbon Nanotubes","5pages, 2eps figures, one reference added, final version, accepted to
  PRL",,"10.1103/PhysRevLett.78.4245",,"cond-mat.str-el",,"  According to band theory, an ideal undoped (n,n) carbon nanotube is metallic.
We show that the electron-electron interaction causes it to become Mott
insulating with a spin gap. More interestingly, upon doping it develops
superconducting fluctuations.
","[{""version"":""v1"",""created"":""Mon, 11 Nov 1996 02:47:24 GMT""},{""version"":""v2"",""created"":""Tue, 22 Apr 1997 22:37:27 GMT""}]","2009-10-28"
"cond-mat/9611074","Janne Ruostekoski","Janne Ruostekoski and Dan F. Walls","Phase dependent spectrum of scattered light from two Bose condensates","14 pages, 1 postscript figure","Phys. Rev. A 55 (1997) 3625","10.1103/PhysRevA.55.3625",,"cond-mat",,"  We calculate the spectrum of the scattered light from quantum degenerate
atomic gases obeying Bose-Einstein statistics. The atoms are assumed to occupy
two ground states which are optically coupled through a common excited state by
two low intensity off-resonant light beams. In the presence of a Bose
condensate in both ground states, the atoms may exhibit light induced
oscillations between the two condensates analogous to the Josephson effect. The
spectrum of the scattered light is calculated in the limit of a low oscillation
frequency. In the spectrum we are able to observe qualitative features
depending on the phase difference between the macroscopic wave functions of the
two condensates. Thus, our optical scheme could possibly be used as an
experimental realization of the spontaneous breakdown of the U(1) gauge
symmetry in the Bose-Einstein condensation.
","[{""version"":""v1"",""created"":""Mon, 11 Nov 1996 03:56:13 GMT""},{""version"":""v2"",""created"":""Mon, 25 Nov 1996 08:42:00 GMT""}]","2009-10-28"
"cond-mat/9611075","Leo Radzihovsky","Leo Radzihovsky","Entropically driven reentrant SmC-SmA-SmC phase transition in composite
  polymer--liquid crystal systems","4 RevTeX pgs, 2 eps figures included, to appear in Europhys. Lett",,"10.1209/epl/i1996-00274-6",,"cond-mat.soft",,"  I consider the effects of polymers on the smectic phase of a host liquid
crystal matrix. Focusing on the regime in which the polymers are predominately
confined between the smectic layers, I find that the presence of the polymers
can lead to a reentrant phase diagram with the smectic-C sandwiching the
smectic-A phase from both the high and low temperature sides. Simple
entropy-energy arguments predict the shape of the reentrant phase boundary.
","[{""version"":""v1"",""created"":""Mon, 11 Nov 1996 03:07:13 GMT""}]","2009-10-28"
"cond-mat/9611076","Andrew Chubykalo","A. E. Chubykalo, D. A. Contreras-Solorio and M. E. Mora-Ramos
  (Universidad Aut\'onoma de Zacatecas)","Polar optical phonons at $GaAs|Al_{(x)}Ga_{(1-x)}As$ interfaces:
  influence of the concentration of Al","ReVTeX file, 9pp., 6 figures available on request",,,"EFUAZ FT-96-36","cond-mat",,"  We study long-wavelength polar optical modes at semiconductor interfaces of
GaAs|Al_{(x)}Ga_{(1-x)}As and take into account influence of the Al
concentration. We have considered two cases in which the interface is kept at
unfixed and fixed electrostatic potential. The spectrum of excitation then
shows existence of localized and resonant modes to depend on the concentration
of Al. For the case of a fixed electrostatic potential, a splitting of the
resonant mode near the transverse threshold is found for certain ranges of the
concentration x. The existence of these modes has been obtained by computing
the spectral strength through the Surface Green Function Matching (SGFM)
method.
","[{""version"":""v1"",""created"":""Mon, 11 Nov 1996 05:39:28 GMT""}]","2007-05-23"
"cond-mat/9611077","Ute Loew","Klaus Fabricius, Ute L\""ow, Joachim Stolze","Dynamic correlations of antiferromagnetic spin-1/2 XXZ chains at
  arbitrary temperature from complete diagonalization","30 pages, REVTEX, 21 figures, to appear in Physical Review B",,"10.1103/PhysRevB.55.5833",,"cond-mat.stat-mech",,"  All eigenstates and eigenvalues are determined for the spin- 1/2 $XXZ$ chain
$H = 2J \sum_i ( S_{i}^{x} S_{i + 1}^{x} + S_{i}^{y} S_{i + 1}^{y} + \Delta
S_i^z S_{i + 1}^{z})$ for rings with up to N=16 spins, for anisotropies
$\Delta=0 , \cos(0.3\pi)$, and 1. The dynamic spin pair correlations $<
S_{l+n}^{\mu}(t) S_l^{\mu} > , (\mu=x,z)$, the dynamic structure factors
$S^{\mu}(q,\omega)$, and the intermediate structure factors $I^{\mu}(q,t)$ are
calculated for arbitrary temperature T. It is found, that for all T,
$S^{z}(q,\omega)$ is mainly concentrated on the region $|\omega| <
\varepsilon_2(q)$, where $\varepsilon_2(q)$ is the upper boundary of the
two-spinon continuum, although excited states corresponding to a much broader
frequency spectrum contribute. This is also true for the Haldane-Shastry model
and the frustrated Heisenberg model. The intermediate structure factors
$I^{\mu}(q,t)$ for $\Delta \neq 0$ show exponential decay for high T and large
q. Within the accessible time range, the time-dependent spin correlation
functions do not display the long-time signatures of spin diffusion.
","[{""version"":""v1"",""created"":""Mon, 11 Nov 1996 09:51:01 GMT""}]","2016-08-31"
"cond-mat/9611079","Oppen Felix","Felix von Oppen, Ady Stern","Current noise, electron-electron interactions, and quantum interference","4 pages, LaTex, 2 PostScript figures included",,,,"cond-mat.mes-hall",,"  It is shown that electron-electron interactions lead to a novel
quantum-interference contribution to non-equilibrium current noise in
mesoscopic conductors. The corresponding noise spectrum is obtained in detail
for diffusive systems. It is found to be quadratic in the applied voltage and
to exhibit a power-law frequency spectrum whose exponent depends on the
dimensionality of the sample.
","[{""version"":""v1"",""created"":""Mon, 11 Nov 1996 11:32:29 GMT""}]","2008-02-03"
"cond-mat/9611080","Nigel Cooper","N.R. Cooper","Skyrmions in Quantum Hall Systems with Realistic Force-Laws","5 pages, 3 ps-figures, revtex with epsf.tex and multicol.sty. To
  appear in Physical Review B","Phys. Rev. B 55, 1934 (1997)","10.1103/PhysRevB.55.R1934","ILL PREPR. 96CO5056","cond-mat.mes-hall",,"  We study the charged excitations of quantum Hall systems at integer filling
fractions $\nu=2n+1$, for a force-law that takes account of the finite width of
the electron gas. For typical values of this width, in the limit of vanishing
Zeeman energy we find that the low-energy excitations are ``skyrmions'' not
only at $\nu=1$ but also at higher filling fractions. Our results lead to the
prediction that, in typical samples, abrupt transitions to charged excitations
with very large spins should be observable at filling fractions higher than
$\nu=1$ if the Zeeman energy is reduced sufficiently.
","[{""version"":""v1"",""created"":""Mon, 11 Nov 1996 13:02:28 GMT""}]","2009-10-28"
"cond-mat/9611081","Andrei S. Mishchenko","Yu. Kagan, K. A. Kikoin, A. S. Mishchenko (RRC ""Kurchatov Institute"")","Interplay between Heavy Fermions and Crystal Field Excitation in Kondo
  Lattices. Low-Temperature Thermodynamics and Inelastic Neutron Scattering
  Spectra of CeNiSn","24 pages (LaTeX), 12 Postscript figures, submitted to Phys.Rev. B",,"10.1103/PhysRevB.55.12348","IAE-5717/1","cond-mat.str-el",,"  The microscopic theory of interaction between the heavy fermions and the
crystal field excitations in Kondo lattices is presented. It is shown that the
heavy-fermion spectrum scaled by the Kondo temperature $T_K$ can be modified by
the crystal field excitations with the energy $\Delta_{CF}$ provided the
inequality $\Delta_{CF}<T_K$ is realized. On the base of general description of
excitation spectrum the detailed qualitative and quantitative explanation of
anisotropic inelastic neutron scattering spectra and low-temperature specific
heat of orthorhombic CeNiSn is given. The theory resolves the apparent
contradiction between the metallic conductivity and the gap-wise behavior of
thermodynamic properties and spin response of CeNiSn at low temperatures.
","[{""version"":""v1"",""created"":""Mon, 11 Nov 1996 15:01:58 GMT""}]","2009-10-28"
"dg-ga/9611002","Viktor Ginzburg","Viktor L. Ginzburg","Equivariant Poisson Cohomology and a Spectral Sequence Associated with a
  Moment Map","AMS-LaTeX, 32 pages",,,,"dg-ga math.DG",,"  We introduce and study a new spectral sequence associated with a Poisson
group action on a Poisson manifold and an equivariant momentum mapping. This
spectral sequence is a Poisson analog of the Leray spectral sequence of a
fibration. The spectral sequence converges to the Poisson cohomology of the
manifold and has the $E_2$-term equal to the tensor product of the cohomology
of the Lie algebra and the equivariant Poisson cohomology of the manifold. The
latter is defined as the equivariant cohomology of the multi-vector fields made
into a G-differential complex by means of the momentum mapping. An extensive
introduction to equivariant cohomology of G-differential complexes is given
including some new results and a number of examples and applications are
considered.
","[{""version"":""v1"",""created"":""Mon, 11 Nov 1996 10:14:12 GMT""},{""version"":""v2"",""created"":""Tue, 12 Nov 1996 02:29:05 GMT""}]","2008-02-03"
"gr-qc/9611023","R. P. Lano","R. P. Lano","Gravitational Phase Transition in Neutron Stars","19 pages, standard LaTeX",,,"IISC-CTS-18/96","gr-qc astro-ph hep-th",,"  The possibility of a gravitational phase transition, especially with respect
to neutron stars is investigated. First, a semiclassical treatment is given,
predicting a gravitational London penetration depth of 12km for neutron stars.
Second, the problem is considered from a Ginzburg-Landau point of view. A
gravitational Meissner effect, a gravitational Aharanov-Bohm type effect and a
gravitational ferromagnetic type phase are predicted. Finally, a field
theoretic consideration predicts a mass term for the graviton below a certain
critical temperature.
","[{""version"":""v1"",""created"":""Sun, 10 Nov 1996 19:54:36 GMT""}]","2007-05-23"
"gr-qc/9611024","Radu Ionicioiu","Radu Ionicioiu (DAMTP, University of Cambridge, UK)","Building Blocks in Turaev-Viro Theory","19 pages, LaTeX, 4 Postscript figures, uses epsf; minor correction",,,"DAMTP/96-94","gr-qc",,"  We study the form of the Turaev-Viro partition function Z(M) for different
3-manifolds with boundary. We show that for $S^2$ boundaries Z(M) factorizes
into a term which contains the boundary dependence and another which depends
only on the topology of the underlying manifold. From this follows easily the
formula for the connected sum of two manifolds Z(M # N). For general $T_g$
boundaries this factorization holds only in a particular case.
","[{""version"":""v1"",""created"":""Sun, 10 Nov 1996 20:26:11 GMT""},{""version"":""v2"",""created"":""Mon, 2 Dec 1996 11:57:32 GMT""}]","2008-02-03"
"gr-qc/9611025","Lior M. Burko","Lior M. Burko","QED blue-sheet effects inside black holes","6 pages, LaTeX. To appear in Phys. Rev. D","Phys.Rev.D55:2105-2109,1997","10.1103/PhysRevD.55.2105",,"gr-qc",,"  The interaction of the unboundedly blue-shifted photons of the cosmic
microwave background radiation with a physical object falling towards the inner
horizon of a Reissner-Nordstrom black hole is analyzed. To evaluate this
interaction we consider the QED effects up to the second order in the
perturbation expansion. We then extrapolate the QED effects up to a cutoff,
which we introduce at the Planckian level. (Our results are not sensitive to
the cutoff energy.) We find that the energy absorbed by an infalling observer
is finite, and for typical parameters would not lead to a catastrophic heating.
However, this interaction would almost certainly be fatal for a human being, or
other living organism of similar size. On the other hand, we find that smaller
objects may survive the interaction. Our results do not provide support to the
idea that the Cauchy horizon is to be regarded as the boundary of spacetime.
","[{""version"":""v1"",""created"":""Mon, 11 Nov 1996 14:08:32 GMT""},{""version"":""v2"",""created"":""Mon, 18 Nov 1996 09:38:09 GMT""}]","2014-11-17"
"gr-qc/9611026","Madore","J. Madore","Classical Gravity on Fuzzy Space-Time","Lecture given at the 30th International Symposium Ahrenshoop on the
  Theory of Elementary Particles, Buckow, Germany, August 27-31, 1996; 11 Pages
  LaTex","Nucl.Phys.Proc.Suppl. 56B (1997) 183-190","10.1016/S0920-5632(97)00325-3",,"gr-qc hep-th",,"  A review is made of recent efforts to find relations between the commutation
relations which define a noncommutative geometry and the gravitational field
which remains as a shadow in the commutative limit.
","[{""version"":""v1"",""created"":""Mon, 11 Nov 1996 11:11:33 GMT""}]","2009-10-28"
"hep-lat/9611012","Gabor Papp","Romuald A. Janik, Maciej A. Nowak, Gabor Papp and Ismail Zahed","The U(1) Problem in Chiral Random Matrix Models","ReVTaeX, 9 pages with 2 EPS figures. Uses the feynmf package version
  1.0 for Feynman graphs","Nucl.Phys. B498 (1997) 313-330","10.1016/S0550-3213(97)00265-4",,"hep-lat",,"  We show that conventional asymmetric chiral random matrix models (ChRMM),
with a gaussian distribution in the asymmetry, provide for a screening of the
topological charge and a resolution of the $U(1)$ problem in the unquenched
approximation. Our exact results to order $1/N$ are in agreement with numerical
estimates using large ensembles of asymmetric ChRMM with gaussian
distributions.
","[{""version"":""v1"",""created"":""Sun, 10 Nov 1996 23:12:11 GMT""}]","2009-10-28"
"hep-lat/9611013","Li Jian-ming","Jianming Li, Xingchang Song, Ke Wu","Wilson--Yukawa Chiral Model on Lattice and Non-commutative Geometry","16 pages, Latex",,,"AS-ITP-96-32","hep-lat hep-th",,"  Based upon the mathematical formulas of Lattice gauge theory and
non-commutative geometry differential calculus, we developed an approach of
generalized gauge theory on a product of the spacetime lattice and the two
discrete points(or a $Z_2$ discrete group). We introduce a differentiation for
non-nearest-neighbour points and find that this differentiation may lead to the
introduction of Wilson term in the free fermion Lagrangian on lattice. The
Wilson-Yukawa chiral model on lattice is constructed by the generalized gauge
theory and a toy model and Smit-Swift model are studied.
","[{""version"":""v1"",""created"":""Mon, 11 Nov 1996 08:31:14 GMT""}]","2007-05-23"
"hep-ph/9611277",,"Zurab Berezhiani and Zurab Tavartkiladze (INFN Ferrara)","Anomalous U(1) symmetry and missing doublet SU(5) model","16 pages, LATEX, no figures","Phys.Lett.B396:150-160,1997","10.1016/S0370-2693(97)00122-6","INFN-FE 13/96","hep-ph hep-th",,"  We present the supersymmetric $SU(5)$ models which provide a simple ``all
order'' solution to the doublet-triplet splitting problem through the missing
doublet mechanism. The crucial role is played by the anomalous $U(1)_A$ gauge
symmetry and no additional discrete or global symmetries are needed.
Remarkably, such models can be realized even if the 75-plet Higgs is replaced
by the standard 24-plet. The same $U(1)_A$ symmetry can also guarantee an exact
or approximate conservation of R parity, by suppressing the B and L violating
operators to the needed level. The neutrino masses and the proton decay via
$d=5$ operators are also examined. We also extend the model by incorporating
$U(1)_A$ as a horizontal symmetry for explaining the fermion mass and mixing
hierarchy. Interestingly, in this scheme the necessary mild violation of the
troublesome $SU(5)$ degeneracy between the down quark and the charged lepton
masses can be induced by certain R-parity violating operators.
","[{""version"":""v1"",""created"":""Mon, 11 Nov 1996 00:35:39 GMT""}]","2008-11-26"
"hep-ph/9611289","Uma Mahanta","Uma Mahanta","Non-commuting ETC corrections to zt\bar{t} vertex","zt\bar{t} vertex corrections are calculated both in the heavy and
  light cases of non-commuting ETC","Phys.Rev. D55 (1997) 5848-5850","10.1103/PhysRevD.55.5848","MRI-PHY-96-22","hep-ph",,"  In this paper we calculate the corrections to zt\bar {t} couplings induced by
non-commuting ETC interactions. The extra parameters \delgbl, s^2 and {1\over
x} of non-commuting ETC models and the usual SM parameters will be be assumed
to be determined from a global fit to the LEP 1 EW data. We find that in the
heavy (light) case F^t_L is modified by at most 4% (2.8%) relative to its SM
value provided \delrb < .0088. This implies that it will be very difficult to
disentangle the ETC corrections from SM corrections to zt\bar {t} vertex or to
probe the effects of non-commuting ETC on zt\bar {t} couplings with the
projected NLC precision of measuring them.
","[{""version"":""v1"",""created"":""Sun, 10 Nov 1996 20:02:11 GMT""}]","2009-10-30"
"hep-ph/9611291","Bhaskar Dutta","N. G. Deshpande, B. Dutta and E. Keith","Lepton flavor violation and electric dipole moments from an intermediate
  scale in SUSY grand unification","3 pages, uses sprocl.sty, To be published in the proceedings of 1996
  Annual Divisional Meeting (DPF96) of the Division of Particles and Fields of
  the American Physical Society, Minneapolis, MN, 10-15 Aug 1996",,,"OITS-606, UCRHEP-T178","hep-ph",,"  We show how an intermediate gauge symmetry breaking scale can be a source of
lepton flavor violation and EDM of electron and neutron in SUSY GUTs. The
Universal soft supersymmetry breaking operators can be introduced at the GUT
scale or above.
","[{""version"":""v1"",""created"":""Mon, 11 Nov 1996 00:53:39 GMT""}]","2007-05-23"
"hep-ph/9611292","Chao-ran Hu","C.R. Hu and B. Muller (Duke University)","Classical Lattice Gauge Fields with Hard Thermal Loops","11 pages, plain latex file, with major revisions to include details
  on the algorithm","Phys.Lett.B409:377-381,1997","10.1016/S0370-2693(97)00851-4","DUKE-TH-96-133","hep-ph hep-lat",,"  We propose a formulation of the long-distance dynamics of gauge theories at
finite temperature on a lattice in Minkowski space, including the effects of
hard thermal loops on the dynamics of the long wavelength modes. Our approach
is based on the dual classical limits of quantum fields as waves and particles
in the infrared and ultraviolet limits, respectively. It exhibits manifest
invariance under space-dependent lattice gauge transformations and conserves
Gauss' law.
","[{""version"":""v1"",""created"":""Mon, 11 Nov 1996 01:54:02 GMT""},{""version"":""v2"",""created"":""Fri, 15 Nov 1996 22:54:47 GMT""},{""version"":""v3"",""created"":""Wed, 14 May 1997 20:17:56 GMT""}]","2008-11-26"
