"alg-geom/9611018","H. Esnault","H\'el\`ene Esnault","Algebraic Differential Characters","Latex 2e",,,,"alg-geom math.AG",,"  We give a construction of algebraic differential characters, receiving
classes of algebraic bundles with connection, lifitng the Chern-Simons
invariants defined with S. Bloch, the classes in the Chow group and the
analytic secondary invariants if the variety is defined over the field of
complex numbers.
","[{""version"":""v1"",""created"":""Fri, 15 Nov 1996 14:05:02 GMT""}]","2008-02-03"
"cond-mat/9611116","Luis Manuel","L. O. Manuel, C. J. Gazza, A. E. Trumper and H. A. Ceccatto (IFIR -
  CONICET, Rosario, Argentina)","Heisenberg model with Dzyaloshinskii-Moriya interaction: A Schwinger
  boson study","9 text pages, Latex, 10 figures included as eps files, to appear in
  Phys. Rev. B",,"10.1103/PhysRevB.54.12946",,"cond-mat.stat-mech",,"  We present a Schwinger-boson approach to the Heisenberg model with
Dzyaloshinskii-Moriya interaction. We write the anisotropic interactions in
terms of Schwinger bosons keeping the correct symmetries present in the spin
representation, which allows us to perform a conserving mean-field
approximation. Unlike previous studies of this model by linear spin-wave
theory, our approach takes into account magnon-magnon interactions and includes
the effects of three-boson terms characteristic of noncollinear phases. The
results reproduce the linear spin-wave predictions in the semiclassical large-S
limit, and show a small renormalization in the strong quantum limit S=1/2. For
the sake of definiteness, we specialize the calculations for the pattern of
Moriya vectors corresponding to the orthorhombic phase in La_2CuO_4, and give a
fairly detailed account of the behavior of ground-state energy, anisotropy gap,
and net ferromagnetic moment. In the last part of this work we generalize our
approach to describe the geometry of the intermediate phase in
La_{2-x}Nd_xCuO_4, and discuss the effects of including nondegenerate 2p_z
oxygen orbitals in the calculations.
","[{""version"":""v1"",""created"":""Thu, 14 Nov 1996 22:42:28 GMT""}]","2009-10-28"
"cond-mat/9611118",,"C.P. Burgess and C.A. Lutken","One-Dimensional Flows in the Quantum Hall System","17 pages of TeX","Nucl.Phys. B500 (1997) 367-378","10.1016/S0550-3213(97)00318-0",,"cond-mat.mes-hall hep-th",,"  We construct the c-function whose gradient determines the RG flow of the
conductivities (sigma_xy and sigma_xx) for a quantum Hall system, subject to
two assumptions. (1) We take the flow to be invariant with respect to the
infinite discrete symmetry group, recently proposed by several workers to
explain the `superuniversality' of the delocalization exponents in these
systems. (2) We also suppose the flow to be `quasi-holomorphic' (which we make
precise) in the sense that it is as close as possible to a one-dimensional flow
in the complex parameter sigma_xy +i sigma_xx. These assumptions together with
the known asymptotic behaviour for large sigma_xx, completely determine the
c-function, and so the phase diagram, for these systems. A complete description
of the RG flow also requires a metric in addition to the c-function, and we
identify the features which are required for this by the RG. A similar
construction produces the c-function for other systems enjoying an infinite
discrete symmetry, such as for supersymmetric QED.
","[{""version"":""v1"",""created"":""Fri, 15 Nov 1996 11:58:56 GMT""}]","2009-10-28"
"cond-mat/9611119","Despa Florin","F. Despa","On the Imbalance of the Dielectric Constant of the
  PbLixNb3xZr0.51Ti0.49-4xO3 Compound","IC/IR/96/20 ICTP-Trieste preprint, latex file, one figure upon
  request",,,,"cond-mat.mtrl-sci",,"  In the present paper, the dielectric behaviour of the
PbLixNb3xZr0.51Ti0.49-4xO3 ( PLNZT) system is analyzed. It is shown that the
decrease in the dielectric constant with respect to an increase of the impurity
content may be due to an aggregation trend of the interacting off-centre
dipoles rather than due to cooperative phenomena which renormalizes the dipole
moment of the off-centre impurity.
","[{""version"":""v1"",""created"":""Fri, 15 Nov 1996 13:06:25 GMT""}]","2008-02-03"
"cond-mat/9611122","Vijay B. Shenoy","Vijay B. Shenoy (Brown University), Rob Phillips (Brown Univerisity)","Finite Sized Atomistic Simulations of Screw Dislocations","LaTex, 20 pages, 11 figures",,"10.1080/01418619708209981",,"cond-mat.mtrl-sci",,"  The interaction of screw dislocations with an applied stress is studied using
atomistic simulations in conjunction with a continuum treatment of the role
played by the far field boundary condition. A finite cell of atoms is used to
consider the response of dislocations to an applied stress and this introduces
an additional force on the dislocation due to the presence of the boundary.
Continuum mechanics is used to calculate the boundary force which is
subsequently accounted for in the equilibrium condition for the dislocation.
Using this formulation, the lattice resistance curve and the associated Peierls
stress are calculated for screw dislocations in several close packed metals. As
a concrete example of the boundary force method, we compute the bow out of a
pinned screw dislocation; the line-tension of the dislocation is calculated
from the results of the atomistic simulations using a variational principle
that explicitly accounts for the boundary force.
","[{""version"":""v1"",""created"":""Fri, 15 Nov 1996 00:17:56 GMT""}]","2009-10-28"
"cond-mat/9611124","R. Miller","Ron Miller (Brown University), Rob Phillips (Brown Univerisity), Glenn
  Beltz (UCSB), Michael Ortiz (CalTech)","A Non-Local Formulation of the Peierls Dislocation Model","LaTex, 29 pages, 5 figures",,,,"cond-mat.mtrl-sci",,"  Cohesive zone models provide an illuminating and tractable way to include
constitutive nonlinearity into continuum models of defects. Powerful insights
have been gained by studying both dislocations and cracks using such analyses.
Recent work has shown that as a result of the locality assumption present in
such cohesive zone models, significant errors can be made in the treatment of
defect energies. This paper aims to construct a non-local version of the
Peierls-Nabarro model in which the atomic level stresses induced at the slip
plane depend in a non-local way on the slip degrees of freedom. The non-local
interplanar kernel is computed directly from atomistics and is used to evaluate
both the structure and energetics of planar dislocations. The non-local
formulation does not significantly change the dislocation core structure from
that obtained with the local model, but the new formulation leads to
significant improvements in the description of dislocation energetics for
dislocations with planar cores.
","[{""version"":""v1"",""created"":""Fri, 15 Nov 1996 00:38:07 GMT""}]","2008-02-03"
"dg-ga/9611004","Valentin Lychagin","Boris S. Kruglikov (Moscow State Technical University n.a. Baumann)","Nijenhuis tensors and obstructions for pseudoholomorphic mapping
  constructions","43 pages, La-TeX, style <report>, e-mail: lychagin@glas.apc.org,
  borkru@difgeo.math.msu.su and before 8th Dec 1996: lychagin@math.uit.no",,,"96-16, University of Tromso","dg-ga math.DG",,"  In this paper we present some approaches to classification of almost complex
structures and to construction of local or formal pseudoholomorphic mapping
from one almost complex manifold to another. The corresponding criteria are
given in terms of Nijenhuis tensors and their generalizations.
  We deal with the prolongations of the Cauchy-Riemann equation in 1-jets of
the mapping from one almost complex manifold to another. We give a criterion of
the prolongation existence of k-th pseudoholomorphic jets to the (k+1)-th ones.
As a consequence basing on the Kuranishi's approach we obtain formal normal
forms of almost complex structures. As another consequence we get the formal
part of Newlander-Nirenberg's theorem on integrability.
  We also introduce the notion and study the properties of the linear Nijenhuis
tensor, which we apply to almost complex structures of general position. Two
applications are exhibited: a classification of four-dimensional almost complex
structures in terms of distributions and a characterization of the new class of
structures which we call Lie almost complex structures.
","[{""version"":""v1"",""created"":""Thu, 14 Nov 1996 17:40:51 GMT""}]","2008-02-03"
"dg-ga/9611005","Valentin Lychagin","Boris S. Kruglikov (Moscow State Technical University n.a. Baumann)","Some classificational problems in four-dimensional geometry:
  distributions, almost complex structures and Monge-Ampere equations","22 pages, La-Tex, style <report>. (e-mail: lychagin@glas.apc.org,
  borkru@difgeo.math.msu.su and before 8th Dec 1996: lychagin@math.uit.no)",,,"96-17 Univerity of Tromso","dg-ga math.DG",,"  In this paper we consider three deeply connected classificational problems on
four-dimensional manifolds. First we consider and describe locally regular
distributions. Second we give a classification of almost complex structures of
general position in terms of distributions. Finally we classify nondegenerate
Monge-Ampere equations with two variables in terms of e-structures.
","[{""version"":""v1"",""created"":""Thu, 14 Nov 1996 17:49:55 GMT""}]","2008-02-03"
"gr-qc/9611041",,"Derik Wolvaardt and Roy Maartens","Exact non-equilibrium solutions of the Einstein-Boltzmann equations. II","16 pages LaTex, CQG documentstyle (ioplppt)","Class.Quant.Grav. 14 (1997) 535-548","10.1088/0264-9381/14/2/026",,"gr-qc",,"  We find exact solutions of the Einstein-Boltzmann equations with relaxational
collision term in FRW and Bianchi I spacetimes. The kinematic and thermodynamic
properties of the solutions are investigated. We give an exact expression for
the bulk viscous pressure of an FRW distribution that relaxes towards
collision-dominated equilibrium. If the relaxation is toward collision-free
equilibrium, the bulk viscosity vanishes - but there is still entropy
production. The Bianchi I solutions have zero heat flux and bulk viscosity, but
nonzero shear viscosity. The solutions are used to construct a realisation of
the Weyl Curvature Hypothesis.
","[{""version"":""v1"",""created"":""Thu, 14 Nov 1996 16:56:57 GMT""}]","2009-10-28"
"gr-qc/9611042","Mattias Marklund","Mattias Marklund and Zoltan Perjes","Rotating matter in general relativity -- stationary state I","25 pages, REVTeX","J.Math.Phys. 38 (1997) 5280-5292","10.1063/1.531941",,"gr-qc",,"  Stationary rotating matter configurations in general relativity are
considered. A formalism for general stationary space times is developed.
Axisymmetric systems are discussed by the use of a nonholonomic and nonrigid
frame in the three-space of the time-like Killing trajectories. Two symmetric
and trace-free tensors are constructed. They characterize a class of matter
states in which both the interior Schwarzschild and the Kerr solution are
contained. Consistency relations for this class of perfect fluids are derived.
Incompressible fluids characterized by these tensors are investigated, and one
differentially rotating solution is found.
","[{""version"":""v1"",""created"":""Thu, 14 Nov 1996 16:27:20 GMT""}]","2015-06-25"
"gr-qc/9611043","Daniel Sudarsky","Ulises Nucamendi and Daniel Sudarsky","Quasi-Asimptotically Flat Spacetimes and Their ADM Mass","Latex","Class.Quant.Grav. 14 (1997) 1309-1327","10.1088/0264-9381/14/5/031",,"gr-qc",,"  We define spacetimes that are asymptotically flat, except for a deficit solid
angle $\alpha$, and present a definition of their ``ADM'' mass, which is finite
for this class of spacetimes, and, in particular, coincides with the value of
the parameter $M$ of the global monopole spacetime studied by Vilenkin and
Barriola . Moreover, we show that the definition is coordinate independent, and
explain why it can, in some cases, be negative.
","[{""version"":""v1"",""created"":""Thu, 14 Nov 1996 18:48:37 GMT""}]","2009-10-28"
"gr-qc/9611044","Max Banados","Maximo Banados and Andres Gomberoff","Black Hole Entropy in the Chern-Simons Formulation of 2+1 Gravity","6 pages, RevTeX, minor changes. Old title ""Some remarks on Carlip's
  derivation of the 2+1 black hole entropy"". Version to appear in Phys. Rev. D","Phys.Rev.D55:6162-6167,1997","10.1103/PhysRevD.55.6162",,"gr-qc hep-th",,"  We examine Carlip's derivation of the 2+1 Minkowskian black hole entropy. A
simplified derivation of the boundary action -valid for any value of the level
k- is given.
","[{""version"":""v1"",""created"":""Thu, 14 Nov 1996 21:32:08 GMT""},{""version"":""v2"",""created"":""Thu, 30 Jan 1997 19:04:09 GMT""}]","2011-09-09"
"gr-qc/9611045","Robert Bartnik","Robert Bartnik (University of Canberra)","Einstein equations in the null quasi-spherical gauge","12 pages, LaTeX (revtex, amssymb), revision 18 pages, contains
  expanded discussion and explanations, updated references, to appear in CQG","Class.Quant.Grav. 14 (1997) 2185-2194","10.1088/0264-9381/14/8/017","UNE-MSCS-96-127","gr-qc",,"  The structure of the full Einstein equations in a coordinate gauge based on
expanding null hypersurfaces foliated by metric 2-spheres is explored. The
simple form of the resulting equations has many applications -- in the present
paper we describe the structure of timelike boundary conditions; the matching
problem across null hypersurfaces; and the propagation of gravitational shocks.
","[{""version"":""v1"",""created"":""Fri, 15 Nov 1996 15:15:17 GMT""},{""version"":""v2"",""created"":""Thu, 29 May 1997 23:10:14 GMT""}]","2009-10-28"
"hep-lat/9611015","Hartmut Wittig","Martin L\""uscher, Stefan Sint, Rainer Sommer and Hartmut Wittig","Non-perturbative determination of the axial current normalization
  constant in O(a) improved lattice QCD","25 pages, 5 Postscript figures, TeX","Nucl.Phys. B491 (1997) 344-364","10.1016/S0550-3213(97)00087-4","OUTP 96-64P","hep-lat",,"  A finite-size technique is employed to compute the normalization constant
$Z_A$ of the isovector axial current in lattice QCD. The calculation is carried
out in the quenched approximation for values of the bare gauge coupling $g_0$
ranging from 0 to 1. In the lattice action and the lattice expression for the
axial current we include the counterterms required for O(a) improvement, with
non-perturbatively determined coefficients. With little additional work the
normalization constant $Z_V$ of the improved isospin current is also obtained.
","[{""version"":""v1"",""created"":""Fri, 15 Nov 1996 14:30:28 GMT""}]","2016-09-01"
"hep-ph/9611324","Michael Kraemer","Matteo Cacciari (DESY), Mario Greco (Roma III) and Michael Kr\""amer
  (RAL)","Associated J/psi + gamma Photoproduction as a Probe of the Colour-Octet
  Mechanism","LaTeX2e, 18 pages, 4 figures","Phys.Rev.D55:7126-7133,1997","10.1103/PhysRevD.55.7126","DESY 96-147, RAL-96-094","hep-ph",,"  The associated production of a J/psi and a photon in photon-hadron collisions
is considered, and shown to be a good probe of the presence of colour-octet
mediated channels in quarkonia production, as predicted by the factorization
approach within NRQCD. Total and differential cross sections for
photoproduction at fixed target experiments and at HERA are presented.
Associated J/psi + gamma production at hadron colliders is briefly discussed.
","[{""version"":""v1"",""created"":""Thu, 14 Nov 1996 16:33:18 GMT""}]","2009-04-13"
"hep-ph/9611325","Toby Falk","Toby Falk, Keith A. Olive, Leszek Roszkowski, Anupam Singh, and Mark
  Srednicki","Constraints from Inflation and Reheating on Superpartner Masses","14 pages in LaTeX + 2 postscript figures, uses epsf.sty; revised
  version, effect of Yukawa couplings added, figure modified, one figure added,
  references altered","Phys.Lett.B396:50-57,1997","10.1016/S0370-2693(97)00035-X","UMN-TH-1518/96, LANCS-TH/96/15, UCSBTH-96-28","hep-ph",,"  Flat directions in the Minimal Supersymmetric Standard Model (MSSM) can
become unstable due to radiative corrections, and the global minimum of the
(zero temperature) potential can lie at large values of the squark and/or
slepton fields. Here we show that, in inflationary models of early cosmology,
the universe is very likely to be in the domain of attraction of this global
minimum at the end of inflation. While the minimum at the origin of field space
is global at sufficiently high temperatures, depending on details of the model,
the universe may be trapped in the non-zero minimum until it becomes the global
minimum at low temperatures. Parameter values leading to this scenario are
therefore ruled out.
","[{""version"":""v1"",""created"":""Thu, 14 Nov 1996 17:04:39 GMT""},{""version"":""v2"",""created"":""Tue, 26 Nov 1996 22:39:55 GMT""}]","2009-09-15"
"hep-ph/9611326","Gunther Piller","L. Mankiewicz, G. Piller and A. Saalfeld","Gluon Polarization from QCD Sum Rules","12 pages, Latex, 2 figures included","Phys.Lett. B395 (1997) 318-326","10.1016/S0370-2693(97)00093-2","TUM/T39-96-26","hep-ph",,"  The gluon polarization $\Delta G$ in a nucleon can be defined in a gauge
invariant way as the integral over the Ioffe-time distribution of polarized
gluons. We argue that for sufficiently regular polarized gluon distributions
$\Delta G$ is dominated by contributions from small and moderate values of the
Ioffe-time z < 10. As a consequence $\Delta G$ can be estimated with 20%
accuracy from the first two even moments of the polarized gluon distribution,
and its behavior at small values of Bjorken x or, equivalently, at large
Ioffe-times z. We employ this idea and compute the first two moments of the
polarized gluon distribution within the framework of QCD sum rules. Combined
with the color coherence hypothesis we obtain an upper limit for $\Delta G \sim
2 \pm 0.5$ at a typical scale $\mu^2 \sim 1 GeV^2$.
","[{""version"":""v1"",""created"":""Thu, 14 Nov 1996 18:08:11 GMT""}]","2009-10-30"
"hep-ph/9611327","Stephane Keller","S. Keller and J. Womersley","Measuring the mass of the W at the LHC","4 pages, 2 figures. To appear in the Proceedings of the 1996 DPF/DPB
  Summer Study on New Directions for High-Energy Physics (Snowmass 96)","ECONFC960625:LTH089,1996",,"Fermilab-Conf-96/422-T","hep-ph",,"  We explore the ability of the Large Hadron Collider to measure the mass of
the W boson. We believe that a precision better than ~ 15 MeV could be
attained, based on a year of operation at low luminosity
(10^(33)cm^(-2)s^(-1)). If this is true, this measurement will be the world's
best determination of the W mass. We feel this interesting opportunity warrants
investigation in more detail.
","[{""version"":""v1"",""created"":""Thu, 14 Nov 1996 19:39:42 GMT""}]","2008-11-26"
"hep-ph/9611329","Markus Finkemeier","Gilberto Colangelo, Markus Finkemeier, Erwin Mirkes and Res Urech","Structure Functions in Semihadronic Tau Decays","9 pages, 4 Figures, Latex, uses twoside,fleqn,espcrc2,epsfig,rotating
  style files. Talk presented by Markus Finkemeier at the Fourth International
  Workshp on Tau Lepton Physics (TAU 96), 16--19 September 1996, Estes Park,
  Colorado, USA","Nucl.Phys.Proc.Suppl. 55C (1997) 325-332","10.1016/S0920-5632(97)00229-6","HUTP-96/A052, TTP96-20","hep-ph",,"  We review a variety of topics related to hadronic structure functions in
exclusive semihadronic tau decays. We introduce the concept of structure
functions and summarize the most important concepts. We then calculate the
decay $\tau \to 3 \pi \nu_\tau$ for very small hadronic invariant mass to one
loop in Chiral Perturbation Theory. New interesting features emerge with
respect to the known results at tree level, in particular for the structure
functions $w_D$ and $w_E$. We discuss the prospects for experimental
verification of our predictions. Finally, we discuss various issues at higher
$Q^2$, related to hadronic resonance physics. Here we consider $2\pi$, $\pi K$,
$3 \pi$, $K \pi K$ and $\pi K \pi$ hadronic final states.
","[{""version"":""v1"",""created"":""Thu, 14 Nov 1996 20:19:14 GMT""}]","2009-10-30"
"hep-ph/9611330","Alec J. Schramm","Alec J. Schramm and Daniel H. Reeves (Occidental College)","Production of eta Mesons in Double Pomeron Exchange","9 pages, 3 Postscript figures","Phys. Rev. D 55, 7312 (1997)","10.1103/PhysRevD.55.7312",,"hep-ph",,"  We estimate the production cross sections for $\eta_c$ and $\eta_b$ mesons
via pomeron-pomeron fusion in peripheral heavy-ion collisions. Total and
elastic PP cross sections are calculated in an equivalent pomeron
approximation.
","[{""version"":""v1"",""created"":""Thu, 14 Nov 1996 21:19:56 GMT""}]","2016-08-24"
