"adap-org/9611003","David A. Head","D. A. Head and G. J. Rodgers","A model of macroevolution with a natural system size","Complete rewrite, small mistake in model corrected",,,,"adap-org cond-mat.stat-mech nlin.AO q-bio",,"  We describe a simple model of evolution which incorporates the branching and
extinction of species lines, and also includes abiotic influences. A first
principles approach is taken in which the probability for speciation and
extinction are defined purely in terms of the fitness landscapes of each
species. Numerical simulations show that the total diversity fluctuates around
a natural system size $N_{\rm nat}$ which only weakly depends upon the number
of connections per species. This is in agreement with known data for real
multispecies communities. The numerical results are confirmed by approximate
mean field analysis.
","[{""version"":""v1"",""created"":""Wed, 6 Nov 1996 15:35:19 GMT""},{""version"":""v2"",""created"":""Tue, 14 Jul 1998 08:53:23 GMT""}]","2008-02-03"
"astro-ph/9611047","Eddie Guerra","Erick J. Guerra, Ruth A. Daly (Princeton Univ. Physics)","Central Engines of AGN: Properties of Collimated Outflows and
  Applications for Cosmology","revised version accepted to ApJ, in press, Vol 493",,"10.1086/305129",,"astro-ph",,"  Powerful extended radio galaxies in the 3CR survey are observed out to
redshifts of about 2. For redshifts greater than about 0.3, the average
lobe-lobe size of the sources decreases monotonically with redshift for all
reasonable cosmological parameter choices. This suggests that the
characteristic time for which an AGN produces a highly collimated outflow that
powers the radio emission is shorter for the high-redshift sources than it is
for low-redshift sources. The fact that the characteristic time for which an
AGN produces a collimated outflow decreases with redshift implies that the
physical mechanism that gives rise to the large scale jets is not Eddington
limited. Higher redshift sources have higher radio powers due the flux limit of
the sample, and sources with higher radio powers have higher beam powers
relative to lower redshift sources. Both the beam power and active lifetime of
the AGN are controlled by processes occurring at the heart of the AGN, and may
be related for non-Eddington limited processes. The relation between the active
lifetime, $t_*$, and the beam power, $L_j$, of powerful extended radio galaxies
is investigated here and found to be $t_*\proptoL_j^{-2/3}$. A comparison of
the redshift evolution of the characteristic source sizes with that of the
average lobe-lobe size for the 3CR sample of radio galaxies could be used to
constrain cosmology.
","[{""version"":""v1"",""created"":""Wed, 6 Nov 1996 15:53:18 GMT""},{""version"":""v2"",""created"":""Mon, 22 Sep 1997 17:24:17 GMT""},{""version"":""v3"",""created"":""Tue, 23 Sep 1997 14:42:30 GMT""}]","2016-08-17"
"astro-ph/9611048","F. Haardt","Laura Maraschi and Francesco Haardt","Disk-Corona Models and X-ray Emission from Seyfert Galaxies","13 pages, AAS latex [11pt,paspconf,epsf], + 4 .eps figures To appear
  in the Proceedings of the 163 IAU conference. Also available at
  http://fy.chalmers.se/~haardt/personal/curr.html",,,,"astro-ph",,"  The current status of understanding of the X-ray emission from Seyfert
galaxies involves Comptonization of soft photons by hot subrelativistic
electrons. After briefly reviewing the early theoretical basis for the presence
of hot optically thin plasma in or around accretion disks and the key
observations that led to develop the presently popular model of an accretion
disk with a hot corona, we summarize recent progress in accretion models that
take into account energy dissipation and/or angular momentum transport in the
corona. Finally, adopting the simple scheme of a homogeneous plane parallel
corona, we discuss in detail the dependence of the X-ray spectrum on the
coronal parameters. Despite the strong coupling between optical depth and
temperature which determines a spectral shape insensitive to their precise
values, moderate spectral changes are possible. The spectral variability
patterns can be used as diagnostics for coronal physics and should allow to
determine whether the optical depth of the corona is dominated by e+e- pairs.
","[{""version"":""v1"",""created"":""Wed, 6 Nov 1996 15:36:04 GMT""}]","2007-05-23"
"astro-ph/9611049","Tomek Bulik","Tomasz Bulik and Donald Q. Lamb","Constraints on the Galactic Corona Models of Gamma-Ray Bursts From the
  3B Catalogue","5 pages latex uses aip macros. To be published in the Proceedings of
  the 3rd Huntsville Gamma-Ray Burst Symposium, AIP editors C. Kouvelietou,
  M.S. Briggs, G.J. Fishman",,"10.1063/1.51558",,"astro-ph",,"  We investigate the viability of Galactic corona models of gamma-ray bursts by
calculating the spatial distribution expected for a population of high-velocity
neutron stars born in the Galactic disk and moving in a gravitational potential
that includes the Galactic bulge, disk, and a dark matter halo. We consider
models in which the bursts radiate isotropically and in which the radiation is
beamed. We place constraints on the models by comparing the resulting
brightness and angular distributions with the data in the BATSE 3B catalog. We
find that, if the burst sources radiate isotropically, the Galactic corona
model can reproduce the BATSE peak flux and angular distributions for neutron
star kick velocities > 800 km s$^{-1}$, source turn-on ages > 20 Myrs, and
BATSE sampling distances 130 kpc < d_{max} < 350 kpc. If the radiation is
beamed, no turn-on age is required and agreement with the BATSE data can be
found provided that the width of the beam is less than 20 deg.
","[{""version"":""v1"",""created"":""Wed, 6 Nov 1996 15:44:36 GMT""}]","2009-10-28"
"chao-dyn/9611003","Daniel Braun","D. Braun, M. Kus and K. Zyczkowski","Time-reversal symmetry and random polynomials","4 RevTex pages, 3 Postscript figures","J.Phys.A: Math.Gen. 30 (1997), L117-L123","10.1088/0305-4470/30/6/002","ranpol1196","chao-dyn cond-mat.mes-hall nlin.CD",,"  We analyze the density of roots of random polynomials where each complex
coefficient is constructed of a random modulus and a fixed, deterministic
phase. The density of roots is shown to possess a singular component only in
the case for which the phases increase linearly with the index of coefficients.
This means that, contrary to earlier belief, eigenvectors of a typical quantum
chaotic system with some antiunitary symmetry will not display a clustering
curve in the stellar representation. Moreover, a class of time-reverse
invariant quantum systems is shown, for which spectra display fluctuations
characteristic of orthogonal ensemble, while eigenvectors confer to predictions
of unitary ensemble.
","[{""version"":""v1"",""created"":""Wed, 6 Nov 1996 14:33:45 GMT""}]","2016-08-31"
"cond-mat/9611027","Walter Nadler","Walter Nadler (Institut fuer Theoretische Chemie, Universitaet
  Tuebingen) and Wolfgang Fink (Institut fuer Theoretische Physik, Universitaet
  Tuebingen)","Finite size scaling in neural networks","4 pages, RevTex, 5 figures, uses multicol.sty and psfig.sty",,"10.1103/PhysRevLett.78.555",,"cond-mat.dis-nn adap-org nlin.AO",,"  We demonstrate that the fraction of pattern sets that can be stored in
single- and hidden-layer perceptrons exhibits finite size scaling. This feature
allows to estimate the critical storage capacity \alpha_c from simulations of
relatively small systems. We illustrate this approach by determining \alpha_c,
together with the finite size scaling exponent \nu, for storing Gaussian
patterns in committee and parity machines with binary couplings and up to K=5
hidden units.
","[{""version"":""v1"",""created"":""Tue, 5 Nov 1996 19:06:21 GMT""}]","2009-10-28"
"cond-mat/9611032","Joerg Buenemann","J. Buenemann and W. Weber","The Generalized Gutzwiller Method for n=>2 Correlated Bands: First Order
  Metal-Insulator Transitions","11 pages in Latex, 3 figures. Accepted for publication in Phys. Rev.
  B (Brief Reports). Figure 2 was mistakenly a copy of figure 3 and has now
  been replaced by the correct figure 2",,,,"cond-mat.str-el",,"  We have generalized the Gutzwiller method to the cases of n=>2 correlated
bands and report studies on a degenerate two-band model with Hund's rule type
on-site interactions. At half band filling the metal-insulator transitions are
usually of first order.
","[{""version"":""v1"",""created"":""Tue, 5 Nov 1996 16:08:07 GMT""},{""version"":""v2"",""created"":""Thu, 7 Nov 1996 14:08:18 GMT""}]","2008-02-03"
"cond-mat/9611033","Robert Eder","R. Eder, Y. Ohta, and G. A. Sawatzky","Doping dependent quasiparticle band structure in cuprate superconductors","4 pages, Revtex, with 4 embedded eps figures. Hardcopies of figures
  (or the entire manuscript) can be obtained by e-mail request to
  eder@vsf1.phys.rug.nl",,"10.1103/PhysRevB.55.R3414",,"cond-mat.supr-con",,"  We present an exact diagonalization study of the single particle spectral
function in the so-called t-t'-t''-J model in 2D. As a key result, we find that
unlike the `pure' t-J model, hole doping leads to a major reconstruction of the
quasiparticle band structure near (pi,0): whereas for the undoped system the
quasiparticle states near (pi,0) are deep below the top of the band at
(pi/2,pi/2), hole doping shifts these states up to E_F, resulting in extended
flat band regions close to E_F and around (pi,0). This strong doping-induced
deformation can be directly compared to angle resolved photoemission results on
Sr_2 Cu Cl_2 O_2, underdoped Bi2212 and optimally doped Bi2212. We propose the
interplay of long range hopping and decreasing spin correlations as the
mechanism of this deformation.
","[{""version"":""v1"",""created"":""Tue, 5 Nov 1996 16:21:46 GMT""}]","2009-10-28"
"cond-mat/9611034","Felix Ritort","Felix Ritort","Classical and Quantum Behavior in Mean-Field Glassy Systems","9 Pages (including 5 Figures), Revtex, Proceedings of the XIV Sitges
  Conference, June 1996 (Barcelona) Spain",,"10.1007/BFb0104822","ITFA-96-48 (Institute of Theoretical Physics, University of
  Amsterdam, The Netherlands).","cond-mat.dis-nn",,"  In this talk I review some recent developments which shed light on the main
connections between structural glasses and mean-field spin glass models with a
discontinuous transition. I also discuss the role of quantum fluctuations on
the dynamical instability found in mean-field spin glasses with a discontinuous
transition. In mean-field models with pairwise interactions in a transverse
field it is shown, in the framework of the static approximation, that such
instability is suppressed at zero temperature.
","[{""version"":""v1"",""created"":""Tue, 5 Nov 1996 18:43:35 GMT""}]","2009-10-28"
"cond-mat/9611035","Harsh Mathur","H. Mathur","Chiral Metal as a Heisenberg Ferromagnet","Latex, 5 pages, 1 figure",,"10.1103/PhysRevLett.78.2429",,"cond-mat.mes-hall",,"  The two dimensional surface of an integer quantum hall multilayer is mapped
onto a Heisenberg spin-chain with ferromagnetic coupling. Using this mapping it
is shown non-perturbatively that the surface states constitute a very
anisotropic metal in the infinite size limit. For multilayers of finite size,
two diffusive mesoscopic regimes are identified and the conductance
fluctuations are calculated perturbatively for both. The Heisenberg spin-chain
representation is used to study the directed wave problem and the exact result
is obtained that the mean-square deflection of a directed wave grows as the
square root of the propagation of the distance.
","[{""version"":""v1"",""created"":""Tue, 5 Nov 1996 18:46:03 GMT""}]","2009-10-28"
"cond-mat/9611036","Nadav Shnerb","N. Shnerb (Physics Department, Harvard University)","The effect of field tilting on the dynamics of vortices pinned by
  correlated disorder","9 pages, Latex, 1 ps figure",,"10.1103/PhysRevB.55.R3382",,"cond-mat.supr-con",,"  Low-temperature dynamics of flux lines in high temperature, type II,
superconductors in the presence of correlated disorder in the form of columnar
defects is discussed. The effect of tilting the applied magnetic field with
respect to the column's directions is considered, using the non-Hermitian
quantum mechanics technique evaluated by Hatano and Nelson. It is shown that
the critical current, as well as the vortex transport properties below this
current, may be determined by ``surface excitations'', i.e., by the roughness
of the flux line near the edges of the sample, which dominated the bulk jumps.
Phase space considerations determine the critical thickness of the sample,
below which the tilt induced surface transport exceeds the bulk mechanism. This
critical length, which depend on the tilt angle as well as the directions of
the perpendicular field and the suppercurrent, diverge at the delocalization
transition.
","[{""version"":""v1"",""created"":""Tue, 5 Nov 1996 22:08:56 GMT""}]","2009-10-28"
"cond-mat/9611037","Takahiro Fukui","T. Fukui, M. Sigrist and N. Kawakami","Low-Energy Properties of Regularly Depleted Spin Ladders","13 pages, revtex, 7 figures, to appear in PRB. A new section is
  added, in which we derived the spin-wave dispersion relation and analyzed the
  quantum fluctuation around it by means of the O(3) nonlinear sigma model",,"10.1103/PhysRevB.56.2530",,"cond-mat.stat-mech",,"  We investigate a model for the regularly depleted two-leg spin ladder
systems. By using Lieb-Schultz-Mattis theorem, it is rigorously shown that this
model realizes massless excitations or, alternatively, a degenerate ground
state, although the original spin ladder system has a spin gap and a unique
ground state. The ground state of the depleted model is either a spin singlet
or partially ferromagnetic reflecting topological properties of the depleted
sites. In order to show that the low-energy excitations are indeed massless, we
proceed our analysis in two different ways by resorting to effective field
theories. We first investigate an effective weak-coupling model in terms of
renormalization group methods. Although the tendency to massless spin
excitations is seen in the strong coupling regime, it turns out that the model
is still massive for any finite coupling, implying that a conventional
weak-coupling approach is not efficient to describe massless modes in our
model. To overcome this difficulty, we further study low-energy properties of
the depleted spin model by mapping on the non-linear sigma model, and confirm
that the massless spin excitation indeed occur.
","[{""version"":""v1"",""created"":""Tue, 5 Nov 1996 22:34:59 GMT""},{""version"":""v2"",""created"":""Tue, 15 Jul 1997 22:45:54 GMT""}]","2009-10-28"
"cond-mat/9611038","Kyungsun Moon","Kyungsun Moon","Topological Excitations in Double-Layer Quantum Hall systems","4 pages (Revtex) + 3 ps-figures; Vertex corrections are added in the
  new version; accepted to Phys. Rev. Lett",,"10.1103/PhysRevLett.78.3741",,"cond-mat.mes-hall",,"  Double-layer quantum Hall systems with spontaneous broken symmetry can
exhibit a novel manybody quantum Hall effect due to the strong interlayer
coherence. When the layer separation becomes close to the critical value,
quantum fluctuations can destroy the interlayer coherence and the quantum Hall
effect will disappear. We calculate the renormalized isospin stiffness $\rho_s$
due to quantum fluctuations within the Hartree-Fock-RPA formalism. The
activation energy of the topological excitations thus obtained demonstrates a
nice qualitative agreement with recent experiment.
","[{""version"":""v1"",""created"":""Tue, 5 Nov 1996 23:18:41 GMT""},{""version"":""v2"",""created"":""Thu, 3 Apr 1997 19:22:30 GMT""}]","2009-10-28"
"cond-mat/9611039","Josh Deutsch","J.M. Deutsch and Hyoungsoo Yoon","Macromolecular separation through a porous surface","18 pages latex, 6 postscript figures, using psfig",,"10.1063/1.474007","JMDHY96-1","cond-mat.soft",,"  A new technique for the separation of macromolecules is proposed and
investigated. A thin mesh with pores comparable to the radius of gyration of a
free chain is used to filter chains according to their length. Without a field
it has previously been shown that the permeability decays as a power law with
chain length. However by applying particular configurations of pulsed fields,
it is possible to have a permeability that decays as an exponential. This
faster decay gives much higher resolution of separation. We also propose a
modified screen containing an array of holes with barb-like protrusions running
parallel to the surface. When static friction is present between the
macromolecule and the protrusion, some of the chains get trapped for long
durations of time. By using this and a periodic modulation of an applied
electric field, high resolution can be attained.
","[{""version"":""v1"",""created"":""Wed, 6 Nov 1996 02:38:10 GMT""}]","2009-10-28"
"cond-mat/9611040","Michael Aizenman","Michael Aizenman","Scaling Limit for the Incipient Spanning Clusters","To appear in the IMA Volumes in Mathematics and its Applications,
  LaTeX, 24 pages, 7 (embedded) .eps figures. Minor revisions","in: Mathematics of Multiscale Materials; the IMA Volumes in
  Mathematics and its Applications (K. Golden, G. Grimmett, R. James, G.
  Milton, and P. Sen, eds.), Springer, 1998.",,,"cond-mat.stat-mech",,"  Scaling limits of critical percolation models show major differences between
low and high dimensional models. The article discusses the formulation of the
continuum limit for the former case. A mathematical framework is proposed for
the direct description of the limiting continuum theory. The resulting
structure is expected to exhibit strict conformal invariance, and facilitate
the mathematical discussion of questions related to universality of critical
behavior, conformal invariance, and some relations with a number of field
theories.
","[{""version"":""v1"",""created"":""Tue, 5 Nov 1996 20:11:39 GMT""},{""version"":""v2"",""created"":""Wed, 11 Dec 1996 23:15:02 GMT""},{""version"":""v3"",""created"":""Wed, 27 Aug 1997 21:36:34 GMT""},{""version"":""v4"",""created"":""Thu, 18 Sep 1997 18:50:20 GMT""}]","2009-09-25"
