"adap-org/9611006","Luca Peliti","R.Donato, L. Peliti, M. Serva","The selection of altruistic behaviour","11 pages, 5figs, LaTeX, REVTeX",,,"NA/MS/LP/96/12","adap-org nlin.AO q-bio.PE",,"  Altruistic behaviour is disadvantageous for the individual while is
advantageous for its group. If the target of the selection is the individual,
one would expect the selection process to lead to populations formed by wholly
homogeneous groups, made up of either altruistic or egoistic individuals, where
the winning choice depends on the balance beetwen group advantage and
individual disadvantage. We show in a simple model that populations formed by
inhomogeneous groups can be stabilized in some circumstances. We argue that
this condition is realized when there is a relative advantage conferred by the
presence of a few altruists to all the members of the group.
","[{""version"":""v1"",""created"":""Mon, 18 Nov 1996 08:20:19 GMT""}]","2008-02-03"
"cond-mat/9611131","Gilberto Giugliarelli","G. Giugliarelli, A. L. Stella","Reentrant Wetting Transition of a Rough Wall","16 pages, 3 postscript figures included in the text, REVTeX.
  Submitted to Physica A",,"10.1016/S0378-4371(97)00016-2","UDPHIR 96/01/GG","cond-mat.stat-mech",,"  A $2D$ model describing depinning of an interface from a rough, self-affine
substrate, is studied by transfer matrix methods. The phase diagram is
determined for several values of the roughness exponent, $\zeta_S$, of the
attractive wall. For all $\zeta_S>0$ the following scenario is observed. In
first place, in contrast to the case of a flat wall ($\zeta_S=0$), for wall
attraction energies between zero and a $\zeta_S$-dependent positive value, the
substrate is always wet. Furthermore, in a small range of attraction energies,
a dewetting transition first occurs as T increases, followed by a wetting one.
This unusual reentrance phenomenon seems to be a peculiar feature of
self-affine roughness, and does not occur, e. g., for periodically corrugated
substrates.
","[{""version"":""v1"",""created"":""Mon, 18 Nov 1996 15:05:58 GMT""}]","2015-06-25"
"cond-mat/9611132","Thom Mason","A. Schroeder (Risoe National Lab), G. Aeppli (NEC Research), T.E.
  Mason (University of Toronto), E. Bucher (University of Konstanz & Lucent
  Technologies), C. Broholm (The Johns Hopkins University), and K.N. Clausen
  (Risoe National Lab)","Two routes to metallic behavior for a Kondo insulator","RevTeX, 5 postscript figures, Submitted the Physical Review Letters",,,,"cond-mat.str-el",,"  Cold neutron spectroscopy was performed on CeNi_{1-x}Cu_xSn to investigate
how the magnetic gap in the 'Kondo insulator' CeNiSn is destroyed by
temperature (T), chemical substitution (x), and external magnetic field. Upon
doping, the spin gap collapses and magnetic Bragg peaks occur initially (x =
0.13) at the commensurate wave vectors Q = (0,m/2,l) (m,l integer) where the
higher-energy (4.1 meV) gap is located for x = 0. A magnetic field smooths the
sharp spin gap structure in both momentum and energy, while leaving the
associated static susceptibility unchanged, as does raising T.
","[{""version"":""v1"",""created"":""Mon, 18 Nov 1996 15:03:49 GMT""}]","2008-02-03"
"cond-mat/9611143","Gurevitch Yevgeni","E. Gurevich and B. Shapiro","Orbital Magnetism in Two-dimensional Integrable Systems","28 pages, Latex, 4 Postscript figures",,"10.1051/jp1:1997194",,"cond-mat.mes-hall",,"  We study orbital magnetism of a degenerate electron gas in a number of
two-dimensional integrable systems, within linear response theory. There are
three relevant energy scales: typical level spacing, the energy related to the
inverse time of flight across the system, and the Fermi energy.
Correspondingly, there are three distinct temperature regimes: microscopic,
mesoscopic, and macroscopic. In the first two regimes there are large
finite-size effects in the magnetic susceptibility, whereas in the third regime
the susceptibility approaches its macroscopic value. In some cases, such as a
quasi-one-dimensional strip or a harmonic confining potential, it is possible
to obtain analytic expressions for the susceptibility in the entire temperature
range.
","[{""version"":""v1"",""created"":""Mon, 18 Nov 1996 14:38:25 GMT""}]","2009-10-28"
"hep-ph/9611343",,"Markus A. Luty and Rabindra N. Mohapatra","A Supersymmetric Composite Model of Quarks and Leptons","10 pages, LaTeX 2e","Phys.Lett. B396 (1997) 161-166","10.1016/S0370-2693(97)00097-X",,"hep-ph",,"  We present a class of supersymmetric models with complete generations of
composite quarks and leptons using recent non-perturbative results for the low
energy dynamics of supersymmetric QCD. In these models, the quarks arise as
composite ""mesons"" and the leptons emerge as composite ""baryons."" The quark and
lepton flavor symmetries are linked at the preon level. Baryon number violation
is automatically suppressed by accidental symmetries. We give some speculations
on how this model might be made realistic.
","[{""version"":""v1"",""created"":""Sun, 17 Nov 1996 19:08:36 GMT""}]","2009-10-30"
"hep-ph/9611344","Chung Kao","Vernon Barger (Univ. of Wisconsin), Ashok Das (Univ. of Rochester) and
  Chung Kao (Univ. of Wisconsin)","The Electric Dipole Moment of the Muon in a Two Higgs Doublet Model","16 pages, REVTeX, 7 Postscript Figures, To be published in Physical
  Review D","Phys.Rev.D55:7099-7106,1997","10.1103/PhysRevD.55.7099","MADPH--96--973, UR--1487","hep-ph",,"  The electric dipole moment of the muon ($d_\mu$) is evaluated in a two Higgs
doublet model with a softly broken discrete symmetry. The leading contributions
from both one loop and two loop diagrams are considered. For $\tan\beta \equiv
|v_2|/|v_1|$ close to one, contributions from two loop diagrams involving the
$t$ quark and the $W$ boson dominate; while for $\tan\beta \agt 10$,
contributions from two loop diagrams involving the $b$ quark and the $\tau$
lepton are dominant. In these two regions, $d_\mu \approx (m_\mu/m_e) d_e$. For
$8 \agt \tan\beta \agt 4$, significant cancellation occurs among the
contributions from two loop diagrams and the one loop contribution dominates
for $\tan\beta \sim 7$. For $\tan\beta \agt 15$, the calculated $d_\mu$ can be
close to the reach of a recently proposed experiment at the Brookhaven National
Laboratory.
","[{""version"":""v1"",""created"":""Sun, 17 Nov 1996 22:11:54 GMT""},{""version"":""v2"",""created"":""Thu, 10 Apr 1997 21:22:06 GMT""}]","2009-09-15"
"hep-ph/9611345","Valery G. Serbo","G.L. Kotkin, V.G. Serbo (Novosibirsk State University)","Variation in polarization of high-energy $\gamma$-quanta traversing a
  bunch of polarized laser photons","8 pages, LaTeX, 2 PS figures","Phys.Lett. B413 (1997) 122-129","10.1016/S0370-2693(97)01086-1",,"hep-ph hep-ex",,"  The elastic light-light scattering below the threshold of the $e^+e^-$ pair
production leads to a variation in polarization of hard $\gamma$-quanta
traversing without loss a region where the laser light is focused. Equations
are obtained which determine the variation of Stokes parameters of
$\gamma$-quanta in this case, and their solutions are given. It is pointed out
that this effect can be observed in the experiment E-144 at SLAC. It should be
taken into account (and, perhaps, it can be used) in experiments at future
$\gamma \gamma$ colliders.
","[{""version"":""v1"",""created"":""Mon, 18 Nov 1996 06:21:10 GMT""}]","2009-10-30"
"hep-ph/9611346","Gerhard Ecker","Gerhard Ecker","Status of chiral perturbation theory","15 pages, Latex, 4 figures embedded with epsfig.sty. To appear in
  Proc. of Workshop on Heavy Quarks at Fixed Target, St. Goar, Germany, Oct.
  1996",,,"UWThPh-1996-62","hep-ph",,"  A survey is made of semileptonic and nonleptonic kaon decays in the framework
of chiral perturbation theory. The emphasis is on what has been done rather
than how it was done. The theoretical predictions are compared with available
experimental results.
","[{""version"":""v1"",""created"":""Mon, 18 Nov 1996 10:34:27 GMT""}]","2007-05-23"
"hep-ph/9611347","Gabriela Barenboim","G.Barenboim (1 and 2), J. Bernabeu (1), J.Prades (1 and 2) and
  M.Raidal (1 and 2) ((1) Departament de Fisica Teorica, Universitat de
  Valencia (2) IFIC)","Constraints on the Wr mass and CP-violation in left-right models","17 pages, latex","Phys.Rev.D55:4213-4221,1997","10.1103/PhysRevD.55.4213","FTUV/96-51 and IFIC/96-59","hep-ph",,"  We update the constraints on the right-handed $W_R$ gauge boson mass, mixing
angle $\zeta$ with the left-handed $W_L$ gauge boson, and other parameters in
general left-right symmetric models with different mechanisms of CP violation.
Constraints mostly independent of any assumption on the quark sector are
obtained from a re-analysis of muon decay data. Estimates of the left-right
hadronic matrix elements in the neutral kaon system and their uncertainties are
revised using large $N_c$ and Chiral Perturbation Theory arguments. With
explicitly given assumptions on the long-distance $(\Delta S=1)^2$
contributions to the $K_L-K_S$ mass difference, lower bounds on $M_{W_R}$ are
obtained. With the same assumptions, one also gets strong upper bounds from the
CP-violating parameter $\epsilon_K$, for most of the parameter space of
left-right models where the right-handed third family does not contribute in
CP-violating quantities.
","[{""version"":""v1"",""created"":""Mon, 18 Nov 1996 11:26:05 GMT""}]","2008-11-26"
"hep-ph/9611348","Phil Ratcliffe","Philip G. Ratcliffe","Symposium Summary","Summary Talk, presented at SPIN '96 - The 12th. International
  Symposium on High-Energy Spin Physics (Amsterdam, Sept. 1996). LaTeX, 10
  pages, 1 figure (self inserting with epsfig)",,,"EPTCO-96-001","hep-ph",,"  The plenary presentations of the conference are summarised, highlighting some
aspects that were of particular interest and attempting to link a few of the
topics covered. Particular emphasis is placed on the problem of deep-inelastic
scattering and questions still to be answered with regard to the distribution
functions, strange-quark and gluon contributions, and the possible r\^ole of
orbital angular momentum. Passing reference is also made to some of the
parallel session presentations.
","[{""version"":""v1"",""created"":""Mon, 18 Nov 1996 12:03:38 GMT""}]","2007-05-23"
"hep-ph/9611349","Nakajima Noriaki","N. Nakajima, M. Biyajima, and N. Suzuki","KNO scaling function of modified negative binomial distribution","16 pages, Latex, 13 figures. To appear Phys. Rev. D",,,"DY5621","hep-ph",,"  We investigate the KNO scaling function of the modified negative binomial
distribution (MNBD), because this MNBD can explain the oscillating behaviors of
the cumulant moment observed in $e^+e^-$ annihilations and in hadronic
collisions. By using a straightforward method and the Poisson transform we
derive the KNO scaling function from the MNBD. The KNO form of experimental
data in $e^{+}e^{-}$ collisions and hadronic collisions are analyzed by the KNO
scaling function of the MNBD and that of the negative binomial distribution
(NBD). The KNO scaling function of the MNBD describes the data as well as that
of the NBD.
","[{""version"":""v1"",""created"":""Mon, 18 Nov 1996 12:56:07 GMT""}]","2007-05-23"
"hep-ph/9611350","Sergey Goloskokov","S.V. Goloskokov","On Possible Study of Quark-Pomeron Coupling Structure at the COMPASS
  spectrometer","10 pages, latex, 6-Ps figures","Mod.Phys.Lett. A12 (1997) 173-182","10.1142/S0217732397000170",,"hep-ph",,"  We analyse the diffractive $Q \bar Q$ production and final jet kinematics in
polarized deep-inelastic lp scattering at $\sqrt{s}=20 GeV$. We show that this
reaction can be used in the new spectrometer of the COMPASS Collaboration at
CERN to study the quark-pomeron coupling structure.
","[{""version"":""v1"",""created"":""Mon, 18 Nov 1996 08:29:52 GMT""}]","2015-06-25"
"hep-ph/9611354","Robert Harlander","K.G. Chetyrkin, R. Harlander, J.H. Kuehn and M. Steinhauser","Automatic Computation Of Three-Loop Two-Point Functions In Large
  Momentum Expansion","Coefficients of example in Sect. 3 corrected. Latex, 5 pages, 1
  ps-figure. Extended version of the contribution to the proceedings of the
  AIHENP96 workshop in Lausanne, September 1996. The complete paper, including
  figures, is also available via anonymous ftp at
  ftp://ttpux2.physik.uni-karlsruhe.de/ , or via www at
  http://www-ttp.physik.uni-karlsruhe.de/cgi-bin/preprints/","Nucl.Instrum.Meth.A389:354-356,1997","10.1016/S0168-9002(97)00128-9","TTP96-55, MPI/PhT/96-122","hep-ph",,"  We discuss the calculation of two-point three-loop functions with an
arbitrary number of massive propagators and one large external momentum. The
relevant subdiagrams are generated automatically. The resulting massless
two-point integrals and massive tadpoles are transformed on-line to
FORM-expressions ready to be used by existing FORM packages which calculate
them analytically. As an example we compute the quartic mass corrections to the
photon polarization function.
","[{""version"":""v1"",""created"":""Mon, 18 Nov 1996 14:02:50 GMT""},{""version"":""v2"",""created"":""Fri, 22 Nov 1996 14:26:32 GMT""}]","2011-04-15"
"hep-th/9611123","Ivo Sachs","R. Flume, M. Magro, L.O'Raifeartaigh, I. Sachs, O. Schnetz","Uniqueness of the Seiberg-Witten Effective Lagrangian","15 pages, LaTex, 1 Figure, References added","Nucl.Phys. B494 (1997) 331-345","10.1016/S0550-3213(97)00176-4","DIAS-STP/96-21,BONN-TH-96-15, ENSLAPP-L-621/96, FAU-TP3-96/20","hep-th",,"  The low energy effective Lagrangian for $N\es 2$ supersymmetric Yang-Mills
theory, proposed by Seiberg and Witten is shown to be the unique solution,
assuming only that supersymmetry is unbroken and that the number of
strong-coupling singularities is finite. Duality is then a consequence rather
than an input.
","[{""version"":""v1"",""created"":""Sun, 17 Nov 1996 20:09:40 GMT""},{""version"":""v2"",""created"":""Mon, 24 Mar 1997 20:50:29 GMT""}]","2009-10-30"
"hep-th/9611124","Peter Bantay","Peter Bantay","Simple Current Extensions and Mapping Class Group Representations","12 pages, LaTeX, references updated","Int.J.Mod.Phys. A13 (1998) 199-208","10.1142/S0217751X9800007X",,"hep-th",,"  The conjecture of Fuchs, Schellekens and Schweigert on the relation of
mapping class group representations and fixed point resolution in simple
current extensions is investigated, and a cohomological interpretation of the
untwisted stabilizer is given.
","[{""version"":""v1"",""created"":""Mon, 18 Nov 1996 00:27:36 GMT""},{""version"":""v2"",""created"":""Sat, 23 Nov 1996 21:10:20 GMT""}]","2009-10-30"
"hep-th/9611125","Juan Maldacena","Juan Maldacena","D-branes and Near Extremal Black Holes at Low Energies","14 pages, 2 figures, uses harvmac, an error in a proof is corrected,
  the conclusions are the same","Phys.Rev. D55 (1997) 7645-7650","10.1103/PhysRevD.55.7645",,"hep-th",,"  It has been observed recently that many properties of some near extremal
black holes can be described in terms of bound states of D-branes. Using a
non-renormalization theorem we argue that the D-brane description is the
correct quantum gravity description of the black hole at low energies. The low
energy theory includes the black hole degrees of freedom that account for the
entropy and describes also Hawking radiation. The description is unitary and
there seems to be no information loss at low energies.
","[{""version"":""v1"",""created"":""Sun, 17 Nov 1996 21:38:55 GMT""},{""version"":""v2"",""created"":""Wed, 4 Dec 1996 20:27:50 GMT""}]","2009-10-30"
"hep-th/9611126","Joern Haeuser","A. Peter, W. Cassing, J.M. Hauser, M.H. Thoma","Convergence properties of the cluster expansion for equal-time Green
  functions in scalar theories","19 pages, 5 postscript figures","Z.Phys. A358 (1997) 91-100","10.1007/s002180050281","UGI-96-15","hep-th",,"  We investigate the convergence properties of the cluster expansion of
equal-time Green functions in scalar theories with quartic self-coupling in
(0+1), (1+1), and (2+1) space-time dimensions. The computations are carried out
within the equal-time correlation dynamics approach. We find that the cluster
expansion shows good convergence as long as the system is in a single phase
configuration and that it breaks down in a two phase configuration, as one
would naively expect. In the case of dynamical calculations with a time
dependent Hamiltonian we find two timescales determining the adiabaticity of
the propagation; these are the time required for adiabaticity in the single
phase region and the time required for tunneling into the non-localized lowest
energy state in the two phase region.
","[{""version"":""v1"",""created"":""Sun, 17 Nov 1996 21:47:37 GMT""}]","2009-10-30"
"hep-th/9611127","Zvi Bern","Z. Bern, L. Dixon, D.C. Dunbar and D.A. Kosower","One-Loop Self-Dual and N=4 Super Yang-Mills","14 pages, TeX, three figures, two new references added","Phys.Lett.B394:105-115,1997","10.1016/S0370-2693(96)01676-0","SLAC--PUB--7355","hep-th hep-ph",,"  We conjecture a simple relationship between the one-loop maximally helicity
violating gluon amplitudes of ordinary QCD (all helicities identical) and those
of N=4 supersymmetric Yang-Mills (all but two helicities identical). Because
the amplitudes in self-dual Yang Mills have been shown to be the same as the
maximally helicity violating ones in QCD, this conjecture implies that they are
also related to the maximally helicity violating ones of N=4 supersymmetric
Yang-Mills. We have an explicit proof of the relation up to the six-point
amplitude; for amplitudes with more external legs, it remains a conjecture. A
similar conjecture relates amplitudes in self-dual gravity to maximally
helicity violating N=8 supergravity amplitudes.
","[{""version"":""v1"",""created"":""Mon, 18 Nov 1996 00:27:10 GMT""},{""version"":""v2"",""created"":""Mon, 23 Dec 1996 23:43:23 GMT""}]","2009-07-09"
