"alg-geom/9611025","Bozidar Ilic","Bo Ilic and J.M. Landsberg","On symmetric degeneracy loci, spaces of symmetric matrices of constant
  rank and dual varieties","AMS-TeX, 15 pages",,,,"alg-geom dg-ga math.AG math.DG",,"  Let X be a nonsingular simply connected projective variety of dimension m, E
a rank n vector bundle on X, and L a line bundle on X. Suppose that $S^2(E^{*})
\otimes L$ is an ample vector bundle and that there is a constant even rank $r
\ge 2$ symmetric bundle map $E \to E^{*} \otimes L$. We prove that $m \le n-r$.
We use this result to solve the constant rank problem for symmetric matrices,
proving that the maximal dimension of a linear subspace of the space of
$m\times m$ symmetric matrices such that each nonzero element has even rank $r
\ge 2$ is $m-r+1$. We explain how this result relates to the study of dual
varieties in projective geometry and give some applications and examples.
","[{""version"":""v1"",""created"":""Wed, 20 Nov 1996 16:56:57 GMT""}]","2008-02-03"
"astro-ph/9611170","Martin Federspiel","Allan Sandage (1), G.A. Tammann (2) ((1) The Observatories of the
  Carnegie Institution of Washington, (2) Astronomical Institute of the
  University of Basel, Switzerland)","The evidence for the long distance scale with H_0<65","26 pages, 4 PS figures, LaTeX with ""Science with the HST"" style file
  To appear in: Princeton Critical Dialogue in Cosmology Conference, ed. N.
  Turok",,,,"astro-ph",,"  The status of the determination of the Hubble constant is reviewed, setting
out the evidence for the long distance scale with H_0=55+/-5. In parallel,
various precepts said to favor the short distance scale with H_0>70 are
discussed. The strongest evidence for the long scale are (1) the calibration of
the peak absolute magnitude of type Ia supernovae with their Hubble diagram,
(2) the distance to the Virgo cluster by six largely independent methods, and
(3) field spirals binned by luminosity class. The three methods give
H_0=56+/-3, 55+/-2, and 53+/-3 (internal errors). H_0 does not vary
significantly over scales from 10-500 Mpc.
  Higher values of H_0 still in the literature are based on (1) an untenably
small distance to the Virgo cluster, (2) an untenably large Virgo cluster
velocity, (3) a questionable route through the Coma cluster, (4) an incorrect
precept that the Cepheid distance to NGC 1365 gives the distance to NGC 1613,
parent to two SNe Ia, calibrating them, (5) an unjustified reliance on
planetary nebulae and surface brightness fluctuations as distance indicators,
and (6) either an underestimation or a neglect of the importance of
observational selection bias in flux-limited samples. There is no valid
evidence for H_0>70.
  The status of the time scale test is reviewed. The result is 13-14 (+/-2) Gyr
for the age of the Galactic globular cluster system. There is no time scale
crisis provided that q_0<0.3, H_0=55, and Lambda=0.
","[{""version"":""v1"",""created"":""Wed, 20 Nov 1996 22:10:44 GMT""}]","2007-05-23"
"astro-ph/9611171","Chris Reynolds","C.S.Reynolds, A.J.Loan, A.C.Fabian, K.Makishima, W.N.Brandt, T.Mizuno","ASCA observations of the nearby galaxies Dwingeloo 1 and Maffei 1","9 pages (4 ps figures included). Accepted for publication in MNRAS.
  Higher quality reproductions of Figure 1 available upon request",,"10.1093/mnras/286.2.349",,"astro-ph",,"  We present ASCA observations of the nearby galaxies Dwingeloo 1 (Dw1) and
Maffei 1 (Mf1). X-ray sources are clearly detected within 3 arcminutes of the
optical nuclei of both galaxies. Despite the low Galactic latitude of these
fields ($|b|<1\degmark$) we conclude, on probability and spectral grounds, that
the detected sources are intrinsic to these galaxies rather than foreground or
background interlopers. The Dw1 source, designated Dw1-X1, is interpreted as
being either a hyper-luminous X-ray binary (with a 0.5--10\,keV luminosity of
more than $10^{39}\ergps$) or an X-ray bright supernova. The Mf1 emission is
hard and extended, suggesting that it originates from a population of X-ray
binaries. Prompted by the Dw1-X1 results, we discuss the nature of
hyper-luminous X-ray binary systems. Such sources are commonly seen in nearby
galaxies with a frequency of approximately one per galaxy. We present a
possible connection between these luminous systems and Galactic superluminal
sources.
","[{""version"":""v1"",""created"":""Thu, 21 Nov 1996 00:45:06 GMT""}]","2015-06-24"
"astro-ph/9611172","Marco Spaans","Colin A. Norman (1,2) and Marco Spaans (1), ((1) Johns Hopkins
  University, (2) Space Telescope Science Institute)","Molecules at high Redshift: The Evolution of the Cool Phase of
  Protogalactic Disks","33 pages LaTeX, 5 PS figures, uses aasms.sty file, Accepted by ApJ",,"10.1086/303940",,"astro-ph",,"  We study the formation of molecular hydrogen, after the epoch of
re-ionization, in the context of canonical galaxy formation theory due to
hierarchical clustering. There is an initial epoch of $H_2$ production in the
gas phase through the $H^-$ route which ends at a redshift of order unity. Star
formation in the protogalactic disks can become self-regulated. The process
responsible for the feedback is heating of the gas by the internal stellar
radiation field which can dominate the background radiation field at various
epochs. It is possible to define a maximum star formation rate during this
epoch. Plausible estimates give a rate of 0.2-2 Mo yr-1 for condensations
corresponding to 1 sigma and 2 sigma initial density fluctuations. Therefore,
the production of metals and dust proceeds slowly in this phase. This moderate
epoch is terminated by a phase transition to a cold dense and warm
neutral/ionized medium once the metals and dust have increased to a level
Z=0.03-0.1 Z_o. Then: (1) atoms and molecules such as C, O and CO become
abundant and cool the gas to below $300 K$ ; (2) the dust abundance has become
sufficiently high to allow shielding of the molecular gas and; (3) molecular
hydrogen formation can occur rapidly on grain surfaces. This phase transition
occurs at a redshift of approximately 1.5, with a fiducial range of 1.2<z<2.
The combination of feedback and a phase transition provides a natural
resolution of the G-dwarf problem.
","[{""version"":""v1"",""created"":""Thu, 21 Nov 1996 01:49:23 GMT""}]","2009-10-28"
"astro-ph/9611173","Bruce Grossan","B. Grossan (UC Berkeley Space Science Laboratory), R. A. Remillard, H.
  V. Bradt (MIT Center for Space Research), R. J. V. Brissenden
  (Harvard-Smithsonian CfA), T. Ohashi (Tokyo Metropolitan University), T.
  Sakao (National Astronomical Observatory, Mitaka, Tokyo)","The Weak Blue Bump of H2106-099 and AGN De-Reddening","Three parts: A. 33 pages text, B. one landscape table, C. 8 figures","ApJ 457 (1996) 199-210","10.1086/176722",,"astro-ph",,"  We present multi-frequency spectra of the Seyfert 1 galaxy H2106-099, from
radio to hard X-rays, spanning over a decade of observations. The hard X-ray
(2-20 keV) spectrum measured with Ginga had a Log slope of -0.80 +/- 0.02 on
1988 May 18 and -1.02 +/- 0.10 on 1988 May 22 / 23 UT, with no observed flux
changes. Other measurements showed variability and unusual spectral features:
The V band flux changed by a factor of 1.8 (> 10 sigma) in six weeks. Only
moderate optical Fe II emission is present, but strong [FeVII] and [Fe X] lines
are present in some epochs. The Balmer lines show > 25% variations in flux
relative to the mean, and He I changed by more than 100% relative to the mean
in <~ six years. The most surprising finds came from the composite UV through
near-IR spectrum: If the spectrum is de-reddened by the galactic extinction
value (from 21 cm observations), a residual 2175 Angstrom absorption feature is
present. Additional de-reddening to correct the feature yields E(B-V)=0.07 mag
due to material outside our galaxy, most probably associated with the AGN or
its host galaxy. No other clear indications of reddening are observed in this
object, suggesting that blue bump strength measurements in low and intermediate
red-shift AGN could be incorrect if derived without UV observations of the
region near 2175 Angstrom in the AGN frame. After all reddening corrections are
performed, the log slope of H2106-099 from the near IR (~12500 Angstrom) to the
UV (~1400 Angstrom), -0.94 +/- 0.05, is steep compared to other AGN, suggesting
that the blue bump in this object is intrinsically weak. Weak blue bumps are,
therefore, not always an artifact caused by reddening.
","[{""version"":""v1"",""created"":""Thu, 21 Nov 1996 04:03:00 GMT""}]","2009-10-28"
"astro-ph/9611174","Max Tegmark","Max Tegmark","How to measure CMB power spectra without losing information","22 pages, with 8 figures included. Minor revisions to match accepted
  version. Color figures and data at http://www.sns.ias.edu/~max/cl.html
  (faster from the US), from http://www.mpa-garching.mpg.de/~max/cl.html
  (faster from Europe) or from max@ias.edu","Phys.Rev.D55:5895-5907,1997","10.1103/PhysRevD.55.5895",,"astro-ph",,"  A new method for estimating the angular power spectrum C_l from cosmic
microwave background (CMB) maps is presented, which has the following desirable
properties:
  (1) It is unbeatable in the sense that no other method can measure C_l with
smaller error bars.
  (2) It is quadratic, which makes the statistical properties of the
measurements easy to compute and use for estimation of cosmological parameters.
  (3) It is computationally faster than rival high-precision methods such as
the nonlinear maximum-likelihood technique, with the crucial steps scaling as
n^2 rather than n^3, where n is the number of map pixels.
  (4) It is applicable to any survey geometry whatsoever, with arbitraty
regions masked out and arbitrary noise behaviour.
  (5) It is not a ""black-box"" method, but quite simple to understand
intuitively: it corresponds to a high-pass filtering and edge softening of the
original map followed by a straight expansion in truncated spherical-harmonics.
  It is argued that this method is computationally feasible even for futute
high-resolution CMB experiments with n=10^6-10^7. It is also shown that C_l
computed with this method is useful not merely for graphical presentation
purposes, but also as an intermediate (and arguably necessary) step in the data
analysis pipeline, reducing the data set to a more manageable size before the
final step of constraining Gaussian cosmological models and parameters - while
retaining all the cosmological information that was present in the original
map.
","[{""version"":""v1"",""created"":""Thu, 21 Nov 1996 13:35:24 GMT""},{""version"":""v2"",""created"":""Wed, 12 Mar 1997 02:11:18 GMT""}]","2009-10-07"
"astro-ph/9611175","Axel Lindner","A. Lindner (Univ. Hamburg, Germany)","A New Method to Reconstruct the Energy and Determine the Composition of
  Cosmic Rays from the Measurement of Cherenkov Light and Particle Densities in
  Extended Air Showers","16 pages, Latex, 8 eps figures, Lectures given at the XV Cracow
  Summer School of Cosmology at Lodz, 1996","Astropart.Phys.8:235-252,1998","10.1016/S0927-6505(98)00004-8",,"astro-ph",,"  A Monte-Carlo study is presented using ground based measurements of the
electromagnetic part of showers initiated in the atmosphere by high energetic
cosmic rays to reconstruct energy and mass of primary particles with energies
above 300 TeV. With two detector arrays measuring Cherenkov light and particle
densities as realized in the HEGRA experiment shower properties are
reconstructed and interpreted to determine energy and energy per nucleon of the
primary particle.
","[{""version"":""v1"",""created"":""Thu, 21 Nov 1996 10:44:17 GMT""}]","2011-04-15"
"cond-mat/9611151","Ugur Tirnakli","Fevzi Buyukkilic, Dogan Demirhan, Ugur Tirnakli","Generalization of the Mean-Field Ising Model Within Tsallis
  Thermostatistics","14 pages, LaTeX, accepted in Physica A, 2 figs available upon request
  from tirnakli@fenfak.ege.edu.tr","Physica A 238 (1997) 285","10.1016/S0378-4371(96)00440-2",,"cond-mat.stat-mech",,"  In this study, the mean-field Ising model, using the Bogolyubov inequality
which has been obtained in the frame of the generalized statistics, has been
investigated.
","[{""version"":""v1"",""created"":""Wed, 20 Nov 1996 18:18:28 GMT""}]","2015-06-25"
"cond-mat/9611152",,"J.P. Rodriguez","Skyrmion Liquid Phase of the Quantum Ferromagnet in Two Dimensions","10 pgs PLAIN TeX, 2 ps figs, to appear in Europhysics Letters",,,,"cond-mat.mes-hall",,"  The two-dimensional quantum ferromagnet filled with a liquid of skyrmions is
studied theoretically in the context of the quantum Hall effect near electronic
filling factor $\nu = 1$. A cross-over between the classical ferromagnetic
phase at $\nu =1$ and a classical paramagnetic phase at $\nu \neq 1$ is
obtained, which is consistent with recent Knight-shift measurements. A new
collective mode associated with the skyrmion liquid that is of the cyclotron
type is also identified.
","[{""version"":""v1"",""created"":""Wed, 20 Nov 1996 17:59:33 GMT""},{""version"":""v2"",""created"":""Tue, 14 Apr 1998 14:54:17 GMT""}]","2008-02-03"
"cond-mat/9611153",,"A.I. Buzdin and H. Kachkachi (University Bordeaux I)","Generalized Ginzburg-Landau theory for non-uniform FFLO superconductors","9 pages of RevTex, 3 figures available upon request at
  kachkach@bortibm4.in2p3.fr","Phys. Lett. A 225 (1997) 341-348","10.1016/S0375-9601(96)00894-8",,"cond-mat.supr-con",,"  We derive a generalized Ginzburg-Landau (GL) functional near the tricritical
point in the (T,H)-phase diagram for the Fulde-Ferrell-Larkin-Ovchinnikov
(FFLO) superconducting state, in 1,2, and 3 dimensions. We find that the
transition from the normal to the FFLO state is of second order in 1 and 2
dimensions, and the order parameter with one-coordinate sine modulation
corresponds to the lowest energy near the transition line. We also describe in
the one-dimensional case the transformation of the sine modulation into the
soliton-lattice state as the magnetic field decreases. In 3 dimensions however,
we find that the transition into an FFLO state is of first order, and it is
impossible to obtain an analytic expression for the critical temperature. In
this case the generalized GL functional proposed here provides a suitable basis
for a numerical study of the properties of the FFLO state, and in particular
for computing the critical temperature, and for describing the transition into
a uniform state.
","[{""version"":""v1"",""created"":""Wed, 20 Nov 1996 18:20:51 GMT""}]","2016-08-31"
"cond-mat/9611154","Nikolaus Rajewsky","N. Rajewsky, M. Schreckenberg","Exact results for one dimensional stochastic cellular automata for
  different types of updates","7 pages, Latex",,"10.1016/S0378-4371(97)00010-1","Cologne 21670","cond-mat.stat-mech",,"  We study two common types of time-noncontinuous updates for one dimensional
stochastic cellular automata with arbitrary nearest neighbor interactions and
arbitrary open boundary conditions. We first construct the stationary states
using the matrix product formalism. This construction then allows to prove a
general connection between the stationary states which are produced by the two
different types of updates. Using this connection, we derive explicit relations
between the densities and correlation functions for these different stationary
states.
","[{""version"":""v1"",""created"":""Wed, 20 Nov 1996 18:14:56 GMT""}]","2015-06-25"
"cond-mat/9611155","Gerald A. Miller","Gerald A. Miller and Larry B. Sorensen (University of Washington)","Quantum Electrodynamics of Internal Source X-Ray Holographies:
  Bremsstrahlung, Fluorescence, and Multiple Energy X-Ray Holography","44 pages, submitted to Phys. Rev. B, 11 figures available from Author
  Miller",,"10.1103/PhysRevB.56.2399","DOE/ER/41014-4-N97, DOE/ER/40561-300-INT96-00-154","cond-mat hep-ph nucl-th",,"  Quantum electrodynamics (qed) is used to derive the differential cross
sections measured in the three new experimental internal source ensemble x-ray
holographies: bremsstrahlung (BXH), fluorescence (XFH), and multiple-energy
(MEXH) x-ray holography. The polarization dependence of the BXH cross section
is also obtained. For BXH, we study analytically and numerically the possible
effects of the virtual photons and electrons which enter qed calculations in
summing over the intermediate states. For the low photon and electron energies
used in the current experiments, we show that the virtual intermediate states
produce only very small effects. This is because the uncertainty principle
limits the distance that the virtual particles can propagate to be much shorter
than the separation between the regions of high electron density in the
adjacent atoms. We also find that using the asymptotic form of the scattering
wave function causes about a 5-10% error for near forward scattering.
","[{""version"":""v1"",""created"":""Wed, 20 Nov 1996 22:56:07 GMT""}]","2009-10-28"
"cond-mat/9611156","YuKui. Zhou","Y.-K. Zhou and M.-T. Batchelor","Critical behaviour of the dilute O(n), Izergin-Korepin and dilute $A_L$
  face models: Bulk properties","23 pages, no ps figures, latex file, to appear in NPB",,"10.1016/S0550-3213(96)00654-2","MRR 057-96","cond-mat.stat-mech",,"  The analytic, nonlinear integral equation approach is used to calculate the
finite-size corrections to the transfer matrix eigen-spectra of the critical
dilute O(n) model on the square periodic lattice. The resulting bulk conformal
weights extend previous exact results obtained in the honeycomb limit and
include the negative spectral parameter regimes. The results give the operator
content of the 19-vertex Izergin-Korepin model along with the conformal weights
of the dilute $A_L$ face models in all four regimes.
","[{""version"":""v1"",""created"":""Wed, 20 Nov 1996 23:55:40 GMT""}]","2009-10-28"
"cond-mat/9611157","Masanori Ichioka","Masanori Ichioka, Nobuhiko Hayashi, Kazushige Machida (Okayama Univ.)","Local density of states in the vortex lattice in a type II
  superconductor","10 pages, RevTex, 32 figures","Phys. Rev. B 55, 6565 (1997).","10.1103/PhysRevB.55.6565",,"cond-mat.supr-con",,"  Local density of states (LDOS) in the triangular vortex lattice is
investigated based on the quasi-classical Eilenberger theory. We consider the
case of an isotropic s-wave superconductor with the material parameter
appropriate to NbSe_2. At a weak magnetic field, the spatial variation of the
LDOS shows cylindrical structure around a vortex core. On the other hand, at a
high field where the core regions substantially overlap each other, the LDOS is
sixfold star-shaped structure due to the vortex lattice effect. The orientation
of the star coincides with the experimental data of the scanning tunneling
microscopy. That is, the ray of the star extends toward the nearest-neighbor
(next nearest-neighbor) vortex direction at higher (lower) energy.
","[{""version"":""v1"",""created"":""Thu, 21 Nov 1996 00:43:36 GMT""}]","2016-08-31"
