"alg-geom/9611014","Klaus Altmann","Klaus Altmann and Arne B. Sletsjoe","Andre-Quillen cohomology of monoid algebras","LaTeX 2.09, uses pb-diagram.sty, 8 pages",,,,"alg-geom math.AC math.AG",,"  We compute the Andre-Quillen cohomology of an affine toric variety. The best
results are obtained either in the general case for the first three cohomology
groups, or in the case of isolated singularities for all cohomology groups,
respectively.
","[{""version"":""v1"",""created"":""Tue, 12 Nov 1996 18:13:18 GMT""}]","2008-02-03"
"astro-ph/9611094","Yong Zhong Qian","Y.-Z. Qian (Caltech) and S. E. Woosley (UCSC)","Nucleosynthesis in neutrino-driven winds: I. The physical conditions","56 pages, 1 Postscript table, 5 Postscript figures, AASTex","Astrophys.J. 471 (1996) 331-351","10.1086/177973",,"astro-ph",,"  During the first 20 seconds of its life, the enormous neutrino luminosity of
a neutron star drives appreciable mass loss from its surface. Previous
investigations have shown that this neutrino-driven wind could be the site
where the r-process occurs. The nucleosynthesis is sensitive to four physical
parameters characterizing the wind: its mass loss rate, the entropy per baryon,
the electron fraction, and the dynamic time scale. Different authors, using
numerical models for supernovae, have arrived at qualitatively different values
for these key parameters. Here we derive their values analytically and test our
analytic results by numerical calculations using an implicit hydrodynamic code.
Employing our analytic and numerical methods, we also investigate how various
factors can affect our results. The derived entropy typically falls short, by a
factor of two to three, of the value required to produce a strong r-process.
Various factors that might give a higher entropy or a more rapid expansion in
the wind are discussed.
","[{""version"":""v1"",""created"":""Tue, 12 Nov 1996 21:47:42 GMT""}]","2009-10-28"
"astro-ph/9611095",,"Heino Falcke (Univ. Maryland), Fulvio Melia (Univ. Arizona)","Accretion Disk Evolution With Wind Infall I. General Solution and
  Application to Sgr A*","accepted for The Astrophysical Journal, AAS LaTex, 20 pages, also
  available at http://www.astro.umd.edu/~hfalcke/publications.html#wintercept","Astrophys.J. 479 (1997) 740","10.1086/303893","hfa/eprint/No.19","astro-ph",,"  The evolution of an accretion disk can be influenced significantly by the
deposition of mass and angular momentum by an infalling Bondi-Hoyle wind. Such
a mass influx impacts the long-term behavior of the disk by providing
additional sources of viscosity and heating. In this paper, we derive and solve
the disk equations when these effects are taken into account. We present a
survey of models with various wind configurations and demonstrate that the disk
spectrum may then differ substantially from that of a standard alpha-disk. In
particular, it is likely that a wind-fed disk has a significant infrared bump
due to the deposition of energy in its outer region. We apply some of the
results of our calculations to the Galactic Center black hole candidate Sgr A*
and show that if a fossil disk is present in this source, it must have a very
low viscosity parameter (alpha<10^-4) and the Bondi-Hoyle wind must be
accreting with a very high specific angular momentum to prevent it from
circularizing in the inner disk region where its impact would be most
noticeable.
","[{""version"":""v1"",""created"":""Tue, 12 Nov 1996 22:39:08 GMT""}]","2009-10-28"
"astro-ph/9611096","Mathews","William G. Mathews (Lick Observatory, Santa Cruz CA)","Galactic Drips and How to Stop Them!","16 pages in AASTEX LaTeX including five figures; accepted by
  Astronomical Journal",,,,"astro-ph",,"  The temperature of hot interstellar gas at large radii in elliptical galaxies
can be lower than the mean galactic virial temperature. If so, a nonlinear
cooling wave can form in the hot interstellar gas and propagate slowly toward
the galactic core. If the cooling wave survives hydrodynamic instabilities, it
can intermittently deposit cold gas within about 15 effective radii. For a
bright elliptical the total mass deposited in this manner can approach 10^10
solar masses. The cold gas that drips out at large galactic radii may account
for the young stellar populations and extended gas at $\sim 10^4$ K observed in
many ellipticals, features that are often attributed to galactic mergers.
Galactic drips are expected in relatively isolated (field) ellipticals provided
(i) the galactic stellar velocity ellipsoids are radially oriented at large
galactic radii and (ii) the current Type Ia supernova rate is sufficiently
small to be consistent with interstellar iron abundances found in recent X-ray
studies. Galactic drips are surpressed in ellipticals located within clusters
of galaxies; when the pressure in the ambient cluster gas exceeds that in the
outer parts of the galactic interstellar medium, some cluster gas flows into
the galaxy which surpresses the drips.
","[{""version"":""v1"",""created"":""Wed, 13 Nov 1996 02:01:14 GMT""}]","2007-05-23"
"astro-ph/9611097","Yong Zhong Qian","R. D. Hoffman (1), S. E. Woosley (1), and Y.-Z. Qian (2) ((1)
  University of California, Santa Cruz, (2) Caltech)","Nucleosynthesis in neutrino-driven winds: II. Implications for heavy
  element synthesis","36 pages, 11 Postscript figures, AASTex","Astrophys.J.482:951,1997","10.1086/304181",,"astro-ph",,"  During the first 20 seconds of its life, the enormous neutrino luminosity of
a neutron star drives appreciable mass loss from its surface. This
neutrino-driven wind has been previously identified as a likely site for the
r-process. Qian & Woosley (1996) have derived, both analytically and
numerically, the physical conditions relevant for heavy element synthesis in
the wind. These conditions include the entropy (S), the electron fraction (Ye),
the dynamic time scale, and the mass loss rate. Here we explore the
implications of these conditions for nucleosynthesis. We find that the standard
wind models derived in that paper are inadequate to make the r-process, though
they do produce some rare species above the iron group. We further determine
the general restrictions on the entropy, the electron fraction, and the dynamic
time scale that are required to make the r-process. In particular, we derive
from nuclear reaction network calculations the conditions required to give a
sufficient neutron-to-seed ratio for production of the platinum peak. These
conditions range from Ye = 0.2 and S < 100 per baryon for reasonable dynamic
time scales of 0.001-0.1 s, to Ye = 0.4-0.495 and S > 400 per baryon for a
dynamic time scale of 0.1 s. These conditions are also derived analytically to
illustrate the physics determining the neutron-to-seed ratio.
","[{""version"":""v1"",""created"":""Wed, 13 Nov 1996 04:34:08 GMT""}]","2011-05-05"
"astro-ph/9611098","Yong Zhong Qian","Y.-Z. Qian (Caltech)","Neutrino-nucleus interaction and supernova r-process nucleosynthesis","8 pages, uses espcrc1.sty (included), Invited talk at the 4th
  International Conference on Nuclei in the Cosmos, Notre Dame (1996)","Nucl.Phys. A621 (1997) 363c-370c","10.1016/S0375-9474(97)00272-8",,"astro-ph",,"  We discuss various neutrino-nucleus interactions in connection with the
supernova r-process nucleosynthesis, which possibly occurs in the
neutrino-driven wind of a young neutron star. These interactions include
absorptions of electron neutrinos and antineutrinos on free nucleons,
electron-neutrino captures on neutron-rich nuclei, and neutral-current
interactions of heavy-flavor neutrinos with alpha particles and neutron-rich
nuclei. We describe how these interactions can affect the r-process
nucleosynthesis and discuss the implications of their effects for the physical
conditions leading to a successful supernova r-process. We conclude that a low
electron fraction and/or a short dynamic time scale may be required to give the
sufficient neutron-to-seed ratio for an r-process in the neutrino-driven wind.
In the case of a short dynamic time scale, the wind has to be contained during
the r-process. Possible mechanisms which can give a low electron fraction or
contain the wind are discussed.
","[{""version"":""v1"",""created"":""Wed, 13 Nov 1996 05:32:16 GMT""}]","2009-10-28"
"astro-ph/9611099","Renee Kraan Korteweg","R.C. Kraan-Korteweg (1), P.A. Woudt (2) and P.A. Henning (3) ((1)
  Observatoire de Paris-Meudon, (2) University of Cape Town, (3) University of
  New Mexico, Albuquerque)","Large-Scale Structures Behind the Southern Milky Way from Observations
  of Partially Obscured Galaxies","Presented at the Multibeam Workshop on ``HI in the Local Universe'',
  Sydney, May 13-15 1996. Accepted 2.11.1996 for publication by PASA.
  Latex-file with 4 encapsulated postscript files. Version with original
  figures available at
  http://www.atnf.csiro.au/~lstavele/13beam/proceedings/korteweg/korteweg.html",,"10.1071/AS97015",,"astro-ph",,"  We report here on extragalactic large-scale structures uncovered by a deep
optical survey for galaxies behind the southern Milky Way. Systematic visual
inspection of the ESO/SRC-survey revealed over 10000 previously unknown
galaxies in the region 265 < l < 340, |b| < 10. With subsequently obtained
redshifts of more than 10% of these galaxies, new structures across the Milky
Way are unveiled, such as a filament at <v> ~ 2500 km/s connecting to the Hydra
and Antlia clusters, a shallow extended supercluster in Vela (~ 6000km/s), and
a nearby (4882 km/s), very massive (M ~ 2-5 10^15 Msun), rich Coma-like cluster
which seems to constitute the previously unidentified center of the Great
Attractor. The innermost part of the Milky Way where the foreground obscuration
in the blue is 5mag, respectively HI-column densities greater than 6 10^21 /
cm^2 remains fully opaque. In this approximately 8 degrees wide strip, the
forthcoming blind HI-survey with the multi-beam system at Parkes will provide
the only tool to unveil this part of the extragalactic sky.
","[{""version"":""v1"",""created"":""Wed, 13 Nov 1996 10:31:53 GMT""}]","2015-06-24"
"astro-ph/9611100",,"S. Borgani, L. Moscardini, M. Plionis, K. M. Gorski, J. Holtzman, A.
  Klypin, J. R. Primack, C. C. Smith, R. Stompor","Constraining the Power Spectrum using Clusters","37 pages, Latex file, 9 figures; New Astronomy, in press",,"10.1016/S1384-1076(96)00021-8",,"astro-ph",,"  (Shortened Abstract). We analyze a redshift sample of Abell/ACO clusters and
compare them with numerical simulations based on the truncated Zel'dovich
approximation (TZA), for a list of eleven dark matter (DM) models. For each
model we run several realizations, on which we estimate cosmic variance
effects. We analyse correlation statistics, the probability density function,
and supercluster properties from percolation analysis. As a general result, we
find that the distribution of galaxy clusters provides a constraint only on the
shape of the power spectrum, but not on its amplitude: a shape parameter 0.18 <
\Gamma < 0.25 and an effective spectral index at 20Mpc/h in the range
[-1.1,-0.9] are required by the Abell/ACO data. In order to obtain
complementary constraints on the spectrum amplitude, we consider the cluster
abundance as estimated using the Press--Schechter approach, whose reliability
is explicitly tested against N--body simulations. We conclude that, of the
cosmological models considered here, the only viable models are either Cold+Hot
DM ones with \Omega_\nu = [0.2-0.3], better if shared between two massive
neutrinos, and flat low-density CDM models with \Omega_0 = [0.3-0.5].
","[{""version"":""v1"",""created"":""Wed, 13 Nov 1996 13:20:46 GMT""}]","2009-10-28"
"astro-ph/9611101","Antonio Lanza","M.A. Abramowicz, A.Lanza, and M.J. Percival","Accretion disks around Kerr black holes: vertical equilibrium reviseted","14 pages LaTex file, no figures to appear in The Astrophysical
  Journal, April 10 issue",,,"SISSA 165/96/A","astro-ph",,"  We re-derive the equation for vertical hydrodynamical equilibrium of
stationary thin and slim accretion disks in the Kerr spacetime. All the
previous derivations have been unsatisfactory, yielding unphysical
singularities. Our equation is non-singular, more general, and simpler than
those previously derived.
","[{""version"":""v1"",""created"":""Wed, 13 Nov 1996 14:03:59 GMT""}]","2007-05-23"
"astro-ph/9611102","Albrecht Karle","A. Karle, T. Mikolajski, S. Cichos, S. Hundertmark, D. Pandel, C.
  Spiering, O. Streicher, T. Thon, C. Wiebusch, R. Wischnewski (DESY-IfH,
  Zeuthen)","Analog Optical Transmission of Fast Photomultiplier Pulses Over
  Distances of 2 km","6 pages, postscript. Contribution to Conference on New Developments
  in Photodetection, Beaune 96, June 1996, to appear in Proc. Suppl. Nucl.
  Inst. and Meth., Section A","Nucl.Instrum.Meth.A387:274-277,1997","10.1016/S0168-9002(96)01006-6","DESY 96-186","astro-ph",,"  New LED-transmitters have been used to develop a new method of fast analog
transmission of PMT pulses over large distances. The transmitters, consisting
basically of InGaAsP LEDs with the maximum emission of light at 1300 nm, allow
the transmission of fast photomultiplier pulses over distances of more than 2
km. The shape of the photomultiplier pulses is maintained, with an attenuation
less than 1 dB/km. Typical applications of analog optical signal transmission
are surface air shower detectors and underwater/ice neutrino experiments, which
measure fast Cherenkov or scintillator pulses at large detector distances to
the central DAQ system.
","[{""version"":""v1"",""created"":""Wed, 13 Nov 1996 14:21:16 GMT""}]","2011-04-15"
"chao-dyn/9611005","Dima Shepelyansky","D.L. Shepelyansky","Low energy chaos in the Fermi-Pasta-Ulam problem","revtex, 12 pages, 5 figures, submitted to Nonlinearity",,"10.1088/0951-7715/10/5/017",,"chao-dyn nlin.CD",,"  A possibility that in the FPU problem the critical energy for chaos goes to
zero with the increase of the number of particles in the chain is discussed.
The distribution for long linear waves in this regime is found and an estimate
for new border of transition to energy equipartition is given.
","[{""version"":""v1"",""created"":""Wed, 13 Nov 1996 14:29:09 GMT""}]","2009-10-28"
"cmp-lg/9611002","Carl de Marcken","Carl de Marcken (MIT)","Unsupervised Language Acquisition","PhD thesis, 133 pages",,,,"cmp-lg cs.CL",,"  This thesis presents a computational theory of unsupervised language
acquisition, precisely defining procedures for learning language from ordinary
spoken or written utterances, with no explicit help from a teacher. The theory
is based heavily on concepts borrowed from machine learning and statistical
estimation. In particular, learning takes place by fitting a stochastic,
generative model of language to the evidence. Much of the thesis is devoted to
explaining conditions that must hold for this general learning strategy to
arrive at linguistically desirable grammars. The thesis introduces a variety of
technical innovations, among them a common representation for evidence and
grammars, and a learning strategy that separates the ``content'' of linguistic
parameters from their representation. Algorithms based on it suffer from few of
the search problems that have plagued other computational approaches to
language acquisition.
  The theory has been tested on problems of learning vocabularies and grammars
from unsegmented text and continuous speech, and mappings between sound and
representations of meaning. It performs extremely well on various objective
criteria, acquiring knowledge that causes it to assign almost exactly the same
structure to utterances as humans do. This work has application to data
compression, language modeling, speech recognition, machine translation,
information retrieval, and other tasks that rely on either structural or
stochastic descriptions of language.
","[{""version"":""v1"",""created"":""Tue, 12 Nov 1996 19:17:31 GMT""}]","2008-02-03"
"cond-mat/9611090","Brosens","F. Brosens, J. T. Devreese, L. F. Lemmens","Rotational properties of trapped bosons","REVTEX (4 pages) 1 figure",,,,"cond-mat",,"  Based on the Hellman-Feynman theorem it is shown that the average square
radius of a cloud of interacting bosons in a parabolic well can be derived from
their free energy. As an application, the temperature dependence of the moment
of inertia of non-interacting bosons in a parabolic trap is determined as a
function of the number of bosons. Well below the critical condensation
temperature, the Bose-Einstein statistics are found to substantially reduce the
moment of inertia of this system, as compared to a gas of ""distinguishable""
particles in a parabolic well.
","[{""version"":""v1"",""created"":""Tue, 12 Nov 1996 17:18:31 GMT""},{""version"":""v2"",""created"":""Wed, 13 Nov 1996 09:56:02 GMT""}]","2008-02-03"
"cond-mat/9611091","John M. Tranquada","J. M. Tranquada, P. Wochner, A. R. Moodenbaugh, D. J. Buttrey","Field-Induced Staggered Magnetic Order in La(2)NiO(4.133)","4 pages, Revtex, 4 epsf figs included with psfigs",,"10.1103/PhysRevB.55.R6113",,"cond-mat.str-el",,"  At low temperature the holes doped into the NiO(2) planes of La(2)NiO(4.133)
by the excess oxygen collect in diagonal stripes that separate narrow
antiferromagnetic domains. The magnetic order drops abruptly to zero at T_m =
110.5 K, but charge order remains with a period of 3a/2. We show that
application of a magnetic field in the regime T > T_m induces staggered
magnetic order of period 3a due to the net magnetic moment of the
high-temperature bond-centered stripes, together with the odd number of Ni
spins across an antiferromagnetic domain.
","[{""version"":""v1"",""created"":""Tue, 12 Nov 1996 16:49:00 GMT""}]","2009-10-28"
"cond-mat/9611092","Beran","P. Beran (University Neuchatel, Switzerland)","Electron-Hole Correlation in Fractional Quantum Hall Systems","4 pages, RevTex, no figures",,,,"cond-mat.mes-hall",,"  The 2D system of electron confined to the lowest Landau level is described
using a representation of the density matrix depending both on electron and
hole coordinates. Condensation of the electron system into a fractional quantum
Hall state is associated to clustering of particle and hole coordinates. The
correlation of particle and hole coordinates is studied and groundstate wave
functions are derived for $\nu=p/(2p \pm 1)$. These wave functions prove to be
accurate for the studied cases $\nu=2/3$ and $3/5$ and are identical to pair
wave functions [R. Morf et al., Phys. Rev. B34, 3037 (1986)] for $\nu=2/3$ and
$2/5$.
","[{""version"":""v1"",""created"":""Tue, 12 Nov 1996 16:44:28 GMT""}]","2016-08-31"
