"alg-geom/9611035","Geng Xu","Gang Tian and Geng Xu","On the semi-simplicity of the quantum cohomology algebras of complete
  intersections","9 pages plain TeX",,,,"alg-geom math.AG",,"  In this short note, we study the semi-simplicity of the quantum cohomology
algebra H(V, C) of a Fano complete intersection V, and show that the subspace
of H(V, C) generated by the hyperplane sections is semi-simple in the sense of
Dubrovin when the degree of V satisfies certain conditions.
","[{""version"":""v1"",""created"":""Tue, 26 Nov 1996 19:47:05 GMT""}]","2008-02-03"
"astro-ph/9611224","Tom Abel","Yu Zhang, Michael L. Norman, Peter Anninos, Tom Abel","Primordial Star Forming Regions in a CDM Universe","4 pages, with one figure that prints in color. To appear in the
  proceedings of the 7th Annual Astrophysics Conference in Maryland, STAR
  FORMATION, NEAR AND FAR, eds. Stephen S. Holt and Lee G. Mundy. This paper
  and some of the referenced articles are also available at
  http://lca.ncsa.uiuc.edu/~tom/PGas/bib.html",,"10.1063/1.52749",,"astro-ph",,"  We developed a three-dimensional 2-level hierarchical cosmological code with
a realistic and robust treatment of multi-species non-equilibrium ionization
and radiative cooling processes, and use it to investigate primordial star
forming regions that originate from high-\sigma perturbations in a standard CDM
dominated cosmology. We find it is possible to produce gravitationally bound
and cooled structures at very high redshift (z ~ 40) with baryonic masses as
small as ~1000Ms. The molecular hydrogen formation in these small scale
structures follows very well the analytical predictions of Abel (1995) and
Tegmark et al. (1996). We also discuss the minimum mass that cosmological
structures must have in order to be able to cool and collapse.
","[{""version"":""v1"",""created"":""Tue, 26 Nov 1996 23:42:55 GMT""}]","2009-10-28"
"astro-ph/9611225","Gregory Tucker","G. S. Tucker, H. P. Gush, M. Halpern, I. Shinkoda and W. Towlson","Anisotropy in the Microwave Sky: Results from the First Flight of BAM","18 pages, 3 Postscript figures, uses aasms4.sty. Accepted for
  publication in Ap.J.Lett",,,,"astro-ph",,"  Results are reported from the first flight of a new balloon-borne instrument,
BAM (Balloon-borne Anisotropy Measurement), designed to search for cosmic
microwave background (CMB) anisotropy. The instrument uses a cryogenic
differential Fourier transform spectrometer to obtain data in five spectral
channels whose central frequencies lie in the range 3.7 cm^{-1} to 8.5 cm^{-1}.
The spectrometer is coupled to an off-axis prime focus telescope; the
combination yields difference spectra of two regions on the sky defined by
0\fdg 7 FWHM beams separated by 3\fdg 6. Single differences obtained at ten sky
positions show statistically significant fluctuations. Assuming Gaussian
correlated anisotropy, for the band average 3.1 cm^{-1} to 9.2 cm^{-1}, one
finds $\Delta T/T = 3.1^{+3.1}_{1.1}\times 10^{-5}$ (90% confidence interval)
for a correlation angle of 1\fdg 2. This corresponds to $Q_{flat} =
35.9^{17.7}_{6.3} \mu K$ (1\sigma).
","[{""version"":""v1"",""created"":""Wed, 27 Nov 1996 01:34:03 GMT""}]","2007-05-23"
"astro-ph/9611226","Julianne Dalcanton","J. J. Dalcanton, D. N. Spergel, and F J Summers","The Formation of Disk Galaxies","48 pages LaTeX w/ figures. Accepted to the Astrophysical Journal",,"10.1086/304182",,"astro-ph",,"  We present a scenario for the formation of disks which explains not only the
properties of normal galaxies, but the properties of the population of low
surface brightness galaxies (LSBs) as well. We use a gravitationally
self-consistent model for disk collapse to calculate the observable properties
of disk galaxies as a function of mass and angular momentum of the initial
protogalaxy. The model naturally produces smooth, asymptotically flat rotation
curves, exponential surface brightness profiles over many disk scale lengths,
the Tully-Fisher relation as a function of surface brightness, the observed
distribution of scale lengths and surface brightnesses, and the variation of
rotation curve shapes. In the model, low mass and/or high angular momentum
halos naturally form low surface brightness disks. Theoretical and numerical
calculations suggest galaxy halos should form with a wide range of mass and
angular momenta, and thus, the disks which form within these halos should have
a wide range of surface brightnesses and scale lengths. We use the formalism to
calculate the expected change in the observed luminosity function (LF) and
luminosity density as a function of limiting surface brightness. Current
measurements of the LF may by off by factors of 2 at L*. [SHORTENED]
","[{""version"":""v1"",""created"":""Wed, 27 Nov 1996 04:05:35 GMT""}]","2009-10-28"
"astro-ph/9611227","il Piccolo Principe","Marina Gibilisco (Queen Mary and Westfield College, London,
  Universit\'a degli Studi di Milano and Universit\'a degli Studi di Pavia,
  Italy)","Reionization of the Universe induced by Primordial Black Holes","Plain Tex, 6 pages. Contribution to the 12th Italian Conference on
  General Relativity and Gravitational Physics. Figures on request","Int.J.Mod.Phys.A11:5541-5568,1996","10.1142/S0217751X96002546","KfA-5-1996","astro-ph gr-qc",,"  In this paper I will discuss the possibility of a reionization of the
Universe due to the photons emitted by evaporating primordial black holes
(PBHs); this process should happen during the last stages of the PBHs life,
when the particle emission is very intense. I will study the time evolution of
the ionization degree x, of the plasma temperature $T_{e}$ and of the photon
number density $n_{\gamma}$ characterizing the Universe after the recombination
epoch: a system of coupled differential equations for these variables is solved
in an analytical way by assuming, as a photon source, PBHs having an initial
mass $M\sim 10^{14}$ g. The results I obtain prove that such a kind of
reionization is possible, being able to increase the ionization degree of the
Universe from a value x=0.002 (just after the recombination) to values near 1
(when the black holes evaporation ends).
","[{""version"":""v1"",""created"":""Wed, 27 Nov 1996 09:33:50 GMT""}]","2011-04-15"
"astro-ph/9611228","Michael E. Jones","Graca Rocha, Stephen Hancock (MRAO Cambridge UK)","Theoretical implications of microwave background radiation anisotropy
  experiments","7 pages LaTeX, including 6 PostScript figures. To appear in
  proceedings of the XXXIst Rencontre de Moriond, `Microwave Background
  Anisotropies'",,,,"astro-ph",,"  Observational results from several experiments such as COBE, SP, Saskatoon,
PYTHON, ARGO, MAX, MSAM, Tenerife and CAT are considered and a comparison is
made with predictions from several models. Conclusions are reached about the
viability of current structure formation models.
","[{""version"":""v1"",""created"":""Wed, 27 Nov 1996 10:16:00 GMT""}]","2007-05-23"
"astro-ph/9611229","Tomislav Kundic","Roger D. Blandford and Tomislav Kundic (Caltech)","Gravitational Lensing and the Extragalactic Distance Scale","16 pages, 3 eps figures, uses cupconf.sty. To appear in ""The
  Extragalactic Distance Scale"", eds. M. Livio, M. Donahue, and N. Panagia
  (Cambridge University Press)",,,"GRP-454","astro-ph",,"  The potential of gravitational lenses for providing direct, physical
measurements of the Hubble constant, free from systematic errors associated
with the traditional distance ladder, has long been recognized. However, it is
only recently that there has been a convincing measurement of a time delay
sufficiently accurate to carry out this program. By itself, an accurate time
delay measurement does not produce an equivalently definite Hubble constant and
the errors associated with models of the primary lens, propagation through the
potential fluctuations produced by the large-scale structure and the global
geometry of the universe must also be taken into account. The prospects for
measuring several more time delays and the feasibility of making the
corresponding estimates of the Hubble constant with total error smaller than
ten percent are critically assessed.
","[{""version"":""v1"",""created"":""Wed, 27 Nov 1996 11:17:46 GMT""}]","2007-05-23"
"chao-dyn/9611015","Tomaz Prosen","Tomaz Prosen (Physics Dept., Univ.of Ljubljana, Slovenia)","Quantization of generic chaotic 3D billiard with smooth boundary I:
  energy level statistic","10 pages in plain Latex (6 figures in PCL format available upon
  request) submitted to Phys. Lett. A",,"10.1016/S0375-9601(97)00499-4",,"chao-dyn nlin.CD",,"  Numerical calculation and analysis of extremely high-lying energy spectra,
containing thousands of levels with sequential quantum number up to 62,000 per
symmetry class, of a generic chaotic 3D quantum billiard is reported. The shape
of the billiard is given by a simple and smooth de formation of a unit sphere
which gives rise to (almost) fully chaotic classical dynamics. We present an
analysis of (i) quantum length spectrum whose smooth part agrees with the 3D
Weyl formula and whose oscillatory part is peaked around the periods of
classical periodic orbits, (ii) nearest neighbor level spacing distribution and
(iii) number variance.
  Although the chaotic classical dynamics quickly and uniformly explores almost
entire energy shell, while the measure of the regular part of phase space is
insignificantly small, we find small but significant deviations from GOE
statistics which are explained in terms of localization of eigenfunctions onto
lower dimensional classically invariant manifolds.
","[{""version"":""v1"",""created"":""Wed, 27 Nov 1996 09:56:43 GMT""}]","2009-10-28"
"chao-dyn/9611016","Tomaz Prosen","Tomaz Prosen (Physics Dept., Faculty of Math. and Phys., Univ. of
  Ljubljana, Ljubljana, Slovenia)","Quantization of generic chaotic 3D billiard with smooth boundary II:
  structure of high-lying eigenstates","12 pages in plain Latex (5 figures in PCL format available upon
  request) Submitted to Phys.Lett.A",,"10.1016/S0375-9601(97)00492-1",,"chao-dyn nlin.CD",,"  This is the first survey of highly excited eigenstates of a chaotic 3D
billiard. We introduce a strongly chaotic 3D billiard with a smooth boundary
and we manage to calculate accurate eigenstates with sequential number (of a
48-fold desymmetrized billiard) about 45,000. Besides the brute-force
calculation of 3D wavefunctions we propose and illustrate another two
representations of eigenstates of quantum 3D billiards: (i) normal derivative
of a wavefunction over the boundary surface, and (ii) ray - angular momentum
representation. The majority of eigenstates is found to be more or less
uniformly extended over the entire energy surface, as expected, but there is
also a fraction of strongly localized - scarred eigenstates which are localized
either (i) on to classical periodic orbits or (ii) on to planes which carry
(2+2)-dim classically invariant manifolds, although the classical dynamics is
strongly chaotic and non-diffusive.
","[{""version"":""v1"",""created"":""Wed, 27 Nov 1996 09:59:17 GMT""}]","2009-10-28"
"chao-dyn/9611017",,"P. Leboeuf","Normal and Anomalous Diffusion in a Deterministic Area-preserving Map","15 pages, Latex, 6 figures",,,,"chao-dyn nlin.CD",,"  Chaotic deterministic dynamics of a particle can give rise to diffusive
Brownian motion. In this paper, we compute analytically the diffusion
coefficient for a particular two-dimensional stochastic layer induced by the
kicked Harper map. The variations of the transport coefficient as a parameter
is varied are analyzed in terms of the underlying classical trajectories with
particular emphasis in the appearance and bifurcations of periodic orbits. When
accelerator modes are present, anomalous diffusion of the L\'evy type can
occur. The exponent characterizing the anomalous diffusion is computed
numerically and analyzed as a function of the parameter.
","[{""version"":""v1"",""created"":""Wed, 27 Nov 1996 14:22:55 GMT""}]","2008-02-03"
"cond-mat/9611204","Frank Julicher","Frank Julicher and Jacques Prost","Spontaneous Oscillations of Collective Molecular Motors","11 pages, Revtex, 4 pages Figures","Phys. Rev. Lett. 78, 4510 (1997)","10.1103/PhysRevLett.78.4510",,"cond-mat.soft cond-mat.stat-mech physics.bio-ph",,"  We analyze a simple stochastic model to describe motor molecules which
cooperate in large groups and present a physical mechanism which can lead to
oscillatory motion if the motors are elastically coupled to their environment.
Beyond a critical fuel concentration, the non-moving state of the system
becomes unstable with respect to a mode with angular frequency omega. We
present a perturbative description of the system near the instability and
demonstrate that oscillation frequencies are determined by the typical
timescales of the motors.
","[{""version"":""v1"",""created"":""Tue, 26 Nov 1996 16:04:02 GMT""}]","2009-10-28"
"cond-mat/9611205","Artur Sowa","Artur Sowa (Ph.D. Program in Mathematics, City University of New York)","Magnetic Oscillations and Maxwell Theory","10 pages, Latex, 6 Postscript figures, submitted to Physics Letters A","PLA 228 (1997) 347","10.1016/S0375-9601(97)00137-0",,"cond-mat.mtrl-sci",,"  We explore the possibility of using the Kaluza-Klein geometry of Riemannian
Submersions to modify the classical Maxwell Theory. We further argue that the
resulting modification of Electromagnetism may be interesting in the context
of, among other topics, magnetic oscillations in metals.
","[{""version"":""v1"",""created"":""Tue, 26 Nov 1996 18:16:40 GMT""}]","2009-10-28"
"cond-mat/9611206","Martin Rost","Martin Rost, Joachim Krug","Coarsening of Surface Structures in Unstable Epitaxial Growth","15 pages, Latex. Submitted to PRE",,"10.1103/PhysRevE.55.3952",,"cond-mat.stat-mech",,"  We study unstable epitaxy on singular surfaces using continuum equations with
a prescribed slope-dependent surface current. We derive scaling relations for
the late stage of growth, where power law coarsening of the mound morphology is
observed. For the lateral size of mounds we obtain $\xi \sim t^{1/z}$ with $z
\geq 4$. An analytic treatment within a self-consistent mean-field
approximation predicts multiscaling of the height-height correlation function,
while the direct numerical solution of the continuum equation shows
conventional scaling with z=4, independent of the shape of the surface current.
","[{""version"":""v1"",""created"":""Tue, 26 Nov 1996 18:32:36 GMT""},{""version"":""v2"",""created"":""Thu, 28 Nov 1996 11:18:19 GMT""}]","2009-10-28"
"cond-mat/9611207","Anatoly Kuklov","A. B. Kuklov, N. Chencinski, A. M. Levine, W. M. Schreiber, and Joseph
  L. Birman","Quantum Versus Mean Field Behavior of Normal Modes of a Bose-Einstein
  Condensate in a Magnetic Trap","minor corrections are introduced into the text",,"10.1103/PhysRevA.55.R3307",,"cond-mat",,"  Quantum evolution of a collective mode of a Bose-Einstein condensate
containing a finite number N of particles shows the phenomena of collapses and
revivals. The characteristic collapse time depends on the scattering length,
the initial amplitude of the mode and N. The corresponding time values have
been derived analytically under certain approximation and numerically for the
parabolic atomic trap. The revival of the mode at time of several seconds, as a
direct evidence of the effect, can occur, if the normal component is
significantly suppressed.
  We also discuss alternative means to verify the proposed mechanism.
","[{""version"":""v1"",""created"":""Tue, 26 Nov 1996 22:40:33 GMT""},{""version"":""v2"",""created"":""Wed, 27 Nov 1996 18:13:21 GMT""}]","2016-08-31"
"cond-mat/9611208","Jorge Jose","P. H. E. Tiesinga, T. J. Hagenaars, J. E. van Himbergen and Jorge V.
  Jos\'e","1/\omega-flux-noise and dynamical critical properties of two-dimensional
  XY-models","4 pages Rev-Tex, two figures in postscript. To appear In Physical
  Review Letters","Phys. Rev. Lett. 78 (1997) 519","10.1103/PhysRevLett.78.519",,"cond-mat.supr-con cond-mat.stat-mech",,"  We have numerically studied the dynamic correlation functions in
thermodynamic equilibrium of two-dimensional O(2)-symmetry models with either
bond (RSJ) or site (TDGL) dissipation as a function of temperature T. We find
that above the critical temperature the frequency dependent flux noise
$S_{\Phi}(\omega)\sim \vert 1+ {(\omega/\Omega)}^2\vert^{-\alpha (T)/2}$, with
$0.85\leq \alpha (TDGL)(T)\leq 0.95$ and $1.17 \leq \alpha (RSJ)(T) \leq 1.27$,
while the dynamic critical exponents $z(TDGL)\sim 2.0$ and $z(RSJ)\sim 0.9$.
Contrary to expectation the TDGL results are in closer agreement with the
experiments in Josephson-junction arrays by Shaw et al., than those from the
RSJ model. We find that these results are related to anomalous vortex diffusion
through vortex clusters.
","[{""version"":""v1"",""created"":""Tue, 26 Nov 1996 21:48:28 GMT""}]","2016-08-15"
"cond-mat/9611209",,"A. J. Bray","Velocity Distribution of Topological Defects in Phase-Ordering Systems","5 pages, Revtex, no figures, minor revisions and updates, to appear
  in Physical Review E (May 1, 1997)","Phys. Rev. E 55, 5297 (1997)","10.1103/PhysRevE.55.5297",,"cond-mat.stat-mech",,"  The distribution of interface (domain-wall) velocities ${\bf v}$ in a
phase-ordering system is considered. Heuristic scaling arguments based on the
disappearance of small domains lead to a power-law tail, $P_v(v) \sim v^{-p}$
for large v, in the distribution of $v \equiv |{\bf v}|$. The exponent p is
given by $p = 2+d/(z-1)$, where d is the space dimension and 1/z is the growth
exponent, i.e. z=2 for nonconserved (model A) dynamics and z=3 for the
conserved case (model B). The nonconserved result is exemplified by an
approximate calculation of the full distribution using a gaussian closure
scheme. The heuristic arguments are readily generalized to conserved case
(model B). The nonconserved result is exemplified by an approximate calculation
of the full distribution using a gaussian closure scheme. The heuristic
arguments are readily generalized to systems described by a vector order
parameter.
","[{""version"":""v1"",""created"":""Tue, 26 Nov 1996 19:20:08 GMT""},{""version"":""v2"",""created"":""Tue, 25 Feb 1997 14:11:46 GMT""}]","2009-10-28"
