"alg-geom/9610017","Rodriguez Romo Suemi-FESC","V.K. Kharchenko, J. Keller, S. Rodriguez-Romo","Prime rings with PI rings of constants","20 pages, LaTex2e, to appear in Israel Journal of Mathematics, volume
  96, part B, 1996 (357-377)",,,,"alg-geom math.AG math.QA q-alg",,"  It is shown that if the ring of constants of a restricted differential Lie
algebra with a quasi-Frobenius inner part satisfies a polynomial identity (PI)
then the original prime ring has a generalized polynomial identitiy (GPI). If
additionally the ring of constants is semiprime then the original ring is PI.
The case of a non-quasi-Frobenius inner part is also considered.
","[{""version"":""v1"",""created"":""Tue, 15 Oct 1996 16:59:22 GMT""}]","2008-02-03"
"astro-ph/9610117","Riccardo Giovanelli","R. Giovanelli (1), M. Haynes (1), T. Herter (1), N. Vogt (1), L. da
  Costa (2), W. Freudling (2), J. Salzer (3) and G. Wegner (4) ((1) Cornell
  University, (2) ESO, (3) Wesleyan University, (4) Dartmouth College)","The I-Band Tully-Fisher Relation for Cluster Galaxies: Data Presentation","38 pages, 3 tables, 18 figures, uses AAS LaTex; to appear in AJ Jan
  97 Table 2 consists of 23 pages. Only the first page is included here. If you
  wish to obtain the full file, contact riccardo@astrosun.tn.cornell.edu.
  Similarly, figures 2-12 are quite large and require valuable space; only fig.
  2 is included here. Figures 3-12 are analogous (for different clusters) and
  can be obtained by writing to the same address as above","Astron.J.113:22-52,1997","10.1086/118233",,"astro-ph",,"  Observational parameters which can be used for redshift-independent distance
determination using the Tully-Fisher (TF) technique are given for 782 spiral
galaxies in the fields of 24 clusters or groups. I band photometry for the full
sample was either obtained by us or compiled from published literature.
Rotational velocities are derived either from 21 cm spectra or optical emission
line long--slit spectra, and converted to a homogeneous scale. In addition to
presenting the data, a discussion of the various sources of error on TF
parameters is introduced, and the criteria for the assignment of membership to
each cluster are given. The construction of a TF template, bias corrections and
cluster motions are discussed in an accompanying paper.
","[{""version"":""v1"",""created"":""Tue, 15 Oct 1996 21:44:59 GMT""}]","2009-07-28"
"astro-ph/9610118","Riccardo Giovanelli","R. Giovanelli (1), M. Haynes (1), T. Herter (1), N. Vogt (1), L. da
  Costa (2), W. Freudling (2), J. Salzer (3) and G. Wegner (4) ((1) Cornell
  University, (2) ESO, (3) Wesleyan University, (4) Dartmouth College)","The I-Band Tully-Fisher Relation for Cluster Galaxies: a Template
  Relation, its Scatter and Bias Corrections","39 pages, 5 tables, 24 figures, uses AAS LaTex; to appear in AJ Jan
  97 Figures 17 and 18 are not included here. If you wish to obtain them,
  contact riccardo@astrosun.tn.cornell.edu",,"10.1086/118234",,"astro-ph",,"  Infrared I band photometry and velocity widths for galaxies in 24 clusters,
with radial velocities between 1,000 and 10,000 \kms, are used to construct a
template Tully--Fisher (TF) relation. The sources of scatter in the TF diagram
are analyzed in detail; it is shown that the common practice of referring to a
single figure of TF scatter is incorrect and can lead to erroneous bias
corrections. Biases resulting from sample incompleteness, catalog inaccuracies,
cluster size and other sources, as well as dependences of TF parameters on
morphological type and local environment, are discussed and appropriate
corrections are obtained. A template TF relation is constructed by combining
the data from the 24 clusters, and kinematic cluster offsets from a putative
reference frame which well approximates null velocity with respect to the
cosmic microwave background, are obtained.
","[{""version"":""v1"",""created"":""Tue, 15 Oct 1996 22:09:13 GMT""}]","2009-10-28"
"astro-ph/9610119","J.  Richard Bond","J. Richard Bond (CITA)","The Theoretical Agenda in CMB Research","8 pages, 2 Postscript figures, uses cmb.sty (included), to appear in
  Proc. XXXIst Moriond Conf., ""Microwave Background Anisotropies"", also
  available from anonymous ftp site:
  ftp://ftp.cita.utoronto.ca/ftp/cita/bond/moriond/",,,"CITA preprint CITA-96-15","astro-ph",,"  The terrain that theorists cover in this CMB golden age is described. We
ponder early universe physics in quest of the fluctuation generator. We extoll
the virtues of inflation and defects. We transport fields, matter and radiation
into the linear (primary anisotropies) and nonlinear (secondary anisotropies)
regimes. We validate our linear codes to deliver accurate predictions for
experimentalists to shoot at. We struggle at the computing edge to push our
nonlinear simulations from only illustrative to fully predictive. We are now
phenomenologists, optimizing statistical techniques for extracting truths and
their errors from current and future experiments. We begin to clean
foregrounds. We join CMB experimental teams. We combine the CMB with large
scale structure, galaxy and other cosmological observations in search of
current concordance. The brave use all topical data. Others carefully craft
their prior probabilities to downweight data sets. We are always unbiased. We
declare theories sick, dead, ugly. Sometimes we cure them, resurrect them,
rarely beautify them. Our goal is to understand how all cosmic structure we see
arose and what the Universe is made of, and to use this to discover the laws of
ultrahigh energy physics. Theorists are humble, without hubris.
","[{""version"":""v1"",""created"":""Tue, 15 Oct 1996 22:20:25 GMT""}]","2007-05-23"
"astro-ph/9610120","Nick Kaiser","Nick Kaiser (CITA, U. Toronto)","Weak Lensing and Cosmology","15 pages, submitted to Astrophysical Journal
  http://www.cita.utoronto.ca/~kaiser for related papers/links","Astrophys.J. 498 (1998) 26","10.1086/305515","CITA-96-16","astro-ph",,"  We explore the dependence of weak lensing phenomena on the background
cosmology. We first generalise the relation between $P_\psi(\omega)$, the
angular power spectrum of the distortion, and the power spectrum of density
fluctuations to non-flat cosmologies. We then compute $P_\psi$ for various
illustrative models. A useful cosmological discriminator is the growth of
$P_\psi$ with source redshift which is much stronger in low matter density
models, and especially in $\Lambda$-dominated models. With even crude redshift
information (say from broad band colours) it should be possible to constrain
the cosmological world model. The amplitude of $P_\psi(\omega)$ is also quite
sensitive to the cosmology, but requires a reliable external normalisation for
the mass fluctuations. If one normalises to galaxy clustering, with $M/L$ fixed
by small-scale galaxy dynamics, then low density models predict a much stronger
distortion. If, however, one normalises to large-scale bulk-flows, the
predicted distortion for sources at redshifts $Z_s \sim 1-3$ is rather
insensitive to the background cosmology. The signals predicted here can be
detected at a very high level of significance with a photometric survey
covering say 10 square degrees, but sparse sampling is needed to avoid large
sampling variance and we discuss the factors influencing the design of an
optimum survey. Turning to weak lensing by clusters we find that for high lens
redshifts ($Z_l\simeq1$) the critical density is substantially reduced in
$\Lambda$ models, but that the ratio of the shear or convergence to the
velocity dispersions or X-ray temperature of clusters is only very weakly
dependent on the cosmology.
","[{""version"":""v1"",""created"":""Wed, 16 Oct 1996 00:22:18 GMT""}]","2009-10-28"
"astro-ph/9610121","Takashi Nakamura","T. Nakamura, Y. Kan-ya and R. Nishi","The Minimum Total Mass of MACHOs and Halo Models of the Galaxy","5 pages, 5 Encapsulated PostScript figures, Latex, Accepted for
  publication in Apj. Letters",,"10.1086/310396","YITP-96-49, KUNS-1415","astro-ph",,"  If the density distribution \rho (r) of MACHOs is spherically symmetric with
respect to the Galactic center, it is shown that the minimal total mass
M_{min}^{{ MACHO}} of the MACHOs is 1.7\times 10^{10}\sol \tau_{-6.7}^{{ LMC}}
where \tau_{-6.7}^{{ LMC}} is the optical depth (\tau^{{ LMC}}) toward the
Large Magellanic Cloud (LMC) in the unit of 2\times 10^{-7}. If \rho (r) is a
decreasing function of r, it is proved that M_{min}^{{ MACHO}} is 5.6\times
10^{10}\sol \tau_{-6.7}^{{ LMC}}. Several spherical and axially symmetric halo
models of the Galaxy with a few free parameters are also considered. It is
found that M_{min}^{{ MACHO}} ranges from 5.6\times 10^{10}\sol \tau_{-6.7}^{{
LMC}} to \sim 3 \times 10^{11}\sol \tau_{-6.7}^{{ LMC}}. For general case, the
minimal column density \Sigma_{min}^{{ MACHO}} of MACHOs is obtained as
\Sigma_{min}^{{ MACHO}} =25 \sol { pc}^{-2}\tau_{-6.7}^{{ LMC}}. If the clump
of MACHOs exist only halfway between LMC and the sun, M_{min}^{{ MACHO}} is
1.5\times 10^9\sol. This shows that the total mass of MACHOs is smaller than 5
\times 10^{10}\sol , i.e. \sim 10\% of the mass of the halo inside LMC, either
if the density distribution of MACHOs is unusual or \tau^{{ LMC}}\ll 2\times
10^{-7}.
","[{""version"":""v1"",""created"":""Wed, 16 Oct 1996 06:19:29 GMT""}]","2009-10-28"
"astro-ph/9610122","Wolfgang Brandner","Wolfgang Brandner (AIW) and Hans Zinnecker (AIP)","Physical Properties of 90 AU to 250 AU Pre-Main-Sequence Binaries","10 pages, Latex, postscript figures included; gzipped postscript also
  available at ftp://alkor.astro.uni-wuerzburg.de/pub/preprints/pmsbin.ps.gz or
  at http://www.astro.uni-wuerzburg.de/~brandner/pub.html ; to be published in
  Astronomy and Astrophysics","A&A 321 (1997) 220",,,"astro-ph",,"  We have analyzed photometric and spectroscopic data of a sample of 14
spatially resolved pre-main-sequence binaries (separations 0.6"" to 1.7"") in the
nearby (150 pc) low-mass star-forming regions of Chamaeleon, Lupus, and rho
Ophiuchi. The spectroscopic data have been obtained with the ESO New Technology
Telescope (NTT) at La Silla under subarcsec seeing conditions. All binaries
(originally unresolved) were identified as pre-main-sequence stars based on
their strong H-alpha emission -- which classifies them as classical T Tauri
stars -- and their association with dark clouds. One of the presumed binaries
turned out to be a likely chance projection with the `primary' showing neither
H-alpha emission nor Li absorption. Using the spectral A index (as defined by
Kirkpatrick et al. 1991), which measures the strength of the CaH band at
697.5nm relative to the nearby continuum, as a luminosity class indicator, we
could show that the classical T Tauri stars in our sample tend to be close to
luminosity class V. Eight out of the 14 pairs could be placed on an H-R
diagram. A comparison with theoretical pre-main-sequence evolutionary tracks
yields that for all pairs the individual components appear to be coeval within
the observational errors. This finding is similar to Hartigan et al. (1994) who
detected that two third of the wider pairs with separations from 400 AU to 6000
AU are coeval. However, unlike Hartigan et al. for the wider pairs, we find no
non-coeval pairs among our sample. Thus, the formation mechanism for a
significant fraction of the wider pre-main-sequence binaries might be different
from that of closer pre-main-sequence binaries. All of the latter appear to
have formed simultaneously.
","[{""version"":""v1"",""created"":""Wed, 16 Oct 1996 09:00:59 GMT""}]","2007-05-23"
"astro-ph/9610123","B. Scott Gaudi","B. Scott Gaudi, Andrew Gould","Planet Parameters in Microlensing Events","38 pages, 11 figures, TeX, uses PHYZZX, higher quality figures
  available upon request",,"10.1086/304491","OSU-TA-26/96","astro-ph",,"  A planetary microlensing event occurs when a planet perturbs one of the two
images created in a point-mass microlensing event, causing a deviation from the
standard Paczy\'nski curve. Determination of the two physical parameters that
can be extracted from a planetary microlensing event, the planet/star mass
ratio q, and the planet/star separation in units of the stellar Einstein ring,
$y_p$, is hampered by several types of degeneracies. There are two distinct and
qualitatively different classes of planetary events: major and minor image
perturbations. For major image perturbations, there is a potentially crippling
continuous degeneracy in q which is of order $\delta_d^{-1}$, where $\delta_d$
is the maximum fractional deviation of the planetary perturbation. Since the
threshold of detection is expected to be $\delta_d \sim 5%$, this degeneracy in
q can be a factor of $\sim 20$. For minor image perturbations, the continuous
degeneracy in q is considerably less severe, and is typically less than a
factor 4. We show that these degeneracies can be resolved by observations from
dedicated telescopes on several continents together with optical/infrared
photometry from one of these sites. There also exists a class of discrete
degeneracies. These are typically easy to resolve given good temporal coverage
of the planetary event. Unambiguous interpretation of planetary microlensing
events requires the resolution of both types of degeneracy. We describe the
degeneracies in detail and specify the situations in which they are
problematic. We also describe how individual planet masses and physical
projected separations can be measured.
","[{""version"":""v1"",""created"":""Wed, 16 Oct 1996 11:05:30 GMT""}]","2016-08-30"
"astro-ph/9610125","Alexander Vilenkin","Alexander Vilenkin","Cosmic Defects","5 pages, no figures; a contribution to the Round Table Discussion at
  the conference ``Critical Dialogues in Cosmology'', Princeton",,,,"astro-ph",,"  A (very) brief review of topological defects and their possible cosmic roles.
I emphasize in particular that superheavy defects needed for structure
formation can peacefully coexist with inflation, despite the claims to the
contrary which are often made in the literature.
","[{""version"":""v1"",""created"":""Wed, 16 Oct 1996 11:32:32 GMT""}]","2007-05-23"
"chao-dyn/9610014","Jack","Ph. Jacquod and J.-P. Amiet","On the Convergence to Ergodic Behaviour of Quantum Wave Functions","13 pages Latex, 5 figures",,"10.1088/0305-4470/30/9/011","NEIP-96-005","chao-dyn nlin.CD",,"  We study the decrease of fluctuations of diagonal matrix elements of
observables and of Husimi densities of quantum mechanical wave functions around
their mean value upon approaching the semi-classical regime ($\hbar \rightarrow
0$). The model studied is a spin (SU(2)) one in a classically strongly chaotic
regime. We show that the fluctuations are Gaussian distributed, with a width
$\sigma^2$ decreasing as the square root of Planck's constant. This is
consistent with Random Matrix Theory (RMT) predictions, and previous studies on
these fluctuations. We further study the width of the probability distribution
of $\hbar$-dependent fluctuations and compare it to the Gaussian Orthogonal
Ensemble (GOE) of RMT.
","[{""version"":""v1"",""created"":""Tue, 15 Oct 1996 18:10:50 GMT""}]","2016-08-31"
"chao-dyn/9610015","Robert Mettin","R. Mettin (DPI, Universitaet Goettingen)","Entrainment control of chaos near unstable periodic orbits","8 pages LaTeX including 3 ps-figures, uses crckapb.sty and psfig; to
  appear in Proceedings of IUTAM Symposium IDC, Eindhoven 21-26 April 1996
  (Kluwer, Dordrecht, 1997)",,,,"chao-dyn nlin.CD",,"  It is demonstrated that improved entrainment control of chaotic systems can
maintain periodic goal dynamics near unstable periodic orbits without feedback.
The method is based on the optimization of goal trajectories and leads to small
open-loop control forces.
","[{""version"":""v1"",""created"":""Wed, 16 Oct 1996 08:38:06 GMT""}]","2008-02-03"
"cond-mat/9610121",,"L. Tsetseris, Byungchan Lee, and Yia-Chung Chang (University of
  Illinois at Urbana-Champaign)","Interlayer exchange coupling in Fe/Cr multilayers","RevTex, 7 pages, 5 Postscript figures, submitted to Physical Review B",,"10.1103/PhysRevB.55.11586",,"cond-mat.str-el",,"  We investigate the origin of the long period oscillation of the interlayer
exchange coupling in Fe/Cr trilayer systems. Within the stationary phase
approximation the periods of the oscillations are associated with extremal
vectors of the Fermi sphere of Cr. Using a realistic tight-binding model with
spin-orbit interaction we calculate the coupling strength for each extremal
vector based on the spin-asymmetry of the reflection amplitude for a
propagating state impinging from the Cr to Fe layer. We find that for (001) and
(110) growth direction the biggest coupling strength comes from the extremal
vector centered at the ellipsoid N of the Fermi surface of Cr.
","[{""version"":""v1"",""created"":""Tue, 15 Oct 1996 18:43:09 GMT""}]","2009-10-28"
"cond-mat/9610122","Ilya Vekhter","I. Vekhter and A. Houghton","Hall Effect in the mixed state of moderately clean superconductors",,"J. Phys.:Cond. Mat. {\bf 9}, (1997) L397-L402","10.1088/0953-8984/9/28/001",,"cond-mat.supr-con",,"  The Hall conductivity in the mixed state of a clean ($l \gg \xi_0$) type-II
s-wave superconductor is determined from a microscopic calculation within a
quasiclassical approximation. We find that below the superconducting transition
the contribution to the transverse conductivity due to dynamical fluctuations
of the order parameter is compensated by the modification of the quasiparticle
contribution. In this regime the nonlinear behaviour of the Hall angle is
governed by the change in the effective quasiparticle scattering rate due to
the reduction in the density of states at the Fermi level. The connection with
experimental results is discussed.
","[{""version"":""v1"",""created"":""Tue, 15 Oct 1996 17:57:27 GMT""},{""version"":""v2"",""created"":""Tue, 24 Dec 1996 18:25:31 GMT""},{""version"":""v3"",""created"":""Fri, 25 Sep 1998 01:10:02 GMT""}]","2009-10-28"
"cond-mat/9610123","Dietrich Belitz","F. Evers, D. Belitz and Wansoo Park","Density expansion for transport coefficients: Long-wavelength versus
  Fermi surface nonanalyticities","4 pp., REVTeX, epsf, 3 eps figs, final version as published","Phys. Rev. Lett. vol. 78, pp. 2768-2771 (1997)","10.1103/PhysRevLett.78.2768","db/96/6","cond-mat.stat-mech",,"  The expansion of the conductivity in 2-d quantum Lorentz models in terms of
the scatterer density n is considered. We show that nonanalyticities in the
density expansion due to scattering processes with small and large momentum
transfers, respectively, have different functional forms. Some of the latter
are not logarithmic, but rather of power-law nature, in sharp contrast to the
3-d case. In a 2-d model with point-like scatterers we find that the leading
nonanalytic correction to the Boltzmann conductivity, apart from the frequency
dependent weak-localization term, is of order n^{3/2}.
","[{""version"":""v1"",""created"":""Tue, 15 Oct 1996 18:08:52 GMT""},{""version"":""v2"",""created"":""Mon, 7 Apr 1997 21:43:59 GMT""}]","2009-10-28"
