"adap-org/9610002","Marek Grabowski","Marek Grabowski and R. E. Camley","Emergent spatial correlations in stochastically evolving populations","11 pages, 4 figures, Adobe PDF format",,"10.1103/PhysRevE.56.3421",,"adap-org cond-mat nlin.AO nlin.PS patt-sol",,"  We study the spatial pattern formation and emerging long range correlations
in a model of three species coevolving in space and time according to
stochastic contact rules. Analytical results for the pair correlation
functions, based on a truncation approximation and supported by computer
simulations, reveal emergent strategies of survival for minority agents based
on selection of patterns. Minority agents exhibit defensive clustering and
cooperative behavior close to phase transitions.
","[{""version"":""v1"",""created"":""Thu, 3 Oct 1996 21:18:02 GMT""}]","2009-10-28"
"cond-mat/9610024","Pijush Kanti Ghosh","Pijush K. Ghosh","Calogero-Sutherland Type Models in Higher Dimensions","RevTeX, 10 pages, few minor changes, version to appear in Physics
  Letters A","Phys. Lett. A229 (1997) 203-207","10.1016/S0375-9601(97)00162-X","MRI-PHY/96-26","cond-mat.stat-mech hep-th",,"  We construct two different Calogero-Sutherland type models with only two-body
interactions in arbitrary dimensions. We obtain some exact wave functions,
including the ground states, of these two models for arbitrary number of
spinless nonrelativistic particles.
","[{""version"":""v1"",""created"":""Fri, 4 Oct 1996 01:55:51 GMT""},{""version"":""v2"",""created"":""Tue, 11 Mar 1997 16:25:23 GMT""}]","2009-10-28"
"cond-mat/9610026",,"V.I. Kozub, A.M. Rudin","Zero-bias anomalies of point contact resistance due to adiabatic
  electron renormalization of dynamical defects","6 pages, to be published in Phys. Rev. B",,"10.1103/PhysRevB.55.259",,"cond-mat.str-el",,"  We study effect of the adiabatic electron renormalization on the parameters
of the dynamical defects in the ballistic metallic point contact. The upper
energy states of the ``dressed'' defect are shown to give a smaller
contribution to a resistance of the contact than the lower energy ones. This
holds both for the ""classical"" renormalization related to defect coupling with
average local electron density and for the ""mesoscopic"" renormalization caused
by the mesoscopic fluctuations of electronic density the dynamical defects are
coupled with. In the case of mesoscopic renormalization one may treat the
dynamical defect as coupled with Friedel oscillations originated by the other
defects, both static and mobile. Such coupling lifts the energy degeneracy of
the states of the dynamical defects giving different mesoscopic contribution to
resistance, and provides a new model for the fluctuator as for the object
originated by the electronic mesoscopic disorder rather than by the structural
one. The correlation between the defect energy and the defect contribution to
the resistance leads to zero-temperature and zero-bias anomalies of the point
contact resistance.
  A comparison of these anomalies with those predicted by the Two Channel Kondo
Model (TCKM) is made. It is shown, that although the proposed model is based on
a completely different from TCKM physical background, it leads to a zero-bias
anomalies of the point contact resistance, which are qualitatively similar to
TCKM predictions.
","[{""version"":""v1"",""created"":""Thu, 3 Oct 1996 21:51:18 GMT""}]","2016-08-31"
"cond-mat/9610027","Zarand Gergely","G. Zar\'and","Low energy properties of M-state tunneling systems in metals: New
  candidates for non-Fermi-liquid systems","11 Latex pages, to appear in Phys. Rev. Lett, Figures available from
  the author by request",,"10.1103/PhysRevLett.77.3609",,"cond-mat.str-el",,"  We construct a generalized multiplicative renormalization group
transformation to study the low energy dynamics of a heavy particle tunneling
among $M$ different positions and interacting with $N_f$ independent conduction
electron channels. Using a $1/N_f$-expansion we show that this M-level scales
towards a fixed point equivalent to the $N_f$ channel $SU(M) \times SU(N_f)$
Coqblin-Schrieffer model. Solving numerically the scaling equations we find
that a realistic M-level system scales close to this fixed point (FP) and its
Kondo temperature is in the experimentally observable range $1-10 K$.
","[{""version"":""v1"",""created"":""Fri, 4 Oct 1996 08:01:51 GMT""}]","2009-10-28"
"cond-mat/9610028","Luca Peliti","Silvio Franz and Luca Peliti","Error threshold in simple landscapes","10 pages and 2 figures, Plain LaTeX",,"10.1088/0305-4470/30/13/006","NAG3-007-96","cond-mat.dis-nn adap-org nlin.AO q-bio.PE",,"  We consider the quasispecies description of a population evolving in both the
""master sequence"" landscape (where a single sequence is evolutionarily
preferred over all others) and the REM landscape (where the fitness of
different sequences is an independent, identically distributed, random
variable). We show that, in both cases, the error threshold is analogous to a
first order thermodynamical transition, where the overlap between the average
genotype and the optimal one drops discontinuously to zero.
","[{""version"":""v1"",""created"":""Fri, 4 Oct 1996 10:43:19 GMT""}]","2009-10-28"
"gr-qc/9610006","Yasunori Fujii","Yasunori Fujii","Role of Regularization in Quantum Corrections to the Scalar-Tensor
  Theories of Gravity","Latex 12 pages, including 4 eps figures","Mod.Phys.Lett. A12 (1997) 371-380","10.1142/S0217732397000388",,"gr-qc",,"  We show that regularizing divergent integrals is crucially important when
applied to the loop diagrams corresponding to quantum corrections to the
coupling of the ``gravitational"" scalar field due to the interaction among
matter fields. We use the method of continuous spacetime dimensions to
demonstrate that WEP is a robust property of the Brans-Dicke theory beyond the
classical level, hence correcting our previous assertion of the contrary. The
same technique can be used to yield the violation of WEP when applied to the
scale-invariant theory, thus providing another reason for expecting fifth-
force-type phenomena.
","[{""version"":""v1"",""created"":""Fri, 4 Oct 1996 02:17:55 GMT""}]","2015-06-25"
"gr-qc/9610007","Maria Guimaraes","Maria Em\'ilia X. Guimar\~aes","Cosmic String in Scalar-Tensor Gravities","16 pages, Latex, no figures","Class.Quant.Grav. 14 (1997) 435-442","10.1088/0264-9381/14/2/016",,"gr-qc",,"  We consider a local cosmic string described by the Abelian-Higgs model in the
framework of scalar-tensor gravities. We find the metric of the cosmic string
in the weak-field approximation. The propagation of particles and light is
analysed in this background. This analysis shows that the (unperturbed) cosmic
string in scalar-tensor theories presents some analogous features to the wiggly
cosmic string in General Relativity.
","[{""version"":""v1"",""created"":""Fri, 4 Oct 1996 12:54:59 GMT""}]","2016-08-15"
"hep-ex/9610002","Paula Eerola","P. Eerola (CERN, Geneva, Switzerland, on leave of absence from SEFT
  and University of Helsinki, Helsinki, Finland)","B-physics potential of ATLAS: an update","16 pages, incl. 4 figures. Presented in BEAUTY'96, June 17-21 1996,
  Rome, Italy. To be published in Nucl. Instrum. and Methods A. Full Postscript
  version at http://blues.helsinki.fi/~seft_www/ps/hu_seft_r96_19.ps","Nucl.Instrum.Meth.A384:93-99,1996","10.1016/S0168-9002(96)00913-8","HU-SEFT R 1996-19","hep-ex",,"  The B-physics potential of the ATLAS experiment at LHC is described.
Simulation results are shown for the measurement of sin(2beta), with an
emphasis on new tagging techniques. Other CP-violation measurements are
described briefly. New limits are shown for the reach of the x_s-measurement,
resulting from increased statistics and improved fitting methods. Some rare
decay modes of B-mesons can be easily seen in ATLAS. Analyses of channels B->
mu+mu-(X) are presented here.
","[{""version"":""v1"",""created"":""Fri, 4 Oct 1996 09:18:37 GMT""}]","2008-11-26"
"hep-lat/9610007",,"M.N. Chernodub, M.I. Polikarpov and A.I. Veselov (ITEP, Moscow)","Effective Constraint Potential for Abelian Monopole in SU(2) Lattice
  Gauge Theory","10 pages, LaTeX, 3 PS-figures, uses epsf.sty; (Revision: minor
  corections, two new references)","Phys.Lett. B399 (1997) 267-273","10.1016/S0370-2693(97)00309-2","KANAZAWA 96-18","hep-lat",,"  We describe numerical calculation results for the probability distribution of
the value of the monopole creation operator in the SU(2) lattice gluodynamics.
We work in the maximal abelian projection. It occurs that at low temperatures,
below the deconfinement phase transition, the maximum of the distribution is
shifted from zero, which means that the effective constraint potential is of
the Higgs type. Above the phase transition the minimum of the potential (the
maximum of the monopole field distribution) is at the zero value of the
monopole field. This fact confirms the existence of the abelian monopole
condensate in the confinement phase of lattice gluodynamics, and agrees with
the dual superconductor model of the confining vacuum.
","[{""version"":""v1"",""created"":""Thu, 3 Oct 1996 17:51:03 GMT""},{""version"":""v2"",""created"":""Fri, 21 Feb 1997 05:47:48 GMT""}]","2009-10-28"
"hep-ph/9610227",,"Tao Huang, Zuo-Hong Li and Chuan-Wang Luo","QCD Sum Rules for The Double Ratio $(f_{B_s}/f_{B_d})
  /(f_{D_s}/f_{D_d})$ in HQET","11 pages, latex file with one figure not included, to appear in
  Phys.Lett.B","Phys.Lett. B391 (1997) 451-455","10.1016/S0370-2693(96)01471-2","BIHEP-TH-96-19","hep-ph",,"  The double ratio $(f_{B_s}/f_{B_d})/(f_{D_s}/f_{D_d})$ is calculated by QCD
sum rules in heavy quark effective theory (HQET), both numerically and
analytically. Our expression for the double ratio shows explicitly the
dependence on the light quark masses, the heavy quark symmetry breaking and the
vacuum condensates. The numerical result favors the double ratio to be a little
greater than 1.
","[{""version"":""v1"",""created"":""Thu, 3 Oct 1996 17:20:31 GMT""}]","2016-09-06"
"hep-ph/9610234","Michelangelo Mangano","M.L. Mangano","Topics in Jet Physics","12 pages, Latex, epsfig, 7 figures",,,"CERN-TH/96-278","hep-ph",,"  We review two subjects in the theoretical study of jet production at the
Tevatron collider: the uncertainties in the determination of the partonic
densities inside the proton and the uncertainties in the calculation of
higher-order corrections to the QCD matrix elements.
","[{""version"":""v1"",""created"":""Thu, 3 Oct 1996 16:55:45 GMT""}]","2007-05-23"
"hep-ph/9610235","Jorge L. Lopez","J. Lopez, D. Nanopoulos, and A. Zichichi","No-scale supergravity confronts LEP diphoton events","9 pages, LaTeX, 4 figures (included). Updated to include full LEP161
  data",,,"DOE/ER/40717-34, CTP-TAMU-50/96","hep-ph",,"  We examine the possibility that some anomalous acoplanar diphoton events
observed at LEP may be consistent with the predictions of our previously
proposed one-parameter no-scale supergravity model with a light gravitino, via
the process e^+e^- -> chi chi -> gamma gamma+E_miss. We find that one such
event may indeed be consistent with the model predictions for m_chi \approx
(60-70) GeV. This region of parameter space is also consistent with the
selectron and chargino interpretations of the CDF ee gamma gamma + E_T,miss
event.
","[{""version"":""v1"",""created"":""Thu, 3 Oct 1996 18:09:43 GMT""},{""version"":""v2"",""created"":""Wed, 16 Oct 1996 13:26:29 GMT""}]","2008-02-03"
"hep-ph/9610236","prof. Shmuel Nussinov","Shmuel Nussinov","Comments on glueballinos (R0 particles) and R0 searches","LaTeX, 28 pages","Phys.Rev. D57 (1998) 7006-7018","10.1103/PhysRevD.57.7006","TPI-MINN-96/18-T","hep-ph",,"  We propose a search strategy for the light R0 (glueballino) particle
suggested by G.Farrar in connection with the light gluino scenario. The basic
idea is to moderate and stop the R0 particles and then observe their decay to
almost monochromatic pions - at an appropriate time delay relative to a primary
collision event, where a gluino jet, likely to fragment into the R0, was
produced. This technique is optimized at colliders and depends on qualitative
features of the R0 hadronic interactions which we discuss in detail.
","[{""version"":""v1"",""created"":""Thu, 3 Oct 1996 19:11:52 GMT""},{""version"":""v2"",""created"":""Tue, 8 Oct 1996 23:23:37 GMT""}]","2009-10-28"
"hep-ph/9610237","J. Gunion","J.F. Gunion (U.C. Davis), C. Loomis (Rutgers), K.T. Pitts (FNAL)","Searching for Doubly-Charged Higgs Bosons at Future Colliders","6 pages, full postscript file also available via anonymous ftp at
  ftp://ucdhep.ucdavis.edu/gunion/hmm_sm96.ps To appear in ``Proceedings of the
  1996 DPF/DPB Summer Study on New Directions for High Energy Physics''","ECONFC960625:LTH096,1996",,"UCD-96-30","hep-ph hep-ex",,"  Doubly-charged Higgs bosons ($\Delta^{--}/\Delta^{++}$) appear in several
extensions to the Standard Model and can be relatively light. We review the
theoretical motivation for these states and present a study of the discovery
reach in future runs of the Fermilab Tevatron for pair-produced doubly-charged
Higgs bosons decaying to like-sign lepton pairs. We also comment on the
discovery potential at other future colliders.
","[{""version"":""v1"",""created"":""Thu, 3 Oct 1996 23:15:54 GMT""}]","2008-11-26"
"hep-ph/9610238","Stefano  Forte","Stefano Forte","Polarized structure functions: a status report","15 pages, plain TeX, 8 figures included by epsf. Typo in eq. 3.3
  corrected",,,"DFTT 57/96","hep-ph",,"  We review the present status of polarized structure functions measured in
deep-inelastic scattering. We discuss the x and Q^2 dependence of the structure
function g_1, and how it can be used to test perturbative QCD at
next-to-leading order and beyond. We summarize the current knowledge of
polarized parton distributions, in particular the determination of the first
moment of the quark and gluon distributions and the axial charge of the
nucleon. We critically examine what future experiments could teach us on the
polarized structure of the nucleon.
","[{""version"":""v1"",""created"":""Thu, 3 Oct 1996 22:40:58 GMT""},{""version"":""v2"",""created"":""Tue, 29 Oct 1996 16:10:02 GMT""},{""version"":""v3"",""created"":""Wed, 13 Nov 1996 16:27:58 GMT""}]","2008-02-03"
