"alg-geom/9610011","Bas Edixhoven","Bas Edixhoven","Special points on the product of two modular curves","hardcopy available at request to edix@univ-rennes1.fr LaTeX",,,,"alg-geom math.AG",,"  We prove, assuming the Generalized Riemann Hypothesis for imaginary quadratic
fields, that irreducible curves in the product of two modular curves that
contain infinitely many complex multiplication points are either a Hecke
correspondence or a fibre for one of the two projections. This gives evidence
for a conjecture of Oort that says that irreducible components of the Zariski
closure of a set of CM points in a Shimura variety are sub Shimura varieties.
","[{""version"":""v1"",""created"":""Fri, 11 Oct 1996 12:23:09 GMT""}]","2008-02-03"
"cond-mat/9610094","Steven Kivelson","V. J. Emery, S. A. Kivelson, and O. Zachar","Spin-Gap Proximity Effect Mechanism of High Temperature
  Superconductivity","30 pages, 2 figures","Physical Review B56, 6120-6147 (1997)","10.1103/PhysRevB.56.6120",,"cond-mat.str-el",,"  When holes are doped into an antiferromagnetic insulator they form a slowly
fluctuating array of ``topological defects'' (metallic stripes) in which the
motion of the holes exhibits a self-organized quasi one-dimensional electronic
character. The accompanying lateral confinement of the intervening
Mott-insulating regions induces a spin gap or pseudogap in the environment of
the stripes. We present a theory of underdoped high temperature superconductors
and show that there is a {\it local} separation of spin and charge, and that
the mobile holes on an individual stripe acquire a spin gap via pair hopping
between the stripe and its environment; i.e. via a magnetic analog of the usual
superconducting proximity effect. In this way a high pairing scale without a
large mass renormalization is established despite the strong Coulomb repulsion
between the holes. Thus the {\it mechanism} of pairing is the generation of a
spin gap in spatially-confined {\it Mott-insulating} regions of the material in
the proximity of the metallic stripes. At non-vanishing stripe densities,
Josephson coupling between stripes produces a dimensional crossover to a state
with long-range superconducting phase coherence. This picture is established by
obtaining exact and well-controlled approximate solutions of a model of a
one-dimensional electron gas in an active environment. An extended discussion
of the experimental evidence supporting the relevance of these results to the
cuprate superconductors is given.
","[{""version"":""v1"",""created"":""Thu, 10 Oct 1996 21:40:24 GMT""}]","2016-08-31"
"cond-mat/9610095","Susan Krumplitsch","Joe Watson and Daniel S. Fisher (Department of Physics, Harvard
  University)","Dynamic Critical Phenomena in Channel Flow","49 pages, Revtex, 23 Postscript figures,submitted to Phys Rev B",,,,"cond-mat.stat-mech",,"  A simple model of the driven motion of interacting particles in a two
dimensional random medium is analyzed, focusing on the critical behavior near
to the threshold that separates a static phase from a flowing phase with a
steady-state current. The critical behavior is found to be surprisingly robust,
being independent of whether the driving force is increased suddenly or
adiabatically. Just above threshold, the flow is concentrated on a sparse
network of channels, but the time scale for convergence to this fixed network
diverges with a larger exponent that that for convergence of the current
density to its steady-state value. This is argued to be caused by the
``dangerous irrelevance'' of dynamic particle collisions at the critical point.
Possible applications to vortex motion near to the critical current in dirty
thin film superconductors are discussed briefly.
","[{""version"":""v1"",""created"":""Thu, 10 Oct 1996 21:49:53 GMT""}]","2008-02-03"
"cond-mat/9610096","Shuichi Murakami","Frank G\""ohmann and Shuichi Murakami","Algebraic and Analytic Properties of the One-Dimensional Hubbard Model","30 pages, LaTeX, no figures, paragraph added in the appendix","J.Phys.A:Math.Gen.30(1997)5269-5287","10.1088/0305-4470/30/15/014",,"cond-mat.stat-mech",,"  We reconsider the quantum inverse scattering approach to the one-dimensional
Hubbard model and work out some of its basic features so far omitted in the
literature. It is our aim to show that $R$-matrix and monodromy matrix of the
Hubbard model, which are known since ten years now, have good elementary
properties. We provide a meromorphic parametrization of the transfer matrix in
terms of elliptic functions. We identify the momentum operator for lattice
fermions in the expansion of the transfer matrix with respect to the spectral
parameter and thereby show the locality and translational invariance of all
higher conserved quantities. We work out the transformation properties of the
monodromy matrix under the su(2) Lie algebra of rotations and under the
$\h$-pairing su(2) Lie algebra. Our results imply su(2)$\oplus$su(2) invariance
of the transfer matrix for the model on a chain with an even number of sites.
","[{""version"":""v1"",""created"":""Fri, 11 Oct 1996 07:53:01 GMT""},{""version"":""v2"",""created"":""Fri, 25 Oct 1996 04:52:14 GMT""}]","2009-10-28"
"cond-mat/9610097",,"A. K. Kolezhuk, H.-J. Mikeska and Shoji Yamamoto","Matrix product states approach to the Heisenberg ferrimagnetic spin
  chains","4 pages, RevTeX, uses psfig.sty, submitted to Phys. Rev. B","Phys. Rev. B 55 (1997) R3336","10.1103/PhysRevB.55.R3336",,"cond-mat",,"  We propose a new version of the matrix product (MP) states approach to the
description of quantum spin chains, which allows one to construct MP states
with certain total spin and its z-projection. We show that previously known MP
wavefunctions for integer-spin antiferromagnetic chains and ladders correspond
to some particular cases of our general ansatz. Our method allows to describe
systems with spontaneously broken rotational symmetry, like quantum
ferrimagnetic chains whose ground state has nonzero total spin. We apply this
approach to describe the ground state properties of the isotropic ferrimagnetic
Heisenberg chain with alternating spins 1 and 1/2 and compare our variational
results with the high-precision numerical data obtained by means of the quantum
Monte Carlo (QMC) method. For both the ground state energy and the correlation
functions we obtain very good agreement between the variational results and the
QMC data.
","[{""version"":""v1"",""created"":""Fri, 11 Oct 1996 08:47:09 GMT""}]","2009-10-28"
"cond-mat/9610098","Phil Nelson","Udo Seifert, Wolfgang Wintz, Philip Nelson","Straightening of Thermal Fluctuations in Semi-Flexible Polymers by
  Applied Tension","Latex file; with three postscript figures; .ps available at
  http://dept.physics.upenn.edu/~nelson/pull.ps",,"10.1103/PhysRevLett.77.5389",,"cond-mat.soft",,"  We investigate the propagation of a suddenly applied tension along a
thermally excited semi-flexible polymer using analytical approximations,
scaling arguments and numerical simulation. This problem is inherently
non-linear. We find sub-diffusive propagation with a dynamical exponent of 1/4.
By generalizing the internal elasticity, we show that tense strings exhibit
qualitatively different tension profiles and propagation with an exponent of
1/2.
","[{""version"":""v1"",""created"":""Fri, 11 Oct 1996 12:28:46 GMT""}]","2009-10-28"
"cond-mat/9610099","Martin Evans","M. J. E. Richardson and M. R. Evans","Localisation Transition of A Dynamic Reaction Front","13 pages, latex, uses epsf","J. Phys. A 30 (1997) 811-818","10.1088/0305-4470/30/3/007",,"cond-mat.stat-mech",,"  We study the reaction-diffusion process $A+B\to \emptyset$ with injection of
each species at opposite boundaries of a one-dimensional lattice and bulk
driving of each species in opposing directions with a hardcore interaction. The
system shows the novel feature of phase transitions between localised and
delocalised reaction zones as the injection rate or reaction rate is varied. An
approximate analytical form for the phase diagram is derived by relating both
the domain of reactants $A$ and the domain of reactants $B$ to asymmetric
exclusion processes with open boundaries, a system for which the phase diagram
is known exactly, giving rise to three phases. The reaction zone width $w$ is
described by a finite size scaling form relating the early time growth,
relaxation time and saturation width exponents. In each phase the exponents are
distinct from the previously studied case where the reactants diffuse
isotropically.
","[{""version"":""v1"",""created"":""Fri, 11 Oct 1996 13:32:23 GMT""},{""version"":""v2"",""created"":""Wed, 21 May 1997 14:32:02 GMT""}]","2009-10-28"
"cond-mat/9610100","Qin Shaojing","Shaojin Qin, Yu-Liang Liu, Lu Yu (ICTP)","Finite Size Scaling for Low Energy Excitations in Integer Heisenberg
  Spin Chains","4 pages (two column), PS file, to be appear as a PRB Brief Report",,"10.1103/PhysRevB.55.2721",,"cond-mat",,"  In this paper we study the finite size scaling for low energy excitations of
$S=1$ and $S=2$ Heisenberg chains, using the density matrix renormalization
group technique. A crossover from $1/L$ behavior (with $L$ as the chain length)
for medium chain length to $1/L^2$ scaling for long chain length is found for
excitations in the continuum band as the length of the open chain increases.
Topological spin $S=1/2$ excitations are shown to give rise to the two lowest
energy states for both open and periodic $S=1$ chains. In periodic chains these
two excitations are ``confined'' next to each other, while for open chains they
are two free edge 1/2 spins. The finite size scaling of the two lowest energy
excitations of open $S=2$ chains is determined by coupling the two free edge
$S=1$ spins. The gap and correlation length for $S=2$ open Heisenberg chains
are shown to be 0.082 (in units of the exchange $J$) and 47, respectively.
","[{""version"":""v1"",""created"":""Fri, 11 Oct 1996 14:11:23 GMT""}]","2009-10-28"
"gr-qc/9610017","Herbert Balasin","H.Balasin","Colombeau's Generalized Functions on Arbitrary Manifolds","10 pages, latex2e, amstex macros, no figures",,,"Alberta-Thy-35-96, TUW96-20","gr-qc",,"  We extend the Colombeau algebra of generalized functions to arbitrary
(infinitely differentiable, paracompact) n-dimensional manifolds M. Embedding
of continuous functions and distributions is achieved with the help of a family
of n-forms defined on the tangent bundle TM, which form a partition of unity
upon integration over the fibres.
","[{""version"":""v1"",""created"":""Thu, 10 Oct 1996 21:48:25 GMT""}]","2007-05-23"
"gr-qc/9610018","Haret Rosu","H.C. Rosu, J. Socorro","Double Darboux method for the Taub continuum","10 pages, LaTex, 4 figs, first 3 published","Nuovo Cimento B 113 (May 1998) 677-682",,,"gr-qc",,"  The strictly isospectral double Darboux method is applied to the quantum Taub
model in order to generate a one-parameter family of strictly isospectral
potentials for this case. The family we build is based on a scattering
Wheeler-DeWitt solution first discussed by Ryan and collaborators that we
slightly modified according to a suggestion due to Dunster. The strictly
isospectral Taub potentials possess different (attenuated) scattering states
with respect to the original Taub potential
","[{""version"":""v1"",""created"":""Fri, 11 Oct 1996 01:01:00 GMT""},{""version"":""v2"",""created"":""Mon, 18 May 1998 18:26:43 GMT""}]","2008-02-03"
"gr-qc/9610019","Markus Heusler","Markus Heusler","No-Hair Theorems and Black Holes with Hair","28 pages, latex","Helv.Phys.Acta 69 (1996) 501-528",,"ZU-TH-28/96","gr-qc",,"  The critical steps leading to the uniqueness theorem for the Kerr-Newman
metric are reexamined in the light of the new black hole solutions with
Yang-Mills and scalar hair. Various methods -- including scaling techniques,
arguments based on energy conditions, conformal transformations and divergence
identities -- are reviewed, and their range of application to selfgravitating
scalar and non-Abelian gauge fields is discussed. In particular, the no-hair
theorem is extended to harmonic mappings with arbitrary Riemannian target
manifolds. (This paper is an extended version of an invited lecture held at the
Journ\'ees Relativistes 96.)
","[{""version"":""v1"",""created"":""Fri, 11 Oct 1996 11:36:56 GMT""}]","2007-05-23"
"hep-lat/9610015","Sergio Caracciolo","Sergio Caracciolo and Andrea Pelissetto","Comparing Different Improvement Programs for the N-Vector Model","We clarify that the discrepancy noted previuosly between the on-shell
  and the Symanzik programs is a pathology of the large N limit. ps file
  available also at http://www1.le.infn.it:8080/~caraccio/96.html","Phys.Lett. B402 (1997) 335-340","10.1016/S0370-2693(97)00495-4",,"hep-lat",,"  We discuss the connection between various types of improved actions in the
context of the two-dimensional sigma-model. We also discuss spectrum-improved
actions showing that these actions do not have any improved behaviour. An
O(a^2) on-shell improved action with all couplings defined on a plaquette and
satisfying reflection positivity is also explicitly constructed.
","[{""version"":""v1"",""created"":""Thu, 10 Oct 1996 16:21:33 GMT""},{""version"":""v2"",""created"":""Fri, 18 Oct 1996 15:49:38 GMT""}]","2009-10-28"
"hep-ph/9610314","Carlo Giunti","W.M. Alberico, S.M. Bilenky and C. Giunti","Possible tests of the ""strangeness"" of the nucleon","Latex2e file, 6 pages, no figures. Talk presented by S.M. Bilenky at
  ISHEPP 96, Dubna, Russia, September 2-7, 1996",,,"DFTT 63/96","hep-ph",,"  The NC and CC scattering of neutrino(antineutrino) on protons and nuclei with
isotopic spin equal to zero is considered. It is shown that the measurement of
the neutrino-antineutrino asymmetry in these processes could allow to obtain
model-independent information about the contribution of the axial strange
current to the cross sections of the NC processes.
","[{""version"":""v1"",""created"":""Thu, 10 Oct 1996 17:17:41 GMT""}]","2007-05-23"
"hep-ph/9610315","Albert Roeck","A. De Roeck, J. Feltesse, F. Kunne, M. Maul, E. Mirkes, G. Raedel, A.
  Schaefer, and C. Y. Wu","Prospects for Measuring Delta G from Jets at HERA with Polarized Protons
  and Electrons","12 pages",,,"DESY 96-197","hep-ph",,"  The measurement of the polarized gluon distribution function Delta G(x) from
photon-gluon fusion processes in electron-proton deep inelastic scattering
producing two jets has been investigated. The study is based on the MEPJET and
PEPSI simulation programs. The size of the expected spin asymmetry and
corresponding statistical uncertainties for a possible measurement with
polarized beams of electrons and protons at HERA have been estimated. The
results show that the asymmetry can reach a few percent, and is not washed out
by hadronization and higher order processes.
","[{""version"":""v1"",""created"":""Thu, 10 Oct 1996 17:28:31 GMT""}]","2007-05-23"
"hep-ph/9610316","Trueman","T.L. Trueman","Hadronic Spin Dependence and the Use of Coulomb-Nuclear Interference as
  a Polarimeter","9 pages Latex, 5 eps figures",,,,"hep-ph",,"  Coulomb-nuclear interference in the single transverse spin asymmetry A_N is
often considered as a possible absolute polarimeter for proton beams. The main
uncertainty in this is the unknown hadronic spin-flip amplitude. This
uncertainty is analyzed here in the context of the challenge of a 5%
polarization measurement at RHIC. Possible constraints on the spin-flip
amplitude from measurements of the differential cross-section and the double
transverse spin asymmetry A_{NN} are discussed.
","[{""version"":""v1"",""created"":""Thu, 10 Oct 1996 20:02:21 GMT""},{""version"":""v2"",""created"":""Fri, 11 Oct 1996 16:37:31 GMT""}]","2008-02-03"
"hep-ph/9610317","Terry Goldman","G. J. Stephenson Jr. (UNM), T. Goldman (LANL) and B. H. J. McKellar
  (Melbourne)","MSW-like Enhancements without Matter","9 pages, latex, 1 figure","Mod.Phys.Lett.A12:2391-2398,1997","10.1142/S021773239700248X","LA-UR-96-2956","hep-ph",,"  We study the effects of a scalar field, coupled only to neutrinos, on
oscillations among weak interaction current eigenstates. The effect of a real
scalar field appears as effective masses for the neutrino mass eigenstates, the
same for $\nbar$ as for $\n$. Under some conditions, this can lead to a
vanishing of $\delta m^2$, giving rise to MSW-like effects. We discuss some
examples and show that it is possible to resolve the apparent discrepancy in
spectra required by r-process nucleosynthesis in the mantles of supernovae and
by Solar neutrino solutions.
","[{""version"":""v1"",""created"":""Thu, 10 Oct 1996 19:25:12 GMT""}]","2008-11-26"
"hep-ph/9610318","Kingman Cheung","Kingman Cheung and Dennis Silverman","Effects of Anomalous Couplings of Quarks on Prompt Photon Production","11 pages in LaTex2e and 3 figures embedded using package{graphicx}","Phys.Rev. D55 (1997) 2724-2727","10.1103/PhysRevD.55.2724","UCI-TR-96-34, UTEXAS-HEP-96-15","hep-ph",,"  Prompt photon production is sensitive to the anomalous couplings of gluons to
quarks, because it is mainly produced by quark-gluon scattering. We will
examine the effects of the anomalous chromoelectric and chromomagnetic dipole
moment couplings of quarks on prompt photon production. Using the data
collected by CDF and D0 at the Fermilab Tevatron we put a bound on these
anomalous couplings. We also estimate the sensitivity of various future high
energy collider experiments to these anomalous couplings.
","[{""version"":""v1"",""created"":""Thu, 10 Oct 1996 20:09:44 GMT""}]","2009-10-28"
"hep-ph/9610319","David Thomas","Keith A. Olive and David Thomas","A Big Bang Nucleosynthesis Likelihood Analysis of the Baryon-to-Photon
  Ratio and the Number of Light Particle Degrees of Freedom","12 pages, latex, 4 ps figures, requires epsf","Astropart.Phys.7:27-34,1997","10.1016/S0927-6505(97)00008-X","UMN-TH-1515/96","hep-ph astro-ph",,"  We extend the model-independent likelihood analysis of big bang
nucleosynthesis (BBN) based on He4 and Li7 to allow for numbers of degrees of
freedom which differ from the standard model value characterized by $N_\nu =
3$. We use the two-dimensional likelihood functions to simultaneously constrain
the baryon-to-photon ratio and the number of light neutrinos. The upper limit
thus obtained is $N_\nu < 4.0$ (at 95% C.L.). We also consider the consequences
if recent observations of deuterium in high-redshift QSO absorption-line
systems (QSOALS) are confirmed.
","[{""version"":""v1"",""created"":""Thu, 10 Oct 1996 20:13:55 GMT""}]","2008-11-26"
"hep-ph/9610320","Paul Frampton","P. H. Frampton","Lecture on a Z' Coupled to Beauty and Truth","12 pages, latex including 3 Figures. Lecture at Ettore Majorana
  International School of Subnuclear Physics, Erice, Sicily, July 1996. This
  lecture is an updated version of hep-ph/9604260 by P.H.Frampton, M.B. Wise
  and B.D. Wright. Sections in italics, and the Figures, explain how this same
  model-building strategy (with different details) can accommodate different
  data on $R_b$ and $A^b$",,,"IFP-727-UNC.","hep-ph",,"  By extending the standard gauge group to $SU(3)_c \times SU(2)_L \times
U(1)_Y \times U(1)_X$ with $X$ charges carried only by the third family we
accommodate the LEP measurement of $R_b$ and predict a potentially measurable
discrepancy in $A_{FB}^{b}$ in $e^+e^-$ scattering and that $D^0 \bar D^0$
mixing may be near its experimental limit. The uniqueness of our model is that
the Z' couplings are generation-dependent and hence explicitly violate the GIM
mechanism, but can nevertheless be naturally consistent with FCNC constraints.
Direct detection of this Z' is possible but challenging.
","[{""version"":""v1"",""created"":""Thu, 10 Oct 1996 21:00:03 GMT""}]","2016-09-06"
