"alg-geom/9610006","Martin A. Sombra","Martin Sombra","Bounds for the Hilbert function of polynomial ideals and for the degrees
  in the Nullstellensatz","37 pages, Latex 2e",,,,"alg-geom math.AC math.AG",,"  We present a new effective Nullstellensatz with bounds for the degrees which
depend not only on the number of variables and on the degrees of the input
polynomials but also on an additional parameter called the {\it geometric
degree of the system of equations}. The obtained bound is polynomial in these
parameters. It is essentially optimal in the general case, and it substantially
improves the existent bounds in some special cases. The proof of this result is
combinatorial, and it relies on global estimations for the Hilbert function of
homogeneous polynomial ideals. In this direction, we obtain a lower bound for
the Hilbert function of an arbitrary homogeneous polynomial ideal, and an upper
bound for the Hilbert function of a generic hypersurface section of an unmixed
radical polynomial ideal.
","[{""version"":""v1"",""created"":""Fri, 4 Oct 1996 22:04:57 GMT""}]","2008-02-03"
"cond-mat/9610031","D. D. Sarma","K. Maiti, N. Y. Vasanthacharya and D. D. Sarma","Transport and magnetic properties of La$_{1-x}$Ca$_x$VO$_3$","12 pages; 1 tex file+7 postscript files",,,,"cond-mat.str-el",,"  We report the temperature dependence of transport and magnetic properties of
La$_{1-x}$Ca$_x$VO$_3$ for x = 0.0, 0.1, 0.2, 0.3, 0.4 and 0.5. The system
exhibits an insulator-to-metal transition concomitant with an
antiferromagnetic-to-paramagnetic transition near x = 0.2 with increasing
substitution. Disorder effects are found to influence the low temperature
transport properties of both insulating and metallic compositions near the
critical concentration. At higher temperatures, the resistivity of the metallic
samples is found to exhibit either a $T^{1.5}$ or a $T^2$ dependence depending
on the composition. The molar susceptibility for the metallic samples indicate
substantial enhancements due to electron correlation.
","[{""version"":""v1"",""created"":""Fri, 4 Oct 1996 21:25:49 GMT""}]","2008-02-03"
"hep-ex/9610003","Dan Kaplan","Daniel M. Kaplan (Illinois Institute of Technology)","Charmonium Production in Fermilab E789","Invited talk presented at the Quarkonium Physics Workshop, University
  of Illinois at Chicago, June 13-15, 1996. 10 pages, LaTeX, including 8
  PostScript figures","Int.J.Mod.Phys.A12:3827-3836,1997","10.1142/S0217751X97001985","IIT-HEP-96/4","hep-ex",,"  Using a sample of >10^5 J/psi to mu+mu- decays, Fermilab experiment 789 has
studied production of J/psi and psi-prime in 800-GeV proton-nucleon collisions.
Differential cross sections and nuclear dependences have been measured for
charmonium as well as for charm and beauty production. While charm and beauty
production are consistent with perturbative QCD calculations, charmonium cross
sections exceed the predictions of the color-singlet model by large factors,
suggesting that additional mechanisms (such as color-octet production) may play
important roles. Nuclear dependences of production cross sections may offer a
new tool for the detailed understanding of charmonium production.
","[{""version"":""v1"",""created"":""Sat, 5 Oct 1996 04:09:22 GMT""}]","2011-04-15"
"hep-lat/9610008","Gabriele","Gabriele Travaglini","A Wilson-Majorana Regularization for Lattice Chiral Gauge Theories","29 pages, Latex file, no figures; references and a discussion on
  fermion number nonconservation added; version published in Nucl. Phys. B 507
  (1997) 709","Nucl.Phys. B507 (1997) 709-727","10.1016/S0550-3213(97)00591-9","ROM2F-96-53","hep-lat hep-th",,"  We discuss the regularization of chiral gauge theories on the lattice
introducing only physical degrees of freedom. This is obtained by writing the
Wilson term in a Majorana form, at the expense of the U(1) symmetry related to
fermion number conservation. The idea of restoring chiral invariance in the
continuum by introducing a properly chosen set of counterterms to be added to
the tree level action is checked against one-loop perturbative calculations.
","[{""version"":""v1"",""created"":""Fri, 4 Oct 1996 16:11:26 GMT""},{""version"":""v2"",""created"":""Thu, 29 Jan 1998 11:16:34 GMT""}]","2009-10-28"
"hep-lat/9610009","Bartolomeo Alles","B. Alles, G. Boyd, M. D'Elia, A. Di Giacomo","New results on topological susceptibility in SU(3) gauge theory","4 pages, 9 postscript figures, uses stwol.sty file included. Talk
  presented at the 28th Int. Conf. on H.E.P. in Warsaw",,,"IFUP-TH 60/96","hep-lat",,"  We survey recent lattice results on QCD topological properties. The behaviour
of the topological susceptibility at the deconfining phase transition has been
determined. This advance has been made possible by an i) an improvement of the
topological charge operator and ii) a non-perturbative determination of
renormalizations.
","[{""version"":""v1"",""created"":""Fri, 4 Oct 1996 17:20:53 GMT""}]","2007-05-23"
"hep-ph/9610247",,"M. E. Shaposhnikov (CERN)","Finite temperature effective theories","24 pages, Latex, 5 eps figures","Proc. Int. School of Subnuclear Phys.(1996:Erice,Italy), World
  Scientific, p.360",,"CERN-TH/96-280","hep-ph",,"  Lecture Notes, Summer School on Effective Theories and Fundamental
Interactions, Erice, July 1996. I describe the construction of effective field
theories for equilibrium high-temperature plasma of elementary particles.
","[{""version"":""v1"",""created"":""Fri, 4 Oct 1996 16:45:04 GMT""}]","2016-09-06"
"hep-ph/9610248","Subir Sarkar","Subir Sarkar (Oxford)","Supersymmetric inflation and large-scale structure","11 pages (revtex) including 6 figures (epsf, rotate); Invited talk at
  the Inauguration Conference of the Asia Pacific Center for Theoretical
  Physics, Seoul (June 4-10 1996), and the Fourth Workshop on High Energy
  Physics Phenomenology, Calcutta (January 2-16 1996); Postscript also
  available from
  ftp://ftp.physics.ox.ac.uk/pub/local/users/sarkar/susylss.ps.gz",,,"OUTP-96-59P","hep-ph astro-ph",,"  In effective supergravity theories following from the superstring, a modulus
field can quite naturally set the neccessary initial conditions for successful
cosmological inflation to be driven by a hidden sector scalar field. The
leading term in the scalar potential is {\em cubic} hence the spectrum of
scalar density perturbations neccessarily deviates from scale-invariance, while
the generation of gravitational waves is negligible. The growth of large-scale
structure is then consistent with observational data assuming a critical
density cold dark matter universe, with no need for a component of hot dark
matter. The model can be tested thorough measurements of cosmic microwave
background anisotropy on small angular scales.
","[{""version"":""v1"",""created"":""Fri, 4 Oct 1996 17:12:29 GMT""}]","2007-05-23"
"hep-ph/9610250","Dr Philip ""R."" Page","Philip R. Page and Xue-Qian Li","Gluonic Mesons in J/Psi Radiative Decay","9 pages, LaTeX, 1 postscript figure, uses epsf. Rewording of
  conclusions, and withdrawal of a table","Eur.Phys.J.C1:579-583,1998","10.1007/s100520050106",,"hep-ph",,"  The eta(1760) may be significantly produced in J/Psi radiative decay. We
deduce from experimental data that its branching ratio to two gluons is
bounded, 0.4 +- 0.3 < BR(eta(1760) -> gg) < 0.9 +- 0.3, consistent with gluonic
admixture. Moreover, the expectation that there should be an isoscalar analogue
of the gluonic (hybrid) meson candidate pi(1800) is argued to reinforce hybrid
admixture in eta(1760). Two-gluon coupling of hybrids is estimated in a
spectator model to be considerably larger than that of quarkonium. In addition,
the two-photon coupling of eta(1760) is estimated to be 1.4 +- 0.7 keV.
","[{""version"":""v1"",""created"":""Fri, 4 Oct 1996 18:18:21 GMT""},{""version"":""v2"",""created"":""Fri, 11 Oct 1996 19:45:49 GMT""}]","2011-09-13"
"hep-ph/9610251","Bernd Kniehl","R.J. Cashmore (University of Oxford), E. Elsen (DESY), B.A. Kniehl
  (MPI and LMU Munich), H. Spiesberger (MPI Munich)","Electroweak Physics at HERA: Introduction and Summary","12 pages (Latex), 4 figures (Postscript), to appear in the
  Proceedings of the Workshop on Future Physics at HERA. The complete report by
  the working group on electroweak physics at HERA is available from
  http://www.desy.de/~heraws96/proceedings",,,"MPI/PhT/96-105","hep-ph hep-ex",,"  A high luminosity upgrade of HERA will allow the measurement of standard
model parameters and the neutral current couplings of quarks. These results
will have to be consistent with other precision measurements or indicate traces
of new physics. The analysis of $W$ production will complement future results
of LEP 2 and the Tevatron. We summarize the main results and conclusions
obtained by the working group on Electroweak Physics concerning the potential
of future experimentation at HERA.
","[{""version"":""v1"",""created"":""Fri, 4 Oct 1996 18:41:59 GMT""}]","2007-05-23"
"hep-ph/9610252","Ann E. Nelson","Andrew G. Cohen, David B. Kaplan, Francois Lepeintre and Ann E. Nelson","B-factory Physics from Effective Supersymmetry","5 pages, 2 figures, revtex, epsf","Phys.Rev.Lett. 78 (1997) 2300-2303","10.1103/PhysRevLett.78.2300","UW/PT-96/22, DOE/ER/40561290-INT96-148, BUHEP-96-38","hep-ph hep-ex",,"  We discuss how to extract non-Standard Model effects from B-factory
phenomenology. We then analyze the prospects for uncovering evidence for
Effective Supersymmetry, a class of supersymmetric models which naturally
suppress flavor changing neutral currents and electric dipole moments without
squark universality or small CP violating phases, in experiments at BaBar,
BELLE, HERA-B, CDF/D0 and LHC-B.
","[{""version"":""v1"",""created"":""Sat, 5 Oct 1996 00:14:33 GMT""},{""version"":""v2"",""created"":""Mon, 7 Oct 1996 00:50:45 GMT""},{""version"":""v3"",""created"":""Wed, 19 Feb 1997 00:35:00 GMT""}]","2009-10-28"
"hep-ph/9610253","Lubov Vassilevskaya","N.V. Mikheev, L.A. Vassilevskaya and M.L. Zilberman","Neutrino Radiative Decay in an External Electromagnetic Field via Vector
  Leptoquark","13 pages, latex. To be published in Phys. Lett. B","Phys.Lett. B390 (1997) 227-233","10.1016/S0370-2693(96)01369-X","YARU-HE-96/03","hep-ph",,"  The massive neutrino radiative decay $\nu_i \rightarrow \nu_j \gamma$ ($i \ne
j$) is investigated within the Minimal Quark-Lepton Symmetry of the Pati-Salam
type based on the $SU(4)_V \times SU(2)_L \times G_R$ group in an external
constant crossed field ($\vec {\cal E} \perp \vec H$, ${\cal E}=H$). The matrix
element $\Delta M^{(X)}$ and the decay probability $W^{(X)}$ due to the
leptoquark $X$ contribution are analysed. The effect of significant enhancement
of the neutrino decay by the crossed field takes place. It is shown that the
leptoquark contribution to the decay probability can dominate over the
$W$-boson one in the case of strong suppression of the lepton mixing in the
framework of the SM.
","[{""version"":""v1"",""created"":""Sat, 5 Oct 1996 10:57:13 GMT""}]","2009-10-28"
"hep-ph/9610254","Tsuneki Matsuki","T. Matsuki and K. Yazaki (Univ. of Tokyo)","QCD Sum Rules and the Validity of Effective Models","10 pages, 2 Postscript figures, uses revtex.sty, epsf.sty",,,,"hep-ph",,"  The consistency of effective models with QCD is investigated through the use
of the QCD sum rule. Taking the potential model for the heavy quark system, we
apply the method to two phenomenologically successful parameter sets, and
obtain the dependences of the model parameters on the QCD scale $\Lambda$.
Comparison with the expected scaling laws allows us to reject one of the two
sets. The method is applicable to any model which reproduces the low lying
spectra of hadronic systems.
","[{""version"":""v1"",""created"":""Sat, 5 Oct 1996 12:18:42 GMT""}]","2007-05-23"
"hep-ph/9610255","Mustafa Savci","T. M. Aliev, A. Ozpineci and M. Savci (Middle East Technical
  University)","Rare B -> Nu Barnu Gamma Decay in Light Cone QCD Sum Rule","11 pages, 1 table, LaTeX formatted","Phys.Lett. B393 (1997) 143-148","10.1016/S0370-2693(96)01598-5","METU-PHYS-HEP-96-21","hep-ph",,"  Using the light cone QCD Sum Rules Method, we study the rare B -> nu barnu
gamma decay and and find that the branching ratios are, B(B_s -> nu barnu
gamma) = 7.5 10^{-8}, B(B_d -> nu -> nu gamma) = 4.2 10^{-9}. A comparision of
our results, on branching ratio, with constituent quark and pole dominance
model predictions are presented.
","[{""version"":""v1"",""created"":""Sat, 5 Oct 1996 13:06:26 GMT""}]","2009-10-28"
"hep-ph/9610256","Mustafa Savci","T. M. Aliev, A. Ozpineci and M. Savci (Middle East Technical
  University-Ankara-Turkey)","Excited Heavy Mesons Decay Formfactors in Light Cone QCD","14 pages, 2 figures, LaTeX formatted. METU-PHYS-HEP-96-22","Phys.Lett. B422 (1998) 257-264","10.1016/S0370-2693(98)00059-8",,"hep-ph",,"  The formfactors of B_1 -> pi and D_1 -> pi transitions, where B_1(D_1) is the
1^+ P-wave -> Q gamma_{\nu}\gamma_5q meson state, are calculated in the
framework of the light cone QCD. Furthermore these formfactors are compared
with the pole dominance model prediction using the values of the strong
coupling constants g_{B_1 B^* pi} and g_{D_1 D^* pi}, and a good agreement
between these two different descriptions is observed.
","[{""version"":""v1"",""created"":""Sat, 5 Oct 1996 13:52:10 GMT""},{""version"":""v2"",""created"":""Thu, 2 Jan 1997 00:15:52 GMT""}]","2009-10-28"
"hep-ph/9610258","Mustafa Savci","M. Savci (Middle East Technical University-Ankara-Turkey)","Pseudoscalar neutral Higgs Boson production in polarized (gamma e)
  collisions","14 pages, 17 figures, LaTeX formatted","J.Phys.G23:797-805,1997","10.1088/0954-3899/23/7/005","METU-PHYS-HEP-96-23","hep-ph",,"  We investigate the pseudoscalar neutral Higgs-boson A^0 production in the
polarized (gamma e) collisions with two different center of mass energies
sqrt{s} = 500 GeV and sqrt{s} = 1 TeV. The cross-section of the process (gamma
e -> e A^0) and the polarization asymmetry due the spin of the initial beams
are calculated.
","[{""version"":""v1"",""created"":""Sat, 5 Oct 1996 14:39:44 GMT""},{""version"":""v2"",""created"":""Fri, 2 May 1997 12:45:49 GMT""}]","2008-11-26"
"hep-th/9610024","Y. Lozano","Y. Lozano","Duality and Canonical Transformations","21 pgs, latex file, talk given at the Argonne Duality Institute, June
  27-July 12, 1996, to appear in the e-proceedings","Mod.Phys.Lett.A11:2893-2914,1996","10.1142/S0217732396002873","THU-96/36","hep-th",,"  We present a brief review on the canonical transformation description of some
duality symmetries in string and gauge theories. In particular, we consider
abelian and non-abelian T-dualities in closed and open string theories as well
as S-duality in abelian and non-abelian non-supersymmetric gauge theories.
","[{""version"":""v1"",""created"":""Fri, 4 Oct 1996 16:27:10 GMT""}]","2011-04-15"
"hep-th/9610027","Adolfo Maia Jr","Jose Alexandre Nogueira (Universidade Federal do Espirito Santo,
  Vitoria-ES, Brazil) and Adolfo Maia Jr. (Universidade de Campinas,
  Campinas-SP, Brazil and Brown University, Providence, RI, USA)","On the Equivalence between the Effective Potential and Zero-Point Energy","11 pages, Latex file","Phys.Lett. B394 (1997) 371-376","10.1016/S0370-2693(97)00055-5","Brown-HET-1058 (Oct 1996)","hep-th",,"  We investigate a possible difference between the effective potential and
zero-point energy. We define the zero-point ambiguity (ZPA) as the difference
between these two definitions of vacuum energy. Using the zeta function
technique, in order to obtain renormalized quantities, we show that ZPA
vanishes, implying that both of the above definitions of vacuum energy coincide
for a large class of geometries and a very general potential. In addition, we
show explicitly that an extra term, obtained by E. Myers some years ago for the
ZPA, disappears when a scale parameter $\mu$ is consistently introduced in all
zeta functions in order to keep them dimensionless.
","[{""version"":""v1"",""created"":""Fri, 4 Oct 1996 23:16:47 GMT""}]","2015-06-26"
"quant-ph/9610007","Ken Umeno","Ken Umeno","Integrability and Computability in Simulating Quantum Systems","9 pages, Latex, Related papers are on
  http://www.bip.riken.go.jp/irl/chaosken/quantum.html","in ""Quantum Communication, Computing, and Measurement"", Edited by
  O. Hirota, A.S.Holevo and C.M. Caves, p.p.195-201(Plenum Press, 1997).",,,"quant-ph",,"  An impossibility theorem on approximately simulating quantum non-integrable
Hamiltonian systems is presented here. This result shows that there is a
trade-off between the unitary property and the energy expectation conservation
law in time-descretization of quantum non-integrable systems, whose classical
counterpart is Ge-Marsden's impossibility result about simulating classically
non-integrable Hamiltonian systems using integration schemes preserving
symplectic (Lie-Poisson) property.
","[{""version"":""v1"",""created"":""Fri, 4 Oct 1996 22:33:40 GMT""}]","2007-05-23"
"quant-ph/9610008","Vladimir Privman","Dima Mozyrsky, Vladimir Privman, Steven P. Hotaling","Extended Quantum XOR Gate in Terms of Two-Spin Interactions","15 pages in plain TeX with 1 Postscript figure","Int.J.Mod.Phys.B12:591-600,1998","10.1142/S0217979298000351",,"quant-ph",,"  Considerations of feasibility of quantum computing lead to the study of
multispin quantum gates in which the input and output two-state systems (spins)
are not identical. We provide a general discussion of this approach and then
propose an explicit two-spin interaction Hamiltonian which accomplishes the
quantum XOR gate function for a system of three spins: two input and one
output.
","[{""version"":""v1"",""created"":""Sat, 5 Oct 1996 13:07:43 GMT""}]","2014-11-18"
