"alg-geom/9610018","Bernd Sturmfels","Bernd Sturmfels","Equations Defining Toric Varieties","AMS-Tex, 13 pages",,,,"alg-geom math.AC math.AG",,"  This article will appear in the proceedings of the AMS Summer Institute in
Algebraic Geometry at Santa Cruz, July 1995. The topic is toric ideals, by
which I mean the defining ideals of subvarieties of affine or projective space
which are parametrized by monomials. Numerous open problems are given.
","[{""version"":""v1"",""created"":""Sat, 26 Oct 1996 14:17:39 GMT""}]","2008-02-03"
"cond-mat/9610184","H. Y. Huang","H. Y. Huang, V. Popkov, and F. Y. Wu","Exact Solution of a Three-Dimensional Dimer System","11 pages in REVTex with 2 PS figures","Physcial Review Letters 78, 409-413 (1997).","10.1103/PhysRevLett.78.409",,"cond-mat.stat-mech",,"  We consider a three-dimensional lattice model consisting of layers of vertex
models coupled with interlayer interactions. For a particular non-trivial
interlayer interaction between charge-conserving vertex models and using a
transfer matrix approach, we show that the eigenvalues and eigenvectors of the
transfer matrix are related to those of the two-dimensional vertex model. The
result is applied to analyze the phase transitions in a realistic
three-dimensional dimer system.
","[{""version"":""v1"",""created"":""Fri, 25 Oct 1996 17:24:30 GMT""}]","2009-10-28"
"cond-mat/9610185","Vincent Sweeney","C. J. Lambert, R. Raimondi, V. Sweeney, and A. F. Volkov","Boundary conditions for quasiclassical equations in the theory of
  superconductivity","8 Pages, RevTeX, 3 Postscript figures",,"10.1103/PhysRevB.55.6015",,"cond-mat.supr-con",,"  In this paper we derive effective boundary conditions connecting the
quasiclassical Green's function through tunnel barriers in superconducting -
normal hybrid (S-N or S-S') structures in the dirty limit. Our work extends
previous treatments confined to the small transparency limit. This is achieved
by an expansion in the small parameter $r^{-1}=T/2(1-T)$ where T is the
transparency of the barrier. We calculate the next term in the $r^{-1}$
expansion for both the normal and the superconducting case. In both cases this
involves the solution of an integral equation, which we obtain numerically.
While in the normal case our treatment only leads to a quantitative change in
the barrier resistance $R_b$, in the superconductor case, qualitative different
boundary conditions are derived. To illustrate the physical consequences of the
modified boundary conditions, we calculate the Josephson current and show that
the next term in the $r^{-1}$ expansion gives rise to the second harmonic in
the current-phase relation.
","[{""version"":""v1"",""created"":""Fri, 25 Oct 1996 17:26:42 GMT""}]","2009-10-28"
"cond-mat/9610186","Dionisio Bazeia","D. Bazeia, J. R. S. Nascimento, D. Toledo","Alternate route to soliton solutions in hydrogen-bonded chains","12 pages. Latex",,"10.1016/S0375-9601(97)00132-1",,"cond-mat",,"  In this paper we offer an alternate route for investigating soliton solutions
in hydrogen-bonded chains. This is done by examining a class of systems of two
coupled real scalar fields. We show that this route allows investigating
several models for hydrogen-bonded chains in a unified manner. We also show how
to investigate interesting issues, in particular the one concerning classical
or linear stability of solitonic solutions.
","[{""version"":""v1"",""created"":""Fri, 25 Oct 1996 19:36:46 GMT""}]","2009-10-28"
"cond-mat/9610187","Allan Griffin","A. Griffin, Wen-Chin Wu (University of Toronto), S. Stringari
  (University of Trento)","Hydrodynamic modes in a trapped Bose gas above the Bose-Einstein
  transition","4 pages, no figure, submitted to Phys. Rev. Lett",,"10.1103/PhysRevLett.78.1838",,"cond-mat",,"  We discuss the collective modes of a trapped Bose gas in the hydrodynamic
regime where atomic collisions ensure local thermal equilibrium for the
distribution function. Starting from the conservation laws, in the linearized
limit we derive a closed equation for the velocity fluctuations in a trapped
Bose gas above the Bose-Einstein transition temperature. Explicit solutions for
a parabolic trap are given. We find that the surface modes have the same
dispersion relation as the one recently obtained by Stringari for the
oscillations of the condensate at $T=0$ within the Thomas-Fermi approximation.
Results are also given for the monopole ``breathing'' mode as well as for the
$m=0$ excitations which result from the coupling of the monopole and quadrupole
modes in an anisotropic parabolic well.
","[{""version"":""v1"",""created"":""Fri, 25 Oct 1996 21:27:41 GMT""}]","2009-10-28"
"cond-mat/9610188","Mark Jarrell","A.N. Tahvildar-Zadeh, M. Jarrell, and J.K. Freericks","Protracted Screening in the Periodic Anderson Model","5 pages, LaTeX and 4 PS figures",,"10.1103/PhysRevB.55.R3332",,"cond-mat.str-el",,"  The asymmetric infinite-dimensional periodic Anderson model is examined with
a quantum Monte Carlo simulation. For small conduction band filling, we find a
severe reduction in the Kondo scale, compared to the impurity value, as well as
protracted spin screening consistent with some recent controversial
photoemission experiments. The Kondo screening drives a ferromagnetic
transition when the conduction band is quarter-filled and both the RKKY and
superexchange favor antiferromagnetism. We also find RKKY-driven ferromagnetic
and antiferromagnetic transitions.
","[{""version"":""v1"",""created"":""Fri, 25 Oct 1996 21:31:10 GMT""}]","2009-10-28"
"cond-mat/9610189","John Neergaard","John Neergaard and Marcel den Nijs","Stationary State Skewness in KPZ Type Growth","29 pages, 4 figures, plain TeX",,"10.1088/0305-4470/30/6/019",,"cond-mat.stat-mech",,"  Stationary states in KPZ type growth have interesting short distance
properties. We find that typically they are skewed and lack particle-hole
symmetry. E.g., hill-tops are typically flatter than valley bottoms, and all
odd moments of the height distribution function are non-zero. Stationary state
skewness can be turned on and off in the 1+1 dimensional RSOS model. We
construct the exact stationary state for its master equation in a 4 dimensional
parameter space. In this state steps are completely uncorrelated. Familiar
models such as the Kim-Kosterlitz model lie outside this space, and their
stationary states are skewed. We demonstrate using finite size scaling that the
skewness diverges with systems size, but such that the skewness operator is
irrelevant in 1+1 dimensions, with an exponent $y_{sk}\simeq-1$, and that the
KPZ fixed point lies at zero-skewness.
","[{""version"":""v1"",""created"":""Fri, 25 Oct 1996 23:25:02 GMT""}]","2009-10-28"
"cond-mat/9610190","Sarkis Dallakian","N.S. Ananikian, S.K. Dallakian","Thermodynamc Approach to Three-Site Antiferromagnetic Ising Model in
  Chaotic Region","15 pages including figures, LaTeX, 6 eps figures, Submitted to
  Physica D",,,,"cond-mat.stat-mech",,"  The chaotic properties of the three-site antiferromagnetic Ising model on
Husimi tree are investigated in magnetic field. Macroscopic quantity of
three-site antiferromagnetic Ising model is generated by one dimensional map.
It is shown that in certain parameter setting strange attractors of this map
exhibit multifractal scaling. By applying thermodynamic formalism we find
nonanalyticity in free energy as well as in entropy. We show that the
temperature of phase transition depends on parameter of model and varies from
negative to positive value.
","[{""version"":""v1"",""created"":""Sat, 26 Oct 1996 08:15:45 GMT""}]","2008-02-03"
"gr-qc/9610061","Alicia Sintes","A. A. Coley","Kinematic Self-Similarity","29 pages, AmsTeX","Class.Quant.Grav. 14 (1997) 87-118","10.1088/0264-9381/14/1/012",,"gr-qc",,"  Self-similarity in general relativity is briefly reviewed and the differences
between self-similarity of the first kind and generalized self-similarity are
discussed. The covariant notion of a kinematic self-similarity in the context
of relativistic fluid mechanics is defined. Various mathematical and physical
properties of spacetimes admitting a kinematic self-similarity are discussed.
The governing equations for perfect fluid cosmological models are introduced
and a set of integrability conditions for the existence of a proper kinematic
self-similarity in these models is derived. Exact solutions of the irrotational
perfect fluid Einstein field equations admitting a kinematic self-similarity
are then sought in a number of special cases, and it is found that; (1) in the
geodesic case the 3-spaces orthogonal to the fluid velocity vector are
necessarily Ricci-flat and (ii) in the further specialisation to dust the
differential equation governing the expansion can be completely integrated and
the asymptotic properties of these solutions can be determined, (iii) the
solutions in the case of zero-expansion consist of a class of shear-free and
static models and a class of stiff perfect fluid (and non-static) models, and
(iv) solutions in which the kinematic self-similar vector is parallel to the
fluid velocity vector are necessarily Friedmann-Robertson-Walker (FRW) models.
","[{""version"":""v1"",""created"":""Fri, 25 Oct 1996 20:07:08 GMT""}]","2009-10-28"
"gr-qc/9610062","Tevian Dray","Tevian Dray and Charles Hellaby","Comment on `Smooth and Discontinuous Signature Type Change in General
  Relativity'","Plain TeX, 6 pages; Comment on Kossowski and Kriele: Class. Quantum
  Grav. 10, 2363 (1993); Reply by Kriele: Gen. Rel. Grav. 28, 1409-1413 (1996)","Gen. Rel. Grav. 28, 1401-1408 (1996)","10.1007/BF02109530",,"gr-qc",,"  Kossowski and Kriele derived boundary conditions on the metric at a surface
of signature change. We point out that their derivation is based not only on
certain smoothness assumptions but also on a postulated form of the Einstein
field equations. Since there is no canonical form of the field equations at a
change of signature, their conclusions are not inescapable. We show here that a
weaker formulation is possible, in which less restrictive smoothness
assumptions are made, and (a slightly different form of) the Einstein field
equations are satisfied. In particular, in this formulation it is possible to
have a bounded energy-momentum tensor at a change of signature without
satisfying their condition that the extrinsic curvature vanish.
","[{""version"":""v1"",""created"":""Sat, 26 Oct 1996 01:32:55 GMT""}]","2009-10-28"
"gr-qc/9610063","Tevian Dray","Tevian Dray, George Ellis, Charles Hellaby, and Corinne Manogue","Gravity and Signature Change","Plain TeX, 6 pages; to appear in GRG","Gen.Rel.Grav. 29 (1997) 591-597","10.1023/A:1018895302693",,"gr-qc",,"  The use of proper ``time'' to describe classical ``spacetimes'' which contain
both Euclidean and Lorentzian regions permits the introduction of smooth
(generalized) orthonormal frames. This remarkable fact permits one to describe
both a variational treatment of Einstein's equations and distribution theory
using straightforward generalizations of the standard treatments for constant
signature.
","[{""version"":""v1"",""created"":""Sat, 26 Oct 1996 01:09:57 GMT""}]","2015-06-25"
"gr-qc/9610064","Tevian Dray","Tevian Dray","Einstein's Equations in the Presence of Signature Change","REVTeX, 8 pages; to appear in JMP","J.Math.Phys. 37 (1996) 5627-5636","10.1063/1.531730",,"gr-qc",,"  We discuss Einstein's field equations in the presence of signature change
using variational methods, obtaining a generalization of the Lanczos equation
relating the distributional term in the stress tensor to the discontinuity of
the extrinsic curvature. In particular, there is no distributional term in the
stress tensor, and hence no surface layer, precisely when the extrinsic
curvature is continuous, in agreement with the standard result for constant
signature.
","[{""version"":""v1"",""created"":""Sat, 26 Oct 1996 01:13:21 GMT""}]","2009-10-28"
"gr-qc/9610065","Yasuhide Sota","Yasuhide Sota, Shingo Suzuki and Kei-ichi Maeda","Chaos in Static Axisymmetric Spacetimes II : non-vacuum case","The comment and reference about chaos for Bianchi IX universe are
  changed. Some minor mistakes in reference are corrected",,,,"gr-qc chao-dyn nlin.CD",,"  We examine the effect of local matter on the chaotic behavior of a
relativistic test particle in non-vacuum static axisymmetric spacetimes. We
find that the sign of the sectional curvature in the geodesic deviation
equation defined by the Riemann curvature does not always become a good tool to
judge the occurrence of chaos in the non-vacuum case. However, we show that the
locally unstable region ( LU region ) defined by the Weyl curvature can provide
information about chaos even in non-vacuum spacetime as well as in vacuum
spacetime. Since the Weyl tensor affects only the shear part of the geodesic
congruence, it works effectively to stretch some directions of geodesic
congruence, which helps to cause the chaotic behavior of geodesics. Actually,
the orbit moving around an unstable periodic orbit (UPO) becomes strongly
chaotic if it passes through an LU region, which means that the LU region can
be used as a good tool to know in which situation the chaos by homoclinic
mixing occurs around a UPO.
","[{""version"":""v1"",""created"":""Sat, 26 Oct 1996 08:30:10 GMT""},{""version"":""v2"",""created"":""Thu, 14 Nov 1996 06:07:01 GMT""}]","2008-02-03"
"hep-ph/9610480","Tony Signal","A. I. Signal","Calculations of Higher Twist Distribution Functions in the MIT Bag Model","26 pages LaTeX document, 11 figures included","Nucl.Phys. B497 (1997) 415-434","10.1016/S0550-3213(97)00231-9",,"hep-ph",,"  We calculate all twist-two, three and four parton distribution functions
involving two quark correlations using the wavefunction of the MIT bag model.
The distributions are evolved up to experimental scales and combined to give
the various nucleon structure functions. Comparisons with recent experimental
data on higher twist structure functions at moderate values of $Q^{2}$ give
good agreement with the calculated structure functions.
","[{""version"":""v1"",""created"":""Fri, 25 Oct 1996 16:05:05 GMT""}]","2009-10-30"
"hep-ph/9610492","R. Akhoury","R. Akhoury and V. I. Zakharov","A Quick Look at Renormalons","9 pages, LaTeX file, uses espcrc2.sty","Nucl.Phys.Proc.Suppl.54A:217-228,1997","10.1016/S0920-5632(97)00044-3",,"hep-ph",,"  We present a sketchy review of renormalon-based phenomenology. In particular,
the leading, 1/Q corrections to various observables, KLN cancellations for
power-suppressed corrections and the fixation of operator matrix elements are
highlighted.
","[{""version"":""v1"",""created"":""Fri, 25 Oct 1996 16:33:56 GMT""},{""version"":""v2"",""created"":""Mon, 28 Oct 1996 01:30:32 GMT""}]","2014-11-17"
"hep-ph/9610493",,"Louis J. Clavelli and Levan R. Surguladze","Light Gluino Contribution in Hadronic Decays of Z boson and tau lepton
  to O(alpha_s^3)","7 pages, RevTex, 1 Postscript figure","Phys.Rev.Lett. 78 (1997) 1632-1635","10.1103/PhysRevLett.78.1632","UAHEP967","hep-ph",,"  The results of calculation of light gluino contributions to
Gamma(Z--->hadrons) and Gamma(tau--->hadrons) to O(alpha_s^3) are presented.
The net effect in the case of Z decay is noticeable. For the tau width the
effect is very large and, if a light gluino exists, suggests that alpha_s
increases by more than 15% relative to the Standard Model analysis.
","[{""version"":""v1"",""created"":""Fri, 25 Oct 1996 21:04:46 GMT""}]","2009-10-30"
"hep-ph/9610494","Christian Cardall","Christian Y. Cardall and George M. Fuller (UC San Diego)","Neutrino oscillations in curved spacetime: an heuristic treatment","7 pages, REVTeX and 1 included style file. Submitted to Phys. Rev. D","Phys.Rev. D55 (1997) 7960-7966","10.1103/PhysRevD.55.7960",,"hep-ph astro-ph gr-qc",,"  We discuss neutrino oscillations in curved spacetime. Our heuristic approach
can accomodate matter effects and gravitational contributions to neutrino spin
precession in the presence of a magnetic field. By way of illustration, we
perform explicit calculations in the Schwarzschild geometry. In this case,
gravitational effects on neutrino oscillations are intimately related to the
redshift. We discuss how spacetime curvature could affect the resonance
position and adiabaticity of matter-enhanced neutrino flavor conversion.
","[{""version"":""v1"",""created"":""Fri, 25 Oct 1996 23:06:27 GMT""}]","2009-10-30"
