"alg-geom/9610015","N. Raghavendra","L. Brambila-Paz and N. Raghavendra","Universal Einstein-Hermitian Metrics","Withdrawn because of error",,,,"alg-geom math.AG",,"  Lemma 3.4 is wrong.
","[{""version"":""v1"",""created"":""Mon, 14 Oct 1996 20:14:59 GMT""},{""version"":""v2"",""created"":""Sat, 20 Sep 1997 05:47:41 GMT""}]","2008-02-03"
"astro-ph/9610106",,"F. De Paolis, V.G. Gurzadyan and G. Ingrosso","Pulsars Tracing Black Holes in Globular Clusters","laa-style Latex 4 pages; to appear in Astronomy and Astrophysics","Astron.Astrophys.315:396-399,1996",,,"astro-ph",,"  Results of precise measurements of the periods of pulsars discovered in the
central regions of globular clusters are shown to be approaching the
capabilities of testing the existence of a central black hole. For example, in
the case of M 15 the available data on two pulsars PSR 2129+1210A and PSR
2129+1209D seem to exclude the existence of a black hole, the presence of which
was instead supported by recent Hubble Space Telescope data on surface
brightness profile (Yanny et al. 1994). The fluctuations of the gravitational
field caused by the stars of the system are enough to explain the acceleration
observed for both pulsars. In the case of the Galactic center, additional data
are needed for similar definite conclusions.
","[{""version"":""v1"",""created"":""Tue, 15 Oct 1996 13:33:43 GMT""}]","2011-05-23"
"chao-dyn/9610013","Gregor Tanner","Gregor Tanner","How Chaotic is the Stadium Billiard? A Semiclassical Analysis","27 pages, 6 figures, submitted to J. Phys. A",,"10.1088/0305-4470/30/8/028",,"chao-dyn nlin.CD",,"  The impression gained from the literature published to date is that the
spectrum of the stadium billiard can be adequately described, semiclassically,
by the Gutzwiller periodic orbit trace formula together with a modified
treatment of the marginally stable family of bouncing ball orbits. I show that
this belief is erroneous. The Gutzwiller trace formula is not applicable for
the phase space dynamics near the bouncing ball orbits. Unstable periodic
orbits close to the marginally stable family in phase space cannot be treated
as isolated stationary phase points when approximating the trace of the Green
function. Semiclassical contributions to the trace show an $\hbar$ - dependent
transition from hard chaos to integrable behavior for trajectories approaching
the bouncing ball orbits. A whole region in phase space surrounding the
marginal stable family acts, semiclassically, like a stable island with
boundaries being explicitly $\hbar$-dependent. The localized bouncing ball
states found in the billiard derive from this semiclassically stable island.
The bouncing ball orbits themselves, however, do not contribute to individual
eigenvalues in the spectrum. An EBK-like quantization of the regular bouncing
ball eigenstates in the stadium can be derived. The stadium billiard is thus an
ideal model for studying the influence of almost regular dynamics near
marginally stable boundaries on quantum mechanics.
","[{""version"":""v1"",""created"":""Mon, 14 Oct 1996 23:26:11 GMT""}]","2009-10-28"
"cond-mat/9610112","Victor Kagalovsky","V. Kagalovsky, B. Horovitz and Y.Avishai (BGU, Israel)","Landau level mixing and spin degeneracy in the quantum Hall effect","18 pages, 11 tex-files and 1 ps-file of figures","PRB 55 (1997) 7761","10.1103/PhysRevB.55.7761",,"cond-mat.mes-hall",,"  We study dynamics of electrons in a magnetic field using a network model with
two channels per link with random mixing in a random intrachannel potential;
the channels represent either two Landau levels or two spin states. We consider
channel mixing as function of the energy separation of the two extended states
and show that its effect changes from repulsion to attraction as the energy
separation increases. For two Landau levels this leads to level floating at low
magnetic fields while for Zeeman split spin states we predict level attraction
at high magnetic fields, accounting for ESR data. We also study random mixing
of two degenerate channels, while the intrachannel potential is periodic
(non-random). We find a single extended state with a localization exponent
$\nu\approx 1.1$ for real scattering at nodes; the general case has also a
single extended state, though the localized nature of nearby states sets in at
unusually large scales.
","[{""version"":""v1"",""created"":""Mon, 14 Oct 1996 16:56:48 GMT""}]","2009-10-28"
"cond-mat/9610113","Henri Orland","E. Pitard and H. Orland","Dynamics of the swelling or collapse of a homopolymer",,,,,"cond-mat.soft",,"  We study the dynamics of a polymer when it is quenched from a $\theta$
solvent into a good or bad solvent by means of a Langevin equation. The
variation of the radius of gyration is studied as a function of time. For the
first stage of collapse or swelling, the characteristic time-scale is found to
be independent of the number of monomers. Other scaling laws are derived for
the diffusion regime at larger times. Although the present model is solved only
for homopolymers and doesn't include hydrodynamic interactions, these results
may be a first step towards the understanding of the early stages of protein
folding.
","[{""version"":""v1"",""created"":""Mon, 14 Oct 1996 16:58:57 GMT""}]","2008-02-03"
"cond-mat/9610114","Jaro Fabian","Jaroslav Fabian (SUNY at Stony Brook)","On the Decay of Localized Vibrational States in Glasses: a
  one-dimensional example","10 pages (RevTeX), 4 postscript figures, Fig. 5 in GIF format",,"10.1103/PhysRevB.55.R3328",,"cond-mat.dis-nn",,"  The interaction between three localized vibrational modes is shown to be as
relevant for the lifetimes of localized modes as the interaction involving two
localized and one extended, and one localized and two extended modes. This
contrasts with previous views. I support my arguments by a numerical study of a
strongly disordered linear atomic chain.
","[{""version"":""v1"",""created"":""Mon, 14 Oct 1996 21:43:53 GMT""}]","2009-10-28"
"cond-mat/9610115","Subir Sachdev","Subir Sachdev and Kedar Damle (Yale University)","Low temperature spin diffusion in the one-dimensional quantum $O(3)$
  nonlinear $\sigma$-model","4 pages including 3 eps-figures, Revtex","Physical Review Letters, 78, 943 (1997)","10.1103/PhysRevLett.78.943",,"cond-mat.str-el",,"  An effective, low temperature, classical model for spin transport in the
one-dimensional, gapped, quantum $O(3)$ non-linear $\sigma$-model is developed.
Its correlators are obtained by a mapping to a model solved earlier by Jepsen.
We obtain universal functions for the ballistic-to-diffusive crossover and the
value of the spin diffusion constant, and these are claimed to be exact at low
temperatures. Implications for experiments on one-dimensional insulators with a
spin gap are noted.
","[{""version"":""v1"",""created"":""Tue, 15 Oct 1996 00:07:23 GMT""}]","2009-10-28"
"cond-mat/9610116","Josh Deutsch","J.M. Deutsch","Long Range Moves for High Density Polymer Simulations","15 pages in latex with 6 color postscript figures using psfig",,"10.1063/1.473943","JMD396","cond-mat.soft",,"  Monte Carlo simulations of proteins are hindered by the system's high density
which often makes local moves ineffective. Here we devise and test a set of
long range moves that work well even when all sites of a lattice simulation are
filled. We demonstrate that for a 27-mer cube, the ground state of random
heteropolymers can quickly be reached. We discuss results for 48-mer systems
where the ground state is known exactly. For ten sequences that were examined,
the introduction of long range moves speeds up the search for the ground state
by about one order of magnitude. The method is compared to a fast folding chain
growth algorithm that had previously been used with much success. The new
algorithm here appears to be more efficient. The point is illustrated by the
folding of an 80-mer four-helix bundle considered previously.
","[{""version"":""v1"",""created"":""Tue, 15 Oct 1996 01:47:08 GMT""}]","2009-10-28"
"cond-mat/9610117","Yasushi Honda","Yasushi Honda and Tsuyoshi Horiguchi (Department of Computer and
  Mathematical Sciences, Tohoku University, Sendai, Japan)","Critical phase of a magnetic hard hexagon model on triangular lattice","11 pages, 8 Postscript figures, uses revtex.sty",,"10.1103/PhysRevE.55.194",,"cond-mat.stat-mech",,"  We introduce a magnetic hard hexagon model with two-body restrictions for
configurations of hard hexagons and investigate its critical behavior by using
Monte Carlo simulations and a finite size scaling method for discreate values
of activity. It turns out that the restrictions bring about a critical phase
which the usual hard hexagon model does not have. An upper and a lower critical
value of the discrete activity for the critical phase of the newly proposed
model are estimated as 4 and 6, respectively.
","[{""version"":""v1"",""created"":""Tue, 15 Oct 1996 04:02:22 GMT""}]","2009-10-28"
"cond-mat/9610118","Madjet Mohamed","M.E. Madjet, P.A. Hervieux, D.H.E. Gross, and O. Schapiro (Hahn
  Meitner Institut Berlin, Germany)","Fragmentation Phase Transition in Atomic Clusters II -----Symmetry of
  Fission of Metal Clusters----","18 text pages +7 *.eps figures my e-mail adress: madjet@hmi.de to be
  published in Z.Phys.D",,"10.1007/s004600050141",,"cond-mat.mtrl-sci",,"  We present a statistical fragmentation study of doubly charged alkali (Li,
Na, K) and antimony clusters. The evaporation of one charged trimer is the most
dominant decay channel (asymmetric fission) at low excitation energies. For
small sodium clusters this was quite early found in molecular dynamical
calculations by Landman et al. For doubly charged lithium clusters, we predict
Li$_{9}^{+}$ to be the preferential dissociation channel. As already seen
experimentally a more symmetric fission is found for doubly charged antimony
clusters. This different behavior compared to the alkali metal clusters is in
our model essentially due to a larger fissility of antimony. This is checked by
repeating the calculations for Na$_{52}^{++}$ with a bulk fissility parameter
set artificially equal to the value of Sb.
","[{""version"":""v1"",""created"":""Tue, 15 Oct 1996 11:06:39 GMT""},{""version"":""v2"",""created"":""Fri, 10 Jan 1997 15:23:58 GMT""}]","2009-10-28"
"cond-mat/9610119","Andreas Wacker","Andreas Wacker and Antti-Pekka Jauho (Mikroelektronik Centret,
  Danmarks Tekniske Universitet, Lyngby, Denmark)","Impact of interface roughness on perpendicular transport and domain
  formation in superlattices","4 pages 1 figure","Superlattices and Microstructures, Vol. 23, 297-300 (1998)","10.1006/spmi.1996.0249",,"cond-mat.mes-hall",,"  A microscopic calculation of the perpendicular current in doped multiple
quantum wells is presented. Interface roughness is shown to affect the resonant
transitions as well as to cause a nonresonant background current. The
theoretical characteristics exhibit several branches due to the formation of
electric field domains in quantitative agreement with experimental data.
","[{""version"":""v1"",""created"":""Tue, 15 Oct 1996 13:19:33 GMT""}]","2009-10-28"
"cond-mat/9610120","Andreas Wacker","Andreas Wacker and Antti-Pekka Jauho (Mikroelektronik Centret,
  Danmarks Tekniske Universitet, Lyngby)","Microscopic modelling of perpendicular electronic transport in doped
  multiple quantum wells","10 pages 5 figures","Physica Scripta, Vol. T69, pages 321-324 (1997)","10.1088/0031-8949/1997/T69/070",,"cond-mat.mes-hall",,"  We present a microscopic calculation of transport in strongly doped
superlattices where domain formation is likely to occur. Our theoretical method
is based on a current formula involving the spectral functions of the system,
and thus allows, in principle, a systematic investigation of various
interaction mechanisms. Taking into account impurity scattering and optical
phonons we obtain a good quantitative agreement with existing experimental data
from Helgesen and Finstad (J. Appl. Phys. 69, 2689, (1991)). Furthermore the
calculated spectral functions indicate a significant increase of the average
intersubband spacing compared to the bare level differences which might explain
the experimental trend.
","[{""version"":""v1"",""created"":""Tue, 15 Oct 1996 13:54:14 GMT""}]","2015-06-25"
"gr-qc/9610023","Pedro. Silva","Ian G. Moss and Pedro J. Silva","BRST Invariant Boundary Conditions for Gauge Theories","15 pages, RevTeX","Phys.Rev. D55 (1997) 1072-1078","10.1103/PhysRevD.55.1072","NCL96-TP2","gr-qc",,"  A systematic way of generating sets of local boundary conditions on the gauge
fields in a path integral is presented. These boundary conditions are suitable
for one--loop effective action calculations on manifolds with boundary and for
quantum cosmology. For linearised gravity, the general proceedure described
here leads to new sets of boundary conditions.
","[{""version"":""v1"",""created"":""Mon, 14 Oct 1996 16:21:42 GMT""}]","2009-10-28"
"gr-qc/9610024","Othmar Brodbeck","Othmar Brodbeck","On Symmetric Gauge Fields for arbitrary Gauge and Symmetry Groups","4 pages, Latex, talk given at Les Journees Relativistes 96, Ascona,
  Switzerland, May 26-30, to appear in Helv. Phys. Acta","Helv.Phys.Acta 69:321-324,1996",,"ZU-TH-29/96","gr-qc",,"  A classification of the possible symmetric principal bundles with a compact
gauge group, a compact symmetry group and a base manifold which is regularly
foliated by the orbits of the symmetry group is derived. A generalization of
Wang's theorem (classifying the invariant connections) is proven and local
expressions for the gauge potential of an invariant connection are given.
","[{""version"":""v1"",""created"":""Tue, 15 Oct 1996 00:19:42 GMT""}]","2011-04-15"
"gr-qc/9610025","Vivek Iyer","Vivek Iyer","Lagrangian perfect fluids and black hole mechanics","26 pages LaTeX-2e","Phys.Rev. D55 (1997) 3411-3426","10.1103/PhysRevD.55.3411",,"gr-qc",,"  The first law of black hole mechanics (in the form derived by Wald), is
expressed in terms of integrals over surfaces, at the horizon and spatial
infinity, of a stationary, axisymmetric black hole, in a diffeomorphism
invariant Lagrangian theory of gravity. The original statement of the first law
given by Bardeen, Carter and Hawking for an Einstein-perfect fluid system
contained, in addition, volume integrals of the fluid fields, over a spacelike
slice stretching between these two surfaces. When applied to the
Einstein-perfect fluid system, however, Wald's methods yield restricted
results. The reason is that the fluid fields in the Lagrangian of a gravitating
perfect fluid are typically nonstationary. We therefore first derive a first
law-like relation for an arbitrary Lagrangian metric theory of gravity coupled
to arbitrary Lagrangian matter fields, requiring only that the metric field be
stationary. This relation includes a volume integral of matter fields over a
spacelike slice between the black hole horizon and spatial infinity, and
reduces to the first law originally derived by Bardeen, Carter and Hawking when
the theory is general relativity coupled to a perfect fluid. We also consider a
specific Lagrangian formulation for an isentropic perfect fluid given by
Carter, and directly apply Wald's analysis. The resulting first law contains
only surface integrals at the black hole horizon and spatial infinity, but this
relation is much more restrictive in its allowed fluid configurations and
perturbations than that given by Bardeen, Carter and Hawking. In the Appendix,
we use the symplectic structure of the Einstein-perfect fluid system to derive
a conserved current for perturbations of this system: this current reduces to
one derived ab initio for this system by Chandrasekhar and Ferrari.
","[{""version"":""v1"",""created"":""Tue, 15 Oct 1996 03:26:47 GMT""}]","2009-10-28"
"gr-qc/9610026","Bahman K. Darian","B.K. Darian and H.P. Kunzle","Cosmological Einstein-Yang-Mills equations","28 pages, uses amsmath,amsthm,amssymb,epsfig,verbatim, minor
  corrections","J.Math.Phys.38:4696-4713,1997","10.1063/1.532116","Alberta THY 34-96","gr-qc hep-th",,"  We use a systematic construction method for invariant connections on
homogeneous spaces to find the Einstein-SU(n)-Yang-Mills equations for
Friedmann-Robertson-Walker and locally rotationally symmetric homogeneous
cosmologies. These connections depend on the choice of a homomorphism from the
isotropy group into the gauge group. We consider here the cases of the gauge
group SU(n) and SO(n) where these homomorphisms correspond to unitary or
orthogonal representations of the isotropy group. For some of the simpler cases
the full system of the evolution equations are derived, for others we only
determine the number of dynamical variables that remain after some mild fixing
of the gauge.
","[{""version"":""v1"",""created"":""Tue, 15 Oct 1996 06:11:29 GMT""},{""version"":""v2"",""created"":""Sun, 19 Oct 1997 04:22:05 GMT""}]","2010-11-19"
"gr-qc/9610027","Jiseong Park","James Isenberg and Jiseong Park","Asymptotically Hyperbolic Non Constant Mean Curvature Solutions of the
  Einstein Constraint Equations","19 pages, TeX, no figures","Class.Quant.Grav.14:A189-A202,1997","10.1088/0264-9381/14/1A/016","AEI-021","gr-qc",,"  We describe how the iterative technique used by Isenberg and Moncrief to
verify the existence of large sets of non constant mean curvature solutions of
the Einstein constraints on closed manifolds can be adapted to verify the
existence of large sets of asymptotically hyperbolic non constant mean
curvature solutions of the Einstein constraints.
","[{""version"":""v1"",""created"":""Tue, 15 Oct 1996 08:30:54 GMT""}]","2010-04-06"
"gr-qc/9610028","Jim McElwaine","Adrian Kent and Jim McElwaine","Quantum Prediction Algorithms","53 pages, RevTeX with LaTeX2e","Phys.Rev.A55:1703-1720,1997","10.1103/PhysRevA.55.1703","DAMTP-96-88","gr-qc hep-th quant-ph",,"  The consistent histories formulation of the quantum theory of a closed system
with pure initial state defines an infinite number of incompatible consistent
sets, each of which gives a possible description of the physics. We investigate
the possibility of using the properties of the Schmidt decomposition to define
an algorithm which selects a single, physically natural, consistent set. We
explain the problems which arise, set out some possible algorithms, and explain
their properties with the aid of simple models. Though the discussion is framed
in the language of the consistent histories approach, it is intended to
highlight the difficulty in making any interpretation of quantum theory based
on decoherence into a mathematically precise theory.
","[{""version"":""v1"",""created"":""Tue, 15 Oct 1996 09:29:45 GMT""}]","2011-08-04"
"gr-qc/9610029","Elisha Atzmon","E. Atzmon","A Comment on The A/4 Black Hole Entropy","8 pages, Latex, 2 ps-files",,,"TAUP-2380, IHES/p/96/69","gr-qc",,"  Using a simple analysis based on the measurement procedure for a quantized
area we explain the 1/4 factor in the Bekenstein-Hawking black hole formula A/4
for the entropy.
","[{""version"":""v1"",""created"":""Tue, 15 Oct 1996 09:47:10 GMT""}]","2007-05-23"
