"alg-geom/9612001","Alexander Givental","Alexander Givental (UC Berkeley)","Stationary Phase Integrals, Quantum Toda Lattices, Flag Manifolds and
  the Mirror Conjecture","17 pages, LaTeX",,,,"alg-geom math.AG",,"  A generalization of the mirror conjecture is proven for the manifolds of
complete flags in C^n.
","[{""version"":""v1"",""created"":""Mon, 2 Dec 1996 01:34:32 GMT""}]","2008-02-03"
"cond-mat/9612016","Shinobu Hikami","E. Brezin and S. Hikami","Fancy and facts in the (d - 2) expansion of non-linear sigma models","9 pages, latex",,,"LPTENS-96/64,UT-Komaba-96/24","cond-mat.stat-mech",,"  We review the existing results on the scaling dimensions of operators with
more than two derivatives in the non-linear sigma models. We argue that the
speculations on the relevance of these operators, and correspondingly on the
breakdown of the $(d-2)$ expansion for the classical Heisenberg model, or for
the one-parameter scaling theory of localization, are based on a dubious
mathematical analysis.
","[{""version"":""v1"",""created"":""Mon, 2 Dec 1996 10:09:41 GMT""}]","2008-02-03"
"cond-mat/9612017","Mahito Kohmoto","J. Shiraishi, M. Kohmoto and Y.S. Wu","Thermal activation of exclusonic quasiparticles in the fractional
  quantum Hall effect","Rev-TeX file, 9 pages",,,,"cond-mat.mes-hall",,"  Quasiparticles of the fractional quantum Hall systems obey fractional
(including mutual) exclusion statistics. In this note we study the effects of
exclusion statistics on thermal activation of quasiparticle pairs in the
approximation of generalized ideal gas. The distribution function for thermally
activated quasiparticles is found explicitly for the statistics matrix given by
the composite fermion picture and the thermodynamic consequences are discussed
analytically. In particular, at low temperatures, there is a
quasielectron-quasihole duality in the description of the system between two
adjacent magic fillings $\nu(m,p)\equiv m/(2pm+1)$ and $\nu(m+1,p)$.
","[{""version"":""v1"",""created"":""Mon, 2 Dec 1996 10:55:40 GMT""}]","2008-02-03"
"cond-mat/9612019",,"Uwe Girlich (Univ. Leipzig), Meik Hellmund (Durham U.)","Interaction dependence of composite fermion effective masses","4 pages, RevTeX, 5 figures","Phys. Rev. B 55, 15372 (1997)","10.1103/PhysRevB.55.15372","DTP 96-57","cond-mat.mes-hall",,"  We estimate the composite fermion effective mass for a general two particle
potential r^{-\alpha} using exact diagonalization for polarized electrons in
the lowest Landau level on a sphere. Our data for the ground state energy at
filling fraction \nu=1/2 as well as estimates of the excitation gap at \nu=1/3,
2/5 and 3/7 show that m_eff \sim \alpha^{-1}.
","[{""version"":""v1"",""created"":""Mon, 2 Dec 1996 11:57:08 GMT""}]","2016-08-24"
"cond-mat/9612020","Marcus Metzler","Rochus Klesse, Marcus Metzler (Institut fuer Theoretische Physik der
  Universitaet zu Koeln)","Spectral Compressibility at the Metal-Insulator Transition of the
  Quantum Hall Effect","5 pages, RevTeX, 3 figures, Postscript, strongly revised version to
  be published in PRL","Phys.Rev.Lett. 79 (1997) 721","10.1103/PhysRevLett.79.721",,"cond-mat.mes-hall",,"  The spectral properties of a disordered electronic system at the
metal-insulator transition point are investigated numerically. A recently
derived relation between the anomalous diffusion exponent $\eta$ and the
spectral compressibility $\chi$ at the mobility edge, $\chi=\eta/2d$, is
confirmed for the integer quantum Hall delocalization transition. Our
calculations are performed within the framework of an unitary network-model and
represent a new method to investigate spectral properties of disordered
systems.
","[{""version"":""v1"",""created"":""Mon, 2 Dec 1996 11:48:53 GMT""},{""version"":""v2"",""created"":""Fri, 30 May 1997 11:30:52 GMT""}]","2009-10-28"
"cond-mat/9612022","Joerg Esser","J. Esser, U. Nowak, and K. D. Usadel","Exact Ground State Properties of Disordered Ising-Systems","Revtex, postscript-figures included; to be published in Physrev B",,"10.1103/PhysRevB.55.5866","prb1296","cond-mat.dis-nn cond-mat.stat-mech",,"  Exact ground states are calculated with an integer optimization algorithm for
two and three dimensional site-diluted Ising antiferromagnets in a field (DAFF)
and random field Ising ferromagnets (RFIM). We investigate the structure and
the size-distribution of the domains of the ground state and compare it to
earlier results from Monte Carlo simulations for finite temperature. Although
DAFF and RFIM are thought to be in the same universality class we found
essential differences between these systems as far as the domain properties are
concerned. For the DAFF the ground states consist of fractal domains with a
broad size distribution that can be described by a power law with exponential
cut-off. For the RFIM the limiting case of the size distribution and structure
of the domains for strong random fields is the size distribution and structure
of the clusters of the percolation problem with a field dependent lower
cut-off. The domains are fractal and in three dimensions nearly all spins
belong to two large infinite domains of up- and down spins - the system is in a
two-domain state.
","[{""version"":""v1"",""created"":""Mon, 2 Dec 1996 14:43:31 GMT""}]","2009-10-28"
"cond-mat/9612023",,"Osamu Koseki and Fumitaka Matsubara","A cluster heat bath method on a quasi-onedimensional Ising model","4 pages, REVTeX, 10 figures in eps-files",,"10.1143/JPSJ.66.322",,"cond-mat",,"  We have proposed a cluster heat bath(CHB) method of a quasi-one dimensional
Ising model and demonstrated that it reproduces the exact results of the two
dimensional Ising model with axially anisotropic exchange interactions. The
point of the method is to select one of the equilibrium spin configurations of
each of the chains which are subjected by effective fields of surrounding
spins. Thus the chains are always in their equilibrium state during the
simulation and the $d$ dimensional model effectively becomes as a $d-1$
dimensional model of fictitious spins with their freedom of $2^N$ and the
simulation time is drastically reduced, where $N$ is the number of the spins on
the chain.
","[{""version"":""v1"",""created"":""Mon, 2 Dec 1996 15:01:51 GMT""}]","2009-10-28"
"cond-mat/9612024","Max Petersen","S. Schwegmann, A. P. Seitsonen, H. Dietrich, H. Bludau, H. Over, K.
  Jacobi, G. Ertl","The Adsorption of Atomic Nitrogen on Ru(0001): Geometry and Energetics","17 pages, 5 figures. Submitted to Chem. Phys. Lett. (October 10,
  1996)",,"10.1016/S0009-2614(96)01394-2",,"cond-mat.mtrl-sci",,"  The local adsorption geometries of the (2x2)-N and the (sqrt(3)x
sqrt(3))R30^o -N phases on the Ru(0001) surface are determined by analyzing
low-energy electron diffraction (LEED) intensity data. For both phases,
nitrogen occupies the threefold hcp site. The nitrogen sinks deeply into the
top Ru layer resulting in a N-Ru interlayer distance of 1.05 AA and 1.10 AA in
the (2x2) and the (sqrt(3)x sqrt(3))R30^o unit cell, respectively. This result
is attributed to a strong N binding to the Ru surface (Ru--N bond length = 1.93
AA) in both phases as also evidenced by ab-initio calculations which revealed
binding energies of 5.82 eV and 5.59 eV, respectively.
","[{""version"":""v1"",""created"":""Mon, 2 Dec 1996 15:25:23 GMT""},{""version"":""v2"",""created"":""Tue, 4 Mar 1997 12:22:18 GMT""}]","2009-10-28"
"dg-ga/9612001","Kefeng Liu","Kefeng Liu","Heat kernel and moduli spaces II","A mistakes in Section 4 is corrected, argument in Section 5 is
  clarified. To appear in MRL",,,,"dg-ga alg-geom math.AG math.DG math.QA q-alg",,"  In this paper we continue our study on the moduli spaces of flat G-bundles,
for any semi-simple Lie group G, over a Riemann surface by using heat kernel
and Reidemeister torsion. Formulas for intersection numbers on the moduli
spaces over a Riemann surface with several boundary components, over
non-orientable Riemann surfaces are obtained. Some general vanishing theorems
about characteristic numbers of the moduli spaces are proved. We also extend
our method to study Higgs moduli spaces, to introduce invariants for knots and
3-manifolds.
","[{""version"":""v1"",""created"":""Sun, 1 Dec 1996 23:41:11 GMT""},{""version"":""v2"",""created"":""Mon, 27 Jan 1997 20:25:48 GMT""},{""version"":""v3"",""created"":""Tue, 15 Apr 1997 17:22:15 GMT""}]","2008-02-03"
"dg-ga/9612002",,"Maurice Kibler","On quadratic and nonquadratic forms: Application to nonbijective R^{2m}
  -> R^{2m-n} transformations","14 pages, Tex File. Work presented both to the Symposium ``Symmetries
  in Science IX'' (Bregenz, Austria, 6-10 August 1996) and to the Symposium
  ``III Catalan Days on Applied Mathematics'' (Lleida, Spain, 27-29 November
  1996)",,,,"dg-ga math-ph math.DG math.MP quant-ph",,"  Hurwitz transformations are defined as specific automorphisms of a
Cayley-Dickson algebra. These transformations generate quadratic and
nonquadratic forms. We investigate here the Hurwitz transformations
corresponding to Cayley-Dickson algebras of dimensions 2m = 2, 4 and 8. The
Hurwitz transformations which lead to quadratic forms are discussed from
geometrical and Lie-algebraic points of view. Applications to number theory and
dynamical systems are briefly examined.
","[{""version"":""v1"",""created"":""Mon, 2 Dec 1996 10:39:28 GMT""}]","2008-02-03"
"gr-qc/9612004","Barvinski","A.O. Barvinsky, A.Yu. Kamenshchik and I.V. Mishakov","Quantum origin of the early inflationary Universe","43 pages, LaTeX, figures not included","Nucl.Phys.B491:387-426,1997","10.1016/S0550-3213(97)00118-1",,"gr-qc",,"  We give a detailed presentation of a recently proposed mechanism of
generating the energy scale of inflation by loop effects in quantum cosmology.
We discuss the quantum origin of the early inflationary Universe from the
no-boundary and tunneling quantum states and present a universal effective
action algorithm for the distribution function of chaotic inflationary
cosmologies in both of these states. The energy scale of inflation is
calculated by finding a sharp probability peak in this distribution function
for a tunneling model driven by the inflaton field with large negative constant
$\xi$ of non-minimal interaction. The sub-Planckian parameters of this peak
(the mean value of the corresponding Hubble constant $H\simeq 10^{-5}m_P$, its
quantum width $\Delta H/H\simeq 10^{-5}$ and the number of inflationary
e-foldings $N\geq 60$) are found to be in good correspondence with the
observational status of inflation theory, provided the coupling constants of
the theory are constrained by a condition which is likely to be enforced by the
(quasi) supersymmetric nature of the sub-Planckian particle physics model.
","[{""version"":""v1"",""created"":""Mon, 2 Dec 1996 10:09:14 GMT""}]","2011-08-17"
"gr-qc/9612005","Fredrik Sthl","Fredrik St{\aa}hl","A Local Variational Theory for the Schmidt metric","14 pages, LaTeX 2.09, REVTeX, AMSFonts, EPSF, 2 figures","J.Math.Phys. 38 (1997) 3347-3357","10.1063/1.532047",,"gr-qc",,"  We study local variations of causal curves in a space-time with respect to
b-length (or generalised affine parameter length). In a convex normal
neighbourhood, causal curves of maximal metric length are geodesics. Using
variational arguments, we show that causal curves of minimal b-length in
sufficiently small globally hyperbolic sets are geodesics. As an application we
obtain a generalisation of a theorem by B. G. Schmidt, showing that the cluster
curve of a partially future imprisoned, future inextendible and future
b-incomplete curve must be a null geodesic. We give examples which illustrate
that the cluster curve does not have to be closed or incomplete. The theory of
variations developed in this work provides a starting point for a Morse theory
of b-length.
","[{""version"":""v1"",""created"":""Mon, 2 Dec 1996 15:25:21 GMT""}]","2009-10-28"
"gr-qc/9612006","Bijan Saha","Yu. P. Rybakov (Peoples' Friendship University of Russia), B. Saha
  (Joint Institue for Nuclear Rearch), G. N. Shikin (Peoples' Friendship
  University of Russia)","Exact Self-consistent Particle-like Solutions to the Equations of
  Nonlinear Scalar Electrodynamics in General Relativity","17 pages, Submitted to the International Journal of Theoretical
  Physics","Int.J.Theor.Phys.36:1475,1997","10.1007/BF02435941",,"gr-qc",,"  Exact self-consistent particle-like solutions with spherical and/or
cylindrical symmetry to the equations governing the interacting system of
scalar, electromagnetic and gravitational fields have been obtained. As a
particular case it is shown that the equations of motion admit a special kind
of solutions with sharp boundary known as droplets. For these solutions, the
physical fields vanish and the space-time is flat outside of the critical
sphere or cylinder. Therefore, the mass and the electric charge of these
configurations are zero.
","[{""version"":""v1"",""created"":""Mon, 2 Dec 1996 11:14:06 GMT""}]","2010-05-27"
"hep-ex/9612001","Halina Abramowicz","Halina Abramowicz","Tests of QCD at low $x$","Rapporteur talk at the XXVIII ICHEP, July 1996, Warsaw, Poland, 16
  pages, 22 figures",,,"TAUP 2396-96","hep-ex hep-ph",,"  This talk reviews the latest measurements of the proton, Pomeron and photon
structure functions. These measurements, especially at low $x$ and/or low $Q^2$
lead to new insight into the picture of hadronic interactions.
","[{""version"":""v1"",""created"":""Sun, 1 Dec 1996 17:17:48 GMT""}]","2007-05-23"
"hep-lat/9612001","Kerler Werner Prof. Dr.","W. Kerler, C. Rebbi, A. Weber","Critical properties and monopoles in U(1) lattice gauge theory","14 pages, LaTeX, 5 figures","Phys.Lett. B392 (1997) 438-443","10.1016/S0370-2693(96)01564-X","BUHEP-96-42","hep-lat",,"  We present a detailed study of the properties of the phase transition in the
four-dimensional compact U(1) lattice gauge theory supplemented by a monopole
term, for values of the monopole coupling $\lambda$ such that the transition is
of second order. By a finite size analysis we show that at $\lambda= 0.9$ the
critical exponent is already characteristic of a second-order transition.
Moreover, we find that this exponent is definitely different from the one of
the Gaussian case. We further observe that the monopole density becomes
approximately constant in the second-order region. Finally we reveal the
unexpected phenomenon that the phase transition persists up to very large
values of $\lambda$, where the transition moves to (large) negative $\beta$.
","[{""version"":""v1"",""created"":""Mon, 2 Dec 1996 12:26:54 GMT""}]","2009-10-28"
"hep-ph/9612219","Robin Stuart","Leo Stodolsky (Max-Planck-Institut)","A Comment on Totally Inclusive B0 Decays","Three pages, no figures",,,,"hep-ph",,"  We recall that the totally inclusive rate for B0 decays can yield information
on CP violation.
","[{""version"":""v1"",""created"":""Sun, 1 Dec 1996 18:18:38 GMT""}]","2007-05-23"
"hep-ph/9612220","Dudas","N.B. Mandache (Univ. Paris-Sud, Orsay)","A new interpretation of the proton-neutron bound state. The calculation
  of the binding energy","10 pages, LaTeX",,,,"hep-ph",,"  We treat the old problem of the proton-neutron bound state (the deuteron).
Using a new concept of incomplete (partial) annihilation process we derive a
formula for the binding energy of the deuteron, which does not contain any new
constant. Some implications of this new approach are discussed.
","[{""version"":""v1"",""created"":""Sun, 1 Dec 1996 20:01:28 GMT""}]","2007-05-23"
"hep-ph/9612221","Carlos Lourenco","C. Lourenco (for the ALICE Coll.)","Heavy Ion Collisions at the LHC; the ALICE Experiment","6 pages, 3 figures, LaTeX, uses packages
  graphicx,epsfig,amsmath,amssymb,cite,xspace,float",,,"LIP/96-02","hep-ph",,"  ALICE (A Large Ion Collider Experiment) is a detector designed to exploit the
physics potential of nucleus-nucleus interactions at the LHC. Being a general
purpose experiment, it will allow a comprehensive study of hadrons, electrons,
muons and photons, produced in the collision of heavy nuclei, up to the highest
particle multiplicities anticipated (dNch/dy=8000). In addition to heavy
systems (Pb-Pb), we will study collisions at smaller energy densities by using
lower-mass ions (e.g. A~40). Reference data will be obtained from pp and
p-nucleus collisions. The central part of ALICE covers $|\eta| < 0.9$, and
consists of an inner tracker (ITS), a TPC and a particle identification array
(PID), all embedded in a large magnet with a weak solenoidal field. The
experiment is completed by two small area spectrometers in the barrel region
(an electromagnetic calorimeter, PHOS, and a high momentum PID detector,
HMPID), a forward muon spectrometer (2 degrees to 9.5 degrees) and a ZDC.
","[{""version"":""v1"",""created"":""Sun, 1 Dec 1996 22:58:09 GMT""}]","2016-09-06"
"hep-ph/9612222","Carlos Lourenco","C. Lourenco","Hard probes in nucleus-nucleus collisions","15 pages, 8 figures, Latex, uses packages graphicx,rotating,cite,
  fleqn and the sty file espcrc1_new (included in this submission)","Nucl.Phys. A610 (1996) 552c-566c","10.1016/S0375-9474(96)00387-9","CERN-PPE/96-158, LIP/96-03","hep-ph",,"  The present knowledge on hard processes in the context of heavy ion
collisions is reviewed, with particular emphasis on J/psi production. The p-A
data on charmonia production from Fermilab experiments is shown to be in
excelent agreement with the p-A data collected at CERN. The simultaneous
analysis of all existing p-A data reaches a precision which allows us to rule
out some preconceived ideas, setting a good frame against which the data
collected with ion beams at CERN can be compared.
","[{""version"":""v1"",""created"":""Sun, 1 Dec 1996 23:37:43 GMT""}]","2009-10-30"
"hep-ph/9612223","Hai-Yang Cheng","Hai-Yang Cheng","Nonleptonic Weak Decays of Bottom Baryons","24 pages, to appear in Phys. Rev. Uncertainties with form factor q^2
  dependence are discussed","Phys.Rev. D56 (1997) 2799-2811","10.1103/PhysRevD.56.2799","IP-ASTP-06-96","hep-ph",,"  Cabibbo-allowed two-body hadronic weak decays of bottom baryons are analyzed.
Contrary to the charmed baryon sector, many channels of bottom baryon decays
proceed only through the external or internal W-emission diagrams. Moreover,
W-exchange is likely to be suppressed in the bottom baryon sector.
Consequently, the factorization approach suffices to describe most of the
Cabibbo-allowed bottom baryon decays. We use the nonrelativistic quark model to
evaluate heavy-to-heavy and heavy-to-light baryon form factors at zero recoil.
When applied to the heavy quark limit, the quark model results do satisfy all
the constraints imposed by heavy quark symmetry. The decay rates and up-down
asymmetries for bottom baryons decaying into $(1/2)^++P(V)$ and $(3/2)^++P(V)$
are calculated. It is found that the up-down asymmetry is negative except for
$\Omega_b \to (1/2)^++P(V)$ decay and for decay modes with $\psi'$ in the final
state. The prediction $B(\Lambda_b \to J/\psi\Lambda)=1.6 \times 10^{-4}$ for
$|V_{cb}|=0.038$ is consistent with the recent CDF measurement. We also present
estimates for $\Omega_c \to (3/2)^++P(V)$ decays and compare with various model
calculations.
","[{""version"":""v1"",""created"":""Mon, 2 Dec 1996 06:04:11 GMT""},{""version"":""v2"",""created"":""Thu, 12 Jun 1997 22:52:01 GMT""}]","2009-10-30"
"hep-ph/9612224",,"V. I. Shevchenko","Nonperturbative Effects in the Nonrelativistic Hadron Scattering","be published in Phys.Lett.B","Phys.Lett. B392 (1997) 457-462","10.1016/S0370-2693(96)01563-8","ITEP-55-96","hep-ph",,"  Starting from the gauge-invariant quark-antiquark Green function the
expression for the nonrelativistic meson scattering amplitude is obtained and
the nonperturbative form of this amplitude is discussed.
","[{""version"":""v1"",""created"":""Mon, 2 Dec 1996 12:24:56 GMT""}]","2009-10-30"
"hep-ph/9612225",,"Mayumi Aoki, Noriyuki Oshimo, Akio Sugamoto","Electroweak baryogenesis from chargino transport in the supersymmetric
  model","23 pages","Prog.Theor.Phys. 98 (1997) 1179-1192","10.1143/PTP.98.1179","OCHA-PP-87","hep-ph",,"  We study the baryon asymmetry of the universe in the supersymmetric standard
model (SSM). At the electroweak phase transition, the fermionic partners of the
charged SU(2) gauge bosons and Higgs bosons are reflected from or transmitted
to the bubble wallof the broken phase. Owing to a physical complex phase in
their mass matrix, these reflections and transmissions have asymmetries between
CP conjugate processes. Equilibrium conditions in the symmetric phaseare then
shifted to favor a non-vanishing value for the baryon number density, which is
realized through electroweak anomaly. We show that the resultant ratio of
baryon number to entropy is consistent with its present observed value within
reasonable ranges of SSM parameters, provided that the CP-violating phase
intrinsic in the SSM is not much suppressed. The compatibility with the
constraints on the parameters from the electric dipole moment of the neutron is
also discussed.
","[{""version"":""v1"",""created"":""Mon, 2 Dec 1996 11:26:35 GMT""}]","2009-10-30"
