"alg-geom/9612018","Takeshi Kawachi","Takeshi Kawachi","Effective base point freeness on a normal surface","AmS-TeX 2.1, 15pages + 1 PostScript graphic page",,,,"alg-geom math.AG",,"  This treats the base-point-freeness of the adjoint bundles on normal surfaces
with a boundary. This is an extension of the non-relative version of the
theorem of Ein-Lazarsfeld-Masek and the theorem of Kawachi-Masek.
","[{""version"":""v1"",""created"":""Fri, 20 Dec 1996 07:50:32 GMT""},{""version"":""v2"",""created"":""Mon, 20 Jan 1997 06:05:45 GMT""}]","2008-02-03"
"astro-ph/9612206","Dario Fadda","M. Girardi, E. Escalera, D. Fadda, G. Giuricin, F. Mardirossian and M.
  Mezzetti (Dip. Astron. Universita' di Trieste - SISSA -Italy)","Optical Substructures in 48 Galaxy Clusters","24 pages, 5 bitmapped eps figures, 7 tables, USE LaTeX2e !!
  Astrophysical Journal, in press",,,"SISSA 176/96/A","astro-ph",,"  We analyze the presence of substructures in a set of 48 galaxy clusters, by
using galaxy positions and redshifts. We use a multi-scale analysis which
couples kinematical estimators with the wavelet transform. 14% of our clusters
are strongly substructured (i.e. they are bimodal or complex) and 24% of the
remaining unimodal clusters contain substructures at small scales. Thus, in
substantial agreement with previous studies, about one third of clusters show
substructures. In unimodal clusters the presence of substructures does not
affect the estimates of both virial masses and velocity dispersions, which are
generally in good agreement with the X-ray temperatures. Thus, unimodal
clusters are not too far from a status of dynamical equilibrium. On the
contrary, velocity dispersions and masses for some bimodal or complex clusters
strongly depend on whether they are treated as single systems or as sums of
different clumps and X-ray temperatures and velocity dispersions may be very
different.
","[{""version"":""v1"",""created"":""Fri, 20 Dec 1996 15:52:59 GMT""}]","2007-05-23"
"chao-dyn/9612025","Christoph Uhlig","C. Uhlig, J. Eggers (Fachbereich Physik, Universitaet Essen, Germany)","Singularities in cascade models of the Euler equation","33 pages (REVTeX) including eps-figures, Stylefile here.sty",,"10.1007/s002570050337",,"chao-dyn nlin.CD",,"  The formation of singularities in the three-dimensional Euler equation is
investigated. This is done by restricting the number of Fourier modes to a set
which allows only for local interactions in wave number space. Starting from an
initial large-scale energy distribution, the energy rushes towards smaller
scales, forming a universal front independent of initial conditions. The front
results in a singularity of the vorticity in finite time, and has scaling form
as function of the time difference from the singularity. Using a simplified
model, we compute the values of the exponents and the shape of the front
analytically. The results are in good agreement with numerical simulations.
","[{""version"":""v1"",""created"":""Thu, 19 Dec 1996 16:38:31 GMT""}]","2009-10-28"
"cmp-lg/9612004",,"Dario Albesano, Paolo Baggia, Morena Danieli, Roberto Gemello,
  Elisabetta Gerbino, and Claudio Rullent (CSELT - Turin, Italy)","Dialogos: a Robust System for Human-Machine Spoken Dialogue on the
  Telephone","4 pages, LaTeX, 1 eps figures, uses icassp91.sty, and psfig.tex; to
  appear in Proc. of ICASSP 1997, Munich, Germany",,,,"cmp-lg cs.CL",,"  This paper presents Dialogos, a real-time system for human-machine spoken
dialogue on the telephone in task-oriented domains. The system has been tested
in a large trial with inexperienced users and it has proved robust enough to
allow spontaneous interactions both to users which get good recognition
performance and to the ones which get lower scores. The robust behavior of the
system has been achieved by combining the use of specific language models
during the recognition phase of analysis, the tolerance toward spontaneous
speech phenomena, the activity of a robust parser, and the use of
pragmatic-based dialogue knowledge. This integration of the different modules
allows to deal with partial or total breakdowns of the different levels of
analysis. We report the field trial data of the system and the evaluation
results of the overall system and of the submodules.
","[{""version"":""v1"",""created"":""Fri, 20 Dec 1996 09:50:56 GMT""}]","2008-02-03"
"cond-mat/9612176","Werner Krauth","Werner Krauth (LPS - ENS, Paris)","Quantum Monte Carlo Calculations for a large number of bosons in a
  harmonic trap","8 pages, 3 figures, Revtex","Phys. Rev. Lett. 77, 3695 (1996)","10.1103/PhysRevLett.77.3695",,"cond-mat.stat-mech",,"  In this paper, I present a precise Quantum Monte Carlo calculation at finite
temperature for a very large number (many thousands) of bosons in a harmonic
trap, which may be anisotropic. The calculation applies directly to the recent
experiments of Bose-Einstein condensation of atomic vapors in magnetic traps. I
show that the critical temperature of the system decreases with the
interaction. I also present profiles for the overall density and the one of
condensed particles, and obtain excellent agreement with solutions of the
Gross-Pitaevskii equation.
","[{""version"":""v1"",""created"":""Thu, 19 Dec 1996 21:17:45 GMT""}]","2009-10-28"
"cond-mat/9612179","Carlo Beenakker","C.W.J. Beenakker","Random-Matrix Theory of Quantum Transport","85 pages including 52 figures, to be published in Rev.Mod.Phys","Rev.Mod.Phys. 69, 731 (1997)","10.1103/RevModPhys.69.731",,"cond-mat.mes-hall",,"  This is a comprehensive review of the random-matrix approach to the theory of
phase-coherent conduction in mesocopic systems. The theory is applied to a
variety of physical phenomena in quantum dots and disordered wires, including
universal conductance fluctuations, weak localization, Coulomb blockade,
sub-Poissonian shot noise, reflectionless tunneling into a superconductor, and
giant conductance oscillations in a Josephson junction.
","[{""version"":""v1"",""created"":""Thu, 19 Dec 1996 17:09:03 GMT""}]","2008-02-03"
"cond-mat/9612180","Walter Hofstetter","W. Hofstetter and W. Zwerger (Ludwig-Maximilians-Universitaet, Munich)","The Single-Electron-Box and the Helicity Modulus of an inverse square
  XY-Model","4 pages revtex, 1 eps figure","Phys. Rev. Lett. 78, 3737 (1997)","10.1103/PhysRevLett.78.3737",,"cond-mat.mes-hall",,"  We calculate the average number of electrons on a metallic
single-electron-box as a function of the gate voltage for arbitrary values of
the tunneling conductance. In the vicinity of the plateaus the problem is
equivalent to calculating the helicity modulus of a classical inverse square
XY-model in one dimension. By a combination of perturbation theory, a two-loop
renormalization group calculation and a Monte-Carlo simulation in the
intermediate regime we provide a complete description of the smearing of the
Coulomb staircase at zero temperature with increasing conductance.
","[{""version"":""v1"",""created"":""Thu, 19 Dec 1996 17:23:28 GMT""}]","2009-10-28"
"cond-mat/9612181","Ulrich Trapper","U. Trapper (a,b), H. Fehske (b) and D. Ihle (a) ((a) Institut f""ur
  Theoretische Physik, Universit""at Leipzig (b) Physikalisches Institut,
  Universit""at Bayreuth)","Magnetic properties of the 2D t-t'-Hubbard model","2 pages, 3 Postscript figure, submitted to Int. Conf. M2S-HTSC-V
  Beijing 97, to appear in Physica C",,"10.1016/S0921-4534(97)00967-2",,"cond-mat",,"  The two-dimensional (2D) t-t'-Hubbard model is studied within the slave-boson
(SB) theory. At half-filling, a paramagnetic to antiferromagnetic phase
transition of first order at a finite critical interaction strength U_c(t'/t)
is found. The dependences on U/t and t'/t of the sublattice magnetization and
of the local magnetic moment are calculated. Our results reasonably agree with
recent (Projector) Quantum Monte Carlo data. The SB ground-state phase diagram
reveals a t'-induced electron-hole asymmetry, and, depending on the ratio t'/t,
the antiferromagnetic or ferromagnetic phases are stable down to U=0 at a
critical hole doping.
","[{""version"":""v1"",""created"":""Thu, 19 Dec 1996 17:30:49 GMT""}]","2016-08-31"
"cond-mat/9612182","Holger Stark","Holger Stark (1), Tom C. Lubensky (2) ((1) University of Stuttgart,
  Germany, (2) University of Pennsylvania, Philadelphia)","Multiple light scattering in anisotropic random media","23 pages, 12 ps figures, to be published in Phys. Rev. E",,"10.1103/PhysRevE.55.514",,"cond-mat.soft",,"  In the last decade Diffusing Wave Spectroscopy (DWS) has emerged as a
powerful tool to study turbid media. In this article we develop the formalism
to describe light diffusion in general anisotropic turbid media. We give
explicit formulas to calculate the diffusion tensor and the dynamic absorption
coefficient, measured in DWS experiments. We apply our theory to uniaxial
systems, namely nematic liquid crystals, where light is scattered from thermal
fluctuations of the local optical axis, called director. We perform a detailed
analysis of the two essential diffusion constants, parallel and perpendicular
to the director, in terms of Frank elastic constants, dielectric anisotropy,
and applied magnetic field. We also point out the relevance of our results to
different liquid crystalline systems, such as discotic nematics, smectic-A
phases, and polymer liquid crystals. Finally, we show that the dynamic
absorption coefficient is the angular average over the inverse viscosity, which
governs the dynamics of director fluctuations.
","[{""version"":""v1"",""created"":""Thu, 19 Dec 1996 18:37:05 GMT""}]","2009-10-28"
"cond-mat/9612183","Werner Krauth","Christophe Dress and Werner Krauth","Cluster Algorithm for hard spheres and related systems","6 pages, 2 figures, Revtex","J. Phys. A: Math. Gen. L597 (1995)",,,"cond-mat.stat-mech",,"  In this paper, we present a cluster algorithm for the simulation of hard
spheres and related systems. In this algorithm, a copy of the configuration is
rotated with respect to a randomly chosen pivot point. The two systems are then
superposed, and clusters of overlapping spheres in the joint system are
isolated. Each of these clusters can be ``flipped'' independently, a process
which generates non-local moves in the original configuration. A generalization
of this algorithm (which works perfectly well at small density) can be
successfully made to work at densities around the solid-liquid transition point
in the two-dimensional hard-sphere system.
","[{""version"":""v1"",""created"":""Thu, 19 Dec 1996 21:37:20 GMT""}]","2008-02-03"
"cond-mat/9612184",,"Hai-cang Ren","A Possible Mechanism for Pseudo-Gap in Cuprates","19 pages, Plain TeX",,,"RU-96-12-B","cond-mat",,"  The electron spectrum in the normal phase of cuprates is analyzed in terms of
the boson-fermion model. It is argued that the existence of the uncondensed
pairs and the quasi-two-dimensional nature of the crystal structure are
responsible for the pseudo-gap above T_C observed recently.
","[{""version"":""v1"",""created"":""Thu, 19 Dec 1996 22:13:25 GMT""}]","2007-05-23"
"cond-mat/9612185","Claudio Chamon","Claudio de C. Chamon and Eduardo Fradkin (UIUC)","How to observe distinct universal conductances in tunneling to quantum
  Hall states: having the right contacts","References added. Minor corrections to the text. Figure captions
  corrected. To appear in Phys. Rev. B",,,,"cond-mat",,"  We show that different universal values can be obtained for the two-terminal
conductance of a fractional quantum Hall state. At large voltages, or strong
coupling, the conductance of a point-like tunneling junction between an
electron gas reservoir and a Laughlin FQH state at filling fraction $\nu$
saturates to a universal value $G={\frac{2\nu}{\nu+1}} {\frac{e^2}{h}}$. We use
this result to show that devices with different types of contacts between the
reservoir and the FQH state lead to distinct universal values of saturation
conductance which are rational multiples of $e^2/h$. The particular fraction
$e^2/h$ is obtained for the case of electron tunneling in and out of a FQH
liquid by two point contacts. We demonstrate that the problem of tunneling
between an electron gas and a fractional quantum Hall state through an impurity
is exactly equivalent to the problem of tunneling between a chiral Fermi liquid
and a chiral Luttinger liquid. We investigate in detail the case of tunneling
to a $\nu=1/3$ FQH state which we show to be equivalent to the problem of
tunneling between two $g=1/2$ chiral Luttinger liquids. This system provides an
experimental realization of this important exactly solvable case. We use the
results of the single impurity problem to consider the case of many tunneling
centers coupled independently to an electron reservoir, which is relevant to
recent experiments by A.~Chang et.~al. We derive an explicit universal
expression for the voltage and temperature dependent conductance which exhibits
a crossover reminiscent of a Kondo effect. This universal curve fits the
experimental data over the full range of probed voltages.
","[{""version"":""v1"",""created"":""Thu, 19 Dec 1996 23:23:54 GMT""},{""version"":""v2"",""created"":""Mon, 7 Jul 1997 16:58:58 GMT""}]","2008-02-03"
"cond-mat/9612186","Werner Krauth","Werner Krauth (LPS - ENS, Paris)","Introduction To Monte Carlo Algorithms","43 pages, many figures, 5 original drawings by the author, Latex","in 'Advances in Computer Simulation' J. Kertesz and I. Kondor,
  eds, Lecture Notes in Physics (Springer Verlag, 1998)",,,"cond-mat.stat-mech",,"  In these lectures, given in '96 summer schools in Beg-Rohu (France) and
Budapest, I discuss the fundamental principles of thermodynamic and dynamic
Monte Carlo methods in a simple light-weight fashion. The keywords are MARKOV
CHAINS, SAMPLING, DETAILED BALANCE, A PRIORI PROBABILITIES, REJECTIONS,
ERGODICITY, ""FASTER THAN THE CLOCK ALGORITHMS"".
  The emphasis is on ORIENTATION, which is difficult to obtain (all the
mathematics being simple). A firm sense of orientation helps to avoid getting
lost, especially if you want to leave safe trodden-out paths established by
common usage.
  Even though I remain quite basic (and, I hope, readable), I make every effort
to drive home the essential messages, which are easily explained: the
crystal-clearness of detail balance, the main problem with Markov chains, the
great algorithmic freedom, both in thermodynamic and dynamic Monte Carlo, and
the fundamental differences between the two problems.
","[{""version"":""v1"",""created"":""Fri, 20 Dec 1996 00:26:17 GMT""},{""version"":""v2"",""created"":""Tue, 14 Nov 2006 20:32:41 GMT""}]","2008-02-03"
"cond-mat/9612187","Masaki Oshikawa","Masaki Oshikawa (UBC) and Ian Affleck (UBC,CIAR)","Boundary conformal field theory approach to the two-dimensional critical
  Ising model with a defect line","References added; 69 pages in LaTeX with figures in eps and LaTeX;
  Full paper of PRL 77, 2604 (hep-th/9606177)","Nucl.Phys.B495:533-582,1997","10.1016/S0550-3213(97)00219-8",,"cond-mat.stat-mech hep-th",,"  We study the critical two-dimensional Ising model with a defect line (altered
bond strength along a line) in the continuum limit. By folding the system at
the defect line, the problem is mapped to a special case of the critical
Ashkin-Teller model, the continuum limit of which is the $Z_2$ orbifold of the
free boson, with a boundary. Possible boundary states on the $Z_2$ orbifold
theory are explored, and a special case is applied to the Ising defect problem.
We find the complete spectrum of boundary operators, exact two-point
correlation functions and the universal term in the free energy of the defect
line for arbitrary strength of the defect. We also find a new universality
class of defect lines. It is conjectured that we have found all the possible
universality classes of defect lines in the Ising model. Relative stabilities
among the defect universality classes are discussed.
","[{""version"":""v1"",""created"":""Fri, 20 Dec 1996 01:05:04 GMT""},{""version"":""v2"",""created"":""Thu, 2 Jan 1997 22:43:27 GMT""},{""version"":""v3"",""created"":""Fri, 3 Jan 1997 01:57:04 GMT""},{""version"":""v4"",""created"":""Fri, 7 Mar 1997 01:28:21 GMT""}]","2008-11-26"
"cond-mat/9612188","M. V. Sadovskii","M.V.Sadovskii, A.I.Posazhennikova","Disorder Effects in Superconductors with Anisotropic Pairing: From
  Cooper Pairs to Compact Bosons","8 pages, 3 figures, RevTeX 3.0, 1 Postscript figure attached,
  submitted to JETP Letters","JETP Lett. 65 (1997) 270","10.1134/1.567359","IEF-LTF 96-02","cond-mat.supr-con",,"  In the weak coupling BCS-approximation normal impurities do not influence
superconducting T_{c} in significant manner in case of isotropic s-wave
pairing. However, in case of d-wave pairing these are strongly pair-breaking.
This fact is in rather strong contradiction with many experiments on disordered
high-T_{c} superconductors assuming the d-wave nature of pairing in these
systems. With the growth of electron attraction within the Cooper pair the
system smoothly crosses over from BCS-pairs to compact Boson picture of
superconductivity. As pairing strength grows and pairs become compact
significant deviations from universal Abrikosov-Gorkov dependence of T_{c} on
disorder appear in case of d-wave pairing with superconducting state becoming
more stable than in the weak coupling case. As high-T_{c} superconductors are
actually in the intermediate region with Cooper pairs size of the order of few
interatomic lengths, these results can explain the relative stability of d-wave
pairing under rather strong disordering.
","[{""version"":""v1"",""created"":""Fri, 20 Dec 1996 08:03:59 GMT""}]","2016-08-31"
"cond-mat/9612189","Georg R. Schreiber","G. R. Schreiber","Frustrated Blume-Emery-Griffiths model","16 pages, 11 figures","Eur. Phys. J. B 9, 479-490 (1999)","10.1007/s100510050789","Saclay-Preprint T96-128","cond-mat.stat-mech cond-mat.dis-nn",,"  A generalised integer S Ising spin glass model is analysed using the replica
formalism. The bilinear couplings are assumed to have a Gaussian distribution
with ferromagnetic mean <J_ij> = Jo. Incorporation of a quadrupolar interaction
term and a chemical potential leads to a richer phase diagram with transitions
of first and second order. The first order transition may be interpreted as a
phase separation, and contrary to what has been argued previously, it persists
in the presence of disorder. Finally, the stability of the replica symmetric
solution with respect to fluctuations in replica space is analysed, and the
transition lines are obtained both analytically and numerically.
","[{""version"":""v1"",""created"":""Fri, 20 Dec 1996 08:37:51 GMT""},{""version"":""v2"",""created"":""Sat, 16 Jan 1999 12:56:46 GMT""}]","2009-10-28"
