"alg-geom/9612008","Jim Bryan","Jim Bryan and Marc Sanders","Instantons on $S^{4}$ and $\cpbar $, rank stabilization, and Bott
  periodicity","20 pages, keywords: instantons, holomorphic bundles, Bott periodicity
  LaTeX2e",,,,"alg-geom math.AG",,"  We study the large rank limit of the moduli spaces of framed bundles on the
projective plane and the blown-up projective plane. These moduli spaces are
identified with various instanton moduli spaces on the 4-sphere and $\cpbar $,
the projective plane with the reverse orientation. We show that in the direct
limit topology, these moduli spaces are homotopic to classifying spaces. For
example, the moduli space of $Sp(\infty)$ or $SO(\infty)$ instantons on $\cpbar
$ has the homotopy type of $BU(k)$ where $k$ is the charge of the instantons.
We use our results along with Taubes' result concerning the $k\to \infty $
limit to obtain a novel proof of the homotopy equivalences in the eight-fold
Bott periodicity spectrum. We give explicit constructions for these moduli
spaces.
","[{""version"":""v1"",""created"":""Wed, 11 Dec 1996 07:35:54 GMT""}]","2008-02-03"
"astro-ph/9612110","Mike Nowak","Philip R. Maloney, Mitchell C. Begelman, and J. E. Pringle","Radiation-Driven Warping: The Origin of Warps and Precession in
  Accretion Disks","16 pages, latex, 3 figures",,"10.1086/178089",,"astro-ph",,"  A geometrically thin, optically thick, warped accretion disk with a central
source of luminosity is subject to non-axisymmetric forces due to radiation
pressure; the resulting torque acts to modify the warp. In a recent paper,
\cite{pri96} used a local analysis to show that initially planar accretion
disks are unstable to warping driven by radiation torque. Here we extend this
work with a global analysis of the stable and unstable modes. We confirm
Pringle's conclusion that thin centrally-illuminated accretion disks are
generically unstable to warping via this mechanism; we discuss the
time-evolution and likely steady-state of such systems and show specifically
that this mechanism can explain the warping of the disk of water masers in NGC
4258 and the 164-day precession period of the accretion disk in SS 433.
Radiation-driven warping and precession provides a robust mechanism for
producing warped, precessing accretion disks in active galactic nuclei and
X-ray binary systems.
","[{""version"":""v1"",""created"":""Wed, 11 Dec 1996 01:14:26 GMT""}]","2009-10-28"
"astro-ph/9612111","Mike Nowak","Philip R. Maloney and Mitchell C. Begelman","Proceedings of IAU 163: Radiation-Driven Warping: The Origin of Warps
  and Precession in Accretion Disks","10 pages, latex, paspconf.sty (included), 3 figures. To Appear in
  Proceedings of IAU #163, ""Accretion Phenomena and Associated Outflows"", (cf.
  also astro-ph/9612110, which also appears in ApJ, 472, p. 582)",,,,"astro-ph",,"  A geometrically thin, optically thick, warped accretion disk with a central
source of luminosity is subject to non-axisymmetric forces due to radiation
pressure; the resulting torque acts to modify the warp. Initially planar
accretion disks are unstable to warping driven by radiation torque, as shown in
a local analysis by Pringle (1996) and a global analysis of the stable and
unstable modes by Maloney, Begelman, & Pringle (1996). In general, the warp
also precesses.
  We discuss the nature of this instability, and its possible implications for
accretion disks in X-ray binaries and active galactic nuclei. Specifically, we
argue that this effect provides a plausible explanation for the misalignment
and precession of the accretion disks in X-ray binaries such as SS 433 and Her
X-1; the same mechanism explains why the maser disk in NGC 4258 is warped.
","[{""version"":""v1"",""created"":""Wed, 11 Dec 1996 01:41:07 GMT""}]","2007-05-23"
"astro-ph/9612112",,"J. Stutzki, U.U. Graf, S. Haas, C.E. Honingh, D. Hottgenroth, K.
  Jacobs, R. Schieder, R. Simon, J. Staguhn and G. Winnewisser, R.N. Martin,
  W.L. Peters, and J.P. McMullin","Atomic Carbon in M82: Physical conditions derived from simultaneous
  observations of the [CI] fine structure submillimeter wave transitions","4 pages, 2 figures, ApJL in press, postscript also available at
  ftp://apollo.ph1.uni-koeln.de/pub/stutzki/m82_pap.ps.gz
  e-mail-contact:stutzki@ph1.uni-koeln.de",,"10.1086/310514",,"astro-ph",,"  We report the first extragalactic detection of the neutral carbon [CI]
3P2-3P1 fine structure line at 809 GHz. The line was observed towards M82
simultaneously with the 3P1-3P0 line at 492 GHz, providing a precise
measurement of the J=2-1/J=1-0 integrated line ratio of 0.96 (on a [K km s^-1]
-scale). This ratio constrains the [CI] emitting gas to have a temperature of
at least 50 K and a density of at least 10^4 cm^-3. Already at this minimum
temperature and density, the beam averaged CI-column density is large, 2.1
10^18 cm^-2, confirming the high CI/CO abundance ratio of approximately 0.5
estimated earlier from the 492 GHz line alone. We argue that the [CI] emission
from M82 most likely arises in clouds of linear size around a few pc with a
density of about 10^4 cm^-3 or slightly higher and temperatures of 50 K up to
about 100 K.
","[{""version"":""v1"",""created"":""Wed, 11 Dec 1996 07:22:12 GMT""},{""version"":""v2"",""created"":""Thu, 12 Dec 1996 07:25:32 GMT""}]","2009-10-28"
"astro-ph/9612113","Takashi Nakamura","Takashi Nakamura, Hideya Uehara, and Takeshi Chiba","The Minimum Mass of the First Stars and the Anthropic Principle","3 Pages, to be published in Progress of Theoretical Physics 1997
  January issue","Prog.Theor.Phys. 97 (1997) 169-171","10.1143/PTP.97.169","YITP-96-63, KUNS-1424","astro-ph",,"  The lower limit of the mass of the first stars suggested recently may imply
the formation of massive stars of mass greater than 8 solar mass irrespective
of the details of the initial mass function. The production of heavy metals
from the first stars will ensure a requisite for the existence of life without
the anthropic principle.
","[{""version"":""v1"",""created"":""Wed, 11 Dec 1996 12:08:01 GMT""}]","2009-10-28"
"astro-ph/9612114","Rita Barreiro Vilas","R. B. Barreiro (1 and 2), J. L. Sanz (2), E. Martinez-Gonzalez (2), L.
  Cayon (3) and Joseph Silk (3) ((1) Departamento de Fisica Moderna,
  Universidad de Cantabria, (2) Instituto de Fisica de Cantabria,
  CSIC-Universidad de Cantabria, (3) Astronomy Department and Center for
  Particle Astrophysics, University of California, Berkeley)","Peaks in the Cosmic Microwave Background: flat versus open models","13 pages latex file using aasms4.sty + 3 tables + 2 postscript
  figures, to appear in ApJ (March 1997)",,"10.1086/303793",,"astro-ph",,"  We present properties of the peaks (maxima) of the CMB anisotropies expected
in flat and open CDM models. We obtain analytical expressions of several
topological descriptors: mean number of maxima and the probability distribution
of the gaussian curvature and the eccentricity of the peaks. These quantities
are calculated as functions of the radiation power spectrum, assuming a
gaussian distribution of temperature anisotropies. We present results for
angular resolutions ranging from 5' to 20' (antenna FWHM), scales that are
relevant for the MAP and COBRAS/SAMBA space missions and the ground-based
interferometer experiments. Our analysis also includes the effects of noise. We
find that the number of peaks can discriminate between standard CDM models, and
that the gaussian curvature distribution provides a useful test for these
various models, whereas the eccentricity distribution can not distinguish
between them.
","[{""version"":""v1"",""created"":""Wed, 11 Dec 1996 14:56:45 GMT""}]","2009-10-28"
"chao-dyn/9612018","Carl Dettmann","C. P. Dettmann and G. P. Morriss (UNSW, Sydney, Australia)","Hamiltonian reformulation and pairing of Lyapunov exponents for
  Nose-Hoover dynamics","revtex, 4 pages, no figures, to appear in Phys. Rev. E","Phys. Rev. E 55, 3693 (1997)","10.1103/PhysRevE.55.3693",,"chao-dyn nlin.CD",,"  The Nose Hamiltonian is adapted, leading to a derivation of the Nose-Hoover
equations of motion which does not involve time transformations, and in which
the degree of freedom corresponding to the external reservoir is treated on the
same footing as those of the rest of the system. In this form it is possible to
prove the conjugate pairing rule for Lyapunov exponents of this system.
","[{""version"":""v1"",""created"":""Tue, 10 Dec 1996 23:38:26 GMT""}]","2009-10-28"
"cond-mat/9612092","Roman Martonak","R. Martonak(1 and 2), W. Paul(1), K. Binder(1) ((1) Johannes
  Gutenberg-Universitaet, Mainz, Germany, (2) Max-Planck-Institut fuer
  Polymerforschung, Mainz, Germany)","Orthorhombic Phase of Crystalline Polyethylene: A Monte Carlo Study","27 pages, RevTex, 24 figures, submitted to Journal of Chemical
  Physics",,"10.1063/1.473955",,"cond-mat.mtrl-sci",,"  In this paper we present a classical Monte Carlo simulation of the
orthorhombic phase of crystalline polyethylene, using an explicit atom force
field with unconstrained bond lengths and angles and periodic boundary
conditions. We used a recently developed algorithm which apart from standard
Metropolis local moves employs also global moves consisting of displacements of
the center of mass of the whole chains in all three spatial directions as well
as rotations of the chains around an axis parallel to the crystallographic
c-direction. Our simulations are performed in the NpT ensemble, at zero
pressure, and extend over the whole range of temperatures in which the
orthorhombic phase is experimentally known to be stable (10 - 450 K). In order
to investigate the finite-size effects in this extremely anisotropic crystal,
we used different system sizes and different chain lengths, ranging from C_12
to C_96 chains, the total number of atoms in the super-cell being between 432
and 3456. We show here the results for structural parameters, such as the
orthorhombic cell parameters a,b,c, and the setting angle of the chains, as
well as internal parameters of the chains, such as the bond lengths and angles.
Among thermodynamic quantities, we present results for thermal expansion
coefficients, elastic constants and specific heat. We discuss the temperature
dependence of the measured quantities as well as the related finite-size
effects. In case of lattice parameters and thermal expansion coefficients, we
compare our results to those obtained from other theoretical approaches as well
as to some available experimental data. We also suggest some possible ways of
extending this study.
","[{""version"":""v1"",""created"":""Tue, 10 Dec 1996 17:55:17 GMT""}]","2009-10-28"
"cond-mat/9612093","Carsten Wengel","Carsten Wengel (University of California, Santa Cruz) and Uwe Claus
  T\""auber (University of Oxford, U.K.)","Weakly Pinned Bose Glass vs. Mott Insulator Phase in Superconductors","4 pages including 3 eps-figures, Revtex","Phys. Rev. Lett. 78, 4845 (1997)","10.1103/PhysRevLett.78.4845",,"cond-mat.supr-con",,"  We study the properties of the Bose glass phase of localized flux lines in
irradiated superconductors near the matching field $B_{\Phi}$. Repulsive vortex
interactions destroy the Mott insulator phase predicted to occur at $B=B_\Phi$.
For ratios of the penetration depth to average defect distance $\lambda / d
\leq 1$ remnants of the Mott insulator singularities remain visible in the
magnetization, the bulk modulus, and the magnetization relaxation, as B is
varied near $B_{\Phi}$. For $\lambda \geq d$, the ensuing weakly pinned Bose
glass is characterized by a soft Coulomb gap in the distribution of pinning
energies.
","[{""version"":""v1"",""created"":""Tue, 10 Dec 1996 18:28:12 GMT""}]","2016-08-15"
"cond-mat/9612094","Stefano Zapperi","Stefano Zapperi, Purusattam Ray, H. Eugene Stanley and Alessandro
  Vespignani","Scaling for the Coalescence of Microfractures before Breakdown","5 latex pages, 3 postscript figures, submitted to the Mat. Res. Soc.
  Proc. (Fall 1996)",,,,"cond-mat.mtrl-sci cond-mat.stat-mech",,"  We study the behavior of fracture in disordered systems close to the
breakdown point. We simulate numerically both scalar (resistor network) and
vectorial (spring network) models with threshold disorder, driven at constant
current and stress rate respectively. We analyze the scaling of the
susceptibility and the cluster size close to the breakdown. We observe
avalanche behavior and clustering of the cracks. We find that the scaling
exponents are consistent with those found close to a mean-field spinodal and
present analogies between the coalescence of microfractures and the coalescence
of droplets in a metastable magnetic system. Finally, we discuss different
experimental conditions and some possible theoretical interpretations of the
results.
","[{""version"":""v1"",""created"":""Tue, 10 Dec 1996 19:36:34 GMT""}]","2008-02-03"
"cond-mat/9612095","Stefano Zapperi","Stefano Zapperi, Purusattam Ray, H. Eugene Stanley and Alessandro
  Vespignani","First-Order Transition in the Breakdown of Disordered Media","4 RevTeX pages, 3 postscript figures",,"10.1103/PhysRevLett.78.1408",,"cond-mat.stat-mech cond-mat.mtrl-sci",,"  We study the approach to global breakdown in disordered media driven by
increasing external forces. We first analyze the problem by mean-field theory,
showing that the failure process can be described as a first-order phase
transition, similarly to the case of thermally activated fracture in
homogeneous media. Then we quantitatively confirm the predictions of the
mean-field theory using numerical simulations of discrete models. Widely
distributed avalanches and the corresponding mean-field scaling are explained
by the long-range nature of elastic interactions. We discuss the analogy of our
results to driven disordered first-order transitions and spinodal nucleation in
magnetic systems.
","[{""version"":""v1"",""created"":""Tue, 10 Dec 1996 19:46:28 GMT""}]","2009-10-28"
"cond-mat/9612096","Stefano Zapperi","Stefano Zapperi, Alessandro Vespignani and H. Eugene Stanley","Modeling Acoustic Emission in Microfracturing Phenomena","5 pages, 1 figure","Mat. Res. Soc. Proc. Vol.409, pag. 355 (1996)",,,"cond-mat.mtrl-sci cond-mat.stat-mech",,"  It has been recently observed that synthetic materials subjected to an
external elastic stress give rise to scaling phenomena in the acoustic emission
signal. Motivated by this experimental finding we develop a mesoscopic model in
order to clarify the nature of this phenomenon. We model the synthetic material
by an array of resistors with random failure thresholds. The failure of a
resistor produces an decrease in the conductivity and a redistribution of the
disorder. By increasing the applied voltage the system organizes itself in a
stationary state. The acoustic emission signal is associated with the failure
events. We find scaling behavior in the amplitude of these events and in the
times between different events. The model allows us to study the geometrical
and topological properties of the micro-fracturing process that drives the
system to the self-organized stationary state.
","[{""version"":""v1"",""created"":""Tue, 10 Dec 1996 20:01:30 GMT""}]","2008-02-03"
