"adap-org/9606002","Kunihiko Kaneko","Kunihiko Kaneko (Univ. of Tokyo,Komaba) and Tetsuya Yomo(Osaka Univ.)","Isologous Diversification: A Theory of Cell Differentiation","LatexText,figures are not included.Bull.Math.Biol., in press",,,,"adap-org nlin.AO q-bio",,"  Isologous diversification theory for cell differentiation is proposed, based
on simulations of interacting cells with biochemical networks and cell division
process following consumption of some chemicals. According to the simulations
of the interaction-based dynamical systems model, the following scenario of the
cell differentiation is proposed. (1) Up to some threshold number, divisions
bring about almost identical cells with synchronized biochemical oscillations.
(2)As the number is increased the oscillations lose the synchrony, leading to
groups of cells with different phases of oscillations. (3)Amplitudes of
oscillation and averaged chemical compositions start to differ by groups of
cells. The differentiated behavior of states is transmitted to daughter cells.
(4)Recursivity is formed so that the daughter cells keep the identical chemical
character. This ``memory"" is made possible through the transfer of initial
conditions. (5) Successive differentiation proceeds. Mechanism of tumor cell
formation, origin of stem cells, anomalous differentiation by transplantations,
apoptosis and other features of cell differentiation process are also
discussed, with some novel predictions. (Keywords: differentiation, chemical
network, cell division, clustering, open chaos)
","[{""version"":""v1"",""created"":""Thu, 20 Jun 1996 11:52:34 GMT""}]","2008-02-03"
"astro-ph/9606126",,"D.Fargion, R.V.Konoplich, A.Salis","Inverse Compton Scattering on laser beam and monochromatic isotropic
  radiation","18 pages, uuencoded gziped tar file including LaTex file (elsart12.
  sty) + postscript figures.","Z.Phys. C74 (1997) 571-576",,"Preprint INFN n.1115","astro-ph",,"  Most of the known literature on Inverse Compton Scattering (ICS) is based on
earliest theoretical attempts and later approximations led by F.C.Jones and
J.B.Blumenthal. We found an independent and more general analytical procedure
which provide both relativistic and ultrarelativistic limits for ICS. These new
analytical expressions can be derived in a straightforward way and they contain
the previously reminded Jones' results. Our detailed solutions may be probed by
already existing as well future ICS experiments.
","[{""version"":""v1"",""created"":""Thu, 20 Jun 1996 15:59:01 GMT""}]","2007-05-23"
"astro-ph/9606127",,"J. Greiner","Catalog of Luminous Supersoft X-ray Sources","39 pages postscript, Proc. of Workshop on Supersoft X-Ray Sources, to
  appear in Lecture Notes in Physics vol. 472 (1996)",,"10.1007/BFb0102274",,"astro-ph",,"  This catalog comprises an up-to-date list of luminous (>10^36 erg/s)
supersoft X-ray sources. We include in this catalog accreting binary sources of
high luminosity which are thought to be in a state of (steady or recurrent)
hydrogen burning. Since CAL 83, the prototype, is known to have an ionisation
nebula, and further supersoft binaries are expected to also have one, we
include also sources associated with very luminous planetary nebulae. Not
included are PG 1159 stars which reach similar magnitudes but form a rather
distinct class. Excluded are also supersoft active galactic nuclei which reach
luminosities up to 10^45 erg/s.
","[{""version"":""v1"",""created"":""Thu, 20 Jun 1996 15:36:20 GMT""}]","2015-06-24"
"astro-ph/9606128",,"J. Greiner","A Systematic Search for Supersoft X-Ray Sources in the ROSAT All-Sky
  Survey","4 pages postscript, Proc. of Workshop on Supersoft X-Ray Sources, to
  appear in Lecture Notes in Physics vol. 472 (1996)",,"10.1007/BFb0102272",,"astro-ph",,"  We have conducted a systematic search for supersoft X-ray sources using the
ROSAT all-sky survey data. With the optical identification of the selected
sources being almost complete, we discuss the statistics of the various source
classes and their observability. Besides supersoft close binary sources this
search also can be used to estimate the number of isolated neutron stars in the
Galaxy, such as those described by Stocke et al. 1995 and Walter et al. 1996.
","[{""version"":""v1"",""created"":""Thu, 20 Jun 1996 15:48:18 GMT""}]","2015-06-24"
"astro-ph/9606129",,"J. Greiner, R. Supper, E.A. Magnier","Supersoft X-Ray Sources in M31","8 pages postscript incl. figures, Proc. of Workshop on Supersoft
  X-Ray Sources, to appear in Lecture Notes in Physics vol. 472 (1996)",,"10.1007/BFb0102248",,"astro-ph",,"  The nearby Andromeda galaxy (M31) has been observed with the ROSAT PSPC in a
mosaic of 6 pointings with 25 ksec each. In the paper describing the results on
the total sample of detected sources, Supper et al. (1996) also report the
positions for 15 supersoft X-ray sources and the blackbody fit results for the
brightest of these sources. We report here in more detail on the X-ray spectral
characteristics of all these 15 supersoft X-ray sources. Optical multi-colour
photometric data obtained in 1990 at the Michigan- Dartmouth-MIT Observatory at
Kitt Peak were used originally in the selection process of the supersoft
sources, and are the basis for the finding charts given here for most selected
X-ray sources.
","[{""version"":""v1"",""created"":""Thu, 20 Jun 1996 15:47:59 GMT""}]","2015-06-24"
"astro-ph/9606130",,"J. Greiner, K. Bickert, R. Luthardt, R. Viotti, A. Altamore, R.
  Gonzalez-Riestra","UV and X-Ray Monitoring of AG Draconis During the 1994/1995 Outbursts","12 pages postscript incl. figures, Proc. of Workshop on Supersoft
  X-Ray Sources, to appear in Lecture Notes in Physics vol. 472 (1996)",,"10.1007/BFb0102270",,"astro-ph",,"  The recent 1994-1995 active phase of AG Draconis has given us for the first
time the opportunity to follow the full X-ray behaviour of a symbiotic star
during two successive outbursts and to compare with its quiescence X-ray
emission. With \ros observations we have discovered a remarkable decrease of
the X-ray flux during both optical maxima, followed by a gradual recovering to
the pre-outburst flux. In the UV the events were characterized by a large
increase of the emission line and continuum fluxes, comparable to the behaviour
of AG Dra during the 1980-81 active phase. The anticorrelation of X-ray/UV flux
and optical brightness evolution is shown to very likely be due to a
temperature decrease of the hot component. Such a temperature decrease could be
produced by an increased mass transfer to the burning compact object, causing
it to slowly expand to about twice its original size.
","[{""version"":""v1"",""created"":""Thu, 20 Jun 1996 15:49:26 GMT""}]","2015-06-24"
"astro-ph/9606132","Marc Kamionkowski","Evalyn Gates, Marc Kamionkowski, and Michael S. Turner","Comment on ``The Dispersion Velocity of Galactic Dark Matter Particles''","4 pages, RevTeX, submitted to Physical Review Letters","Phys.Rev.Lett. 78 (1997) 2261","10.1103/PhysRevLett.78.2261","CU-TP-754, CAL-607, FERMILAB--Pub--96/123-A","astro-ph hep-ph",,"  In a recent Letter (astro-ph/9605001), Cowsik et al. claim that a
self-consistent treatment of the dark Galactic halo requires that the local
velocity dispersion of dark-matter particles be $600$ km~s$^{-1}$ or greater,
more than a factor of two larger than the canonical value of 270 km~s$^{-1}$.
If true, this would significantly affect rates and signatures for detection of
baryonic and nonbaryonic dark matter. We believe that this work is incorrect,
probably because not all the observational constraints were taken into account
and because the models were forced to satisfy arbitrary constraints on the halo
density.
","[{""version"":""v1"",""created"":""Thu, 20 Jun 1996 12:36:03 GMT""}]","2016-08-30"
"atom-ph/9606007","Joseph J. Hope","J.J. Hope, C.M. Savage","Stimulation of Beta Decay due to a Bose-Einstein Condensate","7 pages, LaTeX, uses elsart.cls, home page at
  http://online.anu.edu.au/Physics/Welcome.html",,"10.1016/0375-9601(96)00642-1",,"atom-ph physics.atom-ph",,"  Nuclear processes can be stimulated by the presence of a macroscopic number
of bosons in one of the final states. We describe the conditions necessary to
observe the atom-stimulation of a beta decay process. The stimulation may be
observable if it becomes possible to produce a Bose-Einstein condensate with
the order of $10^{14}$ atoms in a trap.
","[{""version"":""v1"",""created"":""Thu, 20 Jun 1996 06:46:44 GMT""}]","2009-10-28"
"cmp-lg/9606025","Cecile Paris","Anthony Hartley (Language Center, University of Brighton) and Cecile
  Paris (Information Technology Research Institute (ITRI), University of
  Brighton)","Two Sources of Control over the Generation of Software Instructions","8 pages, Latex file -- uses aclap.sty",,,"ITRI96-02","cmp-lg cs.CL",,"  This paper presents an analysis conducted on a corpus of software
instructions in French in order to establish whether task structure elements
(the procedural representation of the users' tasks) are alone sufficient to
control the grammatical resources of a text generator. We show that the
construct of genre provides a useful additional source of control enabling us
to resolve undetermined cases.
","[{""version"":""v1"",""created"":""Wed, 19 Jun 1996 17:39:52 GMT""}]","2008-02-03"
"cmp-lg/9606026","Richard Sproat","Mehryar Mohri (AT&T Research), Richard Sproat (Bell Laboratories)","An Efficient Compiler for Weighted Rewrite Rules",,"34th Annual Meeting of the ACL",,,"cmp-lg cs.CL",,"  Context-dependent rewrite rules are used in many areas of natural language
and speech processing. Work in computational phonology has demonstrated that,
given certain conditions, such rewrite rules can be represented as finite-state
transducers (FSTs). We describe a new algorithm for compiling rewrite rules
into FSTs. We show the algorithm to be simpler and more efficient than existing
algorithms. Further, many of our applications demand the ability to compile
weighted rules into weighted FSTs, transducers generalized by providing
transitions with weights. We have extended the algorithm to allow for this.
","[{""version"":""v1"",""created"":""Thu, 20 Jun 1996 01:35:56 GMT""}]","2008-02-03"
"cond-mat/9606144",,"Stephan Haas (ETH Zurich), Elbio Dagotto (NHMFL-FSU)","Photoemission Spectra in t-J Ladders with Two Legs","9 pages, RevTex, to be published in Phys. Rev. B (RC)",,"10.1103/PhysRevB.54.R3718",,"cond-mat",,"  Photoemission spectra for the isotropic two-leg t-J ladder are calculated at
various hole-doping levels using exact diagonalization techniques. Low-energy
sharp features caused by short-range antiferromagnetic correlations are
observed at finite doping levels close to half-filling, above the naive Fermi
momentum. These features should be observable in angle-resolved photoemission
experiments. In addition, the formation of a d-wave pairing condensate as the
ratio J/t is increased leads to dynamically generated spectral weight for
momenta close to $k_F$ where the $d_{x^2-y^2 }$-order parameter is large.
","[{""version"":""v1"",""created"":""Wed, 19 Jun 1996 17:26:23 GMT""}]","2016-08-31"
"cond-mat/9606145","Didier Poilblanc","C.A. Hayward, D. Poilblanc and L.P. L\'evy","The Magnetization of Cu_2(C_5H_{12}N_2)_2Cl_4 : A Heisenberg Spin Ladder
  System","Latex file (4 pages), related figures (encapsulated postscript)
  appended",,"10.1103/PhysRevB.54.R12649",,"cond-mat",,"  We study the magnetization of a Heisenberg spin ladder using exact
diagonalization techniques, finding three distinct magnetic phases. We consider
the results in relation to the experimental behaviour of the new copper
compound Cu_2(C_5H_{12}N_2)_2Cl_4 and deduce that the compound is well
described by such a model with a ratio of `chain' to `rung' bond strengths
(J/J^\prime) of the order of 0.2, consistent with results from the magnetic
susceptibility. The effects of temperature, spin impurities and additional
diagonal bonds are presented and we give evidence that these diagonal bonds are
indeed of a ferromagnetic nature.
","[{""version"":""v1"",""created"":""Wed, 19 Jun 1996 16:33:01 GMT""}]","2009-10-28"
"cond-mat/9606146","Thom Mason","B. Lussier (McGill University), L. Taillefer (McGill University),
  W.J.L. Buyers (Chalk River), T.E. Mason (University of Toronto), and T.
  Petersen (University of Toronto)","Influence of a magnetic field on the antiferromagnetic order in UPt_3","7 pages, RevTeX, 3 postscript figures, submitted to Phys. Rev. B",,"10.1103/PhysRevB.54.R6873",,"cond-mat",,"  A neutron diffraction experiment was performed to investigate the effect of a
magnetic field on the antiferromagnetic order in the heavy fermion
superconductor UPt_3. Our results show that a field in the basal plane of up to
3.2 Tesla, higher than H_c2(0), has no effect: it can neither select a domain
nor rotate the moment. This has a direct impact on current theories for the
superconducting phase diagram based on a coupling to the magnetic order.
","[{""version"":""v1"",""created"":""Wed, 19 Jun 1996 17:27:54 GMT""}]","2009-10-28"
"cond-mat/9606147","Michael Deem","Michael W. Deem (Harvard University)","Disclination Asymmetry in Two-Dimensional Nematic Liquid Crystals with
  Unequal Frank Constants","RevTex format",,"10.1103/PhysRevE.54.6441",,"cond-mat",,"  The behavior of a thin film of nematic liquid crystal with unequal Frank
constants is discussed. Distinct Frank constants are found to imply unequal
core energies for $+1/2$ and $-1/2$ disclinations. Even so, a topological
constraint is shown to ensure that the bulk densities of the two types of
disclinations are the same. For a system with free boundary conditions, such as
a liquid membrane, unequal core energies simply renormalize the Gaussian
rigidity and line tension.
","[{""version"":""v1"",""created"":""Wed, 19 Jun 1996 20:38:59 GMT""}]","2009-10-28"
"cond-mat/9606148","Jun Zang","Jun Zang, H. R\""oder, A.R. Bishop, S.A. Trugman (Los Alamos National
  Laboratory, T11)","Low Temperature Magnetic Properties of the Double Exchange Model","5 pages, RevTeX, 5 Postscript figures included",,"10.1088/0953-8984/9/11/001","LA-UR-96-1574","cond-mat",,"  We study the {\it ferromagnetic} (FM) Kondo lattice model in the strong
coupling limit (double exchange (DE) model). The DE mechanism proposed by Zener
to explain ferromagnetism has unexpected properties when there is more than one
itinerant electron. We find that, in general, the many-body ground state of the
DE model is {\it not} globally FM ordered (except for special filled-shell
cases). Also, the low energy excitations of this model are distinct from spin
wave excitations in usual Heisenberg ferromagnets, which will result in unusual
dynamic magnetic properties.
","[{""version"":""v1"",""created"":""Thu, 20 Jun 1996 03:35:40 GMT""}]","2009-10-28"
"cond-mat/9606149",,"M. Marsili and Y.-C. Zhang (Univ. Fribourg CH)","Probabilistic Fragmentation and Effective Power Law","4 pages Revtex, 2 figures, zipped and uuencoded","Phys. Rev. Lett. Vol. 77, 3577 (1996)","10.1103/PhysRevLett.77.3577",,"cond-mat",,"  A simple fragmentation model is introduced and analysed. We show that, under
very general conditions, an effective power law for the mass distribution
arises with realistic exponent. This exponent has a universal limit, but in
practice the effective exponent depends on the detailed breaking mechanism and
the initial conditions. This dependence is in good agreement with experimental
results of fragmentation.
","[{""version"":""v1"",""created"":""Thu, 20 Jun 1996 13:59:25 GMT""}]","2009-10-28"
"cond-mat/9606153",,"R. Hallgass, V. Loreto, O. Mazzella, G. Paladin and L. Pietronero","Earthquake statistics and fractal faults","40 pages (Tex file plus 8 postscript figures), LaTeX, submitted to
  Phys. Rev. E",,"10.1103/PhysRevE.56.1346",,"cond-mat",,"  We introduce a Self-affine Asperity Model (SAM) for the seismicity that
mimics the fault friction by means of two fractional Brownian profiles (fBm)
that slide one over the other. An earthquake occurs when there is an overlap of
the two profiles representing the two fault faces and its energy is assumed
proportional to the overlap surface. The SAM exhibits the Gutenberg-Richter law
with an exponent $\beta$ related to the roughness index of the profiles. Apart
from being analytically treatable, the model exhibits a non-trivial clustering
in the spatio-temporal distribution of epicenters that strongly resembles the
experimentally observed one. A generalized and more realistic version of the
model exhibits the Omori scaling for the distribution of the aftershocks. The
SAM lies in a different perspective with respect to usual models for
seismicity. In this case, in fact, the critical behaviour is not Self-Organized
but stems from the fractal geometry of the faults, which, on its turn, is
supposed to arise as a consequence of geological processes on very long time
scales with respect to the seismic dynamics. The explicit introduction of the
fault geometry, as an active element of this complex phenomenology, represents
the real novelty of our approach.
","[{""version"":""v1"",""created"":""Thu, 20 Jun 1996 14:38:03 GMT""},{""version"":""v2"",""created"":""Thu, 27 Jun 1996 10:23:54 GMT""}]","2009-10-28"
"dg-ga/9606007","Yael Karshon","Yael Karshon","Example of a non-log-concave Duistermaat-Heckman measure","LaTeX2e, 3 pages",,,,"dg-ga math.DG",,"  We construct a compact symplectic manifold with a Hamiltonian circle action
for which the Duistermaat-Heckman function is not log-concave.
","[{""version"":""v1"",""created"":""Thu, 20 Jun 1996 05:43:41 GMT""}]","2008-02-03"
"dg-ga/9606008","Braverman Maxim","Maxim Braverman and Michael Farber","Novikov inequalities with symmetry","AMS-TeX, 7 pages To appear in C.R. Acad. Sci. Paris",,,,"dg-ga math.DG",,"  We establish an equivariant generalization of the Novikov inequalities which
allow to estimate the topology of the set of critical points of a closed basic
invariant 1-form by means of twisted equivariant cohomology of the manifold. We
test and apply our inequalities in the case of a finite group.
  As an application we obtain Novikov type inequalities for a manifold with
boundary.
","[{""version"":""v1"",""created"":""Thu, 20 Jun 1996 09:34:00 GMT""}]","2008-02-03"
