"adap-org/9606003","Tsuyoshi Hondou","Tsuyoshi Hondou","Self-Annealing Dynamics in a Multistable System","6 pages, Figures available upon request","Prog.Theor.Phys. Vol.95, (1996) 817-822","10.1143/PTP.95.817",,"adap-org nlin.AO",,"  A new type of dynamical behavior of a multistable system is reported. We
found that a simple non-equilibrium system can reduce its effective temperature
autonomously at a global minimum if the residual frustration at a global
minimum is small enough, which highlights an unexpected feature of
non-equilibrium multistable systems.
","[{""version"":""v1"",""created"":""Tue, 25 Jun 1996 02:54:54 GMT""}]","2009-10-28"
"cond-mat/9606177","Roderich Moessner","R. Moessner and J. T. Chalker (Theoretical Physics, Oxford University)","Exact results for interacting electrons in high Landau levels","RevTex, 12 pages with figures included in same file; to appear in
  Physical Review B","Phys. Rev. B 54, 5006 (1996)","10.1103/PhysRevB.54.5006",,"cond-mat",,"  We study a two-dimensional electron system in a magnetic field with a fermion
hardcore interaction and without disorder. Projecting the Hamiltonian onto the
n-th Landau level, we show that the Hartree-Fock theory is exact in the limit n
\rightarrow \infty, for the high temperature, uniform density phase of an
infinite system; for a finite-size system, it is exact at all temperatures. In
addition, we show that a charge-density wave arises below a transition
temperature T_t. Using Landau theory, we construct a phase diagram which
contains both unidirectional and triangular charge-density wave phases. We
discuss the unidirectional charge-density wave at zero temperature and argue
that quantum fluctuations are unimportant in the large-n limit. Finally, we
discuss the accuracy of the Hartree-Fock approximation for potentials with a
nonzero range such as the Coulomb interaction.
","[{""version"":""v1"",""created"":""Mon, 24 Jun 1996 17:51:52 GMT""}]","2009-10-28"
"cond-mat/9606178","Valeriy Ginzburg","Sergei F. Burlatsky (University of Washington), Valeriy V. Ginzburg,
  Noel A. Clark (University of Colorado)","Scaling Model of Annihilation-Diffusion Kinetics for Charged Particles
  with Long-Range Interactions","RevTEX, 7 pages, no figures, accepted to Physical Review E","Phys. Rev. E 54, R1056 (1996)","10.1103/PhysRevE.54.R1056",,"cond-mat",,"  We propose the general scaling model for the diffusio n-annihilation reaction
$A_{+} + A_{-} \longrightarrow \emptyset$ with long-range power-law i
nteractions. The presented scaling arguments lead to the finding of three
different regimes, dep ending on the space dimensionality d and the long-range
force power e xponent n. The obtained kinetic phase diagram agrees well with
existing simulation data and approximate theoretical results.
","[{""version"":""v1"",""created"":""Mon, 24 Jun 1996 18:27:08 GMT""}]","2009-10-28"
"cond-mat/9606179","Safi Bahcall","Safi R. Bahcall","Non-perturbative Effects Near the Upper Critical Field in Type-II
  Superconductors","4 pages, revtex, 3 postscript files",,"10.1016/0038-1098(96)00458-9",,"cond-mat",,"  The properties of a conventional type-II superconductor near the upper
critical field are usually calculated using a perturbative expansion in the
strength of the order parameter. Here we show that perturbation theory breaks
down near the upper critical field and that this breakdown leads to unusual
behavior near the phase transition.
","[{""version"":""v1"",""created"":""Mon, 24 Jun 1996 21:02:36 GMT""}]","2009-10-28"
"cond-mat/9606180","Eugene Shakhnovich","A. M. Gutin, V. I. Abkevich, and E. I. Shakhnovich (Harvard
  University, Department of Chemistry, Cambridge MA)","Chain length scaling of protein folding time",,,"10.1103/PhysRevLett.77.5433",,"cond-mat q-bio",,"  Folding of protein-like heteropolymers into unique 3D structures is
investigated using Monte Carlo simulations on a cubic lattice. We found that
folding time of chains of length $N$ scales as $N^\lambda$ at temperature of
fastest folding. For chains with random sequences of monomers $\lambda \approx
6$, and for chains with sequences designed to provide a pronounced minimum of
energy to their ground state conformation $\lambda \approx 4$. Folding at low
temperatures exhibits an Arrhenius-like behavior with the energy barrier $E_b
\approx \phi |E_n|$, where $E_n$ is the energy of the native conformation.
$\phi \approx 0.18$ both for random and designed sequences.
","[{""version"":""v1"",""created"":""Mon, 24 Jun 1996 23:53:25 GMT""}]","2009-10-28"
"cond-mat/9606181","Igor Smolyarenko","Igor E. Smolyarenko (1 and 2) and Boris L. Altshuler (2) ((1) Harvard
  University, (2) NEC Research Institute)","Statistics of Rare Events in Disordered Conductors","17 pages, REVTeX 3.0 and 1 Postscript figure",,"10.1103/PhysRevB.55.10451",,"cond-mat",,"  Asymptotic behavior of distribution functions of local quantities in
disordered conductors is studied in the weak disorder limit by means of an
optimal fluctuation method. It is argued that this method is more appropriate
for the study of seldom occurring events than the approaches based on nonlinear
$\sigma$-models because it is capable of correctly handling fluctuations of the
random potential with large amplitude as well as the short-scale structure of
the corresponding solutions of the Schr\""{o}dinger equation. For two- and
three-dimensional conductors new asymptotics of the distribution functions are
obtained which in some cases differ significantly from previously established
results.
","[{""version"":""v1"",""created"":""Tue, 25 Jun 1996 03:20:57 GMT""}]","2009-10-28"
"cond-mat/9606182","Tsutomu Momoi","Yoji Ohashi and Tsutomu Momoi","On the Bloch Theorem Concerning Spontaneous Electric Current","12 pages, LaTeX, 3 Postscript figures","J. Phys. Soc. Jpn. 65, 3254 (1996)","10.1143/JPSJ.65.3254",,"cond-mat",,"  We study the Bloch theorem which states absence of the spontaneous current in
interacting electron systems. This theorem is shown to be still applicable to
the system with the magnetic field induced by the electric current. Application
to the spontaneous surface current is also examined in detail. Our result
excludes the possibility of the recently proposed $d$-wave superconductivity
having the surface flow and finite total current.
","[{""version"":""v1"",""created"":""Tue, 25 Jun 1996 05:06:02 GMT""}]","2009-10-28"
"cond-mat/9606183","Beat Frischmuth","Beat Frischmuth, Stephan Haas, German Sierra, and T.M. Rice","Low-Energy Properties of Antiferromagnetic Spin-1/2 Heisenberg Ladders
  with an Odd Number of Legs","4 pages and 5 figures",,"10.1103/PhysRevB.55.R3340",,"cond-mat",,"  An effective low-energy description for multi-leg spin-1/2 Heisenberg ladders
with an odd number of legs is proposed. Using a newly developed Monte Carlo
loop algorithm and exact diagonalization techniques, the uniform and staggered
magnetic susceptibility and the entropy are calculated for ladders with 1, 3,
and 5 legs. These systems show a low-temperature scaling behavior similar to
spin-1/2 chains with longer ranged unfrustrated exchange interactions. The
spinon velocity does not change as the number of legs increases, but the energy
scale parameter decreases markedly.
","[{""version"":""v1"",""created"":""Tue, 25 Jun 1996 07:36:10 GMT""}]","2009-10-28"
"cond-mat/9606184","Ilpo Vattulainen","I. Vattulainen, J. Merikoski, T. Ala-Nissila, and S.C. Ying","Non-equilibrium surface diffusion in the O/W(110) system","14 pages LaTeX and five PostScript figures; tarred, gzip'ed, and
  uuencoded. Uses elsart.sty and elsart12.sty which are included in the
  package. To appear in Surface Science Letters",,"10.1016/0039-6028(96)00931-4","HU-TFT-96-15","cond-mat",,"  In this Letter, we present results of an extensive Monte Carlo study of the
O/W(110) system under non-equilibrium conditions. We study the mean square
displacements and long wavelength density fluctuations of adatoms. From these
quantities, we define effective and time-dependent values for the collective
and tracer diffusion mobilities. These mobilities reduce to the usual diffusion
constants when equilibrium is reached. We discuss our results in view of
existing experimental measurements of effective diffusion barriers, and the
difficulties associated with interpreting non-equilibrium data.
","[{""version"":""v1"",""created"":""Tue, 25 Jun 1996 07:57:25 GMT""}]","2009-10-28"
"cond-mat/9606185","Prof. W. Weller","W. Weller, F. Stefani, M. Souleiman","A new field-theoretical formulation for the motion of an electron in a
  quenched disorder potential","5 pages, Latex 2.09 with Pictex",,,,"cond-mat",,"  Following a proposal by Aronov and Ioselevich, we express the Green functions
(GF) of a noninteracting disordered Fermi system as a functional integral on a
real time/frequency lattice. The normalizing denominator of this functional
integral is equal to unity, because of identities satisfied by the GF. The GF
can then be simply averaged with respect to the random disorder potential. We
describe the fermionic fields not belonging to the external frequency by means
of a bosonic auxiliary field g. The Hubbard-Stratonovich field Q is introduced
only with respect to the fermionic fields for the external frequency.
","[{""version"":""v1"",""created"":""Tue, 25 Jun 1996 11:18:33 GMT""}]","2007-05-23"
"cond-mat/9606186","David A. Head","D.A.Head and G.J.Rodgers","Crossover to Self-Organized Criticality in an Inertial Sandpile Model","8 pages, REVTeX, 7 .eps figures included, uses psfig.sty (included).
  Submitted to Phys.Rev.E","Phys.Rev.E 55, 2573(1997).","10.1103/PhysRevE.55.2573",,"cond-mat adap-org nlin.AO",,"  We introduce a one-dimensional sandpile model which incorporates particle
inertia. The inertial dynamics are governed by a new parameter which, as it
passes through a threshold value, alters the toppling dynamics in such a way
that the system no longer evolves to a self-organized critical state. A range
of mean-field theories based on a kinetic equation approach is presented which
confirm the numerical findings. We conclude by considering the physical
applications of this model, particularly with reference to recent experimental
results.
","[{""version"":""v1"",""created"":""Tue, 25 Jun 1996 12:53:09 GMT""}]","2009-10-28"
"cond-mat/9606187","Vidar Gudmundsson","Vidar Gudmundsson, Arne Brataas, Christoph Steinebach, A. G.
  Mal'shukov, K. A. Chao, and Detlef Heitmann","The effects of compressible and incompressible states on the
  FIR-absorption of quantum wires and dots in a magnetic field","To be published by Physica Scripta in the proceedings of the 17NSM. 6
  pages in LaTeX + 6 postscript figures","Physica Scripta T69, 150 (1997)","10.1088/0031-8949/1997/T69/027",,"cond-mat",,"  We investigate the effects of compressible and incompressible states on the
FIR-absorption of quantum wires and dots in a homogeneous perpendicular
magnetic field. The electron-electron interaction is treated in the Hartree
approximation at a finite low temperature. The calculated dispersion of the
collective excitations reproduces several experimental results.
","[{""version"":""v1"",""created"":""Tue, 25 Jun 1996 13:47:48 GMT""}]","2015-06-25"
"gr-qc/9606069","Friedrich Schein","F. Schein and P.C. Aichelburg (Institute for Theoretical Physics,
  University of Vienna)","Traversable Wormholes in Geometries of Charged Shells","9 pages, LaTeX, 1 figure","Phys.Rev.Lett. 77 (1996) 4130-4133","10.1103/PhysRevLett.77.4130","UWThPh-1996-41","gr-qc",,"  We construct a static axisymmetric wormhole from the gravitational field of
two charged shells which are kept in equilibrium by their electromagnetic
repulsion. For large separations the exterior tends to the Majumdar-Papapetrou
spacetime of two charged particles. The interior of the wormhole is a
Reissner-Nordstr\""om black hole matching to the two shells. The wormhole is
traversable and connects to the same asymptotics without violation of energy
conditions. However, every point in the Majumdar-Papapetrou region lies on a
closed timelike curve.
","[{""version"":""v1"",""created"":""Mon, 24 Jun 1996 16:46:03 GMT""}]","2009-10-28"
"gr-qc/9606070","Haret Rosu","H. Rosu","Superoscillations and trans-Planckian frequencies","twocolumn style","Nuovo Cim. B112 (1997) 131-132",,,"gr-qc hep-th quant-ph",,"  Superoscillations can explain the arbitrarily high frequencies' paradox in
black hole radiation
","[{""version"":""v1"",""created"":""Mon, 24 Jun 1996 18:41:00 GMT""},{""version"":""v2"",""created"":""Sat, 12 Apr 1997 18:27:43 GMT""}]","2008-02-03"
"hep-ex/9606014","Irgmard Harm","ZEUS Collaboration","Study of Charged-Current ep Interactions at Q2 > 200 GeV2 with the ZEUS
  Detector at HERA","40 pages including 9 figures","Z.Phys.C72:47-64,1996","10.1007/s002880050222","DESY-96-104","hep-ex",,"  Deep inelastic charged--current reactions have been studied in $e^+p$ and
$e^-p$ collisions at a center of mass energy of about $300\,\gev$ in the
kinematic region $Q^2\greater200\,\gev^2$ and $x\greater0.006$ using the ZEUS
detector at HERA. The integrated cross sections for $Q^2\greater200\,\gev^2$
are found to be $\sigep=30.3\,{}^{+5.5}_{\mns4.2}\,{}^{+1.6}_{\mns2.6}\,{\rm
pb}$ and $\sigem=54.7\,{}^{+15.9}_{\mns\chax 9.8}\,{}^{+2.8}_{\mns3.4}\,{\rm
pb}$. Differential cross sections have been measured as functions of the
variables $x$, $y$ and $Q^2$. From the measured differential cross sections
$d\sigma/dQ^2$, the $W$ boson mass is determined to be $M_W=79\,{}^{+8}
_{-7}{}^{+4}_{-4}\,\gev$. Measured jet rates and transverse energy profiles
agree with model predictions. A search for charged--current interactions with a
large rapidity gap yielded one candidate event, corresponding to a cross
section of $\sigep(Q^2\greater200\,\gev^2;\eta_{\rm max}<2.5)=0.8\,{}_{-0.7}^
{+1.8}\,\pm0.1\,{\rm pb}$.
","[{""version"":""v1"",""created"":""Tue, 25 Jun 1996 07:25:08 GMT""}]","2012-08-27"
"hep-ph/9606419",,"Stephen Parke and Yael Shadmi (Fermilab)","Spin Correlations in Top-Quark Pair Production at $e^+e^-$ Colliders","17 pages, Revtex, 7 figures. Minor changes so as to make all archival
  versions consistent","Phys.Lett.B387:199-206,1996","10.1016/0370-2693(96)00998-7","Fermilab-Pub-96/042-T","hep-ph hep-ex",,"  We show that top-quark pairs are produced in an essentially unique spin
configuration in polarized $e^+e^-$ colliders at all energies above the
threshold region. Since the directions of the electroweak decay products of
polarized top-quarks are strongly correlated to the top-quark spin axis, this
unique spin configuration leads to a distinctive topology for top-quark pair
events which can be used to constrain anomalous couplings to the top-quark. A
significant interference effect between the {\it longitudinal} and {\it
transverse} W-bosons in the decay of polarized top-quarks is also discussed.
These results are obtained at leading order in perturbation theory but
radiative corrections are expected to be small.
","[{""version"":""v1"",""created"":""Mon, 24 Jun 1996 21:12:42 GMT""},{""version"":""v2"",""created"":""Fri, 30 Aug 1996 16:41:55 GMT""}]","2011-05-05"
"hep-ph/9606420",,"Darwin Chang (NTHU, ROC)","How to Observe the Interference Effects of Top quark polarizations at
  Tevatron","6 pages, RevTex type, contribute to Lake Louise Winter Institute",,,,"hep-ph",,"  Using a simple analytic expression for $q \bar{q}, g g \rightarrow t \bar{t}
\rightarrow b W^+ \bar{b} W^- \rightarrow b \bar{l} \nu_l \bar{b} l'
\bar{\nu_{l'}}$ with the interference effects due to the polarizations of the
$t$ and $\bar{t}$, we demonstrate how the effects can be measured at Tevatron
at $3\sigma$ level.
","[{""version"":""v1"",""created"":""Mon, 24 Jun 1996 21:56:11 GMT""}]","2007-05-23"
"hep-ph/9606421",,"Edmond L. Berger and Harry Contopanagos (Argonne National Laboratory)","Calculation of the Cross Section for Top Quark Production","13 pages, LaTeX, including 6 ps files of figures. Invited paper
  presented by E. L. Berger at the XIth Topical Workshop on Hadron Collider
  Physics, Abano Terme, Padova, Italy, May, 1996",,,"ANL-HEP-CP-96-51","hep-ph",,"  We summarize calculations of the cross section for top quark production at
hadron colliders within the context of perturbative quantum chromodynamics,
including resummation of the effects of initial-state soft gluon radiation to
all orders in the strong coupling strength. In our approach we resum the
universal leading-logarithm contributions, and we restrict the calculation to
the region of phase space that is demonstrably perturbative. We compare our
approach with other methods. We present predictions of the physical cross
section as a function of the top quark mass in proton-antiproton reactions at
center-of-mass energies of 1.8 and 2.0 TeV, and we discuss estimated
uncertainties.
","[{""version"":""v1"",""created"":""Mon, 24 Jun 1996 23:21:21 GMT""}]","2007-05-23"
"hep-ph/9606422","Zhi-zhong Xing","Zhi-zhong Xing","D^0-\bar{D}^0 Mixing and CP Violation in Neutral D-meson Decays","Latex 42 pages (including 6 PS figures). Minor changes: a) the more
  popular notation for D^0-\bar{D}^0 mixing is adopted; b) the possibility to
  test CPT symmetry in D^0-\bar{D}^0 system is not overrated. The present
  version is going to appear in Phys. Rev. D 1 (January 1997)","Phys.Rev. D55 (1997) 196-218","10.1103/PhysRevD.55.196","DPNU-96-36","hep-ph hep-ex",,"  D^0-\bar{D}^0 mixing at the detectable level or significant CP violation in
the charm system may strongly signify the existence of new physics. In view of
the large discovery potential associated with the fixed target experiments, the
B-meson factories and the \tau-charm factories, we make a further study of the
phenomenology of D^0-\bar{D}^0 mixing and CP violation in neutral $D$-meson
decays. The generic formulas for the time-dependent and time-integrated decay
rates of both coherent and incoherent D^0\bar{D}^0 events are derived, and
their approximate expressions up to the second order of the mixing parameters
x_D and y_D are presented. Explicitly we discuss D^0-\bar{D}^0 mixing and
various CP-violating signals in neutral D decays to the semileptonic final
states, the hadronic CP eigenstates, the hadronic non-CP eigenstates and the
CP-forbidden states. A few non-trivial approaches to the separate determination
of x_D and y_D and to the demonstration of direct and indirect CP asymmetries
in the charm sector are suggested.
","[{""version"":""v1"",""created"":""Tue, 25 Jun 1996 01:56:56 GMT""},{""version"":""v2"",""created"":""Mon, 14 Oct 1996 09:53:09 GMT""}]","2009-10-28"
