"alg-geom/9606008","Michal Kwiecinski","Michal Kwiecinski and Piotr Tworzewski","Finite sets in fibres of holomorphic maps","LaTeX v. 2.09, 16 pages",,,"IMUJ preprint 1996/08, Jagiellonian Univ., Krakow","alg-geom math.AG",,"  We consider the maximal number of arbitrary points in a special fibre that
can be simultaneously approached by points in one sequence of general fibres.
Several results about this topological invariant and their applications
describe the structure of holomorphic maps. In particular, we get a lower bound
on the number of points in the general fibre of a generically finite map.
","[{""version"":""v1"",""created"":""Mon, 10 Jun 1996 12:03:01 GMT""}]","2008-02-03"
"cond-mat/9606053","Andreas Honecker","A. Honecker, I. Peschel (Freie Universitaet Berlin)","Matrix-Product States for a One-Dimensional Lattice Gas with Parallel
  Dynamics","27 pages plain TeX, 5 figures included, PostScript for the complete
  paper at http://www.physik.fu-berlin.de/~ag-peschel/papers/mp.ps.gz, extra
  program at http://www.physik.fu-berlin.de/~ag-peschel/software/mp.html","J.Statist.Phys. 88 (1997) 319-345","10.1007/BF02508474",,"cond-mat hep-th",,"  The hopping motion of classical particles on a chain coupled to reservoirs at
both ends is studied for parallel dynamics with arbitrary probabilities. The
stationary state is obtained in the form of an alternating matrix product. The
properties of one- and two-dimensional representations are studied in detail
and a general relation of the matrix algebra to that of the sequential limit is
found. In this way the general phase diagram of the model is obtained. The
mechanism of the sequential limit, the formulation as a vertex model and other
aspects are discussed.
","[{""version"":""v1"",""created"":""Mon, 10 Jun 1996 08:45:38 GMT""}]","2009-10-28"
"cond-mat/9606054","IV Lerner","J. T. Chalker, Igor V. Lerner, and Robert A. Smith","Random Walks through the Ensemble: Linking Spectral Statistics with
  Wavefunction Correlations in Disordered Metals","4 pages in REVTeX format including 1 postscript figure; to be
  published in Phys. Rev. Letters, 1996","Phys. Rev. Lett. 77 (1996) 554","10.1103/PhysRevLett.77.554",,"cond-mat",,"  We use a random walk in the ensemble of impurity configurations to generate a
Brownian motion model for energy levels in disordered conductors. Treating
arc-length along the random walk as fictitous time, the resulting Langevin
equation relates spectral statistics to eigenfunction correlations. Solving
this equation at energy scales large compared with the mean level spacing, we
obtain the spectral form factor, and its parametric dependence.
","[{""version"":""v1"",""created"":""Mon, 10 Jun 1996 08:43:39 GMT""}]","2009-10-28"
"cond-mat/9606055","Javier Castro Paredes","J. Castro (Universidade de Santiago de Compostela)","The Ngai model of relaxation: An alternative for the study of an
  interacting system of small particles","16 pages + 4 figures (not included) available upon request at
  castro@gaes.usc.es",,,,"cond-mat",,"  It is shown that the Ngai model of relaxation accounts for the main
experimental results of the magnetic relaxation in an assembly of interacting
fine particles.
","[{""version"":""v1"",""created"":""Mon, 10 Jun 1996 09:39:34 GMT""}]","2007-05-23"
"cond-mat/9606056","Paul van Loosdrecht","P.H.M. van Loosdrecht, S. Huant, G. Martinez ( MPI/CNRS High Magnetic
  Field Laboratory, Grenoble) G. Dhalenne, A. Revcolevschi (Lab. Sol. St.
  Chemistry, Univ. Paris-Sud, Orsay)","Dynamics in the dimerised and high field incommensurate phase of
  CuGeO$_3$","12 pages (revtex), 2 figures (eps), csh selfextracting .uu file, To
  appear in PRB-Rapid Comm","Phys. Rev. B 54, R3730 (1996)","10.1103/PhysRevB.54.R3730",,"cond-mat",,"  Temperature ($2.3<T<40$\ K) and magnetic field ($0<B<17$\ T) dependent far
infrared absorption spectroscopy on the spin-Peierls coumpound CuGeO$_3$\ has
revealed several new absorption processes in both the dimerised and high field
phase of CuGeO$_3$. These results are discussed in terms of the modulation of
the CuGeO$_3$\ structure. At low fields this is the well known spin-Peierls
dimerisation. At high fields the data strongly suggests a field dependent
incommensurate modulation of the lattice as well as of the spin structure.
","[{""version"":""v1"",""created"":""Mon, 10 Jun 1996 10:01:05 GMT""}]","2009-10-28"
"cond-mat/9606057","Igloi Ferenc","Ferenc Igloi and Ferenc Szalma (Research Institute for Solid State
  Physics, Budapest, Hungary)","Interface Fluctuations on a Hierarchical Lattice","14 pages plain Tex, one Figure upon request, Phys Rev E (in print)",,"10.1103/PhysRevE.54.1106","SZFKI-FI-96-1","cond-mat",,"  We consider interface fluctuations on a two-dimensional layered lattice where
the couplings follow a hierarchical sequence. This problem is equivalent to the
diffusion process of a quantum particle in the presence of a one-dimensional
hierarchical potential. According to a modified Harris criterion this type of
perturbation is relevant and one expects anomalous fluctuating behavior. By
transfer-matrix techniques and by an exact renormalization group transformation
we have obtained analytical results for the interface fluctuation exponents,
which are discontinuous at the homogeneous lattice limit.
","[{""version"":""v1"",""created"":""Mon, 10 Jun 1996 11:28:44 GMT""}]","2009-10-28"
"cond-mat/9606058","Igloi Ferenc","Ferenc Igloi and Peter Lajko","Surface Magnetisation and Surface Correlations in Aperiodic Ising Models","17 pages plain TeX, 4 Figures upon request, J. Phys. A (in print)",,"10.1088/0305-4470/29/16/007","SZFKI-FI-96-2","cond-mat",,"  We consider the surface critical behaviour of diagonally layered Ising models
on the square lattice where the inter-layer couplings follow some aperiodic
sequence. The surface magnetisation is analytically evaluated from a simple
formula derived by the diagonal transfer matrix method, while the surface
spin-spin correlations are obtained numerically by a recursion method, based on
the star-triangle transformation. The surface critical behaviour of different
aperiodic Ising models are found in accordance with the corresponding
relevance-irrelevance criterion. For marginal sequences the critical exponents
are continuously varying with the strength of aperiodicity and generally the
systems follow anisotropic scaling at the critical point.
","[{""version"":""v1"",""created"":""Mon, 10 Jun 1996 11:30:23 GMT""}]","2009-10-28"
"cond-mat/9606059","Nicola Manini","Erio Tosatti (SISSA-Trieste), Nicola Manini (ESRF-Grenoble), and Olle
  Gunnarsson (MPI-Stuttgart)","Surprises in the Orbital Magnetic Moment and g-Factor of the Dynamic
  Jahn-Teller Ion C_{60}^-","19 pages RevTex, 2 postscript figures included","Phys. Rev. B 54, 17184 (1996).","10.1103/PhysRevB.54.17184","ESRF-96T05023","cond-mat chem-ph mtrl-th",,"  We calculate the magnetic susceptibility and g-factor of the isolated
C_{60}^- ion at zero temperature, with a proper treatment of the dynamical
Jahn-Teller effect, and of the associated orbital angular momentum, Ham-reduced
gyromagnetic ratio, and molecular spin-orbit coupling. A number of surprises
emerge. First, the predicted molecular spin-orbit splitting is two orders of
magnitude smaller than in the bare carbon atom, due to the large radius of
curvature of the molecule. Second, this reduced spin-orbit splitting is
comparable to Zeeman energies, for instance, in X-band EPR at 3.39KGauss, and a
field dependence of the g-factor is predicted. Third, the orbital gyromagnetic
factor is strongly reduced by vibron coupling, and so therefore are the
effective weak-field g-factors of all low-lying states. In particular, the
ground-state doublet of C_{60}^- is predicted to show a negative g-factor of
\sim -0.1.
","[{""version"":""v1"",""created"":""Mon, 10 Jun 1996 11:03:44 GMT""}]","2009-10-28"
"gr-qc/9606017","L. Sriramkumar","K. Srinivasan, L. Sriramkumar, T. Padmanabhan","`Thermal' ambience and fluctuations in classical field theory","LATEX document, 15 pages",,,"IUCAA-18/96","gr-qc",,"  A plane monochromatic wave will not appear monochromatic to a noninertial
observer. We show that this feature leads to a `thermal' ambience in an
accelerated frame {\it even in classical field theory}. When a real,
monochromatic, mode of a scalar field is Fourier analyzed with respect to the
proper time of a uniformly accelerating observer, the resulting power spectrum
consists of three terms: (i)~a factor $(1/2)$ that is typical of the ground
state energy of a quantum oscillator, (ii)~a Planckian distribution $N(\Omega)$
and---most importantly---(iii)~a term $\sqrt{N(N+1)}$, which is the root mean
square fluctuations about the Planckian distribution. It is the appearance of
the root mean square fluctuations that motivates us to attribute a `thermal'
nature to the power spectrum. This result shows that some of the `purely'
quantum mechanical results might have a classical analogue. The `thermal'
ambience that we report here also proves to be a feature of observers stationed
at a constant radius in the Schwarzschild and de-Sitter spacetimes.
","[{""version"":""v1"",""created"":""Mon, 10 Jun 1996 09:54:46 GMT""}]","2007-05-23"
"gr-qc/9606018","Takahiro Tanaka","Yasushi Mino, Misao Sasaki and Takahiro Tanaka","Gravitational Radiation Reaction to a Particle Motion","25 pages revtex file","Phys.Rev.D55:3457-3476,1997","10.1103/PhysRevD.55.3457","OU-TAP 38","gr-qc",,"  In this paper, we discuss the leading order correction to the equation of
motion of the particle, which presumably describes the effect of gravitational
radiation reaction. We derive the equation of motion in two different ways. The
first one is an extension of the well-known formalism by DeWitt and Brehme
developed for deriving the equation of motion of an electrically charged
particle. In contrast to the electromagnetic case, in which there are two
different charges, i.e., the electric charge and the mass, the gravitational
counterpart has only one charge. This fact prevents us from using the same
renormalization scheme that was used in the electromagnetic case. To make clear
the subtlety in the first approach, we then consider the asymptotic matching of
two different schemes, i.e., the internal scheme in which the small particle is
represented by a spherically symmetric black hole with tidal perturbations and
the external scheme in which the metric is given by small perturbations on the
given background geometry. The equation of motion is obtained from the
consistency condition of the matching. We find that in both ways the same
equation of motion is obtained. The resulting equation of motion is analogous
to that derived in the electromagnetic case. We discuss implications of this
equation of motion.
","[{""version"":""v1"",""created"":""Mon, 10 Jun 1996 13:58:49 GMT""}]","2009-10-09"
"hep-ph/9606281",,"M. Shifman","Little Miracles of Supersymmetric Evolution of Gauge Couplings","Extended version of the talk at the 4th International Workshop on
  Supersymmetry and Unification of Fundamental Interactions -- SUSY-96, May 29
  -- June 1, University of Maryland, College Park, MD 20742, USA; 25 pages, 2
  figures","Int.J.Mod.Phys.A11:5761-5784,1996","10.1142/S0217751X96002650","TPI-MINN-96/07-T, UMN-TH-1428-96","hep-ph hep-th",,"  The invention of supersymmetry, almost exactly 25 years ago, changed the face
of high-energy physics. The idea that the observed low-energy gauge groups
appear due to the process of spontaneous breaking of a single unifying group
$G$ is also quite popular. The synthesis of these two elements results in
supersymmetric grand unification. I present (perturbatively) exact results
regarding the supersymmetric evolution of the gauge couplings from the scale of
their unification to lower scales. In particular, it is shown how the heavy
mass thresholds can be properly taken into account to all orders.
","[{""version"":""v1"",""created"":""Sun, 9 Jun 1996 22:38:49 GMT""}]","2008-11-26"
"hep-ph/9606282","Koichi Funakubo","Koichi Funakubo, Akira Kakuto, Shoichiro Otsuki and Fumihiko Toyoda","Explicit CP Breaking and Electroweak Baryogenesis","epsf.sty is needed","Prog.Theor.Phys. 96 (1996) 771-780","10.1143/PTP.96.771","SAGA-HE-103","hep-ph",,"  We investigate spatial behaviors of the CP-violating angle $\theta$ by
solving the equation of motion of the two-Higgs-doublet model in the presence
of a small explicit CP breaking $\delta$. The moduli of the two Higgs scalars
are fixed to be the kink shape with a common width. In addition to solutions
$\theta \sim O(\delta)$ in all the region, we find several sets of two
solutions of opposite signs, whose magnitudes become as large as $O(1)$ around
the surface of the bubble wall while the CP violation in the broken phase limit
is of $O(\delta)$. Such set of solutions not only yield sufficient amount of
the chiral charge flux, but also avoid the cancellation in the net baryon
number because of a large discrepancy in their energy densities driven
nonperturbatively by the small $\delta$.
","[{""version"":""v1"",""created"":""Mon, 10 Jun 1996 05:17:37 GMT""}]","2009-10-28"
"hep-ph/9606283","Sachin Vaidya","A.P.Balachandran and S.Vaidya","Parity Doubles in Quark Physics","minor changes made; to appear in Phys.Rev.Lett","Phys.Rev.Lett. 78 (1997) 13-16","10.1103/PhysRevLett.78.13","SU-4240-634","hep-ph",,"  There are numerous examples of very nearly degenerate states of opposite
parity in molecular physics. The ammonia maser is based on one such double.
Theory shows that these parity doubles can occur if the nuclear shape in the
molecule is reflection-asymmetric because the time scales of the shape and the
electronic cloud are well-separated. Parity doubles occur in nuclear physics as
well for odd $A \sim 219-229$. We discuss the theoretical foundation of these
doubles and on that basis suggest that parity doubles should occur in particle
physics too. In particular they should occur among baryons composed of $cbu$
and $cbd$ quarks.
","[{""version"":""v1"",""created"":""Mon, 10 Jun 1996 02:13:40 GMT""},{""version"":""v2"",""created"":""Tue, 11 Jun 1996 01:09:40 GMT""},{""version"":""v3"",""created"":""Fri, 29 Nov 1996 21:12:42 GMT""}]","2016-09-06"
"hep-ph/9606284","Benjamin Svetitsky","Benjamin Svetitsky and Asher Uziel (Tel Aviv University)","Passage of charmed particles through the mixed phase in high-energy
  heavy-ion collisions","20 pages, 9 Postscript figures included with epsfig.sty","Phys.Rev. D55 (1997) 2616-2623","10.1103/PhysRevD.55.2616","TAUP-2342-96","hep-ph nucl-th",,"  We employ a modified cascade hydrodynamics code to simulate the phase
transition of an expanding quark-gluon plasma and the passage of a charmed
particle through it. When inside the plasma droplets, the charmed quark
experiences drag and diffusion forces. When outside the plasma, the quark
travels as a $D$ meson and experiences collisions with pions. Additional energy
transfer takes place when the quark enters or leaves a droplet. We find that
the transverse momentum of $D$ mesons provides a rough thermometer of the phase
transition.
","[{""version"":""v1"",""created"":""Mon, 10 Jun 1996 10:36:10 GMT""}]","2009-10-28"
"hep-ph/9606285",,"Johan Bijnens and Elisabetta Pallante","Weak long distance contributions to the neutron and proton electric
  dipole moments","13 pages, LaTex file, uses epsf.sty, 3 figures uuencoded","Phys.Lett. B387 (1996) 207-214","10.1016/0370-2693(96)00982-3","NORDITA-96/29 N,P","hep-ph",,"  We evaluate the long distance weak contribution to the neutron and proton
electric dipole moments using an effective Lagrangian framework. We estimate
the coefficients needed by a factorization hypothesis and additional
assumptions on $\gamma_5$ terms in the baryon lagrangian. We obtain
$|d_e^n|\approx 5\times 10^{-32}$ e$\cdot$cm and $|d_e^p|\approx 4\times
10^{-32}$ e$\cdot$cm. The former estimate is similar to the quark model
estimates done previously.
","[{""version"":""v1"",""created"":""Mon, 10 Jun 1996 08:35:43 GMT""}]","2009-10-28"
"hep-ph/9606286",,"Elisabetta Pallante","The mass of the scalar boson beyond the large-N_c limit","20 pages, LaTex file, uses epsf.sty, rotate.sty, 7 figures uuencoded","Z.Phys. C75 (1997) 305-313",,"NORDITA-96/31 N,P","hep-ph",,"  Within the framework of the $1/N_c$ expansion of four-fermion interaction
models, we analyse the next to leading $1/N_c$ corrections to the well known
large-$N_c$ result $M_S=2M_Q$ where $M_S$ is the mass of the scalar boson and
$M_Q$ is the constituent quark mass. The calculation is performed in the
Extended Nambu-Jona Lasinio (ENJL) model which is suitable for describing low
energy hadron properties. We treat the model as fully non renormalizable and
discuss the comparison with approaches based on the equivalence with
renormalizable Yukawa type models. We consider both the $G_V=0$ and the
$G_V\neq 0$ cases with $n_f=2$ flavours and study the dependence upon the
regularization scheme. We find that pure next-to-leading $1/N_c$ corrections
are large and negative, while a partially resummed treatment can induce
positive and smaller corrections. A triplet-singlet states' splitting is
observed.
","[{""version"":""v1"",""created"":""Mon, 10 Jun 1996 08:55:38 GMT""}]","2007-05-23"
"hep-ph/9606287",,"P. Aurenche, M. Fontannaz, J.Ph. Guillet, A. Kotikov and E. Pilon","Is factorization for isolated photon cross sections broken?","LaTeX, 6 pages","Phys.Rev.D55:1124-1126,1997","10.1103/PhysRevD.55.1124","ENSLAPP-A-595/96, LPTHEORSAY96-40","hep-ph",,"  Recently the factorization property has been claimed to be broken in the
cross section for the production of isolated prompt photons emitted in the
final state of hadronic $e^ + e^-$ annihilation. We contest this claim.
","[{""version"":""v1"",""created"":""Mon, 10 Jun 1996 09:05:59 GMT""}]","2009-12-30"
"hep-ph/9606288","Andre Hoang","A.H. Hoang (Uni. Karlsruhe, Germany)","Two-Loop Corrections to Fermion Pair Production Vertices","6 pages, latex, 2 figures, the complete postscript file of this
  preprint, including figures, is available via anonymous ftp at
  ftp://www-ttp.physik.uni-karlsruhe.de/ttp96-19/ttp96-19.ps or via www at
  http://www-ttp.physik.uni-karlsruhe.de/cgi-bin/preprints/; To be published in
  the proceedings of 31st Rencontres de Moriond: Electroweak Interactions and
  Unified Theories, Les Arcs, France, 16-23 Mar 1996",,,"TTP96-19","hep-ph",,"  Recent results on the entirely analytic calculation of second order
corrections to massive quark pair production vertices induced by light quark
flavours are reviewed. Based on the method presented in this talk the second
order effects of the insertion of any massless one-loop vacuum polarization
into the gluon line of the first order diagrams can be determined. The
behaviour of the corrections at threshold for vector and axial-vector current
induced massive quark production is discussed.
","[{""version"":""v1"",""created"":""Mon, 10 Jun 1996 11:15:42 GMT""}]","2007-05-23"
