"alg-geom/9606001","Peter Schenzel","Peter Schenzel","Descent from the form ring and Buchsbaum rings","To appear in Comm. Algebra Latex2e",,,,"alg-geom math.AC math.AG",,"  There is a spectral sequence technique in order to estimate the local
cohomology of a ring by the local cohomology of a certain form ring. As
applications there are information on the descent of homological properties
(Cohen-Macaulay, Buchsbaum etc.) from the form ring to the ring itself. In the
case of Buchsbaum ring there is a discussion of the descent of the surjectivity
of a natural map into the local cohomology.
","[{""version"":""v1"",""created"":""Mon, 3 Jun 1996 10:00:59 GMT""}]","2008-02-03"
"cond-mat/9606001","G. Uhrig","G\""otz S. Uhrig and H.J. Schulz","Magnetic excitation spectrum of dimerized antiferromagnetic chains","4 pages, 4 figures included, Revtex","Phys. Rev. B 54, R9624 (1996); err. ibid. 58, 2900 (1998)","10.1103/PhysRevB.54.R9624",,"cond-mat",,"  Motivated by recent measurements on CuGeO$_3$ the spectrum of magnetic
excitations of an antiferromagnetic $S=\frac{1}{2}$ chain with alternating
coupling strength is investigated. Wave vector dependent magnons and a
continuum with square root behavior at the band edges are found. The spectral
density of the continua is calculated. Spin rotation symmetry fixes the gap of
the continuum to be twice the elementary magnon gap. This is in excellent
agreement with experimental results. In addition, the existence of bound states
of two magnons is predicted: below the continuum a singlet and a triplet, above
the continuum an ``anti-bound'' quintuplet. The results are based on field
theoretic arguments, RPA calculations, and consideration of the limit of strong
alternation.
","[{""version"":""v1"",""created"":""Mon, 3 Jun 1996 10:08:24 GMT""}]","2009-10-28"
"cond-mat/9606002","Kiet Anh Nguyen","Anh Kiet Nguyen, A. Sudbo, and R. E. Hetzel","Vortex-Loop Unbinding and Flux-Line Lattice Melting in Superconductors","4 pages, 3 postscript figures",,"10.1103/PhysRevLett.77.1592",,"cond-mat",,"  We study the interplay between a novel vortex-loop unbinding in finite
magnetic field at T=T_V and flux-line lattice (FLL) melting at T=T_M in type-II
superconductors. The FLL melts due to nucleation of vortex loops parallel to
c-axis, connected to flux lines. For moderate anisotropy, phase coherence along
c-axis is lost at T_V > T_M due to an ab-plane vortex-loop unbinding with loops
located close to thermal FLL fluctuations. For large anisotropy, phase
coherence along c-axis is lost at T_V < T_M due to nucleation of ab-plane
vortex-loops uncorrelated to flux lines.
","[{""version"":""v1"",""created"":""Mon, 3 Jun 1996 11:06:36 GMT""}]","2009-10-28"
"cond-mat/9606004","K. J. Thomas","K. J. Thomas, J. T. Nicholls, M. Y. Simmons, M. Pepper, D. R. Mace,
  and D. A. Ritchie","Possible Spin Polarization in a One-Dimensional Electron Gas","Ten pages with four ps figures. Accepted for publication in Phys.
  Rev. Lett. (17. June 1996)",,"10.1103/PhysRevLett.77.135",,"cond-mat",,"  In zero magnetic field, conductance measurements of clean one-dimensional
(1D) constrictions defined in GaAs/AlGaAs heterostructures show twenty-six
quantized ballistic plateaux, as well as a structure close to $0.7(2e^2/h)$. In
an in-plane magnetic field all the 1D subbands show Zeeman splitting and in the
wide channel limit the $g$-factor is $\mid g \mid = 0.4$, close to that of bulk
GaAs. For the last subband spin-splitting originates from the structure at
$0.7(2e^2/h)$, indicating spin polarization at $B=0$. The measured enhancement
of the $g$-factor as the subbands are depopulated suggests that the ``0.7
structure'' is induced by electron-electron interactions.
","[{""version"":""v1"",""created"":""Mon, 3 Jun 1996 13:11:43 GMT""}]","2009-10-28"
"cond-mat/9606005","Reuven Zeitak","Bernard Derrida, Vincent Hakim and Reuven Zeitak (LPS ENS Paris)","Persistent spins in the linear diffusion approximation of phase ordering
  and zeros of stationary gaussian processes","10 pages, 2 postscript files. Submitted to PRL. Reference screwup
  corrected",,"10.1103/PhysRevLett.77.2871",,"cond-mat",,"  The fraction r(t) of spins which have never flipped up to time t is studied
within a linear diffusion approximation to phase ordering. Numerical
simulations show that, even in this simple context, r(t) decays with time like
a power-law with a non-trival exponent $\theta$ which depends on the space
dimension. The local dynamics at a given point is a special case of a
stationary gaussian process of known correlation function and the exponent
$\theta$ is shown to be determined by the asymptotic behavior of the
probability distribution of intervals between consecutive zero-crossings of
this process. An approximate way of computing this distribution is proposed, by
taking the lengths of the intervals between successive zero-crossings as
independent random variables. The approximation gives values of the exponent
$\theta$ in close agreement with the results of simulations.
","[{""version"":""v1"",""created"":""Mon, 3 Jun 1996 14:54:13 GMT""},{""version"":""v2"",""created"":""Tue, 4 Jun 1996 15:20:55 GMT""}]","2009-10-28"
"gr-qc/9605074","Salman Habib","Tanmoy Bhattacharya, Salman Habib, and Emil Mottola (Los Alamos)","Comment on ""Gravitationally Induced Neutrino-Oscillation Phases""","Plain LaTeX, 7 pages, no figures","Phys. Rev. D59 (1999) 067301","10.1103/PhysRevD.59.067301",,"gr-qc astro-ph hep-ph quant-ph",,"  We critically examine the recent claim (gr-qc/9603008) of a ``new effect'' of
gravitationally induced quantum mechanical phases in neutrino oscillations. A
straightforward exercise in the Schwarzschild coordinates appropriate to a
spherically symmetric non-rotating star shows that, although there is a general
relativistic effect of the star's gravity on neutrino oscillations, it is not
of the form claimed, and is too small to be measured.
","[{""version"":""v1"",""created"":""Mon, 3 Jun 1996 05:16:59 GMT""}]","2007-05-23"
"hep-lat/9606001","Me","A. Di Giacomo","Properties of QCD vacuum from lattice","12 pages, 5 postscript figures, typset using sprocl.sty",,,"IFUP-TH 31/96","hep-lat",,"  A disorder parameter is constructed which signals the condensation of
vortices. The construction is tested by numerical simulations. Advances in the
understanding of the basic properties of QCD vacuum will be reported. Three
main subjects will be touched: 1) Condensation of monopoles and confinement. 2)
Topology, or instanton physics. 3) Gauge invariant field strength correlators,
and their behaviour across the deconfining phase transition.
","[{""version"":""v1"",""created"":""Mon, 3 Jun 1996 07:25:43 GMT""}]","2007-05-23"
"hep-lat/9606002","Chris Michael","C. Michael, A.M. Green and P.S. Spencer","Non-perturbative determination of beta-functions and excited string
  states from lattices","9 pages, LATEX, 1 postscript figure","Phys.Lett.B386:269-274,1996","10.1016/0370-2693(96)00897-0","Liverpool LTH 373, Helsinki HU-TFT-96-21","hep-lat",,"  We use lattice sum rules for the static quark potential to determine the
beta-function for symmetric and asymmetric lattices non-perturbatively. We also
study the colour field distributions in excited gluonic states.
","[{""version"":""v1"",""created"":""Mon, 3 Jun 1996 11:12:35 GMT""}]","2008-11-26"
"hep-ph/9605462","Martin Beneke","M. Beneke (SLAC)","Signatures of Color-Octet Quarkonium Production","17 pages, LaTeX, 1 figure, sprocl.sty provided (To appear in the
  Proceedings of the Second Workshop on Continuous Advances in QCD,
  Minneapolis, U.S.A., March 1996)",,,"SLAC-PUB-96-7173","hep-ph",,"  I briefly review the nonrelativistic QCD picture of quarkonium production and
its confrontation with experiment in various production processes.
","[{""version"":""v1"",""created"":""Sun, 2 Jun 1996 21:12:51 GMT""}]","2007-05-23"
"hep-ph/9605465",,"Boris Chibisov, R. David Dikeman, M. Shifman, N.G. Uraltsev","Operator Product Expansion, Heavy Quarks, QCD Duality and its Violations","59 pages, 6 figures, epsf.sty required. Revised: Styllistic changes;
  minor clarifications added; three references corrected; minor changes in the
  color-related factors","Int.J.Mod.Phys. A12 (1997) 2075-2133","10.1142/S0217751X97001316","TPI-MINN-96/05-T, UMN-TH-1426-96, CERN-TH/96-113","hep-ph",,"  The quark (gluon)-hadron duality constitutes a basis for the theoretical
treatment of a wide range of inclusive processes -- from hadronic \tau decays
and R_{e^+e^-}, to semileptonic and nonleptonic decay rates of heavy flavor
hadrons. A theoretical analysis of these processes is carried out by using the
operator product expansion in the Euclidean domain, with subsequent analytic
continuation to the Minkowski domain. We formulate the notion of the quark
(gluon)-hadron duality in quantitative terms, then classify various
contributions leading to violations of duality. A prominent role in the
violations of duality seems to belong to the so called exponential terms which,
conceptually, may represent the (truncated) tail of the power series. A
qualitative model, relying on an instanton background field, is developed,
allowing one to get an estimate of the exponential terms. We then discuss a
number of applications, mostly from heavy quark physics.
","[{""version"":""v1"",""created"":""Mon, 3 Jun 1996 03:53:04 GMT""},{""version"":""v2"",""created"":""Tue, 2 Jul 1996 14:45:25 GMT""}]","2009-10-28"
"hep-ph/9605466","Hiroyuki Kawamura","Hiroyuki Kawamura","QCD Analysis of Twist-4 Contributions to the $g_1$ Structure Functions","18 pages, LaTeX, 3 Postscript figures","Z.Phys. C75 (1997) 27-33",,"KUCP-96","hep-ph",,"  We analyze the twist-4 contributions to Bjorken and Ellis-Jaffe sum rules for
spin-dependent structure function $g_1(x, Q^2 )$. We investigate the anomalous
dimensions of the twist-4 operators which determine the logarithmic correction
to the $1/Q^2$ behavior of the twist-4 contribution by evaluating off-shell
Green's functions in both flavor non-singlet and singlet case. It is shown that
the EOM operators play an important role to extract the anomalous dimensions of
physical operators. The calculations to solve the operator mixing of
higher-twist operators are given in detail.
","[{""version"":""v1"",""created"":""Mon, 3 Jun 1996 05:59:31 GMT""}]","2007-05-23"
"hep-ph/9606202","Sergei Chikanov","S.V.Chekanov, V.I.Kuvshinov","Multifractal Multiplicity Distribution in Bunching-Parameter Analysis","LaTex, 12 pages, cite.sty","J.Phys.G22:601-610,1996","10.1088/0954-3899/22/5/007",,"hep-ph",,"  A new multiplicity distribution with multifractal properties which can be
used in high-energy physics and quantum optics is proposed. It may be
considered as a generalization of the negative-binomial distribution. We find
the structure of the generating function for such distribution and discuss its
properties.
","[{""version"":""v1"",""created"":""Mon, 3 Jun 1996 13:44:40 GMT""}]","2008-11-26"
"hep-ph/9606203","Tomohiro Hotta","T. Hotta, K.-I. Izawa and T. Yanagida","Dynamical Supersymmetry Breaking without Messenger Gauge Interactions","10 pages, LaTeX, 1 Postscript figure","Phys.Rev. D55 (1997) 415-418","10.1103/PhysRevD.55.415","UT-752","hep-ph",,"  We investigate low-energy models of supersymmetry (SUSY) breaking by means of
vector-like gauge theories for dynamical SUSY breaking. It is not necessary to
introduce messenger gauge interactions utilized so far to mediate the SUSY
breaking to the standard-model sector, which reduces complication in the model
building. We also consider various other ways of SUSY-breaking transmission.
","[{""version"":""v1"",""created"":""Mon, 3 Jun 1996 09:42:52 GMT""}]","2009-10-28"
"hep-ph/9606204","Lev F. M.","Felix M. Lev","Problems with Nonperturbative Effects in Deep Inelastic Scattering","14 pages, LaTeX. The revised version does not differ significantly
  from the original one; only minor inaccuracies have been corrected",,,,"hep-ph",,"  We consider restrictions imposed on the (electromagnetic or weak) current
operator by its commutation relations with the representation operators of the
Poincare group and show that the nonperturbative part of the current operator
contributes to deep inelastic scattering even in leading order in $1/Q$ where
$Q$ is the magnitude of the momentum transfer. Some consequences of this result
are discussed.
","[{""version"":""v1"",""created"":""Mon, 3 Jun 1996 09:49:44 GMT""},{""version"":""v2"",""created"":""Fri, 7 Jun 1996 10:58:27 GMT""}]","2008-02-03"
"hep-ph/9606205","Zhang Daxin","Da-Xin Zhang","Theoretical Update on Two Non-Resonant Three-Body Channels in Charmed
  Meson Decays","13 pages with 2 figures included. To be published","Phys.Lett. B382 (1996) 421-425","10.1016/0370-2693(96)00693-4","TECHNION-PH-96-4","hep-ph",,"  Predictions of two channels in the three-bod decays of the charmed mesons are
made within the heavy hadron chiral perturbation theory. There still exists the
problem that the theoretical expectation is too small compared to the
experimental data.
","[{""version"":""v1"",""created"":""Mon, 3 Jun 1996 11:25:50 GMT""}]","2015-06-25"
"hep-ph/9606206","Emanuel Norrbin","Emanuel Norrbin (Lund University)","Effects of colour reconnection in W+ W- events","1+20 pages, 10 postscript figures, uses epsfig and axodraw",,,"LU TP 96-15","hep-ph",,"  We have investigated some observable consequences of colour reconnection in
the reaction e+e- -> W+ W- -> q_1 qbar_2 q_3 qbar_4. We use a measure based on
the momentum structure of the event, comparing reconnected events with
`standard' ones. Some different recoupling models are described and studied as
well as simpler toy models to show where the effects are present and what makes
most of them disappear in realistic models. Some attempts are made to introduce
suitable cuts in order to select the interesting events.
","[{""version"":""v1"",""created"":""Mon, 3 Jun 1996 13:05:40 GMT""}]","2007-05-23"
"hep-th/9605228","Kazuhiko Suehiro","Noboru Kawamoto, Eisaku Ozawa and Kazuhiko Suehiro","Quantization of $gl(1,{\bf R})$ Generalized Chern-Simons Theory in 1+1
  Dimensions","15 pages, LaTeX","Mod.Phys.Lett. A12 (1997) 219-232","10.1142/S0217732397000224","EPHOU-96-003","hep-th",,"  We present a quantization of previously proposed generalized Chern-Simons
theory with $gl(1,{\bf R})$ algebra in 1+1 dimensions. This simplest model
shares the common features of generalized CS theories: on-shell reducibility
and violations of regularity. On-shell reducibility of the theory requires us
to use the Lagrangian Batalin-Vilkovisky and/or Hamiltonian
Batalin-Fradkin-Vilkovisky formulation. Since the regularity condition is
violated, their quantization is not straightforward. In the present case we can
show that both formulations give an equivalent result. It leads to an
interpretation that a physical degree of freedom which does not exist at the
classical level appears at the quantum level.
","[{""version"":""v1"",""created"":""Mon, 3 Jun 1996 04:22:55 GMT""}]","2015-06-26"
"hep-th/9605232","John H. Brodie","John Brodie","Duality in Supersymmetric SU($N_c$) Gauge Theory with Two Adjoint Chiral
  Superfields","21 pages, harvmac, tables","Nucl.Phys. B478 (1996) 123-140","10.1016/0550-3213(96)00416-6","PU-1626","hep-th",,"  We discuss $SU(N_c)$ gauge theory coupled to two adjoint chiral superfields
$X$ and $Y$, and a number of fundamental chiral superfields $Q^i$. We add a
superpotential that has the form of Arnold's $D$ series $W = \Tr X^{k+1} + \Tr
XY^2$. We present a dual description in terms of an $SU(3kN_f - N_c)$ gauge
theory, and we show that the duality passes many tests. At the end of the
paper, we show how a deformation of this superpotential flows to another
duality having a product gauge group $SU(N_c)\times SU(N_c')$, with an adjoint
field charged under $SU(N_c)$, an adjoint field charged under $SU(N_c')$,
fields in the $(N_c,N_c')$ and $(\overline N_c,\overline N_c')$ representation,
and a number of fundamentals. The dual description is an $SU(2kN_f' + kN_f -
N_c')\times SU(2kN_f + kN_f' - N_c)$ gauge theory.
","[{""version"":""v1"",""created"":""Mon, 3 Jun 1996 04:00:37 GMT""}]","2009-10-30"
"hep-th/9605234","Gautam Mandal","Avinash Dhar, Gautam Mandal and Spenta R. Wadia","Absorption vs Decay of Black holes in string theory and T-symmetry","17 pages, latex, no figures; version to appear in Physics Letters B","Phys.Lett. B388 (1996) 51-59","10.1016/0370-2693(96)01127-6","TIFR-TH-96/26","hep-th",,"  Classically a black hole can absorb but not emit energy. We discuss how this
T-asymmetric property of black holes arises in the recently proposed
(T-symmetric) microscopic models of black holes based on bound states of
D-branes. In these string theory based models, the nonvanishing classical
absorption is made possible essentially by the exponentially increasing
degeneracy of quantum states with mass of the black hole. The classical limit
of the absorption crosssection computed in the microscopic model agrees with
the result obtained from a classical analysis of a wave propagating in the
background metric of the corresponding black hole (upto a numerical factor).
","[{""version"":""v1"",""created"":""Mon, 3 Jun 1996 07:47:10 GMT""},{""version"":""v2"",""created"":""Fri, 7 Jun 1996 10:10:29 GMT""},{""version"":""v3"",""created"":""Sun, 14 Jul 1996 10:12:59 GMT""},{""version"":""v4"",""created"":""Tue, 27 Aug 1996 13:00:53 GMT""}]","2009-10-30"
"hep-th/9605235","Michael Lashkevich","Michael Yu. Lashkevich","Fusion of RSOS Models as a Coset Construction","8 pages, plain TeX, minor mistakes corrected",,,"LANDAU-96-TMP-2","hep-th",,"  Using the vertex operator approach we show that fusion of the RSOS models can
be considered as a kind of coset construction which is very similar to the
coset construction of minimal models in conformal field theory. We reproduce
the excitation spectrum and $S$-matrix of the fusion RSOS models in the regime
III and show that their correlation functions and form factors can be expressed
in terms of those of the ordinary (ABF) RSOS models.
","[{""version"":""v1"",""created"":""Sun, 2 Jun 1996 19:02:12 GMT""},{""version"":""v2"",""created"":""Tue, 11 Jun 1996 17:33:26 GMT""}]","2008-02-03"
