"alg-geom/9606012","Robert Lazarsfeld","Robert Lazarsfeld","Lengths of Periods and Seshadri Constants of Abelian Varieties","8 pages, AMS-TeX v 2.1",,,,"alg-geom math.AG",,"  The purpose of this note is to point out an elementary but somewhat
surprising connection between the work of Buser and Sarnak on lengths of
periods of abelian varieties and the Seshadri constants measuring the local
positivity of theta divisors. The link is established via symplectic blowing
up, in the spirit of McDuff and Polterovich. As an application of the main
inequality, we get a simple new proof of a statement of Buser-Sarnak type to
the effect that the Jacobian of a curve has a period of unusually small length.
We also deduce a lower bound on the Seshadri constant of a very general
p.p.a.v. which differs from the maximum possible by a factor of less than four.
","[{""version"":""v1"",""created"":""Thu, 13 Jun 1996 19:23:45 GMT""}]","2008-02-03"
"cond-mat/9606093","Roberto Jose Allub","R. Allub and B. Alascio (Centro Atomico Bariloche, Argentina)","Effect of disorder on the magnetic and transport properties of
  La_{1-x}Sr_{x}MnO_{3}","11 pages, 4 figures available upon request, accepted for publication
  in Solid State Communications",,"10.1016/0038-1098(96)00337-7",,"cond-mat",,"  We study a simplified model of the electronic structure of compounds of the
type of La$_{1-x}$Sr$_x$MnO$_3$. The model represents each Mn$^{4+}$ ion by a
spin S=1/2, on which an electron can be added to produce Mn$^{3+}$. We include
two strong intratomic interactions in the Hamiltonian: exchange ($J$% ) and
Coulomb ($U$). Finally, to represent the effect of Sr substitution by La in a
simple way, we include a distribution of diagonal energies at the Mn sites.
Then we use Green function techniques to calculate a mobility edge and the
average density of states. We find that according to the amount of disorder and
to the concentration of electrons in the system, the Fermi level can cross the
mobility edge to produce a metal to insulator transition as the magnetization
decreases (increase of temperature). If the disorder is large, the system
remains insulating for all concentrations. Concentrations near zero or one
favor the insulating state while intermediate values of concentration favor the
metallic state.
","[{""version"":""v1"",""created"":""Thu, 13 Jun 1996 20:13:27 GMT""}]","2009-10-28"
"cond-mat/9606094","Valeriy Ginzburg","Valeriy V. Ginzburg and Noel A. Clark (University of Colorado)","Self-Consistent Model of Polymerization-Induced Phase Separation","RevTEX, 15 pages, 3 figures - GIF files, available upon request from
  ginzburg@colorado.edu",,,,"cond-mat",,"  We propose an exactly solvable self-consistent kinetic model of
polymerization-induced phase separation (PIPS) via spinodal decomposition.
Using modified Cahn-Hilliard and Glotzer-Coniglio theories for early and late
stages of spinodal decomposition, we find scaling regimes and compare the
obtained results with existing experimental and theoretical information on PIPS
kinetics, finding a good qualitative agreement.
","[{""version"":""v1"",""created"":""Thu, 13 Jun 1996 20:44:09 GMT""}]","2007-05-23"
"cond-mat/9606095","Tae-Suk Kim","Tae-Suk Kim, L. N. Oliveira, and D. L. Cox","A new non-Fermi liquid fixed point","Revised. 20 pages",,"10.1103/PhysRevB.55.12460",,"cond-mat",,"  We study a new exchange interaction in which the conduction electrons with
pseudo spin $S_c=3/2$ interact with the impurity spin $S_I=1/2$. Due to the
overscreening of the impurity spin by higher conduction electron spin, a new
non-trivial intermediate coupling strength fixed point is realized. Using the
numerical renormalization group (NRG), we show that the low-energy spectra are
described by a non-Fermi liquid excitation spectrum. A conformal field theory
analysis is compared with NRG results and excellent agreement is obtained.
Using the double fusion rule to generate the operator spectrum with the
conformal theory, we find that the specific heat coefficient and magnetic
susceptibility will diverge as $T^{-2/3}$, that the scaling dimension of an
applied magnetic field is $5/6$, and that exchange anisotropy is always
relevant. We discuss the possible relevance of our work to two-level system
Kondo materials and dilute cerium alloys, and we point out a paradox in
understanding the Bethe-Ansatz solutions to the multichannel Kondo model.
","[{""version"":""v1"",""created"":""Fri, 14 Jun 1996 03:37:25 GMT""},{""version"":""v2"",""created"":""Tue, 18 Jun 1996 08:36:56 GMT""}]","2009-10-28"
"cond-mat/9606096","Daniel Olguin","Daniel Olguin and Rafael Baquero","Two dimensional bulk bands and surfaces resonances originated from (100)
  surfaces of III-V semiconductor compounds","7 pages in LaTex-revtex, one figure. also available at
  http://www.fis.cinvestav.mx/~daniel/PUBS/pub8.ps or requested to
  daniel@fis.cinvestav.mx",,"10.1063/1.51225","CIEA-CM:050294/2","cond-mat",,"  We have calculated the electronic band structure of the (100) surface of the
III--V zinc blende semiconductor compounds, using the standard tight binding
method and the surface Green's function matching method. We have found that the
creation of the surface gives place to new states in the electronic structure:
surface resonances and two dimensional bulk states. The two dimensional bulk
states are of the same character of those reported recently in CdTe(100) [Phys.
Rev. {\bf 50}, 1980 (1994)]. We analyze the states in the valence band region
and compare with photoemission spectroscopy data.
","[{""version"":""v1"",""created"":""Fri, 14 Jun 1996 04:35:47 GMT""}]","2009-10-28"
"cond-mat/9606097","Mario Nicodemi","Mario Nicodemi, Antonio Coniglio, Hans J. Herrmann","A model for the compaction of granular media","4 pages, 4 Postscript figures, .tar compressed file",,,,"cond-mat",,"  We introduce a lattice model, in which frustration plays a crucial role, to
describe relaxation properties of granular media. We show Monte Carlo results
for compaction in the presence of vibrations and gravity, which compare well
with experimental data.
","[{""version"":""v1"",""created"":""Fri, 14 Jun 1996 10:30:31 GMT""}]","2007-05-23"
"cond-mat/9606098","Ton Coolen","D. Sherrington, A.C.C. Coolen and S.N. Laughton","Macrodynamics of Disordered and Frustrated Systems","11 pages RevTex with 6 postscript figures to be published in CNLS
  newsletter",,,,"cond-mat",,"  It is shown how the macroscopic non-equilibrium dynamics of a class of
systems whose microscopic stochastic dynamics involves disordered and
frustrated but range-free interactions can be well described by closed
deterministic flow equations; this requires an appropriate choice of order
parameters/function and ansatze.
","[{""version"":""v1"",""created"":""Fri, 14 Jun 1996 11:38:18 GMT""}]","2007-05-23"
"cond-mat/9606099","Edouard Sonin","E.B. Sonin","The Magnus force in superfluids and superconductors","20 pages, RevTex file, no figures, submitted to Phys. Rev. B","Phys. Rev. B 55, 485 (1997)","10.1103/PhysRevB.55.485",,"cond-mat supr-con",,"  The forces on the vortex, transverse to its velocity, are considered. In
addition to the superfluid Magnus force from the condensate (superfluid
component), there are transverse forces from thermal quasiparticles and
external fields violating the translational invariance. The forces between
quasiparticles and the vortex originate from interference of quasiparticles
with trajectories on the left and on the right from the vortex like similar
forces for electrons interacting with the thin magnetic-flux tube (the
Aharonov-Bohm effect). These forces are derived in the Born approximation for
phonons from the equations of superfluid hydrodynamics, and for BCS
quasiparticles from the Bogolyubov-de Gennes equations. The effect of external
fields violating translational invariance is analyzed for vortices in the
two-dimensional Josephson junction array. The symmetry analysis of the
classical equations for the array shows that the total transverse force on the
vortex vanishes. Therefore the Hall effect which is linear in the transverse
force is absent also. This means that the Magnus force from the superfluid
component exactly cancels with the transverse force from the external fields.
The results of other approaches are also brought together for discussion.
","[{""version"":""v1"",""created"":""Fri, 14 Jun 1996 10:49:25 GMT""}]","2019-10-01"
"cond-mat/9606101","Zou Liangjian","Liang-Jian Zou, X. G. Gong and Zheng-Gang Zhu (Institute of Solid
  State Physics, Academia Sinica, Hefei, China)","Relationship Between Structural Fractal and Possible Dynamic Scaling
  Properties in Protein Folding","Latex, 2 Figures, 13 Pages",,,,"cond-mat q-bio",,"  In this letter, the possible dynamic scaling properties of protein molecules
in folding are investigated theoretically by assuming that the protein
molecules are percolated networks. It is shown that the fractal character and
the fractal dimensionality may exist only for short sequences in large protein
molecules and small protein molecules with homogeneous structure, the fractal
dimensionality are obtained for different structures. We then show that there
might exist the dynamic scaling properties in protein folding, the critical
exponents in the folding for some small global proteins with homogeneous
structure are obtained. The dynamic critical exponents of the global proteins
in folding are relevant to the fractal dimensionality of its structure, which
implies the close relationship between the dynamic process in protein folding
and its structure kinematics.
","[{""version"":""v1"",""created"":""Fri, 14 Jun 1996 15:41:48 GMT""}]","2007-05-23"
"cond-mat/9606102","Oriol T. Valls","Igor Zutic and Oriol T. Valls","Nonlinear transverse magnetic moment in anisotropic superconductors","RevTex, 15 pages, six Postscript Figures",,"10.1103/PhysRevB.54.15500",,"cond-mat",,"  We consider the nonlinear transverse magnetic moment that arises in the
Meissner state of superconductors with strongly anisotropic order parameter. We
compute this magnetic moment as a function of applied field and geometry,
assuming d-wave pairing, for realistic samples, finite in all three dimensions,
of high temperature superconducting materials. Return currents, shape effects
and the anisotropy of the penetration depth are all included. We numerically
solve the nonlinear Maxwell-London equations for a finite system. The effect,
which is a probe of the order parameter symmetry in the bulk of the sample,
should be readily measurable if pairing is in a d-wave state. Failure to
observe it would set a lower bound to the s-wave component.
","[{""version"":""v1"",""created"":""Fri, 14 Jun 1996 15:45:31 GMT""}]","2009-10-28"
"dg-ga/9606002",,"Francis Burstall and Martin Guest","Harmonic two-spheres in compact symmetric spaces, revisited","38 pages, AMS-TeX",,,,"dg-ga math.DG",,"  Uhlenbeck introduced an invariant, the (minimal) uniton number, of harmonic
2-spheres in a Lie group G and proved that when G=SU(n) the uniton number
cannot exceed n-1. In this paper, using new methods inspired by Morse Theory,
we explain this result and extend it to an arbitrary compact group G. The same
methods also yield Weierstrass formulae for these harmonic maps and simple
proofs of most of the known classification theorems for harmonic 2-spheres in
symmetric spaces.
","[{""version"":""v1"",""created"":""Fri, 14 Jun 1996 14:29:50 GMT""}]","2008-02-03"
"dg-ga/9606003","Matilde Marcolli","Matilde Marcolli (MIT), Bai-Ling Wang (University of Adelaide)","Equivariant Seiberg-Witten Floer Homology","162 pages, LaTex, 1 figure, diagrams (xypic)",,,,"dg-ga math.DG",,"  This paper circulated previously in a draft version. Now, upon general
request, it is about time to distribute the more detailed (and much longer)
version. The main technical issues revolve around the fine structure of the
compactification of the moduli spaces of flow lines and the obstruction bundle
technique, with related gluing theorems, needed in the proof of the topological
invariance of the equivariant version of the Floer homology.
","[{""version"":""v1"",""created"":""Fri, 14 Jun 1996 15:10:19 GMT""},{""version"":""v2"",""created"":""Tue, 27 May 1997 19:55:54 GMT""},{""version"":""v3"",""created"":""Fri, 17 Mar 2000 17:06:20 GMT""}]","2008-02-03"
"gr-qc/9606028","Slava Turyshev","Slava G. Turyshev, John D. Anderson and Ronald W. Hellings (NASA/Jet
  Propulsion Laboratory)","Relativistic Gravity Theory And Related Tests With A Mercury Orbiter
  Mission","36 pages, LaTex file, no figures",,,,"gr-qc astro-ph",,"  Due to its relatively large eccentricity and proximity to the Sun, Mercury's
orbital motion provides one of the best solar-system tests of relativistic
gravity. We emphasize the number of feasible relativistic gravity tests that
can be performed within the context of the parameterized weak field and slow
motion approximation - a usefulframework for testing modern gravitational
theories in the solar system. We discuss a new approximation method, which
includes two Eddington parameters $(\gamma,\beta)$, proposed for construction
of the relativistic equations of motion of extended bodies. Within the present
accuracy of radio measurements, we discuss the generalized Fermi-normal-like
proper reference frame which is defined in the immediate vicinity of the
extended compact bodies. Based on the Hermean-centric equations of motion of
the spacecraft around the planet Mercury, we suggest a new test of the Strong
Equivalence Principle. The corresponding experiment could be performed with the
future {\it Mercury Orbiter} mission scheduled by the European Space Agency
({\small ESA}) for launch between 2006 and 2016. We discuss other relativistic
effects including the perihelion advance, redshift and geodetic precession of
the orbiter's orbital plane about Mercury.
","[{""version"":""v1"",""created"":""Thu, 13 Jun 1996 18:16:28 GMT""}]","2007-05-23"
"gr-qc/9606029","M. B. Paranjape","A. Edery and M. B. Paranjape","Localized Mass and Spin Sources in 2+1 Dimensional Topologically Massive
  Gravity","revised version, minor corrections, latex, 8 pages","Phys.Lett.B413:35-40,1997","10.1016/S0370-2693(97)01101-5","UDEM-GPP-TH-96-37","gr-qc",,"  Stationary solutions to the full non-linear topologically massive gravity
(TMG) are obtained for localized sources of mass $m$ and spin $\sigma$. Our
results show that the topological term induces spin and that the total spin J
(which is the spin observed by an asymptotic observer) ranges from 0 to $\sigma
+ \frac{m}{\mu}(\frac{4\pi+m}{4\pi +2m})$ depending on the structure of the
spin source (here $\mu$ is the topological mass). We find that it is
inconsistent to consider actual delta function mass and spin sources. In the
point-like limit, however, we find no condition constraining $m$ and $\sigma$
contrary to a previous analysis by Clement.
","[{""version"":""v1"",""created"":""Thu, 13 Jun 1996 20:32:02 GMT""},{""version"":""v2"",""created"":""Mon, 16 Jun 1997 16:21:16 GMT""}]","2008-12-30"
"gr-qc/9606030","Haret Rosu","H.C. Rosu, J. Socorro","Supersymmetric strictly isospectral FRW models for zero factor ordering","6 twocolumn pages including 6 eps figs","Nuovo Cimento B 113 (May 1998) 683-689",,,"gr-qc",,"  We apply the strictly isospectral technique of standard supersymmetric
quantum mechanics to the Q=0 factor ordered Wheeler-DeWitt equation for the
Friedmann-Robertson-Walker (FRW) minisuperspace model. The resulting strictly
isospectral one-parameter families of both FRW cosmological potentials and
""wavefunctions of the universe"" are exhibited with relevant plots
","[{""version"":""v1"",""created"":""Fri, 14 Jun 1996 00:42:00 GMT""},{""version"":""v2"",""created"":""Wed, 31 Jul 1996 04:21:00 GMT""},{""version"":""v3"",""created"":""Tue, 27 May 1997 23:10:24 GMT""},{""version"":""v4"",""created"":""Sun, 11 Jul 1999 01:23:05 GMT""}]","2009-09-25"
"gr-qc/9606031","Dharam Ahluwalia","D. V. Ahluwalia (Los Alamos Nat'l Lab.) and C. Burgard (DESY)","About the Interpretation of Gravitationally Induced Neutrino Oscillation
  Phases","Requires elsart style files. 5 pages",,,"LA-UR-96-2031","gr-qc astro-ph hep-ph quant-ph",,"  We present some thoughts on how to interpret the gravitionally induced
neutrino oscillation phases presented by us in our 1996 Gravity Research
Foundation Essay.
","[{""version"":""v1"",""created"":""Fri, 14 Jun 1996 01:51:15 GMT""}]","2007-05-23"
"gr-qc/9606032","Jose Ademir Sales de Lima","M. R. de Garcia Maia (Universidade Federal do Rio Grande do Norte,
  Natal, RN, Brazil) and J. A. S. Lima (Brown University, Providence, RI, USA
  and Universidade Federal do Rio grande do Norte, Natal, RN, Brazil)","Graviton Production in Elliptical and Hyperbolic Universes","25 pages, uses REVTEX","Phys.Rev. D54 (1996) 6111-6121","10.1103/PhysRevD.54.6111","Brown-HET-1047","gr-qc",,"  The problem of cosmological graviton creation for homogeneous and isotropic
universes with elliptical ($\vae =+1$) and hyperbolical ($\vae =-1$) geometries
is addressed. The gravitational wave equation is established for a
self-gravitating fluid satisfying the barotropic equation of state $p=(\gamma
-1)\rho$, which is the source of the Einstein's equations plus a cosmological
$\Lambda$-term. The time dependent part of this equation is exactly solved in
terms of hypergeometric functions for any value of $\gamma$ and spatial
curvature $\vae$. An expression representing an adiabatic vacuum state is then
obtained in terms of associated Legendre functions whenever $\gamma\neq
\frac{2}{3}\; \frac{(2n+1)}{(2n-1)}$, where n is an integer. This includes most
cases of physical interest such as $\gamma =0,\;4/3\;,1$. The mechanism of
graviton creation is reviewed and the Bogoliubov coefficients related to
transitions between arbitrary cosmic eras are also explicitly evaluated.
","[{""version"":""v1"",""created"":""Fri, 14 Jun 1996 05:23:36 GMT""}]","2009-10-28"
"gr-qc/9606033","Leonid S. Kuzmenkov","Yu.A. Baurov (Central Scientific Research Institute of Machinery,
  Moscow), A.A. Efimov and A.A. Shpitalnaya (State Astronomical Observatory of
  Russian Academy of Sciences, Pulkovo)","Anisotropy of fast-going processes in the Sun and new interaction in
  nature","5 pages, revtex, 1 eps figure, in one .uue file, published in Fiz.
  Mysl Ross. (in russian)",,,,"gr-qc astro-ph hep-ph",,"  The processing of the galactic coordinates of 3543 solar flares with a
magnitude of 2 or more has shown that the distribution of these fast-going
processes on the surface of the ""nonrotating"" Sun is irregular and non-random
what testifies that in the near-Sun space an anisotropy takes place which
practically coincides with that predicted and obtained in laboratory
experiments and caused by existence of the intergalactic vector potential ${\bf
A_g}$.
","[{""version"":""v1"",""created"":""Fri, 14 Jun 1996 11:56:44 GMT""}]","2009-09-25"
