"alg-geom/9609020","Teleman","Andrei Teleman","Non-abelian Seiberg-Witten theory and projectively stable pairs","TeX-Type: LaTeX, 31 pages, revised version",,,,"alg-geom dg-ga hep-th math.AG math.DG",,"  We introduce the concept of Spin^G-structure in a SO-bundle, where $G\subset
U(V)$ is a compact Lie group containing $-id_V$. We study and classify
$Spin^G(4)$-structures on 4-manifolds, we introduce the G-Monopole equations
associated with a $Spin^G$-structure. On Kaehler surfaces a Kobayashi-Hitchin
correspondence can be proved for the corresponding moduli spaces. Using this
complex geometric interpretation, we determine explicitely a moduli space of
""PU(2)-Monopoles"" on $\P^2$, we describe its Uhlenbeck compactification, as
well as the Donaldson- and the abelian locus.
","[{""version"":""v1"",""created"":""Thu, 26 Sep 1996 16:03:40 GMT""},{""version"":""v2"",""created"":""Tue, 8 Apr 1997 08:55:59 GMT""},{""version"":""v3"",""created"":""Mon, 2 Jun 1997 17:36:31 GMT""}]","2008-02-03"
"cond-mat/9609257","Sandy Fetter","Alexander L. Fetter (Physics Department, Stanford University)","Ground state and excited states of a trapped dilute condensed Bose gas","7 pages, two columns, Latex, invited paper presented at Low
  Temperature Conference LT21, Prague, August, 1996, to appear in Czechoslovak
  Journal of Physics",,"10.1007/BF02548111",,"cond-mat",,"  I review recent theoretical treatments of a dilute interacting condensed Bose
gas in a trap. Bogoliubov's classic results for a uniform condensate are
generalized to include the effect of a trap, using the Gross-Pitaevskii
formalism (for the condensate) and the Bogoliubov equations (for the linearized
small-amplitude excitations of the condensate). Several recent theoretical
studies are discussed along with some open questions.
","[{""version"":""v1"",""created"":""Thu, 26 Sep 1996 19:21:29 GMT""}]","2009-10-28"
"cond-mat/9609258","Yadin Y. Goldschmidt","Yadin Y. Goldschmidt (University of Pittsburgh)","Phase Transitions of the Flux Line Lattice in High-Temperature
  Superconductors with Weak Columnar and Point Disorder","4 pages in 2 columns format + 2 eps figs included, uses RevTeX and
  multicol.sty",,"10.1103/PhysRevB.56.2800","PITT-CMT-YYG-9601","cond-mat",,"  We study the effects of weak columnar and point disorder on the
vortex-lattice phase transitions in high temperature superconductors. The
combined effect of thermal fluctuations and of quenched disorder is
investigated using a simplified cage model. For columnar disorder the problem
maps into a quantum particle in a harmonic + random potential. We use the
variational approximation to show that columnar and point disorder have
opposite effect on the position of the melting line as observed experimentally.
Replica symmetry breaking plays a role at the transition into a vortex glass at
low temperatures.
","[{""version"":""v1"",""created"":""Thu, 26 Sep 1996 21:13:47 GMT""}]","2009-10-28"
"cond-mat/9609260","Sergio Conti","Sergio Conti and Gaetano Senatore","Electron Correlation and Charge Transfer Instability in Bilayered Two
  Dimensional Electron Gas","5 pages, 3 figures. Subm. to Europhys. Lett","Europhys. Lett. 36, 695 (1996)","10.1209/epl/i1996-00289-y",,"cond-mat",,"  We prove that the predicted charge transfer state in symmetric bilayers of
two dimensional electron gases is always unstable at zero bias voltage, due to
interlayer correlation and/or tunneling. This is most easily seen by resorting
to a pseudospin formalism and considering coherent states obtained from the
charge transfer state through rotations of the pseudospins. Evidently, the
charge transfer state is stabilized by a sufficiently strong gate voltage, as
found in recent experiments. We show that a simple model, in which the layers
are strictly two dimensional, is able to account quantitatively for such
experimental findings, when correlation is properly included.
","[{""version"":""v1"",""created"":""Fri, 27 Sep 1996 06:50:48 GMT""}]","2009-10-28"
"cond-mat/9609261","Benito Groh","B. Groh and S. Dietrich (Fachbereich Physik, BUGH Wuppertal, Germany)","Orientational order in dipolar fluids consisting of nonspherical hard
  particles","35 pages LaTeX with epsf style, 11 figures in eps format, submitted
  to Phys. Rev. E",,"10.1103/PhysRevE.55.2892",,"cond-mat",,"  We investigate fluids of dipolar hard particles by a certain variant of
density-functional theory. The proper treatment of the long range of the
dipolar interactions yields a contribution to the free energy which favors
ferromagnetic order. This corrects previous theoretical analyses. We determine
phase diagrams for dipolar ellipsoids and spherocylinders as a function of the
aspect ratio of the particles and their dipole moment. In the nonpolar limit
the results for the phase boundary between the isotropic and nematic phase
agree well with simulation data. Adding a longitudinal dipole moment favors the
nematic phase. For oblate or slightly elongated particles we find a
ferromagnetic liquid phase, which has also been detected in computer
simulations of fluids consisting of spherical dipolar particles. The detailed
structure of the phase diagram and its evolution upon changing the aspect ratio
are discussed in detail.
","[{""version"":""v1"",""created"":""Fri, 27 Sep 1996 06:51:04 GMT""}]","2009-10-28"
"cond-mat/9609262","Holger Frahm","Gerald Bed\""urftig, Fabian H. L. E{\ss}ler and Holger Frahm","Integrable impurity in the supersymmetric t-J model","RevTeX+epsf macros, 4pp. including 4 figures","Phys. Rev. Lett. 77 (1996) 5098, err. ibid. 78 (1997) 1397","10.1103/PhysRevLett.77.5098","ITP-UH-21/96, OUTP-9632S","cond-mat",,"  An impurity coupling to both spin and charge degrees of freedom is added to a
periodic t-J chain such that its interaction with the bulk can be varied
continuously without losing integrability. Ground state properties, impurity
contributions to the susceptibilities and low temperature specific heat are
studied as well as transport properties. The impurity phase--shifts are
calculated to establish the existence of an impurity bound state in the holon
sector.
","[{""version"":""v1"",""created"":""Fri, 27 Sep 1996 07:51:13 GMT""}]","2009-10-28"
"cond-mat/9609263","Heiko Rieger","F. Igloi and H. Rieger","Density Profiles in Random Quantum Spin Chains","4 pages RevTeX, 4 eps-figures included","Phys. Rev. Lett. 78 (1997) 2473","10.1103/PhysRevLett.78.2473","HLRZ-68/96","cond-mat",,"  We consider random transverse-field Ising spin chains and study the
magnetization and the energy-density profiles by numerically exact calculations
in rather large finite systems ($L\le 128$). Using different boundary
conditions (free, fixed and mixed) the numerical data collapse to scaling
functions, which are very accurately described by simple analytic expressions.
The average magnetization profiles satisfy the Fisher-de Gennes scaling
conjecture and the corresponding scaling functions are indistinguishable from
those predicted by conformal invariance.
","[{""version"":""v1"",""created"":""Fri, 27 Sep 1996 09:21:37 GMT""}]","2009-10-28"
"cond-mat/9609264","P. Bialas","P. Bialas, Z. Burda, D. Johnston","Condensation in the Backgammon model","14 pages, requires Latex2e + elsart.cls (supplied). 2 figures
  included as eps files. (some minor errors had been corrected and additional
  references added)","Nucl.Phys. B493 (1997) 505-516","10.1016/S0550-3213(97)00192-2","BI-TP 96/47, ITFA-96-38","cond-mat hep-lat hep-th",,"  We analyse the properties of a very simple ``balls-in-boxes'' model which can
exhibit a phase transition between a fluid and a condensed phase, similar to
behaviour encountered in models of random geometries in one, two and four
dimensions. This model can be viewed as a generalisation of the backgammon
model introduced by Ritort as an example of glassy behaviour without disorder.
","[{""version"":""v1"",""created"":""Fri, 27 Sep 1996 09:43:31 GMT""},{""version"":""v2"",""created"":""Fri, 25 Oct 1996 07:43:05 GMT""}]","2009-10-28"
"cond-mat/9609265","Yshai Avishai","Y. Avishai and J. M. Luck","Dynamical critical behavior in the integer quantum Hall effect","REVTeX, 11 pages, 5 figures",,,,"cond-mat",,"  We investigate dynamical scaling properties in the integer quantum Hall
effect for non-interacting electrons at zero temperature, by means of the
frequency-induced peak broadening of the dissipative longitudinal conductivity
$\sigma_{xx}(\omega)$. This quantity is calculated numerically in the lowest
Landau level for various values of the Fermi energy $E$, of the frequency
$\omega$, and of the system size $L$. Data for the width $W(\omega,L)$ of the
peak are analyzed by means of the dynamical finite-size scaling law
$W(\omega,L)\approx L^{-1/\nu}f\bigl(\omega L^z\bigr)$, where $\nu$ is the
static critical exponent of the localization length, and $z$ is the dynamical
exponent. A fit of the data, assuming $\nu=2.33$ is known, yields $z=1.19\pm
0.13$. This result indicates that the dynamical exponent in the integer quantum
Hall effect may be different from the pertinent space dimension ($d=2$), even
in the absence of interactions between electrons.
","[{""version"":""v1"",""created"":""Fri, 27 Sep 1996 09:54:47 GMT""}]","2007-05-23"
"cond-mat/9609266","Achim Wixforth","A. Lorke, M. Fricke, B. T. Miller, M. Haslinger, J. P. Kotthaus, G.
  Medeiros-Ribeiro and P. M. Petroff","Far-infrared and capacitance spectroscopy of self-assembled InAs quantum
  dots","6 pages, 4 PostScript figures",,,,"cond-mat",,"  We review a number of recent experiments which are probing ground state and
excitations of few-electron systems in self-assembled InAs quantum dots.
Far-infrared spectroscopy, together with local as well as large-scale
capacitive probing allows for a detailed investigation of the different
contributions to the many-particle spectrum in the dots. The influence of
electron--electron interactions on the ground state and the excitations is
discussed.
","[{""version"":""v1"",""created"":""Fri, 27 Sep 1996 14:50:48 GMT""}]","2007-05-23"
"cond-mat/9609267","Laszlo Mihaly","Daniel Koller, Michael C. Martin, Laszlo Mihaly, Gyorgy Mihaly, Gabor
  Oszlanyi, Gabriel Baumgartner and Laszlo Forro","Energy gap in superconducting fullerides: optical and tunneling studies","RevTex file with four .EPS figures. Prints to four pages. Also
  available at http://buckminster.physics.sunysb.edu/papers/pubrece.html","Phys. Rev. Lett. 77, 4082 (1996).","10.1103/PhysRevLett.77.4082",,"cond-mat",,"  Tunneling and optical transmission studies have been performed on
superconducting samples of Rb3C60. At temperatures much below the
superconducting transition temperature Tc the energy gap is 2 Delta=5.2 +-
0.2meV, corresponding to 2 Delta/kB Tc = 4.2. The low temperature density of
states, and the temperature dependence of the optical conductivity resembles
the BCS behavior, although there is an enhanced ``normal state"" contribution.
The results indicate that this fulleride material is an s-wave superconductor,
but the superconductivity cannot be described in the weak coupling limit.
","[{""version"":""v1"",""created"":""Fri, 27 Sep 1996 15:53:43 GMT""}]","2009-10-28"
"cond-mat/9609268","Achim Wixforth","M. Fricke, A. Lorke, M. Haslinger and J. P. Kotthaus, G.
  Medeiros-Ribeiro and P. M. Petroff","Single-electron charging of self-assembled InAs quantum dots","submitted to ICPS-23 (Berlin 1996)",,,,"cond-mat",,"  The many-particle ground state and excitations of self-assembled InAs quantum
dots are investigated using far-infrared (FIR) and capacitance spectroscopy.
The contributions of quantization and charging energies to the $n$--electron
energy spectrum are determined. For $n = 1$, 2, we find good agreement with a
parabolic model; for higher filling, the Coulomb interaction reveals itself not
only in the capacitance, but also in the FIR excitations
","[{""version"":""v1"",""created"":""Fri, 27 Sep 1996 15:21:08 GMT""}]","2007-05-23"
"cond-mat/9609270","Achim Wixforth","M. Fricke, A. Lorke, J. P. Kotthaus, G. Medeiros-Ribeiro and P. M.
  Petroff","Shell structure and electron-electron interaction in self-assembled InAs
  quantum dots","4 pages, 3 PostScript figures",,"10.1209/epl/i1996-00210-x",,"cond-mat",,"  Using far-infrared spectroscopy, we investigate the excitations of
self-organized InAs quantum dots as a function of the electron number per dot,
1<n<6, which is monitored in situ by capacitance spectroscopy. Whereas the
well-known two-mode spectrum is observed when the lowest s - states are filled,
we find a rich excitation spectrum for n=3, which reflects the importance of
electron-electron interaction in the present, strongly non-parabolic confining
potential. From capacitance spectroscopy we find that the electronic shell
structure in our dots gives rise to a distinct pattern in the charging energies
which strongly deviates from the monotonic behavior of the Coulomb blockade
found in mesoscopic or metallic structures.
","[{""version"":""v1"",""created"":""Fri, 27 Sep 1996 15:44:05 GMT""}]","2009-10-28"
"gr-qc/9609062","Leonid Grishchuk","L. P. Grishchuk","The Implications of the Microwave Background Anisotropies for
  Laser-Interferometer-Tested Gravitational Waves","revised, corrected, and slightly expanded version to be published in
  Classical and Quantum Gravity; 22 pages, 1 Postscript figure, Latex; Based on
  a talk presented at the First Internationsl LISA Symposium, 9 - 12 July 1996,
  RAL, UK","Class.Quant.Grav. 14 (1997) 1445-1454","10.1088/0264-9381/14/6/009",,"gr-qc astro-ph hep-ph",,"  The observed microwave background anisotropies in combination with the theory
of quantum mechanically generated cosmological perturbations predict a well
measurable amount of relic gravitational waves in the frequency intervals
tested by LISA and ground-based laser interferometers.
","[{""version"":""v1"",""created"":""Fri, 27 Sep 1996 09:16:00 GMT""},{""version"":""v2"",""created"":""Thu, 6 Mar 1997 16:08:10 GMT""}]","2009-10-28"
"gr-qc/9609063","James E. Lidsey","James E. Lidsey","On the Cosmology and Symmetry of Dilaton-Axion Gravity","11 pages, latex, 2 figures available on request",,,,"gr-qc hep-th",,"  A global O$(2,2)$ symmetry is found in the Brans-Dicke theory of gravity when
the dilaton is coupled to axion and moduli fields. The symmetry is broken if a
cosmological constant is introduced. Within the class of spatially homogeneous
Bianchi cosmologies, only the type I and V models respect the symmetry.
Isotropic cosmological solutions are found for arbitrary spatial curvature. In
the region of parameter space relevant to the pre-big bang scenario, the
interplay between the scalar fields results in a bouncing cosmology.
","[{""version"":""v1"",""created"":""Fri, 27 Sep 1996 13:50:15 GMT""}]","2016-08-31"
"hep-ex/9609018","Stefan Soldner-Rembold","Stefan Soldner-Rembold (Freiburg)","Jet Production in Photon-Photon Interactions","4 pages, 6 Postscript figures, uses stwol.sty",,,"FREIBURG-EHEP-96-01","hep-ex",,"  The inclusive one- and two-jet cross-sections are measured in collisions of
quasi-real photons at e+e- centre-of-mass energies of 130 and 136 GeV using the
OPAL detector at LEP. Jets are reconstructed with a cone jet finding algorithm.
The jet cross-sections are compared to next-to-leading order (NLO) perturbative
QCD calculations. Transverse energy flows in jets are studied separately for
direct and resolved two-photon events.
","[{""version"":""v1"",""created"":""Fri, 27 Sep 1996 11:13:52 GMT""}]","2007-05-23"
