"alg-geom/9609015","Kieran O'Grady","Kieran O'Grady","Moduli of vector-bundles on surfaces","AMS-TeX",,,,"alg-geom math.AG",,"  This is a survey paper: we discuss certain recent results, with some
improvements. It will appear in the S. Cruz proceedings.
","[{""version"":""v1"",""created"":""Fri, 20 Sep 1996 10:02:22 GMT""}]","2008-02-03"
"astro-ph/9609143","Norbert Zacharias","N. Zacharias (USRA/USNO, Washington DC, USA)","Measuring the Atmospheric Influence on Differential Astrometry: a Simple
  Method Applied to Wide Field CCD Frames","12 pages LaTeX incl. tables, no figures, accepted by PASP, scheduled
  for Dec.96",,"10.1086/133847",,"astro-ph",,"  Sets of short exposure, guided CCD frames are used to measure the noise added
by the atmosphere to differential astrometric observations. Large nightly
variations that are correlated with the seeing have been found in the data
obtained over 2 years at the KPNO and CTIO 0.9-meter telescopes. The rms noise
added by the atmosphere, after a linear transformation of the raw $x,y$ data,
is found to be 3 to 7 mas, normalized to 100 seconds exposure time and a field
of view of 20 arcminutes near the zenith. An additional nearly constant noise
(base-level) of 8.5 mas = 0.012 pixel is found for the KPNO and 6.0 mas = 0.015
pixel for the CTIO telescope. This implies that a ground-based, all sky,
astrometric survey from guided CCD frames is more likely limited by the
base-level noise than by the atmosphere and could reach an accuracy better than
10 mas under good seeing conditions.
","[{""version"":""v1"",""created"":""Fri, 20 Sep 1996 12:15:24 GMT""}]","2016-08-30"
"astro-ph/9609144",,"Edward B. Jenkins and Antonio Peimbert (Princeton Univ. Observatory)","Molecular Hydrogen in the Direction of zeta Ori A","46 pages, 8 figures. To be published in the Astrophysical Journal","Astrophys.J.477:265-280,1997","10.1086/303694","POPe-681","astro-ph",,"  Lyman and Werner band absorption features from interstellar molecular
hydrogen in rotational levels J = 0, 1, 2, 3 and 5 were observed in the
spectrum of zeta Ori A by the Interstellar Medium Absorption Profile
Spectrograph (IMAPS). Most of the molecules are found in two distinct velocity
components, with one of them showing profile shapes that become broader and
show small displacements toward more negative velocities as J increases. This
change in profile shapes, along with evidence from atomic lines at high
negative velocities, supports an interpretation that the molecules are
initially created by associative detachment of H- in a partially ionized, warm
gas that is cooling and recombining behind a stationary shock front. The front
probably arises from an interaction of high speed gas from the Orion stars and
the ambient medium. These molecules are most conspicuous in the high J levels.
Later, when the gas becomes much cooler, mostly neutral, and more compressed as
it comes nearly to a halt, the H2 is primarily created by reactions on the
surfaces of dust grains and is more easily seen in the lowest J levels.
","[{""version"":""v1"",""created"":""Fri, 20 Sep 1996 14:25:49 GMT""}]","2008-11-26"
"astro-ph/9609145","John D. Larwood","John D. Larwood and John C.B. Papaloizou","The hydrodynamical response of a tilted circumbinary disc: linear theory
  and non-linear numerical simulations","Accepted by MNRAS, September 19 1996. LaTeX, 27 pages. Full
  postscript file including 14 figures available from J.D.Larwood@qmw.ac.uk, or
  by anonymous ftp (see http://www.maths.qmw.ac.uk/~jdl/preprint.html for
  instructions)",,"10.1093/mnras/285.2.288",,"astro-ph",,"  In this paper we present an analytical and numerical study of the response of
a circumbinary disc subject to the tidal-forcing of a binary with a fixed
circular orbit. We consider fluid discs with a range of thicknesses and
binaries with a range of mass ratios, orbital separations and inclination
angles. Our numerical simulations are implemented using a SPH code. For our
unperturbed disc models, we write a scaling relation for the shear viscosity
and deduce that the disc thickness cannot be varied without affecting the
viscosity in these kinds of SPH disc models. It is found that maintainance of
an inner cavity owing to the tidal truncation of the disc is effective for
non-zero orbital inclinations. Also we show that our model discs may precess
approximately like rigid bodies, provided that the disc is able to communicate
on a length scale comparable to the inner boundary radius by either sonic or
viscous effects, in a sufficiently small fraction of the local precession
period. Furthermore, the disc precession period may tend to infinity if the
disc outer edge is allowed to become arbitrarily large, the disc suffering only
a modest quasi-steady warp near the inner boundary. When the disc response is
linear, or weakly non-linear, the precession periods and the forms of warping
that we measure yield reasonable quantitative agreement with the analytical
expressions that we derive from a linear response calculation. For a stronger
disc response the results can agree poorly with our linear analysis, although
some qualitative features of the response remain intact. We show that the
response of a disc of non-interacting particles is qualitatively different from
this. The work presented in this paper is of relevance to a number of
astrophysical phenomena of current interest in star and planet formation.
","[{""version"":""v1"",""created"":""Fri, 20 Sep 1996 14:41:24 GMT""}]","2015-06-24"
"astro-ph/9609146","Insu Yi","Insu Yi (Institute for Advanced Study, Princeton)","Cosmological Evolution of Quasars","Latex, 2 PS figures, To Appear in ApJ",,"10.1086/178178","IASSNS-AST 96/26","astro-ph",,"  We present a model for the cosmological evolution of quasars (QSOs) under the
assumption that they are powered by massive accreting black holes. Accretion
flows around massive black holes make a transition from high radiative
efficiency ($\sim 10%$) to low efficiency, advection-dominated flows when
${\dot M}/{\dot M}_{Edd}$ falls below the critical rate $\sim 0.3\alpha^2\sim
10^{-2}$ where ${\dot M}$ is the mass accretion rate, ${\dot M}_{Edd}\propto M$
is the usual Eddington rate with the nominal 10% efficiency, and $\alpha (\le
1)$ is the dimensionless viscosity parameter. We identify this transition with
the observed break at a redshift $\sim 2$ in the QSOs' X-ray luminosity
evolution. Growth of black holes through accretion could naturally lead to such
a transition at a critical redshift $z_c\sim 1-3$, provided that most of high
redshift QSOs appear with near Eddington luminosities at $z\sim 3-4$ and the
accretion rates decline over the Hubble time in a roughly synchronous manner.
Before the transition, the QSOs' luminosities (with a high efficiency) slowly
decrease and after the transition at $z_c$, the QSO luminosities evolve
approximately as $\propto (1+z)^{K(z)}$ where $K(z)$ gradually varies from
$z=z_c$ to $z\sim 0$ around $K\sim3$. The results depend on the details of the
QSO X-ray emission mechanism. We discuss some further implications.
","[{""version"":""v1"",""created"":""Fri, 20 Sep 1996 15:47:20 GMT""}]","2016-08-30"
"chao-dyn/9609014","Alexander Altland","Alexander Altland and Martin R. Zirnbauer","Field theory of the quantum kicked rotor","Some changes in connection with the discussion of the rotor's
  localization length have been made (cf. last paragraph)","Phys.Rev.Lett.77:4536,1996","10.1103/PhysRevLett.77.4536",,"chao-dyn cond-mat nlin.CD",,"  The quantum kicked rotor is investigated by field theoretical methods. It is
shown that the effective theory describing the long wave length physics of the
system is precisely the supersymmetric nonlinear sigma-model for quasi
one-dimensional metallic wires. This proves that the analogy between chaotic
systems with dynamical localization and disordered metals can indeed be exact.
The role of symmetries is discussed.
","[{""version"":""v1"",""created"":""Fri, 20 Sep 1996 12:57:18 GMT""},{""version"":""v2"",""created"":""Sun, 8 Dec 1996 12:15:20 GMT""}]","2010-11-19"
"comp-gas/9609003","Sauro Succi","S. Succi(1), G. Bella(2), F. Papetti(3) ((1) Istituto Applicazioni
  Calcolo Roma, Italy (2) Dip. Ingegneria Meccanica Roma, Italy (3) IBM STSS
  Roma, Italy)","Lattice kinetic theory for numerical combustion",,,,,"comp-gas nlin.CG",,"  A simple extension of the Lattice Boltzmann equation is proposed, which
permits to handle reactive flow dynamics in the limit of fast chemistry at
virtually no extra-cost with respect to the purely hydrodynamic scheme.
","[{""version"":""v1"",""created"":""Fri, 20 Sep 1996 09:00:49 GMT""}]","2008-02-03"
"cond-mat/9609183","Ara Sedrakyan","A.Avakyan, T.Hakobyan, A.Sedrakyan","Family of Affine Quantum Group Invariant Integrable Extensions of
  Hubbard Hamiltonian","22 pages, LaTeX file, no figures, minor corrections have been made;
  Nucl. Phys. B [FS] in press","Nucl. Phys. B, 490 (1997) 633-652","10.1016/S0550-3213(97)00067-9","YerPhI-1476(13)-96","cond-mat",,"  We construct the family of spin chain Hamiltonians, which have affine quantum
group symmetry. Their eigenvalues coincide with the eigenvalues of the usual
spin chain Hamiltonians, but have the degeneracy of levels, corresponding to
affine quantum group. The space of states of these spin chains is formed by the
tensor product of fully reducible representations of quantum group. The
fermionic representations of constructed spin chain Hamiltonians show that we
have new extensions of Hubbard Hamiltonians. All of them are integrable and
have affine quantum group symmetry. The exact ground state of a such type model
is presented, exhibiting superconducting behavior via eta-pairing mechanism.
","[{""version"":""v1"",""created"":""Thu, 19 Sep 1996 16:33:01 GMT""},{""version"":""v2"",""created"":""Sun, 9 Feb 1997 18:24:18 GMT""}]","2008-02-03"
"cond-mat/9609189","Zhao Yang","Yang Zhao, David W. Brown, and Katja Lindenberg","A Variational Approach to Nonlocal Exciton-Phonon Coupling","33 pages, 11 figures",,"10.1063/1.473793","EFI-96-31","cond-mat chem-ph mtrl-th",,"  In this paper we apply variational energy band theory to a form of the
Holstein Hamiltonian in which the influence of lattice vibrations (optical
phonons) on both local site energies (local coupling) and transfers of
electronic excitations between neighboring sites (nonlocal coupling) is taken
into account. A flexible spanning set of orthonormal eigenfunctions of the
joint exciton-phonon crystal momentum is used to arrive at a variational
estimate (bound) of the ground state energy for every value of the joint
crystal momentum, yielding a variational estimate of the lowest polaron energy
band across the entire Brillouin zone, as well as the complete set of polaron
Bloch functions associated with this band. The variation is implemented
numerically, avoiding restrictive assumptions that have limited the scope of
previous assaults on the same and similar problems. Polaron energy bands and
the structure of the associated Bloch states are studied at general points in
the three-dimensional parameter space of the model Hamiltonian (electronic
tunneling, local coupling, nonlocal coupling), though our principal emphasis
lay in under-studied area of nonlocal coupling and its interplay with
electronic tunneling; a phase diagram summarizing the latter is presented. The
common notion of a ""self-trapping transition"" is addressed and generalized.
","[{""version"":""v1"",""created"":""Thu, 19 Sep 1996 16:33:43 GMT""}]","2009-10-28"
"cond-mat/9609190","Daniel Mason","Joshua Feinberg and A. Zee (Institute for Theoretical Physics,
  University of California, Santa Barbara)","Renormalizing Rectangles and Other Topics in Random Matrix Theory","LateX, 34 pages, 3 ps figures",,"10.1007/BF02181233","NSF-ITP-96-68","cond-mat hep-th",,"  We consider random Hermitian matrices made of complex or real $M\times N$
rectangular blocks, where the blocks are drawn from various ensembles. These
matrices have $N$ pairs of opposite real nonvanishing eigenvalues, as well as
$M-N$ zero eigenvalues (for $M>N$.) These zero eigenvalues are ``kinematical""
in the sense that they are independent of randomness. We study the eigenvalue
distribution of these matrices to leading order in the large $N,M$ limit, in
which the ``rectangularity"" $r={M\over N}$ is held fixed. We apply a variety of
methods in our study. We study Gaussian ensembles by a simple diagrammatic
method, by the Dyson gas approach, and by a generalization of the Kazakov
method. These methods make use of the invariance of such ensembles under the
action of symmetry groups. The more complicated Wigner ensemble, which does not
enjoy such symmetry properties, is studied by large $N$ renormalization
techniques. In addition to the kinematical $\delta$-function spike in the
eigenvalue density which corresponds to zero eigenvalues, we find for both
types of ensembles that if $|r-1|$ is held fixed as $N\rightarrow\infty$, the
$N$ non-zero eigenvalues give rise to two separated lobes that are located
symmetrically with respect to the origin. This separation arises because the
non-zero eigenvalues are repelled macroscopically from the origin. Finally, we
study the oscillatory behavior of the eigenvalue distribution near the
endpoints of the lobes, a behavior governed by Airy functions. As $r\rightarrow
1$ the lobes come closer, and the Airy oscillatory behavior near the endpoints
that are close to zero breaks down. We interpret this breakdown as a signal
that $r\rightarrow 1$ drives a cross over to the oscillation governed by Bessel
functions near the origin for matrices made of square blocks.
","[{""version"":""v1"",""created"":""Thu, 19 Sep 1996 17:37:48 GMT""},{""version"":""v2"",""created"":""Fri, 20 Sep 1996 00:13:53 GMT""}]","2009-10-28"
"cond-mat/9609191","Kevin Bassler","K. E. Bassler and D. A. Browne","Nonequilibrium Critical Dynamics of a Three Species Monomer-Monomer
  Model","4 pages RevTex. 4 eps figures included with psfig.sty. Uses
  multicol.sty. Accepted for publication in PRL",,"10.1103/PhysRevLett.77.4094",,"cond-mat",,"  We study a three species monomer-monomer catalytic surface reaction model
with a reactive steady state bordered by three equivalent unreactive phases
where the surface is saturated with one species. The transition from the
reactive to a saturated phase shows directed percolation critical behavior.
Each pair of these reactive-saturated phase boundaries join at a bicritical
point where the universal behavior is in the even branching annihilating random
walk class. We find the crossover exponent from bicritical to critical behavior
and a new exponent associated with the bicritical interface dynamics.
","[{""version"":""v1"",""created"":""Thu, 19 Sep 1996 17:52:24 GMT""}]","2009-10-28"
"cond-mat/9609192","Sidney Redner","L. Frachebourg, P. L. Krapivsky, S. Redner (Boston University)","Aging and its Distribution in Coarsening Processes","7 pages, RevTeX, 4 ps files included, to be submitted to Phys. Rev. E","Phys. Rev. E 55, 6684 (1997).","10.1103/PhysRevE.55.6684",,"cond-mat",,"  We investigate the age distribution function P(tau,t) in prototypical
one-dimensional coarsening processes. Here P(tau,t) is the probability density
that in a time interval (0,t) a given site was last crossed by an interface in
the coarsening process at time tau. We determine P(tau,t) analytically for two
cases, the (deterministic) two-velocity ballistic annihilation process, and the
(stochastic) infinite-state Potts model with zero temperature Glauber dynamics.
Surprisingly, we find that in the scaling limit, P(tau,t) is identical for
these two models. We also show that the average age, i. e., the average time
since a site was last visited by an interface, grows linearly with the
observation time t. This latter property is also found in the one-dimensional
Ising model with zero temperature Glauber dynamics. We also discuss briefly the
age distribution in dimension d greater than or equal to 2.
","[{""version"":""v1"",""created"":""Thu, 19 Sep 1996 19:07:17 GMT""}]","2009-10-28"
"cond-mat/9609193","Eduardo Miranda","E. Miranda, V. Dobrosavljevic and G. Kotliar","Disorder-driven non-Fermi liquid behavior in Kondo alloys","4 pages, RevTeX, 3 eps figures included","Phys. Rev. Lett. 78, 290 (1997).","10.1103/PhysRevLett.78.290",,"cond-mat",,"  We demonstrate that a model of disordered Anderson lattices can account for
many non-Fermi liquid features observed in a number of Kondo alloys. Due to the
exponential nature of the Kondo temperature scale, even moderate disorder leads
to a rather broad distribution of Kondo temperatures, inducing strong effective
disorder seen by the conduction electrons. Spins with very small Kondo
temperatures remain unquenched and dominate the low temperature properties. The
model predicts logarithmic divergences in thermodynamic quantities at low
temperatures. We also find a linear temperature dependence of the resistivity,
a feature that remained a stumbling block in previous theoretical attempts. We
argue that for realistic amounts of disorder, such marginal Fermi liquid
behavior is a very robust feature of disordered Kondo alloys.
","[{""version"":""v1"",""created"":""Thu, 19 Sep 1996 20:50:07 GMT""}]","2007-05-23"
"cond-mat/9609194","Marcelo Jaime","M. Jaime (1), H. T. Hardner (1), M.B. Salamon (1), M. Rubinstein (2),
  P. Dorsey (2), D. Emin (3) ((1) University of Illinois at Urbana-Champaign,
  (2) U.S. Naval Res. Lab, (3) Sandia Natl. Lab)","Hall-Effect Sign Anomaly and Small-Polaronic Conduction in
  (La_{1-x}Gd_x)_{0.67}Ca_{0.33}MnO_3","11 pages, 4 figures, uses revtex.sty",,"10.1103/PhysRevLett.78.951",,"cond-mat",,"  The Hall coefficient of Gd-doped La_{2/3}Ca_{1/3}MnO_3 exhibits Arrhenius
behavior over a temperature range from 2T_c to 4T_c, with an activation energy
very close to 2/3 that of the electrical conductivity. Although both the doping
level and thermoelectric coefficient indicate hole-like conduction, the Hall
coefficient is electron-like. This unusual result provides strong evidence in
favor of small-polaronic conduction in the paramagnetic regime of the
manganites.
","[{""version"":""v1"",""created"":""Thu, 19 Sep 1996 22:24:15 GMT""}]","2009-10-28"
"cond-mat/9609195",,"Ross H. McKenzie (University of New South Wales, Sydney, Australia)","Exact results for quantum phase transitions in random XY spin chains","5 pages, RevTeX + epsf, 2 figures.","Phys. Rev. Lett. 77, 4804 (1996)","10.1103/PhysRevLett.77.4804","QE2-96-03","cond-mat",,"  The effect of disorder on the quantum phase transitions induced by a
transverse field, anisotropy, and dimerization in XY spin chains is
investigated. The low-energy behavior near the critical point is described by a
Dirac-type equation with a random mass for which an exact analytic treatment is
possible. Results obtained for the dynamical critical exponent, the specific
heat, and transverse susceptibility agree with results recently obtained using
a real space renormalization group decimation technique, supporting Fisher's
claim that it is exact. A non-zero transverse field changes the universality
class of the anisotropy transition.
","[{""version"":""v1"",""created"":""Fri, 20 Sep 1996 00:02:56 GMT""}]","2009-10-28"
"cond-mat/9609196","Daniel Olguin","D. Olguin and R. Baquero (Depto. de Fisica, CINVESTAV-IPN, Mexico)","Electronic structure of the valence band of the II--VI wide band gap
  binary/ternary alloy interfaces","17 pages in RevTex, four PostScript figures. also available at
  http://www.fis.cinvestav.mx/~daniel/PUBS/pub10.uu or request to
  daniel@fis.cinvestav.mx",,,"CIEA-Phys. 05/96","cond-mat",,"  We present an electronic structure calculation of the valence band for some
II--VI binary/ternary alloy interfaces. We use the empirical tight-binding
method and the surface Green's function matching method. For the ternary alloys
we use our previously set Hamiltonians they describe well the band gap change
with composition obtained experimentally. At the interface domain, we find
three non-dispersive and two interface states besides the known bulk bands. The
non-dispersive states are reminiscent of the ones already obtained
experimentally as well as theoretically, in (001)-oriented surfaces. We make
use of the available theoretical calculations for the (001)-oriented surfaces
of the binary compounds and for the binary/binary interfaces to compare our new
results with.
","[{""version"":""v1"",""created"":""Fri, 20 Sep 1996 01:54:03 GMT""}]","2016-08-31"
