"acc-phys/9609003","Gayane A. Amatuni","A. Amatuni","Selfacceleration of Electrons in One-dimensional Bunches, Moving in Cold
  Plasma","14 pages,latex",,,,"acc-phys physics.acc-ph",,"  Nonlinear dynamics of the one-dimensional ultrarelativistic bunch of
electrons,moving in cold plasma,is considered in multiple scales perturbative
approach. A square root of the inverse Lorentz factor of the bunch electrons is
taken as a small parameter. Bunch electrons momenta is changed in the first
approximation.In the underdense plasma and for the model example of the
combined bunch the selfacceleration of the bunch electrons can be remarkable.
","[{""version"":""v1"",""created"":""Tue, 10 Sep 1996 11:31:14 GMT""}]","2008-02-03"
"cond-mat/9609084","Fu-Chun Zhang","K.K. Ng, F.C. Zhang, V.I. Anisimov, and T. M. Rice","Electronic Structure of Lanthanum Hydrides with Switchable Optical
  Properties","plain tex, 3 figures",,"10.1103/PhysRevLett.78.1311",,"cond-mat",,"  Recent dramatic changes in the optical properties of LaH_{2+x} and YH_{2+x}
films discovered by Huiberts et al. suggest their electronic structure is
described best by a local model. Electron correlation is important in H^-
-centers and in explaining the transparent insulating behavior of LaH_3. The
metal-insulator transition at $x\sim 0.8$ takes place in a band of highly
localized states centered on the $H$-vacancies in the LaH_3 structure.
","[{""version"":""v1"",""created"":""Mon, 9 Sep 1996 18:36:42 GMT""}]","2016-08-31"
"cond-mat/9609085","Deniz Ertas","Deniz Ertas (Harvard University) and Yacov Kantor (Tel-Aviv
  University)","Statistics of Largest Loops in a Random Walk","5 pages and 4 eps figures, requires RevTeX, epsf and multicol.
  Postscript file also available at
  http://cmtw.harvard.edu/~deniz/publications.html","Phys. Rev. E55, 261-265 (1997)","10.1103/PhysRevE.55.261",,"cond-mat",,"  We report further findings on the size distribution of the largest neutral
segments in a sequence of N randomly charged monomers [D. Ertas and Y. Kantor,
Phys. Rev. E53, 846 (1996); cond-mat/9507005]. Upon mapping to one--dimensional
random walks (RWs), this corresponds to finding the probability distribution
for the size L of the largest segment that returns to its starting position in
an N--step RW. We primarily focus on the large N, \ell = L/N << 1 limit, which
exhibits an essential singularity. We establish analytical upper and lower
bounds on the probability distribution, and numerically probe the distribution
down to \ell \approx 0.04 (corresponding to probabilities as low as 10^{-15})
using a recursive Monte Carlo algorithm. We also investigate the possibility of
singularities at \ell=1/k for integer k.
","[{""version"":""v1"",""created"":""Mon, 9 Sep 1996 19:23:44 GMT""}]","2009-10-28"
"cond-mat/9609086","Scott Sides","S.W. Sides, R.A. Ramos, P.A. Rikvold, and M.A. Novotny","Kinetic Ising System in an Oscillating External Field: Stochastic
  Resonance and Residence-Time Distributions","Includes updated results for Fig.2 and minor text revisions to the
  abstract and text for clarity","J. Appl. Phys. Vol. 81, No. 8 15 April 1997","10.1063/1.364611","FSU-SCRI-96C-98","cond-mat",,"  Experimental, analytical, and numerical results suggest that the mechanism by
which a uniaxial single-domain ferromagnet switches after sudden field reversal
depends on the field magnitude and the system size. Here we report new results
on how these distinct decay mechanisms influence hysteresis in a
two-dimensional nearest-neighbor kinetic Ising model. We present theoretical
predictions supported by numerical simulations for the frequency dependence of
the probability distributions for the hysteresis-loop area and the
period-averaged magnetization, and for the residence-time distributions. The
latter suggest evidence of stochastic resonance for small systems in moderately
weak oscillating fields.
","[{""version"":""v1"",""created"":""Mon, 9 Sep 1996 18:59:45 GMT""},{""version"":""v2"",""created"":""Thu, 23 Oct 1997 22:48:19 GMT""}]","2009-10-28"
"cond-mat/9609087","L. Amaral","Luis A. Nunes Amaral and Joachim Krug","Impurity-induced diffusion bias in epitaxial growth","5 pages(with the 5 figures), latex, revtex3.0, epsf, rotate, multicol",,"10.1103/PhysRevE.55.7785",,"cond-mat",,"  We introduce two models for the action of impurities in epitaxial growth. In
the first, the interaction between the diffusing adatoms and the impurities is
``barrier''-like and, in the second, it is ``trap''-like. For the barrier
model, we find a symmetry breaking effect that leads to an overall down-hill
current. As expected, such a current produces Edwards-Wilkinson scaling. For
the trap model, no symmetry breaking occurs and the scaling behavior appears to
be of the conserved-KPZ type.
","[{""version"":""v1"",""created"":""Mon, 9 Sep 1996 19:47:31 GMT""}]","2009-10-28"
"cond-mat/9609088","Pierre-Antoine Rey","Pierre-Antoine Rey and Michel Droz (university of Geneva)","A renormalization group study of a class of reaction-diffusion model,
  with particles input","Ten pages, using Latex and IOP macro. Two latex figures. Submitted to
  Journal of Physics A. Also available at
  http://mykonos.unige.ch/~rey/publi.html","J. Phys. A: Math. Gen. 30, 1101 (1997)","10.1088/0305-4470/30/4/013","UGVA-DPT 1996/08-936","cond-mat",,"  We study a class of reaction-diffusion model extrapolating continuously
between the pure coagulation-diffusion case ($A+A\to A$) and the pure
annihilation-diffusion one ($A+A\to\emptyset$) with particles input
($\emptyset\to A$) at a rate $J$. For dimension $d\leq 2$, the dynamics
strongly depends on the fluctuations while, for $d >2$, the behaviour is
mean-field like. The models are mapped onto a field theory which properties are
studied in a renormalization group approach. Simple relations are found between
the time-dependent correlation functions of the different models of the class.
For the pure coagulation-diffusion model the time-dependent density is found to
be of the form $c(t,J,D) = (J/D)^{1/\delta}{\cal F}[(J/D)^{\Delta} Dt]$, where
$D$ is the diffusion constant. The critical exponent $\delta$ and $\Delta$ are
computed to all orders in $\epsilon=2-d$, where $d$ is the dimension of the
system, while the scaling function $\cal F$ is computed to second order in
$\epsilon$. For the one-dimensional case an exact analytical solution is
provided which predictions are compared with the results of the renormalization
group approach for $\epsilon=1$.
","[{""version"":""v1"",""created"":""Tue, 10 Sep 1996 07:48:51 GMT""}]","2016-08-31"
"cond-mat/9609089","Florian Gebhard","F. Gebhard (ILL Grenoble, France), K. Bott, M. Scheidler, P. Thomas,
  and S. W. Koch (Philipps University Marburg, Germany)","Optical absorption of non-interacting tight-binding electrons in a
  Peierls-distorted chain at half band-filling","17 pages REVTEX 3.0, 2 postscript figures; hardcopy versions before
  May 96 are obsolete; accepted for publication in The Philosophical Magazine B","Phil. Mag. B 75, pp. 1-12 (1997)","10.1080/13642819708205700","ILL preprint 95GE5096","cond-mat chem-ph",,"  In this first of three articles on the optical absorption of electrons in
half-filled Peierls-distorted chains we present analytical results for
non-interacting tight-binding electrons. We carefully derive explicit
expressions for the current operator, the dipole transition matrix elements,
and the optical absorption for electrons with a cosine dispersion relation of
band width $W$ and dimerization parameter $\delta$. New correction
(``$\eta$''-)terms to the current operator are identified. A broad band-to-band
transition is found in the frequency range $W\delta < \omega < W$ whose shape
is determined by the joint density of states for the upper and lower Peierls
subbands and the strong momentum dependence of the transition matrix elements.
","[{""version"":""v1"",""created"":""Tue, 10 Sep 1996 13:52:54 GMT""}]","2015-06-25"
"cond-mat/9609090","Florian Gebhard","F. Gebhard (ILL Grenoble, France), K. Bott, M. Scheidler, P. Thomas,
  and S. W. Koch (Philipps University Marburg, Germany)","Exact results for the optical absorption of strongly correlated
  electrons in a half-filled Peierls-distorted chain","50 pages REVTEX 3.0, 6 postscript figures; hardcopy versions before
  May 96 are obsolete; accepted for publication in The Philosophical Magazine B","Phil. Mag. B 75, pp. 13-46 (1997)","10.1080/13642819708205701","ILL preprint 95GE5097","cond-mat chem-ph",,"  In this second of three articles on the optical absorption of electrons in a
half-filled Peierls-distorted chain we present exact results for strongly
correlated tight-binding electrons. In the limit of a strong on-site
interaction $U$ we map the Hubbard model onto the Harris-Lange model which can
be solved exactly in one dimension in terms of spinless fermions for the charge
excitations. The exact solution allows for an interpretation of the charge
dynamics in terms of parallel Hubbard bands with a free-electron dispersion of
band-width $W$, separated by the Hubbard interaction $U$. The spin degrees of
freedom enter the expressions for the optical absorption only via a momentum
dependent but static ground state expectation value. The remaining spin problem
can be traced out exactly since the eigenstates of the Harris-Lange model are
spin-degenerate. This corresponds to the Hubbard model at temperatures large
compared to the spin exchange energy. Explicit results are given for the
optical absorption in the presence of a lattice distortion $\delta$ and a
nearest-neighbor interaction $V$. We find that the optical absorption for $V=0$
is dominated by a peak at $\omega=U$ and broad but weak absorption bands for $|
\omega -U | \leq W$. For an appreciable nearest-neighbor interaction, $V>W/2$,
almost all spectral weight is transferred to Simpson's exciton band which is
eventually Peierls-split.
","[{""version"":""v1"",""created"":""Tue, 10 Sep 1996 14:05:44 GMT""}]","2015-06-25"
"cond-mat/9609091","Florian Gebhard","F. Gebhard (ILL Grenoble, France), K. Bott, M. Scheidler, P. Thomas,
  and S. W. Koch (Philipps University Marburg, Germany)","Optical absorption of strongly correlated half-filled Mott-Hubbard
  chains","29 pages REVTEX 3.0, 5 postscript figures; hardcopy versions before
  May 96 are obsolete; accepted for publication in The Philosophical Magazine B","Phil. Mag. B 75, pp. 47-65 (1997)","10.1080/13642819708205702","ILL preprint 95GE5098","cond-mat chem-ph",,"  In this last of three articles on the optical absorption of electrons in a
half-filled Peierls-distorted chain we address the dimerized extended Hubbard
model in the limit of a large on-site interaction $U$. When the Hubbard
interaction is large both compared to the band width $W$ and the nearest
neighbor interaction $V$ the charge dynamics is properly described by the
Harris-Lange model. This model can be exactly mapped onto a model of free
spinless Fermions in parallel (Hubbard-)bands of width $W$ which are eventually
Peierls-split. To determine the coherent absorption features at low
temperatures we design and employ the ``no-recoil approximation'' in which we
assume that the momentum transfer to the spin degrees of freedom can only be
$\Delta q_S=0$ or $\Delta q_S=\pi/a$ during an optical excitation. We present
explicit analytical results for the optical absorption in the presence of a
lattice dimerization $\delta$ and a nearest-neighbor interaction $V$ for the
N\'{e}el and dimer state. We find that the coherent part of the optical
absorption for $V=0$ is given by a single peak at $\omega=U$ and broad but weak
absorption bands for $W\delta\leq |\omega-U| \leq W$. The central peak at
$\omega=U$ only vanishes for $\delta=0$ in the N\'{e}el state. For an
appreciable nearest neighbor interaction $V>W/2$ almost all spectral weight is
transferred to the $\Delta q_C=0$-exciton and the $\Delta q_C=\pi/a$-exciton
whose relative spectral weights very sensitively depend on both the lattice and
the spin dimerization of the ground state.
","[{""version"":""v1"",""created"":""Tue, 10 Sep 1996 14:06:57 GMT""}]","2015-06-25"
"cond-mat/9609092","Taco Portengen","T. Portengen (University of Oxford), Th. Ostreich (Universitat
  Gottingen), L.J. Sham (University of California, San Diego)","Theory of Electronic Ferroelectricity","15 pages, 5 PostScript figures, submitted to Physical Review B","Phys. Rev. B 54 (1996) 17452","10.1103/PhysRevB.54.17452",,"cond-mat",,"  We present a theory of the linear and nonlinear optical characteristics of
the insulating phase of the Falicov-Kimball model within the self-consistent
mean-field approximation. The Coulomb attraction between the itinerant
d-electrons and the localized f-holes gives rise to a built-in coherence
between the d and f-states, which breaks the inversion symmetry of the
underlying crystal, leading to: (1) electronic ferroelectricity, (2)
ferroelectric resonance, and (3) a nonvanishing susceptibility for
second-harmonic generation. As experimental tests of such a built-in coherence
in mixed-valent compounds we propose measurements of the static dielectric
constant, the microwave absorption spectrum, and the dynamic second-order
susceptibility.
","[{""version"":""v1"",""created"":""Tue, 10 Sep 1996 15:23:54 GMT""}]","2009-10-28"
"cond-mat/9609093",,"Andrei Manolescu (IFTM-Bucharest) and Rolf R. Gerhardts
  (MPI-Stuttgart)","Coulomb Effects on the Magnetoconductance of a Two-Dimensional Electron
  Gas in a Lateral Superlattice: A Screened Hartree-Fock Calculation","5 pages, sprocl.sty included, presented at 12-th HMFSP, Wuerzburg
  (1996)",,,,"cond-mat",,"  We calculate the magnetoconductivity tensor of a 2D electron gas in a 1D
periodic potential and quantising magnetic fields. We study the internal
structure of the Shubnikov-de Haas peaks and analyse recent experimental
results. The electron-electron interaction is accounted for within a screened
Hartree-Fock approximation (HFA), which describes both compressible strips and
an exchange-enhanced spin splitting, unlike the Hartree and the standard HFA.
","[{""version"":""v1"",""created"":""Tue, 10 Sep 1996 13:20:20 GMT""}]","2007-05-23"
"cond-mat/9609094","Frank Wilczek","Chetan Nayak and Frank Wilczek","Populated Domain Walls","Minor Corrections, References added, Phyzzx, 10 pgs",,"10.1103/PhysRevLett.78.2465","IASSNS-HEP 96-93","cond-mat hep-th",,"  Several experiments suggest that the charge carriers in the normal state of
certain cuprate superconductors reside on domain walls. In an earlier paper, we
suggested that several aspects of the anomalous dynamical behavior of these
materials could be explained, at least qualitatively, on this basis. Here,
using results on the ground state energy of the 1-dimensional Hubbard model
(soluble by Bethe ansatz techniques) as a function of charge density, we argue
that a non-zero charge density localized to domain walls is a very plausible
consequence of strong short-range electron-electron repulsion. We also suggest
a method to suppress meandering of the walls, and thereby enhance their
signature in neutron diffraction.
","[{""version"":""v1"",""created"":""Tue, 10 Sep 1996 14:50:38 GMT""},{""version"":""v2"",""created"":""Mon, 2 Dec 1996 17:12:04 GMT""}]","2009-10-28"
"gr-qc/9609024","Hideki Asada","Hideki Asada and Masaru Shibata","Formulation for nonaxisymmetric uniformly rotating equilibrium
  configurations in the second post-Newtonian approximation of general
  relativity","25 pages including 3 tables, REVTeX, 1 postscript figure included; to
  appear in Physical Review D","Phys.Rev. D54 (1996) 4944-4954","10.1103/PhysRevD.54.4944",,"gr-qc astro-ph",,"  We present a formalism to obtain equilibrium configurations of uniformly
rotating fluid in the second post-Newtonian approximation of general
relativity. In our formalism, we need to solve 29 Poisson equations, but their
source terms decrease rapidly enough at the external region of the matter(i.e.,
at worst $O(r^{-4})$). Hence these Poisson equations can be solved accurately
as the boundary value problem using standard numerical methods.This formalism
will be useful to obtain nonaxisymmetric uniformly rotating equilibrium
configurations such as synchronized binary neutron stars just before merging
and the Jacobi ellipsoid.
","[{""version"":""v1"",""created"":""Tue, 10 Sep 1996 08:14:42 GMT""}]","2009-10-28"
"gr-qc/9609025","George Emanuel Avraam Matsas","A. Higuchi, G.E.A. Matsas and D. Sudarsky","Do static sources outside a Schwarzschild black hole radiate?","13 pages","Phys.Rev.D56:6071-6075,1997","10.1103/PhysRevD.56.6071",,"gr-qc",,"  We show that static sources coupled to a massless scalar field in
Schwarzschild spacetime give rise to emission and absorption of zero-energy
particles due to the presence of Hawking radiation. This is in complete analogy
with the description of the bremsstrahlung by a uniformly accelerated charge
from the coaccelerated observers' point of view. The response rate of the
source is found to coincide with that in Minkowski spacetime as a function of
its proper acceleration. This result may be viewed as restoration of the
equivalence principle by the Hawking effect.
","[{""version"":""v1"",""created"":""Tue, 10 Sep 1996 12:56:40 GMT""},{""version"":""v2"",""created"":""Tue, 8 Oct 1996 21:26:21 GMT""}]","2009-12-30"
