"alg-geom/9603010","Gritsenko","Valeri A. Gritsenko and Viacheslav V. Nikulin","The Igusa modular forms and ``the simplest'' Lorentzian Kac--Moody
  algebras","40 pages, no figures. AMS-TeX",,"10.1070/SM1996v187n11ABEH000171",,"alg-geom hep-th math.AG math.QA q-alg",,"  We find automorphic corrections for the Lorentzian Kac--Moody algebras with
the simplest generalized Cartan matrices of rank 3:
  A_{1,0} =
  2 0 -1
  0 2 -2
  -1 -2 2
  and
  A_{1,I} =
  2 -2 -1
  -2 2 -1
  -1 -1 2
  For A_{1,0} this correction is given by the Igusa Sp_4(Z)-modular form
\chi_{35} of weight 35, and for A_{1,I} by a Siege modular form of weight 30
with respect to a 2-congruence subgroup. We find infinite product or sum
expansions for these forms. Our method of construction of \chi_{35} leads to
the direct construction of Siegel modular forms by infinite product expansions,
whose divisors are the Humbert surfaces with fixed discriminants. Existence of
these forms was proved by van der Geer in 1982 using some geometrical
consideration. We announce a list of all hyperbolic symmetric generalized
Cartan matrices A of rank 3 such that A has elliptic or parabolic type, A has a
lattice Weyl vector, and A contains the affine submatrix \tilde{A}_1.
","[{""version"":""v1"",""created"":""Wed, 13 Mar 1996 21:34:45 GMT""}]","2015-06-24"
"astro-ph/9603061","Paolo Padoan","Paolo Padoan, Bernard J. T. Jones & AAke Nordlund","Supersonic turbulence in the ISM: stellar extinction determinations as
  probes of the structure and dynamics of dark clouds",,,"10.1086/303482",,"astro-ph",,"  Lada et al. (1994) have described a method for studying the distribution of
dust in dark clouds using infrared imaging surveys. In particular they show
that the method provides some information about the structure of the gas (dust)
on scales smaller than their resolution.
  In the present work we clarify the nature of the information provided by
their method.
  We show that:
  1) the 3D density field of the gas is well described by a Log-Normal
distribution down to very small scales;
  2) the power spectrum and the standard deviation of the 3D density field can
be constrained;
  3) the origin of such a structure of the density field is likely to be the
supersonic turbulence in the gas.
  In fact we find a qualitative and quantitative agreement between the
predictions based on recent numerical simulations of supersonic turbulence
(Nordlund and Padoan 1996; Padoan, Nordlund and Jones 1996) and the constraints
given by the infrared dust extinction measurements.
","[{""version"":""v1"",""created"":""Thu, 14 Mar 1996 02:10:38 GMT""}]","2009-10-28"
"astro-ph/9603062","Mauro Giavalisco","Mauro Giavalisco (OCIW), Charles C. Steidel (Caltech), F. Duccio
  Macchetto (ST ScI)","Hubble Space Telescope Imaging of Star-Forming Galaxies at Redshifts z>3","15 pages; The Astrophysical Journal","Astrophys.J. 470 (1996) 189","10.1086/177859",,"astro-ph",,"  We present HST images of star-forming galaxies at redshifts z>3. These
galaxies have been color selected for having a Lyman discontinuity in the
otherwise flat (in f_\nu units) UV spectra of unreddened star formation. The
spectroscopic confirmation of these z>3 galaxies is reported in a companion
paper (Steidel et al. 1996). The HST images probe the rest-frame UV at
1400--1900 Ang and show that the morphologies of the z>3 galaxies are generally
compact, although we find a few cases of more diffuse light profiles and
objects comprised of multiple compact structures. Overall, the dispersion of
morphologies is relatively narrow, in contrast to the variety found in
star-forming galaxies at intermediate redshifts (z~1). The galaxies with
compact morphology are typically characterized by a small but resolved
``core'', approximately <0.7 arcsec in radius, or about 5 h_50 (8.5 h_50) kpc
with q_0=0.5 (0.05), and half-light radii of 0.2--0.3 arcsec, or 1.4--2.1 h_50
(2.4--3.6 h_50) kpc. These sizes and scale lengths are similar to those of
present-day bulges or intermediate-luminosity spheroids. The ``cores'' are
often surrounded by lower surface-brightness nebulosities, generally
asymmetrically distributed. The minority of more diffuse galaxies do not
possess this core, and an exponential function provides a very good fit to
their light profiles. In contrast to highly elongated or irregular structures,
such as ``chain galaxies'', that are found at $z \sim 1$, the z>3 galaxies are
characterized by a relatively high degree of spherical symmetry. Morphology,
space density, star-formation rates, masses, and epoch of the star-formation
phase all support the hypothesis that we have identified the progenitors of
present-day luminous galaxies at the epoch when they were forming the stars of
","[{""version"":""v1"",""created"":""Thu, 14 Mar 1996 03:05:43 GMT""}]","2009-10-28"
"astro-ph/9603063","Marijn Franx","Pieter van Dokkum and Marijn Franx","The Fundamenal Plane in CL0024 at z=0.4: Implications for the Evolution
  of the Mass-to-Light Ratio","18 pages, uuencoded compressed postscript file. Accepted for
  publication in Monthly Notices, March 1996. Figure 3 available at
  ftp://kapteyn.astro.rug.nl/preprints/200.fig3.ps.gz",,"10.1093/mnras/281.3.985",,"astro-ph",,"  We present results on the Fundamental Plane of early-type galaxies in the
rich cluster CL 0024+16 at z=0.391. The galaxies satisfy a tight Fundamental
Plane relation which is similar to that at low redshift. The scatter is 15 % in
log re. The data show that massive early-type galaxies existed at z=0.4.
  The evolution of the M/L ratio is derived from the Fundamental Plane, by a
comparison with Coma. The M/L ratio increases by 31 +- 12 % between z=0.391,
and z=0.023. The evolution is low when compared to models for stellar
populations. The expected evolution depends on the IMF, q0, and the formation
redshift of the galaxies. The data are in agreement with high formation
redshifts. The most serious bias in the modeling may be the progenitor bias: if
the progenitors of some current day early-types are spirals at z=0.4, they
would not be included in the sample, and the sample would be biased towards the
oldest galaxies.
  More data are needed to measure the evolution of the Fundamental Plane more
precisely, and its scatter. There is a hint that the form of the Fundamental
Plane changes with redshift, and this needs to be determined better.
","[{""version"":""v1"",""created"":""Thu, 14 Mar 1996 13:34:12 GMT""}]","2015-06-24"
"astro-ph/9603064","Joao Magueijo","M.P.Hobson (MRAO, University of Cambridge), Joao Magueijo (DAMTP,
  MRAO, University of Cambridge)","Observability of secondary Doppler peaks in the CMBR power spectrum by
  experiments with small fields","uuencoded file with 16 figures, using mn style file",,"10.1093/mnras/283.4.1133","DAMTP-96-01","astro-ph",,"  We investigate the effects of finite sky coverage on the spectral resolution
$\Delta\ell$ in the estimation of the CMBR angular power spectrum $C^{\ell}$. A
method is developed for obtaining quasi-independent estimates of the power
spectrum, and the cosmic/sample variance of these estimates is calculated. The
effect of instrumental noise is also considered for prototype interferometer
and single-dish experiments. By proposing a statistic for the detection of
secondary (Doppler) peaks in the CMBR power spectrum, we then compute the
significance level at which such peaks may be detected for a large range of
model CMBR experiments. In particular, we investigate experimental design
features required to distinguish between competing cosmological theories, such
as cosmic strings and inflation, by establishing whether or not secondary peaks
are present in the CMBR power spectrum.
","[{""version"":""v1"",""created"":""Thu, 14 Mar 1996 15:45:45 GMT""}]","2015-06-24"
"chem-ph/9603002","Roelof Bijker","A. Frank, R. Lemus, R. Bijker, F. Perez-Bernal and J.M. Arias
  (ICN/UNAM and University of Sevilla)","A Symmetry Adapted Approach to Molecular Spectroscopy: The Anharmonic
  Oscillator Symmetry Model","12 pages, invited talk at XIX Oaxtepec Symposium on Nuclear Physics,
  January 1996","Rev. Mex. Fis. 42, Suplemento 1 (1996) 73",,,"chem-ph physics.chem-ph",,"  We apply the Anharmonic Oscillator Symmetry Model to the description of
vibrational excitations in ${\cal D}_{3h}$ and ${\cal T}_d$ molecules. A
systematic procedure can be used to establish the relation between the
algebraic and configuration space formulations, by means of which new
interactions are found in the algebraic model, leading to reliable
spectroscopic predictions. We illustrate the method for the case of ${\cal
D}_{3h}$-triatomic molecules and the ${\cal T}_d$ Be-cluster.
","[{""version"":""v1"",""created"":""Wed, 13 Mar 1996 21:14:06 GMT""}]","2008-02-03"
"chem-ph/9603003","Roelof Bijker","F. Perez-Bernal, R. Bijker, A. Frank, R. Lemus and J.M. Arias
  (ICN/UNAM and University of Sevilla)","On the relation between algebraic and configuration space calculations
  of molecular vibrations","9 pages, March 1996, submitted","Chem. Phys. Lett. 258 (1996) 301","10.1016/0009-2614(96)00612-4",,"chem-ph physics.chem-ph",,"  The relation between algebraic and traditional calculations of molecular
vibrations is investigated. An explicit connection between interactions in
configuration space and the corresponding algebraic interactions is
established.
","[{""version"":""v1"",""created"":""Wed, 13 Mar 1996 21:41:09 GMT""}]","2015-06-24"
"cond-mat/9603096","Joonhyun Yeo","Joonhyun Yeo and M. A. Moore (University of Manchester)","Parquet Graph Resummation Method for Vortex Liquids","15 pages, 12 PostScript figures, uses multicols.sty and epsf.sty",,"10.1103/PhysRevB.54.4218",,"cond-mat",,"  We present in detail a nonperturbative method for vortex liquid systems. This
method is based on the resummation of an infinite subset of Feynman diagrams,
the so-called parquet graphs, contributing to the four-point vertex function of
the Ginzburg-Landau model for a superconductor in a magnetic field. We derive a
set of coupled integral equations, the parquet equations, governing the
structure factor of the two-dimensional vortex liquid system with and without
random impurities and the three-dimensional system in the absence of disorder.
For the pure two-dimensional system, we simplify the parquet equations
considerably and obtain one simple equation for the structure factor. In two
dimensions, we solve the parquet equations numerically and find growing
translational order characterized by a length scale $R_c$ as the temperature is
lowered. The temperature dependence of $R_c$ is obtained in both pure and
weakly disordered cases. The effect of disorder appears as a smooth decrease of
$R_c$ as the strength of disorder increases.
","[{""version"":""v1"",""created"":""Wed, 13 Mar 1996 17:30:32 GMT""}]","2009-10-28"
"cond-mat/9603097","Dr D. Endesfelder","Dirk Endesfelder","Fokker-Planck description of the transfer matrix limiting distribution
  in the scattering approach to quantum transport","25 pages, revtex, no figures",,"10.1103/PhysRevB.53.16555","OUTP-96-08S","cond-mat",,"  The scattering approach to quantum transport through a disordered
quasi-one-dimensional conductor in the insulating regime is discussed in terms
of its transfer matrix $\bbox{T}$. A model of $N$ one-dimensional wires which
are coupled by random hopping matrix elements is compared with the transfer
matrix model of Mello and Tomsovic. We derive and discuss the complete
Fokker-Planck equation which describes the evolution of the probability
distribution of $\bbox{TT}^{\dagger}$ with system length in the insulating
regime. It is demonstrated that the eigenvalues of $\ln\bbox{TT}^{\dagger}$
have a multivariate Gaussian limiting probability distribution. The parameters
of the distribution are expressed in terms of averages over the stationary
distribution of the eigenvectors of $\bbox{TT}^{\dagger}$. We compare the
general form of the limiting distribution with results of random matrix theory
and the Dorokhov-Mello-Pereyra-Kumar equation.
","[{""version"":""v1"",""created"":""Wed, 13 Mar 1996 20:46:30 GMT""}]","2009-10-28"
"cond-mat/9603098","Heinz Olaf Muller","Heinz-Olaf M\""uller (1), Andreas H\""adicke (2), Ulrik Hanke (1) and K.
  A. Chao (1) ((1) Norwegian University of Science and Technology, (2)
  Universit\""at Jena/F. R. Germany)","Ultrasmall double junction in terms of orthogonal polynomials","6 pages, 4 Postscript figures, uses epsf.sty and multicol.sty,
  amended computation in the high-temperature domain",,,,"cond-mat.mes-hall",,"  The ``orthodox theory'' of a single electron double junction is dealt with.
It is shown that the stationary solution of the underlying master equation
allows the construction of any time-dependent solution in terms of orthogonal
polynomials. The approach pays off if the stationary solution becomes simple.
Two special cases are considered. We use the time-dependent solution to
calculate the current noise in these cases.
","[{""version"":""v1"",""created"":""Wed, 13 Mar 1996 23:23:33 GMT""},{""version"":""v2"",""created"":""Sat, 22 Jun 1996 23:12:03 GMT""},{""version"":""v3"",""created"":""Sun, 24 Nov 1996 18:49:26 GMT""}]","2016-08-15"
"cond-mat/9603099","Ono Yoshiyuki","Y. Ono, T. Ohtsuki and B. Kramer","Scaling Behavior of Level Statistics in Quantum Hall Regime","16 pages, latex, 10 figures (postscript figures available on request
  to ono@polaron.ph.sci.toho-u.ac.jp), to be published in J. Phys. Soc. Jpn.
  vol. 65 (1996) No. 6B; misprint in eq.(5.3) is corrected",,"10.1143/JPSJ.65.1734",,"cond-mat",,"  The scaling property of level statistics in the quantum Hall regime, i.e. 2D
disordered electron systems subject to strong magnetic fields, is analyzed
numerically in the light of the random matrix theory. The energy dependences of
the effective level repulsion parameter, the two level correlation, the GUE-GOE
crossover parameter, and the rigidity (or $\Delta_3$-statistics) of the level
distributions are investigated for different system sizes by unfolding the
original data and by dividing the unfolded spectrum into small regions. It is
shown that the critical exponent of the localization length as a function of
energy can be determined through the energy dependence of the level statistics.
The analyses are carried out not only for the lowest Landau band (LB) but also
for the second lowest LB. Furthermore the effect of finite range of disordered
potential is studied. The short-ranged potential case in the second lowest LB
is found to be pathological as in other studies of critical behavior, and it is
confirmed that this pathological behavior is improved in the case of disordered
potential with finite ranges.
","[{""version"":""v1"",""created"":""Thu, 14 Mar 1996 01:32:32 GMT""},{""version"":""v2"",""created"":""Mon, 25 Mar 1996 00:48:36 GMT""}]","2009-10-28"
"cond-mat/9603100","Olle Heinonen","O. Heinonen, M.I. Lubin, M.D. Johnson (University of Central Florida)","Ensemble Density Functional Theory for Inhomogeneous Fractional Quantum
  Hall Systems","23 pages (revtex), 6 Postscript figures. To be published in Int. J.
  Quant. Chem. (invited talk at the 1996 Sanibel Symposium)",,,"UCF-CM-96-001","cond-mat",,"  The fractional quantum Hall effect (FQHE) occurs at certain magnetic field
strengths B*(n) in a two-dimensional electron gas of density n at strong
magnetic fields perpendicular to the plane of the electron gas. At these
magnetic fields strengths, the system is incompressible, i.e., there is a
finite cost in energy for creating charge density fluctuations in the bulk,
while the boundary of the electron gas has gapless modes of density waves. The
bulk energy gap arises because of the strong electron-electron interactions.
While there are very good models for infinite homogeneous systems and for the
gapless excitations of the boundary of the electron gas, computational methods
to accurately model finite, inhomogeneous systems with more then about ten
electrons have not been available until very recently. We will here review an
ensemble density functional approach to studying the ground state of large
inhomogeneous spin polarized FQHE systems.
","[{""version"":""v1"",""created"":""Thu, 14 Mar 1996 15:00:21 GMT""}]","2007-05-23"
"cond-mat/9603101","Enzo Marinari","Giorgio Parisi (Universita` di Roma La Sapienza)","Recent rigorous results support the predictions of spontaneously broken
  replica symmetry for realistic spin glasses","2 pages, aps style",,,,"cond-mat",,"  We show that the predictions of spontaneously broken replica symmetry are in
perfect agreement with the recent rigorous results obtained by Newman and
Stein.
","[{""version"":""v1"",""created"":""Thu, 14 Mar 1996 15:32:21 GMT""}]","2007-05-23"
"dg-ga/9603006",,"A.Pajitnov","The Incidence Coefficients in the Novikov Complex are generically
  rational functions","35 pages","Algebra i Analiz, v.9 (1997) No.5 (in Russian). Engl. Transl: St.
  Petersburg Math. J. Vol.9 (1998), No.5",,,"dg-ga math.DG",,"  For a Morse map $f:M\to S^1$ Novikov [11] has introduced an analog of Morse
complex, defined over the ring $\ZZZ[[t]][t^{-1}]$ of integer Laurent power
series. Novikov conjectured, that generically the matrix entries of the
differentials in this complex are of the form $\sum_ia_it^i$, where $a_i$ grow
at most exponentially in $i$. We prove that for any given $f$ for a $C^0$
generic gradient-like vector field all the incidence coefficients above are
rational functions in $t$ (which implies obviously the exponential growth rate
estimate).
","[{""version"":""v1"",""created"":""Thu, 14 Mar 1996 01:01:46 GMT""}]","2008-02-03"
