"alg-geom/9603007","Harald Skarke","Harald Skarke","Weight systems for toric Calabi-Yau varieties and reflexivity of Newton
  polyhedra","Latex, 14 pages","Mod.Phys.Lett. A11 (1996) 1637-1652","10.1142/S0217732396001636","TU Wien report TUW-96/04","alg-geom hep-th math.AG",,"  According to a recently proposed scheme for the classification of reflexive
polyhedra, weight systems of a certain type play a prominent role. These weight
systems are classified for the cases $n=3$ and $n=4$, corresponding to toric
varieties with K3 and Calabi--Yau hypersurfaces, respectively. For $n=3$ we
find the well known 95 weight systems corresponding to weighted $\IP^3$'s that
allow transverse polynomials, whereas for $n=4$ there are 184026 weight
systems, including the 7555 weight systems for weighted $\IP^4$'s. It is proven
(without computer) that the Newton polyhedra corresponding to all of these
weight systems are reflexive.
","[{""version"":""v1"",""created"":""Thu, 7 Mar 1996 11:45:23 GMT""}]","2009-10-28"
"cond-mat/9603045","Joseph D. Bryngelson","J. D. Bryngelson and D. Thirumalai","Localization of a Polymer with Internal Constraints","REVTeX, preprint form, 5 pages",,,,"cond-mat",,"  We argue that Kantor and Kardar's assertion that their simulation results
contradict our criterion for the localization of a softly constrainted ideal
polymer is incorrect. Our criterion is inapplicable to the model used in these
simulations. We argue that our criterion for localization of as polymer with
internal constraints strongly suggests that the models with soft and hard
constraints belong to different universality classes. The size measure used by
Kantor and Kardar is also not adequate for studying polymer localization. We
also show that, in spite of these contrasts, combining the simulation results
with our criterion for ideal chains seems to uncover some intriguing physics.
","[{""version"":""v1"",""created"":""Wed, 6 Mar 1996 20:47:52 GMT""}]","2007-05-23"
"cond-mat/9603047","Safi Bahcall","Safi R. Bahcall","Boundary Effects and the Order Parameter Symmetry in High-Tc
  Superconductors","4 pages, revtex, 3 postscript figures",,,,"cond-mat",,"  Apparently conflicting phase-sensitive measurements of the order parameter
symmetry in the high-T$_c$ superconductors may be explained by regions near
surfaces in which the order parameter symmetry is different than in the bulk.
These surface states can lead to interesting and testable effects.
","[{""version"":""v1"",""created"":""Thu, 7 Mar 1996 07:14:49 GMT""}]","2007-05-23"
"cond-mat/9603048","Attila Szolnoki","Attila Szolnoki, Tibor Antal, and Gyorgy Szabo","Critical domain size in a driven diffusive system","REVTEX, 3 twocolumn pages including a PS figure",,,,"cond-mat",,"  The homogeneous ordered state transforms into a polydomain state via a
nucleation mechanism in two-dimensional lattice gas if the particle jumps are
biased by an external field $E$. A simple phenomenological model is used to
describe the time evolution of a circular interface separating the ordered
regions. It is shown that the area of a domain increases if its radius exceeds
a critical value proportional to $1/E$ which agrees qualitatively with Monte
Carlo simulations.
","[{""version"":""v1"",""created"":""Thu, 7 Mar 1996 09:25:07 GMT""}]","2007-05-23"
"cond-mat/9603049","Madan Rao","Madan Rao (Institute of Mathematical Sciences, Madras), Surajit
  Sengupta (Indira Gandhi Centre for Atomic Research, Kalpakkam)","Droplet Free Energy Functional for the Morphology of Martensites","5 pages, REVTEX, includes 2 .eps figures To appear in ""Defects in
  Condensed Media"", eds. K. Krishan, C. S. Sundar and V. Kumar (SciTech Publ.
  Ltd., Switzerland, 1996)",,,"IMSC-96/01/02","cond-mat",,"  Martensites are metastable phases, possessing a characteristic morphology,
usually formed during a fast quench accross a structural transition. We attempt
to understand these morphological features using a coarsegrained free energy
functional ${\cal F}[\epsilon ; \Phi]$ which contains, in addition to the usual
strain fields $\epsilon_{ij}$ (the `` order parameter'' for the transition),
the ``vacancy'' field $\phi$ which arises due to the geometric mismatch at a
parent-product interface. The relaxation of this mismatch is slow compared to
typical front propagation times and hence $\phi$ is essentially frozen in the
reference frame of the growing martensite front. Minimisation of ${\cal F}$
then automatically yeilds typical martensite morphologies. We demonstrate this
in two dimensions for the square to rhombus transformation and obtain
internally twinned martensites, which grow as thin strips, for ``hard''
martensites (e.g., Fe-based alloys) or with a `single-interface', for ``soft''
martensites (e.g., In-Tl alloys).
","[{""version"":""v1"",""created"":""Thu, 7 Mar 1996 10:36:33 GMT""}]","2007-05-23"
"cond-mat/9603050","Alasdair James Gill","A.J. Gill, T.W.B. Kibble","Quench Induced Vortices in the Symmetry Broken Phase of Liquid $^4$He","29 pages, RevTeX with one EPS figure",,"10.1088/0305-4470/29/14/044","LAUR 95 - 4505, Imperial/TP/95-96/29","cond-mat",,"  Motivated by the study of cosmological phase transitions, our understanding
of the formation of topological defects during spontaneous symmetry-breaking
and the associated non-equilibrium field theory has recently changed.
Experiments have been performed in superfluid $^4$He to test the new ideas
involved. In particular, it has been observed that a vortex density is seen
immediately after pressure quenches from just below the $\lambda$ transition.
We discuss possible interpretations of these vortices, conclude they are
consistent with our ideas of vortex formation and propose a modification of the
original experiments.
","[{""version"":""v1"",""created"":""Thu, 7 Mar 1996 15:18:34 GMT""}]","2009-10-28"
"cond-mat/9603057","Pnini Reuven","R. Pnini, B. Shapiro (Phys. Dep. Technion, Haifa, Israel)","Intensity Fluctuations in Closed and Open Systems","11 pages, LATEX, no figures",,"10.1103/PhysRevE.54.R1032",,"cond-mat",,"  We consider the intensity pattern, generated by a monochromatic source, in a
disordered cavity coupled to the environment. For weak coupling, and when the
source frequency is tuned to a resonance, the intensity distribution is close
to Porter-Thomas distribution. When the coupling increases, gradually crosses
over to the Rayleigh distribution. The joint probability distribution for
intensities at two different points is also discussed.
","[{""version"":""v1"",""created"":""Thu, 7 Mar 1996 11:51:46 GMT""}]","2009-10-28"
"gr-qc/9603007","Vladimir Dzhunushaliev","V. D. Dzhunushaliev","5D Kaluza - Klein's Wormhole Between Two Event Horizons","REVTEX, 3 pages",,,,"gr-qc hep-th",,"  The solution of the 5D Kaluza-Klein's theory is obtained. This solution is a
Lorentzian wormhole between two event horizons. It is shown that this solution
can sew with (4D Reissner-Nordstr\""om's solution + Maxwell's electrical field)
on the event horizon. Such construction is composite wormhole connecting two
asymptotically flat region. From the viewpoint of infinite observer this
wormhole is an electrical charge. According to J. Wheeler terminology this is
""charge without charge"".
","[{""version"":""v1"",""created"":""Thu, 7 Mar 1996 04:42:56 GMT""}]","2007-05-23"
"gr-qc/9603015","Julio Cesar Fabris","J.P. Baptista, J.C. Fabris and S.V.B. Goncalves (Universidade Federal
  do Espirito Santo - Brazil)","Density Perturbations in the Brans-Dicke Theory","26 pages, latex file",,"10.1007/BF00645648","DF-UFES/96","gr-qc",,"  We analyse the fate of density perturbation in the Brans-Dicke Theory, giving
a general classification of the solutions of the perturbed equations when the
scale factor of the background evolves as a power law. We study with details
the cases of vacuum, inflation, radiation and incoherent matter. We find, for
the a negative Brans-Dicke parameter, a significant amplification of
perturbations.
","[{""version"":""v1"",""created"":""Wed, 6 Mar 1996 18:09:17 GMT""}]","2009-10-28"
"hep-ph/9603238",,"G. Dvali, G.F. Giudice, and A. Pomarol (CERN)","The $\mu$-Problem in Theories with Gauge-Mediated Supersymmetry Breaking","18 pages, 2 figures","Nucl.Phys.B478:31-45,1996","10.1016/0550-3213(96)00404-X",,"hep-ph",,"  We point out that the $\mu$-problem in theories in which supersymmetry
breaking is communicated to the observable sector by gauge interactions is more
severe than the one encountered in the conventional gravity-mediated scenarios.
The difficulty is that once $\mu$ is generated by a one-loop diagram, then
usually $\bmu$ is also generated at the same loop order. This leads to the
problematic relation $\bmu \sim \mu \Lambda$, where $\Lambda \sim$ 10--100 TeV
is the effective supersymmetry-breaking scale. We present a class of theories
for which this problem is naturally solved. Here, without any fine tuning among
parameters, $\mu$ is generated at one loop, while $\bmu$ arises only at the
two-loop level. This mechanism can naturally lead to an interpretation of the
Higgs doublets as pseudo-Goldstone bosons of an approximate global symmetry.
","[{""version"":""v1"",""created"":""Wed, 6 Mar 1996 16:22:30 GMT""}]","2011-07-19"
"hep-ph/9603239","Silvano Simula","I.L. Grach, I.M. Narodetskii, S. Simula and K.A. Ter-Martirosyan","Exclusive and inclusive weak decays of the B-meson","misprints in equations corrected, to appear in Nuclear Physics B","Nucl.Phys. B502 (1997) 227-248","10.1016/S0550-3213(97)00426-4","INFN-ISS 97/8","hep-ph",,"  A relativistic quark model is applied to the description of semileptonic and
non-leptonic charmed decays of the B-meson. The exclusive semileptonic modes B
-> D l \nu and B -> D* l \nu are described through the universal Isgur-Wise
form factor, which is calculated in terms of a constituent quark model wave
function for the B-meson. Different approximations for the latter, either based
on a phenomenological ansatz or derived from analyses of the meson spectra, are
adopted. In particular, two wave functions, constructed via the Hamiltonian
light-front formalism using a relativized and a non-relativistic constituent
quark model, are considered, obtaining a link between standard spectroscopic
quark models and the B-meson decay physics. The inclusive semileptonic and
non-leptonic branching ratios are calculated within a convolution approach,
inspired by the partonic model and involving the same B-meson wave function
used for the evaluation of the exclusive semileptonic modes. Our results for
the major branching ratios are consistent with available experimental data and
the sum of all the calculated branching ratios turns out to be close to unity.
In particular, we found that: i) a remarkable fraction (~ 35%) of semileptonic
decay modes occur in non-D, non-D* final states; ii) non-perturbative effects
enhance the inclusive b -> c \bar{u} d decay channels, with a sizable
contribution provided by internal decays into heavy mesons and
baryon-antibaryon pairs; the resulting reduction of the semileptonic branching
ratio brings the theoretical prediction in agreement with the experimental
value without increasing at the same time the charm counting.
","[{""version"":""v1"",""created"":""Wed, 6 Mar 1996 17:00:14 GMT""},{""version"":""v2"",""created"":""Wed, 25 Jun 1997 06:43:35 GMT""},{""version"":""v3"",""created"":""Sat, 4 Oct 1997 10:17:30 GMT""}]","2009-10-28"
"hep-ph/9603240","Axel Hoefer","Axel Hoefer and L. M. Sehgal (Institut f\""ur Theoretische Physik (E),
  RWTH Aachen, Aachen, Germany)","Pair Production and Correlated Decay of Heavy Majorana Neutrinos in
  $e^+e^-$ Collisions","24 pages, RevTeX, 12 eps figures, uses epsf.sty","Phys.Rev. D54 (1996) 1944-1954","10.1103/PhysRevD.54.1944","PITHA 96/5","hep-ph",,"  We consider the process $e^+e^-\to N_1N_2$, where $N_1$ and $N_2$ are heavy
Majorana particles, with relative $CP$ given by $\eta_{CP}=+1$ or $-1$,
decaying subsequently via $N_1,N_2\to W^{\pm}e^{\mp}$. We derive the energy and
angle correlation of the dilepton final state, both for like-sign
($e^{\mp}e^{\mp}$) and unlike-sign ($e^-e^+$) configurations. Interesting
differences are found between the cases $\eta_{CP}=+1$ and $-1$. The
characteristics of unlike-sign $e^+e^-$ dileptons originating from a Majorana
pair $N_1N_2$ are contrasted with those arising from the reaction $e^+e^-\to
N\bar{N}\to W^+e^-W^-e^+$, where $N\bar{N}$ is a Dirac particle-antiparticle
pair.
","[{""version"":""v1"",""created"":""Wed, 6 Mar 1996 18:41:27 GMT""}]","2009-10-28"
"hep-ph/9603241",,"Erich Holtmann, Masahiro Kawasaki and Takeo Moroi","Solving the Crisis in Big-Bang Nucleosynthesis by the Radiative Decay of
  an Exotic Particle",,"Phys.Rev.Lett. 77 (1996) 3712-3715","10.1103/PhysRevLett.77.3712",,"hep-ph astro-ph",,"  We discuss a new mechanism which can solve the crisis in standard big-bang
nucleosynthesis. A long-lived particle $X$ ($10^4 sec \lesssim \tau_X \lesssim
10^6 sec$) which decays into photon(s) will induce cascade photons, and destroy
significant amounts of D and $^3$He without destroying $^4$He or too much
$^7$Li. We numerically investigate this process and derive a constraint on the
properties of $X$ such that the theoretical values of the primordial
light-element abundances agree with observation. We also present some
candidates for the unstable particle $X$.
","[{""version"":""v1"",""created"":""Wed, 6 Mar 1996 18:54:12 GMT""},{""version"":""v2"",""created"":""Tue, 15 Oct 1996 04:07:43 GMT""}]","2016-09-01"
"hep-ph/9603242","G. Domokos and S. Kovesi-Domokos","G. Domokos and S. Kovesi-Domokos (Department of Physics and Astronomy,
  Johns Hopkins University)","Neutrino Moments and the Magnetic Primakoff Effect","8 pages, LaTeX2e. 1 postscript figure and macros titlepag.tex and
  shortcuts.tex are enclosed. Requires epsf.tex (available from xxx@lanl.gov)","Phys.Rev.D55:2526-2529,1997","10.1103/PhysRevD.55.2526","JHU-TIPAC-96001","hep-ph",,"  If different species of neutrinos possess transition magnetic moments, a
conversion between species can occur in the Coulomb field of a nucleus. In the
case of Dirac neutrinos this corresponds to an active to sterile conversion,
whereas in the case of Majorana neutrinos, the conversion takes place between
active species. The conversion cross sections grow with the energy of the
incident neutrino. The formalism is also applied to a new type of experiment
designed to test the existence of the ``KARMEN anomaly''.
","[{""version"":""v1"",""created"":""Wed, 6 Mar 1996 19:41:50 GMT""}]","2009-12-30"
"hep-ph/9603243","Frank Cuypers","Frank Cuypers (PSI)","Selectron Searches in $e^-e^-$, $e^-\gamma$ and $\gamma\gamma$
  Scattering","8 pages, talk presented at the LCWS95 Workshop on Physics and
  Experiments with Linear Colliders held at Morioka, Sep 8-13, 1995",,,"MPI-PhT/95-128","hep-ph",,"  We review the selectron production mechanisms in the linear collider modes
which do not require positrons. The standard model backgrounds can be rendered
harmless or even be nearly eliminated with polarized beams. We insist on the
complementarity of these different experiments.
","[{""version"":""v1"",""created"":""Thu, 7 Mar 1996 07:35:57 GMT""}]","2007-05-23"
"hep-ph/9603244","Grossman Yuval","Yuval Grossman","The $B_s$ width difference beyond the Standard Model","15 pages, revtex, no figures","Phys.Lett. B380 (1996) 99-105","10.1016/0370-2693(96)00482-0","WIS-96/13/Mar-PH","hep-ph",,"  The Standard Model predicts a large width difference in the $B_s$ system. New
physics can contribute significantly to the {\it mass} difference. If this
contribution is CP violating, this will always result in a reduction of the
{\it width} difference. The analyses of measurements of the width difference
using $B_s$ decays into CP eigenstates have to be modified in the presence of
new physics. We discuss how the width difference and the new CP violating phase
in $B_s$ mixing can be measured.
","[{""version"":""v1"",""created"":""Thu, 7 Mar 1996 08:39:46 GMT""}]","2009-10-28"
"hep-ph/9603245",,"M. Kacir and I. Zahed","Two-Dimensional Solitons at Finite Temperature","13 pages in LaTex format, 3 figures (submitted to Phys. Lett. B)",,,"SUNY-NTG-95-53","hep-ph",,"  The partition function of two-dimensional solitons in a heat bath of mesons
is worked out to one-loop. For temperatures large compared to the meson mass,
the free energy is dominated by the meson-soliton bound states and the zero
modes, a consequence of Levinson's theorem. Using the Bethe-Uhlenbeck formula
we compare the soliton energy-shift to the shift expected in the pole mass
using a virial expansion. We construct the partition function associated to a
fast moving soliton at finite temperature, and found that the soliton thermal
inertial mass is no longer constrained by Poincare's symmetry. At finite
temperature, the concept of quasiparticles is process dependent.
","[{""version"":""v1"",""created"":""Thu, 7 Mar 1996 13:49:39 GMT""}]","2007-05-23"
"hep-ph/9609289","Avaroth Harindranath","A. Harindranath and Wei-Min Zhang","On the Matrix Element of the Transverse Component of Bilocal Vector
  Current and its Parton Interpretation","7 pages, REVTEX","Phys.Lett. B390 (1997) 359-362","10.1016/S0370-2693(96)01353-6",,"hep-ph",,"  In this paper we study the matrix element of the transverse component of the
bilocal vector current in the context of deep inelastic scattering. BJL limit
of high energy amplitudes together with light-front current algebra imply the
same parton interpretation for its matrix element as that of the plus
component. On the other hand, the transverse component depends explicitly on
the gluon field operator in QCD, appears as ""twist three"" and hence its matrix
element has no manifest parton interpretation. In this paper we perform
calculations in light-front time-ordering perturbative QCD for a dressed quark
target to order $\alpha_s$ and demonstrate that the matrix element of the
transverse component of the bilocal vector current has the same parton
interpretation as that of the plus component.
","[{""version"":""v1"",""created"":""Thu, 7 Mar 1996 08:27:40 GMT""}]","2016-09-06"
