"alg-geom/9603013","Fernando Torres","Rainer Fuhrmann, and Fernando Torres","On curves over finite fields with many rational points","LaTex2e, 10 pages",,,,"alg-geom math.AG",,"  We study arithmetical and geometrical properties of {\it maximal curves},
that is, curves defined over the finite field $\mathbb F_{q^2}$ whose number of
$\mathbb F_{q^2}$-rational points reachs the Hasse-Weil upper bound. Under a
hypothesis on non-gaps at rational points we prove that maximal curves are
$\mathbb F_{q^2}$-isomorphic to $y^q+y=x^m$ for some $m\in \mathbb Z^+$.
","[{""version"":""v1"",""created"":""Thu, 14 Mar 1996 19:11:58 GMT""}]","2008-02-03"
"atom-ph/9603002","Juan F. Poyatos","J.F. Poyatos (1), J. I. Cirac (1), P. Zoller (2) ((1) Dep. Fisica
  Aplicada, Universidad de Castilla-La Mancha, Spain, (2) Institut fuer
  Theoretische Physik, Universitaet Innsbruck, Austria)","Quantum Reservoir Engineering","11 pages, 2 Figures (bmp and eps formats)",,,"GABY-96-1","atom-ph physics.atom-ph quant-ph",,"  We show how to design different couplings between a single ion trapped in a
harmonic potential and an environment. This will provide the basis for the
experimental study of the process of decoherence in a quantum system. The
coupling is due to the absorption of a laser photon and subsequent spontaneous
emission. The variation of the laser frequencies and intensities allows one to
``engineer'' the coupling and select the master equation describing the motion
of the ion.
","[{""version"":""v1"",""created"":""Fri, 15 Mar 1996 14:11:08 GMT""}]","2008-02-03"
"comp-gas/9603002","Mr A. Emerton","Andrew N. Emerton (University of Oxford), Peter V. Coveney
  (Schlumberger Cambridge Research), Bruce M. Boghosian (Boston University)","Lattice-gas simulations of Domain Growth, Saturation and Self-Assembly
  in Immiscible Fluids and Microemulsions","28 pages, latex, embedded .eps figures, one figure is in colour, all
  in one uuencoded gzip compressed tar file, submitted to Physical Review E",,"10.1103/PhysRevE.55.708",,"comp-gas cond-mat nlin.CG",,"  We investigate the dynamical behavior of both binary fluid and ternary
microemulsion systems in two dimensions using a recently introduced
hydrodynamic lattice-gas model of microemulsions. We find that the presence of
amphiphile in our simulations reduces the usual oil-water interfacial tension
in accord with experiment and consequently affects the non-equilibrium growth
of oil and water domains. As the density of surfactant is increased we observe
a crossover from the usual two-dimensional binary fluid scaling laws to a
growth that is {\it slow}, and we find that this slow growth can be
characterized by a logarithmic time scale. With sufficient surfactant in the
system we observe that the domains cease to grow beyond a certain point and we
find that this final characteristic domain size is inversely proportional to
the interfacial surfactant concentration in the system.
","[{""version"":""v1"",""created"":""Fri, 15 Mar 1996 13:48:43 GMT""}]","2009-10-28"
"cond-mat/9603102",,"J. Leandri, Y. Leroyer, S.V. Meshkov, Y. Meurdesoif, O. Kahn, B.
  Mombelli and D. Price","Thermodynamics of a mixed quantum-classical Heisenberg model in two
  dimensions","Revtex, 6 pages, 4 included postscript figures, fig.1 upon request to
  leroyer@bortibm1.in2p3.fr . To appear in J. of Physic C (condensed matter)",,"10.1088/0953-8984/8/17/004","PTB-96-1","cond-mat",,"  We study the planar antiferromagnetic Heisenberg model on a decorated
hexagonal lattice, involving both classical spins (occupying the vertices) and
quantum spins (occupying the middle of the links). This study is motivated by
the description of a recently synthesized molecular magnetic compound. First,
we trace out the spin 1/2 degrees of freedom to obtain a fully classical model
with an effective ferromagnetic interaction. Then, using high temperature
expansions and Monte Carlo simulations, we analyse its thermal and magnetic
properties. We show that it provides a good quantitative description of the
magnetic susceptibility of the molecular magnet in its paramagnetic phase.
","[{""version"":""v1"",""created"":""Thu, 14 Mar 1996 16:19:43 GMT""}]","2009-10-28"
"cond-mat/9603103","T. Pareek","Mangal C. Mahato, T. P. Pareek and A. M. Jayannavar","Enslaving random fluctuations in nonequlibrium systems",,,"10.1142/S0217979296002099","IP-BBSR/96-17","cond-mat",,"  Several physical models have recently been proposed to obtain unidirectional
motion of an overdamped Brownian particle in a periodic potential system. The
asymmetric ratchetlike form of the periodic potential and the presence of
correlated nonequilibrium fluctuating forces are considered essential to obtain
such a macroscopic motion in homogeneous systems. In the present work, instead,
inhomogeneous systems are considered, wherein the friction coefficient and/or
temperature could vary in space. We show that unidirectional motion can be
obtained even in a symmetric nonratchetlike periodic potential system in the
presence of white noise fluctuations. We consider four different cases of
system inhomogeneity We argue that all these different models work under the
same basic principle of alteration of relative stability of otherwise locally
stable states in the presence of temperature inhomogeneity.
","[{""version"":""v1"",""created"":""Thu, 14 Mar 1996 23:58:04 GMT""}]","2015-06-25"
"cond-mat/9603104","Eric Bauer","E. D. Bauer, F. Bridges, C. H. Booth, J. B. Boyce, T. Claeson, G.
  Brorsson, Y. Suzuki","Local structure study about Co in
  YBa$_2$(Cu$_{1-x}$Co$_x$)$_3$O$_{7-\delta}$ thin films using polarized XAFS","14 pages; To be submitted to Phys. Rev. B",,"10.1103/PhysRevB.54.13352",,"cond-mat",,"  We have studied the local structure around Co in
YBa$_2$(Cu$_{1-x}$Co$_x$)$_3$O$_{7-\delta}$ thin films with three different
concentrations: x=0.07, 0.10, 0.17, and in a
PrBa$_2$(Cu$_{1-x}$Co$_x$)$_3$O$_{7-\delta}$ thin film of concentration x=0.05
using the X-ray Absorption Fine Structure (XAFS) technique. Data were collected
at the Co $K$-edge with polarizations both parallel and perpendicular to the
film surface. We find that the oxygen neighbors are well ordered and shortened
in comparison with YBCO Cu-O values to 1.80 \AA{} and 1.87 \AA{} in the
$c$-axis and $ab$-plane, respectively. A comparison of further neighbors in the
thin film and powder data show that these peaks in the film are suppressed in
amplitude relative to the powder samples, which suggests there is more disorder
and/or distortions of the Co environment present in the thin films.
","[{""version"":""v1"",""created"":""Thu, 14 Mar 1996 21:06:55 GMT""}]","2009-10-28"
"cond-mat/9603105","Hidetoshi Nishimori","Hidetoshi Nishimori and Yoshihiko Nonomura","Quantum Effects in Neural Networks","34 pages, LaTeX, 9 PS figures, uses jpsj.sty",,"10.1143/JPSJ.65.3780",,"cond-mat",,"  We develop the statistical mechanics of the Hopfield model in a transverse
field to investigate how quantum fluctuations affect the macroscopic behavior
of neural networks. When the number of embedded patterns is finite, the Trotter
decomposition reduces the problem to that of a random Ising model. It turns out
that the effects of quantum fluctuations on macroscopic variables play the same
roles as those of thermal fluctuations. For an extensive number of embedded
patterns, we apply the replica method to the Trotter-decomposed system. The
result is summarized as a ground-state phase diagram drawn in terms of the
number of patterns per site, $\alpha$, and the strength of the transverse
field, $\Delta$. The phase diagram coincides very accurately with that of the
conventional classical Hopfield model if we replace the temperature T in the
latter model by $\Delta$. Quantum fluctuations are thus concluded to be quite
similar to thermal fluctuations in determination of the macroscopic behavior of
the present model.
","[{""version"":""v1"",""created"":""Fri, 15 Mar 1996 02:01:33 GMT""}]","2009-10-28"
"cond-mat/9603106","Dmitrii Maslov","Dmitrii L. Maslov and Michael Stone (UIUC)","Conductance of Luttinger-Liquid Wires Connected to Reservoirs","10 pages, 2 figures are encluded as encapsulated postscript files.
  File epsfig.sty is included in the package",,,,"cond-mat",,"  These are the lecture notes to be published in the Proceedings of XXXI
Rencontres de Moriond conference ``Correlated Fermions and Transport in
Mesoscopic Systems'', (20-27 January 1996, Les Arcs, France). The notes are
based on two recent papers [D L. Maslov and M. Stone, Phys. Rev. B 52, R5539
(1995), and D. L. Maslov, ibid., R14368 (1995)].
","[{""version"":""v1"",""created"":""Fri, 15 Mar 1996 03:06:16 GMT""}]","2007-05-23"
"cond-mat/9603107","Diptiman Sen","Swapan Pati, R. Chitra, Diptiman Sen, S. Ramasesha, and H. R.
  Krishnamurthy (Indian Institute of Science, Bangalore)","A comparative study of the phase diagrams of spin-$1 \over 2$ and
  spin-$1$ antiferromagnetic chains with dimerization and frustration","16 pages in latex; 9 figures available on request","J. Phys. Condens. Matter 9 (1997) 219-230","10.1088/0953-8984/9/1/023",,"cond-mat",,"  We use the density matrix renormalization group method to study the ground
state `phase' diagram and some low-energy properties of isotropic
antiferromagnetic spin-$1 \over 2$ and spin-$1$ chains with a next-nearest
neighbor exchange $J_2 ~$ and an alternation $\delta$ of the nearest neighbor
exchanges. In the spin-$1 \over 2$ chain, the system is gapless for $\delta=0$
and $J_2 < J_{2c} =0.241$, and is gapped everywhere else in the $J_2 - \delta$
plane. At $J_{2c}$, for small $\delta$, the gap increases as $\delta^{\alpha}$,
where $\alpha = 0.667 \pm 0.001$. $2J_2 + \delta = 1$ is a disorder line. To
the left of this line, the structure factor $S(q)$ peaks at $q_{max} = \pi$
(Neel `phase'), while to the right, $q_{max}$ decreases from $\pi$ to $\pi/2$
(spiral `phase') as $J_2$ increases. There is also a `$\uparrow \uparrow
\downarrow \downarrow$ phase' for large values of both $J_2$ and $\delta$. In
the spin-$1$ case, we find a line running from a gapless point at $(J_2 ,
\delta) = (0,0.25 \pm 0.01)$ upto a `gapless' point at $(0.73 \pm 0.005,0)$
such that the open chain ground state is four-fold degenerate below the line
and is unique above it. There is a disorder line in this case also and it has
the same equation as in the spin-$1 \over 2$ case, but the line ends at about
$\delta =0.136$. Similar to the spin-$1 \over 2$ case, to the left of this
line, the peak in the structure factor is at $\pi$ (Neel `phase'), while to the
right of the line, it is at less than $\pi$ (spiral `phase'). For $\delta =1$,
the system corresponds to a spin ladder and the system is gapped for all values
of the interchain coupling for both spin-$1 \over 2$ and spin-$1$ ladders.
","[{""version"":""v1"",""created"":""Fri, 15 Mar 1996 07:17:11 GMT""}]","2009-10-28"
"cond-mat/9603108","Apostol Marian","M. Apostol","On the low-dimensional solids and their melting","10 pages, no figures, latex, Synth. Met., to appear",,,,"cond-mat",,"  It is shown that the one- and two-dimensional solids may exist and melt
","[{""version"":""v1"",""created"":""Fri, 15 Mar 1996 08:24:32 GMT""}]","2007-05-23"
"cond-mat/9603109",,"R. Aguado, J. Inarrea and G. Platero (Instituto de Ciencia de
  Materiales (CSIC), Cantoblanco, Madrid, Spain)","Coherent resonant tunneling in ac fields","16 pages,Figures available upon request,to appear in Phys.Rev B (15
  April 1996)",,"10.1103/PhysRevB.53.10030",,"cond-mat",,"  We have analyzed the tunneling transmission probability and electronic
current density through resonant heterostructures in the presence of an
external electromagnetic field. In this work, we compare two different models
for a double barrier : In the first case the effect of the external field is
taken into account by spatially dependent AC voltages and in the second one the
electromagnetic field is described in terms of a photon field that irradiates
homogeneously the whole sample. While in the first description the tunneling
takes place mainly through photo sidebands in the case of homogeneous
illumination the main effective tunneling channels correspond to the coupling
between different electronic states due to photon absorption and emission. The
difference of tunneling mechanisms between these configurations is strongly
reflected in the transmission and current density which present very different
features in both cases. In order to analyze these effects we have obtained,
within the Transfer Hamiltonian framework, a general expression for the
transition probability for coherent resonant tunneling in terms of the Green's
function of the system.
","[{""version"":""v1"",""created"":""Fri, 15 Mar 1996 07:37:29 GMT""}]","2009-10-28"
"cond-mat/9603110","Karsten Flensberg","M. C. Bonsager, K. Flensberg, B. Y.-K. Hu, A.-P. Jauho","Magneto-Coulomb drag: interplay of electron--electron interactions and
  Landau quantization","4 pages, RevTeX, 4 PS figures in text using epsf","Phys. Rev. Lett. 77, 1366 (1996)","10.1103/PhysRevLett.77.1366","DFM-96-R6","cond-mat",,"  We use the Kubo formalism to calculate the transresistivity $\rho_{21}$ for
carriers in coupled quantum wells in a large perpendicular magnetic field $B$.
We find that $\rho_{21}$ is enhanced by approximately 50--100 times over that
of the B=0 case in the interplateau regions of the integer quantum Hall effect.
The presence of both electron--electron interactions and Landau quantization
results in (i) a twin-peaked structure of $\rho_{21}(B)$ in the inter-plateau
regions at low temperatures, and, (ii) for the chemical potential at the center
of a Landau level band, a peaked temperature dependence of $\rho_{21}(T)/T^2$.
","[{""version"":""v1"",""created"":""Fri, 15 Mar 1996 09:11:15 GMT""}]","2009-10-28"
"cond-mat/9603111","A. S. Alexandrou","A.S. Alexandrov","Boson-fermion model beyond mean-field approximation","16 pages, Latex, 5 figures available upon request",,"10.1088/0953-8984/8/37/014",,"cond-mat",,"  A model of hybridized bosons and fermions is studied beyond the mean field
approximation. The divergent boson self-energy at zero temperature makes the
Cooper pairing of fermions impossible.The frequency and momentum dependence of
the self- energy and the condensation temperature $T_{c}$ of initially
localized bosons are calculated analytically. The value of the boson
condensation temperature $T_{c}$ is below $1K$ which rules out the
boson-fermion model with the initially localized bosons as a phenomenological
explanation of high-temperature superconductivity. The intra-cell
density-density fermion-boson interaction dominates in the fermion self-energy.
The model represents a normal metal with strongly damped bosonic excitations.
The latter play the role of normal impurities.
","[{""version"":""v1"",""created"":""Fri, 15 Mar 1996 10:48:31 GMT""}]","2009-10-28"
"cond-mat/9603112","Fabrizio Michele","Michele Fabrizio","Superconductivity from doping a spin liquid insulator: a simple
  one-dimensional example","19 pages, plain LaTex using RevTex, 7 postscript figures Modified
  version which excludes some LaTex commands giving problems for the previous
  version",,"10.1103/PhysRevB.54.10054","SISSA 30/96/CM/MB","cond-mat",,"  We study the phase diagram of a one-dimensional Hubbard model where, in
addition to the standard nearest neighbor hopping $t$, we also include a
next-to-nearest neighbor hopping $t'$. For strong enough on-site repulsion,
this model has a transition at half filling from a magnetic insulator with
gapless spin excitations at small $t'/t$ to a dimerized insulator with a spin
gap at larger $t'/t$. We show that upon doping this model exhibits quite
interesting features, which include the presence of a metallic phase with a
spin gap and dominant superconducting fluctuations, in spite of the repulsive
interaction. More interestingly, we find that this superconducting phase can be
reached upon hole doping the magnetic insulator. The connections between this
model and the two chain models, recently object of intensive investigations,
are also discussed.
","[{""version"":""v1"",""created"":""Fri, 15 Mar 1996 13:19:08 GMT""},{""version"":""v2"",""created"":""Thu, 28 Mar 1996 13:59:05 GMT""}]","2009-10-28"
"cond-mat/9603113",,"J. Gonzalez, F. Guinea and M. A. H. Vozmediano","Unconventional quasiparticle lifetime in graphite","Latex file (4 pages) + 4 figures (postscript)",,"10.1103/PhysRevLett.77.3589",,"cond-mat",,"  The influence of electron-electron scattering on quasiparticle lifetimes in
graphite is calculated. In the limit when the Fermi surface is reduced to
isolated points in the Brillouin Zone, the suppression of screening leads to
non Fermi liquid behavior. The inverse lifetime increases linearly with energy,
in agreement with recent experiments. Similar features should also be present
in narrow gap semiconductors, and in carbon nanotubes.
","[{""version"":""v1"",""created"":""Fri, 15 Mar 1996 12:10:59 GMT""}]","2009-10-28"
