"alg-geom/9603009","Richard Earl","Richard Earl","A Note on the Cohomology of Moduli of Rank Two Stable Bundles","6 pages, no figures. (A few typos have been corrected.) LaTeX 2.09",,,,"alg-geom math.AG",,"  The rational cohomology of the moduli space of rank two, odd degree stable
bundles over a curve (of genus g > 1) has been studied intensely in recent
years and in particular the invariant subring generated by Newstead's
generators alpha, beta, gamma. Several authors have independently found a
minimal complete set of relations for this subring. Their methods are very
different from the methods originally employed by Kirwan to prove Mumford's
conjecture -- that relations derived from the vanishing Chern classes of a
particular rank 2g-1 bundle are a complete set of relations for the entire
cohomology ring. This note contains two theorems which readily follow from
Kirwan's original calculations. We rederive the above result showing that the
first three invariant Mumford relations generate the relation ideal of the
invariant subring. Secondly we prove a stronger version of Mumford's conjecture
and show that the relations coming from the first vanishing Chern class
generate the relation ideal of the entire cohomology ring as a
Q[alpha,beta]-module. (Only a few typos have been amended in this revised
version).
","[{""version"":""v1"",""created"":""Tue, 12 Mar 1996 16:49:47 GMT""},{""version"":""v2"",""created"":""Wed, 13 Mar 1996 13:34:40 GMT""},{""version"":""v3"",""created"":""Tue, 13 Aug 1996 09:07:11 GMT""}]","2008-02-03"
"cond-mat/9603086","Dima Shepelyansky","D.L.Shepelyansky","Interactions and localization: two interacting particles approach","latex 10 pages, 2 figures, Proc. Moriond Conf., Jan. 1996",,,,"cond-mat",,"  It is shown that two repulsing / attracting particles in a random potential
can propagate coherently on a distance much larger than one-particle
localization length without interaction. In dimension $d$ this leads to
delocalization of pairs formed by two repulsing / attracting particles. The
results of numerical simulations allow to understand some specific features of
this effect.
","[{""version"":""v1"",""created"":""Tue, 12 Mar 1996 17:54:06 GMT""}]","2007-05-23"
"cond-mat/9603087","Stefan Schwarzer","Sitangshu Bikas Santra, Stefan Schwarzer, and Hans Herrmann","Fluid Induced Particle Size Segregation in Sheared Granular Assemblies","11 pages, REVTEX format, ps figures compressed uuencoded separately
  or by e-mail from sts@ica1.uni-stuttgart.de. A postscript version of the
  paper will be available from
  http://www.ica1.uni-stuttgart.de/local/WWW/papers/papers.html",,"10.1103/PhysRevE.54.5066",,"cond-mat",,"  We perform a two-dimensional molecular-dynamics study of a model for sheared
bidisperse granular systems under conditions of simple shear and Poiseuille
flow. We propose a mechanism for particle-size segregation based on the
observation that segregation occurs if the viscous length scale introduced by a
liquid in the system is smaller than of the order of the particle size. We show
that the ratio of shear rate to viscosity must be small if one wants to find
size segregation. In this case the particles in the system arrange themselves
in bands of big and small particles oriented along the direction of the flow.
Similarly, in Poiseuille flow we find the formation of particle bands. Here, in
addition, the variety of time scales in the flow leads to an aggregation of
particles in the zones of low shear rate and can suppress size segregation in
these regions. The results have been verified against simulations using a full
Navier-Stokes description for the liquid.
","[{""version"":""v1"",""created"":""Tue, 12 Mar 1996 19:00:51 GMT""}]","2009-10-28"
"cond-mat/9603088","Castella Herve","H. Castella, X. Zotos","Finite temperature mobility of a particle coupled to a fermion
  environment","11 pages (RevTeX), 5 Postscript files, compressed using uufiles","Phys. Rev. B, 54 (1996) p. 4375","10.1103/PhysRevB.54.4375",,"cond-mat",,"  We study numerically the finite temperature and frequency mobility of a
particle coupled by a local interaction to a system of spinless fermions in one
dimension. We find that when the model is integrable (particle mass equal to
the mass of fermions) the static mobility diverges. Further, an enhanced
mobility is observed over a finite parameter range away from the integrable
point. We present a novel analysis of the finite temperature static mobility
based on a random matrix theory description of the many-body Hamiltonian.
","[{""version"":""v1"",""created"":""Tue, 12 Mar 1996 21:39:20 GMT""}]","2009-10-28"
"cond-mat/9603089","Ono Yoshiyuki","Y. Arikabe, M. Kuwabara and Y. Ono","Dynamics of an Acoustic Polaron in One-Dimensional Electron-Lattice
  System","12 pages, latex, 9 figures (postscript figures abailble on request to
  ono@polaron.ph.sci.toho-u.ac.jp) to be published in J. Phys. Soc. Jpn. vol.65
  (1996) No. 5",,"10.1143/JPSJ.65.1317",,"cond-mat",,"  The dynamical behavior of an acoustic polaron in typical non-degenerate
conjugated polymer, polydiacetylene, is numerically studied by using
Su-Schrieffer-Heeger's model for the one dimensional electron-lattice system.
It is confirmed that the velocity of a polaron accelerated by a constant
electric field shows a saturation to a velocity close to the sound velocity of
the system, and that the width of a moving polaron decreases as a monotonic
function of the velocity tending to zero at the saturation velocity. The
effective mass of a polaron is estimated to be about one hundred times as heavy
as the bare electron mass. Furthermore the linear mode analysis in the presence
of a polaron is carried out, leading to the conclusion that there is only one
localized mode, i.e. the translational mode. This is confirmed also from the
phase shift of extended modes. There is no localized mode corresponding to the
amplitude mode in the case of the soliton in polyacetylene. Nevertheless the
width of a moving polaron shows small oscillations in time. This is found to be
related to the lowest odd symmetry extended mode and to be due to the finite
size effect.
","[{""version"":""v1"",""created"":""Wed, 13 Mar 1996 05:46:05 GMT""}]","2009-10-28"
"cond-mat/9603090","Arkady Shanenko","A.A. Shanenko","Particle Correlations in the Generalized Thomas-Fermi Approach","13 pages, latex, no figures",,"10.1103/PhysRevE.54.4420","Preprint JINR E17-96-90","cond-mat",,"  This paper presents the Thomas-Fermi approach generalized to consider the
particle correlations in many-body systems with non-Coulomb interaction
potentials. The key points of the generalization consist in using integral
formulation and extracting the pair distribution function. The latter has been
found to obey the integral equation which, in the classical limit, is reduced
to the well-known equation of Bogoliubov. So, the approach presented gives the
way of taking into account interactions in the quantum many-body systems beyond
the weak coupling perturbation theory.
","[{""version"":""v1"",""created"":""Wed, 13 Mar 1996 09:50:43 GMT""}]","2009-10-28"
"cond-mat/9603091",,"C.-A. Piguet, D. F. Wang and C. Gruber","Exactly solvable multi-channel Kondo lattice model","22 pages, replaced with TeX source, preprint of EPFL, submitted to J.
  of Low Temp. Phys",,,,"cond-mat",,"  In this work, a multichannel Kondo lattice model is studied in the
thermodynamic limit. The conduction band is described by a constant hopping
amplitude between any pair of lattice sites. For this system, we have obtained
the exact thermodynamical properties and the ground state energies. In the
limit of strong interaction between the electrons and the impurity spins, the
wavefunctions take the Jastrow product form.
","[{""version"":""v1"",""created"":""Wed, 13 Mar 1996 11:03:56 GMT""},{""version"":""v2"",""created"":""Thu, 14 Mar 1996 10:15:13 GMT""}]","2008-02-03"
"cond-mat/9603092","Joao A. Filipe","Joao A. N. Filipe and Geoff J. Rodgers (Brunel University, UK)","Kinetics of fragmentation-annihilation processes","16 pages(LaTeX), submitted to Phys. Rev. E",,"10.1103/PhysRevE.54.1290",,"cond-mat chem-ph",,"  We investigate the kinetics of systems in which particles of one species
undergo binary fragmentation and pair annihilation. In the latter, nonlinear
process, fragments react at collision to produce an inert species, causing loss
of mass. We analyse these systems in the reaction-limited regime by solving a
continuous model within the mean-field approximation. The rate of
fragmentation, for a particle of mass $x$ to break into fragments of masses $y$
and $x-y$, has the form $x^{\lambda-1}$ ($\lambda>0$), and the annihilation
rate is constant and independent of the masses of the reactants. We find that
the asymptotic regime is characterized by the annihilation of small-mass
clusters. The results are compared with those for a model with linear mass-loss
(i.e.\ with a sink). We also study more complex models, in which the processes
of fragmentation and annihilation are controlled by mutually-reacting
catalysts. Both pair- and linear-annihilation are considered. Depending on the
specific model and initial densities of the catalysts, the time-decay of the
cluster-density can now be very unconventional and even non-universal. The
interplay between the intervening processes and the existence of a scaling
regime are determined by the asymptotic behaviour of the average-mass and of
the mass-density, which may either decay indefinitely or tend to a constant
value. We discuss further developments of this class of models and their
potential applications.
","[{""version"":""v1"",""created"":""Wed, 13 Mar 1996 13:32:14 GMT""}]","2009-10-28"
"cond-mat/9603093",,"V. Karimipour and Kh. Saaidi","Analysis of Poisson Networks and Their Relation with Random Cellular
  Structures","17 pages , Latex , 3 Figures available upon request",,,"IPM preprint 96","cond-mat",,"  We perform a detailed analysis of the statistical properties of Poisson
networks and show that the metric and topological properties of random cellular
structures, can not be derived from simple models of random networks based on a
poisson point distribution [1]. In particular we show that Lewis and
Aboav-Wieare laws are not obeyed in these network.
","[{""version"":""v1"",""created"":""Wed, 13 Mar 1996 09:07:48 GMT""}]","2012-03-22"
"cond-mat/9603094","Grigori Volovik","G.E. Volovik","Fermions on quantized vortices in superfluids and superconductors","23 pages, LaTeX file, no figures, lecture notes prepared for the
  Summer School on Condensed Matter Physics: ""Symmetry of the Order Parameter
  in High Temperature Superconductors"", Ankara, 17-22 June 1996 Some
  corrections made and references updated","Turk.J.Phys. 20 (1996) 693-713",,"LTL-96003","cond-mat hep-th",,"  The bound states of fermions in cores of quantized vortices in
superconductors and Fermi superfluids and their influence on the vortex
dynamics are discussed. The role of the spectral flow of the fermions through
the gap nodes is emphasized.
","[{""version"":""v1"",""created"":""Wed, 13 Mar 1996 15:36:54 GMT""},{""version"":""v2"",""created"":""Wed, 27 Mar 1996 09:50:32 GMT""}]","2008-02-03"
"cond-mat/9603095","Achille Giacometti","Achille Giacometti and K. P. N. Murthy","Diffusion and Trapping on a one-dimensional lattice","20 pages, Revtex 3.0, 13 figures in compressed format using uufiles
  command, to appear in Phys. Rev. E, for an hard copy or problems e-mail to:
  giacomet@neumann.sissa.it",,"10.1103/PhysRevE.53.5647","SISSA 130/95/CM","cond-mat",,"  The properties of a particle diffusing on a one-dimensional lattice where at
each site a random barrier and a random trap act simultaneously on the particle
are investigated by numerical and analytical techniques. The combined effect of
disorder and traps yields a decreasing survival probability with broad
distribution (log-normal). Exact enumerations, effective-medium approximation
and spectral analysis are employed. This one-dimensional model shows rather
rich behaviours which were previously believed to exist only in higher
dimensionality. The possibility of a trapping-dominated super universal class
is suggested.
","[{""version"":""v1"",""created"":""Wed, 13 Mar 1996 15:49:07 GMT""}]","2009-10-28"
"dg-ga/9603005","John Wood","P. Baird (U.B.O., Brest) and J.C. Wood (Leeds)","Harmonic morphisms, conformal foliations and shear-free ray congruences","30 pages, Latex 2.09, one figure",,,"Univ. of Leeds preprint '96 no. 10","dg-ga math.DG",,"  Equivalences between conformal foliations on Euclidean $3$-space, Hermitian
structures on Euclidean $4$-space, shear-free ray congruences on Minkowski
$4$-space, and holomorphic foliations on complex $4$-space are explained
geometrically and twistorially; these are used to show that 1) any
real-analytic complex-valued harmonic morphism without critical points defined
on an open subset of Minkowski space is conformally equivalent to the direction
vector field of a shear-free ray congruence, 2) the boundary values at infinity
of a complex-valued harmonic morphism on hyperbolic $4$-space define a
real-analytic conformal foliation by curves of an open subset of Euclidean
$3$-space and all such foliations arise this way. This gives an explicit method
of finding such foliations; some examples are given.
","[{""version"":""v1"",""created"":""Wed, 13 Mar 1996 14:18:50 GMT""}]","2008-02-03"
"gr-qc/9603017",,"G. Rudolph, T. Tok","A certain class of Einstein-Yang-Mills--systems","16 pages, LaTeX 2e","Rept.Math.Phys. 39 (1997) 433-446","10.1016/S0034-4877(97)89758-3",,"gr-qc",,"  A class of $ G $-invariant Einstein-Yang-Mills (EYM) systems with
cosmological constant on homogeneous spaces $ G / H $, where $ G $ is a
semisimple compact Lie group, is presented. These EYM--systems can be obtained
in terms of dimensional reduction of pure gravity. If $ G / H $ is a symmetric
space, the EYM--system on $ G / H $ provides a static solution of the
EYM--equations on spacetime $ {\Bbb R} \times G / H $. This way, in particular,
a solution for an arbitrary Lie group $ F $, considered as a symmetric space,
is obtained. This solution is discussed in detail for the case $ F = SU(2) $. A
known analytical EYM--system on $ {\Bbb R} \times S^3 $ is recovered and it is
shown - using a relation to the BPST instanton - that this solution is of
sphaleron type. Finally, a relation to the distance of Bures and to parallel
transport along mixed states is shown.
","[{""version"":""v1"",""created"":""Tue, 12 Mar 1996 17:02:07 GMT""}]","2009-10-28"
"gr-qc/9603018","Serge Massar","S. Massar and R. Parentani","Comment on ``Vanishing Hawking Radiation from a Uniformly Accelerated
  Black Hole'', P. Yi, Phys. Rev. Lett. 75 (1995) 382","Latex, 5 pages","Phys.Rev.Lett. 78 (1997) 4526-4527","10.1103/PhysRevLett.78.4526","TAU 2325-96 LPTENS 96/17","gr-qc",,"  We argue that the analysis of transients, of decoherence effects, or of any
breaking of the exact boost invariance of the Ernst metric shows that uniformly
accelerated black holes do emit an energy flux given by the Doppler-shifted
Hawking radiation, in perfect {\it agreement} to what happens for accelerated
particles.
","[{""version"":""v1"",""created"":""Tue, 12 Mar 1996 16:20:25 GMT""}]","2009-10-28"
"gr-qc/9603019","Jorge Pullin","Rodolfo Gambini, Jorge Pullin","The general solution of the quantum Einstein equations?","3 pages, Revtex, 7 figures included with psfig","Class.Quant.Grav.13:L125-L128,1996","10.1088/0264-9381/13/11/001","CGPG-95/3-1","gr-qc hep-th math.QA q-alg",,"  We suggest how to interpret the action of the quantum Hamiltonian constraint
of general relativity in the loop representation as a skein relation on the
space of knots. Therefore, by considering knot polynomials that are compatible
with that skein relation, one guarantees that all the quantum Einstein
equations are solved. We give a particular example of such invariant and
discuss the consistency of the constraint algebra in this approach.
","[{""version"":""v1"",""created"":""Tue, 12 Mar 1996 18:57:38 GMT""}]","2010-04-06"
"gr-qc/9603020","Shuhei Mano","Shuhei Mano, Hisao Suzuki and Eiichi Takasugi","Analytic Solutions of the Teukolsky Equation and their Low Frequency
  Expansions","24 pages, minor modifications","Prog.Theor.Phys. 95 (1996) 1079-1096","10.1143/PTP.95.1079",,"gr-qc",,"  Analytic solutions of the Teukolsky equation in Kerr geometries are presented
in the form of series of hypergeometric functions and Coulomb wave functions.
Relations between these solutions are established. The solutions provide a very
powerful method not only for examining the general properties of solutions and
physical quantities when they are applied to, but also for numerical
computations. The solutions are given in the expansion of a small parameter
$\epsilon \equiv 2M\omega$, $M$ being the mass of black hole, which corresponds
to Post-Minkowski expansion by $G$ and to post-Newtonian expansion when they
are applied to the gravitational radiation from a particle in circular orbit
around a black hole. It is expected that these solutions will become a powerful
weapon to construct the theoretical template towards LIGO and VIRGO projects.
","[{""version"":""v1"",""created"":""Wed, 13 Mar 1996 11:36:48 GMT""},{""version"":""v2"",""created"":""Sat, 16 Mar 1996 03:52:27 GMT""},{""version"":""v3"",""created"":""Tue, 19 Mar 1996 11:02:41 GMT""}]","2009-10-28"
"hep-lat/9603007",,"She-Sheng Xue","The Emergence of a Heavy Quark Family on a Lattice","a talk at Melbourne Lat'95 and to appear in Phys. Lett. B",,,"MITH 95/18","hep-lat hep-ph",,"  Within the framework of the ``Rome approach'' for a lattice chiral gauge
theory, the four-quark interaction with flavour symmetry is included. We
analyse spontaneous symmetry breaking and compute composite modes and their
contributions to the ground state energy. As a result, it is shown that the
emergence of a heavy quark family is the energetically favoured solution.
","[{""version"":""v1"",""created"":""Wed, 13 Mar 1996 14:39:15 GMT""}]","2007-05-23"
"hep-ph/9603263","Lee Kang Young","Kang Young Lee and Jae Kwan Kim","The Parton Model Approach to Inclusive B meson Decays","13 pages, 3 figures and 1 tables; tarred, gzipped and uuencoded file
  icluding text, table and figures; to appear in Physics Letter B","Phys.Lett. B377 (1996) 153-160; Phys.Lett. B379 (1996) 202-208","10.1016/0370-2693(96)00314-0","KAIST-CHEP-95/09","hep-ph",,"  We test the parton model approach to inclusive $B \ra \gamma X_s$ and $B \ra
e \bar{\nu} X_u$ processes by calculating a few moments of the distribution
function. The $1/m_Q$ expansion of $b$-quark distribution function is
discussed. We show that Peterson's fragmentation function is useful as the
distribution function of $b$-quark but requires some improvements. By extension
of Peterson's arguments, we obtain the refined form for the distribution
function and with the refined function, we obtain the consistent results with
the HQET.
","[{""version"":""v1"",""created"":""Tue, 12 Mar 1996 17:02:54 GMT""}]","2015-06-25"
