"alg-geom/9603003","Teleman","Christian Okonek and Andrei Teleman","Seiberg-Witten invariants for manifolds with $b_+=1$, and the universal
  wall crossing formula","LaTeX, 27 pages. To appear in Int. J. Math",,,,"alg-geom dg-ga hep-th math.AG math.DG",,"  In this paper we describe the Seiberg-Witten invariants, which have been
introduced by Witten, for manifolds with $b_+=1$. In this case the invariants
depend on a chamber structure, and there exists a universal wall crossing
formula. For every K\""ahler surface with $p_g=0$ and $q$=0, these invariants
are non-trivial for all $Spin^c(4)$-structures of non-negative index.
","[{""version"":""v1"",""created"":""Mon, 4 Mar 1996 17:33:23 GMT""},{""version"":""v2"",""created"":""Sat, 9 Mar 1996 15:05:00 GMT""},{""version"":""v3"",""created"":""Fri, 15 Mar 1996 16:52:46 GMT""},{""version"":""v4"",""created"":""Fri, 19 Apr 1996 18:22:22 GMT""}]","2008-02-03"
"chao-dyn/9603004","Cosenza Mario","M. G. Cosenza and A. Parravano","Turbulence in Globally Coupled Maps","6 pages LaTeX; 6 figures available upon request from authors. To
  appear in Phys. Rev. E (1996)",,"10.1103/PhysRevE.53.6032",,"chao-dyn nlin.CD",,"  The phenomenon of turbulence is investigated in the context of globally
coupled maps. The local dynamics is given by the Chat\'e-Manneville minimal map
previously used in studies of spatiotemporal intermittency in locally coupled
map lattices. New features arise in the globally coupled system; for instance,
the transition to turbulence takes place discontinuously at some critical
values of the parameters of the system. The critical boundaries between
different regimes (laminar, turbulent and fully turbulent) of the system are
calculated on the parameter space. Windows of turbulence are present on some
ranges of the coupling parameter. The system also exhibits nontrivial
collective behavior. A map for the instantaneous fraction of turbulent elements
is proposed. This map describes many of the observed properties of the system.
","[{""version"":""v1"",""created"":""Tue, 5 Mar 1996 14:07:21 GMT""}]","2009-10-28"
"chem-ph/9603001","Herbert Homeier","Herbert H. H. Homeier (University of Regensburg)","Correlation Energy Estimators based on M{\o}ller-Plesset Perturbation
  Theory","21 pages, 87 references, LaTeX2e, elsart.cls, uuencoded compressed
  tar file created by csh script uufiles. J. Mol. Struct. (THEOCHEM), in press.
  Postscript and dvi also available via
  http://www.chemie.uni-regensburg.de/preprint.html and
  ftp://rchs1.uni-regensburg.de/pub/preprint/TC-QM-96-1","J. Mol. Struct. (Theochem) 366 (1996) 161",,"TC-QM-96-1","chem-ph atom-ph hep-lat math.NA physics.chem-ph quant-ph",,"  Some methods for the convergence acceleration of the M{\o}ller-Plesset
perturbation series for the correlation energy are discussed. The
order-by-order summation is less effective than the Feenberg series. The latter
is obtained by renormalizing the unperturbed Hamilton operator by a constant
factor that is optimized for the third order energy. In the fifth order case,
the Feenberg series can be improved by order-dependent optimization of the
parameter. Alternatively, one may use Pad{\'e} approximants or a further method
based on effective characteristic polynomials to accelerate the convergence of
the perturbation series. Numerical evidence is presented that, besides the
Feenberg-type approaches, suitable Pad{\'e} approximants, and also the
effective second order characteristic polynomial, are excellent tools for
correlation energy estimation.
","[{""version"":""v1"",""created"":""Tue, 5 Mar 1996 13:11:59 GMT""}]","2011-08-22"
"cond-mat/9603021","I. Peschel","Peter Kleban (University of Maine), Ingo Peschel (Freie Universitaet
  Berlin)","Casimir Terms and Shape Instabilities for Two-Dimensional Critical
  Systems","15 pages PostScript, accepted for publication in Z. Phys. B",,"10.1007/s002570050232",,"cond-mat hep-th",,"  We calculate the universal part of the free energy of certain finite two-
dimensional regions at criticality by use of conformal field theory. Two
geometries are considered: a section of a circle (""pie slice"") of angle \phi
and a helical staircase of finite angular (and radial) extent. We derive some
consequences for certain matrix elements of the transfer matrix and corner
transfer matrix. We examine the total free energy, including non- universal
edge free energy terms, in both cases. A new, general, Casimir instability
toward sharp corners on the boundary is found; other new instability behavior
is investigated. We show that at constant area and edge length, the rectangle
is unstable against small curvature.
","[{""version"":""v1"",""created"":""Mon, 4 Mar 1996 16:37:00 GMT""}]","2009-10-28"
"cond-mat/9603025","Martin Gelfand","M.P. Gelfand (1), Z. Weihong (2), R.R.P. Singh (3), J. Oitmaa (2), and
  C.J. Hamer (2) ((1) Colorado State U, (2) U New South Wales (3) U of
  California, Davis)","Convergent expansions for properties of the Heisenberg model for
  CaV$_4$O$_9$","Uses REVTEX macros. Four pages in two-column format, five postscript
  figures. Files packaged using uufiles",,"10.1103/PhysRevLett.77.2794",,"cond-mat",,"  We have carried out a wide range of calculations for the $S=1/2$ Heisenberg
model with nearest- and second-neighbor interactions on a two-dimensional
lattice which describes the geometry of the vanadium ions in the spin-gap
system CaV$_4$O$_9$. The methods used were convergent high-order perturbation
expansions (``Ising'' and ``Plaquette'' expansions at $T=0$, as well as
high-temperature expansions) for quantities such as the uniform susceptibility,
sublattice magnetization, and triplet elementary excitation spectrum.
Comparison with the data for CaV$_4$O$_9$ indicates that its magnetic
properties are well described by nearest-neighbor exchange of about 200K in
conjunction with second-neighbor exchange of about 100K.
","[{""version"":""v1"",""created"":""Mon, 4 Mar 1996 17:51:58 GMT""}]","2009-10-28"
"cond-mat/9603026","Regis Melin","R. M\'elin","Magnetic field relaxation in ferromagnetic Ising systems","9 pages, 7 figures, J.M.M.M",,"10.1016/S0304-8853(96)00278-8",,"cond-mat",,"  We analyze the thermal magnetization reversal processes in magnetic grains.
Two experiments are carried out: swtiching time and switching field
experiments. In both cases, we find that the simulated behavior is coherent
with existing experimental data (the streched exponent of the switching time
experiment increases with the temperature and is superior to unity; there
exists a master curve for the switching field experiment). Moreover, we
simulated magnetic grains in a region of parameters where no experimental data
are available. We find that the relaxation time distribution $P(\ln{\tau})$ is
gaussian, and we find the existence of a strong field regime.
","[{""version"":""v1"",""created"":""Mon, 4 Mar 1996 19:10:49 GMT""}]","2009-10-28"
"cond-mat/9603027","P. B. Sunil Kumar","P. B. Sunil Kumar, Madan Rao (Institute of Mathematical Sciences,
  Madras, India)","Kinetics of Phase Ordering in a Two-Component Fluid Membrane","18 pages LaTex file, 5 figures in compressed uuencoded PS file.
  Available on ftp at cond-mat@xxx.lanl.gov (presented at the International
  Conference on Liquid Crystals and Supramolecular Order, Bangalore, Jan-1996)",,,,"cond-mat q-bio",,"  We present a novel Monte Carlo simulation of the phase separation dynamics of
a model fluid membrane. Such a phase segregation induces shape changes of the
membrane and results in local `budding' under favourable conditions. We present
a preliminary investigation of the nucleation regime and compute a variety of
growth laws. Our study indicates that membranes with high viscosity, buckle on
account of phase segregation. We discuss the relation between this dynamical
buckling and the phenomenon of `capping' seen in biological membranes.
","[{""version"":""v1"",""created"":""Tue, 5 Mar 1996 06:23:56 GMT""}]","2007-05-23"
"cond-mat/9603028","Y. Motome","Yukitoshi Motome and Masatoshi Imada (ISSP, Univ. Tokyo)","Superfluid-Insulator Transition of Interacting Multi-Component Bosons","23 pages LaTeX including 7 PS figures",,,,"cond-mat",,"  Various types of superfluid-insulator transitions are investigated for
two-component lattice boson systems in two dimensions with on-site hard-core
repulsion and the component-dependent intersite interaction. The mean-field
phase diagram is obtained by the Gutzwiller-type variational technique in the
plane of filling and interaction parameters. Various ground-state properties
are also studied by the quantum Monte Carlo method. Our model exhibits two
types of diagonal long-range orders; the density order around the density
$n=1/2$ and the Ising-type component order near $n=1$. The quantum Monte Carlo
results for the transitions from the superfluid state to these two ordered
states show marked contrast with the Gutzwiller results. Namely, although they
are both accompanied by phase separation into commensurate ($n=1/2$ or $n=1$)
and incommensurate density phases, these transitions are both continuous. The
continuous growth of the component correlation severely suppresses the
superfluidity as well as the inverse of the effective mass in the critical
region of the component order transition in contrast to the persistence of the
superfluidity in the density-ordered state. We propose a mechanism of the mass
enhancement observed even far from the Mott insulating filling $n=1$, when the
Ising-type component order persists into $n \neq 1$. Possible relevance of this
type of mass enhancement in other systems is also discussed.
","[{""version"":""v1"",""created"":""Tue, 5 Mar 1996 02:20:01 GMT""}]","2007-05-23"
"cond-mat/9603029","Henk Stoof","H.T.C. Stoof, M. Bijlsma, and M. Houbiers","Theory of Interacting Quantum Gases","Invited paper for the NIST Journal of Research",,,"THU-96/17","cond-mat",,"  We present a unified picture of the interaction effects in dilute atomic
quantum gases. We consider fermionic as well as bosonic gases and, in
particular, discuss for both forms of statistics the fundamental differences
between a gas with effectively repulsive and a gas with effectively attractive
interatomic interactions, i.e.\ between a gas with either a positive or a
negative scattering length.
","[{""version"":""v1"",""created"":""Tue, 5 Mar 1996 07:11:33 GMT""}]","2007-05-23"
"cond-mat/9603030","Harmen J. Bussemaker","H. J. Bussemaker, M. H. Ernst (University of Utrecht)","Microscopic Theory for Long Range Spatial Correlations in Lattice Gas
  Automata","31 pages, 2 figures, final version as published","Phys. Rev. E 53, 5837-5851 (1996)","10.1103/PhysRevE.53.5837","THU-96/08","cond-mat",,"  Lattice gas automata with collision rules that violate the conditions of
semi-detailed-balance exhibit algebraic decay of equal time spatial
correlations between fluctuations of conserved densities. This is shown on the
basis of a systematic microscopic theory. Analytical expressions for the
dominant long range behavior of correlation functions are derived using kinetic
theory. We discuss a model of interacting random walkers with x-y anisotropy
whose pair correlation function decays as 1/r^2, and an isotropic fluid-type
model with momentum correlations decaying as 1/r^2. The pair correlation
function for an interacting random walker model with interactions satisfying
all symmetries of the square lattice is shown to have 1/r^4 density
correlations. Theoretical predictions for the amplitude of the algebraic tails
are compared with the results of computer simulations.
","[{""version"":""v1"",""created"":""Tue, 5 Mar 1996 14:54:09 GMT""},{""version"":""v2"",""created"":""Fri, 5 Sep 1997 19:07:15 GMT""}]","2009-10-28"
"dg-ga/9603001","Anton Deitmar","Anton Deitmar","Holomorphic torsion for Hermitian locally symmetric spaces","LATEX, 29 pages",,,,"dg-ga math.DG",,"  The holomorphic torsion of a compact locally symmetric manifold is expressed
as a special value of a zeta function built out of geometric data (closed
geodesics) of the manifold.
","[{""version"":""v1"",""created"":""Tue, 5 Mar 1996 06:30:22 GMT""},{""version"":""v2"",""created"":""Tue, 28 May 1996 07:52:06 GMT""},{""version"":""v3"",""created"":""Fri, 27 Sep 1996 08:30:02 GMT""}]","2008-02-03"
"dg-ga/9603002","Anton Deitmar","Anton Deitmar","Equivariant torsion of locally symmetric spaces","LATEX, 24 pages",,,,"dg-ga math.DG",,"  The equivariant holomorphic torsion of a compact locally symmetric manifold
and an automorphism is expressed as a special value of a zeta function built
out of geometric data (closed geodesics) of the manifold.
","[{""version"":""v1"",""created"":""Tue, 5 Mar 1996 10:54:44 GMT""}]","2008-02-03"
"hep-ex/9603001","Benn Tannenbaum","F. Abe, et al (The CDF collaboration)","Search for Chargino-Neutralino Production in \ppb\sp Collisions at
  $\sqrt{s} = 1.8$ TeV","12 pages, 1 figure,
  http://www-cdf.fnal.gov/physics/pub96/cdf3440_1a_trilep_prl.ps, submitted to
  Phys. Rev. Letters","Phys.Rev.Lett.76:4307-4311,1996","10.1103/PhysRevLett.76.4307",,"hep-ex",,"  We have searched for chargino-neutralino production (\chichi) in 1.8 TeV
\ppb\sp collisions, followed by their leptonic decays
\chione\dk\chizero\lnu\psp and \chitwo\dk\chizero\lplm. These trilepton events
are expected within a framework of the Minimal Supersymmetric Standard Model
(MSSM). In a 19.1 pb$^{-1}$ data sample collected with the Collider Detector at
Fermilab, no trilepton events were observed. Upper limits on
$\sigma(\ppb\dk\chichi)\cdot BR(\chichi\dk 3 \ell + X)$ were obtained for
various MSSM parameter space regions, yielding new 95\% confidence level lower
limits for the neutralino (\chitwo) mass which extended as high as 49 \mgev.
","[{""version"":""v1"",""created"":""Mon, 4 Mar 1996 16:12:08 GMT""}]","2010-05-12"
"hep-lat/9603003","Rajiv Gavai","Rajiv V. Gavai","A Study of the Bulk Phase Transitions of the SU(2) Lattice Gauge Theory
  with Mixed Action","LaTeX, 17 Pages; 7 Postscript Figures appended","Nucl.Phys. B474 (1996) 446-460","10.1016/0550-3213(96)00293-3","TPI-MINN-96/03, NUC-MINN-96/5-T","hep-lat",,"  Using the finite size scaling theory, we re-examine the nature of the bulk
phase transition in the fundamental-adjoint coupling plane of the SU(2) lattice
gauge theory at $\beta_A = 1.25$ where previous finite size scaling
investigations of the deconfinement phase transition showed it to be of first
order for temporal lattices with four sites. Our simulations on $N^4$ lattices
with N=6, 8, 10, 12 and 16 show an absence of a first order bulk phase
transition. We find the discontinuity in the average plaquette to decrease
approximately linearly with $N$. Correspondingly, the plaquette susceptibility
grows a lot slower with the 4-volume of the lattice than expected from a first
order bulk phase transition.
","[{""version"":""v1"",""created"":""Mon, 4 Mar 1996 22:01:07 GMT""}]","2009-10-28"
"hep-lat/9603004","Joern Rank","F. Karsch, T. Neuhaus, A. Patk\'os and J. Rank","Gauge Boson Masses in the 3-d, SU(2) Gauge-Higgs Model","20 pages, LaTeX2e File, 8 Postscript figures","Nucl.Phys. B474 (1996) 217-234","10.1016/0550-3213(96)00224-6","BI-TP 96/10, WUB 96-5","hep-lat",,"  We study gauge boson propagators in the symmetric and symmetry broken phases
of the 3-d, $SU(2)$ gauge-Higgs model. Correlation functions for the gauge
fields are calculated in Landau gauge. They are found to decay exponentially at
large distances leading to a non-vanishing mass for the gauge bosons. We find
that the W-boson screening mass drops in the symmetry broken phase when
approaching the critical temperature. In the symmetric phase the screening mass
stays small and is independent of the scalar--gauge coupling (the hopping
parameter). Numerical results coincide with corresponding calculations
performed for the pure gauge theory. We find $m_w = 0.35(1)g^2T $ in this phase
which is consistent with analytic calculations based on gap equations. This is,
however, significantly smaller than masses extracted from gauge invariant
vector boson correlation functions. As internal consistency check we also have
calculated correlation functions for gauge invariant operators leading to
scalar and vector boson masses. Finite lattice size effects have been
systematically analyzed on lattices of size $L^2\times L_z$ with $L=4-24$ and
$L_z = 16 - 128$.
","[{""version"":""v1"",""created"":""Tue, 5 Mar 1996 14:54:58 GMT""}]","2009-10-28"
"hep-ph/9603215","Anirban Kundu","Debrupa Chakraverty, Triptesh De, Binayak Dutta-Roy and Anirban Kundu","Applicability of Heavy Quark Effective Theory to the Radiative Decay
  $B\to K^* + \gamma$","Plain LaTeX file","Int.J.Mod.Phys. A12 (1997) 2763-2778","10.1142/S0217751X97001523","SINP-TNP/96-04, TIFR/TH/96-13","hep-ph",,"  In the context of the observed decay $B \rightarrow K^* \gamma$ the
applicability of the Heavy Quark Effective Theory (HQET), treating both b and s
as heavy quarks, is examined. We show that the heavy s-quark approximation, as
can be found in the literature, is not reliable.
","[{""version"":""v1"",""created"":""Mon, 4 Mar 1996 19:29:21 GMT""}]","2015-06-25"
