"alg-geom/9603017","Robert Lazarsfeld","Lawrence Ein, Robert Lazarsfeld","Singularities of Theta Divisors, and the Birational Geometry of
  Irregular Varieties","19 pages, AMS-TeX, v. 2.1",,,,"alg-geom math.AG",,"  The purpose of this paper is to show how the generic vanishing theorems of M.
Green and the second author can be used to settle several questions and
conjectures concerning the geometry of irregular complex projective varieties.
First, we prove a conjecture of Arbarello and DeConcini characterizing
principally polarized abelian varieties whose theta divisors are singular in
codimension one. Secondly, we study the holomorphic Euler characteristics of
varieties of general type having maximal Albanese dimension: we verify a
conjecture of Kollar for subvarieties of abelian varieties, but show that it
fails in general. Finally, we give a surprisingly simple new proof of a
fundamental theorem of Kawamata concerning the Albanese mapping of projective
varieties of Kodaira dimension zero.
","[{""version"":""v1"",""created"":""Thu, 21 Mar 1996 19:26:01 GMT""}]","2008-02-03"
"gr-qc/9603036","Saha Bijan","Yu. P. Rybakov, B. Saha and G. N. Shikin","Droplet-like Solutions to the Nonlinear Scalar Field Equations in the
  Robertson-Walker Space-time and their Stability","LaTeX, 6 pages",,,"JINR Preprint E2-95-197","gr-qc",,"  Exact droplet-like solutions to the nonlinear scalar field equations have
been obtained in the Robertson-Walker space-time and their linearized stability
has been proved.
","[{""version"":""v1"",""created"":""Fri, 22 Mar 1996 14:02:27 GMT""}]","2007-05-23"
"hep-lat/9603017",,"Adriano Di Giacomo, Enrico Meggiolaro and Haralambos Panagopoulos","Field strength correlations in the QCD vacuum at short distance","9 pages, LaTeX file, + 3 PS figures, uuencoded-tar-compressed",,,"IFUP--TH 12/96, UCY--PHY--96/5","hep-lat hep-ph",,"  We determine by numerical simulations on a lattice the gauge--invariant
two--point correlation function of the gauge field strengths in the QCD vacuum,
down to a distance of 0.1 fm.
","[{""version"":""v1"",""created"":""Thu, 21 Mar 1996 23:08:40 GMT""}]","2007-05-23"
"hep-lat/9603019","Robert D. Mawhinney","Robert D. Mawhinney (Columbia University)","Finite Volume Effects and Quenched Chiral Logarithms","5 pages, Latex with included macro. 4 encapsulated postscript figures
  included. Contribution to Lattice '95","Nucl.Phys.Proc.Suppl. 47 (1996) 557-560","10.1016/0920-5632(96)00121-1","CU-TP-738","hep-lat",,"  We have measured the valence pion mass and the valence chiral condensate on
lattice configurations generated with and without dynamical fermions. We find
that our data and that of others is well represented by a linear relationship
between $m_{\pi}^2$ and the valence quark mass, with a non-zero intercept. For
our data, we relate the intercept to finite volume effects visible in the
valence chiral condensate. We see no evidence for the singular behavior
expected from quenched chiral logarithms.
","[{""version"":""v1"",""created"":""Fri, 22 Mar 1996 13:57:23 GMT""}]","2009-10-28"
"hep-ph/9603367",,"Fuguang Cao (ITP) and T. Huang (BIHEP)","Perturbative QCD study on the photonic penguin contributions to the
  decay $B\to K^* \gamma$","13 pages, latex, 2 PostScript figures, more meson wave function
  models are employed in numerical calculation, the text is revised
  substantially, to be published in Z. Phys. C","Eur.Phys.J.C4:277-281,1998","10.1007/s100520050205",,"hep-ph",,"  Including corrections of order $O(m_{K^*}/m_B)$, we present an analysis of
photonic penguin contributions to the decay $B\to K^* \gamma$ in the
perturbative QCD framework. Employing several models of the meson wave
functions, we demonstrate that the corrections of $O(m_{K^*}/m_B)$ are enhanced
and will providesubstantial contributions to the decay because of the B meson
wave function being sharply peaked (bound state effect). The numerical
predictions for the corrections are about $30%\sim 60%$ which depend on the
non-perturbative inputs such as the meson wave functions and the $b$-quark
mass.
","[{""version"":""v1"",""created"":""Thu, 21 Mar 1996 23:41:02 GMT""},{""version"":""v2"",""created"":""Mon, 6 Oct 1997 08:41:00 GMT""}]","2011-09-13"
"hep-ph/9603369","Pietro Santorelli","Salvatore Esposito and Pietro Santorelli","A Geometric Picture For Fermion Masses","7 pages LATEX + 1 figure","Mod.Phys.Lett. A10 (1995) 3077-3082","10.1142/S0217732395003215","DSF 59/94","hep-ph",,"  We describe a geometric picture for the pattern of fermion masses of the
three generations which is invariant with respect to the renormalization group
below the electroweak scale. Moreover, we predict the upper limit for the ratio
between the Dirac masses of the $\mu$ and $\tau$ neutrinos, $m_{\nu_{\mu}}/
m_{\nu_{\tau}} < (9.6 \pm 0.6) 10^{-3}$.
","[{""version"":""v1"",""created"":""Thu, 21 Mar 1996 18:49:13 GMT""}]","2015-06-25"
"hep-ph/9603370",,"M. Carena","Unification of Couplings in the MSSM","10 pages, LaTex file, no figures, to appear in the Proceedings of the
  Brussels EPS-HEP 95 Conference, Aug.-Sep. 1995",,,"CERN-TH/95-319","hep-ph",,"  I briefly summarize the main features related to the unification of gauge and
Yukawa couplings in the MSSM, emphasizing the predictions derived in this
framework, which are of special interest in the light of present and
near--future experiments
","[{""version"":""v1"",""created"":""Thu, 21 Mar 1996 19:53:55 GMT""}]","2007-05-23"
"hep-ph/9603371","Otto Kong","Paul H. Frampton and Otto C. W. Kong (UNC-Chapel Hill)","Quarks, Squarks and Textures","Slight modifications in presentation; one table added; version to
  appear in Phys.Rev.D","Phys.Rev. D55 (1997) 5501-5507","10.1103/PhysRevD.55.5501","IFP-724-UNC","hep-ph",,"  By studying symmetric mass textures for the up and down quark sectors, and
expanding in a small parameter $\lambda \sim sin\theta_C$, bounds are set on
entries commonly assumed to vanish. Consequences of a 2 + 1 family structure
which can result from horizontal symmetry are examined. Generalizing to
squarks, we study suppression of Flavor Changing Neutral Currents by mass
degeneracy and/or small mixing angles.
","[{""version"":""v1"",""created"":""Thu, 21 Mar 1996 21:55:29 GMT""},{""version"":""v2"",""created"":""Fri, 28 Jun 1996 00:19:54 GMT""},{""version"":""v3"",""created"":""Fri, 31 Jan 1997 22:48:21 GMT""}]","2009-10-28"
"hep-ph/9603372","Otto Kong","Paul H. Frampton and Otto C. W. Kong (University of North Carolina at
  Chapel Hill)","Horizontal Symmetry for Quark and Squark Masses in Supersymmetric SU(5)","15 pages, latex, 1 latex figure included version to be published in
  Phys. Rev. Lett. ; some small changes in notations and presentation, a small
  paragragh and 3 references added","Phys.Rev.Lett. 77 (1996) 1699-1702","10.1103/PhysRevLett.77.1699","IFP-725-UNC","hep-ph",,"  Recent interest in horizontal symmetry model building has been driven mainly
by the large top mass and hence strong hierarchy in quark masses, and the
possibility of appropriately constrained soft squark mass matrices, in place of
an assumed universality condition, for satisfying the relevant FCNC
constraints. Here we present the first successful SUSY-$SU(5)$ model that has
such a feature. The horizontal symmetry is a gauged $(Q_{12} \times U(1))_H$
($\subset (SU(2) \times U(1))_H$). All nonrenormalizable terms compatible with
the symmetry are allowed in the mass matrix constructions. Charged lepton
masses can also be accommodated.
","[{""version"":""v1"",""created"":""Thu, 21 Mar 1996 21:59:24 GMT""},{""version"":""v2"",""created"":""Fri, 28 Jun 1996 00:33:17 GMT""}]","2009-10-28"
"hep-ph/9603373",,"T.Csorgo (Columbia and KFKI RMKI), P. Levai (KFKI RMKI) and B. Lorstad
  (Lund)","Numerical Study of Spectrum and HBT Radii for Three-Dimensionally
  Expanding, Cylindrically Symmetric, Finite Systems","LaTeX, uses epsf.sty, 19 pages without figures, 16 eps figures are
  NOT included, full uufiled source with figures (1.4MB) is available from
  http://sgi30.rmki.kfki.hu/~csorgo/papers/p95.uu . Invited talk by T. Csorgo,
  School and Workshop on Heavy Ion Collisions, Bratislava, September 1995.
  Submitted to Acta Physica Slovaca","Acta Phys. Slovaca 46 (1996) 585 - 610",,,"hep-ph nucl-th",,"  This study is devoted to a detailed numerical testing of the analytical
results obtained recently for the $M_t$-scaling of the parameters of the
Bose-Einstein correlation functions. Numerical testing of analytical results
for the spectrum is also performed, since the geometrical sizes are folded into
the momentum distribution in the scaling limiting case. The analytical results
are shown to be valid in a wider rapidity-range than thought before.
","[{""version"":""v1"",""created"":""Thu, 21 Mar 1996 22:09:34 GMT""}]","2007-05-23"
"hep-ph/9603374","Paolo Gambino","G. Degrassi (1), P. Gambino (2), A. Vicini (1), ((1) Padova, (2) Max
  Planck Munich)","Two-loop heavy top effects on the MZ-MW interdependence","11 pages, LaTeX, includes 1 LaTeX figure, uses equations.sty and
  cite.sty, one minor comment and interpolation function for variable mtop
  added, no change in the results","Phys.Lett. B383 (1996) 219-226","10.1016/0370-2693(96)00720-4","DFPD 96/TH/20, MPI-PhT-96-17","hep-ph",,"  The O(alpha^2 mt^2/mw^2) correction to the relation between G_\mu and the
vector boson masses is computed in the MSbar scheme, and the results are used
to investigate the magnitude of the effect on the theoretical prediction of mw
and sin^2\theta_\msbar(mz) from alpha, G_\mu, and mz.
","[{""version"":""v1"",""created"":""Thu, 21 Mar 1996 23:20:48 GMT""},{""version"":""v2"",""created"":""Fri, 5 Apr 1996 15:24:12 GMT""}]","2009-10-28"
"hep-ph/9603375","Tsuneo Uematsu","Tsuneo Uematsu","Higher-twist Effects in Spin Structure Functions","5 pages, LaTeX, Talk given at the RIKEN Symposium on ""Spin Structure
  of the Nucleon"", Wako, Japan, Dec.18-19,1995 (to appear in the Proceedings)",,,"KUCP-89","hep-ph",,"  We discuss the QCD effects of the higher-twist operators in the nucleon
spin-dependent structure functions measured by the polarized deep inelastic
leptoproduction.
  We particularly study the renormalization of the twist-3 and twist-4
operators within the framework of operator product expansions and
renormalization group methods in perturbative QCD.
  Emphasis will be placed on the role of the operators proportional to equation
of motion which appear in the mixing of the higher-twist operators through
renormalization.
  The logarithmic and power corrections in $Q^2$ due to the lowest spin
higher-twist operators are discussed for the first moment of $g_1$ structure
function, Bjorken and Ellis-Jaffe sum rules, as well as the lower moments of
$g_2$ structure function.
","[{""version"":""v1"",""created"":""Fri, 22 Mar 1996 01:47:31 GMT""}]","2016-09-01"
"hep-ph/9603376","Yoshio Koide","Yoshio Koide","Neutrino Mixing in a Democratic-Seesaw-Mass-Matrix Model","11 pages (latex) + 3 figures (postscript), uuencoded","Mod.Phys.Lett.A11:2849-2860,1996","10.1142/S0217732396002836","US-96-04","hep-ph",,"  On the basis of a seesaw-type mass matrix model for quarks and leptons, $M_f
\simeq m_L M_F^{-1} m_R$, where $m_L\propto m_R$ are universal for $f=u,d,\nu$
and $e$ (up-quark-, down-quark-, neutrino- and charged lepton-sectors), and
$M_F$ has a form [(unit matrix)+(democratic-type matrix)], neutrino masses and
mixings are investigated. It is tried to understand a large
$\nu_\mu$-$\nu_\tau$ mixing, i.e., $\sin^2 2\theta_{23}\sim 1$, with $m_{\nu 1}
\ll m_{\nu 2} \sim m_{\nu 3}$, which has been suggested by the atmospheric
neutrino data.
","[{""version"":""v1"",""created"":""Fri, 22 Mar 1996 01:54:07 GMT""},{""version"":""v2"",""created"":""Tue, 9 Apr 1996 22:48:12 GMT""}]","2014-11-17"
"hep-ph/9603377","Tsuneo Uematsu","Jiro Kodaira, Yoshiaki Yasui, Kazuhiro Tanaka and Tsuneo Uematsu","QCD Corrections to the nucleon's spin structure function $G_2(x,Q^2)$","10 pages, LaTeX, 1 Postscript figure","Phys.Lett. B387 (1996) 855-860","10.1016/0370-2693(96)01087-8","HUPD-9603, JUPD-9611, KUCP-94","hep-ph",,"  We investigate the renormalization of the twist-3 operators which are
relevant for the spin-dependent structure function $g_{2}(x, Q^{2})$. We derive
the anomalous dimension for the non-singlet part by calculating the off-shell
Green's functions of the twist-3 operators including the operators which are
proportional to the equation of motion.
","[{""version"":""v1"",""created"":""Fri, 22 Mar 1996 02:21:50 GMT""}]","2009-10-28"
"hep-ph/9603378","Igor Tkatchev","S. Yu. Khlebnikov and I. I. Tkachev","Classical decay of inflaton","10 pages, 3 figures, LaTeX. A misprint in the in-line formula after
  eq.(6) is corrected; the remark on renormalization is improved; factor 1/24
  in the definition of $T_{\rm eff}$ is replaced by the correct 1/12","Phys.Rev.Lett.77:219-222,1996","10.1103/PhysRevLett.77.219","PURD-TH-96-02, OSU-TA-08/96","hep-ph astro-ph gr-qc",,"  We present the first fully non-linear calculation of inflaton decay. We map
inflaton decay onto an equivalent classical problem and solve the latter
numerically. In the $\lambda\phi^4$ model, we find that parametric resonance
develops slower and ends at smaller values of fluctuating fields, as compared
to estimates existing in literature. We also observe a number of qualitatively
new phenomena, including a stage of semiclassical thermalization, during which
the decay of inflaton is essentially as effective as during the resonance
stage.
","[{""version"":""v1"",""created"":""Fri, 22 Mar 1996 06:08:32 GMT""},{""version"":""v2"",""created"":""Wed, 27 Mar 1996 19:45:18 GMT""}]","2011-05-05"
"hep-ph/9603379","Gabriela Barenboim","G.Barenboim and J.Bernabeu","Spontaneous breakdown of CP in left-right symmetric models","22 pages, 1 postcript figure","Z.Phys. C73 (1997) 321-331",,"FTUV/96-9,IFIC/96-10","hep-ph",,"  We show that it is possible to obtain spontaneous CP violation in the minimal
$SU(2)_L \times SU(2)_R \times U(1)_{B-L}$, i.e. in a left right symmetric
model containing a bidoublet and two triplets in the scalar sector. For this to
be a natural scenario, the non-diagonal quartic couplings between the two
scalar triplets and the bidoublet play a fundamental role. We analyze the
corresponding Higgs spectrum, the suppression of FCNC's and the manifestation
of the spontaneous CP phase in the electric dipole moment of the electron.
","[{""version"":""v1"",""created"":""Fri, 22 Mar 1996 10:54:38 GMT""}]","2007-05-23"
"hep-ph/9603380","Thomas Gehrmann","T.Gehrmann, W.J.Stirling","The Effects of a New Vector Boson on the Top Quark Cross Section at the
  Tevatron","7 pages, LATEX, 4 figures included","Phys.Lett. B381 (1996) 221-225","10.1016/0370-2693(96)00542-4","DTP/96/24","hep-ph",,"  It has recently been shown that a new neutral vector boson $Z'$, with a mass
of order 1~TeV and weak couplings to quarks only, could explain both the
anomalous values of $R_b$ and $R_c$ and the apparent excess of large $E_T$ jet
events measured by the CDF collaboration. We calculate the effects of $Z'$
exchange on the $t\bar{t}$ production cross section at Tevatron $p \bar p$
collider energies, including next-to-leading-order QCD corrections. We find a
significant enhancement of the cross section and study the resulting $t \bar t$
invariant mass distribution, which could provide a decisive test of the $Z'$
model.
","[{""version"":""v1"",""created"":""Fri, 22 Mar 1996 13:19:38 GMT""}]","2009-10-28"
"hep-ph/9603382",,"A. Nicolaidis and A. Taramopoulos (University of Thessaloniki, Greece)","Shadowing of Ultrahigh Energy Neutrinos","gziped, tar file of LaTeX paper plus 2 postscript figures, 13 pages","Phys.Lett. B386 (1996) 211-216","10.1016/0370-2693(96)00948-3","THES-TP-96/04","hep-ph astro-ph",,"  The rise with energy of the neutrino--nucleon cross section implies that at
energies above few TeV the Earth is becoming opaque to cosmic neutrinos. The
neutrinos interact with the nucleons through the weak charged current,
resulting into absorption, and the weak neutral current, which provides a
redistribution of the neutrino energy. We Mellin transform the neutrino
transport equation and find its exact solution in the moment space. A simple
analytical formula is provided, which describes accurately the neutrino
spectrum, after the neutrinos have traversed the Earth. The effect of the weak
neutral current is most prominent for an initial flat neutrino spectrum and we
find that at low energies (around 1 TeV) the neutrino intensity is even
enhanced.
","[{""version"":""v1"",""created"":""Fri, 22 Mar 1996 14:12:01 GMT""}]","2009-10-28"
"hep-ph/9603384","Guy David Moore","Guy D. Moore","Motion of Chern-Simons Number at High Temperature Under a Chemical
  Potential","33 pages including figures, included with psfig. Minor rewordings,
  and a correction of an incorrect comment about Yang-Mills Higgs theory in
  Appendix A","Nucl.Phys. B480 (1996) 657-688","10.1016/S0550-3213(96)00445-2","PUP-TH-1606","hep-ph",,"  I investigate the evolution of finite temperature, classical Yang-Mills field
equations under the influence of a chemical potential for Chern Simons number
$N_{CS}$. The rate of $N_{CS}$ diffusion, $\Gamma_d$, and the linear response
of $N_{CS}$ to a chemical potential, $\Gamma_\mu$, are both computed; the
relation $\Gamma_d = 2 \Gamma_\mu$ is satisfied numerically and the results
agree with the recent measurement of $\Gamma_d$ by Ambjorn and Krasnitz. The
response of $N_{CS}$ under chemical potential remains linear at least to $\mu =
6 T$, which is impossible if there is a free energy barrier to the motion of
$N_{CS}$. The possibility that the result depends on lattice artefacts via hard
thermal loops is investigated by changing the lattice action and by examining
elongated rectangular lattices; provided that the lattice is fine enough, the
result is weakly if at all dependent on the specifics of the cutoff. I also
compare SU(2) with SU(3) and find $\Gamma_{\rm SU(3)} \sim 7
(\alpha_s/\alpha_w)^4 \Gamma_{\rm SU(2)}$.
","[{""version"":""v1"",""created"":""Fri, 22 Mar 1996 15:14:28 GMT""},{""version"":""v2"",""created"":""Mon, 1 Jul 1996 20:15:28 GMT""}]","2009-10-28"
"hep-ph/9603386","D. R. T. Jones","I. Jack, D.R.T. Jones and C.G. North","$N=1$ supersymmetry and the three loop anomalous dimension for the
  chiral superfield","18 pages. Uses Harvmac. Revised version includes discussion of the
  special case of the Wess-Zumino model","Nucl.Phys.B473:308-322,1996","10.1016/0550-3213(96)00269-6","LTH 368","hep-ph hep-th",,"  We calculate the three loop anomalous dimension for a general $N=1$
supersymmetric gauge theory. The result is used to probe the possible existence
of renormalisation invariant relationships between the Yukawa and gauge
couplings.
","[{""version"":""v1"",""created"":""Fri, 22 Mar 1996 14:53:12 GMT""},{""version"":""v2"",""created"":""Wed, 3 Apr 1996 14:22:53 GMT""}]","2008-11-26"
