"alg-geom/9606019","Misha Verbitsky","Dmitry Kaledin, Misha Verbitsky","Non-Hermitian Yang-Mills connections","48 pages, LaTeX 2e","Selecta Math. 4 (1998) 279-320",,,"alg-geom dg-ga hep-th math.AG math.DG",,"  We study Yang-Mills connections on holomorphic bundles over complex K\""ahler
manifolds of arbitrary dimension, in the spirit of Hitchin's and Simpson's
study of flat connections. The space of non-Hermitian Yang-Mills (NHYM)
connections has dimension twice the space of Hermitian Yang-Mills connections,
and is locally isomorphic to the complexification of the space of Hermitian
Yang-Mills connections (which is, by Uhlenbeck and Yau, the same as the space
of stable bundles). Further, we study the NHYM connections over hyperk\""ahler
manifolds. We construct direct and inverse twistor transform from NHYM bundles
on a hyperk\""ahler manifold to holomorphic bundles over its twistor space. We
study the stability and the modular properties of holomorphic bundles over
twistor spaces, and prove that work of Li and Yau, giving the notion of
stability for bundles over non-K\""ahler manifolds, can be applied to the
twistors. We identify locally the following two spaces: the space of stable
holomorphic bundles on a twistor space of a hyperk\""ahler manifold and the
space of rational curves in the twistor space of the ``Mukai dual''
hyperk\""ahler manifold.
","[{""version"":""v1"",""created"":""Mon, 1 Jul 1996 00:01:13 GMT""}]","2008-02-03"
"cond-mat/9607002","Nigel Cooper","N.R. Cooper and D.B. Chklovskii","Theory of Photoluminescence of the $\nu=1$ Quantum Hall State: Excitons,
  Spin-Waves and Spin-Textures","23 pages, 7 postscript figures included. Revtex with epsf.tex and
  multicol.sty. The revised version contains slightly improved numerical
  results and a few additional discussions of the results","Phys. Rev. B 55, 2436 (1997)","10.1103/PhysRevB.55.2436","I.L.L. PREPR. 96CO5030","cond-mat.mes-hall",,"  We study the theory of intrinsic photoluminescence of two-dimensional
electron systems in the vicinity of the $\nu=1$ quantum Hall state. We focus
predominantly on the recombination of a band of initial ``excitonic states''
that are the low-lying energy states of our model at $\nu=1$. It is shown that
the recombination of excitonic states can account for recent observations of
the polarization-resolved spectra of a high-mobility GaAs quantum well. The
asymmetric broadening of the spectral line in the $\sigma_-$ polarization is
explained to be the result of the ``shake-up'' of spin-waves upon radiative
recombination of excitonic states. We derive line shapes for the recombination
of excitonic states in the presence of long-range disorder that compare
favourably with the experimental observations. We also discuss the stabilities
and recombination spectra of other (``charged'') initial states of our model.
An additional high-energy line observed in experiment is shown to be consistent
with the recombination of a positively-charged state. The recombination
spectrum of a negatively-charged initial state, predicted by our model but not
observed in the present experiments, is shown to provide a direct measure of
the formation energy of the smallest ``charged spin-texture'' of the $\nu=1$
state.
","[{""version"":""v1"",""created"":""Mon, 1 Jul 1996 06:22:00 GMT""},{""version"":""v2"",""created"":""Mon, 28 Oct 1996 16:05:57 GMT""}]","2009-10-28"
"cond-mat/9607003","Eduardo Mucciolo","Henrik Bruus (CNRS-CRTBT, Grenoble, France), Caio H. Lewenkopf (UERJ,
  Rio de Janeiro, Brazil), and Eduardo R. Mucciolo (Nordita, Copenhagen,
  Denmark)","Parametric correlation of Coulomb blockade conductance peaks in chaotic
  quantum dots","8 pages, RevTeX, uses epsf, with 2 Postscript figures. To be
  published by Physica Scripta in the proceedings of the ""17th Nordic
  Semiconductor Meeting"", held in Trondheim, June 1996",,"10.1088/0031-8949/1997/T69/002","Nordita preprint # 96/41","cond-mat",,"  We investigate the autocorrelator of conductance peak heights for quantum
dots in the Coulomb blockade regime. Analytical and numerical results based on
Random Matrix Theory are presented and compared to exact numerical calculations
based on a simple dynamical model. We consider the case of preserved
time-reversal symmetry, which is realized experimentally by varying the shape
of the quantum dot in the absence of magnetic fields. Upon a proper rescaling,
the correlator becomes independent of the details of the system and its form is
solely determined by symmetry properties and the number of channels in the
leads. The magnitude of the scaling parameter is estimated by a semiclassical
approach.
","[{""version"":""v1"",""created"":""Mon, 1 Jul 1996 10:00:50 GMT""}]","2015-06-25"
"cond-mat/9607004","Li You-Quan","You-Quan Li and Zhong-Shui Ma","An exactly solvable model of the persistent currents in presence of
  hard-core interaction in a one dimensional mesoscopic ring","Revtex, no figures, to appear in J. Phys. Soc. Jpn. (1996)",,"10.1143/JPSJ.65.1519",,"cond-mat hep-th",,"  A simplest model of the persistent current in presence of many-body
interaction in a mesoscopic ring is presented. The Bethe ansatz approach is
used to find exact solutions. Both cases in the absence of impurity and in the
presence of impurity are solved and compared. It is indicated that both
impurity and hard-core interaction do not affect the result of persistent
current explicitly if there is a large number of electrons in the ring.
","[{""version"":""v1"",""created"":""Mon, 1 Jul 1996 10:56:53 GMT""}]","2009-10-28"
"cond-mat/9607005","Heiko Rieger","H. Rieger and A. P. Young","Quantum Spin Glasses","10 pages LaTeX (Springer Lecture Notes style file included), 1
  eps-figure; Review article for XIV Sitges Conference: Complex Behavior of
  Glassy Systems",,"10.1007/BFb0104832","HLRZ-48/96","cond-mat",,"  Ising spin glasses in a transverse field exhibit a zero temperature quantum
phase transition, which is driven by quantum rather than thermal fluctuations.
They constitute a universality class that is significantly different from the
classical, thermal phase transitions. Most interestingly close to the
transition in finite dimensions a quantum Griffiths phase leads to drastic
consequences for various physical quantities: for instance diverging magnetic
susceptibilities are observable over a whole range of transverse field values
in the disordered phase.
","[{""version"":""v1"",""created"":""Mon, 1 Jul 1996 12:11:03 GMT""}]","2009-10-28"
"cond-mat/9607006","Marc Mezard","J.-P. Bouchaud and M. Mezard","Velocity fluctuations in forced Burgers turbulence","10 pages latex, one postcript figure",,"10.1103/PhysRevE.54.5116","LPTENS 96/37","cond-mat chao-dyn hep-th nlin.CD",,"  We propose a simple method to compute the velocity difference statistics in
forced Burgers turbulence in any dimension. Within a reasonnable assumption
concerning the nucleation and coalescence of shocks, we find in particular that
the `left' tail of the distribution decays as an inverse square power, which is
compatible with numerical data. Our results are compared to those of various
recent approaches: instantons, operator product expansion, replicas.
","[{""version"":""v1"",""created"":""Mon, 1 Jul 1996 13:37:35 GMT""}]","2009-10-28"
"dg-ga/9606013","Michael Farber","Michael Farber","Homological algebra of Novikov-Shubin invariants and Morse inequalities","Amstex, 34 pages, to appear in GAFA",,,"Tel Aviv University preprint, July 1995","dg-ga math.DG",,"  It is shown that the topological phenomenon ""zero in the continuous
spectrum"", discovered by S.P.Novikov and M.A.Shubin, can be explained in terms
of a homology theory on the category of finite polyhedra with values in certain
abelian category. This approach implies homotopy invariance of the
Novikov-Shubin invariants. Its main advantage is that it allows to use the
standard homological techniques, such as spectral sequences, derived functors,
universal coefficients etc., while studying the Novikov-Shubin invariants. It
also leads to some new quantitative invariants, measuring the Novikov-Shubin
phenomenon in a different way, which are used in order to strengthen the Morse
type inequalities of Novikov and Shubin.
","[{""version"":""v1"",""created"":""Mon, 1 Jul 1996 00:15:27 GMT""}]","2008-02-03"
"dg-ga/9606014","Michael Farber","Michael Farber","Combinatorial invariants computing the Ray-Singer analytic torsion","Amstex, 19 pages, to appear in ""Differential Geometry and
  Applications""",,,"Tel Aviv University preprint, December 1994","dg-ga math.DG",,"  It is shown that for any piecewise-linear closed orientable manifold of odd
dimension there exists an invariantly defined metric on the determinant line of
cohomology with coefficients in an arbitrary flat bundle E over the manifold (E
is not required to be unimodular). The construction of this metric (called
Poincare - Reidemeister metric) is purely combinatorial; it combines the
standard Reidemeister type construction with Poincare duality. The main result
of the paper states that the Poincare-Reidemeister metric computes
combinatorially the Ray-Singer metric. It is shown also that the Ray-Singer
metrics on some relative determinant lines can be computed combinatorially
(including the even-dimensional case) in terms of metrics determined by
correspondences.
","[{""version"":""v1"",""created"":""Mon, 1 Jul 1996 00:15:54 GMT""}]","2008-02-03"
"gr-qc/9606093","Tsvi Piran","Shahar Hod, Tsvi Piran","Critical Behaviour and Universality in Gravitational Collapse of a
  Charged Scalar Field","30 pages and 13 figures, submitted to Physical Review D. Revised
  version with a corrected estimate of the charge critical exponent","Phys.Rev.D55:3485-3496,1997","10.1103/PhysRevD.55.3485",,"gr-qc",,"  We summarize results from a study of spherically symmetric collapse of a {\it
charged} (complex) massless scalar-field \cite{Hod}. We present an analytic
argument which conjecture the generalization of the mass-scaling relation and
echoing phenomena, originally discovered by Choptuik, for the {\it charged}
case. Furthermore, we study the behaviour of the self-similar critical solution
under {\it external} perturbations -- addition of a cosmological constant
$\Lambda$ and a charge-conjugation $e$. Finally, we study the scaling-relation
of the black-hole charge. Using an analytic argument we conjecture that
black-holes of infinitesimal mass are neutral or obey the relation $Q_{BH} \ll
M_{BH}$. We verify our predictions with numerical results.
","[{""version"":""v1"",""created"":""Sun, 30 Jun 1996 20:23:52 GMT""},{""version"":""v2"",""created"":""Thu, 4 Jul 1996 14:06:13 GMT""},{""version"":""v3"",""created"":""Wed, 31 Jul 1996 09:50:14 GMT""}]","2010-11-19"
"gr-qc/9607001","Markus Heusler","M. Heusler (University of Zurich)","On the Uniqueness of the Papapetrou--Majumdar Metric","9 pages, latex, no figures, to appear in Class. Quantum Grav","Class.Quant.Grav.14:L129-L134,1997","10.1088/0264-9381/14/7/001","ZU-TH 19/96","gr-qc",,"  We establish the equality of the ADM mass and the total electric charge for
asymptotically flat, static electrovac black hole spacetimes with completely
degenerate, not necessarily connected horizon.
","[{""version"":""v1"",""created"":""Mon, 1 Jul 1996 07:46:35 GMT""}]","2010-04-06"
"gr-qc/9607002","Leonid S. Kuzmenkov","Yu.A.Baurov & A.V.Chernikov (Central Scientific Research Institute of
  Machinery, Moscow)","Experimental investigations of demonstrational model of generator using,
  presumably, energy of physical vacuum","8 pages, latex, 2 eps figure, published in Fiz. Mysl Ross. (in
  russian)",,,,"gr-qc",,"  In this article, a developed, manufactured and tested model of a new type
generator is presented, which allows to differentiate and predict, with
probability close to 1, coasting characteristics of the rotor during its
clockwise and counter-clockwise rotation. An explication of the effect on a
base of a new interaction, different from four known ones, is provided.
","[{""version"":""v1"",""created"":""Mon, 1 Jul 1996 14:53:33 GMT""}]","2007-05-23"
"hep-lat/9607001","Juraj Bohacik","O.A. Borisenko and J. Boh\'a\v{c}ik","Invariant measure in hot gauge theories","Latex file, 65.5kB, no figures","Phys.Rev. D56 (1997) 5086-5096","10.1103/PhysRevD.56.5086",,"hep-lat",,"  We investigate properties of the invariant measure for the $A_0$ gauge field
in finite temperature gauge theories both on the lattice and in the continuum
theory. We have found the cancellation of the naive measure in both cases. The
result is quite general and holds at any finite temperature. We demonstrate,
however, that there is no cancellation at any temperature for the invariant
measure contribution understood as Z(N) symmetrical distribution of gauge field
configurations. The spontaneous breakdown of Z(N) global symmetry is entirely
due to the potential energy term of the gluonic interaction in the effective
potential. The effects of this measure on the effective action, mechanism of
confinement and $A_0$ condensation are discussed.
","[{""version"":""v1"",""created"":""Mon, 1 Jul 1996 07:19:43 GMT""}]","2009-10-28"
"hep-lat/9607002","Desmond Johnston","D.Espriu, M. Baig, D.A.Johnston and R.K.P.C.Malmini","Evidence for a first order transition in a plaquette 3d Ising-like
  action","4 pages Latex text, 4 postscript figures","J.Phys.A30:405-412,1997","10.1088/0305-4470/30/2/008",,"hep-lat",,"  We investigate a 3d Ising action which corresponds to a a class of models
defined by Savvidy and Wegner, originally intended as discrete versions of
string theories on cubic lattices. These models have vanishing bare surface
tension and the couplings are tuned in such a way that the action depends only
on the angles of the discrete surface, i.e. on the way the surface is embedded
in ${\bf Z}^3$. Hence the name gonihedric by which they are known. We show that
the model displays a rather clear first order phase transition in the limit
where self-avoidance is neglected and the action becomes a plaquette one. This
transition persists for small values of the self avoidance coupling, but it
turns to second order when this latter parameter is further increased. These
results exclude the use of this type of action as models of gonihedric random
surfaces, at least in the limit where self avoidance is neglected.
","[{""version"":""v1"",""created"":""Mon, 1 Jul 1996 12:49:31 GMT""}]","2016-09-01"
"hep-lat/9607003","Desmond Johnston","D.A.Johnston and R.P.K.C.Malmini","Gonihedric Ising Actions","Latex + 2 postscript figures. Poster session contribution to
  ""Lattice96"" conference, Washington University, StLouis","Nucl.Phys.Proc.Suppl. 53 (1997) 773-776","10.1016/S0920-5632(96)00778-5",,"hep-lat",,"  We discuss a generalized Ising action containing nearest neighbour, next to
nearest neighbour and plaquette terms that has been suggested as a potential
string worldsheet discretization on cubic lattices by Savvidy and Wegner. This
displays both first and second order transitions depending on the value of a
``self-intersection'' coupling as well as possessing a novel semi-global
symmetry.
","[{""version"":""v1"",""created"":""Mon, 1 Jul 1996 12:55:17 GMT""}]","2009-10-28"
"hep-lat/9607004","Sara Collins","S.Collins, U.M.Heller, J.Sloan, J.Shigemitsu, A.Ali Khan, C.T.H.Davies","$B$ Decay Constants from NRQCD with Dynamical Fermions","30 pages, Latex, 14 postscript figures","Phys.Rev.D55:1630-1642,1997","10.1103/PhysRevD.55.1630","FSU-SCRI-96-43, GUTPA/96/4/1, OHSTPY-HEP-T-96-009","hep-lat hep-ph",,"  We present a lattice investigation of the heavy-light meson decay constants
using Wilson light quarks and NRQCD heavy quarks, partially including the
effects of dynamical sea quarks. We calculate the pseudoscalar and vector decay
constants over a wide range in heavy quark mass and are able to perform a
detailed analysis of heavy quark symmetry. We find consistency between the
extrapolation of the NRQCD results and the static case, as expected. We find
the slope of the decay constants with $1/M$ is significantly larger than naive
expectations and the results of previous lattice calculations. For the first
time we extract the non-perturbative coefficients of the slope arising from the
$O(1/M)$ heavy quark interactions separately and show the kinetic energy of the
heavy quark is dominant and responsible for the large slope. In addition, we
find that significant systematic errors remain in the decay constant extracted
around the $B$ meson mass due to truncating the NRQCD series at $O(1/M)$. We
estimate the higher order contributions to $f_B$ are approximately $20\%$;
roughly the same size as the systematic errors introduced by using the Wilson
action for light quarks.
","[{""version"":""v1"",""created"":""Mon, 1 Jul 1996 13:20:09 GMT""}]","2010-01-18"
"hep-lat/9607005",,"S.T.West, J.F.Wheater","Critical properties of the Z(3) interface in (2+1)-D SU(3) gauge theory","26 pages, LaTex with 16 postscript figures","Nucl.Phys. B486 (1997) 261-281","10.1016/S0550-3213(96)00636-0","OUTP-96-23P","hep-lat",,"  We study the interface between two different Z(3) vacua in the deconfined
phase of SU(3) pure gauge theory in 2+1 dimensions just above the critical
temperature. In simulations of the Euclidean lattice gauge theory formulation
of the system we measure the fluctuations of the interface as the critical
temperature is approached and as a function of system size. We show that the
intrinsic width of the interface remains small even very close to the critical
temperature. Some dynamical exponents which govern the interaction of the
interface with our Monte Carlo algorithm are also estimated. We conclude that
the Z(3) interface has properties broadly similar to those in many other
comparable statistical mechanical systems.
","[{""version"":""v1"",""created"":""Mon, 1 Jul 1996 13:53:47 GMT""}]","2009-10-28"
"hep-ph/9606484","Fred Jegerlehner","F. Jegerlehner (DESY-IFH, Zeuthen)","Hadronic Vacuum Polarization Contribution to g-2 of the Leptons and
  alpha(M_Z)","11 pages, 11 postscript figures, uses espcrc2.sty. Postscript version
  available at http://www.ifh.de/~fjeger/desy-96-121.ps.gz To be published in
  the proceedings of Zeuthen Workshop on Elementary Particle Theory: QCD and
  QED in Higher Orders, Rheinsberg, Germany, 21-26 Apr 1996","Nucl.Phys.Proc.Suppl. 51C (1996) 131-141","10.1016/S0920-5632(96)90017-1","DESY-96-121","hep-ph",,"  We review and compare recent calculations of hadronic vacuum polarization
effects. In particular, we consider the anomalous magnetic moments g-2 of the
leptons and alpha(M_Z), the effective fine structure constant at the
Z--resonance.
","[{""version"":""v1"",""created"":""Sun, 30 Jun 1996 23:52:21 GMT""}]","2015-06-25"
"hep-ph/9607201","Grossman Yuval","Yuval Grossman and Harry J. Lipkin","Flavor Oscillations from a Spatially Localized Source: A Simple General
  Treatment","20 pages, revtex, no figures","Phys.Rev. D55 (1997) 2760-2767","10.1103/PhysRevD.55.2760","WIS-96/27/Jun-PH, TAUP 2346-96","hep-ph",,"  A unique description avoiding confusion is presented for all flavor
oscillation experiments in which particles of a definite flavor are emitted
from a localized source. The probability for finding a particle with the wrong
flavor must vanish at the position of the source for all times. This condition
requires flavor-time and flavor-energy factorizations which determine uniquely
the flavor mixture observed at a detector in the oscillation region; i.e. where
the overlaps between the wave packets for different mass eigenstates are almost
complete. Oscillation periods calculated for ``gedanken'' time-measurement
experiments are shown to give the correct measured oscillation wave length in
space when multiplied by the group velocity. Examples of neutrinos propagation
in a weak field and in a gravitational field are given. In these cases the
relative phase is modified differently for measurements in space and time.
Energy-momentum (frequency-wave number) and space-time descriptions are
complementary, equally valid and give the same results. The two identical phase
shifts obtained describe the same physics; adding them together to get a factor
of two is double counting.
","[{""version"":""v1"",""created"":""Mon, 1 Jul 1996 06:16:14 GMT""}]","2009-10-28"
"hep-ph/9607202","Howard Georgi","Howard Georgi and Sheldon L. Glashow (Harvard)","Decays of a Leptophobic Gauge Boson","LATEX, 12 pages with PICTEX figures","Phys.Lett.B387:341-345,1996","10.1016/0370-2693(96)00997-5","HUTP-96/A024","hep-ph",,"  We discuss the theory and phenomenology of decays of a leptophobic $U(1)_\X$
gauge boson $X$, such as has been proposed to explain the alleged deviations of
$R_b$ and $R_c$ from standard model predictions. If the scalars involved in the
breaking of the $SU(2)\times U(1)$ symmetry are sufficiently light, $X$ will
sometimes decay into a charged (or neutral) scalar along with an
oppositely-charged $W$ (or $Z$). These decay modes could yield clean signals
for the leptophobic gauge bosons at hadron colliders and provide an interesting
window into the Higgs sector of the theory.
","[{""version"":""v1"",""created"":""Mon, 1 Jul 1996 13:00:13 GMT""}]","2009-09-11"
