"adap-org/9607001","Moshe Levi","M. Levy and S. Solomon (http://shum.huji.ac.il/~sorin/)","Power Laws are Logarithmic Boltzmann Laws","latex, 9 pages with 3 figures",,"10.1142/S0129183196000491",,"adap-org cond-mat hep-lat nlin.AO",,"  Multiplicative random processes in (not necessaryly equilibrium or steady
state) stochastic systems with many degrees of freedom lead to Boltzmann
distributions when the dynamics is expressed in terms of the logarithm of the
normalized elementary variables. In terms of the original variables this gives
a power-law distribution. This mechanism implies certain relations between the
constraints of the system, the power of the distribution and the dispersion law
of the fluctuations. These predictions are validated by Monte Carlo simulations
and experimental data. We speculate that stochastic multiplicative dynamics
might be the natural origin for the emergence of criticality and scale
hierarchies without fine-tuning.
","[{""version"":""v1"",""created"":""Mon, 15 Jul 1996 11:17:12 GMT""}]","2009-10-28"
"cond-mat/9607101","Piet Brouwer","P. W. Brouwer and C. W. J. Beenakker","Phase-dependent magnetoconductance fluctuations in a chaotic Josephson
  junction","4 pages, RevTeX, 3 figures","Phys. Rev. B 54, R12705 (1996)","10.1103/PhysRevB.54.R12705",,"cond-mat",,"  Motivated by recent experiments by Den Hartog et al., we present a
random-matrix theory for the magnetoconductance fluctuations of a chaotic
quantum dot which is coupled by point contacts to two superconductors and one
or two normal metals. There are aperiodic conductance fluctuations as a
function of the magnetic field through the quantum dot and $2\pi$-periodic
fluctuations as a function of the phase difference $\phi$ of the
superconductors. If the coupling to the superconductors is weak compared to the
coupling to the normal metals, the $\phi$-dependence of the conductance is
harmonic, as observed in the experiment. In the opposite regime, the
conductance becomes a random $2\pi$-periodic function of $\phi$, in agreement
with the theory of Altshuler and Spivak. The theoretical method employs an
extension of the circular ensemble which can describe the magnetic field
dependence of the scattering matrix.
","[{""version"":""v1"",""created"":""Mon, 15 Jul 1996 08:06:26 GMT""}]","2007-05-23"
"cond-mat/9607102","Andreas Fledderjohann","A Fledderjohann, K H M\""utter, M Karbach, G M\""uller","Significance of the non-2-spinon part of $S(q,\omega)$ in the
  one-dimensional $S=1/2$ Heisenberg antiferromagnet at zero temperature","9 pages, REVTEX, 4 figures, submitted to Physical Review B",,,,"cond-mat",,"  The impact of the non-2-spinon excitations of the one-dimensional $S=1/2$
Heisenberg antiferromagnet on the integrated intensity, the susceptibility, the
frequency moments, and the Euclidian time representation of the $T=0$ dynamic
spin structure factor $S(q,\omega)$ is studied on the basis of finite-size data
for chains with up to $N=28$ sites.
","[{""version"":""v1"",""created"":""Mon, 15 Jul 1996 13:51:49 GMT""}]","2007-05-23"
"gr-qc/9607031","Mijan Huq","Richard A. Matzner, Mijan Huq, Alonso Botero, Dae Il Choi, Ullar Kask,
  Juan Lara, Steven Liebling, David Neilsen, Premana Premadi and Deirdre
  Shoemaker","Analysis of ``Gauge Modes'' in Linearized Relativity","11pages LaTeX","Class.Quant.Grav.14:L21-L27,1997","10.1088/0264-9381/14/1/004",,"gr-qc",,"  By writing the complete set of $3 + 1$ (ADM) equations for linearized waves,
we are able to demonstrate the properties of the initial data and of the
evolution of a wave problem set by Alcubierre and Schutz. We show that the
gauge modes and constraint error modes arise in a straightforward way in the
analysis, and are of a form which will be controlled in any well specified
convergent computational discretization of the differential equations.
","[{""version"":""v1"",""created"":""Sun, 14 Jul 1996 19:44:53 GMT""}]","2010-04-06"
"gr-qc/9607032","Douglas Vivian Long","D. V. Long and G. M. Shore","The Schrodinger Wave Functional and Vacuum State in Curved Spacetime II.
  Boundaries and Foliations","26 pages, 4 figures, LATEX","Nucl.Phys. B530 (1998) 279-303","10.1016/S0550-3213(98)00409-X","SWAT 96/124","gr-qc hep-th",,"  In a recent paper, general solutions for the vacuum wave functionals in the
Schrodinger picture were given for a variety of classes of curved spacetimes.
Here, we describe a number of simple examples which illustrate how the presence
of spacetime boundaries influences the vacuum wave functional and how physical
quantities are independent of the choice of spacetime foliation used in the
Schrodinger approach despite the foliation dependence of the wave functionals
themselves.
","[{""version"":""v1"",""created"":""Sun, 14 Jul 1996 19:05:31 GMT""}]","2009-10-28"
"gr-qc/9607033","Carey Carpenter Briggs","C. C. Briggs (Penn State U.)","A General Expression for the Quintic Lovelock Tensor","PostScript file, 4 pages. Typos corrected, writing improved,
  reference added, main equations left unchanged",,,,"gr-qc",,"  A general expression is given for the quintic Lovelock tensor as well as for
the coefficient of the quintic Lovelock Lagrangian in terms of the
Riemann-Christoffel and Ricci curvature tensors and the Riemann curvature
scalar for n-dimensional differentiable manifolds having a general linear
connection.
","[{""version"":""v1"",""created"":""Sun, 14 Jul 1996 23:02:01 GMT""},{""version"":""v2"",""created"":""Tue, 25 Mar 1997 06:47:00 GMT""}]","2008-02-03"
"gr-qc/9607034","Robert L. Marsa","Robert L. Marsa, Matthew W. Choptuik","Black Hole--Scalar Field Interactions in Spherical Symmetry","16 pages, 26 figures, RevTex, to appear in Phys. Rev. D","Phys.Rev.D54:4929-4943,1996","10.1103/PhysRevD.54.4929",,"gr-qc",,"  We examine the interactions of a black hole with a massless scalar field
using a coordinate system which extends ingoing Eddington-Finkelstein
coordinates to dynamic spherically symmetric-spacetimes. We avoid problems with
the singularity by excising the region of the black hole interior to the
apparent horizon. We use a second-order finite difference scheme to solve the
equations. The resulting program is stable and convergent and will run forever
without problems. We are able to observe quasi-normal ringing and power-law
tails as well an interesting nonlinear feature.
","[{""version"":""v1"",""created"":""Mon, 15 Jul 1996 15:52:51 GMT""}]","2010-11-19"
"hep-ph/9607306","Sabine Riemann","A. Leike, S. Riemann","Z' Search in e+e- Annihilation","15 pages, LaTex, 11 figures, 3 tables; table 3 changed. Version to
  appear in Zeitschrift f. Physik C","Z.Phys. C75 (1997) 341-348",,"DESY 96-111, LMU--02/96","hep-ph",,"  Expectations for constraints on extra Z bosons are derived for LEP 2 and
future linear e+e- colliders. For typical GUTs, a Z' with M_{Z'} \le 3 to 6
\sqrt{s} may cause observable effects. The Z' discovery limits are dominated by
statistical errors. However, if a Z' signal is observed, the discrimination
between different models becomes much worse if systematic errors are taken into
account. Discrimination between models is possible for M_{Z'} < 3 \sqrt{s}. A
determination of Z' f \bar f couplings independently of models becomes
attractive with future colliders. Anticipated bounds are determined.
","[{""version"":""v1"",""created"":""Sun, 14 Jul 1996 17:32:56 GMT""},{""version"":""v2"",""created"":""Mon, 23 Sep 1996 12:57:19 GMT""}]","2008-02-03"
"hep-ph/9607307","Evan Keith","N. G. Deshpande, B. Dutta and E. Keith","Effects of an intermediate scale in SUSY grand unification","3 pages (Latex, esprc2.sty used), talk given at 4th International
  Conference on Supersymmetry (SUSY '96, College Park, MD, May 29 - June 1,
  1996)","Nucl.Phys.Proc.Suppl.52A:172-176,1997","10.1016/S0920-5632(96)00556-7","OITS-606, UCRHEP-T167","hep-ph",,"  We discuss the production of lepton flavor violation and EDMs and the
viability of the $b-\tau$ unification hypothesis in SUSY grand unification with
an intermediate gauge symmetry breaking scale.
","[{""version"":""v1"",""created"":""Mon, 15 Jul 1996 05:08:51 GMT""}]","2011-01-27"
"hep-ph/9607308",,"H. Garc\'ia-Compe\'an, A. P\'erez-Lorenzana and A. Zepeda","Topological Defects in $[SU(6)]^3 \times Z_3$","Replaced version includes minor corrections along the paper, abstract
  updated. 24 pages, Latex file, uses epsf style, two PostScript figures
  included","Int.J.Mod.Phys.A14:1859-1876,1999","10.1142/S0217751X99000944","CINVESTAV-FIS 05/96","hep-ph astro-ph hep-th",,"  We study topological defects arising in the Grand Unification Model
$SU(6)_L\otimes SU(6)_c \otimes SU(6)_R \times Z_3$. We show that the model
does not contain domain walls, while it produces massive magnetic monopoles and
it may, depending on the symmetry breaking chain, give rise to the formation of
strings. We also discuss their possible relation$ the origin of the highest
energy cosmic rays detected.
","[{""version"":""v1"",""created"":""Mon, 15 Jul 1996 05:45:01 GMT""},{""version"":""v2"",""created"":""Thu, 3 Oct 1996 15:32:06 GMT""},{""version"":""v3"",""created"":""Fri, 22 Aug 1997 15:56:44 GMT""},{""version"":""v4"",""created"":""Tue, 14 Jul 1998 18:38:00 GMT""}]","2016-08-15"
"hep-ph/9607309","Roberto Pittau","R. Pittau (Paul Scherrer Institute)","A simple method for multi-leg loop calculations","22 pages, latex file, uses axodraw.sty. The paper has been
  reorganized and the method extended in n dimensions","Comput.Phys.Commun. 104 (1997) 23-36","10.1016/S0010-4655(97)00065-9","PSI-PR-96-19","hep-ph",,"  In this paper, I present a technique to simplify the tensorial reduction of
one-loop integrals with arbitrary internal masses, but at least two massless
external legs. By applying the method to rank l tensor integrals, one ends up
with at most rank 1 tensor functions with the initial number of denominators,
plus tensor integrals with less denominators and rank < l. To illustrate the
algorithm, I explicitly compute diagrams contributing to processes of physical
interest and show how the usual numerical instabilities due to the appearance
of Gram determinants can be controlled.
","[{""version"":""v1"",""created"":""Mon, 15 Jul 1996 09:59:33 GMT""},{""version"":""v2"",""created"":""Thu, 27 Mar 1997 08:51:17 GMT""}]","2009-10-28"
"hep-ph/9607310",,"Marion Flanz, Emmanuel A. Paschos, Utpal Sarkar and Jan Weiss","Baryogenesis Through Mixing of Heavy Majorana Neutrinos","15 pages (including 4 eps files)","Phys.Lett. B389 (1996) 693-699","10.1016/S0370-2693(96)01337-8",,"hep-ph",,"  A mechanism is presented, in which the mixing of right handed heavy Majorana
neutrinos creates a $CP-$asymmetric universe. When these Majorana neutrinos
subsequently decay more leptons than anti-leptons are produced. The lepton
asymmetry created by this new mechanism can exceed by a few orders of magnitude
any lepton asymmetry originating from direct decays. The asymmetry is finally
converted into a baryon asymmetry during the electroweak phase transition.
","[{""version"":""v1"",""created"":""Mon, 15 Jul 1996 10:35:39 GMT""}]","2009-10-28"
"hep-ph/9607312","Stefano Bertolini","S. Bertolini","A New Estimate of $\varepsilon '/\varepsilon$","12 pages, uuencoded LATEX2e file including 4 eps figures. Talk given
  at the Workshop on K Physics, Orsay, France, May 30 - June 4, 1996",,,"SISSA 110/96/EP","hep-ph",,"  We discuss a new estimate of $\varepsilon '/\varepsilon$ in the kaon system.
The present approach is based on the evaluation of the hadronic matrix elements
of the \mbox{$\Delta S =1$} effective quark lagrangian by means of the chiral
quark model, with the inclusion of meson one-loop renormalization and NLO
Wilson coefficients. The estimate here reviewed is fully consistent with the
$\Delta I =1/2$ selection rule in $K\to \pi\pi$ decays, which is well
reproduced within the same framework.
","[{""version"":""v1"",""created"":""Mon, 15 Jul 1996 13:07:52 GMT""}]","2007-05-23"
"hep-ph/9607313","Juan Antonio Aguilar Saavedra","J. A. Aguilar-Saavedra","Numerical diagonalization of fermion mass matrices","LaTeX, 10 pages, no figures. PostScript available at
  http://deneb.ugr.es/papers/ugft67.ps.gz. Package available by anonymous ftp
  at deneb.ugr.es in directory pub/packages/","Int.J.Mod.Phys. C8 (1997) 147-154","10.1142/S0129183197000151","UG-FT-67/96","hep-ph",,"  The diagonalization of general mass matrices is a more delicate problem when
eigenvalue degeneracies exist. In this case, often overlooked in the
literature, some difficulties arise related to the freedom in the choice of
basis in degenerate subspaces. Here two simple algorithms are developed to deal
with quark and neutrino mass matrices with arbitrary degeneracies.
","[{""version"":""v1"",""created"":""Mon, 15 Jul 1996 12:08:39 GMT""}]","2015-06-25"
"hep-ph/9607314","Ebert","D. Ebert, R. N. Faustov, V. O. Galkin, A. P. Martynenko, V. A. Saleev","Heavy baryons in the relativistic quark model","9 pages LaTeX","Z.Phys. C76 (1997) 111-115",,"HUB-EP-96/25","hep-ph",,"  In the framework of the relativistic quasipotential quark model the mass
spectrum of baryons with two heavy quarks is calculated. The quasipotentials
for interactions of two quarks and of a quark with a scalar and axial vector
diquark are evaluated. The bound state masses of baryons with
$J^P=\frac{1}{2}^+, \frac{3}{2}^+$ are computed.
","[{""version"":""v1"",""created"":""Mon, 15 Jul 1996 11:25:06 GMT""}]","2007-05-23"
"hep-ph/9607316","Cheuk-Yin Wong","Cheuk-Yin Wong (ORNL) and Lali Chatterjee (ORNL, UT, and Jadavpur)","Effects of Final-State Interaction and Screening on Strange- and
  Heavy-Quark Production","12 pages (Latex), 6 figures. Invited talk presented at Strangeness'96
  Meeting, Budapest, May 1996. To be published in ""Heavy-Ion Physics""",,"10.1007/BF03155615","ORNL-CTP-96-08","hep-ph nucl-th",,"  Final-state interaction and screening have a great influence on $q \bar q$
production cross sections, which are important quantities in many problems in
quark-gluon plasma physics. They lead to an enhancement of the cross section
for a $q \bar q$ color-singlet state and a suppression for a color-octet state.
The effects are large near the production threshold. The presence of screening
gives rise to resonances for $q\bar q$ production just above the threshold at
specific plasma temperatures. These resonances, especially $c\bar c$ and $b
\bar b$ resonances, may be utilized to search for the quark-gluon plasma by
studying the temperature dependence of heavy-quark pair production just above
the threshold.
","[{""version"":""v1"",""created"":""Mon, 15 Jul 1996 14:22:31 GMT""}]","2022-02-23"
"hep-th/9607109","Mironov","A.Marshakov, A.Mironov and A.Morozov","WDVV-like equations in N=2 SUSY Yang-Mills Theory","15 pages, LaTeX, no figures","Phys.Lett. B389 (1996) 43-52","10.1016/S0370-2693(96)01231-2","ITEP/TH-22/96, FIAN/TD-10/96","hep-th",,"  The prepotential $F(a_i)$, defining the low-energy effective action of the
$SU(N)$ ${\cal N}=2$ SUSY Yang-Mills theories, satisfies an enlarged set of the
WDVV-like equations $F_iF_k^{-1}F_j = F_jF_k^{-1}F_i$ for any triple $i,j,k =
1,\ldots,N-1$, where matrix $F_i$ is equal to $(F_i)_{mn} = \partial^3
F/\partial a_i\partial a_m\partial a_n$. The same equations are actually true
for generic topological theories. In contrast to the conventional formulation,
when $k$ is restricted to $k=0$, in the proposed system there is no
distinguished ``first'' time-variable, and indices can be raised with the help
of any ``metric'' $\eta_{mn}^{(k)} = (F_k)_{mn}$, not obligatory flat. All the
equations (for all $i,j,k$) are true simultaneously. This result provides a new
parallel between the Seiberg-Witten theory of low-energy gauge models in $4d$
and topological theories.
","[{""version"":""v1"",""created"":""Sun, 14 Jul 1996 23:06:04 GMT""}]","2009-10-30"
"hep-th/9607110","Ivo Sachs","A. Iorio, L. O'Raifeartaigh, I. Sachs, C. Wiesendanger","Weyl-Gauging and Conformal Invariance","Extended version including discussion of arbitrary spin in any
  dimensions. References added","Nucl.Phys. B495 (1997) 433-450","10.1016/S0550-3213(97)00190-9","DIAS-STP 96-11","hep-th gr-qc",,"  Scale-invariant actions in arbitrary dimensions are investigated in curved
space to clarify the relation between scale-, Weyl- and conformal invariance on
the classical level. The global Weyl-group is gauged. Then the class of actions
is determined for which Weyl-gauging may be replaced by a suitable coupling to
the curvature (Ricci gauging). It is shown that this class is exactly the class
of actions which are conformally invariant in flat space. The procedure yields
a simple algebraic criterion for conformal invariance and produces the improved
energy-momentum tensor in conformally invariant theories in a systematic way.
It also provides a simple and fundamental connection between Weyl-anomalies and
central extensions in two dimensions. In particular, the subset of
scale-invariant Lagrangians for fields of arbitrary spin, in any dimension,
which are conformally invariant is given. An example of a quadratic action for
which scale-invariance does not imply conformal invariance is constructed.
","[{""version"":""v1"",""created"":""Sun, 14 Jul 1996 20:48:54 GMT""},{""version"":""v2"",""created"":""Tue, 16 Jul 1996 15:30:51 GMT""},{""version"":""v3"",""created"":""Tue, 31 Dec 1996 16:50:59 GMT""}]","2009-10-30"
"hep-th/9607111","Michio Kaku","Michio Kaku (City College of New York)","A Note on the Stability of Quantum Supermembranes","4 pages; requires sprocl.sty (World Scientific)",,,,"hep-th",,"  We re-examine the question of the stability of quantum supermembranes. In the
past, the instability of supermembranes was established by using a regulator,
i.e. approximating the membrane by SU(N) super Yang-Mills theory and letting $N
\rightarrow \infty$. In this paper, we (a) show that the instability persists
even if we directly examine the continuum theory (b) give heuristic arguments
that even a theory of unstable membranes at the Planck length may still be
compatible with experiment (c) resolve a certain puzzling discrepancy between
earlier works on the stability of supermembranes. Presented at the 2nd
International Sakharov Conference in Moscow, May 1996.
","[{""version"":""v1"",""created"":""Sun, 14 Jul 1996 23:46:09 GMT""}]","2007-05-23"
"hep-th/9607112","Itzhak Bars","Itzhak Bars","S-Theory","Latex, 18 papges","Phys.Rev. D55 (1997) 2373-2381","10.1103/PhysRevD.55.2373","USC-96/HEP-B4","hep-th",,"  The representation theory of the maximally extended superalgebra with 32
fermionic and 528 bosonic generators is developed in order to investigate
non-perturbative properties of the democratic secret theory behind strings and
other p-branes. The presence of Lorentz non-singlet central extensions is
emphasized, their role for understanding up to 13 hidden dimensions and their
physical interpretation as boundaries of p-branes is elucidated. The criteria
for a new larger set of BPS-like non-perturbative states is given and the
methods of investigation are illustrated with several explicit examples.
","[{""version"":""v1"",""created"":""Mon, 15 Jul 1996 01:38:37 GMT""}]","2009-10-30"
"hep-th/9607113","Larus Thorlacius","S. Ramgoolam and L. Thorlacius","D-Branes and Physical States","22 pages, harvmac, no figures","Nucl.Phys. B483 (1997) 248-266","10.1016/S0550-3213(96)00475-0","PUPT-1638","hep-th",,"  States obtained by projecting boundary states, associated with D-branes, to
fixed mass-level and momentum generically define non-trivial cohomology
classes. For on-shell states the cohomology is the standard one, but when the
states are off-shell the relevant cohomology is defined using a BRST operator
with ghost zero modes removed. The zero momentum cohomology falls naturally
into multiplets of $SO(D-1,1)$. At the massless level, a simple set of D-brane
configurations generates the full set of zero-momentum states of standard ghost
number, including the discrete states. We give a general construction of
off-shell cohomology classes, which exhibits a non-trivial interaction between
left and right movers that is not seen in on-shell cohomology. This includes,
at higher mass levels, states obtained from typical D-brane boundary states as
well as states with more intricate ghost dependence.
","[{""version"":""v1"",""created"":""Mon, 15 Jul 1996 04:42:32 GMT""}]","2009-10-30"
"hep-th/9607114","Ivan V. Gorbunov","I.V. Gorbunov, S.M. Kuzenko and S.L. Lyakhovich","On the Minimal Model of Anyons","17 pages, LaTex, no figures","Int.J.Mod.Phys. A12 (1997) 4199-4215","10.1142/S0217751X97002292","QFT-TSU-9/96","hep-th",,"  We present new geometric formulations for the fractional spin particle models
on the minimal phase spaces. New consistent couplings of the anyon to
background fields are constructed. The relationship between our approach and
previously developed anyon models is discussed.
","[{""version"":""v1"",""created"":""Mon, 15 Jul 1996 06:11:53 GMT""}]","2009-10-30"
