"alg-geom/9607023","Stefan Mueller-Stach","Pedro Luis del Angel and Stefan M\""uller-Stach","Motives of uniruled 3-folds","Latex with amsfonts, 12 pages",,,,"alg-geom math.AG",,"  We construct projectors in the ring of correspondences of a complex uniruled
3-fold $X$ which lift the Kuenneth components of the diagonal in singular
cohomology and have other properties which were conjectured by J. Murre. Such
Murre decompositions have been already obtained for curves, surfaces, abelian
varieties and varieties with cell decompositions by the work of Manin,
Shermenev, Beauville, Murre et.al.. In particular they define a natural
filtration on the Chow groups of $X$ which was conjectured by Bloch and
Beilinson. To do this we use Mori theory and construct projectors in the
situation of a fiber space over a surface. These projectors may also be used in
more general situations.
","[{""version"":""v1"",""created"":""Tue, 23 Jul 1996 12:39:46 GMT""}]","2014-10-24"
"astro-ph/9607113","Abraham Naim","A. Naim and O. Lahav","What is a Peculiar Galaxy ?","6 pages, latex, 12 figures. Postscript also available from
  ftp://ftp.ast.cam.ac.uk/pub/hn/pecs . Submitted to Mon. Not. R. Astr. Soc.",,"10.1093/mnras/286.4.969","IoA-MNRAS-PEC96/2","astro-ph",,"  Following the recent surge of interest in peculiar galaxies at high redshifts
we consider the definition, or lack thereof, of morphological peculiarities on
a sample of local universe galaxies. Studying the morphology of local universe
galaxies is also of interest in trying to understand galaxy dynamics and
quantifying the relations between morphology and environment. We use
classifications given by five experts for a sample of 827 APM galaxies and find
that there is little agreement between them on what qualifies as a peculiar
galaxy. We attempt several objective approaches : matching galaxy images to
``templates''; examinig the 180-degree Asymmetry against Light Concentration
(following Abraham et al. 1995); and exploring angle-dependent asymmetry
measures. While none of the quantities we use results in a clean distinction
between normal and peculiar galaxies, there is a rough correlation between some
parameters and image peculiarity. However, the mixing between the two classes
is significant. We conclude that the class of peculiar galaxies is not totally
distinct from the class of normal galaxies, and that what we are seeing is
really a sequence. It is therefore more useful to consider distribution
functions of morphological parameters. The current and possibly other, more
accurate parametrisations require better data, which is becoming available
through CCD imaging.
","[{""version"":""v1"",""created"":""Tue, 23 Jul 1996 11:09:13 GMT""}]","2015-06-24"
"astro-ph/9607114","Trevor Ponman","T.J.Ponman, P.D.Bourner (Birmingham), H.Ebeling (IfA, Hawaii) and
  H.Bohringer (MPE)","A ROSAT survey of Hickson's compact galaxy groups","25 pages, 16 postscript figures. Accepted for publication in MNRAS","Mon.Not.Roy.Astron.Soc.283:690-708,1996","10.1093/mnras/283.2.690",,"astro-ph",,"  We report the results of an almost complete survey of the X-ray properties of
Hickson's compact galaxy groups with the ROSAT PSPC. Diffuse X-ray emission is
detected from 22 groups. We infer that hot intragroup gas is present in
$\gtsimm 75\%$ of these systems and derive their X-ray luminosity function.
Earlier reports that only spiral-poor systems exhibit diffuse X-ray emission
are found to be incorrect. Strong correlations are found between the X-ray
luminosity and both the gas temperature and the velocity dispersion of the
group galaxies. We argue that these properties provide strong evidence that
most of these groups are genuinely compact configurations, rather than
line-of-sight superpositions. Comparison with the X-ray properties of galaxy
clusters indicate a significant steepening of the $L:T$ relation below
$T\sim1$\keV, which may result from the action of galaxy winds.
","[{""version"":""v1"",""created"":""Tue, 23 Jul 1996 11:19:34 GMT""}]","2015-06-24"
"astro-ph/9607115","Mark Hindmarsh","Mark Hindmarsh (1), Mairi Sakellariadou (2) and Graham R. Vincent (1)
  ((1) Sussex University, (2) Universite de Geneve)","Cosmic Strings and Coherence","6pp Plain LaTeX, 4 EPS figures, uses epsf.sty, cmb.sty (included).
  Proceedings of CMB Workshop, Moriond 96",,,"SUSX-TH-96-010","astro-ph hep-ph",,"  Cosmic strings provide a radically different paradigm for the formation of
structure to the prevailing inflationary one. They afford some extra technical
complications: for example, the calculation of the power spectrum of matter and
radiation perturbations requires the knowledge of the history of the evolution
of the defects in the form of two-time correlation functions. We describe some
numerical simulations of string networks, designed to measure the two-time
correlations during their evolution.
","[{""version"":""v1"",""created"":""Tue, 23 Jul 1996 13:00:23 GMT""}]","2007-05-23"
"astro-ph/9607116",,"Lin Yan (European Southern Observatory) & J. G. Cohen (Caltech)","A Spectroscopic Survey for Binary Stars in the Globular Cluster NGC5053","17 pages, Tex type, 9 postscript figures, 2 postscript tables. To
  appear in the October 1996 issue of AJ",,"10.1086/118117",,"astro-ph",,"  We carried out a radial velocity survey for spectroscopic binaries in the low
density globular cluster NGC5053. Our sample contains a total of 77 cluster
member giant and subgiant stars with visual magnitudes of 14.5-18.6. Of these
77 stars, 66 stars have on average of 3-4 measurements with a total of 236
velocities. A typical velocity error per measurement is about 3 km/s. The stars
in our sample are spatially distributed from the cluster center out to 10
arcminutes in radius (4.5 core radii). Among these 66 stars with multiple
velocity measurements, we discovered 6 spectroscopic binary candidates. Of
these six candidates, one was discovered as a binary previously by Pryor et al.
(1991) and candidate ST is a binary with a very short-period of three to five
days. We obtained three possible orbital solutions for binary candidate ST by
fitting its radial velocity data. These orbital solutions are consistent with
star ST being a cluster member, although its spectrum has much stronger MgI
triplet absorption line than that of a typical low-metallicity giant star. We
estimated the fraction of binary systems which may have been missed from our
detection due to unfavorable binary orbital configurations. Our survey has a
binary discovery efficiency of 29% for systems with 3d < P < 10yr, 0.125 < q <
1.75 and eccentric orbits (0 < e < 1). This yields a binary frequency of 29%.
With Kolmogorov-Smirnov (K-S) tests, the hypothesis of a frequency in NGC5053
higher than 50% is rejected with a confidence level higher than 85%. We
conclude that the binary frequency in NGC5053 is 21-29% with 3d < P < 10yr,
0.125 < q < 1.75. This value is somewhat higher than estimates for other
clusters by various surveys. This is perhaps related to the fact that NGC5053
is relatively dynamically young compared to other clusters. (shortened version)
","[{""version"":""v1"",""created"":""Tue, 23 Jul 1996 12:48:32 GMT""}]","2009-10-28"
"astro-ph/9607117","Phillip Helbig","Thomas Liebscher, Rainer Kayser and Phillip Helbig (Hamburg
  Observatory)","Evolution in the Lyman-alpha forest","6 pages, LaTeX, uses l-aa.sty and epsf.sty to include 4 PostScript
  figures. See also
  http://www.hs.uni-hamburg.de/english/persons/helbig/Research/Publications/Inf
  o/lyman-alpha.html where additional data are also available. Paper version
  available on request. Submitted to Astronomy and Astrophysics",,,"hs-helbig-007","astro-ph",,"  We reanalyse the spectra used by D.-E. Liebscher (no relation) et al with the
same goal -- determining the cosmological parameters -- and basically the same
assumptions but with a different statistical method, which does not rely on
binning the data. Also, we correct for selection effects. We basically confirm
their result, with somewhat larger but still very small (formal) errors.
However, all world models within the 99% confidence region are ruled out
because a firm lower limit on $\Omega_{0}$ is significantly larger. This
directly demonstrates for the first time the existence of intrinsic evolution
in the Lyman-$\alpha$ forest.
","[{""version"":""v1"",""created"":""Tue, 23 Jul 1996 12:34:44 GMT""}]","2007-05-23"
"cmp-lg/9607025","Hamish Cunningham","Hamish Cunningham, Yorick Wilks, and Robert J. Gaizauskas","New Methods, Current Trends and Software Infrastructure for NLP","12 pages, LaTeX, uses nemlap.sty (included)","Proceedings of NEMLAP-2",,,"cmp-lg cs.CL",,"  The increasing use of `new methods' in NLP, which the NeMLaP conference
series exemplifies, occurs in the context of a wider shift in the nature and
concerns of the discipline. This paper begins with a short review of this
context and significant trends in the field. The review motivates and leads to
a set of requirements for support software of general utility for NLP research
and development workers. A freely-available system designed to meet these
requirements is described (called GATE - a General Architecture for Text
Engineering). Information Extraction (IE), in the sense defined by the Message
Understanding Conferences (ARPA \cite{Arp95}), is an NLP application in which
many of the new methods have found a home (Hobbs \cite{Hob93}; Jacobs ed.
\cite{Jac92}). An IE system based on GATE is also available for research
purposes, and this is described. Lastly we review related work.
","[{""version"":""v1"",""created"":""Tue, 23 Jul 1996 15:31:44 GMT""}]","2008-02-03"
"cond-mat/9607151","Giancarlo Jug","Roberto Iengo (SISSA Trieste), Giancarlo Jug (U. of Milan)","Microscopic Oscillations in the Quantum Nucleation of Vortices Subject
  to Periodic Pinning Potential in a Thin Superconductor","REVTeX file, 4 pages in two-column mode, 1 Postscript figure, to
  appear in Phys.Rev.B (Rapid Communications)",,"10.1103/PhysRevB.54.9465",,"cond-mat hep-th supr-con",,"  We present a theory for the decay of a supercurrent through nucleation of
vortex-antivortex pairs in a two-dimensional superconductor in the presence of
dissipation and of a periodic pinning potential. Through a powerful quantum
electrodynamics formulation of the problem we show that the nucleation rate
develops oscillations in its current-density dependence which are connected to
the pinning periodicity. A remnant of the dissipation-driven localization
transition is present, and an estimate of the nucleation rate suggests that
these effects might be observable in real thin superconductors.
","[{""version"":""v1"",""created"":""Mon, 22 Jul 1996 17:16:21 GMT""}]","2009-10-28"
"cond-mat/9607152","Robert Arthur Wickham","Gene F. Mazenko and Robert A. Wickham (The University of Chicago)","Fluctuations and defect-defect correlations in the ordering kinetics of
  the O(2) model","29 pages, REVTeX, to be published in Phys. Rev. E. Minor
  grammatical/syntax changes from the original",,"10.1103/PhysRevE.55.1321",,"cond-mat",,"  The theory of phase ordering kinetics for the O(2) model using the gaussian
auxiliary field approach is reexamined from two points of view. The effects of
fluctuations about the ordering field are included and we organize the theory
such that the auxiliary field correlation function is analytic in the
short-scaled distance (x) expansion. These two points are connected and we find
in the refined theory that the divergence at the origin in the defect-defect
correlation function $\tilde{g}(x)$ obtained in the original theory is removed.
Modifications to the order-parameter autocorrelation exponent $\lambda$ are
computed.
","[{""version"":""v1"",""created"":""Mon, 22 Jul 1996 17:48:25 GMT""},{""version"":""v2"",""created"":""Wed, 30 Oct 1996 18:04:38 GMT""}]","2009-10-28"
"cond-mat/9607153","Yury Krotov","D-H Lee, Y. Krotov, J. Gan and S.A. Kivelson","Composite Fermion Hall Conductance at $\nu=1/2$","9 pages, RevTeX, 4 PS figures",,,,"cond-mat",,"  We show that in the limit of vanishing bare electron effective mass, and in
the presence of particle-hole symmetric disorder (which can be of vanishing
strength), the composite fermion Hall conductance is constrained to be
$-{1\over 2}\frac{e^2}{h}$. We discuss the implications of this results for the
existence and nature of a composite Fermi liquid in the lowest Landau level.
","[{""version"":""v1"",""created"":""Mon, 22 Jul 1996 18:37:11 GMT""}]","2007-05-23"
"cond-mat/9607154","Noha M. Salem","N. M. Salem and R. J. Gooding","The annealed positions of ferromagnetic bonds doped into a 2D
  antiferromagnet","LaTeX file, 10 pages, plus 4 postscript format figures. To appear in
  Europhysics Letters",,"10.1209/epl/i1996-00158-3",,"cond-mat",,"  We determine where a given concentration of ferromagnetic (FM) bonds doped
into a square lattice antiferromagnet must go to minimize the system's total
magnetic energy. We find (i) an infinite degeneracy of ground--state
arrangements of FM bonds that correspond to completely unfrustrated
configurations for classical spins, and (ii) this degeneracy is lifted when
quantum fluctuations are included, and phase separated ground states, such as
periodic arrays of stripes of FM bonds, are found. A discussion of the
application of these ideas to doped cuprate high $T_c$ superconductors with
annealed disorder is presented.
","[{""version"":""v1"",""created"":""Mon, 22 Jul 1996 19:08:57 GMT""}]","2009-10-28"
"cond-mat/9607155","Harold Baranger","Harold U. Baranger (Bell Labs) and Pier A. Mello (UNAM, Mexico)","Reflection Symmetric Ballistic Microstructures: Quantum Transport
  Properties","4 pages, includes 3 postscript figs, uses revtex",,"10.1103/PhysRevB.54.R14297",,"cond-mat chao-dyn nlin.CD",,"  We show that reflection symmetry has a strong influence on quantum transport
properties. Using a random S-matrix theory approach, we derive the
weak-localization correction, the magnitude of the conductance fluctuations,
and the distribution of the conductance for three classes of reflection
symmetry relevant for experimental ballistic microstructures. The S-matrix
ensembles used fall within the general classification scheme introduced by
Dyson, but because the conductance couples blocks of the S-matrix of different
parity, the resulting conductance properties are highly non-trivial.
","[{""version"":""v1"",""created"":""Mon, 22 Jul 1996 20:01:48 GMT""}]","2009-10-28"
"cond-mat/9607156","Gerard Barkema","G.T. Barkema (IAS, Princeton), Normand Mousseau (Universite de
  Montreal)","Event-based relaxation of continuous disordered systems","4 pages, revtex, epsf.sty, 3 figures",,"10.1103/PhysRevLett.77.4358","IASSNS-HEP-96/83","cond-mat mtrl-th",,"  A computational approach is presented to obtain energy-minimized structures
in glassy materials. This approach, the activation-relaxation technique (ART),
achieves its efficiency by focusing on significant changes in the microscopic
structure (events). The application of ART is illustrated with two examples:
the structure of amorphous silicon, and the structure of Ni80P20, a metallic
glass.
","[{""version"":""v1"",""created"":""Mon, 22 Jul 1996 21:06:32 GMT""}]","2009-10-28"
"cond-mat/9607157","Andrew M. Tikofsky","A. M. Tikofsky","The $\nu=1/2$ Quantum Hall Effect and Symmetry Properties of
  Two-Component Paired Quantum Hall States","4 page Revtex file",,,"NSF-ITP-96-61","cond-mat",,"  We describe paired quantum Hall states at filling fractions $\nu$, where
$\nu^{-1}$ is an integer, and present explicit wavefunctions for these states.
Experiments are proposed to distinguish between paired states of singlet and
triplet symmetry. It is argued from existing experimental data that the
$\nu=1/2$ state observed in double layer quantum wells is a singlet and not a
triplet paired state. In contrast, this state has been interpreted as a `3-3-1
state' which is a triplet paired state.
","[{""version"":""v1"",""created"":""Mon, 22 Jul 1996 22:12:27 GMT""}]","2007-05-23"
"cond-mat/9607158","Zekri Nouredine","S.M.A.Nimour, N.Zekri and R.Ouasti (USTO/LEPM Oran Algeria)","Confinement in a Double Barrier Structure in the Presence of an Electric
  Field","Latex 7 pages with 4 figures. The figures are included in this
  version and the figure caption is slightly modified",,"10.1016/S0375-9601(96)00954-1","IC/IR/96/17","cond-mat",,"  The effect of electric field on the electron resonant tunnelling into a
double barrier structure is studied. We show for particular field strengths an
increase of the tunnelling time which leads us to explain the Stark-ladder
localization and Bloch oscillations in superlattices and to discuss the
quenching of luminescence in multiple quantum wells.
","[{""version"":""v1"",""created"":""Tue, 23 Jul 1996 15:38:49 GMT""},{""version"":""v2"",""created"":""Thu, 25 Jul 1996 15:43:01 GMT""}]","2009-10-28"
"cond-mat/9607159","Richard Berkovits","Richard Berkovits","The effect of electron-electron interactions on the average
  polarizability of a mesoscopic system","REVTeX, 11 pages, 3 figures, accepted for publication in PRB","Physical Review B 54, 10324 (1996)","10.1103/PhysRevB.54.10324",,"cond-mat",,"  A comparison between an analytical calculation of the polarizability of a
mesoscopic interacting system in the random phase approximation and numerical
exact diagonalization results is presented. While for weak interactions the
analytical calculation fits the numerical results rather well, deviations
appear for stronger interactions. This is the result of the appearance of
intermediate range correlations in the electron density, which suppresses the
polarizability below its classical value. The relevance to quantum dot systems
is discussed.
","[{""version"":""v1"",""created"":""Tue, 23 Jul 1996 10:13:34 GMT""}]","2009-10-28"
"cond-mat/9607160","Stefan Kehrein","Stefan K. Kehrein and Andreas Mielke (Institut fuer Theoretische
  Physik, Ruprecht-Karls-Universitaet, Heidelberg, Germany)","Low temperature equilibrium correlation functions in dissipative quantum
  systems","38 pages, LaTeX2e, seven postscript figures included, figure 8 is
  available on request from one of the authors (A.M.). The revised version
  contains minor changes, it will appear in this form in Ann. Physik (Leipzig)
  1996",,"10.1002/andp.19975090203","HD-TVP-96-7","cond-mat",,"  We introduce a new theoretical approach to dissipative quantum systems. By
means of a continuous sequence of infinitesimal unitary transformations, we
decouple the small quantum system that one is interested in from its
thermodynamically large environment. This yields a trivial final transformed
Hamiltonian. Dissipation enters through the observation that generically
observables ``decay'' completely under these unitary transformations, i.e. are
completely transformed into other terms. As a nontrivial example the spin-boson
model is discussed in some detail. For the super-Ohmic bath we obtain a very
satisfactory description of short, intermediate and long time scales at small
temperatures. This can be tested from the generalized Shiba-relation that is
fulfilled within numerical errors.
","[{""version"":""v1"",""created"":""Tue, 23 Jul 1996 12:33:29 GMT""},{""version"":""v2"",""created"":""Thu, 24 Oct 1996 15:05:15 GMT""}]","2016-08-31"
"cond-mat/9607161","Atsuhiro Kitazawa","A. Kitazawa","Twist Boundary Conditions of Quantum Spin Chains near the Gaussian Fixed
  Points","9 pages, Latex, 2 figures on request, TITCMT-96-7",,"10.1088/0305-4470/30/9/005",,"cond-mat",,"  Duality transformation, which relates a high-temperature phase to a
low-temperature one, is used exactly to determine the critical point for
several models (2D Ising, Potts, Ashkin-Teller, 8-vertex), as the self dual
condition. By changing boundary condition, numerically we can determine the
self-dual(critical) point of the Ashkin-Teller(or Gaussian) model. This is the
first explicit application of the duality to the numerical calculation, with
the use of boundary conditions.
","[{""version"":""v1"",""created"":""Tue, 23 Jul 1996 12:54:19 GMT""}]","2009-10-28"
