"alg-geom/9607014",,"Eriko Hironaka","Torsion Points on an Algebraic Subset of an Affine Torus","LaTeX, 25 pages, 4 figures. email: eko@math.toronto.edu",,,,"alg-geom math.AG",,"  Work of Laurent and Sarnak, following a conjecture of Lang, shows that the
number of torsion points of order n on an algebraic subset of an affine complex
torus is polynomial periodic. In this paper, we find bounds on the degree and
period of this number as a function of n. Some examples, including the number
of n torsion points on Fermat curves, are computed to illustrate the methods.
","[{""version"":""v1"",""created"":""Tue, 16 Jul 1996 23:33:34 GMT""}]","2008-02-03"
"cond-mat/9607124","Gabriel Tellez A.","G. Tellez","Collective modes and correlations in one-component plasmas","20 pages, plain TeX, submitted to Phys. Rev. E","Phys. Rev. E 55, 3400 (1997)","10.1103/PhysRevE.55.3400","LPTHE Orsay 96-39","cond-mat",,"  The static and time-dependent potential and surface charge correlations in a
plasma with a boundary are computed for different shapes of the boundary. The
case of a spheroidal or spherical one-component plasma is studied in detail
because experimental results are available for such systems. Also, since there
is some knowlegde both experimental and theoretical about the electrostatic
collective modes of these plasmas, the time-dependent correlations are computed
using a method involving these modes.
","[{""version"":""v1"",""created"":""Wed, 17 Jul 1996 15:53:03 GMT""}]","2009-10-28"
"dg-ga/9607003",,"Akhil Ranjan (IIT Bombay)","An Intrinsic Approach to Lichnerowicz Conjecture","9 pages, Latex",,,"MRR 04-96","dg-ga math.DG",,"  In this paper we give a proof of Lichnerowicz Conjecture for compact simply
connected manifolds which is intrinsic in the sense that it avoids the {\it
Nice Embeddings} into eigen spaces of the Laplacian. Even if one wants to use
these embeddings this paper gives a more streamlined proof.
","[{""version"":""v1"",""created"":""Wed, 17 Jul 1996 11:00:52 GMT""}]","2008-02-03"
"gr-qc/9607036",,"S. Demelio and S. Mignemi","Multi-black holes and instantons in effective string theory","10 pages, plain TeX","Int.J.Mod.Phys. D7 (1998) 73-80","10.1142/S0218271898000073","INFNCA-TH611","gr-qc",,"  The effective action for string theory which takes into account non-minimal
coupling of moduli admits multi-black hole solutions. The euclidean
continuation of these solutions can be interpreted as an instanton mediating
the splitting and recombination of the throat of extremal magnetically charged
black holes.
","[{""version"":""v1"",""created"":""Tue, 16 Jul 1996 19:23:35 GMT""}]","2015-06-25"
"gr-qc/9607037","Edgardo Salomon Cheb-Terrab","E.S. Cheb-Terrab, L.G.S. Duarte and L.A.C.P. da Mota","Computer Algebra Solving of First Order ODEs Using Symmetry Methods","14 pages, LaTeX, submitted to Computer Physics Communications.
  Soft-package (On-Line Help) and sample MapleV session available at:
  http://dft.if.uerj.br/symbcomp.htm or ftp://dft.if.uerj.br/pdetools","Comput.Phys.Commun. 101 (1997) 254-268","10.1016/S0010-4655(97)00018-0",,"gr-qc",,"  A set of Maple V R.3/4 computer algebra routines for the analytical solving
of 1st. order ODEs, using Lie group symmetry methods, is presented. The set of
commands includes a 1st. order ODE-solver and routines for, among other things:
the explicit determination of the coefficients of the infinitesimal symmetry
generator; the construction of the most general invariant 1st. order ODE under
given symmetries; the determination of the canonical coordinates of the
underlying invariant group; and the testing of the returned results.
","[{""version"":""v1"",""created"":""Tue, 16 Jul 1996 19:49:47 GMT""}]","2009-10-28"
"gr-qc/9607039","John F. Donoghue","John F.Donoghue (University of Massachusetts, Amherst)","The Quantum Theory of General Relativity at Low Energies","9 pages, Latex, talk presented at Journees Relativistes 96, Ascona,
  Switzerland, May 1996. To be published in Helv. Phys. Acta","Helv.Phys.Acta 69 (1996) 269-275",,,"gr-qc hep-th",,"  In quantum field theory there is now a well developed technique, effective
field theory, which allows one to obtain low energy quantum predictions in
``non-renormalizable'' theories, using only the degrees of freedom and
interactions appropriate for those energies. Whether or not general relativity
is truly fundamental, at low energies it is automatically described as a
quantum effective field theory and this allows a consistent framework for
quantum gravity at ordinary energies. I briefly describe the nature and limits
of the technique.
","[{""version"":""v1"",""created"":""Wed, 17 Jul 1996 14:12:00 GMT""}]","2007-05-23"
"gr-qc/9707040","Carlos Augusto Romero","A.Barros and C.Romero","Global Monopoles in Brans-Dicke Theory of Gravity","10 pages, LaTeX; replaced with revised version Wed, 24 Sep 1997","Phys.Rev.D56:6688-6691,1997","10.1103/PhysRevD.56.6688",,"gr-qc",,"  The gravitational field of a global monopole in the context of Brans-Dicke
theory of gravity is investigated. The space-time and the scalar field
generated by the monopole are obtained by solving the field equations in the
weak field approximation. A comparison is made with the corresponding results
predicted by General Relativity.
","[{""version"":""v1"",""created"":""Tue, 16 Jul 1996 18:50:24 GMT""},{""version"":""v2"",""created"":""Wed, 24 Sep 1997 18:20:46 GMT""}]","2011-09-09"
"hep-ph/9607332","Hai-Yang Cheng","Hai-Yang Cheng, Chi-Yee Cheung, Chien-Wen Hwang","Mesonic Form Factors and the Isgur-Wise Function on the Light-Front","49 pages, 11 figures","Phys.Rev. D55 (1997) 1559-1577","10.1103/PhysRevD.55.1559","IP-ASTP-04-96","hep-ph",,"  Within the light-front framework, form factors for $P\to P$ and $P\to V$
transitions ($P$: pseudoscalar meson, $V$: vector meson) due to the
valence-quark configuration are calculated directly in the entire physical
range of momentum transfer. The behavior of form factors in the infinite quark
mass limit are examined to see if the requirements of heavy-quark symmetry are
fulfilled. We find that the Bauer-Stech-Wirbel type of light-front wave
function fails to give a correct normalization for the Isgur-Wise function at
zero recoil in $P\to V$ transition. Some of the $P\to V$ form factors are found
to depend on the recoiling direction of the daughter mesons relative to their
parents. Thus, the inclusion of the non-valence configuration arising from
quark-pair creation is mandatory in order to ensure that the physical form
factors are independent of the recoiling direction. The main feature of the
non-valence contribution is discussed.
","[{""version"":""v1"",""created"":""Tue, 16 Jul 1996 20:24:11 GMT""}]","2009-10-28"
"hep-ph/9607339","Gastao Inacio Krein","G. Krein","Hadronic interactions from effective chiral Lagrangians of quarks and
  gluons",,,,"IFT-P.018/96","hep-ph nucl-th",,"  Effective chiral Lagrangians involving constituent quarks, Goldstone bosons
and long-distance gluons are believed to describe the strong interactions in an
intermediate energy region between the confinement scale and the chiral
symmetry breaking scale. Baryons and mesons in such a description are bound
states of constituent quarks. We discuss the combined use of the techniques of
effective chiral field theory and of the field theoretic method known as
Fock-Tani representation to derive effective hadron interactions. The Fock-Tani
method is based on a change of representation by means of a unitary
transformation such that the composite hadrons are redescribed by
elementary-particle field operators. Application of the unitary transformation
on the microscopic quark-quark interaction derived from a chiral effective
Lagrangian leads to chiral effective interactions describing all possible
processes involving hadrons and their constituents. The formalism is
illustrated by deriving the one-pion-exchange potential between two nucleons
using the quark-gluon effective chiral Lagrangian of Manohar and Georgi. We
also present the results of a study of the saturation properties of nuclear
matter using this formalism.
","[{""version"":""v1"",""created"":""Tue, 16 Jul 1996 16:30:03 GMT""}]","2007-05-23"
"hep-ph/9607340","Leona Kershaw","R. D. McKeown","Should the Strange Magnetic Moment of the Nucleon be Positive?","3 pages TEX, text also available at
  http://www.krl.caltech.edu/preprints/MAP.html",,,"MAP-202","hep-ph",,"  The strange magnetic moment of the nucleon ($\mu_s$) is examined as part of
the nucleon's isoscalar anomalous moment. The dominant up and down quark
effects in the anomalous moment may actually tend to favor $\mu_s >0$, which is
contrary to the negative values that generally result from model calculations.
The possible origins of this apparent discrepancy are considered.
","[{""version"":""v1"",""created"":""Tue, 16 Jul 1996 20:33:11 GMT""},{""version"":""v2"",""created"":""Mon, 22 Jul 1996 18:27:04 GMT""}]","2008-02-03"
"hep-ph/9607342","Lawrence Hall","R. Michael Barnett (LBNL) and Lawrence J. Hall (UC Berkeley and LBNL)","A Multilepton signal for supersymmetric particles in Tevatron data?","11 pages, 1 figure included","Phys.Rev.Lett. 77 (1996) 3506-3509","10.1103/PhysRevLett.77.3506","LBNL-39030","hep-ph",,"  The CDF and D0 collaborations have both reported unusual events in the
dilepton+jets sample with very high lepton and missing transverse energies. It
is possible, but very unlikely, that these events originate from top quark pair
production; however, they have characteristics that are better accounted for by
decays of supersymmetric quarks with mass in the region of 300 GeV: $\widetilde
q \to q \widetilde \chi$, $\widetilde\chi \to \nu\widetilde\ell$,
$\widetilde\ell\rightarrow \ell \widetilde \chi_1^0$. Such a supersymmetric
origin also leads to events with large transverse missing energy and either 0,
1, 2 same-sign, or 3 isolated leptons.
","[{""version"":""v1"",""created"":""Wed, 17 Jul 1996 00:42:58 GMT""}]","2009-10-28"
"hep-ph/9607343","Gye Tai Park","Gye T. Park (Yonsei U.)","$b\to s\gamma$ and $\epsilon_1$ Constraints on Supergravity Models","To appear in Mod. Phys. Lett. A, 12 Pages(LaTeX)+2 Figures (not
  included). The PS figures are available upon request from the author as a
  uuencoded file or a hard copy","Mod.Phys.Lett. A11 (1996) 1877-1886","10.1142/S0217732396001879","YUMS-96-2; SNUTP-96-003","hep-ph",,"  In the light of the top quark discovered very recently by CDF, we investigate
the possibility of narrowing down the allowed top quark masses by combining for
the first time only two strongest constraints present in the no-scale
$SU(5)\times U(1)$ supergravity model, namely, the ones from the
flavor-changing radiative decay $b\rightarrow s\gamma$ and the precision
measurements at LEP in the form of $\epsilon_{1}$. It turns out that even
without including the most devastating constraint from $\Zbb$ measurement at
LEP in the form of $R_b$ directly or $\epsilon_b$ indirectly, the combined
constraint from $b\rightarrow s\gamma$ and $\epsilon_1$ alone in fact excludes
$m_t(m_t)\gsim 180\GeV$ altogether in the no-scale model, providing a
constraint on $m_t$ near the upper end of the CDF values. The resulting upper
bound on $m_t$ is stronger and $5 \GeV$ lower than the one from combining
$\epsilon_1$ and $\epsilon_b$ constraints and also combining $b\rightarrow
s\gamma$ and $\epsilon_b $ constraints in the previous analysis.
","[{""version"":""v1"",""created"":""Wed, 17 Jul 1996 03:39:15 GMT""}]","2015-06-25"
"hep-ph/9607345","Roland Hoepker","R. H\""opker (DESY) and W. Beenakker (Univ. Leiden)","Cross-sections for squark and gluino production at hadron colliders","7 pages Latex, uses psfig.sty and sprocl.sty, 6 eps figures and
  sprocl.sty appended as uuencoded, gzipped, tarred file. Invited talk at the
  11th Topical Workshop on P-Pbar Collider Physics, Abano Terme, Italy, 26 May
  - 1 June 1996",,,,"hep-ph",,"  We present the cross-sections for the hadroproduction of squarks and gluinos
in next-to-leading order of supersymmetric QCD. The four possible final states
squark-antisquark, squark-squark, gluino-gluino and squark-gluino are analysed
for the hadron colliders Tevatron and LHC. The dependence of the cross-sections
on the renormalization and factorization scale is reduced significantly. The
shape of the transverse-momentum and rapidity distributions remains nearly
unchanged when the next-to-leading order SUSY-QCD contributions are included.
The size of the corrections at the central scale, given by the average mass of
the produced particles, varies between $+5\%$ and $+90\%$.
","[{""version"":""v1"",""created"":""Wed, 17 Jul 1996 07:31:55 GMT""}]","2007-05-23"
"hep-ph/9607346","Igor Dremin","I.M. Dremin","Density and Charge Fluctuations in Multiple Production","LATEX, 8 pages, no Figs. Talk at 7th International Workshop on
  Multiparticle Production ""Correlations and Fluctuations"", Ons Erf, The
  Netherlands, 5 July 1996",,,,"hep-ph",,"  Oscillations of cumulant moments of multiplicity distributions at high ranks,
evolution of factorial moments with bin sizes (intermittency, fractality),
zeros of the truncated generating functions of multiplicity distributions, and
charge fluctuations in multiparticle production processes are discussed.
","[{""version"":""v1"",""created"":""Wed, 17 Jul 1996 09:13:08 GMT""}]","2007-05-23"
"hep-ph/9607347","Paolo Nason","P. Nason and C. Oleari","Momentum correlations in $Z^0\to b\bar b$ and the measurement of $R^0_b$","12 pages, Latex, epsfig, 2 figures","Phys.Lett. B387 (1996) 623-628","10.1016/0370-2693(96)01060-X","CERN-TH/96-178","hep-ph",,"  We study the correlations of $b\bar b$ pairs produced in inclusive $Z^0$
decays, and their possible influence upon the determination of $R_b$.
","[{""version"":""v1"",""created"":""Wed, 17 Jul 1996 09:42:03 GMT""}]","2009-10-28"
"hep-ph/9607348","Marco Fabbrichesi","M. Fabbrichesi","The $\Delta I = 1/2$ Selection Rule. A Review","to appear in the proceedings of the Workshop on K Physics, Orsay, May
  30-June 4, 1996",,,,"hep-ph",,"  I review a recent attempt to reproduce the isospin $I= 0$ and 2 amplitudes
for the decay of a kaon into two pions by estimating the relevant hadronic
matrix elements in the chiral quark model. The results are parametrized in
terms of the quark and gluon condensates and of the constituent quark mass $M$.
The latter is a parameter characteristic of the model. For values of these
parameters within the current determinations, the $\Delta I= 1/2$ selection
rule is well reproduced by means of the cumulative effects of short-distance
NLO Wilson coefficients, penguin diagrams, non-factorizable soft-gluon
corrections and meson-loop renormalization.
","[{""version"":""v1"",""created"":""Wed, 17 Jul 1996 13:43:40 GMT""}]","2007-05-23"
"hep-ph/9607349",,"Frank Close and Harry Lipkin","Final State Interactions, Resonances and CP Violation in D and B
  Exclusive Decays",,"Phys.Lett. B405 (1997) 157-167","10.1016/S0370-2693(97)00596-0","RAL-96-051; TAUP_2352-96","hep-ph",,"  Hadron resonances affect nonexotic $D^o$ decays but not $B$ decays which are
far from the resonance region. We obtain new information from {\bf exclusive}
decays and show that interference between colour favoured and colour suppressed
diagrams is {\bf constructive} in $B$ and (some) $D$ decays in contrast to the
inclusive decays where a net Pauli destructive interference is claimed. We
suggest that a systematic study of $B$ decay final states containing excited
mesons such as $a_1 D$ or $\pi D^{**}$ show opposite behaviour for $B^o$ and
$B^+$ relative to the ground state channels. We give inequalities among final
state branching ratios for several $B$ and $D$ channels. Decays into $\pi
K^{(*)}$ and $\rho K^{(*)}$ appear to show different behaviours.
","[{""version"":""v1"",""created"":""Wed, 17 Jul 1996 14:12:16 GMT""}]","2009-10-28"
"hep-ph/9607351","John F. Donoghue","John F. Donoghue (Univ. of Massachusetts, Amherst)","Dispersion Relations and Effective Field Theory","21 pages, Latex, Lecture presented at the International School on
  Effective Field Theories, Almunecar, Spain, June 1995. Admin note: two
  figures not supplied",,,,"hep-ph",,"  The techniques of dispersion relations match very well with those of
effective field theory. I describe the techniques for using dispersion
relations effectively, and give some pedagogical examples to illustrate the
range of applications.
","[{""version"":""v1"",""created"":""Wed, 17 Jul 1996 14:29:00 GMT""}]","2007-05-23"
"hep-ph/9607352","John F. Donoghue","John F. Donoghue (Univ. of Massachusetts, Amherst)","Final State Interactions in the Decays of Heavy Quarks","6 pages, Latex, talk presented at the 3rd German-Russian Workshop on
  Heavy Quark Physics, Dubna, May 1996",,,,"hep-ph",,"  I discuss some recent results on the systematic behavior of final state
rescattering which makes use of the limit of a heavy B meson. The results
suggest that soft final state interactions do not disappear in the large $m_B$
limit. Soft and hard final state phases can both contribute to CP violating
asymmetries in B decay. The way that the soft phases occur is interesting
theoretically and suggests the violation of local quark-hadron duality.
","[{""version"":""v1"",""created"":""Wed, 17 Jul 1996 14:29:37 GMT""}]","2007-05-23"
