"alg-geom/9608028","Dan Edidin","Dan Edidin and William Graham","Algebraic Cuts","Latex2e with amssymb package, 12 pages",,,,"alg-geom math.AG",,"  Let $X$ be a projective variety with a torus action, which for simplicity we
assume to have dimension 1. If $X$ is a smooth complex variety, then the
geometric invariant theory quotient $X//G$ can be identifed with the symplectic
reduction $X_r$. Lerman introduced a construction (valid for symplectic
manifolds) called symplectic cutting, which constructs a manifold $X_c$, such
that $X_c$ is the union of $X_r$ and an open subset $X_{>0} \subset X$.
Moreover, there is a natural torus action on $X_c$ such that $X_r$ is a
component of the fixed locus. Using localization for equivariant cohomology,
this construction can be used to study of $X_r$.
  In this note, we give an algebraic version of this construction valid for
projective but possibly singular varieties defined over arbitrary fields. This
construction is useful for studying $X_r$ from the point of view of algebraic
geometry, using the equivariant intersection theory developed by the authors.
At the end of the paper we briefly give an adaptation of Lerman's proof of the
Kalkman residue formula and use it to give some formulas for characteristic
numbers of quotients by a torus.
","[{""version"":""v1"",""created"":""Fri, 23 Aug 1996 20:59:44 GMT""}]","2008-02-03"
"cond-mat/9608111","Bozidar Jovanovic","Ziqiang Wang, Bo\v{z}idar Jovanovi\'c, and Dung-Hai Lee","Critical Conductance and Its Fluctuations at Integer Hall Plateau
  Transitions","13 pages, 3 Postscript figures included, Final version with minor
  corrections, To appear in Physical Review Letters",,"10.1103/PhysRevLett.77.4426",,"cond-mat.mes-hall",,"  Under periodic boundary condition in the transverse direction, we calculate
the averaged zero-temperature two-terminal conductance ($<G>$) and its
statistical fluctuations ($<(\dg)^{2n}>$ for $n\le 4$) at the critical point of
integer quantum Hall plateau transitions. We find {\it universal} values for
$<G>=(0.58\pm0.03){e^2\over h}$, and $<(\dg)^{2n}>=({e^2\over h})^{2n}A_{2n}$,
where $A_{2,4,6,8}=0.081\pm0.005$; $0.013\pm0.003$; $0.0026\pm0.005$; and
$(8\pm2)\times10^{-4}$ respectively. We also determine the leading finite size
scaling corrections to these observables. Comparisons with experiments will be
made.
","[{""version"":""v1"",""created"":""Fri, 23 Aug 1996 19:34:31 GMT""},{""version"":""v2"",""created"":""Wed, 30 Oct 1996 19:20:25 GMT""}]","2009-10-28"
"cond-mat/9608113","Yury Krotov","Y.-C. Kao and D.-H. Lee","Bulk Versus Edge in the Quantum Hall Effect","4 pages, RevTex, 1 postscript figure",,"10.1103/PhysRevB.54.16903","LBNL-39199","cond-mat hep-th",,"  The manifestation of the bulk quantum Hall effect on edge is the chiral
anomaly. The chiral anomaly {\it is} the underlying principle of the ``edge
approach'' of quantum Hall effect. In that approach, $\sxy$ should not be taken
as the conductance derived from the space-local current-current correlation
function of the pure one-dimensional edge problem.
","[{""version"":""v1"",""created"":""Fri, 23 Aug 1996 20:53:52 GMT""}]","2009-10-28"
"cond-mat/9608114",,"Kenji Kobayashi, Chikaomi Ohe, Kaoru Iguchi","Variational state based on the Bethe ansatz solution and a correlated
  singlet liquid state in the one-dimensional t-J model","REVTeX 3.0, 27 pages. 7 figures available upon request
  (koba@cc.it-chiba.ac.jp). To be published in Phys. Rev. B 54",,"10.1103/PhysRevB.54.13129",,"cond-mat",,"  The one-dimensional t-J model is investigated by the variational Monte Carlo
method. A variational wave function based on the Bethe ansatz solution is newly
proposed, where the spin-charge separation is realized, and a long-range
correlation factor of Jastrow-type is included. In most regions of the phase
diagram, this wave function provides an excellent description of the
ground-state properties characterized as a Tomonaga-Luttinger liquid; Both of
the amplitude and exponent of correlation functions are correctly reproduced.
For the spin-gap phase, another trial state of correlated singlet pairs with a
Jastrow factor is introduced. This wave function shows generalized Luther-Emery
liquid behavior, exhibiting enhanced superconducting correlations and
exponential decay of the spin correlation function. Using these two variational
wave functions, the whole phase diagram is determined. In addition, relations
between the correlation exponent and variational parameters in the trial
functions are derived.
","[{""version"":""v1"",""created"":""Sat, 24 Aug 1996 10:40:49 GMT""}]","2009-10-28"
"cond-mat/9608115","Karl-Heinz Wagenblast","Karl-Heinz Wagenblast (Karlsruhe), Anne van Otterlo (ETH Zuerich),
  Gerd Sch\""on (Karlsruhe), and Gergely T. Zim\'anyi (UC Davis)","New Universality Class at the Superconductor--Insulator Transition","4 pages, revtex, eps-figures",,"10.1103/PhysRevLett.78.1779",,"cond-mat",,"  We study dynamic properties of thin films near the superconductor - insulator
transition. We formulate the problem in a phase representation. The key new
feature of our model is the assumption of a {\it local} ohmic dissipative
mechanism. Coarse graining leads to a Ginzburg-Landau description, with
non-ohmic dynamics for the order parameter. For strong enough damping a new
universality class is observed. It is characterized by a {\it non-universal}
d.c. conductivity, and a damping dependent dynamical critical exponent. The
formulation also provides a description of the magnetic field-tuned transition.
Several microscopic mechanisms are proposed as the origin of the dissipation.
","[{""version"":""v1"",""created"":""Sat, 24 Aug 1996 12:44:38 GMT""}]","2009-10-28"
"gr-qc/9608057","Doctorandos Relatividad","Esteban A. Calzetta and Sonia Gonorazky","Primordial fluctuations from nonlinear couplings","12 pages, Revtex, we added an appendix clarifying our assumptions
  about the initial conditions at the beggining of inflation","Phys.Rev.D55:1812-1821,1997","10.1103/PhysRevD.55.1812",,"gr-qc",,"  We study the spectrum of primordial fluctuations in theories where the
inflaton field is coupled to massless fields and/or to itself. Conformally
invariant theories generically predict a scale invariant spectrum. Scales
entering the theory through infrared divergences cause logarithmic corrections
to the spectrum, tiltilng it towards the blue. We discuss in some detail
whether these fluctuations are quantum or classical in nature.
","[{""version"":""v1"",""created"":""Fri, 23 Aug 1996 18:29:00 GMT""},{""version"":""v2"",""created"":""Thu, 28 Nov 1996 15:15:14 GMT""}]","2014-11-17"
"gr-qc/9608058","Mauricio O. Calvao","M. L. Bedran, M. O. Calvao, I. Damiao Soares and F. M. Paiva","Taub's plane-symmetric vacuum spacetime revisited","plain LaTex, four Postscript figures","Phys.Rev. D55 (1997) 3431-3439","10.1103/PhysRevD.55.3431",,"gr-qc",,"  The gravitational properties of the {\em only} static plane-symmetric vacuum
solution of Einstein's field equations without cosmological term (Taub's
solution, for brevity) are presented: some already known properties (geodesics,
weak field limit and pertainment to the Schwarzschild family of spacetimes) are
reviewed in a physically much more transparent way, as well as new results
about its asymptotic structure, possible matchings and nature of the source are
furnished. The main results point to the fact that the solution must be
interpreted as representing the exterior gravitational field due to a {\em
negative} mass distribution, confirming previous statements to that effect in
the literature. Some analogies to Kasner's spatially homogeneous cosmological
model are also referred to.
","[{""version"":""v1"",""created"":""Fri, 23 Aug 1996 22:01:24 GMT""}]","2016-08-31"
"gr-qc/9608059",,"Pedro F. Gonzalez-Diaz","Ringholes and closed timelike curves","11 pages, RevTex, 4 figures available upon request","Phys.Rev. D54 (1996) 6122-6131","10.1103/PhysRevD.54.6122","IMAFF-RCA-96-04","gr-qc",,"  It is shown that in a classical spacetime with multiply connected space
slices having the topology of a torus, closed timelike curves are also formed.
We call these spacetime ringholes. Two regions on the torus surface can be
distinguished which are separated by angular horizons. On one of such regions
(that which surrounds the maximum circumference of the torus) everything
happens like in spherical wormholes, but the other region (the rest of the
torus surface), while still possessing a chronology horizon and non-chronal
region, behaves like a coverging, rather than diverging, lens and corresponds
to an energy density which is always positive for large speeds at or near the
throat. It is speculated that a ringhole could be converted into a time machine
to perform time travels by an observer who would never encounter any matter
that violates the classical averaged weak energy condition. Based on a
calculation of vacuum fluctuations, it is also seen that the angular horizons
can prevent the emergence of quantum instabilities near the throat.
","[{""version"":""v1"",""created"":""Sat, 24 Aug 1996 11:29:19 GMT""}]","2009-10-28"
"hep-ex/9608013","Manoj K. Pillai","M. Pillai","Limits on $\zp$ production at the Tevatron using CDF and D0 data","The contents of this document have been withdrawn pending its mailing
  at a future date",,,,"hep-ex",,"  The contents of this document have been withdrawn pending its mailing at a
future date.
","[{""version"":""v1"",""created"":""Fri, 23 Aug 1996 16:07:06 GMT""},{""version"":""v2"",""created"":""Tue, 27 Aug 1996 20:52:05 GMT""}]","2008-02-03"
"hep-ex/9608014","Mark W. Bailey","Mark W. Bailey (for the CDF Collaboration)","Charmonium and Bottomonium Production in p-pbar Collisions at CDF","6 pages with 8 figures",,,"Fermilab-Conf-96/235-E","hep-ex",,"  We present measurements of charmonium and bottomonium production using a data
sample collected by CDF during the 1992-93 p-pbar collider run at the Fermilab
Tevatron.
","[{""version"":""v1"",""created"":""Fri, 23 Aug 1996 22:24:36 GMT""}]","2019-08-14"
"hep-lat/9608131","Pilar Hernandez Gamazo","Pilar Hernandez, Raman Sundrum (Harvard University)","A New Lattice Action for Studying Topological Charge","3 pages, 1 figure. Talk presented at LATTICE96(topology)","Nucl.Phys.Proc.Suppl.53:564-566,1997","10.1016/S0920-5632(96)00719-0","HUTP-96/A039","hep-lat",,"  We review our recent proposal for a new lattice action for non-abelian gauge
theories which reduces short-range lattice artifacts in the computation of the
topological susceptibility. The standard Wilson action is replaced by the
Wilson action of a gauge covariant interpolation of the original fields to a
finer lattice. We illustrate the improved behavior of a same-philosophy new
lattice action in the $O(3)$ $\sigma$-model in two dimensions.
","[{""version"":""v1"",""created"":""Fri, 23 Aug 1996 16:40:26 GMT""}]","2009-09-15"
"hep-lat/9608132","Pilar Hernandez Gamazo","Pilar Hernandez, Raman Sundrum (Harvard University)","Lattice Gauge Field Interpolation for Chiral Gauge Theories","3 pages. Based on talk presented at LATTICE96(Chiral Gauge)","Nucl.Phys.Proc.Suppl.53:655-657,1997","10.1016/S0920-5632(96)00745-1","HUTP-96/A040","hep-lat",,"  The importance of lattice gauge field interpolation for our recent
non-perturbative formulation of chiral gauge theory is emphasized. We
illustrate how the requisite properties are satisfied by our recent
four-dimensional non-abelian interpolation scheme, by going through the simpler
case of U(1) gauge fields in two dimensions.
","[{""version"":""v1"",""created"":""Fri, 23 Aug 1996 16:46:12 GMT""}]","2009-09-15"
"hep-lat/9608133",,"Shinji Ejiri, Shun-ichi Kitahara, Tsuneo Suzuki and Koji Yasuta","Critical exponents and abelian dominance in $SU(2)$ QCD","14 pages, latex, 4 figures","Phys.Lett. B400 (1997) 163-168","10.1016/S0370-2693(97)00319-5","KANAZAWA 96-13","hep-lat",,"  The critical properties of the abelian Polyakov loop and the Polyakov loop in
terms of Dirac string are studied in finite temperature abelian projected
$SU(2)$ QCD. We evaluate the critical point and the critical exponents from
each Polyakov loop in the maximally abelian gauge using the finite-size scaling
analysis. Abelian dominance in this case is proved quantitatively. The critical
point of each abelian Polyakov loop is equal to that of the non-abelian
Polyakov loop within the statistical errors. Also, the critical exponents are
in good agreement with those from non-abelian Polyakov loops.
","[{""version"":""v1"",""created"":""Sat, 24 Aug 1996 02:11:26 GMT""}]","2019-08-17"
"hep-ph/9608426","Vittorio Del Duca","Vittorio Del Duca","Forward Jets at HERA and at the Tevatron","LaTeX, 8 pages. To appear in the Proceedings of the International
  Workshop on Deep Inelastic Scattering and Related Phenomena, Roma, Italy,
  April 1996",,,"EDINBURGH 96/7","hep-ph",,"  In this talk I consider forward-jet production at HERA and at the Tevatron as
a probe of the multiple gluon radiation induced by the BFKL evolution.
","[{""version"":""v1"",""created"":""Fri, 23 Aug 1996 16:24:16 GMT""}]","2007-05-23"
"hep-ph/9608427","Vittorio Del Duca","Vittorio Del Duca","Large Rapidity Gaps between Jets at HERA and at the Tevatron","LaTeX, 5 pages. To appear in the Proceedings of the International
  Workshop on Deep Inelastic Scattering and Related Phenomena, Roma, Italy,
  April 1996",,,"EDINBURGH 96/6","hep-ph",,"  In this talk I consider the formation of a rapidity gap in hadron production
between two jets.
","[{""version"":""v1"",""created"":""Fri, 23 Aug 1996 16:44:22 GMT""}]","2007-05-23"
"hep-ph/9608428",,"Matthias Burkardt (NMSU)","Confinement and Light-Front QCD","Talk given at $3^{rd}$ AUP workshop on ""Confinement, Chaos and
  Collision"", Paris, France, June 96. Uses lprocl.sty",,,,"hep-ph",,"  Numerical results for the (rest-frame) $Q\bar{Q}$ potential in light-front
quantized $QCD_{2+1}$ on a $\perp$ lattice are presented. Both in the
longitudinal as well as the $\perp$ spatial directions one obtains linear
confinement. The confinement mechanism in light-front QCD depends on the
orientation of the external charges: for longitudinally (with respect to the
boost direction in the infinite momentum frame) separated quarks, confinement
arises from the instantaneous interaction piece in the Hamiltonian while for
$\perp$ separated quarks, the confinement mechanism is similar to the one in
Hamiltonian lattice QCD. Nevertheless, already a very simple ansatz for the
effective link-field potential yields an almost rotationally symmetric
$Q\bar{Q}$ potential. The momentum carried by the glue strongly depends on the
orientation (""polarization"") of the $Q\bar{Q}$ pair.
","[{""version"":""v1"",""created"":""Fri, 23 Aug 1996 16:49:32 GMT""}]","2007-05-23"
"hep-ph/9608429","Francois Gelis","Francois Gelis (ENSLAPP, Annecy)","Enhanced photon production near the light-cone by a hot plasma","6 figures, included by epsf. Uses the style article.sty with options
  twoside and fleqn","Nucl.Phys.Proc.Suppl. 54A (1997) 338-342","10.1016/S0920-5632(97)00064-9","ENSLAPP-A-613/96","hep-ph",,"  Strong collinear divergences, although regularized by a thermal mass, result
in a breakdown of the standard hard thermal loop expansion in the calculation
of the production rate of photons by a plasma of quarks and gluons using
thermal field theory techniques.
","[{""version"":""v1"",""created"":""Fri, 23 Aug 1996 17:20:25 GMT""}]","2009-10-28"
"hep-ph/9608430","David London","M. Gronau and D. London","New Physics in CP Asymmetries and Rare B Decays","42 pages, plain TeX (macros included), 1 figure (included). A few
  sentences added, references updated. Present manuscript is now identical to
  the version accepted for publication in Phys. Rev. D","Phys.Rev.D55:2845-2861,1997","10.1103/PhysRevD.55.2845","TECHNION-PH-96-37, UdeM-GPP-TH-96-39","hep-ph",,"  We review and update the effects of physics beyond the standard model on CP
asymmetries in B decays. These asymmetries can be significantly altered if
there are important new-physics contributions to \bqbqbar mixing. This same new
physics will therefore also contribute to rare, flavor-changing B decays.
Through a study of such decays, we show that it is possible to partially
distinguish the different models of new physics.
","[{""version"":""v1"",""created"":""Fri, 23 Aug 1996 19:42:35 GMT""},{""version"":""v2"",""created"":""Mon, 23 Dec 1996 02:46:23 GMT""}]","2014-11-17"
"hep-ph/9608431",,"B. Bailey (Eckerd College), Edmond. L. Berger (ANL), L. E. Gordon
  (ANL)","Production of Charm with a Photon at $p\bar{p}$ Colliders","4 pages, Uses epsfig",,,"ANL-HEP-CP-96-64","hep-ph",,"  The two particle inclusive cross section for the reaction
$p\bar{p}\rightarrow \gamma+c+X$ is studied in perturbative quantum
chromodynamics at order $O(\alpha_s^2)$. Differential distributions are
provided for various observables, and a comparison is made with preliminary
data from the CDF collaboration.
","[{""version"":""v1"",""created"":""Fri, 23 Aug 1996 20:39:52 GMT""}]","2016-09-06"
"hep-ph/9608432","Alan Kostelecky","Alan Kostelecky","CPT, Strings, and Neutral-Meson Oscillations","Talk at DPF 96, August 1996, 3 pages, needs sprocl.sty",,,"IUHET 339, August 1996","hep-ph",,"  A mechanism for spontaneous CPT breaking appears in string theory. Possible
implications for present-energy particle models are discussed. A realistic
string theory might exhibit CPT violation at levels detectable in current or
future experiments. Bounds on CPT from neutral-meson oscillations are
considered.
","[{""version"":""v1"",""created"":""Fri, 23 Aug 1996 20:44:27 GMT""}]","2007-05-23"
"hep-th/9608162","Arundhati Dasgupta","Saurya Das, Arundhati Dasgupta and P. Ramadevi","Can Extremal Black Holes Have Non-Zero Entropy ?","18 pages, RevTEX; last section modified, version to appear in Mod.
  Phys. Lett. A","Mod.Phys.Lett.A12:3067-3080,1997","10.1142/S0217732397003186","IMSc-96/08/25","hep-th gr-qc",,"  We give several pieces of evidence to show that extremal black holes cannot
be obtained as limits of non-extremal black holes. We review arguments in the
literature showing that the entropy of extremal black holes is zero, while that
of near-extremal ones obey the Bekenstein-Hawking formula. However, from the
counting of degeneracy of quantum (BPS) states of string theory the entropy of
extremal stringy black holes obeys the area law. An attempt is made to
reconcile these arguments.
","[{""version"":""v1"",""created"":""Fri, 23 Aug 1996 20:43:34 GMT""},{""version"":""v2"",""created"":""Fri, 30 Aug 1996 19:07:39 GMT""},{""version"":""v3"",""created"":""Sat, 27 Dec 1997 18:09:45 GMT""}]","2008-11-26"
