"adap-org/9608001","Oleg Kupervasser","Zeev Olami, Barak Galanti, Oleg Kupervasser, Itamar Procaccia","Flame front propagation II: Random Noise and Pole-Dynamics in Unstable
  Front Propagation","20 pages, 10 figures","Phys. Rev. E 55, 2649-2663 (1997)","10.1103/PhysRevE.55.2649",,"adap-org nlin.AO","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  The problem of flame propagation is studied as an example of unstable fronts
that wrinkle on many scales is studied. The analytic tool of pole expansion in
the complex plane is emloyed to address the interaction of the unstable growth
process with random initial conditions and perturbations.
  We argue that the effect of random noise is immense and that it can never be
neglected in sufficiently large systems. We present simulations that lead to
scaling laws for the velocity and acceleration of the front as a function of
the system size and the level of noise, and analytic arguments that explain
these results in terms of the noisy pole dynamics.
","[{""version"":""v1"",""created"":""Tue, 6 Aug 1996 11:03:11 GMT""},{""version"":""v2"",""created"":""Wed, 17 Aug 2011 20:06:16 GMT""}]","2011-08-19"
"cond-mat/9608016","Andrew G. Green","A. G. Green, I. I. Kogan and A. M. Tsvelik (Department of Physics,
  Oxford, UK)","Skyrmions in the quantum Hall effect at finite Zeeman coupling","17 pages, LaTex, 4 Postscript figures",,"10.1103/PhysRevB.54.16838",,"cond-mat",,"  Using a self consistent approximation for the spin distribution of Skyrmions
in the quantum Hall effect, we obtain an effective action for the Skyrmion
coordinates. The energy functional is minimised for a periodic distribution of
Skyrmions with an underlying hexagonal symetry. We calculate the phonon
spectrum of this lattice and find that near the classical minimum, breathing
modes of the Skyrmions are strongly suppressed. The resulting equal sized
Skyrmions interact via a residual Coulomb potential. Neglecting coupling
between phonons and spin waves due to dipole and higher order Coulomb
interactions, the Skyrmion crystal has a phonon spectrum identical to that of
an electronic Wigner crystal. The transition to a liquid of equal sized
Skyrmions is discussed using the theory of dislocation melting and a comparison
is made between the predictions of this theory and the results of a recent
experiment.
","[{""version"":""v1"",""created"":""Mon, 5 Aug 1996 20:10:54 GMT""}]","2019-08-15"
"cond-mat/9608017","Klaus Ziegler","K. Ziegler","Functional Integration in Bose Systems with Hard-Core Interaction","Latex, 5 pages, 1 figure",,,,"cond-mat",,"  A grand canonical ensemble of interacting bosons is considered. The zero
temperature phase diagram is evaluated from the mean-field approximation of the
functional integral. Three phases are found: a superfluid, a normal fluid and a
Mott insulator.
","[{""version"":""v1"",""created"":""Mon, 5 Aug 1996 16:30:49 GMT""}]","2007-05-23"
"cond-mat/9608018","Jim Freericks","J. K. Freericks (Georgetown), E. J. Nicol (Guelph), A. Y. Liu
  (Georgetown), and A. A. Quong (Sandia)","Vertex-corrected tunneling inversion in superconductors: Pb","14 pages, typeset in ReVTeX, including three encapsulated postscript
  figures",,"10.1007/BF02583609",,"cond-mat",,"  The McMillan-Rowell tunneling inversion program, which extracts the
electron-phonon spectral function $\alpha^2F(\Omega)$ and the Coulomb
pseudopotential $\mu^*$ from experimental tunneling data, is generalized to
include the lowest-order vertex correction. We neglect the momentum dependence
of the electron-phonon matrix elements, which is equivalent to using a local
approximation. The perturbation theory is performed on the imaginary axis and
then an exact analytic continuation is employed to produce the density of
states on the real axis. Comparison is made with the experimental data for Pb.
","[{""version"":""v1"",""created"":""Mon, 5 Aug 1996 19:06:41 GMT""}]","2015-06-25"
"cond-mat/9608019","Craig Pryor","Craig Pryor","Superconductor-normal junction in a strong magnetic field: the double
  quantum Hall effect","Withdrawn. Revised version may appear later",,,,"cond-mat supr-con",,"  Paper withdrawn. A revised version may appear later.
","[{""version"":""v1"",""created"":""Mon, 5 Aug 1996 23:21:22 GMT""},{""version"":""v2"",""created"":""Tue, 6 Aug 1996 00:35:43 GMT""},{""version"":""v3"",""created"":""Thu, 14 Nov 1996 12:34:51 GMT""}]","2008-02-03"
"cond-mat/9608021","Gabi Kotliar","H. Kajueter, G. Kotliar, D.D. Sarma and S.Barman","Evolution of photoemission spectral functions in doped transition metal
  oxides",,,"10.1142/S0217979297001970",,"cond-mat",,"  We discuss the experimental photoemission and inverse photoemission of early
transition metal oxides, in the light of the dynamical mean field theory of
correlated electrons which becomes exact in the limit of infinite dimensions.
We argue that a comprehensive description of the experimental data requires
spatial inhomogeneities and present a calculation of the evolution of the
spectral function in an inhomogenous system with various degrees of
inhomogeneity. We also point out that comparaison of experimental results and
large d calculations require that the degree of correlation and disorder is
larger in the surface than in the bulk.
","[{""version"":""v1"",""created"":""Tue, 6 Aug 1996 01:17:52 GMT""}]","2015-06-25"
"cond-mat/9608023","Kent Baekgaard Lauritsen","Kent Baekgaard Lauritsen (Niels Bohr Institute, Denmark) Rodolfo
  Cuerno (Madrid University III, Spain) Hernan A. Makse (Boston University,
  USA)","Noisy Kuramoto-Sivashinsky equation for an erosion model","latex (w/ multicol.sty), 4 pages; to appear in Physical Review E (Oct
  1996)","Phys. Rev. E 54, 3577-3580 (1996).","10.1103/PhysRevE.54.3577",,"cond-mat",,"  We derive the continuum equation for a discrete model for ion sputtering. We
follow an approach based on the master equation, and discuss how it can be
truncated to a Fokker-Planck equation and mapped to a discrete Langevin
equation. By taking the continuum limit, we arrive at the Kuramoto-Sivashinsky
equation with a stochastic noise term.
","[{""version"":""v1"",""created"":""Tue, 6 Aug 1996 09:27:39 GMT""}]","2009-10-28"
"cond-mat/9608024","Qin Shaojing","Shaojin Qin (ICTP), Michele Fabrizio (SISSA), and Lu Yu (ICTP and
  ITP-CAS)","Impurity in a Luttinger liquid: a numerical study of the finite size
  energy spectrum and of the orthogonality catastrophe exponent","Latex, 14 Pages (4 PostScript figures), to be appeared in PRB Rapid
  Comm., two sentences modified in conclusion and acknowledgement","Phys.Rev.B 54, 9643(1996)","10.1103/PhysRevB.54.R9643",,"cond-mat",,"  The behavior of a single impurity in a one-dimensional Luttinger liquid is
numerically investigated by means of the density matrix renormalization group.
By analyzing the finite size scaling behavior of the low energy spectrum, we
confirm the theoretical prediction of Kane and Fisher [Phys. Rev. Lett. {\bf
68}, 1220 (1992)] both for attractive and repulsive interactions. Moreover, we
calculate the exponent of the orthogonality catastrophe, which gives a further
support to the above theoretical prediction.
","[{""version"":""v1"",""created"":""Tue, 6 Aug 1996 10:06:39 GMT""},{""version"":""v2"",""created"":""Tue, 13 Aug 1996 08:17:19 GMT""}]","2009-10-28"
"cond-mat/9608025",,"A. T. Costa Jr. and M. T. Thomaz","Dynamics of the Two-Site Hubbard Model","14 pages, LaTeX; 3 PostScript figures",,,,"cond-mat",,"  The dynamical evolution of a two-site Hubbard model is derived in the
presence of an uniform external magnetic field for a general initial state. The
time evolution of the half-filled (two-particle) case has a complex behaviour.
Under certain initial conditions, the average number of fermions in
one-particle state, in the half-filled case, is not necessarily periodic, even
though the magnetization remains periodic. The results obtained may be applied
to study the magnetization and the transition dipole moment of the organic
charge-transfer salts in the in-phase mode.
","[{""version"":""v1"",""created"":""Tue, 6 Aug 1996 12:34:31 GMT""}]","2007-05-23"
"cond-mat/9608026",,"J. T. Liu and D. F. Wang","The 1/r2 t-J model in a magnetic field","13 pages, preprint of ETH and Rockefeller, submitted to Phys. Rev.
  Lett. (June 1996)",,,,"cond-mat",,"  We study the one-dimensional supersymmetric t-J model with 1/r2 interaction
threaded by magnetic flux. Because of the long range interaction, the effect of
this flux leads to a modification of the electron hopping term. We present an
exact solution of this model for all values of the flux, concisely formulated
as a set of Bethe-ansatz-like equations. This allows a computation of the
persistent currents at zero temperature. It is found that the system violates
Leggett's conjecture despite the fact that the long range t-J model is a
special example of the Luttinger liquid university class.
","[{""version"":""v1"",""created"":""Tue, 6 Aug 1996 15:15:56 GMT""}]","2007-05-23"
"cond-mat/9608027","Peter Kopietz","Axel Voelker and Peter Kopietz","Spectral correlations in disordered mesoscopic metals and their
  relevance for persistent currents","minor modifications in the text, accepted for publication in Mod.
  Phys. Lett. B","Mod. Phys. Lett. B 10, 1397 (1996)","10.1142/S0217984996001577",,"cond-mat.mes-hall",,"  We use the Lanczos method to calculate the variance of the number of energy
levels in an energy window of width E below the Fermi energy for
non-interacting disordered electrons on a thin three-dimensional ring threaded
by an Aharonov-Bohm flux . We find that for small E the flux-dependent part of
the variance is well described by a well-known Feynman diagram involving two
Cooperons. However, this result cannot be extrapolated to energies E where the
energy-dependence of the average density of states becomes significant. We
discuss consequences for persistent currents.
","[{""version"":""v1"",""created"":""Tue, 6 Aug 1996 15:21:49 GMT""},{""version"":""v2"",""created"":""Wed, 18 Dec 1996 13:48:33 GMT""}]","2009-10-28"
"gr-qc/9608013",,"Y.B.Grinkevich ( Omsk State University, Russia )","Synthetic Differential Geometry: A Way to Intuitionistic Models of
  General Relativity in Toposes","19 pages",,,,"gr-qc",,"  W.Lawvere suggested a approach to differential geometry and to others
mathematical disciplines closed to physics, which allows to give definitions of
derivatives, tangent vectors and tangent bundles without passages to the
limits. This approach is based on a idea of consideration of all settings not
in sets but in some cartesian closed category E, particular in some elementary
topos.
  The synthetic differential geometry (SDG) is the theory developed by A.Kock
in a context of Lawvere's ideas. In a base of the theory is an assumption of
that a geometric line is not a filed of real numbers, but a some nondegenerate
commutative ring R of a line type in E.
  In this work we shall show that SDG allows to develop a Riemannian geometry
and write the Einstein's equations of a field on pseudo-Riemannian formal
manifold. This give a way for constructing a intuitionistic models of general
relativity in suitable toposes.
","[{""version"":""v1"",""created"":""Tue, 6 Aug 1996 15:35:09 GMT""}]","2007-05-23"
"gr-qc/9608014",,"Brien C. Nolan (Dublin City University)","An Analysis of Wave Tails based on the Geometric Optics Approximation","21 pages, plain latex replaces revtex version. One figure, hard copy
  available on request from author",,,,"gr-qc",,"  The effect of the existence of tails on the propagation of scalar waves in
curved space-time is considered via an analysis of flux integrals of the
energy-stress-momentum tensor of the waves. The geometric optics approximation
is formulated in terms of such flux integrals, and three examples are
investigated in detail in order to determine the possible effects of wave
tails. The approximation is valid for waves in Minkowski space-time (tail-free)
and waves in Schwarzschild space-time (weak tails) but it is shown how the
approximation can break down in a cosmological scenario due to destructive
interference by strong tails. In this last situation, the waves do not radiate.
","[{""version"":""v1"",""created"":""Tue, 6 Aug 1996 10:55:57 GMT""},{""version"":""v2"",""created"":""Thu, 8 Aug 1996 09:36:47 GMT""}]","2008-02-03"
"gr-qc/9608015","Kim Sang Pyo","Sang Pyo Kim, Sung Ku Kim, Kwang-Sup Soh, Jae Hyung Yee","Renormalized Thermodynamic Entropy of Black Holes in Higher Dimensions","Final Revision Form as to be published in Physical Review D, ReVTeX,
  No Figures","Phys.Rev. D55 (1997) 2159-2173","10.1103/PhysRevD.55.2159","SNUTP 96-033","gr-qc",,"  We study the ultraviolet divergent structures of the matter (scalar) field in
a higher D-dimensional Reissner-Nordstr\""{o}m black hole and compute the matter
field contribution to the Bekenstein-Hawking entropy by using the Pauli-Villars
regularization method. We find that the matter field contribution to the black
hole entropy does not, in general, yield the correct renormalization of the
gravitational coupling constants. In particular we show that the matter field
contribution in odd dimensions does not give the term proportional to the area
of the black hole event horizon.
","[{""version"":""v1"",""created"":""Tue, 6 Aug 1996 13:16:19 GMT""},{""version"":""v2"",""created"":""Thu, 8 Aug 1996 12:36:46 GMT""},{""version"":""v3"",""created"":""Sat, 7 Dec 1996 05:13:26 GMT""}]","2016-08-31"
"hep-ex/9608004","Ursula Becker","Ursula Becker (University of Heidelberg)","Baryon production in ALEPH","10 pages, 8 postscript figures, uses here.sty, epsfig.sty",,,"HD-IHEP 96-06","hep-ex",,"  Several recent results of the ALEPH Collaboration covering different aspects
of baryon production on the Z resonance are presented. In particular production
rates of hyperons, the full kinematical reconstruction of the Lambda_b,
observation of Xi_b in its semileptonic decay, and the measurements of the
polarization of Lambda and Lambda_b baryons are discussed.
","[{""version"":""v1"",""created"":""Tue, 6 Aug 1996 08:23:01 GMT""}]","2007-05-23"
"hep-ex/9608006","Manoj K. Pillai","M. Pillai, E. Hayashi, K. Maeshima, C. Pilcher, P. de Barbaro, A.
  Bodek. B. J. Kim, W. Sakumoto, The CDF Collaboration","A search for Neutral Heavy Vector Gauge Bosons in pbar-p collisions at
  sqrt{s} = 1.8 TeV","3 pages, LaTeX, uses sprocl.sty,wrapfig.sty,subfigure.sty Postscript
  on URL http://www-cdf.fnal.gov/physics/conf96/cdf3797_zzprime_dpf96.ps, to be
  published in the proceedings of DPF 1996 in Minneapolis, Minnesota",,,,"hep-ex",,"  A search for a neutral heavy vector gauge boson, Zprime, was conducted in
pbar-p collisions using 110pb$^{-1}$ of data obtained at the Collider Detector
at Fermilab. We present preliminary 95% CL limits on the production of Zprime
in different models using its e+e- and mu+mu- decay modes.
","[{""version"":""v1"",""created"":""Tue, 6 Aug 1996 11:09:36 GMT""}]","2007-05-23"
"hep-lat/9608017","Roger Horsley","M. Goeckeler, R. Horsley, E.-M. Ilgenfritz, H. Oelrich, H. Perlt,
  P.E.L. Rakow, G. Schierholz, A. Schiller and P. Stephenson","A Preliminary Lattice Study of the Glue in the Nucleon","3 pages, Latex, 4 figures, epsf.sty and espcrc2.sty included, Talk
  presented at LATTICE96(phenomenology)","Nucl.Phys.Proc.Suppl.53:324-326,1997","10.1016/S0920-5632(96)00650-0","DESY 96-127, HUB-EP-96/32","hep-lat",,"  About half the mass of a hadron is given from gluonic contributions. In this
talk we calculate the chromo-electric and chromo-magnetic components of the
nucleon mass. These computations are numerically difficult due to gluon field
ultra-violet fluctuations. Nevertheless a high statistics feasibility run using
quenched Wilson fermions seems to show reasonable signals.
","[{""version"":""v1"",""created"":""Mon, 5 Aug 1996 16:45:46 GMT""}]","2008-11-26"
"hep-lat/9608019",,"Colin Morningstar","Improved gluonic actions on anisotropic lattices","3 pages, 2 figures, uses espcrc2.sty and epsf.sty. Talk presented at
  LATTICE96(improvement)","Nucl.Phys.Proc.Suppl. 53 (1997) 914-916","10.1016/S0920-5632(96)00816-X",,"hep-lat",,"  The use of novel perturbatively-improved gluonic actions on anisotropic
lattices in which the temporal spacing is much smaller than that in the spatial
directions is discussed. Such actions permit more efficient measurements of
noisy correlation functions, such as glueball correlators, on coarse lattices.
A derivation of these actions at tree-level is outlined; mean-field link
renormalization plays a crucial role in their construction. Results for the
low-lying glueball masses and the heavy-quark potential are presented.
","[{""version"":""v1"",""created"":""Mon, 5 Aug 1996 16:45:44 GMT""}]","2009-10-28"
"hep-lat/9608020","Ivan Horvath","R. G. Edwards, Ivan Horvath, A. D. Kennedy (SCRI)","Non-Reversibility of Molecular Dynamics Trajectories","3 pages LATEX, 4 color figures included using epsf. Talk presented at
  LATTICE96(algorithms)","Nucl.Phys.Proc.Suppl. 53 (1997) 971-973","10.1016/S0920-5632(96)00830-4","FSU-SCRI-96C-66","hep-lat",,"  We study the non-reversibility of molecular dynamics trajectories arising
from the amplification of rounding errors. We analyse the causes of such
behaviour and give arguments, indicating that this does not pose a significant
problem for Hybrid Monte Carlo computations. We present data for pure SU(3)
gauge theory and for QCD with dynamical fermions on small lattices to
illustrate and to support some of our ideas.
","[{""version"":""v1"",""created"":""Mon, 5 Aug 1996 20:17:34 GMT""}]","2009-10-28"
"hep-lat/9608021","Robert Edwards","Sara Collins, Robert G. Edwards, Urs M. Heller and John Sloan","Comparing Wilson and Clover Quenched $SU(3)$ Spectroscopy with an
  Improved Gauge Action","3 pages latex with 2 postscript figures. Talk presented at
  LATTICE96(spectrum)","Nucl.Phys.Proc.Suppl.53:877-879,1997","10.1016/S0920-5632(96)00807-9","FSU-SCRI-96-70","hep-lat",,"  We present results of quenched $SU(3)$ hadron spectroscopy comparing
$\order(a)$ improved Wilson (Clover) fermions with conventional Wilson
fermions. The configurations were generated using an $\order(a^2)$ improved
6-link $SU(3)$ pure gauge action at $\beta$'s corresponding to lattice spacings
of $0.15$, $0.18$, $0.20$, $0.33$, and $0.43$ fm. We find evidence that
fermionic scaling violations are consistent with $\order(a^2)$ for Clover and
$\order(a)$ with a nonnegligible $\order(a^2)$ term for standard Wilson
fermions. This latter mixed ansatz makes a reliable continuum extrapolation
problematic for Wilson fermions. We also find that the slope of the scaling
violations is roughly $250 MeV$ for both Wilson and Clover fermions.
","[{""version"":""v1"",""created"":""Mon, 5 Aug 1996 21:56:06 GMT""}]","2010-01-18"
