"alg-geom/9608018","Trygve Johnsen","Trygve Johnsen","Rank Two Bundles on Algebraic Curves and Decoding of Goppa Codes","An error in (what is now called) Theorem 3.4 has been corrected",,,,"alg-geom cs.IT math.AG math.IT",,"  We study a connection between two topics: Decoding of Goppa codes arising
from an algebraic curve, and rank two extensions of certain line bundles on the
curve.
","[{""version"":""v1"",""created"":""Wed, 21 Aug 1996 12:49:45 GMT""},{""version"":""v2"",""created"":""Mon, 15 Jan 2001 12:50:08 GMT""},{""version"":""v3"",""created"":""Tue, 14 Jan 2003 08:26:57 GMT""}]","2008-02-03"
"cmp-lg/9608014","Francis Bond","Francis Bond (NTT), Kentaro Ogura (NTT), Satoru Ikehara (Tottori
  University)","Classifiers in Japanese-to-English Machine Translation","6 pages, LaTeX, uses gb4e.sty, fullname.bst","Proceedings of the 16th International Conference on Computational
  Linguistics (COLING'96), pp 125--130.",,,"cmp-lg cs.CL",,"  This paper proposes an analysis of classifiers into four major types: UNIT,
METRIC, GROUP and SPECIES, based on properties of both Japanese and English.
The analysis makes possible a uniform and straightforward treatment of noun
phrases headed by classifiers in Japanese-to-English machine translation, and
has been implemented in the MT system ALT-J/E. Although the analysis is based
on the characteristics of, and differences between, Japanese and English, it is
shown to be also applicable to the unrelated language Thai.
","[{""version"":""v1"",""created"":""Wed, 21 Aug 1996 06:05:54 GMT""}]","2008-02-03"
"cond-mat/9608081","Juergen Koenig","J\""urgen K\""onig, J\""org Schmid, Herbert Schoeller, and Gerd Sch\""on","Resonant tunneling through ultrasmall quantum dots: zero-bias anomalies,
  magnetic field dependence, and boson-assisted transport","27 pages, latex, 21 figures, submitted to Phys. Rev. B","Phys. Rev. B 54, 16820 (1996)","10.1103/PhysRevB.54.16820","TFP-96003","cond-mat",,"  We study resonant tunneling through a single-level quantum dot in the
presence of strong Coulomb repulsion beyond the perturbative regime. The level
is either spin-degenerate or can be split by a magnetic field. We, furthermore,
discuss the influence of a bosonic environment. Using a real-time diagrammatic
formulation we calculate transition rates, the spectral density and the
nonlinear $I-V$ characteristic. The spectral density shows a multiplet of Kondo
peaks split by the transport voltage and the boson frequencies, and shifted by
the magnetic field. This leads to zero-bias anomalies in the differential
conductance, which agree well with recent experimental results for the electron
transport through single-charge traps. Furthermore, we predict that the sign of
the zero-bias anomaly depends on the level position relative to the Fermi level
of the leads.
","[{""version"":""v1"",""created"":""Tue, 20 Aug 1996 16:41:18 GMT""}]","2009-10-28"
"cond-mat/9608082","Simon Benjamin","Simon C. Benjamin, Neil F. Johnson (Oxford University)","Exact dynamical response of an N-electron quantum dot subject to a
  time-dependent potential","10 pages, RevTex, 3 Postscript figures. This version to appear as a
  Rapid Communication in PRB",,"10.1103/PhysRevB.55.R4903",,"cond-mat",,"  We calculate analytically the exact dynamical response of a droplet of N
interacting electrons in a quantum dot with an arbitrarily time-dependent
parabolic confinement potential \omega(t) and a perpendicular magnetic field.
We find that, for certain frequency ranges, a sinusoidal perturbation acts like
an attractive effective interaction between electrons. In the absence of a
time-averaged confinement potential, the N electrons can bind together to form
a stable, free-standing droplet.
","[{""version"":""v1"",""created"":""Tue, 20 Aug 1996 20:00:04 GMT""},{""version"":""v2"",""created"":""Tue, 10 Dec 1996 00:30:16 GMT""}]","2016-08-31"
"cond-mat/9608083","Fabio A. Reis","F. D. A. Aar\~ao Reis, S. L. A. de Queiroz and Raimundo R. dos Santos","On weak vs. strong universality in the two-dimensional random-bond Ising
  ferromagnet","RevTeX code, 4 pages plus 2 Postscript figures; to appear in Physical
  Review B Rapid Communications",,"10.1103/PhysRevB.54.R9616","IF/UFF preprint 021/96 (CM 014/96)","cond-mat",,"  We address the issue of universality in two-dimensional disordered Ising
systems, by considering long, finite-width strips of ferromagnetic Ising spins
with randomly distributed couplings. We calculate the free energy and spin-spin
correlation functions (from which averaged correlation lengths, $\xi^{ave}$,
are computed) by transfer-matrix methods. An {\it ansatz} for the
size-dependence of logarithmic corrections to $\xi^{ave}$ is proposed. Data for
both random-bond and site-diluted systems show that pure system behaviour (with
$\nu=1$) is recovered if these corrections are incorporated, discarding the
weak--universality scenario.
","[{""version"":""v1"",""created"":""Tue, 20 Aug 1996 18:37:57 GMT""}]","2009-10-28"
"cond-mat/9608084","Nathan Argaman","Nathan Argaman (ITP, Santa Barbara)","Random Scattering Matrices and the Circuit Theory of Andreev
  Conductances","12 pages, RevTeX, including 2 figures with epsf",,"10.1209/epl/i1997-00230-6","NSF-ITP-96-64","cond-mat",,"  The conductance of a normal-metal mesoscopic system in proximity to
superconducting electrode(s) is calculated. The normal-metal part may have a
general geometry, and is described as a ``circuit'' with ``leads'' and
``junctions''. The junctions are each ascribed a scattering matrix which is
averaged over the circular orthogonal ensemble, using recently-developed
techniques. The results for the electrical conductance reproduce and extend
Nazarov's circuit theory, thus bridging between the scattering and the bulk
approaches. The method is also applied to the heat conductance.
","[{""version"":""v1"",""created"":""Tue, 20 Aug 1996 19:31:47 GMT""}]","2016-08-31"
"cond-mat/9608085","Christian Pich","M. Baehr, M. Winkelmann, P. Vorderwisch, M. Steiner
  (Hahn-Meitner-Institut, Berlin, Germany), C. Pich and F. Schwabl
  (TU-Muenchen, Germany)","The effect of magnetic dipolar interactions on the interchain spin wave
  dispersion in CsNiF_3","18 pages, TeX type, 7 Postscript figures included. To be published in
  Phys. Rev. B",,"10.1103/PhysRevB.54.12932",,"cond-mat",,"  Inelastic neutron scattering measurements were performed on the ferromagnetic
chain system CsNiF_3 in the collinear antiferromagnetic ordered state below T_N
= 2.67K. The measured spin wave dispersion was found to be in good agreement
with linear spin wave theory including dipolar interactions. The additional
dipole tensor in the Hamiltonian was essential to explain some striking
phenomena in the measured spin wave spectrum: a peculiar feature of the
dispersion relation is a jump at the zone center, caused by strong dipolar
interactions in this system. The interchain exchange coupling constant and the
planar anisotropy energy were determined within the present model to be J'/k_B
= -0.0247(12)K and A/k_B = 3.3(1)K. This gives a ratio J/J' \approx 500, using
the previously determined intrachain coupling constant J/k_B = 11.8$. The small
exchange energy J' is of the same order as the dipolar energy, which implies a
strong competition between the both interactions.
","[{""version"":""v1"",""created"":""Wed, 21 Aug 1996 12:13:05 GMT""}]","2009-10-28"
"cond-mat/9608086","Roberto Jose Allub","R. Allub and B. Alascio (Centro Atomico Bariloche, Argentina)","Effect of double exchange and diagonal disorder on the magnetic and
  transport properties of La_{1-x}Sr_xMnO_3","13 pages, 5 figures",,,,"cond-mat",,"  We use a model previously formulated based on the double exchange mechanism
and diagonal disorder to calculate magnetization and conductivity for
La_{1-x}Sr_xMnO_3 type crystals as a function of temperature. The model
represents each Mn^{4+} ion by a spin S=1/2, on which an electron can be added
to produce Mn$^{3+}$. We include a hopping energy $t,$ two strong intratomic
interactions: exchange $J$, and Coulomb $U,$ and, to represent in a simple way
the effects of disorder, a Lorentzian distribution of diagonal energies of
width $\Gamma $ at the Mn sites.
  In the strong coupling limit, $J,U>>t,\Gamma $, the model results can be
expressed in terms of $t$ and $\Gamma .$
  We use the results of the model to draw ''phase diagrams'' that separate
ferromagnetic from paramagnetic states and also ''insulating '' states where
the Fermi level falls in a region of localized states from ''metallic '' where
the Fermi level falls in a region of extended states.
  Finally, assuming that particles in extended states make the largest
contribution to conductivity, we calculate the resistivity for different
concentrations and magnetic fields and compare with experiment.
  We conclude that for the model can be used successfully to represent the
transport properties of the systems under consideration.
","[{""version"":""v1"",""created"":""Wed, 21 Aug 1996 14:36:04 GMT""}]","2016-08-31"
"cond-mat/9608092","Martin Weigt","M. Weigt and A. Engel","Multifractality and percolation in the coupling space of perceptrons","13 pages, revtex, 4 eps figures, version accepted for publication in
  Phys. Rev. E","Phys. Rev. E55, 4552 (1997)","10.1103/PhysRevE.55.4552",,"cond-mat.dis-nn",,"  The coupling space of perceptrons with continuous as well as with binary
weights gets partitioned into a disordered multifractal by a set of $p=\gamma
N$ random input patterns. The multifractal spectrum $f(\alpha)$ can be
calculated analytically using the replica formalism. The storage capacity and
the generalization behaviour of the perceptron are shown to be related to
properties of $f(\alpha)$ which are correctly described within the replica
symmetric ansatz. Replica symmetry breaking is interpreted geometrically as a
transition from percolating to non-percolating cells. The existence of empty
cells gives rise to singularities in the multifractal spectrum. The analytical
results for binary couplings are corroborated by numerical studies.
","[{""version"":""v1"",""created"":""Wed, 21 Aug 1996 08:02:36 GMT""},{""version"":""v2"",""created"":""Mon, 13 Jan 1997 12:01:27 GMT""}]","2009-10-28"
"gr-qc/9608048","Jin-Ho Cho","Jin-Ho Cho and Hyuk-jae Lee","Is the $ISO(2,1)$ Gauge Gravity equivalent to the Metric Formulation?","16 pages, LaTeX using revtex macro",,,"SNUTP 95-094","gr-qc hep-th",,"  The quantization of the gravitational Chern-Simons coefficient is
investigated in the framework of $ISO(2,1)$ gauge gravity. Some paradoxes
involved are cured. The resolution is largely based on the inequivalence of
$ISO(2,1)$ gauge gravity and the metric formulation. Both the Lorentzian scheme
and the Euclidean scheme lead to the coefficient quantization, which means that
the induced spin is not quite exotic in this context.
","[{""version"":""v1"",""created"":""Wed, 21 Aug 1996 00:54:59 GMT""}]","2007-05-23"
"gr-qc/9608050","Bernd Bruegmann","Bernd Bruegmann","Adaptive mesh and geodesically sliced Schwarzschild spacetime in 3+1
  dimensions","21 pages, LaTeX, 7 figures included with epsf","Phys.Rev.D54:7361-7372,1996","10.1103/PhysRevD.54.7361",,"gr-qc",,"  We present first results obtained with a 3+1 dimensional adaptive mesh code
in numerical general relativity. The adaptive mesh is used in conjunction with
a standard ADM code for the evolution of a dynamically sliced Schwarzschild
spacetime (geodesic slicing). We argue that adaptive mesh is particularly
natural in the context of general relativity, where apart from adaptive mesh
refinement for numerical efficiency one may want to use the built in
flexibility to do numerical relativity on coordinate patches.
","[{""version"":""v1"",""created"":""Wed, 21 Aug 1996 14:37:28 GMT""}]","2008-11-26"
"hep-ex/9608012","Jon Streets","T.C.Brooks(1), M.E.Convery(1), W.L.Davis(1), K.W.Delsignore(1),
  T.L.Jenkins(1), E.Kangas(1), M.G.Knepley(1), K.L.Kowalski(1), C.C.Taylor(1),
  S.H.Oh(2), W.D.Walker(2), P.L.Colestock(3), B.Hanna(3), M.Martens(3),
  J.Streets(3), R.Ball(4), H.R.Gustafson(4), L.W.Jones(4), M.J.Longo(4),
  J.D.Bjorken(5), A.Abashian(6), N.Morgan(6), C.A.Pruneau(7) ((1) Case Western
  Reserve University, (2) Duke University, (3) Fermi National Accelerator
  Laboratory, (4) University of Michigan, (5) Stanford Linear Accelerator
  Center, (6) Virginia Polytechnic Institute, (7) Wayne State University)","Preliminary Results from a Search for Disoriented Chiral Condensates at
  MiniMax","Latex, 2 figures, 3 pages, To appear in the proceedings of DPF 96.",,,,"hep-ex",,"  We report on the progress of a search for disoriented chiral condensates
(DCCs) in the far forward region at sqrt(s)=1.8 TeV. MiniMax is a small
collider experiment situated at the C0 interaction region of the Tevatron and
has been designed to measure the ratio of charged to neutral pions produced at
eta near 4.1. The distribution of this ratio is expected to be very different
for the generic binomial and DCC particle production models. We present a
method used for the search using the factorial moments of particle generating
functions, which can be extracted directly from the data. A preliminary
comparison of robust ratios of measured values and those expected from the
different models is also presented.
","[{""version"":""v1"",""created"":""Tue, 20 Aug 1996 16:50:23 GMT""}]","2007-05-23"
"hep-lat/9608106","Thomas Neuhaus","J. Cox, W. Franzki, J. Jersak, C. B. Lang, T. Neuhaus, P. Stephenson","Properties of the non-Gaussian fixed point in 4D compact U(1) lattice
  gauge theory","73K postscript file","Nucl.Phys.Proc.Suppl. 53 (1997) 696-698","10.1016/S0920-5632(96)00757-8","Wuppertal WUB 96-31","hep-lat",,"  We examine selected properties of the gauge-ball spectrum and fermionic
variables in the vicinity of the recently discussed non-Gaussian fixed point of
4D compact U(1) lattice gauge theory within the quenched approximation.
Approaching the critical point from within the confinement phase, our data
support scaling of $T1^{+-}$ gauge-ball states in units of the string tension
square root. The analysis of the chiral condensate within the framework of a
scaling form for the equation of state suggests non mean-field values for the
magnetic exponents $\delta$ and $\beta_{exp}$.
","[{""version"":""v1"",""created"":""Tue, 20 Aug 1996 16:29:44 GMT""}]","2009-10-28"
"hep-lat/9608107","Steven Gottlieb","Steven Gottlieb (Indiana University)","QCD Spectrum --- 1996","Plenary talk presented at LATTICE96(spectrum), 13 pages, LaTeX, 17
  eps figures. Uses espcrc2, epsf. Additional figures may be found at:
  http://physics.indiana.edu/~sg/lat96_spectrum.html","Nucl.Phys.Proc.Suppl. 53 (1997) 155-167","10.1016/S0920-5632(96)00610-X","IUHET-342","hep-lat",,"  Progress on the calculation of the spectrum from lattice calculations is
reviewed. Particular emphasis is placed on discussing our ability to control
possible systematic errors coming from finite volume, and extrapolations in
quark mass and lattice spacing. Recent approaches based on improved actions are
compared.
","[{""version"":""v1"",""created"":""Tue, 20 Aug 1996 22:02:29 GMT""}]","2009-10-28"
"hep-lat/9608108","Mauro Talevi","A. Donini, V. Gim\'enez, G. Martinelli, G.C. Rossi, M. Talevi, M.Testa
  and A. Vladikas","Non-perturbative renormalization in kaon decays","Talk presented at LATTICE96(improvement), LaTeX 3 pages, uses
  espcrc2, 2 postscript figures","Nucl.Phys.Proc.Suppl. 53 (1997) 883-885","10.1016/S0920-5632(96)00809-2",,"hep-lat",,"  We discuss the application of the MPSTV non-perturbative method \cite{NPM} to
the operators relevant to kaon decays. This enables us to reappraise the
long-standing question of the $\Delta I=1/2$ rule, which involves
power-divergent subtractions that cannot be evaluated in perturbation theory.
We also study the mixing with dimension-six operators and discuss its
implications to the chiral behaviour of the $B_K$ parameter.
","[{""version"":""v1"",""created"":""Wed, 21 Aug 1996 14:31:41 GMT""}]","2009-10-28"
"hep-lat/9608109","Bunk","B. Bunk (Humboldt Univ. Berlin, Germany)","Computing the lowest eigenvalues of the Fermion matrix by subspace
  iterations","Talk presented at LATTICE96(algorithms), 3 pages, 2 Postscript
  figures, uses epsf.sty, espcrc2.sty","Nucl.Phys.Proc.Suppl. 53 (1997) 987-989","10.1016/S0920-5632(96)00835-3",,"hep-lat",,"  Subspace iterations are used to minimise a generalised Ritz functional of a
large, sparse Hermitean matrix. In this way, the lowest $m$ eigenvalues are
determined. Tests with $1 \leq m \leq 32$ demonstrate that the computational
cost (no. of matrix multiplies) does not increase substantially with $m$. This
implies that, as compared to the case of a $m=1$, the additional eigenvalues
are obtained for free.
","[{""version"":""v1"",""created"":""Wed, 21 Aug 1996 14:37:53 GMT""}]","2009-10-28"
"hep-ph/9608377","Weuber da Silva Freitas","A. C. B. Antunes and L. J. Antunes","Mass effects in a Three-Body System Bound by Harmonic Oscilators","6 pages, latex, no figures",,,,"hep-ph",,"  The problem of three different masses bound by harmonic oscillator potentials
is solved exactly. It is shown that Jacobi coordinates cannot, in general,
decouple this system into two three-dimensional oscillators but this decoupling
can always be obtained in terms of the normal coordinates. The condition for
the decoupling in Jacobi coordinates is given. It is shown that the mean
distance between each pair of particles depends upon their masses.
","[{""version"":""v1"",""created"":""Tue, 20 Aug 1996 16:18:03 GMT""}]","2007-05-23"
"hep-ph/9608378","Brian Harris","B. W. Harris and J. F. Owens (Florida State University)","Photoproduction of jets at NLO","To appear in proceedings of the 1996 Meeting of the American Physical
  Society, Division of Particles and Fields (DPF 96), Minneapolis, Minnesota,
  10-15 Aug 1996. 3 pages, Latex using sprocl.sty (included)",,,,"hep-ph",,"  A new next-to-leading order Monte Carlo program for the calculation of fully
differential jet cross sections in photoproduction is described. The
contributions from both resolved and direct components are included. A
comparison between the theoretical predictions and ZEUS data is presented.
","[{""version"":""v1"",""created"":""Tue, 20 Aug 1996 17:41:43 GMT""}]","2007-05-23"
