"alg-geom/9608033","Gerd Dethloff","T. Bandman and G. Dethloff","Estimates of the number of rational mappings from a fixed variety to
  varieties of general type","A revised version. The presentation of results and proofs has been
  improved. AMS-TeX, 19 pages","Ann. Inst. Fourier 47, 801-824 (1997)",,,"alg-geom math.AG",,"  First we find effective bounds for the number of dominant rational maps $f:X
\rightarrow Y$ between two fixed smooth projective varieties with ample
canonical bundles. The bounds are of the type $\{A \cdot K_X^n\}^{\{B \cdot
K_X^n\}^2}$, where $n=dimX$, $K_X$ is the canonical bundle of $X$ and $A,B $
are some constants, depending only on $n$. Then we show that for any variety
$X$ there exist numbers $c(X)$ and $C(X)$ with the following properties: For
any threefold $Y$ of general type the number of dominant rational maps $f:X \r
Y$ is bounded above by $c(X)$. The number of threefolds $Y$, modulo birational
equivalence, for which there exist dominant rational maps $f:X \r Y$, is
bounded above by $C(X)$. If, moreover, $X$ is a threefold of general type, we
prove that $c(X)$ and $C(X)$ only depend on the index $r_{X_c}$ of the
canonical model $X_c$ of $X$ and on $K_{X_c}^3$.
","[{""version"":""v1"",""created"":""Thu, 29 Aug 1996 13:39:45 GMT""},{""version"":""v2"",""created"":""Wed, 5 Feb 1997 08:33:31 GMT""}]","2014-12-01"
"astro-ph/9608197","Hans Joerg Witt","Hans J. Witt (Astrophysikalisches Institut Potsdam)","Using Quadruple Lenses to probe the Structure of the Lensing Galaxy","10 pages, 2 Postscript figures, uses AASTeX v4.0 macros",,"10.1086/310358",,"astro-ph",,"  We show here that quadruple lenses can be useful laboratories to probe
whether the potential of the lensing galaxy is purely elliptical or whether an
additional distortion is present in the deflector plane. For this test we only
have to know the relative image positions of the quadruple lens system and the
(relative) center of light position of the lensing galaxy. Furthermore we
introduce new methods which easily allow us to determine the location (rotation
angle relative to the image positions) of the major axis of the lensing galaxy.
In due course we can determine the parity of the four images as well. We apply
these methods to the 8 currently known quadruple lenses and find that in the
case of MG 0414+0534, CLASS 1608+656 and HST 12531-2914 it is impossible to
accommodate the relative image positions and the galaxy position with any
elliptical potential whereas the other five cases can be described very well
with a simple elliptical potential. This method will have important impacts for
$\chi^2$-fits and the reconstruction of galaxy models for quadruple lenses.
","[{""version"":""v1"",""created"":""Thu, 29 Aug 1996 15:37:01 GMT""}]","2009-10-28"
"cmp-lg/9608019","Eric M. Visser","Eric M. Visser and Masaru Fuji (Fujitsu Laboratories Ltd.)","Using sentence connectors for evaluating MT output","4 pages, LaTeX, uses colap.sty","Proceedings of COLING-96 (Poster Sessions, pgs. 1066-1069)",,,"cmp-lg cs.CL",,"  This paper elaborates on the design of a machine translation evaluation
method that aims to determine to what degree the meaning of an original text is
preserved in translation, without looking into the grammatical correctness of
its constituent sentences. The basic idea is to have a human evaluator take the
sentences of the translated text and, for each of these sentences, determine
the semantic relationship that exists between it and the sentence immediately
preceding it. In order to minimise evaluator dependence, relations between
sentences are expressed in terms of the conjuncts that can connect them, rather
than through explicit categories. For an n-sentence text this results in a list
of n-1 sentence-to-sentence relationships, which we call the text's
connectivity profile. This can then be compared to the connectivity profile of
the original text, and the degree of correspondence between the two would be a
measure for the quality of the translation.
  A set of ""essential"" conjuncts was extracted for English and Japanese, and a
computer interface was designed to support the task of inserting the most
fitting conjuncts between sentence pairs. With these in place, several sets of
experiments were performed.
","[{""version"":""v1"",""created"":""Thu, 29 Aug 1996 04:08:10 GMT""}]","2008-02-03"
"cmp-lg/9608020","Patrick Juola","Patrick Juola (Oxford University, Dept. of Experimental Psychology)","Phonetic Ambiguity : Approaches, Touchstones, Pitfalls and New
  Approaches","LaTex, 6 pages, self-contained","CSNLP-96, Sept. 2-4, Dublin, Ireland",,,"cmp-lg cs.CL",,"  Phonetic ambiguity and confusibility are bugbears for any form of bottom-up
or data-driven approach to language processing. The question of when an input
is ``close enough'' to a target word pervades the entire problem spaces of
speech recognition, synthesis, language acquisition, speech compression, and
language representation, but the variety of representations that have been
applied are demonstrably inadequate to at least some aspects of the problem.
This paper reviews this inadequacy by examining several touchstone models in
phonetic ambiguity and relating them to the problems they were designed to
solve. An good solution would be, among other things, efficient, accurate,
precise, and universally applicable to representation of words, ideally usable
as a ``phonetic distance'' metric for direct measurement of the ``distance''
between word or utterance pairs. None of the proposed models can provide a
complete solution to the problem; in general, there is no algorithmic theory of
phonetic distance. It is unclear whether this is a weakness of our
representational technology or a more fundamental difficulty with the problem
statement.
","[{""version"":""v1"",""created"":""Thu, 29 Aug 1996 11:27:04 GMT""}]","2016-08-31"
"cmp-lg/9608021","Patrick Juola","Patrick Juola (Oxford University, Dept. of Experimental Psychology)","Isolated-Word Confusion Metrics and the PGPfone Alphabet","12 pages, includes minipage.tex and nemlapfig.eps, uses nemlap.sty","NeMLaP-96, Sept. 16-18, 1996, Ankara TURKEY",,,"cmp-lg cs.CL",,"  Although the confusion of individual phonemes and features have been studied
and analyzed since (Miller and Nicely, 1955), there has been little work done
on extending this to a predictive theory of word-level confusions. The PGPfone
alphabet is a good touchstone problem for developing such word-level confusion
metrics. This paper presents some difficulties incurred, along with their
proposed solutions, in the extension of phonetic confusion results to a
theoretical whole-word phonetic distance metric. The proposed solutions have
been used, in conjunction with a set of selection filters, in a genetic
algorithm to automatically generate appropriate word lists for a radio
alphabet. This work illustrates some principles and pitfalls that should be
addressed in any numeric theory of isolated word perception.
","[{""version"":""v1"",""created"":""Thu, 29 Aug 1996 12:09:24 GMT""}]","2008-02-03"
"cond-mat/9608138","Steven White","Steven R. White (University of California, Irvine) and D.J. Scalapino
  (University of California,Santa Barbara)","Ground State Phases of the Doped 4-Leg t-J Ladder","10 pages, with 6 Postscript figures",,"10.1103/PhysRevB.55.R14701",,"cond-mat",,"  Using density matrix renormalization group techniques, we have studied the
ground state of the 4-leg t-J ladder doped near half-filling. Depending upon
J/t and the hole doping x, three types of ground state phases are found: (1) a
phase containing d_{x^2-y^2} pairs; (2) a striped CDW domain-wall phase, and
(3) a phase separated regime. A CDW domain-wall consists of fluctuating hole
pairs and this phase has significant d_{x^2-y^2} pair field correlations.
","[{""version"":""v1"",""created"":""Wed, 28 Aug 1996 20:56:33 GMT""}]","2009-10-28"
"cond-mat/9608144","Jain Sudhir","Daniel Alonso and Sudhir R. Jain","From Random Matrix Theory to Statistical Mechanics - Anyon Gas","11 pages, Revtex, to appear in Physics Letters B",,"10.1016/0370-2693(96)01104-5",,"cond-mat chao-dyn nlin.CD",,"  Motivated by numerical experiments and studies of quantum systems which are
classically chaotic, we take a Random Matrix description of a Hard-sphere gas
to Statistical Mechanical description. We apply this to Anyon gas and obtain a
formal expression for the momentum distribution. Various limiting situations
are discussed and are found in agreement with the well-known results on
Hard-sphere gas in low-density regime.
","[{""version"":""v1"",""created"":""Wed, 28 Aug 1996 16:07:25 GMT""}]","2009-10-28"
"cond-mat/9608145","Uwe Krey","S. Krompiewski (IFM, PAS, Poznan, Poland) and U. Krey (University of
  Regensburg)","Unusual beats of the perpendicular-current giant magneto-resistance and
  thermopower of magnetic trilayers","4 Latex pages, figures inlined, to appear in Phys.Rev.B",,"10.1103/PhysRevB.54.11961",,"cond-mat",,"  Oscillations of the giant magnetoresistance (GMR) and thermo-electric power
(TEP) vs. both the thickness of the non-magnetic spacer and also that of the
ferromagnetic slabs are studied in the current-perpendicular-to-plane (CPP)
geometry of magnetic trilayer systems, in terms of a single-band tight-binding
model without impurities. The spin-dependent conductance has been calculated
from the Kubo formula by means of a recursion Green's function method and the
semi-infinite ideal-lead wires trick. Additionally the TEP is obtained directly
from Mott's formula. In general, the thickness oscillations of the GMR and the
TEP may have just one or two (short and long) oscillations. The long period,
related to spectacular beats, is apparently of non-RKKY type. The TEP
oscillations are strongly enhanced with respect to those of the GMR, have the
same periods, but different phases and a negative bias.
","[{""version"":""v1"",""created"":""Wed, 28 Aug 1996 16:56:21 GMT""}]","2009-10-28"
"cond-mat/9608146","G. Mele","C.L. Kane and E.J. Mele","Size, Shape and Low Energy Electronic Structure of Carbon Nanotubes","5 pages, 3 postscript figures",,"10.1103/PhysRevLett.78.1932",,"cond-mat mtrl-th",,"  A theory of the long wavelength low energy electronic structure of
graphite-derived nanotubules is presented. The propagating $\pi$ electrons are
described by wrapping a massless two dimensional Dirac Hamiltonian onto a
curved surface. The effects of the tubule size, shape and symmetry are included
through an effective vector potential which we derive for this model. The rich
gap structure for all straight single wall cylindrical tubes is obtained
analytically in this theory, and the effects of inhomogeneous shape
deformations on nominally metallic armchair tubes are analyzed.
","[{""version"":""v1"",""created"":""Wed, 28 Aug 1996 22:05:29 GMT""}]","2009-10-28"
"cond-mat/9608147",,"Steven H. Simon (Massachusetts Institute of Technology)","Towards a Fermi Liquid Theory of the $\nu$=1/2 State : Magnetized
  Composite Fermions","To be published in the Proceedings of First International Conference
  on Non-Fermi Liquid Physics in Metals (Santa-Barbara, 1996), 27 pages, uses
  iop macros",,"10.1088/0953-8984/8/48/027",,"cond-mat",,"  The Fermionic Chern-Simons approach has had remarkable success in the
description of quantum Hall states at even denominator filling fractions
$\nu=\frac{1}{2m}$. In this paper we review a number of recent works concerned
with modeling this state as a Landau-Silin Fermi liquid. We will then focus on
one particular problem with constructing such a Landau theory that becomes
apparent in the limit of high magnetic field, or equivalently the limit of
small electron band mass $m_b$. In this limit, the static response of electrons
to a spatially varying magnetic field is largely determined by kinetic energy
considerations. We then remedy this problem by attaching an orbital
magnetization to each fermion to separate the current into magnetization and
transport contributions, associated with the cyclotron and guiding center
motions respectively. This leads us to a description of the $\nu=\frac{1}{2m}$
state as a Fermi liquid of magnetized composite fermions which correctly
predicts the $m_b$ dependence of the static and dynamic response in the limit
$m_b \rightarrow 0$. As an aside, we derive a sum rule for the Fermi liquid
coefficients for the Chern-Simons Fermi liquid. This paper is intended to be
readable by people who may not be completely familiar with this field.
","[{""version"":""v1"",""created"":""Thu, 29 Aug 1996 00:24:50 GMT""}]","2009-10-28"
"cond-mat/9608148","Ludwig Schweitzer","M. Batsch(1,2) and L. Schweitzer(1) ((1) PTB Braunschweig, (2)
  University Hamburg, Germany)","Level statistics in the quantum Hall regime","4 pages LaTeX, 2 ps-figs. and sprocl.sty included. To appear in the
  conference proceedings: High Magnetic Fields in Semiconductor Physics,
  Wuerzburg 1996",,,,"cond-mat",,"  The statistical properties of energy eigenvalues in the critical regime of
the lowest Landau band are investigated. The nearest neighbour level spacing
distribution $P(s)$ and the Mehta quantity $I_0$, from which the scaling
exponent $\nu$ of the correlation length can be derived, are calculated. While
$P(s)$ disagrees with recent analytical predictions, $\nu$ is found to be in
agreement with theoretical and experimental results.
","[{""version"":""v1"",""created"":""Thu, 29 Aug 1996 07:34:38 GMT""}]","2007-05-23"
"cond-mat/9608149","Martin Weigt","M. Weigt and R. Monasson","Replica structure of one--dimensional Ising models","4 pages, REVTeX, no figures","Europhys. Lett. 36, 209 (1996)","10.1209/epl/i1996-00212-8","LPTENS 96/24","cond-mat",,"  We analyse the eigenvalue structure of the replicated transfer matrix of
one-dimensional disordered Ising models. In the limit of $n \rightarrow 0$
replicas, an infinite sequence of transfer matrices is found, each
corresponding to a different irreducible representation (labelled by a positive
integer $\rho$) of the permutation group. We show that the free energy can be
calculated from the replica symmetric subspace ($\rho =0$). The other ``replica
symmetry broken'' representations ($\rho \ne 0$) are physically meaningful
since their largest eigenvalues $\lambda^{(\rho )}$ control the
disorder--averaged moments $\ll( \langle S_i S_j \rangle - \langle S_i \rangle
\langle S_j \rangle )^\rho \gg \propto (\lambda^{(\rho )}) ^{|i-j|}$ of the
connected two-points correlations.
","[{""version"":""v1"",""created"":""Thu, 29 Aug 1996 08:29:00 GMT""}]","2009-10-28"
"cond-mat/9608150","Steffen Schoellmann","R. Hilfer, T. Rag, B. Virgi","Local Percolation Probabilities for a Natural Sandstone","9 pages, see also http://www.ica1.uni-stuttgart.de , Physica A",,"10.1016/S0378-4371(97)00067-8",,"cond-mat",,"  Local percolation probabilities are used to characterize the connectivity in
porous and heterogeneous media. Together with local porosity distributions they
allow to predict transport properties \cite{hil91d}. While local porosity
distributions are readily obtained, measurements of the local percolation
probabilities are more difficult and have not been attempted previously. First
measurements of three dimensional local porosity distributions and percolation
probabilities from a pore space reconstruction for a natural sandstone show
that theoretical expectations and experimental results are consistent.
","[{""version"":""v1"",""created"":""Thu, 29 Aug 1996 09:19:23 GMT""}]","2015-06-25"
"cond-mat/9608151","Henk Stoof","H.T.C. Stoof","Initial Stages of Bose-Einstein Condensation","Four pages of ReVTeX and no figures",,"10.1103/PhysRevLett.78.768","THU-96/32","cond-mat atom-ph",,"  We present the quantum theory for the nucleation of Bose-Einstein
condensation in a dilute atomic Bose gas. This quantum theory comfirms the
results of the semiclassical treatment, but has the important advantage that
both the kinetic and coherent stages of the nucleation process can now be
described in a unified way by a single Fokker-Planck equation.
","[{""version"":""v1"",""created"":""Thu, 29 Aug 1996 14:15:55 GMT""}]","2009-10-28"
"cond-mat/9608152","Mori Michiyasu","Michiyasu Mori, Hidetoshi Fukuyama","Charge Excitations in Doped Mott Insulator in One Dimension","We revised our previous manuscript. 17 pages and 11 figures, to be
  published in Journal of the Physical Society of Japan Vol.65 No.11",,"10.1143/JPSJ.65.3604",,"cond-mat",,"  The doped Mott insulator in one dimension has been studied based on the phase
Hamiltonian with the Umklapp scattering process, in which the charge degree of
freedom is described by the quantum sine-Gordon model. The well-known
equivalence between the quantum sine-Gordon model and the massive Thirring
model for the spinless fermion makes it clear that the Mott-Hubbard gap
originates from the Umklapp scattering process as was indicated by Emery and
Giamarchi. Compressibility, density-density correlation function, frequency
dependence of optical conductivity and Drude weight have been calculated in the
presence of the impurity scattering treated in the self-consistent Born
approximation. It is seen that there exists a crossover behavior in the
spectral weight of charge excitations: the acoustic mode is dominant in small
wave number region while the optical excitations across the Mott-Hubbard gap
lie in large wave number region and that this crossover wave number is reduced
as the Mott transition is approached.
","[{""version"":""v1"",""created"":""Thu, 29 Aug 1996 10:25:53 GMT""},{""version"":""v2"",""created"":""Wed, 18 Sep 1996 09:05:32 GMT""}]","2009-10-28"
