"adap-org/9608003","Chen Kan","Kan Chen (Department of Computational Science, National University of
  Singapore)","A Simple Learning Algorithm for the Traveling Salesman Problem","10 pages, Latex, 3 postscript figures",,"10.1103/PhysRevE.55.7809",,"adap-org nlin.AO",,"  We propose a learning algorithm for solving the traveling salesman problem
based on a simple strategy of trial and adaptation: i) A tour is selected by
choosing cities probabilistically according to the ``synaptic'' strengths
between cities. ii) The ``synaptic'' strengths of the links that form the tour
are then enhanced (reduced) if the tour length is shorter (longer) than the
average result of the previous trials. We perform extensive simulations of the
random distance traveling-salesman problem. For sufficiently slow learning
rates, near optimal tours can be obtained with the average optimal tour lengths
close to the lower bounds for the shortest tour lengths.
","[{""version"":""v1"",""created"":""Thu, 15 Aug 1996 09:25:43 GMT""}]","2009-10-28"
"chao-dyn/9608012","Predrag Cvitanovic","Predrag Cvitanovic, Gabor Vattay and Andreas Wirzba","Quantum Fluids and Classical Determinants","33 pages, LaTeX with lamuphys.sty, epsf.sty, epsfig.sty macros,
  available at http://www.nbi.dk/~predrag/","Classical, Semiclassical and Quantum Dynamics in Atoms, Lecture
  Notes in Physics vol. 485, H. Friedrich and B. Eckhardt, eds, (Springer,
  Heidelberg, 1997) pp 29-62","10.1007/BFb0105968",,"chao-dyn nlin.CD",,"  A ""quasiclassical"" approximation to the quantum spectrum of the Schroedinger
equation is obtained from the trace of a quasiclassical evolution operator for
the ""hydrodynamical"" version of the theory, in which the dynamical evolution
takes place in the extended phase space $[q(t),p(t),M(t)] = [q_i, \partial_i S,
\partial_i \partial_j S ]$. The quasiclassical evolution operator is
multiplicative along the classical flow, the corresponding quasiclassical zeta
function is entire for nice hyperbolic flows, and its eigenvalue spectrum
contains the spectrum of the semiclassical zeta function. The advantage of the
quasiclassical zeta function is that it has a larger analyticity domain than
the original semiclassical zeta function; the disadvantage is that it contains
eigenvalues extraneous to the quantum problem. Numerical investigations
indicate that the presence of these extraneous eigenvalues renders the original
Gutzwiller-Voros semiclassical zeta function preferable in practice to the
quasiclassical zeta function presented here. The cumulant expansion of the
exact quantum mechanical scattering kernel and the cycle expansion of the
corresponding semiclassical zeta function part ways at a threshold given by the
topological entropy; beyond this threshold quantum mechanics cannot resolve
fine details of the classical chaotic dynamics.
","[{""version"":""v1"",""created"":""Thu, 15 Aug 1996 13:31:02 GMT""}]","2009-10-28"
"chao-dyn/9608013","Josh Wilkie","Joshua Wilkie and Paul Brumer (Chemical Physics Theory Group,
  Department of Chemistry, University of Toronto)","Quantum-Classical Correspondence via Liouville Dynamics: I. Integrable
  Systems and the Chaotic Spectral Decomposition","38 pages, revtex, first of two papers",,"10.1103/PhysRevA.55.27",,"chao-dyn nlin.CD quant-ph",,"  A general program to show quantum-classical correspondence for bound
conservative integrable and chaotic systems is described. The method is applied
to integrable systems and the nature of the approach to the classical limit,
the cancellation of essential singularities, is demonstrated. The application
to chaotic systems requires an understanding of classical Liouville
eigenfunctions and a Liouville spectral decomposition, developed herein.
General approaches to the construction of these Liouville eigenfunctions and
classical spectral projectors in quantum and classical mechanics are discussed
and are employed to construct Liouville eigenfunctions for classically chaotic
systems. Correspondence for systems whose classical analogs are chaotic is
discussed, based on this decomposition, in the following paper.
","[{""version"":""v1"",""created"":""Thu, 15 Aug 1996 14:28:58 GMT""}]","2009-10-28"
"chao-dyn/9608014","Josh Wilkie","Joshua Wilkie and Paul Brumer (Chemical Physics Theory Group,
  Department of Chemistry, University of Toronto)","Quantum-Classical Correspondence via Liouville Dynamics: II.
  Correspondence for Chaotic Hamiltonian Systems","41 pages, revtex, second of two papers",,"10.1103/PhysRevA.55.43",,"chao-dyn nlin.CD quant-ph",,"  We prove quantum-classical correspondence for bound conservative classically
chaotic Hamiltonian systems. In particular, quantum Liouville spectral
projection operators and spectral densities, and hence classical dynamics, are
shown to approach their classical analogs in the $h\rightarrow 0$ limit.
Correspondence is shown to occur via the elimination of essential
singularities. In addition, applications to matrix elements of observables in
chaotic systems are discussed.
","[{""version"":""v1"",""created"":""Thu, 15 Aug 1996 14:30:04 GMT""}]","2009-10-28"
"cmp-lg/9608007","Barbara Di Eugenio","Barbara Di Eugenio (Carnegie Mellon University / University of
  Pittsburgh)","Centering in Italian","18 pages, uses cgloss4e.sty and fullname.sty. To appear in ""Centering
  in Discourse"", OUP, 1997",,,,"cmp-lg cs.CL",,"  This paper explores the correlation between centering and different forms of
pronominal reference in Italian, in particular zeros and overt pronouns in
subject position. Such correlations, that I had proposed in earlier work
(COLING 90), are verified through the analysis of a corpus of naturally
occurring texts. In the process, I extend my previous analysis in several ways,
for example by taking possessives and subordinates into account. I also provide
a more detailed analysis of the ""continue"" transition: more specifically, I
show that pronouns are used in a markedly different way in a ""continue""
preceded by another ""continue"" or by a ""shift"", and in a ""continue"" preceded by
a ""retain"".
","[{""version"":""v1"",""created"":""Wed, 14 Aug 1996 17:43:01 GMT""}]","2008-02-03"
"cmp-lg/9608008","Barbara Di Eugenio","Barbara Di Eugenio (Carnegie Mellon University / University of
  Pittsburgh)","The discourse functions of Italian subjects: a centering approach","7 pages, uses colap.sty. Revised version of COLING96 paper (fixes
  wrong chi-square values in published version)","Proceedings COLING96, Copenhagen, August 1996",,,"cmp-lg cs.CL",,"  This paper examines the discourse functions that different types of subjects
perform in Italian within the centering framework. I build on my previous work
(COLING90) that accounted for the alternation of null and strong pronouns in
subject position. I extend my previous analysis in several ways: for example, I
refine the notion of {\sc continue} and discuss the centering functions of full
NPs.
","[{""version"":""v1"",""created"":""Wed, 14 Aug 1996 19:52:53 GMT""}]","2008-02-03"
"cmp-lg/9608009","Barbara Di Eugenio","Barbara Di Eugenio (Carnegie Mellon University / University of
  Pittsburgh)","Centering theory and the Italian pronominal system","6 pages, uses colap.sty","Proceedings COLING90, Helsinki, August 1990",,,"cmp-lg cs.CL",,"  In this paper, I give an account of some phenomena of pronominalization in
Italian in terms of centering theory. After a general introduction to the
Italian pronominal system, I will review centering, and then show how the
original rules have to be extended or modified. Finally, I will show that
centering does not account for two phenomena: first, the functional role of an
utterance may override the predictions of centering; second, a null subject can
be used to refer to a whole discourse segment.
","[{""version"":""v1"",""created"":""Wed, 14 Aug 1996 19:49:19 GMT""}]","2008-02-03"
"cond-mat/9608060","Elliott Lieb","E. H. Lieb, M. Loss, H. Siedentop","Stability of Relativistic Matter via Thomas-Fermi Theory","9 pages, plainTeX. To appear in an issue of Helv. Physica Acta
  dedicated to W. Hunziker and K. Hepp","Helv. Phys. Acta, 69 (1996) 974-984",,"EHLMLHS 6 Aug, 1996","cond-mat hep-th",,"  A Thomas-Fermi-Weizsaecker type theory is constructed, by means of which we
are able to give a relatively simple proof of the stability of relativistic
matter. Our procedure has the advantage over previous ones in that the critical
value of the fine structure constant, alpha, is raised to 0.77 (recall that the
critical value is known to be less than 2.72). When alpha =1/137, the largest
nuclear charge is 59 (compared to the known optimum value 87). Apart from this,
our method is simple, for it parallels the original Lieb-Thirring proof of
stability of nonrelativistic matter, and it adds another perspective on the
subject.
","[{""version"":""v1"",""created"":""Wed, 14 Aug 1996 17:41:44 GMT""}]","2007-05-23"
"cond-mat/9608061","Yue Yu","Yong-Shi Wu and Yue Yu","Mean-Field and Perturbation Theory of Vortex-like Composite Fermions","4 pages, revtex, 2 figures",,,,"cond-mat",,"  We develop a field theory for a partially filled Landau level based on
composite fermions with a finite vortex core, whose mean-field states are
exactly those described by well-tested trial wave functions. Despite
non-orthogonality of free composite-fermion states and non-Hermiticity of the
mean-field Hamiltonian, a consistent perturbation theory is formulated and the
mean-field Fermi sea at half filling is shown to be stable. While the
low-energy and long-distance physics is the same as in the Chern-Simons fermion
theory, new physics is expected to show up for larger wave vectors.
","[{""version"":""v1"",""created"":""Wed, 14 Aug 1996 18:02:04 GMT""}]","2007-05-23"
"cond-mat/9608062",,"J.J. Rodr\'iguez-N\'u\~nez, C.E. Cordeiro and A. Delfino","Moment Approach for the 2D Attractive Hubbard Model","8 pages, 3 figures (2 ps files for Fig. 2) To appear in Physica A",,"10.1016/0378-4371(96)00212-9",,"cond-mat",,"  We constructed the one-particle spectral functions (diagonal and
off-diagonal) which reproduce BCS for weak coupling and which take into account
the effect of correlations on superconductivity in the attractive Hubbard
model. The diagonal spectral function is composed of three peaks and the
off-diagonal one is composed of two peaks. This ansatz satisfies the sum rules
for the first six moments. Our solutions are valid for intermediate coupling,
i.e., for $U/t \approx -4.0$. Our set of analytical equations for the unknown
variables is self-consistent and has been solved numerically in lowest order of
the order parameter. As a result, we obtain that the presence of the third
band, or {\it upper Hubbard band}, strongly renormalizes the two lower bands,
making that the energy gap be ${\bf k}$-dependent while the order parameter is
pure s-wave. This shows that the order parameter and the gap are two different
quantities.
","[{""version"":""v1"",""created"":""Wed, 14 Aug 1996 18:15:21 GMT""}]","2016-08-17"
"cond-mat/9608063",,"Y. Alhassid and H. Attias","Universal Correlations of Coulomb Blockade Conductance Peaks and the
  Rotation Scaling in Quantum Dots","35 pages, RevTex, 6 Postscript figures","Phys. Rev. B 54 (1996) 2696","10.1103/PhysRevB.54.2696",,"cond-mat",,"  We show that the parametric correlations of the conductance peak amplitudes
of a chaotic or weakly disordered quantum dot in the Coulomb blockade regime
become universal upon an appropriate scaling of the parameter. We compute the
universal forms of this correlator for both cases of conserved and broken time
reversal symmetry. For a symmetric dot the correlator is independent of the
details in each lead such as the number of channels and their correlation. We
derive a new scaling, which we call the rotation scaling, that can be computed
directly from the dot's eigenfunction rotation rate or alternatively from the
conductance peak heights, and therefore does not require knowledge of the
spectrum of the dot. The relation of the rotation scaling to the level velocity
scaling is discussed. The exact analytic form of the conductance peak
correlator is derived at short distances. We also calculate the universal
distributions of the average level width velocity for various values of the
scaled parameter. The universality is illustrated in an Anderson model of a
disordered dot.
","[{""version"":""v1"",""created"":""Thu, 15 Aug 1996 01:34:09 GMT""}]","2009-10-28"
"cond-mat/9608064","Ahn Kang Hun","Kang-Hun Ahn and K. J. Chang","Symmetry-breaking skyrmion states in fractional quantum Hall systems","There is conceptual change. To appear in Phys. Rev. B",,"10.1103/PhysRevB.55.6735",,"cond-mat.mes-hall",,"  We calculate in an analyical fashion the energies and net spins of skyrmions
in fractional quantum Hall systems, based on the suggestion that skyrmion
states are spontaneously $L_Z$ and $S_Z$ symmetry-breaking states. The
quasihole-skyrmion state with a charge $-e/3$ around $\nu$ = 1/3, where the
ground state is known as a spin-polarized ferromagnetic state, is found to
exist even in high magnetic fields up to about 7 T for GaAs samples.
","[{""version"":""v1"",""created"":""Thu, 15 Aug 1996 10:11:21 GMT""},{""version"":""v2"",""created"":""Wed, 5 Feb 1997 05:38:41 GMT""}]","2009-10-28"
"cond-mat/9608065","Hinrichsen Haye","Haye Hinrichsen (Weizmann Insitute, Rehovot, Israel)","Stochastic Lattice Models with Several Absorbing States","8 pages, RevTeX, including 8 postscript figures, minor typos
  corrected","Phys. Rev. E 55, 219 (1997)","10.1103/PhysRevE.55.219",,"cond-mat.stat-mech",,"  We study two models with n equivalent absorbing states that generalize the
Domany-Kinzel cellular automaton and the contact process. Numerical
investigations show that for n=2 both models belong to the same universality
class as branching annihilating walks with an even number of offspring. Unlike
previously known models, these models have no explicit parity conservation law.
","[{""version"":""v1"",""created"":""Thu, 15 Aug 1996 10:59:25 GMT""},{""version"":""v2"",""created"":""Thu, 6 Mar 1997 07:38:32 GMT""}]","2016-08-31"
"gr-qc/9608032","Carlo Rovelli","Carlo Rovelli","Loop Quantum Gravity and Black Hole Physics","Lecture at the Journees Relativistes, Ascona 1996. LaTeX, 1
  PostScript figure (a.eps), uses epsfig.sty","Helv.Phys.Acta 69:582-611,1996",,,"gr-qc hep-th",,"  I summarize the basic ideas and formalism of loop quantum gravity. I
illustrate the results on the discrete aspects of quantum geometry and two
applications of these results to black hole physics. In particular, I discuss
in detail a derivation of the Bekenstein-Hawking formula for the entropy of a
black hole from first principles.
","[{""version"":""v1"",""created"":""Wed, 14 Aug 1996 16:59:18 GMT""}]","2014-11-17"
"gr-qc/9608033","Jorge Pullin","Hugo Fort, Rodolfo Gambini and Jorge Pullin","Lattice knot theory and quantum gravity in the loop representation","23 pages, RevTeX, 14 figures included with psfig","Phys.Rev. D56 (1997) 2127-2143","10.1103/PhysRevD.56.2127","CGPG-96/8-1, ESI-368","gr-qc hep-lat hep-th math.QA q-alg",,"  We present an implementation of the loop representation of quantum gravity on
a square lattice. Instead of starting from a classical lattice theory,
quantizing and introducing loops, we proceed backwards, setting up constraints
in the lattice loop representation and showing that they have appropriate
(singular) continuum limits and algebras. The diffeomorphism constraint
reproduces the classical algebra in the continuum and has as solutions lattice
analogues of usual knot invariants. We discuss some of the invariants stemming
from Chern--Simons theory in the lattice context, including the issue of
framing. We also present a regularization of the Hamiltonian constraint. We
show that two knot invariants from Chern--Simons theory are annihilated by the
Hamiltonian constraint through the use of their skein relations, including
intersections. We also discuss the issue of intersections with kinks. This
paper is the first step towards setting up the loop representation in a
rigorous, computable setting.
","[{""version"":""v1"",""created"":""Wed, 14 Aug 1996 19:18:34 GMT""}]","2009-10-28"
"gr-qc/9608034","S. Droz","S. Droz","Numerical investigation of black hole interiors","6 pages LaTeX, 3 eps figures","Phys. Rev. D 55, 3575 (1997)","10.1103/PhysRevD.55.3575","Alberta-THY 22-96","gr-qc",,"  Gravitational perturbations which are present in any realistic stellar
collapse to a black hole, die off in the exterior of the hole, but experience
an infinite blueshift in the interior. This is believed to lead to a slowly
contracting lightlike scalar curvature singularity, characterized by a
divergence of the hole's (quasi-local) mass function along the inner horizon.
  The region near the inner horizon is described to great accuracy by a plane
wave spacetime. While Einstein's equations for this metric are still too
complicated to be solved in closed form it is relatively simple to integrate
them numerically.
  We find for generic regular initial data the predicted mass inflation type
null singularity, rather than a spacelike singularity. It thus seems that mass
inflation indeed represents a generic self-consistent picture of the black hole
interior.
","[{""version"":""v1"",""created"":""Wed, 14 Aug 1996 19:13:29 GMT""}]","2016-08-24"
"gr-qc/9608035","Marc Israelit","Mark Israelit (Univ. Konstanz, on leave from Univ. Haifa)","Conformally coupled dark matter","LaTEX File 10 pages, no figures",,"10.1007/BF00639596",,"gr-qc",,"  Dark matter is obtained from a scalar field coupled conformally to
gravitation; the scalar being a relict of Dirac's gauge function. This
conformally coupled dark matter includes a gas of very light ($m\approx
2.25\times 10^{-34} eV$) neutral bosons having spin 0, as well as a
time-dependent global scalar field, both pervading all of the cosmic space. The
time-development of this dark matter in the expanding F-R-W universe is
investigated, and an acceptable cosmological behaviour is obtained.
","[{""version"":""v1"",""created"":""Thu, 15 Aug 1996 08:34:32 GMT""}]","2009-10-28"
"hep-ex/9608009","Aharon Levy","Aharon Levy","The transition from the photoproduction to the DIS region","11 pages, including 4 figures. Talk presented at the DIS 96 Workshop,
  Rome, 15-19 April, 1996",,,"TAUP 2349-96","hep-ex",,"  This is a review of the existing ideas in modelling the transition from the
photoproduction ($Q^2 = 0$) to the deep inelastic scattering region. The
available data of the proton structure function are analyzed from the point of
view of the total $\gamma^* p$ cross section behavior with $W$ and the results
are compared to different parameterizations. The question whether DIS processes
are hard or soft is discussed.
","[{""version"":""v1"",""created"":""Wed, 14 Aug 1996 19:20:39 GMT""}]","2007-05-23"
