"adap-org/9608002","Yuhai Tu","Yuhai Tu, G. Grinstein, and M.A. Mu\~noz (IBM, Yorktown Heights)","Systems with Multiplicative Noise: Critical Behavior from KPZ Equation
  and Numerics","Four pages (In Revtex format) with 4 figures (in Postcript)",,"10.1103/PhysRevLett.78.274",,"adap-org cond-mat nlin.AO",,"  We show that certain critical exponents of systems with multiplicative noise
can be obtained from exponents of the KPZ equation. Numerical simulations in 1d
confirm this prediction, and yield other exponents of the multiplicative noise
problem. The numerics also verify an earlier prediction of the divergence of
the susceptibility over an entire range of control parameter values, and show
that the exponent governing the divergence in this range varies continuously
with control parameter.
","[{""version"":""v1"",""created"":""Tue, 13 Aug 1996 16:46:05 GMT""}]","2016-08-16"
"astro-ph/9608086","Dennis Zaritsky","Dennis Zaritsky (UCSC and UCO/Lick Observatory) and Hans-Walter Rix
  (Steward Observatory, U. Arizona)","Lopsided Spiral Galaxies and a Limit on the Galaxy Accretion Rate","uuencoded, compressed text only. Full preprint with Figures will be
  emailed on request. To appear in the Astrophysical Journal",,"10.1086/303692",,"astro-ph",,"  We present a measurement of lopsidedness for the stellar disks of 60 field
spiral galaxies in terms of the azimuthal m=1 Fourier amplitude, A_1, of the
stellar light. We conjecture that this lopsidedness is caused by tidal
interactions and calculate an UPPER limit on the accretion rate of small
galaxies. We exploit the correlation between lopsidedness and photometric
measures of recent star formation (Zaritsky 1995) to obtain two independent
estimates of the lifetime of these m=1 distortions. First, we show that
lopsided galaxies have an excess of blue luminosity relative to that of
symmetric galaxies with the same H I linewidth, which we attribute to a recent
star formation episode that was triggered by an interaction between the galaxy
and a companion. We use stellar populations models (Bruzual and Charlot 1993)
to estimate the time since that interaction. Second, we use the N-body
simulation of an infalling satellite by Walker, Mihos, and Hernquist (1996) to
estimate how fast tidally induced m=1 distortions are erased through phase
mixing. Both approaches indicate that the observations are consistent with a
hypothesized tidal interaction that occurred about 1 Gyr ago for galaxies that
are lopsided at the 20% level. By combining this lifetime estimate for
lopsidedness, the observed frequency of such distortions, and a correction to
the survey volume that depends on the increase in luminosity during an
interaction, we derive an upper limit on the current companion accretion rate
of field spiral galaxies (for companion masses of about 10% parent galaxy mass)
that lies in the range 0.07 - 0.25 per Gyr. The principal uncertainty in this
limit arises from ambiguities in the interpretation of the correlation between
lopsidedness and M_B.
","[{""version"":""v1"",""created"":""Tue, 13 Aug 1996 20:53:31 GMT""}]","2009-10-28"
"astro-ph/9608087","Christine Wilson","R.E. Pudritz, C.D. Wilson, J.E. Carlstrom, O.P. Lay, R.E. Hills and D.
  Ward-Thompson","Accretion Disks Around Class 0 Protostars: The Case of VLA 1623","14 pages, aastex, 2 postscript figures; accepted for publication in
  ApJ Letters; also available at
  http://www.physics.mcmaster.ca/Wilson_Preprints",,"10.1086/310309",,"astro-ph",,"  Continuum emission at 220 and 355 GHz from the prototype Class 0 source VLA
1623 has been detected using the JCMT-CSO interferometer. Gaussian fits to the
data place an upper limit of 70 AU on the half-width half-maximum radius of the
emission, which implies an upper limit of ~175 AU for the cutoff radius of the
circumstellar disk in the system. In the context of existing collapse models,
this disk could be magnetically supported on the largest scales and have an age
of ~6x10^4 yr, consistent with previous suggestions that Class 0 sources are
quite young. The innermost region of the disk within ~6 AU is likely to be in
centrifugal support, which is likely large enough to provide a drive for the
outflow according to current theoretical models. Alternatively, if 175 AU
corresponds to the centrifugal radius of the disk, the age of the system is
~2x10^5 yr, closer to age estimates for Class I sources.
","[{""version"":""v1"",""created"":""Tue, 13 Aug 1996 21:02:09 GMT""}]","2009-10-28"
"astro-ph/9608088","Carl R. Gwinn","C.R. Gwinn, M.J. Ojeda, M.C. Britton, J.E. Reynolds, D.L. Jauncey,
  E.A. King, P. M. McCulloch, J.E.J. Lovell, C.S. Flanagan, D.P. Smits, R.A.
  Preston, & D.L. Jones","Size of the Vela Pulsar's Radio Emission Region: 500 km","14 pages, includes 2 figures. Also available at:
  http://charm.physics.ucsb.edu:80/people/cgwinn/cgwinn_group/cgwinn_group.html",,"10.1086/310734",,"astro-ph",,"  We use interstellar scattering of the Vela pulsar to determine the size of
its emission region. From interferometric phase variations on short baselines,
we find that radio-wave scattering broadens the source by 3.4+/-0.3
milliarcseconds along the major axis at position angle 81+/-3 degrees. The
ratio of minor axis to major axis is 0.51+/-0.03. Comparison of angular and
temporal broadening indicates that the scattering material lies in the Vela-X
supernova remnant surrounding the pulsar. From the modulation of the pulsar's
scintillation on very short baselines, we infer a size of 500 km for the
pulsar's emission region. We suggest that radio-wave refraction within the
pulsar's magnetosphere may plausibly explain this size.
","[{""version"":""v1"",""created"":""Wed, 14 Aug 1996 01:31:43 GMT""}]","2009-10-28"
"astro-ph/9608089","Anthony Brown","A.G.A. Brown (Sterrewacht Leiden) and W. Verschueren (University of
  Antwerp)","High S/N Echelle Spectroscopy in Young Stellar Groups II. Rotational
  Velocities of Early-Type Stars in Sco OB2","29 pages (aatex), 16 PS-figures 1 PS-table, PS file also available at
  ftp://ftp.strw.leidenuniv.nl/pub/brown/vsini.uu, accepted for publication by
  Astronomy & Astrophysics",,,"STW 351-96","astro-ph",,"  We investigate the rotational velocities of early-type stars in the Sco OB2
association. We measure \vsini\ for 156 established and probable members of the
association. The measurements are performed with three different techniques,
which are in increasing order of expected \vsini: 1) converting the widths of
spectral lines directly to \vsini, 2) comparing artificially broadened spectra
of low \vsini\ stars to the target spectrum, 3) comparing the \ionI{He}4026\
line profile to theoretical models. The sample is extended with literature data
for 47 established members of Sco OB2. Analysis of the \vsini\ distributions
shows that there are no significant differences between the subgroups of Sco
OB2. We find that members of the binary population of Sco OB2 on the whole
rotate more slowly than the single stars. In addition, we find that the B7--B9
single star members rotate significantly faster than their B0--B6 counterparts.
We test various hypotheses for the distribution of \vsini\ in the association.
The results show that we cannot clearly exclude any form of random distribution
of the direction and/or magnitude of the intrinsic rotational velocity vector.
We also investigate the effects of rotation on colours in the Walraven
photometric system. We show that positions of B7--B9 single dwarfs above the
main sequence are a consequence of rotation. This establishes the influence of
rotation on the Walraven colours, due primarily to surface gravity effects.
","[{""version"":""v1"",""created"":""Wed, 14 Aug 1996 08:21:12 GMT""}]","2007-05-23"
"astro-ph/9608090",,"V.G. Bezchastnov (1) and P. Haensel (2) ((1) A.F. Ioffe
  Physical-Technical Institute, St. Petersburg, Russia, (2) N. Copernicus
  Astronomical Center, Warsaw, Poland)","Neutrino-electron scattering in dense magnetized plasma","Physical Review D, to be published, 18 pages, using REVTEX, without
  figures. Figures (hardcopy) available upon request from one of the authors
  (haensel@camk.edu.pl)","Phys.Rev. D54 (1996) 3706-3721","10.1103/PhysRevD.54.3706",,"astro-ph",,"  We derive exact expressions for the cross section of neutrino scattering on
electrons in dense, hot stellar matter, in the presence of strong magnetic
fields. Numerical calculations of the scattering cross sections at various
densities, temperatures and magnetic fields, are performed. Strong, quantizing
magnetic fields modify significantly the angular and energy dependence of the
scattering cross section.
","[{""version"":""v1"",""created"":""Wed, 14 Aug 1996 13:21:42 GMT""}]","2009-10-28"
"astro-ph/9608091","Elizabeth Barton","Elizabeth Barton, Margaret J. Geller (Harvard-Smithsonian CfA),
  Massimo Ramella (Osservatorio Astronomico di Trieste), Ronald O. Marzke
  (DAO), and L. Nicolaci da Costa (ESO)","Compact Group Selection From Redshift Surveys","41 pages, LaTeX, including 20 figures and 9 tables. Accepted for
  publication in The Astronomical Journal. Figures 3 and 4 available at
  ftp://cfa0.harvard.edu/outgoing/barton",,"10.1086/118060","CfA Preprint 4353","astro-ph",,"  For the first time, we construct a catalog of compact groups selected from a
complete, magnitude-limited redshift survey. We select groups with $N \geq 3$
members based on projected separation and association in redshift space alone.
We evaluate the characteristics of the Redshift Survey Compact Groups (RSCG's).
Their physical properties (membership frequency, velocity dispersion, density)
are similar to those of the Hickson [ApJ, 255, 382 (1982)] Compact Groups.
Hickson's isolation criterion is a strong function of the physical and angular
group radii and is a poor predictor of the group environment. In fact, most
RSCG's are embedded in dense environments. The luminosity function for RSCG's
is mildly inconsistent with the survey luminosity function --- the
characteristic luminosity is brighter and the faint end shallower for the RSCG
galaxies. We construct a model of the selection function of compact groups.
Using this selection function, we estimate the abundance of RSCG's; for groups
with $N \geq 4$ members the abundance is $3.8 \times 10^{-5} h^3 Mpc^{-3}$. For
all RSCG's ($N \geq 3$) the abundance is $1.4 \times 10^{-4} h^3 Mpc^{-3}$.
","[{""version"":""v1"",""created"":""Wed, 14 Aug 1996 14:41:47 GMT""}]","2009-10-28"
"astro-ph/9608092","Huub Rottgering","R. van Ojik, H.J.A. R\""ottgering, G.K. Miley, R.W. Hunstead","The Gaseous Environments of Radio Galaxies in the Early Universe:
  Kinematics of the Lyman $\alpha$ Emission","Accepted for publication in Astronomy and Astrophysics",,,,"astro-ph",,"  We present intermediate resolution ($\sim3$ \AA ) spectra of the Ly$\alpha$
emission from 15 high redshift radio galaxies ($z>2$). Together with previously
published spectra we analyze data for a sample of 18 objects.
  In 11 of the 18 radio galaxies we find deep troughs in the Ly$\alpha$
emission profile, which we interpret as H\,{\sc i} absorption with column
densities in the range $10^{18}$--$10^{19.5}$ cm$^{-2}$. Since in most cases
the Ly$\alpha$ emission is absorbed over its entire spatial extent (up to 50
kpc), the absorbers must have a covering fraction close to unity. Under
plausible assumptions for the temperature and density of the absorbing gas this
implies that the absorbing material must consist of $\sim 10^{12}$ clouds of
typical size $\sim 0.03$ pc with a total mass of $\sim 10^8$ M$_{\odot}$.
  Our observations show that strong H\,{\sc i} absorption occurs in $>60$\% of
the high redshift radio galaxies, while from the statistics of quasar
absorption lines there is only a 2\% probability of such a strong H\,{\sc i}
absorption line falling by chance in the small redshift interval of the
Ly$\alpha$ emission line. These absorbers are therefore most likely to be
physically associated with the galaxy hosting the radio source or its direct
environment.
  There are strong correlations between the properties of the Ly$\alpha$
emission of the galaxies and the size of the associated radio source: (i) Of
the smaller ($<50$ kpc) radio galaxies 9 out of 10 have strong associated
H\,{\sc i} absorption, whereas only 2 of the 8 larger ($>50$ kpc) radio
galaxies show such strong absorption. (ii) Larger radio sources tend to have
larger Ly$\alpha$ emission regions and (iii) a smaller Ly$\alpha$ velocity
","[{""version"":""v1"",""created"":""Wed, 14 Aug 1996 15:40:51 GMT""}]","2007-05-23"
"chem-ph/9608003","Costas Daskaloyannis","Dennis Bonatsos (NCRS Demokritos, Athens, Greece and ECT* Trento,
  Italy), C. Daskaloyannis and G. A. Lalazissis (Physics Dept. Univ.
  Thessaloniki, Greece), S. B. Drenska, N. Minkov, P. P. Raychev and R. P.
  Roussev (I.N.R.N.E. Sofia, Bulgaria)","$\Delta I=4$ and $\Delta I=8$ bifurcations in rotational bands of
  diatomic molecules","LaTex twice, 10 pages and 5 PS figures provided upon demand by the
  Authors",,"10.1103/PhysRevA.54.R2533","THES-TP 96/09 and DEM-NT-96-17","chem-ph physics.chem-ph",,"  It is shown that the recently observed $\Delta I=4$ bifurcation seen in
superdeformed nuclear bands is also occurring in rotational bands of diatomic
molecules. In addition, signs of a $\Delta I=8$ bifurcation, of the same order
of magnitude as the $\Delta I=4$ one, are observed both in superdeformed
nuclear bands and rotational bands of diatomic molecules.
","[{""version"":""v1"",""created"":""Wed, 14 Aug 1996 09:45:05 GMT""}]","2009-10-28"
"cmp-lg/9608006","Francois Yvon","Francois Yvon (Ecole Nationale Superieure des Telecommunications,
  Paris)","Grapheme-to-Phoneme Conversion using Multiple Unbounded Overlapping
  Chunks","11 pages, Postscript only, Proceedings of NeMLaP II",,,,"cmp-lg cs.CL",,"  We present in this paper an original extension of two data-driven algorithms
for the transcription of a sequence of graphemes into the corresponding
sequence of phonemes. In particular, our approach generalizes the algorithm
originally proposed by Dedina and Nusbaum (D&N) (1991), which had originally
been promoted as a model of the human ability to pronounce unknown words by
analogy to familiar lexical items. We will show that DN's algorithm performs
comparatively poorly when evaluated on a realistic test set, and that our
extension allows us to improve substantially the performance of the
analogy-based model. We will also suggest that both algorithms can be
reformulated in a much more general framework, which allows us to anticipate
other useful extensions. However, considering the inability to define in these
models important notions like lexical neighborhood, we conclude that both
approaches fail to offer a proper model of the analogical processes involved in
reading aloud.
","[{""version"":""v1"",""created"":""Wed, 14 Aug 1996 12:14:04 GMT""}]","2008-02-03"
"cond-mat/9608059","Giancarlo Jug","Roberto Iengo (SISSA Trieste), Giancarlo Jug (U. of Milan)","Edge Tunneling of Vortices in Superconducting Thin Films","REVTeX file, 15 pages, 1 Postscript figure; to appear in Phys.Rev.B",,"10.1103/PhysRevB.54.13207",,"cond-mat hep-th supr-con",,"  We investigate the phenomenon of the decay of a supercurrent due to the
zero-temperature quantum tunneling of vortices from the edge in a thin
superconducting film in the absence of an external magnetic field. An explicit
formula is derived for the tunneling rate of vortices, which are subject to the
Magnus force induced by the supercurrent, through the Coulomb-like potential
barrier binding them to the film's edge. Our approach ensues from the
non-relativistic version of a Schwinger-type calculation for the decay of the
2D vacuum previously employed for describing vortex-antivortex pair-nucleation
in the bulk of the sample. In the dissipation-dominated limit, our explicit
edge-tunneling formula yields numerical estimates which are compared with those
obtained for bulk-nucleation to show that both mechanisms are possible for the
decay of a supercurrent.
","[{""version"":""v1"",""created"":""Tue, 13 Aug 1996 20:33:59 GMT""}]","2009-10-28"
"gr-qc/9608030","Werner Martins Vieira","Werner M. Vieira and Patricio S. Letelier","Addendum: Chaos around a H\'enon-Heiles-Inspired Exact Perturbation of a
  Black Hole","6 pages, REVTEX, two more references added, slight change in the
  figure scale",,"10.1103/PhysRevLett.76.4098",,"gr-qc chao-dyn nlin.CD",,"  We find that the model of a black hole plus an exterior halo of quadrupoles
and octopoles recently proposed by us is more chaotic than previously detected.
In fact, the quadrupolar component gives rise also to a chaotic behavior, found
after further numerical search. This fact reinforces even more the role of
chaos in relativistic core--halo models.
","[{""version"":""v1"",""created"":""Tue, 13 Aug 1996 22:23:42 GMT""},{""version"":""v2"",""created"":""Thu, 29 Aug 1996 22:16:39 GMT""}]","2009-10-28"
