"alg-geom/9608011","Pandharipande Rahul","W. Fulton and R. Pandharipande","Notes on stable maps and quantum cohomology","Latex2e 52 pages. Final version",,,,"alg-geom math.AG",,"  These are notes from a jointly taught class at the University of Chicago and
lectures by the first author in Santa Cruz. Topics covered include:
construction of moduli spaces of stable maps, Gromov-Witten invariants, quantum
cohomology, and examples. These notes will appear in the proceedings of the
1995 Santa Cruz conference.
","[{""version"":""v1"",""created"":""Thu, 15 Aug 1996 20:37:32 GMT""},{""version"":""v2"",""created"":""Sat, 17 May 1997 22:10:10 GMT""}]","2008-02-03"
"gr-qc/9608036","Brett Taylor","Brett E. Taylor (1), William A. Hiscock (1), and Paul R. Anderson (2)
  ((1) Montana State University, Bozeman, (2) Wake Forest University)","Stress-energy of a quantized scalar field in static wormhole spacetimes","18 pages, 2 Postscript figures, RevTeX format, submitted to Physical
  Review D","Phys.Rev. D55 (1997) 6116-6122","10.1103/PhysRevD.55.6116",,"gr-qc",,"  Static traversable wormhole solutions of the Einstein equations require
``exotic'' matter which violates the weak energy condition. The vacuum
stress-energy of quantized fields has been proposed as the source for this
matter. Using the Dewitt-Schwinger approximation, analytic expressions for the
stress-energy of a quantized massive scalar field are calculated in five static
spherically symmetric Lorentzian wormhole spacetimes. We find that in all
cases, for both minimally and conformally coupled scalar fields, the
stress-energy does not have the properties needed to support the wormhole
geometry.
","[{""version"":""v1"",""created"":""Thu, 15 Aug 1996 22:53:13 GMT""}]","2009-10-28"
"gr-qc/9608037","Gerard 't Hooft","G. 't Hooft","Quantization of Space and Time in 3 and in 4 Space-time Dimensions","Lectures held at the NATO Advanced Study Institute on ``Quantum
  Fields and Quantum Space Time"", Carg\`ese, July 22 -- August 3, 1996. 16
  pages Plain TeX, 6 Figures",,,"THU-96/31","gr-qc",,"  The fact that in Minkowski space, space and time are both quantized does not
have to be introduced as a new postulate in physics, but can actually be
derived by combining certain features of General Relativity and Quantum
Mechanics. This is demonstrated first in a model where particles behave as
point defects in 2 space dimensions and 1 time, and then in the real world
having 3+1 dimensions. The mechanisms in these two cases are quite different,
but the outcomes are similar: space and time form a (non-cummutative) lattice.
  These notes are short since most of the material discussed in these lectures
is based on two earlier papers by the same author (gr-qc/9601014 and
gr-qc/9607022), but the exposition given in the end is new.
","[{""version"":""v1"",""created"":""Fri, 16 Aug 1996 08:35:42 GMT""}]","2007-05-23"
"gr-qc/9608038","Winfried Zimdahl","Winfried Zimdahl, Josep Triginer and Diego Pavon","Collisional equilibrium, particle production and the inflationary
  universe","19 pages, latex, no figures, to appear in Phys.Rev.D","Phys.Rev. D54 (1996) 6101-6110","10.1103/PhysRevD.54.6101",,"gr-qc astro-ph",,"  Particle production processes in the expanding universe are described within
a simple kinetic model. The equilibrium conditions for a Maxwell-Boltzmann gas
with variable particle number are investigated. We find that radiation and
nonrelativistic matter may be in equilibrium at the same temperature provided
the matter particles are created at a rate that is half the expansion rate.
Using the fact that the creation of particles is dynamically equivalent to a
nonvanishing bulk pressure we calculate the backreaction of this process on the
cosmological dynamics. It turns out that the `adiabatic' creation of massive
particles with an equilibrium distribution for the latter necessarily implies
power-law inflation. Exponential inflation in this context is shown to become
inconsistent with the second law of thermodynamics after a time interval of the
order of the Hubble time.
","[{""version"":""v1"",""created"":""Fri, 16 Aug 1996 09:01:03 GMT""}]","2009-10-28"
"hep-ex/9608011","Ralph Eichler","S. Aid, et al. (H1 Collaboration)","Charged Particle Multiplicities in Deep Inelastic Scattering at HERA","40 pages, latex, 8 Figures","Z.Phys.C72:573-592,1996","10.1007/s002880050280","DESY 96-160","hep-ex",,"  Using the H1 detector at HERA, charged particle multiplicity distributions in
deep inelastic ep scattering have been measured over a large kinematical
region. The evolution with $W$ and $Q^2$ of the multiplicity distribution and
of the multiplicity moments in pseudorapidity domains of varying size is
studied in the current fragmentation region of the hadronic centre-of-mass
frame. The results are compared with data from fixed target lepton-nucleon
interactions, $e^+e^-$ annihilations and hadron-hadron collisions as well as
with expectations from QCD based parton models. Fits to the Negative Binomial
and Lognormal distributions are presented.
","[{""version"":""v1"",""created"":""Fri, 16 Aug 1996 02:18:11 GMT""}]","2008-11-26"
"hep-lat/9608086","Taras Ivanenko","R.C. Brower (Boston U), T.L. Ivanenko (MIT), J.W.Negele (MIT),
  K.N.Orginos (Brown U.)","Instanton Distribution in Quenched and Full QCD","3 pages, LaTeX file + 3 figures included, uses epsfig.sty and
  espcrc2.sty. Talk presented at LATTICE96(topology)","Nucl.Phys.Proc.Suppl.53:547-549,1997","10.1016/S0920-5632(96)00714-1","MIT-CTP 2559","hep-lat",,"  In order to optimize cooling as a technique to study the instanton content of
the QCD vacuum, we have studied the effects of alternative algorithms, improved
actions and boundary conditions on the evolution of single instantons and
instanton anti-instanton pairs. Using these results, we have extracted and
compared the instanton content of quenched and full QCD.
","[{""version"":""v1"",""created"":""Thu, 15 Aug 1996 18:55:16 GMT""}]","2008-11-26"
"hep-lat/9608087","Joern Rank","F. Karsch, T. Neuhaus, A. Patk\'os and J. Rank","Critical Higgs Mass and Temperature Dependence of Gauge Boson Masses in
  the SU(2) Gauge-Higgs Model","Talk presented at LATTICE96(electroweak), 3 pages, LaTeX2e File,
  Style File, 4 eps figures included","Nucl.Phys.Proc.Suppl. 53 (1997) 623-625","10.1016/S0920-5632(96)00736-0","FSU-SCRI-96C-79","hep-lat",,"  We study the effective 3-D SU(2) Gauge-Higgs model at finite temperature for
Higgs-masses in the range from $60$ GeV up to $100$ GeV. The first order
electroweak phase transition weakens with increasing Higgs-mass and terminates
at a critical end-point. For Higgs-mass values larger than about
$m_{H,c}=75.4(6)$ GeV the thermodynamic signature of the transition is
described by a crossover. Close to this Higgs-mass value we investigate the
vector boson propagator in Landau gauge. The calculated W-boson screening
masses are compared with predictions based on gap equations.
","[{""version"":""v1"",""created"":""Thu, 15 Aug 1996 21:32:29 GMT""}]","2009-10-28"
"hep-lat/9608088","Craig McNeile","C. Bernard (1), T. Blum (2), T. DeGrand (3), C. E. DeTar (4), Steven
  Gottlieb (5), U. M. Heller (6), J. E. Hetrick (7), C. McNeile (4), K.
  Rummukainen (5), R. L. Sugar (8), D. Toussaint (7), M. Wingate (3) ((1)
  Washington U., St. Louis, (2) Brookhaven, (3) Colorado U., (4) Utah U., (5)
  Indiana U., (6) Florida State U., SCRI, (7) Arizona U., (8) UC, Santa
  Barbara)","Assorted weak matrix elements involving the bottom quark","Poster presented at LATTICE96(heavy quarks), 4 pages of LaTeX, uses
  epsf to include two postscript figures","Nucl.Phys.Proc.Suppl.53:374-377,1997","10.1016/S0920-5632(96)00663-9","UU-HEP 96/6","hep-lat",,"  As part of a larger project to estimate the fB decay constant, we are
recalculating fB_static using a variational smearing method in an effort to
improve accuracy. Preliminary results for the static B_B parameter and HQET two
point functions are also presented.
","[{""version"":""v1"",""created"":""Thu, 15 Aug 1996 21:46:57 GMT""}]","2008-11-26"
"hep-lat/9608089","Weonjong Lee","Weonjong Lee (IBM T.J. Watson Research Center) and Markus Klomfass","Numerical Study of $ K^0$--$\bar{K}^0$ Mixing and $ B_K $","51 pages, latex, 21 figures, uses epsf.sty, submitted to Phys. Rev. D",,,"CU-TH-764","hep-lat hep-ph",,"  We have computed $ B_K $ with staggered fermions, using two different
methods: both in the one spin trace form and two spin trace form. Renormalized
results in both forms are in good agreement. The numerical simulations were
performed on a $ 16^3 \times 40 $ lattice in full QCD with $ \beta = 5.7 $. We
also tried an improved wall source method in order to select only the
pseudo-Goldstone bosons and compare the numerical results obtained with those
from the conventional wall source method. We have studied $ B_K $ with a series
of non-degenerate quark anti-quark pairs and saw no effect on $ B_K $, although
dramatic effects in the chiral limit were seen on the individual terms making
up $ B_K $.
","[{""version"":""v1"",""created"":""Thu, 15 Aug 1996 22:54:02 GMT""}]","2007-05-23"
"hep-lat/9608090","Takashi Kaneko","Y. Iwasaki, K. Kanaya, T. Kaneko, T. Yoshi\'e","Scaling of the critical temperature and quark potential with a
  renormalization group improved SU(3) gauge action","3 pages of Latex, 5 PostScript figures, Talk presented at
  LATTICE96(finite temperature)","Nucl.Phys.Proc.Suppl.53:429-431,1997","10.1016/S0920-5632(96)00679-2","UTHEP-341, UTCCP-P-13","hep-lat",,"  We study the scaling property of the ratio of the critical temperature $T_c$
to the square root of the string tension $\sigma$ in the SU(3) pure gauge
theory using a renormalization group improved action. We first determine the
critical coupling $\beta_c$ on lattices with temporal extension $N_t=4$ and 6,
and then calculate the static quark potential at the critical couplings on
lattices at zero temperature. The values of $T_{c}/\sqrt{\sigma}$ in the
infinite volume limit are identical within errors, while they are slightly
larger than the value extrapolated to the continuum limit with the standard
action. We also note that the rotational invariance of the static quark
potential is remarkably restored in the both cases, and that the potential
$V(R)$ in physical units scales in the whole region of $R$ investigated.
","[{""version"":""v1"",""created"":""Fri, 16 Aug 1996 10:24:37 GMT""}]","2016-08-15"
"hep-lat/9608091","Myunggyu Kim","Myunggyu Kim and Seyong Kim","Chiral corrections to the axial charges of the octet baryons from
  quenched QCD","standard LaTeX, 16 pages, 4 epsf figures","Phys.Rev. D58 (1998) 074509","10.1103/PhysRevD.58.074509","SNUTP-96-81","hep-lat",,"  We calculate one-loop correction to the axial charges of the octet baryons
using quenched chiral perturbation theory, in order to understand chiral
behavior of the axial charges in quenched approximation to quantum
chromodynamics (QCD). In contrast to regular behavior of the full QCD chiral
perturbation theory result, $c_0+c_{l2}m_\pi^2\,\ln{m_\pi^2}+\cdots$, we find
that the quenched chiral perturbation theory result,
$c_0^Q+(c_{l0}^Q+c_{l2}^Qm_\pi^2)\ln{m_\pi^2}+c_2^Q m_\pi^2+\cdots$, is
singular in the chiral limit.
","[{""version"":""v1"",""created"":""Fri, 16 Aug 1996 11:02:13 GMT""}]","2009-10-28"
"hep-ph/9608336","Subir Sarkar","Jennifer A. Adams (Uppsala), Graham G. Ross (Oxford) and Subir Sarkar
  (Oxford)","Natural Supergravity inflation","14 pages (revtex) including 3 figures (epsf); Minor changes to
  Introduction and discussion and modified Figure 1; to appear in Phys. Lett.
  B; Postscript also available from
  ftp://ftp.physics.ox.ac.uk/pub/local/users/sarkar/SugraInfl.ps.gz","Phys.Lett.B391:271-280,1997","10.1016/S0370-2693(96)01484-0","OUTP-96-48P","hep-ph astro-ph",,"  We identify a new mechanism in supergravity theories which leads to
successful inflation without any need for fine tuning. The simplest model
yields a spectrum of density fluctuations tilted away from scale-invariance and
negligible gravitational waves. We demonstrate that this is consistent with the
observed large-scale structure for a cold dark matter dominated, critical
density universe. The model can be tested through measurements of microwave
background anisotropy on small angular scales.
","[{""version"":""v1"",""created"":""Thu, 15 Aug 1996 16:05:08 GMT""},{""version"":""v2"",""created"":""Tue, 20 Aug 1996 18:17:49 GMT""},{""version"":""v3"",""created"":""Wed, 30 Oct 1996 11:14:01 GMT""}]","2014-11-17"
"hep-ph/9608337",,"J.G. K\""orner","Constituent Quark Model Approach to Heavy Baryon Transitions","Invited talk given at the III German-Russian Workshop on Heavy Quark
  Physics, Dubna, Russia, May 20-22, 1996, to appear in the Proceedings. 6
  pages and 1 figure",,,"Mainz MZ-TH/96-24","hep-ph",,"  I discuss the structure of current-induced bottom baryon to charm baryon
transitions, and the structure of pion and photon transitions between heavy
charm or bottom baryons in the Heavy Quark Symmetry (HQS) limit as
$m_Q\rightarrow\infty$. By doing a spin-parity analysis I derive a general
formula which allows one to enumerate the independent HQS amplitudes in the
three types of transitions. I go on to show that use of the constituent quark
model for the light-side diquark transitions leads to a considerable reduction
in the number of independent amplitudes derived in the HQS limit. The
discussion includes the ground state $s$-wave as well as the $p$-wave heavy
baryons.
","[{""version"":""v1"",""created"":""Thu, 15 Aug 1996 16:28:24 GMT""}]","2007-05-23"
"hep-ph/9608338","Wolfgang Schaefer","N. N. Nikolaev (1,2,3), W. Schaefer (2), B. G. Zakharov (3) ((1) ITKP
  Bonn, (2) IKP,KFA-Juelich, (3) Landau Inst.)","Diffractive DIS: back to triple-Regge phenomenology?","18 pages LaTeX, including 6 eps-figures, uses epsfig-macro, revised
  version: a factor of 1/3 in eq.(10) was corrected, and a more detailed
  discussion of the effect of the x_Pom-beta correlation added",,,"KFA-IKP(Th)-1996-06","hep-ph",,"  We discuss the factorization breaking effects caused by the contribution to
large rapidity gap events from DIS on secondary reggeons. Based on the
triple-Regge phenomenology of hadronic diffraction dissociation, we present
estimates for the flux and structure function of the f reggeon. The kinematical
x_Pom-beta correlation is shown to modify substantially the observed x_Pom
dependence of the diffractive structure function. The secondary reggeon and
x_Pom-beta correlation effects explain the recent H1 finding of the
factorization breaking and resolve the apparent contradiction between the
preliminary H1 results and predictions from the color dipole gBFKL approach. We
suggest further tests of predictions for diffractive DIS from the gBFKL
approach.
","[{""version"":""v1"",""created"":""Thu, 15 Aug 1996 16:00:34 GMT""},{""version"":""v2"",""created"":""Tue, 20 Aug 1996 14:13:30 GMT""},{""version"":""v3"",""created"":""Fri, 23 Aug 1996 11:49:04 GMT""}]","2008-02-03"
"hep-ph/9608339","Milo Svec","M.Svec (McGill University)","Relevance of nucleon spin in amplitude analysis of reactions
  pi(-)p->pi(0)pi(0)n and pi(-)p->eta eta n","54 pages","Phys.Rev.D55:4355-4369,1997","10.1103/PhysRevD.55.4355",,"hep-ph",,"  The measurements of reactions $\pi^- p \to \pi^- \pi^+ n$ and $\pi^+ n \to
\pi^+ \pi^- p$ on polarized targets at CERN found a strong dependence of pion
production amplitudes on nucleon spin. Analyses of recent measurements of
$\pi^- p \to \pi^0\pi^0 n$ reaction on unpolarized targets by GAMS
Collaboration at 38 GeV/c and BNL E852 Collaboration at 18 GeV/c use the
assumption that pion production amplitudes do not depend on nucleon spin, in
conflict with the CERN results on polarized targets. We show that measurements
of $\pi^- p \to \pi^0\pi^0 n$ and $\pi^- p \to \eta\eta n$ on unpolarized
targets can be analysed in a model independent way in terms of 4 partial-wave
intensities and 3 independent interference phases in the mass region where $S$-
and $D$-wave dominate. We also describe model-independent amplitude analysis of
$\pi^- p \to \pi^0\pi^0 n$ reaction measured on polarized target, both in the
absence and in the presence of $G$-wave amplitudes. We suggest that high
statistics measurements of reactions $\pi^- p \to \pi^0 \pi^0 n$ and $\pi^- p
\to \eta\eta n$ be made on polarized targets at Protvino IHEP and at BNL, and
that model-independent amplitude analyses of this polarized data be performed
to advance hadron spectroscopy on the level of spin dependent production
amplitudes.
","[{""version"":""v1"",""created"":""Thu, 15 Aug 1996 19:05:18 GMT""}]","2008-11-26"
"hep-ph/9608340","Sasha","Alexander Kusenko and Paul Langacker (University of Pennsylvania)","Is the vacuum stable?","8 pages, plain latex, postscript file also available at
  ftp://dept.physics.upenn.edu/pub/Kusenko/UPR709T.ps","Phys.Lett.B391:29-33,1997","10.1016/S0370-2693(96)01470-0","UPR-709-T","hep-ph",,"  The experimental data, as well as theoretical considerations allow (and, in
some cases, require) the Universe at present to rest in a false vacuum, whose
approximate stability imposes constraints on the model parameters. Under very
general and mild conditions, the Universe would have ended up in the standard
vacuum even if the potential has deeper minima, provided there was a period in
which the temperature was > 1 TeV. In many cases, the zero temperature
tunneling rate is much smaller than the inverse age of the Universe. Future
experiments may reveal that the physical vacuum is not entirely stable.
Implications for the cosmological constant are discussed.
","[{""version"":""v1"",""created"":""Thu, 15 Aug 1996 19:16:02 GMT""}]","2014-11-17"
"hep-ph/9608341","Andrei Linde","Lev Kofman, Andrei Linde and Alexei Starobinsky","Comments on ""Analytic and Numerical Study of Preheating Dynamics""","3 pages, no figures",,,"SU-ITP-96-39, UHIFA96-45","hep-ph",,"  In a recent paper Boyanovsky et al (hep-ph/9608205) studied preheating for a
particular theory of the inflaton field. Although they results essentially
confirm those of the original papers on reheating after inflation, they claimed
that most of the earlier works on preheating did not take into account
backreaction of created particles, misused the Mathieu equation, and were
inconclusive about the symmetry restoration after preheating. We explain why we
cannot agree with these statements.
","[{""version"":""v1"",""created"":""Thu, 15 Aug 1996 19:56:40 GMT""}]","2007-05-23"
"hep-ph/9608342","Jack Smith","M. Buza (1), Y. Matiounine (2), J. Smith (2), W.L. van Neerven (3)
  ((1) NIKHEF, (2) SUNY at Stony Brook, (3) University of Leiden)","$O(\alpha_s^2)$ corrections to polarized heavy flavour production at
  $Q^2\gg m^2$","Latex with nine Postscript figures","Nucl.Phys. B485 (1997) 420-456","10.1016/S0550-3213(96)00606-2",,"hep-ph",,"  We present analytic formulae for the heavy flavour coefficient functions for
polarized deep inelastic lepton-hadron scattering. The expressions are valid in
the kinematical regime $Q^2\gg m^2$ where $Q^2$ and $m^2$ stand for the masses
squared of the virtual photon and heavy quark respectively. Using these
coefficient functions we have computed the next-to-leading order $\alpha_s$
corrections to polarized charm production at HERA collider energies, where both
the electron and proton beams are polarized. We also give an estimate of these
corrections at fixed target experiments where the typical $Q^2$ values are much
smaller than at HERA.
","[{""version"":""v1"",""created"":""Thu, 15 Aug 1996 23:01:11 GMT""}]","2009-10-28"
