"alg-geom/9608009","Andrzej Weber","Andrzej Weber (University of Warsaw)","Residues in intersection homology and L_p-cohomology","12 pages, AMS-tex. I have made some minor corrections and added few
  remarks",,,,"alg-geom math.AG",,"  Suppose $M^{n+1}$ is a complex manifold and K is a hypersurface with isolated
singularities. Let $\omega$ be a holomorphic form on $M\setminus K$ with the
first order pole on K. The Leray residue of such form gives an element in the
n-th homology of K which is the Alexander dual to $[\omega ]\in
H^{n+1}(M\setminus K)$. It always lifts to the intersection homology if 0 does
not belong to the spectra of a singular points. We assume that singularities
are described by the quasihomogeneous equations in certain coordinate systems.
Suppose that oscillation indicators of the singular points are greater then -1.
Then we find a metric on $K\setminus\Sigma$ in which the residue form is square
integrable (and even L_p-integrable for p>2). Applying the isomorphism of
L_p-cohomology and intersection homology we obtain a particular lift of the
residue class in homology to intersection homology.
","[{""version"":""v1"",""created"":""Sat, 10 Aug 1996 13:20:25 GMT""},{""version"":""v2"",""created"":""Mon, 2 Dec 1996 12:15:57 GMT""}]","2008-02-03"
"astro-ph/9608054","A. J. Banday","K. M. Gorski (TAC), B. Ratra (KSU), R. Stompor (Oxford), N. Sugiyama
  (Kyoto) and A. J. Banday (MPI fur Astrophysik)","COBE-DMR-Normalized Open CDM Cosmogonies","49 pages, uses aaspp4.sty; 2 Postscript files of tables; uuencoded
  format. Complete paper including text, tables and 24 figures available at
  ftp://ftp.mpa-garching.mpg.de/incoming/banday/open4.uu","Astrophys.J.Suppl.114:1-30,1998","10.1086/313062","MIT-CTP-2548, KUNS 1399","astro-ph",,"  Cut-sky orthogonal mode analyses of the COBE-DMR 53 and 90 GHz sky maps are
used to determine the normalization of a variety of open cosmogonical models
based on the cold dark matter scenario. To constrain the allowed
cosmological-parameter range for these open cosmogonies, the predictions of the
DMR-normalized models are compared to various observational measures of
cosmography and large-scale structure, viz.: the age of the universe;
small-scale dynamical estimates of the clustered-mass density parameter
(Omega_0); constraints on the Hubble parameter (h), the X-ray cluster
baryonic-mass fraction (Omega_B/Omega_0), and the matter power spectrum shape
parameter; estimates of the mass perturbation amplitude; and constraints on the
large-scale peculiar velocity field. The open-bubble inflation model is
consistent with current determinations of the 95% confidence level range of
these observational constraints.
","[{""version"":""v1"",""created"":""Sat, 10 Aug 1996 11:55:41 GMT""}]","2008-11-26"
"cond-mat/9608049","Leon Balents","Leon Balents, Matthew P. A. Fisher, and Martin R. Zirnbauer","Chiral Metal as a Ferromagnetic Super Spin Chain","34 pages, LaTeX with two figures included via epsf. Replacement
  corrects an error in the section (5.5) on parametric correlations. Complete
  postscript file available also at
  http://www.itp.ucsb.edu/~balents/papers.html",,"10.1016/S0550-3213(96)00572-X","NSF-ITP-96-74","cond-mat",,"  The electrons on the surface of a disordered multi-layer integer quantum Hall
system constitute an unusual chiral metal with ballistic motion transverse to
the field, and diffusive motion parallel to it. We present a non-perturbative
analytic treatment of an appropriate model, consisting of disordered chiral
Fermions in two dimensions. A supersymmetric generating functional is set up
for the correlation functions of this system. The strong disorder limit is
mapped into a supersymmetric spin chain, with ferromagnetic exchange coupling,
reflecting the electron's chiral motion. The ferromagnetic ground state and the
spin wave excitations, corresponding to the diffusion modes of the chiral
metal, are found exactly. The parametric density of states correlator in the
ergodic limit is computed from a Boltzmann-weighted sum over low energy spin
states. The result is of a universal form and coincides with that for a
Hermitian random matrix.
","[{""version"":""v1"",""created"":""Fri, 9 Aug 1996 18:13:42 GMT""},{""version"":""v2"",""created"":""Fri, 27 Sep 1996 16:39:02 GMT""}]","2009-10-28"
"cond-mat/9608050","Eric Kramer","Eric M. Kramer","The von Karman equations, the stress function, and elastic ridges in
  high dimensions","corrected references, 27 pages, RevTeX + epsf, 2 figures, Submitted
  to J. Math. Phys",,"10.1063/1.531893",,"cond-mat dg-ga math.DG",,"  The elastic energy functional of a thin elastic rod or sheet is generalized
to the case of an M-dimensional manifold in N-dimensional space. We derive
potentials for the stress field and curvatures and find the generalized von
Karman equations for a manifold in elastic equilibrium. We perform a scaling
analysis of an M-1 dimensional ridge in an M = N-1 dimensional manifold. A
ridge of linear size X in a manifold with thickness h << X has a width w ~
h^{1/3}X^{2/3} and a total energy E ~ h^{M} (X/h)^{M-5/3}. We also prove that
the total bending energy of the ridge is exactly five times the total
stretching energy. These results match those of A. Lobkovsky [Phys. Rev. E 53,
3750 (1996)] for the case of a bent plate in three dimensions.
","[{""version"":""v1"",""created"":""Fri, 9 Aug 1996 21:38:47 GMT""},{""version"":""v2"",""created"":""Fri, 16 Aug 1996 19:55:17 GMT""}]","2009-10-28"
"cond-mat/9608051","Olav Syljuasen","Olav F. Syljuasen (UCLA)","Gauge invariance of the beta-function in nonrelativistic quantum
  electrodynamics","14 pages, 2 encapsulated postscript figures, LaTeX, uses elsevier and
  epsf","Nucl.Phys. B493 (1997) 707-718","10.1016/S0550-3213(97)00148-X",,"cond-mat",,"  Recently there has been much interest in gauge theories applied to condensed
matter physics. I show that for a system of nonrelativistic electrons coupled
to a U(1) gauge field in the presence of a Fermi surface, the beta-function to
one-loop order is, for a particular family of gauge-choices, independent of the
gauge-choice.
","[{""version"":""v1"",""created"":""Sat, 10 Aug 1996 00:32:08 GMT""}]","2009-10-28"
"dg-ga/9608004","E. Loubea","Eric Loubeau","Pluriharmonic Morphisms","AMS-Latex v1.2b, 11 pages with 1 figure",,,"Leeds University Preprint Series no. 12 (1996)","dg-ga math.DG",,"  Pluriharmonic maps form an important class of harmonic maps which includes
holomorphic maps. We study their morphisms, in particular the
inter-relationships between $(1,1)$-geodesic, pluriharmonic and
$\pm$holomorphic maps. Then we characterise pluriharmonic morphisms between
Hermitian manifolds. We make a special study of the situation where the target
is K{\""a}hler, pluriharmonic morphisms being particularly well understood for
this case.
","[{""version"":""v1"",""created"":""Sat, 10 Aug 1996 12:57:31 GMT""}]","2008-02-03"
"gr-qc/9608024","Bahman K. Darian","B. K. Darian and H. P. Kunzle","Axially Symmetric Bianchi I Yang-Mills Cosmology as a Dynamical System","18 pages, 6 Postscript figures, uses amsmath,amssymb,epsfig,verbatim,
  to appear in CQG","Class.Quant.Grav. 13 (1996) 2651","10.1088/0264-9381/13/10/005","Alberta Thy 21-96","gr-qc chao-dyn nlin.CD",,"  We construct the most general form of axially symmetric SU(2)-Yang-Mills
fields in Bianchi cosmologies. The dynamical evolution of axially symmetric YM
fields in Bianchi I model is compared with the dynamical evolution of the
electromagnetic field in Bianchi I and the fully isotropic YM field in
Friedmann-Robertson-Walker cosmologies. The stochastic properties of axially
symmetric Bianchi I-Einstein-Yang-Mills systems are compared with those of
axially symmetric YM fields in flat space. After numerical computation of
Liapunov exponents in synchronous (cosmological) time, it is shown that the
Bianchi I-EYM system has milder stochastic properties than the corresponding
flat YM system. The Liapunov exponent is non-vanishing in conformal time.
","[{""version"":""v1"",""created"":""Fri, 9 Aug 1996 20:21:14 GMT""}]","2009-10-28"
"gr-qc/9608025","Simon Brian Davis","Simon Davis","Symmetric Variations of the Metric and Extrema of the Action for Pure
  Gravity","34 pages, TeX. Additional remarks concerning the gravitational action
  are included in section 4","Gen.Rel.Grav. 30 (1998) 345-377","10.1023/A:1018898407507","DAMTP-R/96/7","gr-qc",,"  Symmetries of generalized gravitational actions, yielding field equations
which typically involve at most second-order derivatives of the metric, are
considered. The field equations for several different higher-derivative
theories in the first-order formalism are derived, and variations of a generic
set of higher-order curvature terms appearing in string effective actions are
studied. It is shown that there often exists a particular set of solutions to
the field equations of pure gravity theories, consisting of different
combinations of curvature tensors, which satisfies the vacuum equations with
cosmological constant. Implications of generalized symmetries of the field
equations derived from the superstring effective action for the cosmological
constant problem are discussed.
","[{""version"":""v1"",""created"":""Sat, 10 Aug 1996 08:35:54 GMT""},{""version"":""v2"",""created"":""Sun, 1 Sep 1996 11:05:00 GMT""},{""version"":""v3"",""created"":""Tue, 10 Sep 1996 16:44:00 GMT""}]","2015-06-25"
"gr-qc/9608026","Brian Dolan","Brian P. Dolan and Kevin P. Haugh","A Covariant Approach To Ashtekar's Canonical Gravity","18 pages, Plain TeX","Class.Quant.Grav. 14 (1997) 477-488","10.1088/0264-9381/14/2/020",,"gr-qc hep-th",,"  A Lorentz and general co-ordinate co-variant form of canonical gravity, using
Ashtekar's variables, is investigated. A co-variant treatment due to Crnkovic
and Witten is used, in which a point in phase space represents a solution of
the equations of motion and a symplectic functional two form is constructed
which is Lorentz and general co-ordinate invariant. The subtleties and
difficulties due to the complex nature of Ashtekar's variables are addressed
and resolved.
","[{""version"":""v1"",""created"":""Sat, 10 Aug 1996 10:46:20 GMT""}]","2009-10-28"
"hep-lat/9608050",,"Colin Morningstar (UCSD), Mike Peardon (University of Kentucky)","SU(3) glueballs on coarse, anisotropic lattices","4 pages LaTeX, 3 figures with espcrc2.sty. Poster presented at
  LATTICE96(improvement)","Nucl.Phys.Proc.Suppl. 53 (1997) 917-920","10.1016/S0920-5632(96)00817-1",,"hep-lat",,"  Results from a calculation of the low-lying glueball spectrum of pure-gauge
SU(3) are used as a test of the effectiveness of improved discretisation
schemes in reducing finite spacing errors. Glueball masses are extracted from
simulations on anisotropic lattices, where the temporal lattice spacing is much
shorter than the spatial ones. This allows clearer resolution of the decay of
glueball correlators.
","[{""version"":""v1"",""created"":""Fri, 9 Aug 1996 17:55:43 GMT""}]","2009-10-28"
"hep-lat/9608051","Attilioc","Attilio Cucchieri and Tereza Mendes (New York University)","Study of Critical Slowing-Down in $SU(2)$ Landau Gauge Fixing","4 pages (including 1 figure); latex using espcrc2.sty. Talk presented
  at LATTICE96(poster)","Nucl.Phys.Proc.Suppl. 53 (1997) 811-814","10.1016/S0920-5632(96)00789-X","NYU-Th-96-08-01","hep-lat",,"  We study the problem of critical slowing-down for gauge-fixing algorithms
(Landau gauge) in $SU(2)$ lattice gauge theory on $2$ and $4$ dimensional
lattices, both numerically and analytically. We consider five such algorithms,
and we measure four different observables. A detailed discussion and analysis
of the tuning of these algorithms is also presented.
","[{""version"":""v1"",""created"":""Fri, 9 Aug 1996 19:18:58 GMT""}]","2009-10-28"
"hep-ph/9608279",,"Keiichi Akama (Saitama Medical College) and Hidezumi Terazawa (INS,
  University of Tokyo)","Has the Substructure of Quarks Been Found by the Collider Detector at
  Fermilab?","6 pages, revtex, 4 figures (included)","Phys.Rev.D55:2521-2525,1997","10.1103/PhysRevD.55.2521","INS-Rep.-1154","hep-ph",,"  The significant excess recently found by the CDF Collaboration in the
inclusive jet cross section for jet transverse energies $E_T \ge 200$ GeV over
current QCD predictions can be explained either by possible production of
excited bosons (excited gluons, weak bosons, Higgs scalars, etc.) or by that of
excited quarks. The masses of the excited boson and the excited quark are
estimated to be around 1600 GeV and 500 GeV, respectively.
","[{""version"":""v1"",""created"":""Sat, 10 Aug 1996 09:35:46 GMT""},{""version"":""v2"",""created"":""Thu, 22 Aug 1996 09:30:45 GMT""},{""version"":""v3"",""created"":""Fri, 23 Aug 1996 07:11:55 GMT""}]","2009-12-30"
"hep-ph/9608287","Terry Goldman","T. Goldman (Los Alamos), B. H. J. McKellar (U. of Melbourne) and G. J.
  Stephenson Jr. (U. of New Mexico)","MSW Without Matter","3pp. LaTeX including 2 psfigures; to appear in Proceedings, DPF96,
  Minneapolis, 11-15 August 1996",,,,"hep-ph",,"  We examine the effects of a scalar field, coupled only to neutrinos, on
oscillations among weak interaction current eigenstates. The existence of a
real scalar field is manifested as effective masses for the neutrino mass
eigenstates, the same for $\nbar$ as for $\n$. Under some conditions, this can
lead to a vanishing of $\delta m^2$, giving rise to MSW-like effects. We
present an idealized example and show that it may be possible to resolve the
apparent discrepancy in spectra required by r-process nucleosynthesis in the
mantles of supernovae and by Solar neutrino solutions.
","[{""version"":""v1"",""created"":""Fri, 9 Aug 1996 20:42:14 GMT""}]","2007-05-23"
"hep-ph/9608288","Leonid Burakovsky","L. Burakovsky","First Order Quark-Gluon/Hadron Transition May Affect Cosmological
  Nucleosynthesis","10 pages, LaTeX, to appear in Phys. Lett. B, 1996","Phys.Lett. B382 (1996) 13-18","10.1016/0370-2693(96)00517-5","LA-UR-95-4527","hep-ph",,"  In the model of a first order quark-gluon/hadron phase transition in which
the hadronic phase is considered as vacuum bubbles growing in the quark-gluon
background with chiral symmetry broken inside the bubble, we find the estimate
for the length scale associated with inhomogeneities originated during the
transition, $10$ m $\;\stackrel{<}{\sim }\ell \stackrel{<}{\sim }40$ m, being
sufficient to produce significant effects on cosmological nucleosynthesis.
","[{""version"":""v1"",""created"":""Fri, 9 Aug 1996 17:37:26 GMT""}]","2009-10-28"
"hep-ph/9608289","Leonid Burakovsky","L. Burakovsky and L.P. Horwitz","Mass Spectrum of a Baryon Octet is Linear","9 pages, LaTeX, 4 postscript figures","Found.Phys.Lett. 10 (1997) 61-71","10.1007/BF02764120",,"hep-ph",,"  It is argued that the mass spectrum of a baryon octet is linear, consistent
with a Gell-Mann--Okubo type relation for the squared masses of the baryons
obtained previously by Bal\'{a}zs and Nicolescu. The mass spectrum of a baryon
decuplet is briefly discussed.
","[{""version"":""v1"",""created"":""Fri, 9 Aug 1996 17:44:24 GMT""}]","2009-10-28"
"hep-ph/9608290","Leonid Burakovsky","L. Burakovsky and L.P. Horwitz","On the Thermodynamics of Chiral Symmetry Restoration","16 pages, LaTeX, 2 postscript figures",,,"LA-UR-96-2461, IASSNS-HEP-96/82","hep-ph",,"  The formulas for the temperature dependences of the non-strange and strange
quark condensates are derived by taking into account the contribution of the
massive resonances. Critical temperature of the chiral symmetry restoration
transition is established to be 190 MeV if only meson resonances are
considered, and 175 MeV if both meson and baryon resonances are taken into
account.
","[{""version"":""v1"",""created"":""Fri, 9 Aug 1996 17:46:25 GMT""}]","2007-05-23"
"hep-ph/9608291","Leonid Burakovsky","L. Burakovsky and L.P. Horwitz","On the Thermodynamics of Hot Hadronic Matter","21 pages, LaTeX, 3 postscript figures","Nucl.Phys. A614 (1997) 373-399","10.1016/S0375-9474(96)00469-1","LA-UR-96-2715","hep-ph",,"  The equation of state of hot hadronic matter is obtained, by taking into
account the contribution of the massive states with the help of the resonance
spectrum $\tau (m)\sim m^3$ justified by the authors in previous papers. This
equation of state is in agreement with that provided by the low-temperature
expansion for the pion intracting gas. It is shown that in this picture the
deconfinement phase transition is absent, in agreement with lattice gauge
calculations which show the only phase transition of chiral symmetry
restoration. The latter is modelled with the help of the restriction of the
number of the effective degrees of freedom in the hadron phase to that of the
microscopic degrees of freedom in the quark-gluon phase, through the
corresponding truncation of the hadronic resonance spectrum, and the decrease
of the effective hadron masses with temperature, predicted by Brown and Rho.
The results are in agreement with lattice gauge data and show a smooth
crossover in the thermodynamic variables in a temperature range $\sim 50$ MeV.
","[{""version"":""v1"",""created"":""Fri, 9 Aug 1996 17:48:36 GMT""}]","2009-10-28"
