"alg-geom/9601009","Elizabeth Gasparim","Elizabeth Gasparim","Holomorphic Rank Two Vector Bundles on Blow-ups","Latex2e. University of New Mexico, Ph.D. Thesis",,,,"alg-geom math.AG",,"  In this paper we study holomorphic rank two vector bundles on the blow up of
$ {\bf C}^2$ at the origin. A classical theorem of Birchoff and Grothendieck
says that any holomorphic vector bundle on the projective plane ${\bf P}^1$
splits into a sum of line bundles. If $E$ is a holomorphic vector bundle over
the blow up of $ {\bf C}^2$ at the origin, then the restriction of $E$ to the
exceptional divisor is a vector bundle over ${\bf P}^1$ and therefore splits.
Moreover we assume that $E$ is a rank two bundle that has zero first Chern
class. Hence its restriction to the exceptional divisor is of the form $ {\cal
O}(j) \oplus {\cal O}(-j) $ for some integer $j.$ We denote by ${\cal M}_j$ the
moduli space of equivalence classes (under holomorphic isomorphisms) of rank
two holomorphic vector bundles on the blow up of $ {\bf C}^2$ at the origin
whose restriction to the exceptional divisor is $ {\cal O}(j) \oplus {\cal
O}(-j) .$
","[{""version"":""v1"",""created"":""Fri, 12 Jan 1996 16:18:50 GMT""}]","2008-02-03"
"hep-ph/9601258",,"Jian-Jun Yang, Bo-Qiang Ma, Guang-Lie Li","Non-perturbative effect in the nucleon structure function and the
  Gottfried sum","LaTex, 14 pages, one figue appended as uuencoded file",,,"BIHEP-95-41","hep-ph",,"  We investigate the non-perturbative effect in the nucleon structure function
and the Gottfried sum by using a non-perturbative quark propagator with lowest
dimensional condensate contributions from the QCD vacuum. It is shown that the
non-perturbative effect modifies the conventional quark-parton model formula of
the nucleon structure function at finite $Q^2$ and suggests a non-trivial $Q^2$
dependence in the Gottfried sum.
","[{""version"":""v1"",""created"":""Sat, 13 Jan 1996 04:26:49 GMT""}]","2007-05-23"
"hep-ph/9601259","David Persson","David Persson","Asymptotic Freedom from Thermal and Vacuum Magnetization","38 pages. Latex. More sequential treatment of different limits.
  Thermal gluon mass included","Annals Phys. 252 (1996) 33-71","10.1006/aphy.1996.0124","Goteborg ITP 96-01","hep-ph hep-th",,"  We calculate the effective Lagrangian for a magnetic field in spinor, scalar
and vector QED. Connections are then made to $SU(N_C)$ Yang--Mills theory and
QCD. The magnetization and the corresponding effective charge are obtained from
the effective Lagrangian. The renormalized vacuum magnetization will depend on
the renormalization scale chosen. Regardless of this, the effective charge
decreasing with the magnetic field, as in QCD, corresponds to anti- screening
and asymptotic freedom. In spinor and scalar QED on the other hand, the
effective charge is increasing with the magnetic field, corresponding to
screening. Including effects due to finite temperature and density, we comment
on the effective charge in a degenerate fermion gas, increasing linearly with
the chemical potential. Neglecting the tachyonic mode, we find that in hot QCD
the effective charge is decreasing as the inverse temperature, in favor for the
formation of a quark-gluon plasma. However, including the real part of the
contribution from the tachyonic mode, we find instead an effective charge
increasing with the temperature. Including a thermal gluon mass, the effective
charge in hot QCD is group invariant (unlike in the two cases above), and
decreases logarithmically in accordance to the vacuum renormalization group
equation, with the temperature as the momentum scale.
","[{""version"":""v1"",""created"":""Fri, 12 Jan 1996 16:11:04 GMT""},{""version"":""v2"",""created"":""Thu, 21 Mar 1996 14:51:24 GMT""}]","2009-10-28"
"hep-ph/9601260","Robert Singleton","Claudio Rebbi and Robert Singleton, Jr","Computational Study of Baryon Number Violation in High Energy
  Electroweak Collisions","57 pages, LaTeX, 14 figues. Four of these figures are gray scale 3D
  surface plots too large to distribute in color. The full color figures can be
  viewed or downloaded from http://cthulu.bu.edu/~bobs/bviolate.html","Phys.Rev.D54:1020-1043,1996","10.1103/PhysRevD.54.1020","BUHEP-94-34","hep-ph hep-lat",,"  We use semiclassical methods to study processes which give rise to change of
topology and therefore to baryon number violation in the standard model. We
consider classically allowed processes, i.e.~energies above the sphaleron
barrier. We develop a computational procedure that allows us to solve the Yang
Mills equations of motion for spherically symmetric configurations and to
identify the particle numbers of the in- and out-states. A stochastic sampling
technique is then used to map the region spanned by the topology changing
solutions in the energy versus incoming particle number plane and, in
particular, to determine its lower boundary. A lower boundary which approaches
small particle number would be a strong indication that baryon number violation
would occur in high energy collisions, whereas a lower asymptote at large
particle number would be evidence of the contrary. With our method and the
computational resources we have had at our disposal, we have been able to
determine the lower boundary up to energies approximately equal to one and a
half time times the sphaleron energy and observed a 40\% decrease in particle
number with no sign of the particle number leveling off. However encouraging
this may be, the decrease in incoming particle number is only from particles 50
down to approximately 30. Nevertheless, the formalism we have established will
make it possible to extend the scope of this investigation and also to study
processes in the classically forbidden region, which we plan to do in the
future.
","[{""version"":""v1"",""created"":""Fri, 12 Jan 1996 18:37:58 GMT""}]","2012-08-27"
"hep-ph/9601261","Jorge L. Lopez","J. Lopez, D. Nanopoulos, A. Zichichi","Experimental constraints on a stringy SU(5)$\times$U(1) model","12 pages, LaTeX, 4 figures (included) Slightly revised version to
  appear in Phys. Rev. D (May 1 issue); noted that trilepton searches cannot
  probe the full parameter space of the model because the leptons from
  neutralino decay become too soft to be detectable","Phys.Rev.D53:5253-5257,1996","10.1103/PhysRevD.53.5253","CTP-TAMU-01/96, DOE/ER/40717-24","hep-ph hep-th",,"  We re-examine the phenomenological aspects of a recently proposed
string-derived SU(5)$\times$U(1) one-parameter supergravity model, and explore
the sensitivity of the model predictions to variations in the strong coupling
and the string unification scale. We also perform an analysis of the
constraints on the parameter space of the model in light of the recent Tevatron
trilepton data and the LEP~1.5 chargino and slepton data. We obtain
$m_{\chi^\pm_1}\gsim70\GeV$, which excludes one-third of the parameter space of
the model. The remainder of the parameter space should be probed by ongoing
analyses of the Tevatron trilepton data and forthcoming LEP~2 runs.
","[{""version"":""v1"",""created"":""Fri, 12 Jan 1996 20:46:41 GMT""},{""version"":""v2"",""created"":""Tue, 19 Mar 1996 17:45:10 GMT""}]","2009-08-25"
"hep-ph/9601262",,"Nima Arkani-Hamed, Hsin-Chia Cheng and L.J. Hall","A Supersymmetric Theory of Flavor with Radiative Fermion Masses","45 pages, LaTeX, 6 figures","Phys.Rev. D54 (1996) 2242-2260","10.1103/PhysRevD.54.2242","LBL-37894, UCB-PTH-95/36","hep-ph",,"  Supersymmetric theories involving a spontaneously broken flavor symmetry can
lead to fermion masses which vanish at tree level but are generated by
radiative corrections. In the context of supersymmetric theories with minimal
low energy field content we discuss which fermion masses and mixings may be
obtained radiatively, and find that constraints from flavor changing
phenomenology imply that only the first generation fermion masses and some (but
not all) CKM mixings can naturally come from radiative corrections. We also
consider general conditions on theories of flavor which guarantee the existence
of tree level massless fermions while having non-trivial CKM matrix elements at
tree level. Two complete models of flavor are presented. In the first model,
all first generation fermion masses are radiatively generated. In the second
model, the electron and up quark mass are due to radiative corrections whereas
the down mass appears at tree level, as does a successful prediction for the
Cabibbo angle $\sin \theta_c = \sqrt{m_d/m_s}$.
","[{""version"":""v1"",""created"":""Sat, 13 Jan 1996 01:34:51 GMT""}]","2009-10-28"
"hep-ph/9601263","Wolfgang Lucha","Wolfgang Lucha and Franz F. Sch\""oberl","Effective Potential Models for Hadrons","71 pages, LaTeX",,,"HEPHY-PUB 621/95","hep-ph hep-th",,"  The aim of these lectures is to give a self-contained introduction to
nonrelativistic potential models, to their formulation as well as to their
possible applications. At the price of some lack of (in a mathematical sense)
rigorous derivations, we try to give a feeling and understanding for the
simplest conceivable method to extract the explicit form of the forces acting
between quarks from the interplay between experimental observations and
theoretical considerations. According to this spirit, we demonstrate, in
detail, how to obtain the underlying Hamiltonian and how to determine the
Lorentz structure of the quark--(anti-)quark interaction potential from
well-established experimental facts.
","[{""version"":""v1"",""created"":""Sat, 13 Jan 1996 11:49:58 GMT""}]","2007-05-23"
"hep-th/9601063","Vasily Tarasov","Vasily E. Tarasov","Analog of Lie Algebra and Lie Group for Quantum Non-Hamiltonian Systems","7 pages, LaTeX; Proceedings of X Workshop on High Energy Physics and
  Quantum Field Theory (September 1995, Zvenigorod, Russia)",,,,"hep-th funct-an math.FA math.QA q-alg quant-ph",,"  Quantum mechanics of Hamiltonian (non-dissipative) systems uses Lie algebra
and analytic group (Lie group). In order to describe non-Hamiltonian
(dissipative) systems in quantum theory we need to use non-Lie algebra and
analytic quasigroup (loop).
  The author derives that analog of Lie algebra for quantum non-Hamiltonian
systems is commutant Lie algebra and analog of Lie group for these systems is
analytic commutant associative loop (Valya loop). A commutant Lie algebra is an
algebra such that commutant (a subspace which is generated by all commutators)
is a Lie subalgebra. Valya loop is a non-associative loop such that the
commutant of this loop is associative subloop (group). We prove that a tangent
algebra of Valya loop is a commutant Lie algebra. It is shown that generalized
Heisenberg-Weyl algebra, suggested by the author to describe quantum
non-Hamiltonian (dissipative) systems, is a commutant Lie algebra. As the other
example of commutant Lie algebra, it is considered a generalized Poisson
algebra for differential 1-forms.
  Note that non-Hamiltonian (dissipative) quantum theory has a broad range of
application for non-critical strings in ""coupling constant"" phase space and
bosonic string in non-Riemannian (for example, affine-metric) curved space
which are non-Hamiltonian (dissipative) systems.
","[{""version"":""v1"",""created"":""Fri, 12 Jan 1996 17:29:46 GMT""}]","2016-09-06"
"hep-th/9601064","T. Jacobson","Ted Jacobson","On the Origin of the Outgoing Black Hole Modes","12 pages, plain latex, 2 figures included using psfig; Analogy to
  ``Andreev reflection"" in superfluid systems noted, references and
  acknowledgment added, format changed to shorten text","Phys.Rev.D53:7082-7088,1996","10.1103/PhysRevD.53.7082","Utrecht THU-96/01","hep-th cond-mat gr-qc",,"  The question of how to account for the outgoing black hole modes without
drawing upon a transplanckian reservoir at the horizon is addressed. It is
argued that the outgoing modes must arise via conversion from ingoing modes. It
is further argued that the back-reaction must be included to avoid the
conclusion that particle creation cannot occur in a strictly stationary
background. The process of ``mode conversion"" is known in plasma physics by
this name and in condensed matter physics as ``Andreev reflection"" or ``branch
conversion"". It is illustrated here in a linear Lorentz non-invariant model
introduced by Unruh. The role of interactions and a physical short distance
cutoff is then examined in the sonic black hole formed with Helium-II.
","[{""version"":""v1"",""created"":""Fri, 12 Jan 1996 21:15:33 GMT""},{""version"":""v2"",""created"":""Thu, 25 Jan 1996 09:09:18 GMT""}]","2014-11-18"
"hep-th/9601065","Antonio Edson Goncalves S.","D.M. Gitman, A.E. Gon\c{c}alves, I.V. Tyutin","Pseudoclassical supersymmetrical model for 2+1 Dirac particle","9 pages, LaTex (RevTex)",,,"IFUSP/P-95-1144","hep-th",,"  A new pseudoclassical supersymmetrical model of a spinning particle in 2+1
dimensions is proposed. Different ways of its quantization are discussed. They
all reproduce the minimal quantum theory of the particle.
","[{""version"":""v1"",""created"":""Sat, 13 Jan 1996 01:04:51 GMT""}]","2007-05-23"
"hep-th/9601066","Kenichi Horie","Kenichi Horie (KEK Japan)","Geometric Interpretation of Electromagnetism in a Gravitational Theory
  with Torsion and Spinorial Matter","Ph.D. thesis, 98 pages, LaTeX file, ca 276kB",,,,"hep-th gr-qc",,"  Possible geometric frameworks for a unified theory of gravity and
electromagnetism are investigated: General relativity is enlarged by allowing
for an arbitrary complex linear connection and by constructing an extended
spinor derivative based on the complex connection. Thereby the spacetime
torsion not only is coupled to the spin of fermions and causes a four-fermion
contact interaction, but the non-metric vector-part of torsion is also related
to the electromagnetic potential. However, this long-standing relation is shown
to be valid only in a special U(1) gauge, and it is a formal consequence of the
underlying extended geometry.
","[{""version"":""v1"",""created"":""Sat, 13 Jan 1996 05:41:29 GMT""}]","2007-05-23"
"hep-th/9601068",,"H. Arfaei, S. Parvizi","WZNW Models from Non-Standard Bilinear Forms","LaTeX file, 26 pages","Mod.Phys.Lett. A11 (1996) 1289-1306","10.1142/S0217732396001302","IPM-95-119","hep-th",,"  We study the WZNW models based on nonstandard bilinear forms. We approach the
problem from algebraic, perturbative and functional exact methods. It is shown
that even in the case of integer $k$ we can find irrational CFT's. We prove
that when the base group is noncompact with nonabelian maximal compact
subgroup, the Kac-Moody representations are nonunitary.
","[{""version"":""v1"",""created"":""Sat, 13 Jan 1996 12:12:10 GMT""}]","2015-06-26"
"nucl-th/9601016","Npd Barc","B. K. Jain and Bijoy Kundu","Delta Decay in Nuclear Medium","Latex, 23 pages, 11 figures (not included, can be obtained on
  request); Submitted to Phy. Rev. C","Phys.Rev.C53:1917-1926,1996","10.1103/PhysRevC.53.1917","BARC/1995/P/005","nucl-th",,"  Proton-nucleus collisions, where the beam proton gets excited to the delta
resonance and then decays to p$\pi ^+$, either inside or outside the nuclear
medium, are studied. Cross-sections for various kinematics for the (p,p$' \pi
^+$) reaction between 500 MeV and 1 GeV beam energy are calculated to see the
effects of the nuclear medium on the propagation and decay of the resonance.
The cross-sections studied include proton energy spectra in coincidence with
the pion, four momentum transfer distributions, and the invariant p$\pi^+$ mass
distributions. We find that the effect of the nuclear medium on these
cross-sections mainly reduces their magnitudes. Comparing these cross-sections
with those considering the decay of the delta outside the nucleus only, we
further find that at 500 MeV the two sets of cross-sections have large
differences, while by 1 GeV the differences between them become much smaller.
","[{""version"":""v1"",""created"":""Fri, 12 Jan 1996 19:55:32 GMT""}]","2009-09-25"
"nucl-th/9601017","Joachim Retamosa","E. Caurier, F. Nowacki, A. Poves and J. Retamosa","Shell Model Study of the Double Beta Decays of $^{76}$Ge, $^{82}$Se and
  $^{136}$Xe",,,"10.1103/PhysRevLett.77.1954",,"nucl-th",,"  The lifetimes for the double beta decays of $^{76}$Ge, $^{82}$Se and
$^{136}$Xe are calculated using very large shell model spaces. The two neutrino
matrix elements obtained are in good agreement with the present experimental
data. For $<m_{\nu}><1$ eV we predict the following upper bounds to the
half-lives for the neutrinoless mode: $T^{(0\nu)}_{1/2}(Ge) > 1.85\,10^{25}
yr.$, $T^{(0\nu)}_{1/2}(Se) > 2.36\,10^{24} yr.$ and $T^{(0\nu)}_{1/2}(Xe) >
1.21\,10^{25} yr$. These results are the first from a new generation of Shell
Model calculations reaching O(10$^{8}$) dimensions.
","[{""version"":""v1"",""created"":""Fri, 12 Jan 1996 16:12:14 GMT""}]","2009-10-30"
"nucl-th/9601018",,"E.L. Bratkovskaya (Giessen Univ. & JINR, Dubna), W. Cassing and U.
  Mosel (Giessen Univ.)","Dilepton anisotropy from $p + Be$ and $Ca + Ca$ collisions at BEVALAC
  energies","10 pages, LaTeX, plus 4 postscript figures tarred, compressed and
  uuencoded in separate file","Phys.Lett. B376 (1996) 12-18","10.1016/0370-2693(96)00302-4","UGI-96-03, submitted to Phys. Lett. B","nucl-th",,"  A full calculation of lepton-pair angular characteristics is carried out for
$e^+e^-$ pairs created in $p + Be$ and $Ca + Ca$ collisions from 1.0 to 2.1
GeV/A. It is demonstrated that the dilepton decay anisotropy depends
sensitively on the different sources and may be used for their disentangling.
Due to the dominance of the $\eta$-and $\Delta$-Dalitz decays and only a small
anisotropy coefficient for $\pi^+\pi^-$ annihilation, the expected anisotropy
coefficients show a decrease with invariant mass of the dilepton pair and
change only moderately when comparing $p + Be$ and $Ca + Ca$ reactions at the
same bombarding energy.
","[{""version"":""v1"",""created"":""Fri, 12 Jan 1996 17:52:07 GMT""}]","2009-10-30"
