"adap-org/9601004","Sergi Maslov","Sergei Maslov and Yi-Cheng Zhang","Self-Organized Critical Directed Percolation","4 two-column pages (revtex), 3 ps figures included with epsf,
  g-zipped, uuencoded","Physica A 223 (1996) 1","10.1016/0378-4371(95)00346-0",,"adap-org cond-mat nlin.AO",,"  We introduce and study a dynamic transport model exhibiting Self-Organized
Criticality. The novel concepts of our model are the probabilistic propagation
of activity and unbiased random repartition of energy among the active site and
its nearest neighbors. For space dimensionality $d\geq 2$ we argue that the
model is related to $d+1$ dimensional directed percolation, with time
interpreted as the preferred direction.
","[{""version"":""v1"",""created"":""Fri, 19 Jan 1996 18:43:05 GMT""}]","2015-06-24"
"cond-mat/9601087","Yury Gurevich","G. Gonzalez de la Cruz, Yu. G. Gurevich (1), V. V. Prosentsov (2) ((1)
  http://www.fis.cinvestav.mx/~gurevich/, Centro de Investigacion y Estudios
  Avanzados del Instituto Politecnico Nacional, (2) Kharkov Politechnical
  University)","New Mechanism of Magnetoresistance in Bulk Semiconductors: Boundary
  Condition Effects","7 pages, Elsart macro package (LaTeX2e edition)","Solid State Communications 97, 1069 (1996)","10.1016/0038-1098(96)00032-4",,"cond-mat",,"  We consider the electronic transport in bounded semiconductors in the
presence of an external magnetic field. Taking into account appropriate
boundary conditions for the current density at the contacts, a change in the
magnetoresistance of bulk semiconductors is found as compared with the usual
theory of galvanomagnetic effects in boundless media. New mechanism in
magnetoresistance connected with the boundary conditions arises. In particular,
even when the relaxation time is independent of the electron energy,
magnetoresistance is not vanish.
","[{""version"":""v1"",""created"":""Sat, 20 Jan 1996 00:30:12 GMT""}]","2009-10-28"
"hep-ph/9601300",,"Fabio Zwirner (CERN-TH and INFN,Padua)","Extensions of the Standard Model","LATEX, 5 figures, 15 A4 pages",,,"CERN-TH/96-06","hep-ph",,"  Rapporteur talk at the International Europhysics Conference on High Energy
Physics, Brussels (Belgium), July 27-August 2, 1995. This talk begins with a
brief general introduction to the extensions of the Standard Model, reviewing
the ideology of effective field theories and its practical implications. The
central part deals with candidate extensions near the Fermi scale, focusing on
some phenomenological aspects of the Minimal Supersymmetric Standard Model. The
final part discusses some possible low-energy implications of further
extensions near the Planck scale, namely superstring theories.
","[{""version"":""v1"",""created"":""Fri, 19 Jan 1996 17:20:55 GMT""}]","2007-05-23"
"hep-ph/9601301",,"Stanley J. Brodsky (SLAC) and Hung Jung Lu (Univ. Arizona)","Optimal Renormalization Scales and Commensurate Scale Relations","LaTex 34 pages, 5 figures. To obtain a copy, send e-mail to
  techpub@slac.stanford.edu",,,"SLAC-PUB-96-7098","hep-ph",,"  Commensurate scale relations relate observables to observables and thus are
independent of theoretical conventions, such as the choice of intermediate
renormalization scheme. The physical quantities are related at commensurate
scales which satisfy a transitivity rule which ensures that predictions are
independent of the choice of an intermediate renormalization scheme. QCD can
thus be tested in a new and precise way by checking that the observables track
both in their relative normalization and in their commensurate scale
dependence. For example, the radiative corrections to the Bjorken sum rule at a
given momentum transfer $Q$ can be predicted from measurements of the e+e-
annihilation cross section at a corresponding commensurate energy scale $\sqrt
s \propto Q,$ thus generalizing Crewther's relation to non-conformal QCD. The
coefficients that appear in this perturbative expansion take the form of a
simple geometric series and thus have no renormalon divergent behavior. We also
discuss scale-fixed relations between the threshold corrections to the heavy
quark production cross section in e+e- annihilation and the heavy quark
coupling $\alpha_V$ which is measurable in lattice gauge theory.
","[{""version"":""v1"",""created"":""Fri, 19 Jan 1996 19:35:05 GMT""}]","2007-05-23"
"hep-ph/9601302","Jack Smith","M. Buza, Y. Matiounine, J. Smith, R. Migneron, W.L. van Neerven","Heavy quark coefficient functions at asymptotic values $Q^2 \gg m^2$","56 pages plain LATEX, 11 Postscript figures","Nucl.Phys.B472:611-658,1996","10.1016/0550-3213(96)00228-3","NIKHEF/95-070, ITP-SB-95-59, INLO-PUB-22/95","hep-ph",,"  In this paper we present the analytic form of the heavy-quark coefficient
functions for deep-inelastic lepton-hadron scattering in the kinematical regime
$Q^2 \gg m^2$ . Here $Q^2$ and $m^2$ stand for the masses squared of the
virtual photon and heavy quark respectively. The calculations have been
performed up to next-to-leading order in the strong coupling constant
$\alpha_s$ using operator product expansion techniques. Apart from a check on
earlier calculations, which however are only accessible via large computer
programs, the asymptotic forms of the coefficient functions are useful for
charm production at HERA when the condition $Q^2 \gg m_c^2$ is satisfied.
Furthermore the analytical expressions can also be used when one applies the
variable heavy flavour scheme up to next-to-leading order in $\alpha_s$.
","[{""version"":""v1"",""created"":""Fri, 19 Jan 1996 19:57:38 GMT""}]","2010-04-06"
"hep-ph/9601303","Stuart Raby","Vincent Lucas and Stuart Raby (The Ohio State University)","GUT Scale Threshold Corrections in a Complete Supersymmetric SO(10)
  Model: $\alpha_s(M_Z)$ vs. Proton Lifetime","29 pages, using revtex, 2 figures (not included)","Phys.Rev.D54:2261-2272,1996","10.1103/PhysRevD.54.2261","OHSTPY-HEP-T-95-028","hep-ph",,"  We show that one loop GUT scale threshold corrections to gauge couplings are
a significant constraint on the GUT symmetry breaking sector of the theory. The
one loop threshold corrections relate the prediction for $\alpha_s(M_Z)$ to the
proton lifetime. We have calculated these corrections in a new complete SO(10)
SUSY GUT. The results are consistent with the low energy measurement of
$\alpha_s(M_Z)$. We have also calculated the proton lifetime and branching
ratios in this model. We show that proton decay rates provide a powerful test
for theories of fermion masses.
","[{""version"":""v1"",""created"":""Fri, 19 Jan 1996 23:13:16 GMT""}]","2014-11-17"
"hep-ph/9601304","Taekoon Lee","Taekoon Lee","Longitudinal Z-boson pair production via gluon fusion in technicolor
  models","6 pages, two Postcript Figures, uses sprocl.sty file included",,,"FERMILAB-CONF-96/019-T","hep-ph",,"  We study the coupling of two longitudinal Z-bosons to two gluons via
technicolor interactions. Noticing a similarity of this process to $2 \gamma
\rightarrow 2 \pi^{0}$, we calculate the amplitude in chiral perturbation
theory in one-generation technicolor model. At the invariant mass of $
Z_{L}Z_{L}$ above the colored pseudo-Goldstone boson threshold, we find the
signal in proton collisions at $\sqrt{s} = 14\, TeV$ is stronger than the
standard model background by an order of magnitude, and is large enough to be
easily observable at LHC.
  The cross section for $W_{L}^{+}W_{L}^{-}$ pair production is also presented.
","[{""version"":""v1"",""created"":""Fri, 19 Jan 1996 23:59:10 GMT""}]","2009-09-25"
"hep-th/9601102","Kelly Jay Davis","K. Davis ( Rutgers University )","M-Theory and String-String Duality","28 Pages, Uses harvmac.tex",,,"RU-XX","hep-th",,"  In this article we examine the compatibility of some recent results, results
relating M-Theory to String Theory, with the string-string duality conjecture
in six-dimensions. In particular, we rederive the relation between M-Theory and
Type IIA strings. We then go on to examine in detail M-Theory on $K3 \times
S^{1}$ and its relation to the Heterotic theory on $T^{4}$. We conclude with
some remarks on M-Theory on $T^{4}\times (S^{1}/{\bf Z}_{2})$ and its relation
to the Type II theory on $K3$.
","[{""version"":""v1"",""created"":""Fri, 19 Jan 1996 16:57:53 GMT""}]","2007-05-23"
"hep-th/9601103","Carlos Laciana","Carlos E. Laciana","Thermal Conditions for Scalar Bosons in a Curved Space Time","14 pages (TeX manuscript)","Gen.Rel.Grav. 28 (1996) 1013-1026","10.1007/BF02113095",,"hep-th gr-qc",,"  The conditions that allow us to consider the vacuum expectation value of the
energy-momentum tensor as a statistical average, at some particular
temperature, are given. When the mean value of created particles is stationary,
a planckian distribution for the field modes is obtained. In the massless
approximation, the temperature dependence is as that corresponding to a
radiation dominated Friedmann-like model.
","[{""version"":""v1"",""created"":""Fri, 19 Jan 1996 17:31:00 GMT""},{""version"":""v2"",""created"":""Mon, 22 Jan 1996 12:04:00 GMT""}]","2009-10-30"
"hep-th/9601104","Stephen G. Naculich","M. Crescimanno, S. G. Naculich, and H. J. Schnitzer","Evaluation of the Free Energy of Two-Dimensional Yang-Mills Theory","10 pages; no figures; LaTeX","Phys.Rev. D54 (1996) 1809-1813","10.1103/PhysRevD.54.1809","BRX-TH-365, BOW-PH-106, BERC-PH-105","hep-th",,"  The free energy in the weak-coupling phase of two-dimensional Yang-Mills
theory on a sphere for SO(N) and Sp(N) is evaluated in the 1/N expansion using
the techniques of Gross and Matytsin. Many features of Yang-Mills theory are
universal among different gauge groups in the large N limit, but significant
differences arise in subleading order in 1/N.
","[{""version"":""v1"",""created"":""Fri, 19 Jan 1996 21:16:02 GMT""}]","2009-10-30"
"hep-th/9601105","Thomas Thiemann","Thomas Thiemann (Harvard University)","The inverse loop transform","15 pages, Latex","J.Math.Phys. 39 (1998) 1236-1248","10.1063/1.532344","CGPG-95/7-2, HUTMP-95/B-346","hep-th gr-qc",,"  The loop transform in quantum gauge field theory can be recognized as the
Fourier transform (or characteristic functional) of a measure on the space of
generalized connections modulo gauge transformations. Since this space is a
compact Hausdorff space, conversely, we know from the Riesz-Markov theorem that
every positive linear functional on the space of continuous functions thereon
qualifies as the loop transform of a regular Borel measure on the moduli space.
In the present article we show how one can compute the finite joint
distributions of a given characteristic functional, that is, we derive the
inverse loop transform.
","[{""version"":""v1"",""created"":""Fri, 19 Jan 1996 23:20:52 GMT""}]","2016-09-06"
"hep-th/9601106",,"Anatolij I.Bugrij, Vitalij N.Shadura (Bogolyubov Institute for
  Theoretical Physics, Kiev)","On Duality of Two-dimensional Ising Model on Finite Lattice","18 pages, LaTeX",,"10.1103/PhysRevB.55.11045","ITP-96-01E","hep-th cond-mat hep-lat",,"  It is shown that the partition function of the 2d Ising model on the dual
finite lattice with periodical boundary conditions is expressed through some
specific combination of the partition functions of the model on the torus with
corresponding boundary conditions. The generalization of the duality relations
for the nonhomogeneous case is given. These relations are proved for the
weakly-nonhomogeneous distribution of the coupling constants for the finite
lattice of arbitrary sizes. Using the duality relations for the nonhomogeneous
Ising model, we obtain the duality relations for the two-point correlation
function on the torus, the 2d Ising model with magnetic fields applied to the
boundaries and the 2d Ising model with free, fixed and mixed boundary
conditions.
","[{""version"":""v1"",""created"":""Sat, 20 Jan 1996 09:09:01 GMT""}]","2009-10-30"
"patt-sol/9601002","David Raitt","David Raitt (Florida State University), Hermann Riecke (Northwestern
  University)","Parametric Forcing of Waves with Non-Monotonic Dispersion Relation:
  Domain Structures in Ferrofluids?","23 pages, 6 postscript figures, composed using RevTeX. Submitted to
  PRE",,"10.1103/PhysRevE.55.5448",,"patt-sol nlin.PS",,"  Surface waves on ferrofluids exposed to a dc-magnetic field exhibit a
non-monotonic dispersion relation. The effect of a parametric driving on such
waves is studied within suitable coupled Ginzburg-Landau equations. Due to the
non-monotonicity the neutral curve for the excitation of standing waves can
have up to three minima. The stability of the waves with respect to long-wave
perturbations is determined $via$ a phase-diffusion equation. It shows that the
band of stable wave numbers can split up into two or three sub-bands. The
resulting competition between the wave numbers corresponding to the respective
sub-bands leads quite naturally to patterns consisting of multiple domains of
standing waves which differ in their wave number. The coarsening dynamics of
such domain structures is addressed.
","[{""version"":""v1"",""created"":""Fri, 19 Jan 1996 21:17:41 GMT""}]","2009-10-30"
