"alg-geom/9601027","Elaine Jackson","Jonathan Wahl","On Cohomology of the Square of an Ideal Sheaf","AMSTeX v 2.1, minor corrections added, 3/21/96",,,,"alg-geom math.AG",,"  For a smooth subvariety $X\subset\Bbb P^N$, consider (analogously to
projective normality) the vanishing condition $H^1(\Bbb P^N,\Cal I^2_X(k))=0$,
$k\ge3$. This condition is shown to be satisfied for all sufficiently large
embeddings of a given $X$, and for a Veronese embedding of $\Bbb P^n$. For
$C\subset\Bbb P^{g-1}$, the canonical embedding of a non-hyperelliptic curve,
this condition guarantees the vanishing of some obstruction groups to
deformations of the cone. Recall that the tangents to deformations are dual to
the cokernel of the Gaussian-Wahl map.
  \proclaim{Theorem} Suppose the Gaussian-Wahl map of $C$ is not surjective and
the vanishing condition is fulfilled. Then $C$ is {\bf extendable}: it is a
hyperplane section of a surface in $\Bbb P^g$ not the cone over
$C$.\endproclaim
  Such a surface is a K3 if smooth, but it could have serious singularities.
  \proclaim{Theorem} For a general curve of genus $\ge3$, this vanishing holds.
\endproclaim
  \proclaim{Conjecture} If the Clifford index is $\ge3$, this vanishing holds.
\endproclaim
","[{""version"":""v1"",""created"":""Mon, 29 Jan 1996 16:26:13 GMT""},{""version"":""v2"",""created"":""Thu, 21 Mar 1996 17:31:00 GMT""}]","2015-06-30"
"astro-ph/9601174","Eric Tessier","Eric Tessier (Royal Greenwich Observatory)","Analysis and Calibration of Natural Guide Star Adaptive Optics Data","16 pages latex file using psfig with 11 postscript figures in
  uuencoded compressed tar-file. The preprint is also available at
  http://www.ast.cam.ac.uk/preprint/PrePrint.html","in Adaptive Optical Systems and Applications, Robert K. Tyson,
  Robert Q. Fugate, Editors, Proc. SPIE 2534, p178-193 (1995)","10.1117/12.217736","CAP_9501010","astro-ph",,"  From natural guide star adaptive optics data taken with the Come-On Plus and
with the Starfire Optical Range Generation II instruments in the JHK bands and
in the I band respectively, we describe and analyse the point spread function.
The ultimate exploitation of adaptive optics images requires the deconvolution
and therefore the calibration of the point spread function which is commonly
made by observing a point source close to the astronomical target. In the
partial correction regime, the calibration mismatch which is the main source of
noise or bias in the deconvolution process is induced by the varying seeing
conditions. We therefore stress the procedure enable to increase the quality of
the calibration and discuss the typical performances in term of astrometry,
photometry and dynamic range to be possibly extracted from current adaptive
optics images as a function of the Strehl ratio achieved and the stability of
the point spread function. Alternative techniques to the point spread function
calibration and other problems like anisoplanaticism are briefly reviewed.
","[{""version"":""v1"",""created"":""Tue, 30 Jan 1996 13:56:00 GMT""}]","2015-06-24"
"cond-mat/9601142","Horng-Twu Lihn","H.-T. S. Lihn and H. D. Drew","Composite vortex model of the electrodynamics of high-$T_c$
  superconductor","LaTex file (12 pages) + 3 Postscript figures, uuencoded. More
  information on this paper, please check
  http://www.wam.umd.edu/~lihn/newmodel/",,"10.1103/PhysRevB.56.5559",,"cond-mat",,"  We propose a phenomenological model of vortex dynamics in which the vortex is
taken as a composite object made of two components: the vortex current which is
massless and driven by the Lorentz force, and the vortex core which is massive
and driven by the Magnus force. By combining the characteristics of the
Gittleman-Rosenblum model (Phys. Rev. Lett. {\bf 16}, 734 (1966)) and Hsu's
theory of vortex dynamics (Physica {\bf C 213},305 (1993)), the model provides
a good description of recent far infrared measurements of the
magneto-conductivity tensor of superconducting YBa$_2$Cu$_3$O$_{7-\delta }$
films from 5 cm$^{-1}$ to 200 cm$^{-1}$.
","[{""version"":""v1"",""created"":""Tue, 30 Jan 1996 00:24:50 GMT""}]","2009-10-28"
"cond-mat/9601143","Feodor Kusmartsev","F. V. Kusmartsev","Fluctuative Mechanism of Vortex Nucleation in the Flow of $^4He$","16 pages (Latex,Revtex), appears Physical Review Letters, v76, N13
  (1996)",,"10.1103/PhysRevLett.76.1880",,"cond-mat",,"  We propose a mechanism of a vortex nucleation in a flow of a superfluid
$^4He$. The mechanism is related to the creation by critical fluctuations of a
""plasma"" of half-vortex rings located near the wall. The ""plasma"" screens the
attraction of the vortex to the wall and permits vortex nucleation. In the
spirit of Williams-Shenoy theory we derive the scaling laws in the critical
region and estimate the scaling relation and the critical exponent $p$ for
critical velocity; we find $V_c\sim V_{0}(1-T/T_c)$, so that $p=1$. Various
applications of the obtained results are discussed.
","[{""version"":""v1"",""created"":""Tue, 30 Jan 1996 10:17:49 GMT""}]","2009-10-28"
"cond-mat/9601144","Daphne O. Klemme","A.H. MacDonald","Non Possum Comprimi Ergo Sum: Skyrmions and Edge States in the Quantum
  Hall Effect","37 pages, Revtex used, 6 figures. Lecture Notes from NATO ASI
  ""Quantum Transport in Semiconductor Submicron Structures"" Bad Lauterberg,
  Germany, August 1995",,,"IUCM96-002","cond-mat",,"  When the chemical potential of an electron system has a discontinuity at a
density $n^{*}$, the system is said to be incompressible and a finite energy is
required to create mobile charges in the bulk of the system. The quantum Hall
effect is associated with incompressibilities in a two-dimensional electron
system that occur at magnetic-field dependent densities, $n^{*}(B)$. In these
notes we discuss two aspects of the physics of quantum Hall systems that follow
directly from this association.
","[{""version"":""v1"",""created"":""Tue, 30 Jan 1996 14:22:11 GMT""}]","2007-05-23"
"dg-ga/9601012","Eugene Lerman","Eugene Lerman (University of Illinois at Urban-Champaign)","A compact symmetric symplectic non-Kaehler manifold","3 pages, LaTeX",,,,"dg-ga math.DG",,"  In this paper I construct, using off the shelf components, a compact
symplectic manifold with a non-trivial Hamiltonian circle action that admits no
Kaehler structure. The non-triviality of the action is guaranteed by the
existence of an isolated fixed point.
  The motivation for this work comes from the program of classification of
Hamiltonian group actions. The Audin-Ahara-Hattori-Karshon classification of
Hamiltonian circle actions on compact symplectic 4-manifolds showed that all of
such manifolds are Kaehler. Delzant's classification of $2n$-dimensional
symplectic manifolds with Hamiltonian action of $n$-dimensional tori showed
that all such manifolds are projective toric varieties, hence Kaehler. An
example in this paper show that not all compact symplectic manifolds that admit
Hamiltonian torus actions are Kaehler. Similar technique allows us to construct
a compact symplectic manifold with a Hamiltonian circle action that admits no
invariant complex structures, no invariant polarizations, etc.
","[{""version"":""v1"",""created"":""Mon, 29 Jan 1996 23:40:19 GMT""}]","2016-08-31"
"gr-qc/9601045","David Hochberg","David Hochberg (LAEFF) and Sergey V. Sushkov (Kazan State)","Black Hole in Thermal Equilibrium with a Spin-2 Quantum Field","21 pages in plain LaTex. Three figures available upon request from
  the first author","Phys.Rev. D53 (1996) 7094-7102","10.1103/PhysRevD.53.7094","LAEFF-96/01, January 1996","gr-qc",,"  An approximate form for the vacuum averaged stress-energy tensor of a
conformal spin-2 quantum field on a black hole background is employed as a
source term in the semiclassical Einstein equations. Analytic corrections to
the Schwarzschild metric are obtained to first order in $\epsilon =
{\hbar}/M^2$, where $M$ denotes the mass of the black hole. The approximate
tensor possesses the exact trace anomaly and the proper asymptotic behavior at
spatial infinity, is conserved with respect to the background metric and is
uniquely defined up to a free parameter $\hat c_2$, which relates to the
average quantum fluctuation of the field at the horizon. We are able to
determine and calculate an explicit upper bound on $\hat c_2$ by requiring that
the entropy due to the back-reaction be a positive increasing function in $r$.
A lower bound for $\hat c_2$ can be established by requiring that the metric
perturbations be uniformly small throughout the region $2M \leq r < r_o$, where
$r_o$ is the radius of perturbative validity of the modified metric. Additional
insight into the nature of the perturbed spacetime outside the black hole is
provided by studying the effective potential for test particles in the vicinity
of the horizon.
","[{""version"":""v1"",""created"":""Mon, 29 Jan 1996 17:18:36 GMT""}]","2009-10-28"
"gr-qc/9601046","James Hartle","James B. Hartle (University of California, Santa Barbara)","Scientific Knowledge from the Perspective of Quantum Cosmology","27pages, uses REVTEX 3.0, 5 encapsulated postscipt figures","in Boundaries and Barriers: On the Limits to Scientific Knowledge,
  ed. by John L. Casti and Anders Karlqvist, Addison-Wesley, Reading, MA (1996)",,"UCSBTH-95-9, NSF-ITP-96-06","gr-qc hep-th quant-ph",,"  Existing physical theories do not predict every feature of our experience but
only certain regularities of that experience. That difference between what
could be observed and what can be predicted is one kind of limit on scientific
knowledge. Such limits are inevitable if the world is complex and the laws
governing the regularities of that world are simple. Another kind of limit on
scientific knowledge arises because even simple theories may require
intractable or impossible computations to yield specific predictions. A third
kind of limit concerns our ability to know theories through the process of
induction and test. Quantum cosmology -- that part of science concerned with
the quantum origin of the universe and its subsequent evolution -- displays all
three kinds of limits. This paper briefly describes quantum cosmology and
discusses these limits. The place of the other sciences in this most
comprehensive of physical frameworks is described.
","[{""version"":""v1"",""created"":""Mon, 29 Jan 1996 23:01:01 GMT""}]","2007-05-23"
"hep-ex/9601008",,"F. Abe, et al. (CDF Collaboration)","Inclusive jet cross section in ${\bar p p}$ collisions at $\sqrt{s}=1.8$
  TeV","8 pages with 2 eps uu-encoded figures Submitted to Physical Review
  Letters","Phys.Rev.Lett.77:438-443,1996","10.1103/PhysRevLett.77.438","FERMILAB-PUB-96/020-E","hep-ex",,"  The inclusive jet differential cross section has been measured for jet
transverse energies, $E_T$, from 15 to 440 GeV, in the pseudorapidity region
0.1$\leq | \eta| \leq $0.7. The results are based on 19.5 pb$^{-1}$ of data
collected by the CDF collaboration at the Fermilab Tevatron collider. The data
are compared with QCD predictions for various sets of parton distribution
functions. The cross section for jets with $E_T>200$ GeV is significantly
higher than current predictions based on O($\alpha_s^3$) perturbative QCD
calculations. Various possible explanations for the high-$E_T$ excess are
discussed.
","[{""version"":""v1"",""created"":""Mon, 29 Jan 1996 23:50:34 GMT""}]","2010-05-12"
"hep-ex/9601009","Aharon Levy","ZEUS Collaboration","Measurement of Elastic $\phi$ Photoproduction at HERA","23 pages, including 6 post script figures","Phys.Lett.B377:259-272,1996","10.1016/0370-2693(96)00172-4","DESY 96-002","hep-ex",,"  The production of $\phi$ mesons in the reaction $e^{+}p \rightarrow e^{+}
\phi p$ ($\phi \rightarrow K^{+}K^{-}$) at a median $Q^{2}$ of $10^{-4} \
\rm{GeV^2}$ has been studied with the ZEUS detector at HERA. The differential
$\phi$ photoproduction cross section $d\sigma/dt$ has an exponential shape and
has been determined in the kinematic range $0.1<|t|<0.5 \ \rm{GeV^2}$ and $60 <
W < 80 \ \rm{GeV}$. An integrated cross section of $\sigma_{\gamma p
\rightarrow \phi p} = 0.96 \pm 0.19^{+0.21}_{-0.18}$ $\rm{\mu b}$ has been
obtained by extrapolating to {\it t} = 0. When compared to lower energy data,
the results show a weak energy dependence of both $\sigma_{\gamma p \rightarrow
\phi p}$ and the slope of the $t$ distribution. The $\phi$ decay angular
distributions are consistent with $s$-channel helicity conservation. From lower
energies to HERA energies, the features of $\phi$ photoproduction are
compatible with those of a soft diffractive process.
","[{""version"":""v1"",""created"":""Tue, 30 Jan 1996 15:33:57 GMT""}]","2012-08-27"
"hep-lat/9601021","Maxim Tsypin","M. M. Tsypin","Effective Potential for Scalar Field in Three Dimensions: Ising Model in
  the Ferromagnetic Phase","13 pages, 5 Postscript figures, uses epsf.sty",,"10.1103/PhysRevB.55.8911","FIAN/TD-23/95","hep-lat cond-mat hep-ph hep-th",,"  We compute the effective potential $V_{\rm eff}(\phi)$ for one-component real
scalar field $\phi$ in three Euclidean dimensions (3D) in the case of
spontaneously broken symmetry, from the Monte Carlo simulation of the 3D Ising
model in external field at temperatures approaching the phase transition from
below. We study probability distributions of the order parameter on the
lattices from $30^3$ to $74^3$, at $L/\xi \approx 10$. We find that, in close
analogy with the symmetric case, $\phi^6$ plays an important role: $V_{\rm
eff}(\phi)$ is very well approximated by the sum of $\phi^2$, $\phi^4$ and
$\phi^6$ terms. An unexpected feature is the negative sign of the $\phi^4$
term. As close to the continuum limit as we can get ($\xi \approx 7.2$), we
obtain
  $$ {\cal L}_{\rm eff} \approx
  {1 \over 2} \partial_\mu \phi \partial_\mu \phi +
  1.7 (\phi^2 - \eta^2)^2 (\phi^2 + \eta^2). $$
  We also compute several universal coupling constants and ratios, including
the combination of critical amplitudes $C^- (f_1^-)^{-3} B^{-2}$.
","[{""version"":""v1"",""created"":""Mon, 29 Jan 1996 21:30:50 GMT""}]","2009-10-28"
"hep-lat/9601022","Nicoletta Stella","UKQCD Collaboration","Heavy Baryon Specroscopy from the Lattice","31 pages LaTex, with postscript figures included","Phys.Rev.D54:3619-3633,1996","10.1103/PhysRevD.54.3619","Southampton Preprint SHEP-95/31","hep-lat hep-ph",,"  The results of an exploratory lattice study of heavy baryon spectroscopy are
presented. We have computed the full spectrum of the eight baryons containing a
single heavy quark, on a $24^3\times 48$ lattice at $\beta=6.2$, using an
$O(a)$-improved fermion action. We discuss the lattice baryon operators and
give a method for isolating the contributions of the spin doublets
$(\Sigma,\Sigma^*)$, $(\Xi',\Xi^*)$ and $(\Omega,\Omega^*)$ to the correlation
function of the relevant operator. We compare our results with the available
experimental data and find good agreement in both the charm and the beauty
sectors, despite the long extrapolation in the heavy quark mass needed in the
latter case. We also predict the masses of several undiscovered baryons. We
compute the $\Lambda-\mbox{pseudoscalar meson}$ and $\Sigma-\Lambda$ mass
splittings. Our results, which have errors in the range $ 10-30\%$, are in good
agreement with the experimental numbers. For the $\Sigma^*-\Sigma$ mass
splitting, we find results considerably smaller than the experimental values
for both the charm and the beauty baryons, although in the latter case the
experimental results are still preliminary. This is also the case for the
lattice results for the hyperfine splitting for the heavy mesons.
","[{""version"":""v1"",""created"":""Mon, 29 Jan 1996 18:25:34 GMT""}]","2012-08-27"
"hep-lat/9601023","Craig Pryor","Craig Pryor (Sierra Center for Physics)","Mean Field Phase Diagram of SU(2)xSU(2) Lattice Higgs-Yukawa Model at
  Finite Lambda","9 pages, 3 postscript figures, RevTex. To appear in PRD","Phys.Rev. D53 (1996) 1528-1531","10.1103/PhysRevD.53.1528",,"hep-lat",,"  The phase diagram of an SU(2)_L x SU(2)_R lattice Higgs-Yukawa model with
finite lambda is constructed using mean field theory. The phase diagram bears a
superficial resemblance to that for infinite lambda, however as lambda is
decreased the paramagnetic region shrinks in size. For small lambda the phase
transitions remain second order, and no new first order transitions are seen.
","[{""version"":""v1"",""created"":""Mon, 29 Jan 1996 20:53:51 GMT""}]","2009-10-28"
