"acc-phys/9605001","Georg Hoffstaetter","K. Heinemann and G. H. Hoffstatter (DESY/Hamburg/German)","A tracking algorithm for the stable spin polarization field in storage
  rings using stroboscopic averaging","39 pages","Phys.Rev.E54:4240-4255,1996","10.1103/PhysRevE.54.4240","DESY-96-078","acc-phys physics.acc-ph",,"  Polarized protons have never been accelerated to more than about $25$GeV. To
achieve polarized proton beams in RHIC (250GeV), HERA (820GeV), and the
TEVATRON (900GeV), ideas and techniques new to accelerator physics are needed.
In this publication we will stress an important aspect of very high energy
polarized proton beams, namely the fact that the equilibrium polarization
direction can vary substantially across the beam in the interaction region of a
high energy experiment when no countermeasure is taken. Such a divergence of
the polarization direction would not only diminish the average polarization
available to the particle physics experiment, but it would also make the
polarization involved in each collision analyzed in a detector strongly
dependent on the phase space position of the interacting particle. In order to
analyze and compensate this effect, methods for computing the equilibrium
polarization direction are needed. In this paper we introduce the method of
stroboscopic averaging, which computes this direction in a very efficient way.
Since only tracking data is needed, our method can be implemented easily in
existing spin tracking programs. Several examples demonstrate the importance of
the spin divergence and the applicability of stroboscopic averaging.
","[{""version"":""v1"",""created"":""Fri, 17 May 1996 09:45:26 GMT""}]","2008-12-18"
"cond-mat/9605100","Harek Haugerud","H. Haugerud, T. Haugset and F. Ravndal (University of Oslo, Norway)","A more accurate analysis of Bose-Einstein condensation in harmonic traps","10 pages, Latex, 5 Postscript figures",,"10.1016/S0375-9601(96)08842-1",,"cond-mat",,"  Using the Euler-Maclaurin summation we calculate analytically the internal
energy for non-interacting bosons confined within a harmonic oscillator
potential. The specific heat shows a sharp $\lambda$-like peak indicating a
condensation into the ground state at a well-defined transition temperature.
Full agreement is obtained with direct numerical calculation of the same
quantities. When the number of trapped particles is very large and at
temperatures near and above the transition temperature, the results also agree
with previous approximate calculations. At extremely low temperatures both the
specific heat and the number of particles excited from the condensate are
exponentially suppressed.
","[{""version"":""v1"",""created"":""Thu, 16 May 1996 16:37:32 GMT""}]","2009-10-28"
"cond-mat/9605103","Jon Machta","J. Machta, Y. S. Choi, A. Lucke, T. Schweizer (U. of Mass.) and L. M.
  Chayes (UCLA)","Invaded cluster algorithm for Potts models","39 pages, revtex, 15 figures available on request from
  machta@phast.umass.edu, to appear in Phys. Rev. E","Phys.Rev. E54 (1996) 1332","10.1103/PhysRevE.54.1332",,"cond-mat hep-lat",,"  The invaded cluster algorithm, a new method for simulating phase transitions,
is described in detail. Theoretical, albeit nonrigorous, justification of the
method is presented and the algorithm is applied to Potts models in two and
three dimensions. The algorithm is shown to be useful for both first-order and
continuous transitions and evidently provides an efficient way to distinguish
between these possibilities. The dynamic properties of the invaded cluster
algorithm are studied. Numerical evidence suggests that the algorithm has no
critical slowing for Ising models.
","[{""version"":""v1"",""created"":""Thu, 16 May 1996 19:39:42 GMT""}]","2009-10-28"
"cond-mat/9605104","Tom Kennedy","Tom Kennedy (University of Arizona)","Majority Rule at Low Temperatures on the Square and Triangular Lattices","20 pages, TeX file and 8 postscript figures. Figures are included
  using the epsf macros",,"10.1007/BF02183615",,"cond-mat",,"  We consider the majority rule renormalization group transformation applied to
nearest neighbor Ising models. For the square lattice with 2 by 2 blocks we
prove that if the temperature is sufficiently low, then the transformation is
not defined. We use the methods of van Enter, Fernandez and Sokal, who proved
the renormalized measure is not Gibbsian for 7 by 7 blocks if the temperature
is too low. For the triangular lattice we prove that a zero temperature
majority rule transformation may be defined. The resulting renormalized
Hamiltonian is local with 14 different types of interactions.
","[{""version"":""v1"",""created"":""Thu, 16 May 1996 21:00:37 GMT""}]","2009-10-28"
"cond-mat/9605105",,"Chigak Itoi and Masa-Hide Kato (Department of Physics, Nihon
  University, Tokyo, Japan)","An extended massless phase and the Haldane phase in a spin-1 isotropic
  antiferromagnetic chain","19 pages, RevTex",,"10.1103/PhysRevB.55.8295","NUP-A-96-4","cond-mat.stat-mech",,"  We study the phase transition of isotropic spin-1 models in the vicinity of
the Uimin-Lai-Sutherland model by using the SU(3)_1 WZW model with certain
marginal perturbations. The unstable RG trajectory by a marginally relevant
perturbation generates a mass gap for the Haldane phase, and thus the
universality class of the transition from the massless phase to the Haldane
phase at ULS point becomes the BKT type. Our results support recent numerical
studies by F\'ath and S\'olyom. In the massless phase, we calculate logarithmic
finite-size corrections of the energy for the SU(\nu)-symmetric and asymmetric
models.
","[{""version"":""v1"",""created"":""Fri, 17 May 1996 06:37:00 GMT""},{""version"":""v2"",""created"":""Sun, 8 Dec 1996 21:42:02 GMT""}]","2016-08-31"
"cond-mat/9605106","Didier Poilblanc","D. Poilblanc, H. Endres, F. Mila, M. G. Zacher, S. Capponi and W.
  Hanke","One particle interchain hopping in coupled Hubbard chains","4 pages, LaTeX 3.0, 7 PostScript figures in uuencoded form",,"10.1103/PhysRevB.54.10261",,"cond-mat",,"  Interchain hopping in systems of coupled chains of correlated electrons is
investigated by exact diagonalizations and Quantum-Monte-Carlo methods. For two
weakly coupled Hubbard chains at commensurate densities (e.g. n=1/3) the
splitting at the Fermi level between bonding and antibonding bands is strongly
reduced (but not suppressed) by repulsive interactions extending to a few
lattice spacings. The magnitude of this reduction is directly connected to the
exponent $\alpha$ of the 1D Luttinger liquid. However, we show that the
incoherent part of the single particle spectral function is much less affected
by the interchain coupling. This suggests that incoherent interchain hopping
could occur for intermediate $\alpha$ values.
","[{""version"":""v1"",""created"":""Fri, 17 May 1996 08:17:31 GMT""}]","2016-08-31"
"cond-mat/9605107","Rosario Fazio","C. Winkelholz, Rosario Fazio, F.W.J. Hekking, and Gerd Sch\""on","Anomalous density of states of a Luttinger liquid in contact with a
  superconductor","8 pages Revtex, two postscript figures",,"10.1103/PhysRevLett.77.3200",,"cond-mat",,"  We study the frequency and space dependence of the local tunneling density of
states of a Luttinger liquid (LL) which is connected to a superconductor. This
coupling {\em strongly} modifies the single-particle properties of the LL. It
significantly enhances the density of states near the Fermi level, whereas this
quantity vanishes as a power law for an isolated LL. The enhancement is due to
the interplay between electron-electron interactions and multiple
back-scattering processes of low-energy electrons at the interface between the
LL and the superconductor. This anomalous behavior extends over large distances
from the interface and may be detected by coupling normal probes to the system.
","[{""version"":""v1"",""created"":""Fri, 17 May 1996 09:04:23 GMT""}]","2009-10-28"
"cond-mat/9605108","Tilman Sauer","Wolfhard Janke (Johannes-Gutenberg-Universitaet Mainz) and Tilman
  Sauer (Freie Universitaet Berlin)","Multigrid Method versus Staging Algorithm for PIMC Simulations","11 pp. LaTeX, 4 Postscript Figures","Chem.Phys.Lett. 263 (1996) 488","10.1016/S0009-2614(96)01231-6","KOMA-96-15; FUB-HEP 07/96","cond-mat hep-lat",,"  We present a comparison of the performance of two non-local update algorithms
for path integral Monte Carlo (PIMC) simulations, the multigrid Monte Carlo
method and the staging algorithm. Looking at autocorrelation times for the
internal energy we show that both refined algorithms beat the slowing down
which is encountered for standard local update schemes in the continuum limit.
We investigate the conditions under which the staging algorithm performs
optimally and give a brief discussion of the mutual merits of the two
algorithms.
","[{""version"":""v1"",""created"":""Fri, 17 May 1996 13:09:24 GMT""}]","2015-06-25"
"gr-qc/9605030","Daniel Sudarsky","G.E. Matsas, D. Sudarsky, and A. Higuchi","Bremsstrahlung by static charges outside a static black hole ?","Latex file",,,,"gr-qc",,"  We show that in complete analogy with the usual bremsstrahlung process, when
studied from the coaccelerated observer's point of view, a charge moving along
the integral curves of the static Killing field in the exterior of a static
black hole gives rise to the emission of zero-energy photons, induced by the
thermal bath of Hawking Radiation.
","[{""version"":""v1"",""created"":""Thu, 16 May 1996 20:31:50 GMT""}]","2007-05-23"
"gr-qc/9605031","Carmen Chicone","Carmen Chicone, Bahram Mashhoon, David Retzloff","On the Ionization of a Keplerian Binary System by Periodic Gravitational
  Radiation","19 pages, REVTEX Style, To appear in JMP","J.Math.Phys. 37 (1996) 3997-4016; Erratum-ibid. 38 (1997) 544","10.1063/1.531795",,"gr-qc",,"  The gravitational ionization of a Keplerian binary system via normally
incident periodic gravitational radiation of definite helicity is discussed.
The periodic orbits of the planar tidal equation are investigated on the basis
of degenerate continuation theory. The relevance of the Kolmogorov-Arnold-Moser
theory to the question of gravitational ionization is elucidated, and it is
conjectured that the process of ionization is closely related to the Arnold
diffusion of the perturbed system.
","[{""version"":""v1"",""created"":""Thu, 16 May 1996 21:21:08 GMT""}]","2009-10-28"
"gr-qc/9605032","Haret Rosu","H.C. Rosu","On the Estimates to Measure Hawking Effect and Unruh Effect in the
  Laboratory","5 pages in latex, no figures, some references updated","Int.J.Mod.Phys. D3 (1994) 545-548","10.1142/S0218271894000691",,"gr-qc physics.acc-ph",,"  A comparison between the proposals made to measure Hawking-like effects and
the Unruh effect in the laboratory is given at the level of their estimates. No
satisfactory scheme exists as yet for their detection.
","[{""version"":""v1"",""created"":""Thu, 16 May 1996 23:20:00 GMT""}]","2009-10-28"
"gr-qc/9605033","Andrzey Krolak","Pankaj S. Joshi, Andrzej Krolak","Naked strong curvature singularities in Szekeres space-times","latex, 9 pages","Class.Quant.Grav. 13 (1996) 3069-3074","10.1088/0264-9381/13/11/020",,"gr-qc",,"  We investigate the occurrence and nature of naked singularities in the
Szekeres space-times. These space-times represent irrotational dust. They do
not have any Killing vectors and they are generalisations of the
Tolman-Bondi-Lemaitre space-times. It is shown that in these space-times there
exist naked singularities that satisfy both the limiting focusing condition and
the strong limiting focusing condition. The implications of this result for the
cosmic censorship hypothesis are discussed.
","[{""version"":""v1"",""created"":""Fri, 17 May 1996 08:50:08 GMT""}]","2009-10-28"
"gr-qc/9605034","Paulo Rodrigues Lima Vargas Moniz","P.V. Moniz","`` Rerum Universitas Sententia ex Susy'' (A View of the Universe
  according to Supersymmetry)","6 pages, plain LaTeX, updated-revised version of a Report written for
  the 1996 Awards for Essays on Gravitation",,,"DAMTP R96/13","gr-qc",,"  The question if conserved currents can be sensibly defined in supersymmetric
minisuperspaces is investigated in this essay. The objective is to employ
exclusively the differential equations obtained {\em directly} from the Lorentz
and supersymmetry quantum constraints. The ``square-root'' structure of N=1
supergravity is the motivation to contemplate this tempting idea. However, it
is shown that such prospect is not feasible but for some very simple scenarios.
Otherwise, conserved currents (and consistent probability densities) can be
derived from subsequent Wheeler-DeWitt like equations obtained from the
supersymmetric algebra of constraints.
","[{""version"":""v1"",""created"":""Fri, 17 May 1996 08:54:33 GMT""}]","2007-05-23"
"gr-qc/9605035","Robert Paternoga","Robert Paternoga and Robert Graham (Univerit\""at Essen, Germany)","Exact quantum states for the diagonal Bianchi type IX model with
  negative cosmological constant","10 pages, Revtex, 8 figures included, submitted to Phys. Rev. D","Phys.Rev. D54 (1996) 4805-4812","10.1103/PhysRevD.54.4805",,"gr-qc",,"  Quantum states of the diagonal Bianchi type IX model with negative
cosmological constant $\Lambda$ are obtained by transforming the Chern-Simons
solution in Ashtekar's variables to the metric representation. We apply our
method developed earlier for $\Lambda>0$ and obtain five linearly independent
solutions by using the complete set of topologically inequivalent integration
contours in the required generalized Fourier-transformation. A caustic in
minisuperspace separates two Euclidean regimes at small and large values of the
scale parameter from a single classically interpretable Lorentzian regime in
between, corresponding to the fact that classically these model-Universes
recollapse. Just one particular solution out of the five we find gives a
normalizable probability distribution on both branches of the caustic. However,
in contrast to the case of positive cosmological constant, this particular
solution neither satisfies the semi-classical no-boundary condition, nor does
the special initial condition it picks out for $\hbar \to 0$ evolve into a
classically interpretable Universe.
","[{""version"":""v1"",""created"":""Fri, 17 May 1996 10:03:21 GMT""}]","2016-08-15"
"gr-qc/9605036","Robin W. Tucker","T Dereli, J Schray, Robin W Tucker","Finite Action Yang-Mills Solutions on the Group Manifold","10 pages LaTeX (REVTeX3.0, No Figures), To appear in J. Physics A:
  Mathematical and General","J.Phys.A29:5001-5005,1996","10.1088/0305-4470/29/16/021",,"gr-qc",,"  We demonstrate that the left (and right) invariant Maurer-Cartan forms for
any semi-simple Lie group enable one to construct solutions of the Yang-Mills
equations on the group manifold equipped with the natural Cartan-Killing
metric. For the unitary unimodular groups the Yang-Mills action integral is
finite for such solutions. This is explicitly exhibited for the case of
$SU(3)$.
","[{""version"":""v1"",""created"":""Fri, 17 May 1996 13:06:08 GMT""}]","2008-11-26"
"gr-qc/9605037","Robin W. Tucker","J Schray, T Dray, C A Manogue, R W Tucker, C Wang","The Construction of Spinor Fields on Manifolds with Smooth Degenerate
  Metrics","24 pages, LaTeX (RevTeX 3.0, no figures), To appear in J. Math. Phys","J.Math.Phys. 37 (1996) 3882-3896","10.1063/1.531607",,"gr-qc",,"  We examine some of the subtleties inherent in formulating a theory of spinors
on a manifold with a smooth degenerate metric. We concentrate on the case where
the metric is singular on a hypersurface that partitions the manifold into
Lorentzian and Euclidean domains. We introduce the notion of a complex spinor
fibration to make precise the meaning of continuity of a spinor field and give
an expression for the components of a local spinor connection that is valid in
the absence of a frame of local orthonormal vectors. These considerations
enable one to construct a Dirac equation for the discussion of the behavior of
spinors in the vicinity of the metric degeneracy. We conclude that the theory
contains more freedom than the spacetime Dirac theory and we discuss some of
the implications of this for the continuity of conserved currents.
","[{""version"":""v1"",""created"":""Fri, 17 May 1996 13:17:30 GMT""}]","2009-10-28"
