"acc-phys/9605002","George Parzen","G. Parzen (Brookhaven National Laboratory)","Orbit Dynamics for Unstable Linear Motion","17 pages",,,"BNL-63074","acc-phys physics.acc-ph",,"  A treatment is given of the orbit dynamics for linear unstable motion that
allows for the zeros in the beta function and makes no assumptions about the
realness of the betatron and phase functions. The phase shift per turn is shown
to be related to the beta function and the number of zeros the beta function
goes through per turn. The solutions of the equations of motion are found in
terms of the beta function.
","[{""version"":""v1"",""created"":""Thu, 30 May 1996 13:52:35 GMT""}]","2008-02-03"
"cond-mat/9605183","Joel Lebowitz","Joel L. Lebowitz","Microscopic Reversibility and Macroscopic Behavior: Physical
  Explanations and Mathematical Derivations","25 pages, 4 figures available upon request, in 25 Years of
  Non-Equilibrium Statistical Mechanics, Proceedings, Sitges Conference,
  Barcelona, Spain, 1994, in Lecture Notes in Physics, J.J. Brey, J. Marro,
  J.M. Rubi and M. San Miguel (eds.), Springer, 1995",,,,"cond-mat chem-ph",,"  The observed general time-asymmetric behavior of macroscopic systems --
embodied in the second law of thermodynamics -- arises naturally from
time-symmetric microscopic laws due to the great disparity between macro and
micro-scales. More specific features of macroscopic evolution depend on the
nature of the microscopic dynamics. In particular, short range interactions
with good mixing properties lead, for simple systems, to the quantitative
description of such evolutions by means of autonomous hydrodynamic equations,
e.g., the diffusion equation.
  These deterministic time-asymmetric equations accurately describe the
observed behavior of {\it individual} macro systems. Derivations using
ensembles (or probability distributions) must therefore, to be relevant, hold
for almost all members of the ensemble, i.e., occur with probability close to
one. Equating observed irreversible macroscopic behavior with the time
evolution of ensembles describing systems having only a few degrees of freedom,
where no such typicality holds, is misguided and misleading.
","[{""version"":""v1"",""created"":""Wed, 29 May 1996 18:12:35 GMT""}]","2007-05-23"
"cond-mat/9605184","Jonathan Katz","J. I. Katz and David R. Nelson","Electrostriction of Polar Glasses","16pp, revtex, 2 figures (corrected ps)",,,"WU-JIK-96-2","cond-mat mtrl-th",,"  We develop a finite temperature theory for the susceptibility and
electrostriction of isotropic substances in which permanent electric dipoles
are restrained from free rotation by elastic forces. All parameters are
constrained by the measured susceptibility and elastic constants. When applied
to polyurethane, the predicted electrostriction is approximately consistent
wiht some of the wide range of data. The saturation of the electrostriction at
high field may be explained qualitatively if the dipoles consist of several
amide groups locked together by crystallization of the hard segments of the
polymer.
","[{""version"":""v1"",""created"":""Wed, 29 May 1996 19:29:33 GMT""},{""version"":""v2"",""created"":""Thu, 30 May 1996 18:38:23 GMT""}]","2008-02-03"
"cond-mat/9605185","Igor Herbut","Igor F. Herbut and Zlatko Tesanovic","Critical fluctuations in superconductors and the magnetic field
  penetration depth","12 pages, LaTex, two figures available upon request","Phys.Rev.Lett.76:4588,1996","10.1103/PhysRevLett.76.4588",,"cond-mat hep-th",,"  The superconducting transition is studied within the one-loop renormalization
group in fixed dimension $D=3$ and at the critical point. A tricritical
behavior is found, and for $\kappa > \kappa_c$, an attractive charged fixed
point, distinct from that of a neutral superfluid. The critical exponents of
the continuous transition are evaluated, and it is shown that the anomalous
dimension of the gauge field equals unity. This implies the proportionality of
the magnetic field penetration depth and the superconducting correlation length
below the transition. The penetration depth exponent is nonclassical. We argue
that it can not be extracted from the dual theory in a straightforward manner
since it is not renormalized by fluctuations of the dual field.
","[{""version"":""v1"",""created"":""Thu, 30 May 1996 01:26:43 GMT""}]","2009-09-25"
"cond-mat/9605186","Lyderic Bocquet","Lyd\'eric Bocquet (ENS Lyon, France)","High friction limit of the Kramers equation : the multiple time-scale
  approach","14 pages, accepted in American Journal of Physics",,"10.1119/1.18507",,"cond-mat",,"  The purpose of the paper is to give a pedagogical introduction to the
multiple time-scale technique, on the example of the high friction limit of the
Kramers equation. We begin with a discussion of the standard perturbation
technique as presented in van Kampen's reference book \refto{VK}, which will be
shown to fail in the long-time limit. Application of the multiple time-scale
technique avoids these difficulties and leads to a uniform expansion in powers
of the inverse of the friction. Analogy with the Chapman-Enskog expansion is
discussed.
","[{""version"":""v1"",""created"":""Thu, 30 May 1996 07:51:26 GMT""}]","2009-10-28"
"cond-mat/9605187","Lyderic Bocquet","Lyd\'eric Bocquet (1), Jean-Pierre Hansen (1) and Jaroslaw Piasecki
  (2) ((1)ENS Lyon France and (2) Institute of Theoretical Physics Warsaw
  Poland)","Binary friction tensor for Brownian particles : overcoming spurious
  finite-size effects","10 pages, 2 figures on request to lbocquet@physique.ens-lyon.fr,
  submitted to Physical Review Letters",,,,"cond-mat",,"  Starting from a careful analysis of the coupled Langevin equations for two
interacting Brownian particles, we derive a method for extracting the binary
friction tensor from the correlation function matrix of the instantaneous
forces exerted by the bath particles on the fixed Brownian particles, and from
the relaxation of the total momentum of the bath in a {\it finite} system. The
general methodology, which circumvents the pitfalls associated with the
inversion of the thermodynamic and long time limits, is applied to the case of
two Brownian hard spheres in a bath of light spheres.
","[{""version"":""v1"",""created"":""Thu, 30 May 1996 08:54:40 GMT""}]","2007-05-23"
"cond-mat/9605188","Georges Bouzerar","Georges Bouzerar and Didier Poilblanc","Persistent currents in interacting electronic systems","Invited paper to be published in Proceedings of Les Recontres de
  Moriond ""Fermions Corr\'el\'es et Transport dans les syst\`emes
  M\'esoscopiques"" 13 postscript files of the figures are included",,,,"cond-mat",,"  Persistent currents in disordered mesoscopic rings threaded by a magnetic
flux are calculated using exact diagonalization methods in the one-dimensional
(1D) case and self-consistent Hartree-Fock treatments for two dimensional (2D)
systems. For multichannel systems, a comparative study between models of
spinless or spinfull (Hubbard) fermions has been done. First, it is shown that
a purely one-dimensional model can not reproduce the correct order of magnitude
of the observed currents. For 2D systems, going beyond first order pertubative
calculations, we show that the second harmonic of the current is {\it strongly
suppressed} in the case of spinless fermion models but {\it significantly
enhanced} for the Hubbard model. This reduction (resp. increase) of the second
harmonic is related to a strong increase (resp. reduction) of the spacial
charge density fluctuations. Our work underlines the important role of the spin
degrees of freedom in the persistent currents.
","[{""version"":""v1"",""created"":""Thu, 30 May 1996 14:15:09 GMT""},{""version"":""v2"",""created"":""Fri, 31 May 1996 13:44:59 GMT""}]","2008-02-03"
"cond-mat/9605189","Yuri Vilk","Y. M. Vilk (Argonne National Lab)","Shadow features and shadow bands in the paramagnetic state of cuprate
  superconductors","6 pages, REVTEX, 2 ps figures, version to be published in PRB",,"10.1103/PhysRevB.55.3870",,"cond-mat",,"  The conditions for the precursors of antiferromagnetic bands in cuprate
superconductors are studied using weak-to-intermediate coupling approach. It is
shown that there are, in fact, three different precursor effects due to the
proximity to antiferromagnetic instability: i) the shadow band which associated
with new pole in the Green's function ii) the dispersive shadow feature due to
the thermal enhancement of the scattering rate and iii) the non-dispersive
shadow feature due to quantum spin fluctuation that exist only in
$\vec{k}-$scan of the spectral function $A(\omega _{Fixed},\vec{k})$. I found
that dispersive shadow peaks in $A(\omega,\vec{k})$ can exist at finite
temperature T in the renormalized classical regime, when $T\gg \omega _{sf}$,
$\xi_{AFM} >\xi_{th}=v_F/T$ ($\omega _{sf}$ is the characteristic energy of
spin fluctuations, $\xi_{th}$ is the thermal wave length of electron). In
contrast at zero temperature, only non-dispersive shadow feature in $%
A(\omega_{Fixed},\vec{k})$ has been found. I found, however, that the latter
effect is always very small. The theory predict no shadow effects in the
optimally doped materials. The conditions for which shadow peaks can be
observed in photoemission are discussed.
","[{""version"":""v1"",""created"":""Thu, 30 May 1996 15:09:34 GMT""},{""version"":""v2"",""created"":""Thu, 21 Nov 1996 20:24:57 GMT""}]","2009-10-28"
"dg-ga/9605009","Claude LeBrun","Claude LeBrun","Yamabe Constants and the Perturbed Seiberg-Witten Equations","LaTeX file, 17 pages",,,,"dg-ga math.DG",,"  Among all conformal classes of Riemannian metrics on ${\Bbb CP}_2$, that of
the Fubini-Study metric is shown to have the largest Yamabe constant. The
proof, which involves perturbations of the Seiberg-Witten equations, also
yields new results on the total scalar curvature of almost-K\""ahler
4-manifolds.
","[{""version"":""v1"",""created"":""Wed, 29 May 1996 19:15:36 GMT""}]","2008-02-03"
"hep-lat/9605039","Tanmoy Bhattacharya","Rajan Gupta and Tanmoy Bhattacharya","Light Quark Masses from Lattice QCD","32 pages. Package submitted in uufiles format: unpack and tex
  paper.tex. Modified ""axis"" source for figures also included. Latex2e
  document. Uncomment hyperref if available. This is the final published
  version","Phys.Rev.D55:7203-7217,1997","10.1103/PhysRevD.55.7203","LAUR-96-1840","hep-lat hep-ph",,"  We present estimates of the masses of light quarks using lattice data. Our
main results are based on a global analysis of all the published data for
Wilson, Sheikholeslami-Wohlert (clover), and staggered fermions, both in the
quenched approximation and with $n_f=2$ dynamical flavors. We find that the
values of masses with the various formulations agree after extrapolation to the
continuum limit for the $n_f=0$ theory. Our best estimates, in the MSbar scheme
at $\mu=2 GeV$, are $\mbar=3.4 +- 0.4 +- 0.3 MeV$ and $m_s = 100 +- 21 +- 10
MeV$ in the quenched approximation. The $n_f=2$ results, $\mbar = 2.7 +- 0.3 +-
0.3 MeV$ and $m_s = 68 +- 12 +- 7 MeV$, are preliminary. (A linear
extrapolation in $n_f$ would further reduce these estimates for the physical
case of three dynamical flavors.) These estimates are smaller than
phenomenological estimates based on sum rules, but maintain the ratios
predicted by chiral perturbation theory. The new results have a significant
impact on the extraction of $\epsilon'/\epsilon$ from the Standard Model. Using
the same lattice data we estimate the quark condensate using the
Gell-Mann-Oakes-Renner relation. Again the three formulations give consistent
results after extrapolation to $a=0$, and the value turns out to be
correspondingly larger, roughly preserving $m_s \vev{\bar \psi \psi}$.
","[{""version"":""v1"",""created"":""Wed, 29 May 1996 23:35:39 GMT""},{""version"":""v2"",""created"":""Thu, 12 Dec 1996 20:18:03 GMT""},{""version"":""v3"",""created"":""Mon, 14 Jul 1997 18:33:32 GMT""}]","2008-11-26"
"hep-lat/9605040","Stephen T. West","S.T. West and J.F. Wheater","High-Temperature Properties of the Z(3) Interface in (2+1)-D SU(3) Gauge
  Theory","10 pages, 3 figures, uuencoded gzipped tar file","Phys.Lett. B383 (1996) 205-211","10.1016/0370-2693(96)00731-9","OUTP-96-21P","hep-lat",,"  We study the high-temperature properties of the Z(3) interface which forms
between the various ordered phases of pure SU(3) gauge theory above a critical
temperature. On a (2+1)-D Euclidean lattice, we perform an accurate measurement
of the interface tension, which shows good agreement with the prediction of
perturbation theory. We also examine the behaviour of the Debye electric
screening mass, and compare this with theoretical predictions.
","[{""version"":""v1"",""created"":""Thu, 30 May 1996 00:29:51 GMT""}]","2009-10-28"
"hep-ph/9605429","Taekoon Lee","Taekoon Lee","One-loop QCD Correction for Inclusive Jet Production and Drell-Yan
  Process in Composite Models","22 pages including figures","Phys.Rev. D55 (1997) 2591-2601","10.1103/PhysRevD.55.2591","FERMILAB-PUB-96/117-T","hep-ph",,"  We calculate the one-loop QCD correction for inclusive jet cross section and
Drell-Yan process in a general low-energy effective Lagrangian for composite
quarks and leptons.
","[{""version"":""v1"",""created"":""Wed, 29 May 1996 19:57:28 GMT""}]","2009-10-28"
"hep-ph/9605430","Manuel Drees","Manuel Drees (UW Madison) and Tao Han (UC Davis)","Signals for Double Parton Scattering at the Fermilab Tevatron","7 pages, plain LaTeX, 2 tables, no figures. A compressed PS file is
  available by anonymous ftp at
  ftp://phenom.physics.wisc.edu/pub/preprints/1996/madph-96-945.ps.Z","Phys.Rev.Lett. 77 (1996) 4142-4145","10.1103/PhysRevLett.77.4142","MADPH-96-945, UCD-96-17","hep-ph",,"  Four double-parton scattering processes are examined at the Fermilab Tevatron
energy. With optimized kinematical cuts and realistic parton level simulation
for both signals and backgrounds, we find large samples of four-jet and
three-jet+one-photon events with signal to background ratio being 20\%-30\%,
and much cleaner signals from two-jet+two-photon and two-jet+$e^+e^-$ final
states. The last channel may provide the first unambiguous observation of
multiple parton interactions, even with the existing data sample accumulated by
the Tevatron collider experiments.
","[{""version"":""v1"",""created"":""Wed, 29 May 1996 22:37:32 GMT""}]","2009-10-28"
"hep-ph/9605431",,"A.V. Radyushkin","Asymmetric Gluon Distributions and Hard Diffractive Electroproduction","Definition of asymmetric gluon distribution is corrected to conform
  with the reduction formulas","Phys.Lett.B385:333-342,1996","10.1016/0370-2693(96)00844-1","CEBAF TH-96-06","hep-ph",,"  The ``asymmetric'' matrix element <p-r|G...G|p> that appears in the pQCD
description of hard diffractive electroproduction does not coincide with that
defining the gluon distribution function f_g(x). I outline a pQCD formalism
based on a concept of the double distribution F_g(x,y), which specifies the
fractions xp, yr, (1-y)r of the initial proton momentum p and the momentum
transfer r, resp., carried by the gluons. For $t \equiv r^2 =0$, r is
proportional to p: $r = \zeta p$, and it is convenient to parameterize the
matrix element <p-r|G...G|p> by an asymmetric distribution function ${\cal
F}_{\zeta}^g (X)$ depending on the total fractions $X \equiv x+y \zeta$ and
$X-\zeta = x- (1-y) \zeta$ of the initial hadron momentum p carried by the
gluons.I formulate evolution equations for ${\cal F}_{\zeta}^g (X)$, study some
of their general properties and discuss the relationship between ${\cal
F}_{\zeta}^g (X)$, F_g(x,y) and f_g(x).
","[{""version"":""v1"",""created"":""Thu, 30 May 1996 02:50:27 GMT""},{""version"":""v2"",""created"":""Thu, 30 May 1996 15:05:46 GMT""},{""version"":""v3"",""created"":""Fri, 31 May 1996 20:03:52 GMT""},{""version"":""v4"",""created"":""Wed, 5 Jun 1996 18:14:21 GMT""},{""version"":""v5"",""created"":""Tue, 5 Nov 1996 03:15:28 GMT""}]","2016-09-06"
"hep-ph/9605432","Sreerup Raychaudhuri","Amitava Datta, Aseshkrishna Datta and Sreerup Raychaudhuri","Virtual LSPs at e+ e- Colliders","51 pages, LaTeX plus 13 postscript figures included using epsfig in
  uuencoded and compressed form, minor comments added","Eur.Phys.J.C1:375-393,1998","10.1007/BF01245828","TIFR/TH/96-27","hep-ph",,"  Currently popular search strategies for supersymmetric particles may be
significantly affected due to relatively light sneutrinos which decay
dominantly into invisible channels. In certain cases the second lightest
neutralino may also decay invisibly leading to two extra carriers of missing
energy (in addition to the lightest supersymmetric particle (LSP)) -- the
virtual LSPs (VLSPs). It is shown that if the sneutrino masses happen to be in
the small but experimentally allowed range ~ 45 - 55 GeV, these particles
together with neutralino pairs may contribute significantly to the missing
energy in the process e+ e- ---> \gamma + missing energy at LEP-2 energies as
an enhancement over the Standard Model or the conventional MSSM predictions. It
is further shown that a much larger region of the parameter space can be
scanned at a high luminosity e+ e- collider at 500 GeV like the proposed NLC
machine. Moreover this process can play a complementary role to direct chargino
searches at LEP-2 and NLC which may fail due to a near mass degeneracy of the
chargino and the sneutrino. Formulae for the cross sections taking into account
full mixings of the charginos and the neutralinos are derived. The signal
remains observable even in the context of more restricted models based on N=1
SUGRA with common scalar and gaugino masses. The effect of soft photon
brehmsstrahlung on the signal is also discussed briefly.
","[{""version"":""v1"",""created"":""Thu, 30 May 1996 13:10:29 GMT""},{""version"":""v2"",""created"":""Tue, 9 Jul 1996 11:42:05 GMT""}]","2015-06-25"
