"alg-geom/9605007","Nobuyoshi Takahashi","Nobuyoshi Takahashi","Curves in the complement of a smooth plane cubic whose normalizations
  are $\Bbb A^1$","AMS-TeX, 25 pages",,,,"alg-geom math.AG",,"  For a smooth plane cubic $B$, we count curves $C$ of degree $d$ such that the
normalizations of $C\backslash B$ are isomorphic to $\Bbb A^1$, for $d\leq7$
(for $d=7$ under some assumption). We also count plane rational quartic curves
intersecting $B$ at only one point.
","[{""version"":""v1"",""created"":""Mon, 13 May 1996 19:43:21 GMT""}]","2008-02-03"
"chem-ph/9605003","Joachim","Joachim Brand and Lorenz S. Cederbaum (Theoretical Chemistry,
  Heidelberg,Germany)","Extended Two--Particle Green's Functions and Optical Potentials for
  Two--Particle Scattering by Many--Body Targets","17 pages of LaTeX, no figures, submitted to Annals of Physics (N. Y.)","Annals Phys. 252 (1996) 276-299","10.1006/aphy.1996.0132",,"chem-ph atom-ph nucl-th physics.chem-ph",,"  An extension of the fermionic particle--particle propagator is presented,
that possesses similar algebraic properties to the single--particle Green's
function. In particular, this extended two--particle Green's function satisfies
Dyson's equation and its self energy has the same analytic structure as the the
self energy of the single--particle Green's function. For the case of a system
interacting by one--particle potentials only, the two--particle self energy
takes on a particularly simple form, just like the common self energy does. The
new two--particle self energy also serves as a well behaved optical potential
for the elastic scattering of a two--particle projectile by a many--body
target. Due to its analytic structure, the two--particle self energy avoids
divergences that appear with effective potentials derived by other means.
","[{""version"":""v1"",""created"":""Mon, 13 May 1996 19:13:48 GMT""}]","2009-10-28"
"cmp-lg/9605019","Chengxiang Zhai","David A. Evans and Chengxiang Zhai (Carnegie Mellon University)","Noun-Phrase Analysis in Unrestricted Text for Information Retrieval","8 pages, gzipped, uuencoded Postscript file, to appear in ACL'96","Proceedings of the 34th Annual Meeting of Association for
  Computational Linguistics, Santa Cruz, California, June 24-28, 1996. 17-24.",,,"cmp-lg cs.CL",,"  Information retrieval is an important application area of natural-language
processing where one encounters the genuine challenge of processing large
quantities of unrestricted natural-language text. This paper reports on the
application of a few simple, yet robust and efficient noun-phrase analysis
techniques to create better indexing phrases for information retrieval. In
particular, we describe a hybrid approach to the extraction of meaningful
(continuous or discontinuous) subcompounds from complex noun phrases using both
corpus statistics and linguistic heuristics. Results of experiments show that
indexing based on such extracted subcompounds improves both recall and
precision in an information retrieval system. The noun-phrase analysis
techniques are also potentially useful for book indexing and automatic
thesaurus extraction.
","[{""version"":""v1"",""created"":""Mon, 13 May 1996 18:26:39 GMT""}]","2008-02-03"
"cmp-lg/9605020","Ramin Nakisa","Ramin Charles Nakisa and Ulrike Hahn (Oxford University)","Where Defaults Don't Help: the Case of the German Plural System","In proceedings of the 18th annual meeting of the Cognitive Science
  Society. 6 pages, 4 postscript figures. cmp-lg has trouble handling PS fonts
  under NFSS, so the postscript version is 6 pages in postscript Times Roman
  and the LaTeX source produces 7 pages of Computer Modern. Just add times to
  the \usepackage command if your system can handle it",,,,"cmp-lg cs.CL",,"  The German plural system has become a focal point for conflicting theories of
language, both linguistic and cognitive. We present simulation results with
three simple classifiers - an ordinary nearest neighbour algorithm, Nosofsky's
`Generalized Context Model' (GCM) and a standard, three-layer backprop network
- predicting the plural class from a phonological representation of the
singular in German. Though these are absolutely `minimal' models, in terms of
architecture and input information, they nevertheless do remarkably well. The
nearest neighbour predicts the correct plural class with an accuracy of 72% for
a set of 24,640 nouns from the CELEX database. With a subset of 8,598
(non-compound) nouns, the nearest neighbour, the GCM and the network score
71.0%, 75.0% and 83.5%, respectively, on novel items. Furthermore, they
outperform a hybrid, `pattern-associator + default rule', model, as proposed by
Marcus et al. (1995), on this data set.
","[{""version"":""v1"",""created"":""Mon, 13 May 1996 18:53:54 GMT""}]","2008-02-03"
"cmp-lg/9605021","Michael Strube","Michael Strube & Udo Hahn, (Computational Linguistics Lab, Freiburg
  University, Germany)","Functional Centering","8 pages, uuencoded compressed PS file (see also Technical Report at:
  http://www.coling.uni-freiburg.de/public/papers/acl96.ps.gz)","Proceedings of ACL '96 (Santa Cruz)",,,"cmp-lg cs.CL",,"  Based on empirical evidence from a free word order language (German) we
propose a fundamental revision of the principles guiding the ordering of
discourse entities in the forward-looking centers within the centering model.
We claim that grammatical role criteria should be replaced by indicators of the
functional information structure of the utterances, i.e., the distinction
between context-bound and unbound discourse elements. This claim is backed up
by an empirical evaluation of functional centering.
","[{""version"":""v1"",""created"":""Tue, 14 May 1996 07:54:40 GMT""}]","2008-02-03"
"cmp-lg/9605022","Michael Strube","Michael Strube (Computational Linguistics Lab, Freiburg University,
  Germany)","Processing Complex Sentences in the Centering Framework","3 pages, uuencoded gzipped PS file (see also Technical Report at:
  http://www.coling.uni-freiburg.de/public/papers/acl96-student.ps.gz)","Proceedings of ACL '96 (Santa Cruz), Student Session",,,"cmp-lg cs.CL",,"  We extend the centering model for the resolution of intra-sentential anaphora
and specify how to handle complex sentences. An empirical evaluation indicates
that the functional information structure guides the search for an antecedent
within the sentence.
","[{""version"":""v1"",""created"":""Tue, 14 May 1996 08:30:05 GMT""}]","2008-02-03"
"cmp-lg/9605023","Marc Dymetman","Marc Dymetman (Rank Xerox Research Centre, Grenoble)","A Simple Transformation for Offline-Parsable Grammars and its
  Termination Properties","Latex. 5 pages. Appeared in Coling-94 Proceedings",,,,"cmp-lg cs.CL",,"  We present, in easily reproducible terms, a simple transformation for
offline-parsable grammars which results in a provably terminating parsing
program directly top-down interpretable in Prolog. The transformation consists
in two steps: (1) removal of empty-productions, followed by: (2) left-recursion
elimination. It is related both to left-corner parsing (where the grammar is
compiled, rather than interpreted through a parsing program, and with the
advantage of guaranteed termination in the presence of empty productions) and
to the Generalized Greibach Normal Form for DCGs (with the advantage of
implementation simplicity).
","[{""version"":""v1"",""created"":""Tue, 14 May 1996 12:23:19 GMT""}]","2008-02-03"
"cond-mat/9605080","Alexandre Diehl","Alexandre Diehl, Marcia C. Barbosa and Yan Levin","A Neutral Polyampholyte in an ionic solution","10 pages, Revtex with epsf, 9 Postscript figures. Submitted to PRE",,"10.1103/PhysRevE.54.6516",,"cond-mat",,"  The behavior of a neutral polyampholyte ($PA$) chain with $N$ monomers, in an
ionic solution, is analyzed in the framework of the full Debye-H$\ddot u
$ckel-Bjerrum-Flory $(DHBjF)$ theory. A $PA$ chain, that in addition to the
neutral monomers, also contains an equal number of positively and negatively
charged monomers, is dissolved in an ionic solution. For \underline{high}
concentrations of salt and at high temperatures, the $PA$ exists in an extended
state. As the temperature is decreased, the electrostatic energy becomes more
relevant and at a $T=T_{\theta}$ the system collapses into a dilute globular
state, or microelectrolyte. This state contains a concentration of salt higher
than the surrounding medium. As the temperature is decreased even further,
association between the monomers of the polymer and the ions of the salt
becomes relevant and there is a crossover from this globular state to a low
temperature extended state. For \underline{low} densities of salt, the system
is collapsed for almost all temperatures and exhibits a first-order phase
transition to an extended state at an unphysical low temperature.
","[{""version"":""v1"",""created"":""Mon, 13 May 1996 18:59:36 GMT""}]","2009-10-28"
"cond-mat/9605081","Vivek B. Shenoy","Tin-Lun Ho and V.B.Shenoy","Alkali Bose Condensate Mixtures","10 pages + 5 Figs in gzip+tar format",,,,"cond-mat",,"  We show that binary mixtures of Bose-condensates of alkali atoms have a great
variety of ground state and vortex structures which can be accessed
experimentally by varying the particle numbers of different alkalis. We have
constructed a simple algorithm to determine the density profiles of these
states, and have worked out their phase diagrams within Thomas-Fermi
approximation. Many structures of the alkali binary contain a coexisting
region, which is the analog of the long sought $^{3}$He-$^{4}$He
interpenetrating superfluids in ultra-low temperature physics.
","[{""version"":""v1"",""created"":""Mon, 13 May 1996 22:50:06 GMT""}]","2007-05-23"
"cond-mat/9605082","Alexander Nazarenko","Alexander Nazarenko and Elbio Dagotto (NHMFL/FSU)","Hole Dispersion and Symmetry of the Superconducting Order Parameter for
  Underdoped CuO$_2$ Bilayers and 3D Antiferromagnets","RevTeX (version 3.0), 10 twocolumn pages with 9 embedded figures",,"10.1103/PhysRevB.54.13158",,"cond-mat",,"  We calculate the dispersion of a hole in ${\rm CuO_2}$ bilayers and 3D
antiferromagnets, using the self-consistent Born approximation (SCBA) to the
$t-J$ model. Superconductivity and the symmetry of its order parameter are
studied introducing a nearest-neighbor density-density attraction induced by
short range antiferromagnetic (AF) fluctuations, as described in recent studies
for the single layer cuprates. The well-known pairing in the ${ d_{x^2-y^2}}$
channel observed for one plane remains robust when three dimensional
interactions are turned on. In bilayers, as the exchange along the direction
perpendicular to the planes grows, eventually a transition to a ``s-wave''
state is observed with an order parameter mixture of ${ d_{3z^2-r^2}}$ and ${
s_{x^2+y^2 + z^2}}$. For an isotropic 3D antiferromagnet the $d_{x^2 -y^2}$ and
$d_{3z^2 - r^2}$ channels are degenerate.
","[{""version"":""v1"",""created"":""Tue, 14 May 1996 02:53:12 GMT""}]","2009-10-28"
"cond-mat/9605083","Igor Mazin","I.I. Mazin, R.J. Hemley, A.F. Goncharov, M. Hanfland, and H.-K. Mao","Quantum and Classical Orientational Ordering in Solid Hydrogen","Replaced with the final text, accepted for publication in PRL. 1 Fig.
  added. Misc. text revisions","PRL 78, 1066 (1997)","10.1103/PhysRevLett.78.1066",,"cond-mat",,"  We present a unified view of orientational ordering in phases I, II, and III
of solid hydrogen. Phases II and III are orientationally ordered, while the
ordering objects in phase II are angular momenta of rotating molecules, and in
phase III the molecules themselves. This concept provides quantitative
explanation of the vibron softening, libron and roton spectra, and increase of
the IR vibron oscillator strength in phase III. The temperature dependence of
the effective charge parallels the frequency shifts of the IR and Raman
vibrons. All three quantities are linear in the order parameter.
","[{""version"":""v1"",""created"":""Tue, 14 May 1996 00:10:57 GMT""},{""version"":""v2"",""created"":""Fri, 17 Jan 1997 21:01:34 GMT""}]","2009-10-28"
"cond-mat/9605084","Stephen J. Cornell","Satya N. Majumdar (Yale University), Clement Sire (CNRS, Universite
  Toulouse), Alan J. Bray and Stephen J. Cornell (Manchester University)","Nontrivial Exponent for Simple Diffusion","Minor typos corrected, affecting table of exponents. 4 pages, REVTEX,
  1 eps figure. Uses epsf.sty and multicol.sty","Phys. Rev. Lett. 77 (1996) 2867","10.1103/PhysRevLett.77.2867",,"cond-mat",,"  The diffusion equation \partial_t\phi = \nabla^2\phi is considered, with
initial condition \phi( _x_ ,0) a gaussian random variable with zero mean.
Using a simple approximate theory we show that the probability p_n(t_1,t_2)
that \phi( _x_ ,t) [for a given space point _x_ ] changes sign n times between
t_1 and t_2 has the asymptotic form p_n(t_1,t_2) \sim
[\ln(t_2/t_1)]^n(t_1/t_2)^{-\theta}. The exponent \theta has predicted values
0.1203, 0.1862, 0.2358 in dimensions d=1,2,3, in remarkably good agreement with
simulation results.
","[{""version"":""v1"",""created"":""Tue, 14 May 1996 15:27:25 GMT""},{""version"":""v2"",""created"":""Wed, 22 May 1996 10:12:46 GMT""}]","2009-10-28"
"dg-ga/9605004","Rafe Mazzeo","Rafe Mazzeo and Frank Pacard","Constant scalar curvature metrics with isolated singularities","Latex2e, 48 pages",,,,"dg-ga math.DG",,"  We extend the results and methods of \cite{MP} to prove the existence of
constant positive scalar curvature metrics $g$ which are complete and conformal
to the standard metric on $S^N \setminus \Lambda$, where $\Lambda$ is a
disjoint union of submanifolds of dimensions between 0 and $(N-2)/2$. The
existence of solutions with isolated singularities occupies the majority of the
paper; their existence was previously established by Schoen \cite{S}, but the
proof we give here, based on the techniques of \cite{MP}, is more direct, and
provides more information about their geometry. When $\Lambda$ is discrete we
also establish that these solutions are smooth points in the moduli spaces of
all such solutions introduced and studied in \cite{MPU1} and \cite{MPU2}
","[{""version"":""v1"",""created"":""Tue, 14 May 1996 01:33:48 GMT""}]","2008-02-03"
"dg-ga/9605005","Knut Smoczyk","Knut Smoczyk (Harvard University)","A canonical way to deform a Lagrangian submanifold","16 pages, AMS-TeX. This replacement contains only minor changes.
  Corollary 2.8 was wrong and has been removed. Proposition 2.9 has been
  renamed into Proposition 2.8 and we also added a new theorem (Theorem 2.9).
  In addition the format and some of the questions and remarks have been
  altered. The author apologizes for any inconvenience",,,,"dg-ga math.DG",,"  We derive some important geometric identities for Lagrangian submanifolds
immersed in a K\""ahler manifold and prove that there exists a canonical way to
deform a Lagrangian submanifold by a parabolic flow through a family of
Lagrangian submanifolds if the ambient space is a Ricci-flat Calabi-Yau
manifold.
","[{""version"":""v1"",""created"":""Tue, 14 May 1996 02:22:51 GMT""},{""version"":""v2"",""created"":""Wed, 22 May 1996 15:46:34 GMT""}]","2008-02-03"
"hep-ph/9605291","Umnikov","A.Yu. Umnikov (INFN, Sezione di Perugia, Italy)","Relativistic Calculation of Structure Functions b_{1,2}(X) of the
  Deuteron","LaTeX, 12 pages, 3 Postscript figures","Phys.Lett. B391 (1997) 177-184","10.1016/S0370-2693(96)01440-2",,"hep-ph",,"  The structure functions b_{1,2}^D(X) of the deuteron are studied within
covariant approach. It is shown that usual nonrelativistic convolution model
result in incorrect behavior of this structure functions at small X and
violates the exact sum rules. Realistic calculations are carried out with the
Bethe-Salpeter amplitude of the deuteron and compared with the nonrelativistic
results.
","[{""version"":""v1"",""created"":""Mon, 13 May 1996 16:26:16 GMT""}]","2009-10-28"
"hep-ph/9605292","Umnikov","A.Yu. Umnikov (INFN, Sezione di Perugia, Italy.)","Parametrization of Realistic Bethe-Salpeter Amplitude for the Deuteron","LaTeX, 11 pages, 2 Postscript figures; Text of the Fortran program is
  available from the author by request","Z.Phys.A357:333-338,1997","10.1007/s002180050250",,"hep-ph",,"  The parametrization of the realistic Bethe-Salpeter amplitude for the
deuteron is given. Eight components of the amplitude in the Euclidean space are
presented as an analytical fit to the numerical solution of the Bethe-Salpeter
equation in the ladder approximation. An applicability of the parametrization
to the observables of the deuteron is briefly discussed.
","[{""version"":""v1"",""created"":""Mon, 13 May 1996 16:48:44 GMT""}]","2011-04-12"
"hep-ph/9605293","Farook M. Al-Shamali","A. N. Kamal and F. M. Al-Shamali","Non-Factorization in $(B, B_s) \to P(V) \psi$ Decays","16 pages, Latex, 8 figures",,,"Alberta Thy-12-96","hep-ph",,"  Available experimental data on decay rate and polarization are used to
investigate non-factorization contribution to processes of the kind $B
\rightarrow K \psi$, and $B \rightarrow K^* \psi$ using five theoretical models
for the formfactors. Using the knowledge on non-factorization gained from $B$
decays we study the processes $B_s \rightarrow (\eta', \eta) \psi$, and $B_s
\rightarrow \phi \psi$ where experimental data are very limited.
","[{""version"":""v1"",""created"":""Mon, 13 May 1996 19:49:14 GMT""},{""version"":""v2"",""created"":""Fri, 17 May 1996 17:15:39 GMT""}]","2008-02-03"
"hep-ph/9605294","Jerzy Szwed","Jerzy Szwed (BNL and Jagellonian University)","Nuclear Effects on the Spin-Dependent Structure Functions","This paper has been withdrawn by the author due to the appearence of
  enlarged version with one new author name more (hep-ph/0012293).",,,"TPJU 7/96, BNL -","hep-ph",,"  This paper has been withdrawn by the author due to the appearence of enlarged
version with one new author name more (hep-ph/0012293).
","[{""version"":""v1"",""created"":""Mon, 13 May 1996 22:04:58 GMT""},{""version"":""v2"",""created"":""Tue, 14 May 1996 18:53:45 GMT""},{""version"":""v3"",""created"":""Fri, 29 Dec 2000 12:25:08 GMT""}]","2008-02-03"
"hep-ph/9605295","Ed Stoeffhaas","J.F. Amundson, O.J.P. Eboli, E.M. Gregores, and F. Halzen","Quantitative Tests of Color Evaporation: Charmonium Production","12 pages (with embedded figures), Latex2.09, uses epsf.sty and
  epsfig.sty. Z-compressed postscript version also available at
  http://phenom.physics.wisc.edu/pub/preprints/1996/madph-96-942.ps.Z or at
  ftp://phenom.physics.wisc.edu/pub/preprints/1996/madph-96-942.ps.Z","Phys.Lett. B390 (1997) 323-328","10.1016/S0370-2693(96)01417-7","MADPH-96-942","hep-ph",,"  The color evaporation model simply states that charmonium production is
described by the same dynamics as $D \bar D$ production, {\em i.e.}, by the
formation of a colored $c \bar c$ pair. Its color happens to be bleached by
soft final-state interactions. We show that the model gives a complete picture
of charmonium production including low-energy production by proton, photon and
antiproton beams, and high-energy production at the Tevatron and HERA. Our
analysis includes the first next-to-leading-order calculation in the color
evaporation model.
","[{""version"":""v1"",""created"":""Mon, 13 May 1996 21:08:59 GMT""}]","2009-10-28"
