"alg-geom/9602001","Spencer J. Bloch","Spencer Bloch, H\'el\`ene Esnault","Algebraic Chern Simons Theory","LaTeX",,,,"alg-geom math.AG",,"  An analog of Chern-Simons theory is developed in an algebro-geometric
setting.
","[{""version"":""v1"",""created"":""Fri, 2 Feb 1996 15:59:03 GMT""},{""version"":""v2"",""created"":""Tue, 6 Feb 1996 18:29:37 GMT""}]","2008-02-03"
"chao-dyn/9602002","Yamaguchi Yoshiyuki","Yoshiyuki Y. Yamaguchi (Nagoya, Japan)","Slow Relaxation at Critical Point of Second Order Phase Transition in a
  Highly Chaotic Hamiltonian System","16 pages, LaTeX, 13 Postscript figures","Prog.Theor.Phys. Vol.95 No.4 (1996) 717-31","10.1143/PTP.95.717","DPNU-96-06","chao-dyn nlin.CD",,"  Temporal evolutions toward thermal equilibria are numerically investigated in
a Hamiltonian system with many degrees of freedom which has second order phase
transition. Relaxation processes are studied through local order parameter, and
slow relaxations of power type are observed at the critical energy of phase
transition for some initial conditions. Numerical results are compared with
results of a phenomenological theory of statistical mechanics. At the critical
energy, the maximum Lyapunov exponent takes the largest value. Temporal
evolutions and probability distributions of local Lyapunov exponents show that
the system is highly chaotic rather than weakly chaotic at the critical energy.
Consequently theories for perturbed systems may not be applied to the system at
the critical energy in order to explain the slow relaxation of power type.
","[{""version"":""v1"",""created"":""Fri, 2 Feb 1996 11:17:27 GMT""}]","2009-10-28"
"chao-dyn/9602003","Sandro Graffi","S.Graffi and A.Martinez","Ergodic Properties of Infinite Harmonic Crystals: an Analytic Approach","30 pages, plain LaTex","J.Math.Phys. 37 (1996) 5111-5135","10.1063/1.531741",,"chao-dyn cond-mat nlin.CD quant-ph",,"  We give through pseudodifferential operator calculus a proof that the quantum
dynamics of a class of infinite harmonic crystals becomes ergodic and mixing
with respect to the quantum Gibbs measure if the classical infinite dynamics is
respectively ergodic and mixing with respect to the classical infinite Gibbs
measure. The classical ergodicity and mixing properties are recovered as
$\hbar\to 0$, and the infinitely many particles limits of the quantum Gibbs
averages are proved to be the averages over a classical infinite Gibbs measure
of the symbols generating the quantum observables under Weyl quantization.
","[{""version"":""v1"",""created"":""Fri, 2 Feb 1996 15:15:38 GMT""}]","2009-10-28"
"chem-ph/9602001","Istvan Borzsak","I. Borzs\'ak, H.A. Posch and A. Baranyai","Lyapunov instability of fluids composed of rigid diatomic molecules","RevTeX 14 pages, 7 PostScript figures. Accepted for publication in
  Phys. Rev. E",,"10.1103/PhysRevE.53.3694",,"chem-ph physics.chem-ph",,"  We study the Lyapunov instability of a two-dimensional fluid composed of
rigid diatomic molecules, with two interaction sites each, and interacting with
a WCA site-site potential. We compute full spectra of Lyapunov exponents for
such a molecular system. These exponents characterize the rate at which
neighboring trajectories diverge or converge exponentially in phase space.
Quam. These exponents characterize the rate at which neighboring trajectories
diverge or converge exponentially in phase space. Qualitative different degrees
of freedom -- such as rotation and translation -- affect the Lyapunov spectrum
differently. We study this phenomenon by systematically varying the molecular
shape and the density. We define and evaluate ``rotation numbers'' measuring
the time averaged modulus of the angular velocities for vectors connecting
perturbed satellite trajectories with an unperturbed reference trajectory in
phase space. For reasons of comparison, various time correlation functions for
translation and rotation are computed. The relative dynamics of perturbed
trajectories is also studied in certain subspaces of the phase space associated
with center-of-mass and orientational molecular motion.
","[{""version"":""v1"",""created"":""Fri, 2 Feb 1996 15:29:35 GMT""},{""version"":""v2"",""created"":""Mon, 5 Feb 1996 08:59:24 GMT""}]","2009-10-28"
"cond-mat/9602005","Boris Spivak","B.Spivak, A.Zyuzin","Magnetic coupling in mesoscopic metal/ferromagnet layered systems","11 pages, revtex+2 postscript figures (tarred,gziped,uuencoded)",,,,"cond-mat",,"  We consider a mesoscopic mechanism of the exchange interaction in a system of
alternating ferromagnetic/nonmagnetic metallic layers. In the case of small
mesoscopic samples the sign and the amplitude of the exchange energy turn out
to be random sample specific quantities. They can be changed by applying an
external magnetic field, by attaching to the system superconducting electrodes
with different phases of the superconducting order parameter and by changing
the chemical potential of electrons in the matal with the help of a gate. In
the case of square or cubic geometries of the nonmagnetic layer at low
temperature the variance of the exchange energy turns out to be sample size
independent.
","[{""version"":""v1"",""created"":""Thu, 1 Feb 1996 21:30:09 GMT""}]","2007-05-23"
"cond-mat/9602006","Atsushi Yamagata","Atsushi Yamagata","Universality in the Three-Dimensional Hard-Sphere Lattice Gas","8 pages(2 LaTeX pictures included), LaTeX",,"10.1016/0378-4371(96)00121-5","emuayor-960202","cond-mat",,"  We perform Monte Carlo simulations of the hard-sphere lattice gas on the
body-centred cubic lattice with nearest neighbour exclusion. We get the
critical exponents, $\beta/\nu = 0.311(8)$ and $\gamma/\nu = 2.38(2)$, where
$\beta$, $\gamma$, and $\nu$ are the critical exponents of the staggered
density, the staggered compressibility, and the correlation length,
respectively. The values of the hard-sphere lattice gas on the simple cubic
lattice agree with them but those of the three-dimensional Ising model do not.
This supports that the hard-sphere lattice gas does not fall into the Ising
universality class in three dimensions.
","[{""version"":""v1"",""created"":""Fri, 2 Feb 1996 03:22:55 GMT""}]","2015-06-25"
"cond-mat/9602007","Gongwen Peng","Gongwen Peng, Jens-Uwe Sommer and Alexander Blumen","Monte Carlo simulations of random copolymers at a selective interface","Latex text file appended with figures.tar.gz","to appear in Phys. Rev. E","10.1103/PhysRevE.53.5509",,"cond-mat",,"  We investigate numerically using the bond--fluctuation model the adsorption
of a random AB--copolymer at the interface between two solvents. From our
results we infer several scaling relations: the radius of gyration of the
copolymer in the direction perpendicular to the interface ($R_{gz}$) scales
with $\chi$, the interfacial selectivity strength, as
$R_{gz}=N^{\nu}f(\sqrt{N}\chi)$ where $\nu$ is the usual Flory exponent and $N$
is the copolymer's length; furthermore the monomer density at the interface
scales as $\chi^{2\nu}$ for small $\chi$. We also determine numerically the
monomer densities in the two solvents and discuss their dependence on the
distance from the interface.
","[{""version"":""v1"",""created"":""Fri, 2 Feb 1996 09:27:11 GMT""}]","2009-10-28"
"cond-mat/9602008","Yosef Ashkenazy","R. Berkovits, Y. Ashkenazy, L. P. Horwitz and J. Levitan","Chaotic Signatures in the Spectrum of a Quantum Double Well","8 LaTex pages, 3 Postscript figures","Physica A 238 (1997) 279-284","10.1016/S0378-4371(97)00009-5",,"cond-mat chao-dyn nlin.CD",,"  The spectrum of a double well constructed of a square barrier embedded in an
infinite well is analyzed. Level statistics for levels slightly above the
barrier show signs of Wigner statistics usually associated with quantum chaos.
The correspondence with Wigner statistics improves when an ensemble of systems
with slightly different barrier heights is taken, possibly reflecting an
adiabatic time-dependent modulation of the barrier.
","[{""version"":""v1"",""created"":""Fri, 2 Feb 1996 09:46:09 GMT""}]","2015-06-25"
"dg-ga/9602001","Alexeiev Anton","Anton Yu. Alekseev (Uppsala University)","On Poisson actions of compact Lie groups on symplectic manifolds","LaTeX file, 16 pages",,,,"dg-ga math.DG math.QA q-alg",,"  Let $G_{\P}$ be a compact simple Poisson-Lie group equipped with a Poisson
structure $\P$ and $(M, \o)$ be a symplectic manifold. Assume that $M$ carries
a Poisson action of $G_{\P}$ and there is an equivariant moment map in the
sense of Lu and Weinstein which acts to the dual Poisson-Lie group $G^*_{\P}$,
$\m: M\rightarrow G^*_{\P}$. We prove that $M$ always possesses another
symplectic form $\to$ so that the $G$-action preserves $\tilde{\o}$ and there
is a new moment map $\mu= e^{-1} \circ \m: M\rightarrow \g^*$. Here $e$ is a
universal (independent of $M$) invertible equivariant map $e: \g^*\rightarrow
G^*_{\P}$. We suggest new short proves of the convexity theorem for the
Poisson-Lie moment map, Poisson reduction theorem and the Ginzburg-Weinstein
theorem on the isomorphism of $\g^*$ and $G^*_{\P}$ as Poisson spaces.
","[{""version"":""v1"",""created"":""Thu, 1 Feb 1996 16:17:11 GMT""}]","2008-02-03"
"dg-ga/9602002","Margaret Symington","Dusa McDuff (SUNY Stony Brook) and Margaret Symington (Stanford)","Associativity properties of the symplectic sum","17 pages, LaTex document, 2 figures in encapsulated postscript",,,,"dg-ga math.DG",,"  In this note we apply a 4-fold sum operation to develop an associativity rule
for the pairwise symplectic sum. This allows us to show that certain
diffeomorphic symplectic $4$-manifolds made out of elliptic surfaces are in
fact symplectically deformation equivalent. We also show that blow-up points
can be traded from one side of a symplectic sum to another without changing the
symplectic deformation class of the resulting manifold.
","[{""version"":""v1"",""created"":""Thu, 1 Feb 1996 23:25:23 GMT""}]","2008-02-03"
"dg-ga/9602003","Bryan Wang","Bai-Ling Wang (University of Adelaide)","Seiberg-Witten-Floer Theory for Homology 3-Spheres","LaTex; 30 pages, fix some LaTex problems, cut one subsection, update
  the relation with equivariant Seiberg-Witten-Floer homology and one
  application to Stein surface with boundary",,,,"dg-ga math.DG",,"  We give the definition of the Seiberg-Witten-Floer homology group for a
homology 3-sphere. Its Euler characteristic number is a Casson-type invariant.
For a four-manifold with boundary a homology sphere, a relative Seiberg-Witten
invariant is defined taking values in the Seiberg-Witten-Floer homology group,
these relative Seiberg-Witten invariants are applied to certain homology
spheres bounding Stein surfaces.
","[{""version"":""v1"",""created"":""Fri, 2 Feb 1996 05:10:28 GMT""},{""version"":""v2"",""created"":""Fri, 2 Feb 1996 11:43:21 GMT""},{""version"":""v3"",""created"":""Mon, 29 Jul 1996 07:56:00 GMT""}]","2008-02-03"
"funct-an/9602001",,"P. Exner, S.A. Vugalter","Asymptotic estimates for bound states in quantum waveguides coupled
  laterally through a narrow window","LaTeX file, 12 pages, no figures","Ann. Inst. H. Poincare 65 (1996), 109-123",,,"funct-an math-ph math.FA math.MP",,"  Consider the Laplacian in a straight planar strip of width $\,d\,$, with the
Neumann boundary condition at a segment of length $\,2a\,$ of one of the
boundaries, and Dirichlet otherwise. For small enough $\,a\,$ this operator has
a single eigenvalue $\,\epsilon(a)\,$; we show that there are positive
$\,c_1,c_2\,$ such that $\,-c_1 a^4 \le \epsilon(a)- \left(\pi/ d\right)^2 \le
-c_2 a^4\,$. An analogous conclusion holds for a pair of Dirichlet strips, of
generally different widths, with a window of length $\,2a\,$ in the common
boundary.
","[{""version"":""v1"",""created"":""Fri, 2 Feb 1996 09:31:38 GMT""}]","2008-02-03"
"gr-qc/9602002","Lee Samuel Finn","Lee Samuel Finn (Chairperson, LIGO Research Community)","Defining a Research Environment: LIGO and the Gravitational Physics
  Research Community","Revised to be compatible with older versions of LaTeX. 9 pages plain
  LaTeX; This report will also be available at LRC website linked to
  http://ligo.caltech.edu",,,,"gr-qc astro-ph",,"  The LIGO Research Community (LRC) is an independent organization of
researchers interested in the scientific opportunities created by the
construction and operation of the Laser Interferometer Gravitational-wave
Observatory (LIGO). Membership is open to all interested individuals,
irrespective of any other affiliations (including affiliation with the LIGO
project, VIRGO or other gravitational-wave detector projects). The LRC has
begun a study project designed to {\em identify} the ways that an operating
LIGO will affect the research environment in gravitational physics, {\em
decide} what we want that environment to look like, and recommend (to LIGO and
the NSF) the steps to be taken now to develop that environment in the future.
Contributions from LRC members and from the broader gravitational physics
research community are actively solicited.
","[{""version"":""v1"",""created"":""Thu, 1 Feb 1996 16:11:59 GMT""},{""version"":""v2"",""created"":""Wed, 7 Feb 1996 19:24:46 GMT""}]","2008-02-03"
"gr-qc/9602003","Jorma Louko","Jorma Louko and Stephen N. Winters-Hilt","Hamiltonian thermodynamics of the Reissner-Nordstr\""om-anti-de Sitter
  black hole","34 pages, REVTeX v3.0. (Minor corrections and presentational
  revisions; added references.)","Phys.Rev.D54:2647-2663,1996","10.1103/PhysRevD.54.2647","PP96--63, WISC--MILW--96--TH--11","gr-qc hep-th",,"  We consider the Hamiltonian dynamics and thermodynamics of spherically
symmetric Einstein-Maxwell spacetimes with a negative cosmological constant. We
impose boundary conditions that enforce every classical solution to be an
exterior region of a Reissner-Nordstr\""om-anti-de Sitter black hole with a
nondegenerate Killing horizon, with the spacelike hypersurfaces extending from
the horizon bifurcation two-sphere to the asymptotically anti-de Sitter
infinity. The constraints are simplified by a canonical transformation, which
generalizes that given by Kucha\v{r} in the spherically symmetric vacuum
Einstein theory, and the theory is reduced to its true dynamical degrees of
freedom. After quantization, the grand partition function of a thermodynamical
grand canonical ensemble is obtained by analytically continuing the Lorentzian
time evolution operator to imaginary time and taking the trace. A~similar
analysis under slightly modified boundary conditions leads to the partition
function of a thermodynamical canonical ensemble. The thermodynamics in each
ensemble is analyzed, and the conditions that the (grand) partition function be
dominated by a classical Euclidean black hole solution are found. When these
conditions are satisfied, we recover in particular the Bekenstein-Hawking
entropy. The limit of a vanishing cosmological constant is briefly discussed.
  (This paper is dedicated to Karel Kucha\v{r} on the occasion of his sixtieth
birthday.)
","[{""version"":""v1"",""created"":""Fri, 2 Feb 1996 00:09:56 GMT""},{""version"":""v2"",""created"":""Sat, 7 Sep 1996 16:13:08 GMT""}]","2008-11-26"
"gr-qc/9602004","Jack Wells","I.B. Khriplovich, A.A. Pomeransky","Gravitational Interaction of Spinning Bodies, Center-of-Mass Coordinate
  and Radiation of Compact Binary Systems","11 pages, latex, no figures","Phys.Lett. A216 (1996) 7","10.1016/0375-9601(96)00266-6","BINP 96-3","gr-qc",,"  Spin-orbit and spin-spin effects in the gravitational interaction are treated
in a close analogy with the fine and hyperfine interactions in atoms. The
proper definition of the cener-of-mass coordinate is discussed. The technique
developed is applied then to the gravitational radiation of compact binary
stars. Our result for the spin-orbit correction differs from that obtained by
other authors. New effects possible for the motion of a spinning particle in a
gravitational field are pointed out. The corresponding corrections, nonlinear
in spin, are in principle of the same order of magnitude as the ordinary
spin-spin interaction.
","[{""version"":""v1"",""created"":""Thu, 1 Feb 1996 21:50:06 GMT""}]","2009-10-28"
"gr-qc/9602005",,"A. Chamorro and K. S. Virbhadra","Energy of a spherically symmetric charged dilaton black hole","3 pages, LaTex, Published in ""Inhomogeneous Cosmological Models"",
  (Eds. A Molina and J M M Senovilla, World Scientific, Singapore 1995), Pages
  230-232",,,,"gr-qc astro-ph hep-th",,"  The energy associated with a static and spherically symmetric charged dilaton
black hole is obtained for arbitrary value of the coupling parameter (which
regulates the strength of the coupling of the dilaton to the Maxwell field)
$\beta$. The energy distribution depends on $\beta$, whereas the total energy
is independent of this and is given by the mass parameter of the black hole.
","[{""version"":""v1"",""created"":""Fri, 2 Feb 1996 08:37:00 GMT""}]","2007-05-23"
"hep-lat/9602002","Takayuki Nakajima","Takayuki Nakajima","The Continuum Limit of One-Dimensional Quantum Regge Calculus with
  Massive Bosons","An error in refference list is corrected",,,"UT-705","hep-lat",,"  The most essential problems in Regge calculus discretization are the
definitions of the partition function and the integral measure for
link--length. In recent work, by considering the one--dimensional case, it was
suggested that we should define the partition function in a certain form. But
in that work, the model which authors used was over simplified hence the
conclusions may be unreliable. To confirm their claim, we consider a case that
is more realistic.
","[{""version"":""v1"",""created"":""Fri, 2 Feb 1996 11:59:11 GMT""},{""version"":""v2"",""created"":""Tue, 6 Feb 1996 09:19:50 GMT""}]","2008-02-03"
