"adap-org/9602001","Yuhai Tu","G. Grinstein, M.A. Mu\~noz, and Yuhai Tu","Phase Structure of Systems with Multiplicative Noise","2 figures, submitted to PRL",,"10.1103/PhysRevLett.76.4376",,"adap-org cond-mat nlin.AO",,"  The phase diagrams and transitions of nonequilibrium systems with
multiplicative noise are studied theoretically. We show the existence of both
strong and weak-coupling critical behavior, of two distinct active phases, and
of a nonzero range of parameter values over which the susceptibility is
infinite in any dimension. A scaling theory of the strong-coupling transition
is constructed.
","[{""version"":""v1"",""created"":""Mon, 5 Feb 1996 21:25:09 GMT""}]","2016-08-16"
"cond-mat/9602022","Stefan Kehrein","Stefan Kehrein and Andreas Mielke","On the spin--boson model with a sub--Ohmic bath","9 pages, 2 Postscript figures",,"10.1016/0375-9601(96)00475-6","HD-TVP-96-2","cond-mat",,"  We study the spin--boson model with a sub--Ohmic bath using infinitesimal
unitary transformations. Contrary to some results reported in the literature we
find a zero temperature transition from an untrapped state for small coupling
to a trapped state for strong coupling. We obtain an explicit expression for
the renormalized level spacing as a function of the bare papameters of the
system. Furthermore we show that typical dynamical equilibrium correlation
functions exhibit an algebaric decay at zero temperature.
","[{""version"":""v1"",""created"":""Mon, 5 Feb 1996 16:22:03 GMT""}]","2009-10-28"
"cond-mat/9602023","Maya Paczuski","Peter B. Thomas and Maya Paczuski (BNL)","Avalanche Dynamics of Crack Propagation and Contact Line Depinning","9 pages, uuencoded with 5 Figures. Send comments to
  maya@cmt1.phy.bnl.gov",,,,"cond-mat",,"  A model for crack propagation and contact line depinning is studied. Although
the model contains nonlocal interactions, it obeys general scaling relations
for depinning via localized bursts or avalanches. Our numerical result for the
roughness exponent in one dimension, $\chi=0.49 \pm 0.05$, agrees with recent
experiments on cracks measuring the in-plane roughness $\chi \simeq 0.5 - 0.6$,
as well as mean field arguments giving $\chi=1/2$, but is significantly higher
than the functional renormalization group prediction $\chi = 1/3$.
","[{""version"":""v1"",""created"":""Mon, 5 Feb 1996 16:25:12 GMT""}]","2007-05-23"
"cond-mat/9602024","Anton Bovier","Anton Bovier, Veronique Gayrard, Pierre Picco","Distribution of overlap profiles in the one-dimensional Kac-Hopfield
  model","64pp, Plain TeX",,"10.1007/s002200050112",,"cond-mat",,"  We study a one-dimensional version of the Hopfield model with long, but
finite range interactions below the critical temperature. In the thermodynamic
limit we obtain large deviation estimates for the distribution of the ``local''
overlaps, the range of the interaction, $\gamma^{-1}$, being the large
parameter. We show in particular that the local overlaps in a typical Gibbs
configuration are constant and equal to one of the mean-field equilibrium
values on a scale $o(\g^{-2})$. We also give estimates on the size of typical
``jumps''. i.e. the regions where transitions from one equilibrium value to
another take place. Contrary to the situation in the ferromagnetic Kac-model,
the structure of the profiles is found to be governed by the quenched disorder
rather than by entropy.
","[{""version"":""v1"",""created"":""Tue, 6 Feb 1996 08:35:24 GMT""}]","2009-10-28"
"cond-mat/9602025",,"Kazuo Hida (Dept. Physics, Saitama University)","Density Matrix Renormalization Group Method for the Random Quantum
  One-Dimensional Systems - Application to the Random Spin-1/2
  Antiferromagnetic Heisenberg Chain -","13 pages, 3 figures upon request","J. Phys. Soc. Jpn. 65 (1996) 895.","10.1143/JPSJ.65.895","SUPH-96-CH001","cond-mat",,"  The density matrix renormalization group method is generalized to one
dimensional random systems. Using this method, the energy gap distribution of
the spin-1/2 random antiferromagnetic Heisenberg chain is calculated. The
results are consistent with the predictions of the renormalization group theory
demonstrating the effectiveness of the present method in random systems. The
possible application of the present method to other random systems is
discussed.
","[{""version"":""v1"",""created"":""Tue, 6 Feb 1996 09:59:02 GMT""}]","2009-10-28"
"cond-mat/9602026","Sebastian Eggert","Sebastian Eggert (Chalmers TH, Gothenburg, Sweden)","Numerical Evidence for Multiplicative Logarithmic Corrections from
  Marginal Operators","revised paper with extended data-analysis. 5 pages, using revtex with
  4 embedded figures (included with macro). A complete postscript file with all
  figures + text (5 pages) is available from
  http://FY.CHALMERS.SE/~eggert/marginal.ps or by request from
  eggert@fy.chalmers.se","Phys.Rev. B54 (1996) 9612","10.1103/PhysRevB.54.R9612",,"cond-mat hep-th nucl-th",,"  Field theory calculations predict multiplicative logarithmic corrections to
correlation functions from marginally irrelevant operators. However, for the
numerically most suitable model - the spin-1/2 chain - these corrections have
been controversial. In this paper, the spin-spin correlation function of the
antiferromagnetic spin-1/2 chain is calculated numerically in the presence of a
next nearest neighbor coupling J2 for chains of up to 32 sites. By varying the
coupling strength J2 we can control the effect of the marginal operator, and
our results unambiguously confirm the field theory predictions. The critical
value at which the marginal operator vanishes has been determined to be at J2 =
0.241167 +/- 0.000005J.
","[{""version"":""v1"",""created"":""Tue, 6 Feb 1996 10:34:52 GMT""},{""version"":""v2"",""created"":""Tue, 28 May 1996 11:25:24 GMT""}]","2009-10-28"
"cond-mat/9602027","Masaru Inaba","M. Inaba, H. Matsukawa, M. Saitoh and H. Fukuyama","N\'eel and singlet RVB orders in the t-J model","RevTeX, 8 pages, 1 postscript figure. To appear in Physica C, Volume
  257, issue 384",,"10.1016/0921-4534(95)00763-6","OUCMT-96-3","cond-mat",,"  The N\'eel and the singlet RVB orders of the {\it t-J} model in a 2D square
lattice are studied in the slave-boson mean-field approximation. It is shown
that the N\'eel order parameter takes the maximum value at the finite
temperature and disappear at the lower temperature for a certain range of
doping. It is also shown that the N\'eel and the singlet RVB orders coexist at
low temperature. This suggests the possibility of the coexistence of the N\'eel
and the superconducting orders.
","[{""version"":""v1"",""created"":""Tue, 6 Feb 1996 12:31:29 GMT""}]","2009-10-28"
"cond-mat/9602028","Subir Sachdev","Subir Sachdev and T. Senthil (Yale University)","Zero temperature phase transitions in quantum Heisenberg ferromagnets","45 pages, REVTEX 3.0, 5 EPS figures","Annals of Physics, 251, 76 (1996).","10.1006/aphy.1996.0108",,"cond-mat",,"  The purpose of this work is to understand the zero temperature phases, and
the phase transitions, of Heisenberg spin systems which can have an extensive,
spontaneous magnetic moment; this entails a study of quantum transitions with
an order parameter which is also a non-abelian conserved charge. To this end,
we introduce and study a new class of lattice models of quantum rotors. We
compute their mean-field phase diagrams, and present continuum, quantum
field-theoretic descriptions of their low energy properties in different
regimes. We argue that, in spatial dimension $d=1$, the phase transitions in
itinerant Fermi systems are in the same universality class as the corresponding
transitions in certain rotor models. We discuss implications of our results for
itinerant fermions systems in higher $d$, and for other physical systems.
","[{""version"":""v1"",""created"":""Tue, 6 Feb 1996 14:44:32 GMT""}]","2009-10-28"
"cond-mat/9602029","Kontani Hiroshi","Hiroshi Kontani and Kosaku Yamada","Magnetic Susceptibility of the Orbitally Degenerate (J= 5/2) Periodic
  Anderson Model - Analysis on the Basis of the Fermi Liquid Theory","to be published in J. Phys. Soc. Jpn",,"10.1143/JPSJ.65.172",,"cond-mat",,"  In the orbitally degenerate ($J=5/2$) Periodic Anderson Model, the magnetic
susceptibility is composed of both the Pauli term and the Van Vleck term, as is
well known. The former is strongly enhanced by the strong correlation between
$f$-electrons. But, for the latter, the influence of the strong correlation has
been obscure for years. In this paper we give the solution of the longstanding
problem. With the aid of the $d=\infty$ approximation, we study this problem on
the basis of the Fermi liquid theory with degenerate orbitals, taking account
of all the vertex corrections in a consistent way. As a result, we obtain the
simple expression for the magnetic susceptibility, and show unambiguously that
the Van Vleck term is also highly enhanced} in the strong correlation regime.
This fact explains naturally the enhanced magnetic susceptibility observed in
many insulating systems (i.e., Kondo insulator). Moreover, we show that the
Wilson ratio takes a value around 1 in the metallic system, in good agreement
with experiments.
","[{""version"":""v1"",""created"":""Tue, 6 Feb 1996 15:10:17 GMT""}]","2009-10-28"
"gr-qc/9602008","Jarmo M. Makela","Jarmo Makela (DAMTP, Cambridge)","Schroedinger Equation of the Schwarzschild Black Hole","15 pages",,,,"gr-qc",,"  We describe the gravitational degrees of freedom of the Schwarzschild black
hole by one free variable. We introduce an equation which we suggest to be the
Schroedinger equation of the Schwarzschild black hole corresponding to this
model. We solve the Schroedinger equation explicitly and obtain the mass
spectrum of the black hole as such as it can be observed by an observer very
far away and at rest relative to the black hole. Our equation implies that
there is no singularity inside the Schwarzschild black hole, and that the black
hole has a certain ground state in which its mass is non-zero.
","[{""version"":""v1"",""created"":""Mon, 5 Feb 1996 16:14:16 GMT""}]","2007-05-23"
"gr-qc/9602009","Carlos Lousto","A.L.Larsen (U.Alberta) and C.O.Lousto (U.Utah)","On the Stability of Spherical Membranes in Curved Spacetimes","16 pages, RevTeX. 2 Compressed PS figures","Nucl.Phys.B472:361-376,1996","10.1016/0550-3213(96)00209-X","Alberta-Thy-03-96","gr-qc astro-ph hep-th",,"  We study the existence and stability of spherical membranes in curved
spacetimes. For Dirac membranes in the Schwarzschild--de Sitter background we
find that there exists an equilibrium solution. By fine--tuning the
dimensionless parameter $\Lambda M^2,$ the static membrane can be at any
position outside the black hole event horizon, even at the stretched horizon,
but the solution is unstable. We show that modes having $l=0$ (and for $\Lambda
M^2<16/243$ also $l=1$) are responsible for the instability. We also find that
spherical higher order membranes (membranes with extrinsic curvature
corrections), contrary to what happens in flat Minkowski space, {\it do} have
equilibrium solutions in a general curved background and, in particular, also
in the ``plain'' Schwarzschild geometry (while Dirac membranes do not have
equilibrium solutions there). These solutions, however, are also unstable. We
shall discuss a way of by--passing these instability problems, and we also
relate our results to the recent ideas of representing the black hole event
horizon as a relativistic bosonic membrane.
","[{""version"":""v1"",""created"":""Tue, 6 Feb 1996 00:37:45 GMT""}]","2010-11-19"
"gr-qc/9602010","Int. Lab. HTSC and Sse","Sergiu I. Vacaru and Sergiu V. Ostaf","Twistors and Nearly Autoparallel Maps","21 pages, latex, to be published in Rep. Math. Phys","Rept.Math.Phys. 37 (1996) 309-324","10.1016/0034-4877(96)84070-5",,"gr-qc dg-ga hep-th math.DG",,"  In this work a proposal for definition of twistors on generic curved spaces
is exposed and investigated. We consider superpositions of nearly autoparallel
and nearly geodesic maps (nearly conformal maps, nc-maps) of
(pseudo-)Riemannian spaces as generalizations of conformal transforms. We
introduce the nearly autoparallel twistor equations being compatible on nc-flat
spaces and study nearly autoparallel twistor structures generating curved
spaces and vacuum Einstein equations.
","[{""version"":""v1"",""created"":""Tue, 6 Feb 1996 09:37:10 GMT""}]","2009-10-28"
"hep-lat/9602003","Jochen Fingberg","Jochen Fingberg (Wuppertal), Janos Polonyi (Strasbourg, Budapest)","Anti-Ferromagnetic Condensate in Yang-Mills Theory","26 pages of LaTeX with 8 PostScript figures, uses elsart style file,
  new version accepted for publication in Nucl. Phys. B","Nucl.Phys. B486 (1997) 315-338","10.1016/S0550-3213(96)00649-9",,"hep-lat hep-ph hep-th",,"  SU(2) gauge theory with competing interactions is shown to possess a rich
phase structure with anti-ferromagnetic vacua. It is argued that the phase
boundaries persist in the weak coupling limit suggesting the existence of
different renormalized continuum theories for QCD.
","[{""version"":""v1"",""created"":""Mon, 5 Feb 1996 16:04:13 GMT""},{""version"":""v2"",""created"":""Thu, 21 Nov 1996 10:50:01 GMT""}]","2009-10-28"
"hep-lat/9602004",,"Jeffrey E. Mandula (Department of Energy) and Michael C. Ogilvie
  (Washington University, St. Louis)","Renormalization of the Classical Velocity in the Lattice Heavy Quark
  Effective Theory","31 pages, postscript, including 8 figures; Single postscript file,
  compressed with gzip and uuencoded and using uufiles; TeX file not available",,,,"hep-lat",,"  In the lattice formulation of the Heavy Quark Effective Theory (LHQET), the
classical velocity becomes renormalized. The origin of this renormalization is
the reduction of Lorentz (or O(4)) invariance to (hyper)cubic invariance. The
renormalization is finite, depends on the form of the discretization of the
reduced heavy quark Dirac equation, and can persist down to zero lattice
spacing. For the Forward Time - Centered Space discretization, the
renormalization is computed both perturbatively, to one loop, and
non-perturbatively using an ensemble of lattices provided by the Fermilab
ACP-MAPS collaboration. The estimates of the leading multiplicative shift agree
reasonably well, and indicate that to first order, the classical velocity is
reduced by about 20-25%.
","[{""version"":""v1"",""created"":""Mon, 5 Feb 1996 19:36:08 GMT""}]","2007-05-23"
"hep-lat/9602005","Harry B. Thacker","A. Duncan, E. Eichten, and H. Thacker","Electromagnetic Splittings and Light Quark Masses in Lattice QCD",,"Phys.Rev.Lett. 76 (1996) 3894-3897","10.1103/PhysRevLett.76.3894",,"hep-lat hep-ph",,"  A method for computing electromagnetic properties of hadrons in lattice QCD
is described and preliminary numerical results are presented. The
electromagnetic field is introduced dynamically, using a noncompact
formulation. Employing enhanced electric charges, the dependence of the
pseudoscalar meson mass on the (anti)quark charges and masses can be accurately
calculated. At $\beta=5.7$ with Wilson action, the $\pi^+-\pi^0$ splitting is
found to be $4.9(3)$ MeV. Using the measured $K^0-K^+$ splitting, we also find
$m_u/m_d = .512(6)$. Systematic errors are discussed.
","[{""version"":""v1"",""created"":""Tue, 6 Feb 1996 03:18:24 GMT""}]","2009-10-28"
"hep-lat/9602006","Owe Philipsen","O.Philipsen, M.Teper and H.Wittig","On the Mass Spectrum of the SU(2) Higgs Model in 2+1 Dimensions","30 pages LATEX, uses epsf.sty","Nucl.Phys. B469 (1996) 445-472","10.1016/0550-3213(96)00156-3","OUTP-95-40P, DESY-96-017","hep-lat hep-ph",,"  We calculate the masses of the low-lying states with quantum numbers
$J^{PC}=0^{++},1^{--}$ in the Higgs and confinement regions of the
three-dimensional SU(2) Higgs model, which plays an important r\^ole in the
description of the thermodynamic properties of the standard model at finite
temperatures. We extract the masses from correlation functions of
gauge-invariant operators which are calculated by means of a lattice Monte
Carlo simulation. The projection properties of our lattice operators onto the
lowest states are greatly improved by the use of smearing techniques. We also
consider cross correlations between various operators with the same quantum
numbers. From these the mass eigenstates are determined by means of a
variational calculation. In the symmetric phase, we find that some of the
ground state masses are about 30\% lighter than those reported from previous
simulations. We also obtain the masses of the first few excited states in the
symmetric phase. Remarkable among these is the occurrence of a $0^{++}$ state
composed almost entirely of gauge degrees of freedom. The mass of this state,
as well as that of its first excitations, is nearly identical to the
corresponding glueball states in three-dimensional SU(2) pure gauge theory,
indicating an approximate decoupling of the pure gauge sector from the Higgs
sector of the model. We perform a detailed study of finite size effects and
extrapolate the lattice mass spectrum to the continuum.
","[{""version"":""v1"",""created"":""Tue, 6 Feb 1996 14:20:00 GMT""}]","2009-10-28"
