"astro-ph/9602115","Martin Pohl","M. Pohl","Leptonic origin of TeV gamma-rays from Supernova Remnants","3 pages, accepted as Letter in A&A","Astron.Astrophys.307:L57-L59,1996",,,"astro-ph",,"  The lineless power-law emission observed by ASCA from the northeastern rim of
the supernova remnant SN1006 has recently been interpreted as synchrotron
radiation of electrons with energies around 100 TeV. In this letter we
calculate the flux of inverse Compton emission at TeV photon energies that is a
natural consequence of the existence of such high energy electrons and the
cosmic microwave background. We find that the predicted flux is near the
present sensitivity limit of the southern \v Cerenkov telescope CANGAROO, and
should be detectable with the next performance improvements. The spectrum of
SN1006 at a few TeV will be very soft. The existence of such highest energy
electrons in SN1006 may not be a unique to this remnant. We can therefore
conclude that the detection of TeV $\gamma$-ray emission in any supernova
remnant does not necessarily provide evidence for a large number of cosmic ray
nucleons in these objects, and thus is no simple test of cosmic ray origin as
far as nucleons are concerned.
","[{""version"":""v1"",""created"":""Thu, 22 Feb 1996 16:23:55 GMT""}]","2011-05-23"
"astro-ph/9602126","Gregory Shields","Gregory A. Shields (University of Texas at Austin)","The Extraordinary Abundances of QSO Broad Absorption Line Regions: A
  Matter of Novae?","9 pages including 1 Postscript figure. Uses aaspp4.sty and
  flushrt.sty. Uuencoded, gzipped tarfile. To appear in Astrophys. J.
  (Letters), 1996 April 10",,"10.1086/310001",,"astro-ph",,"  The broad absorption lines (BALs) of QSOs indicate abundances of heavy
elements, relative to hydrogen, that are 1 to 2 orders of magnitude higher than
the solar values. In at least one QSO, an especially large enhancement of
phosphorus is observed. These abundances resemble those in Galactic novae, and
this suggests that novae may produce the BAL gas. The needed rate of nova
outbursts may come from single white dwarfs that accrete gas as they pass
through a supermassive accretion disk around a central black hole.
","[{""version"":""v1"",""created"":""Fri, 23 Feb 1996 15:18:28 GMT""}]","2009-10-28"
"atom-ph/9602001","Martin Maul","M. Maul, A. Sch\""afer, W. Greiner (Institut f\""ur Theoretische Physik,
  Johann Wolfgang Goethe-Universit\""at, Frankfurt am Main, Germany) P.
  Indelicato (Laboratoire de Physique Atomique et Nucl\'eaire, Unit\'e de
  Recherche soci\'ee au CNRS no. 771, Universit\'e Pierre et Marie Curie,
  Paris, France)","Prospects for Parity Non-conservation Experiments with Highly Charged
  Heavy Ions","32 pages",,"10.1103/PhysRevA.53.3915","UFTP preprint 408/1996","atom-ph physics.atom-ph",,"  We discuss the prospects for parity non-conservation experiments with highly
charged heavy ions. Energy levels and parity mixing for heavy ions with two to
five electrons are calculated. We investigate two-photon-transitions and the
possibility to observe interference effects between weak-matrix elements and
Stark matrix elements for periodic electric field configurations.
","[{""version"":""v1"",""created"":""Fri, 23 Feb 1996 10:36:33 GMT""}]","2016-08-15"
"chao-dyn/9602020","Marco Lenci","Marco Lenci","Escape Orbits for Non-Compact Flat Billiards","9 pages, LaTeX, 3 postscript figures available at
  http://www.princeton.edu/~marco/papers/ . Minor changes since previously
  posted version. Submitted to 'Chaos'","Chaos 6 (1996), no. 3, 428-431","10.1063/1.166173",,"chao-dyn nlin.CD",,"  It is proven that, under some conditions on $f$, the non-compact flat
billiard $\Omega = \{ (x,y) \in \R_0^{+} \times \R_0^{+};\ 0\le y \le f(x) \}$
has no orbits going {\em directly} to $+\infty$. The relevance of such
sufficient conditions is discussed.
","[{""version"":""v1"",""created"":""Fri, 23 Feb 1996 03:40:27 GMT""},{""version"":""v2"",""created"":""Mon, 15 Apr 1996 21:24:23 GMT""}]","2008-02-03"
"cond-mat/9602122","Antonio M. Cadilhe","Antonio M.R. Cadilhe, Vladimir Privman (Clarkson University, USA)","Exact Solution of an Irreversible One-Dimensional Model with Fully
  Biased Spin Exchanges","16 pages, plain TeX file","Int. J. Modern Phys. B 10, 3451-3459 (1996)","10.1142/S0217979296001847",,"cond-mat",,"  We introduce a model with conserved dynamics, where nearest neighbor pairs of
spins $\uparrow \downarrow (\downarrow \uparrow)$ can exchange to assume the
configuration $\downarrow \uparrow (\uparrow \downarrow)$, with rate $\beta
(\alpha)$, through energy decreasing moves only. We report exact solution for
the case when one of the rates, $\alpha$ or $\beta$, is zero. The
irreversibility of such dynamics results in strong dependence on the initial
conditions. Domain wall arguments suggest that for more general models with
steady states the dynamical critical exponent for the anisotropic spin exchange
is different from the isotropic value.
","[{""version"":""v1"",""created"":""Thu, 22 Feb 1996 18:11:55 GMT""}]","2010-10-12"
"cond-mat/9602123","Vipul Periwal","Vipul Periwal","Critical theory of turbulence in incompressible fluids","6 pages, plain TeX",,,"PUPT-1596","cond-mat hep-th",,"  The Navier-Stokes equation describes the deterministic evolution of
incompressible fluids. The effects of random initial conditions on solutions of
this equation are studied. It is shown that there is an infrared stable fixed
point accessible within the epsilon expansion, about $d_c=4,$ with a particular
choice of viscosity. The behaviour of the usual viscous fluid is obtained as a
relevant perturbation about this fixed point, with the usual viscosity serving
as $T-T_c.$
","[{""version"":""v1"",""created"":""Thu, 22 Feb 1996 21:19:58 GMT""}]","2007-05-23"
"cond-mat/9602124","Carsten Timm","Carsten Timm (I. Inst. f. Theoretische Physik, Universit\""at Hamburg)","Generalization of the Berezinskii-Kosterlitz-Thouless theory to higher
  vortex densities","14 pages, LaTeX, 3 Postscript figures (to appear in Physica C)","Physica C 265, 31 (1996)","10.1016/0921-4534(96)00177-3",,"cond-mat",,"  The Berezinskii-Kosterlitz-Thouless theory for superfluid films is
generalized in a straightforward way that (a) corrects for overlapping
vortex-antivortex pairs at high pair density and (b) utilizes a dielectric
approximation for the polarization of the vortex system and a local field
correction. Generalized Kosterlitz equations are derived, containing higher
order terms, which are compared with earlier predictions. These terms cause the
total pair density to remain finite for temperatures above the transition so
that it is not necessary to introduce an ad hoc cut-off, as opposed to the
original Berezinskii-Kosterlitz-Thouless theory. The low-temperature bound pair
phase is destabilized for small vortex core energy. The behaviour of the
stiffness constant and of the correlation length close to the transition is not
affected by the higher order terms. A first-order transition as suggested by
other authors is not found for any values of the parameters. The pair density
is calculated for temperatures below and above the transition. Possible
experiments and the applicability of the extended approach are discussed. The
approach is found to be applicable even in a significant temperature range
above the transition.
","[{""version"":""v1"",""created"":""Fri, 23 Feb 1996 15:04:46 GMT""}]","2009-10-28"
"cond-mat/9602127","Francisco Dominguez-Adame Acosta","Francisco Dominguez-Adame and Enrique Macia","Fluorescence decay in aperiodic Frenkel lattices","REVTeX 3.0 + 3PostScript Figures + epsf.sty (uuencoded). To appear in
  Physical Review B",,"10.1103/PhysRevB.53.13921","FIMAT-3/96","cond-mat",,"  We study motion and capture of excitons in self-similar linear systems in
which interstitial traps are arranged according to an aperiodic sequence,
focusing our attention on Fibonacci and Thue-Morse systems as canonical
examples. The decay of the fluorescence intensity following a broadband pulse
excitation is evaluated by solving the microscopic equations of motion of the
Frenkel exciton problem. We find that the average decay is exponential and
depends only on the concentration of traps and the trapping rate. In addition,
we observe small-amplitude oscillations coming from the coupling between the
low-lying mode and a few high-lying modes through the topology of the lattice.
These oscillations are characteristic of each particular arrangement of traps
and they are directly related to the Fourier transform of the underlying
lattice. Our predictions can be then used to determine experimentally the
ordering of traps.
","[{""version"":""v1"",""created"":""Fri, 23 Feb 1996 15:27:40 GMT""}]","2009-10-28"
"gr-qc/9602043","Steven Corley","S. Corley and T. Jacobson","Focusing and the Holographic Hypothesis","8 pages, plain latex, 5 figures included using psfig","Phys.Rev.D53:6720-6724,1996","10.1103/PhysRevD.53.R6720","THU-96/11","gr-qc hep-th",,"  The ``screen mapping"" introduced by Susskind to implement 't Hooft's
holographic hypothesis is studied. For a single screen time, there are an
infinite number of images of a black hole event horizon, almost all of which
have smaller area on the screen than the horizon area. This is consistent with
the focusing equation because of the existence of focal points. However, the
{\it boundary} of the past (or future) of the screen obeys the area theorem,
and so always gives an expanding map to the screen, as required by the
holographic hypothesis. These considerations are illustrated with several
axisymmetric static black hole spacetimes.
","[{""version"":""v1"",""created"":""Thu, 22 Feb 1996 17:18:43 GMT""}]","2009-12-30"
"gr-qc/9602044",,"Vicen\c{c} Mendez and Josep Triginer","Qualitative Analysis of Causal Cosmological Models","RevTeX file, 23 pages. Accepted for publication in J. Math. Phys","J.Math.Phys.37:2906-2919,1996","10.1063/1.531546",,"gr-qc",,"  The Einstein's field equations of Friedmann-Robertson-Walker universes filled
with a dissipative fluid described by both the {\em truncated} and {\em
non-truncated} causal transport equations are analyzed using techniques from
dynamical systems theory. The equations of state, as well as the phase space,
are different from those used in the recent literature. In the de Sitter
expansion both the hydrodynamic approximation and the non-thermalizing
condition can be fulfilled simultaneously. For $\Lambda=0$ these expansions
turn out to be stable provided a certain parameter of the fluid is lower than
1/2. The more general case $\Lambda>0$ is studied in detail as well.
","[{""version"":""v1"",""created"":""Fri, 23 Feb 1996 14:18:40 GMT""}]","2008-11-26"
"gr-qc/9602045","I. Racz","I. Racz and J. Zsigrai","Generating new perfect-fluid solutions from known ones","A new derivation of all Petrov type D stationary axisymmetric rigidly
  rotating perfect-fluid solutions with an equation of state $\rho+3p=constant$
  is added. Plain TeX, 15 pages","Class.Quant.Grav. 13 (1996) 2783-2796","10.1088/0264-9381/13/10/015",,"gr-qc",,"  Stationary perfect-fluid configurations of Einstein's theory of gravity are
studied. It is assumed that the 4-velocity of the fluid is parallel to the
stationary Killing field, and also that the norm and the twist potential of the
stationary Killing field are functionally independent. It has been pointed out
earlier by one of us (I.R.) that for these perfect-fluid geometries some of the
basic field equations are invariant under an $SL(2,R)$ transformation. Here it
is shown that this transformation can be applied to generate possibly new
perfect-fluid solutions from existing known ones only for the case of
barotropic equation of state $\rho+3p=0$. In order to study the effect of this
transformation, its application to known perfect-fluid solutions is presented.
In this way, different previously known solutions could be written in a singe
compact form. A new derivation of all Petrov type D stationary axisymmetric
rigidly rotating perfect-fluid solutions with an equation of state
$\rho+3p=constant$ is given in an appendix.
","[{""version"":""v1"",""created"":""Fri, 23 Feb 1996 13:55:56 GMT""},{""version"":""v2"",""created"":""Fri, 22 Nov 1996 14:33:15 GMT""}]","2009-10-28"
"hep-ex/9602007","Ralph Eichler","S. Aid, et al. (H1 Collaboration)","Elastic Electroproduction of $\rh0$ and $J/\Psi$ Mesons at large $Q^2$
  at HERA","29 pages, latex, 7 Figures appended as uuencoded file","Nucl.Phys.B468:3-36,1996","10.1016/0550-3213(96)00192-7","DESY 96-023","hep-ex",,"  The total cross sections for the elastic electroproduction of $\rh0$ and
$J/\Psi$ mesons for $Q^2$ $>$ 8 GeV$^2$ and $<W > \simeq 90$ GeV/c$^2$ are
measured at HERA with the H1 detector. The measurements are for an integrated
electron$-$proton luminosity of $\simeq$~3~pb$^{-1}$. The dependences of the
total virtual photon$-$proton ($\gamma^* p$) cross sections on $Q^2$, $W$ and
the momentum transfer squared to the proton ($t$), and, for the $\rho$, the
dependence on the polar decay angle ($\cos \theta^*$), are presented. The
$J/\Psi$ : $\rh0$ cross section ratio is determined. The results are discussed
in the light of theoretical models and of the interplay of hard and soft
physics processes.
","[{""version"":""v1"",""created"":""Fri, 23 Feb 1996 14:36:36 GMT""}]","2008-11-26"
"hep-ph/9602370","Manuel Malheiro","M. Malheiro (Department of Physics, University of Maryland at College
  Park, USA), Mira Dey (Instituto de Fisica Teorica, UNESP, Brasil), A. Delfino
  (Universidade Federal Fluminense, Brasil), and Jishnu Dey(Instituto
  Tecnologico da Aeronautica, CTA, Brasil)","The connection between the nuclear matter mean-field equation of state
  and the quark and gluon condensates at high density","10 pages latex file, 3 Postscript figures after being uncompressed.
  Submitted to Phys. Rev. Lett","Phys.Rev.C55:521-524,1997","10.1103/PhysRevC.55.521",,"hep-ph nucl-th",,"  It is known now that chiral symmetry restoration requires the meson-nucleon
coupling to be density dependent in nuclear-matter mean-field models. We
further show that quite generally, the quark and gluon condensates in medium
are related to the trace of energy-momentum tensor of nuclear matter and in
these models the incompressibility, K, must be less than thrice the chemical
potential, $\mu$. In the critical density $\rho _c$, the gluon condensate is
only reduced by $20\%$ indicating a larger effective nucleon mass.
","[{""version"":""v1"",""created"":""Thu, 22 Feb 1996 18:41:25 GMT""}]","2008-11-26"
"hep-ph/9602371","Ina Sarcevic","Raj Gandhi, Chris Quigg, M. H. Reno and Ina Sarcevic","New Predictions for Neutrino Telescope Event Rates","Talk presented by I. Sarcevic at the VIth International Workshop on
  Theoretical Aspects of Underground Physics, Toledo, Spain, September 17-21,
  1995, 3 pp","Nucl.Phys.Proc.Suppl.48:475-477,1996","10.1016/0920-5632(96)00295-2","University of Arizona preprint, AZPH-TH/96-02","hep-ph",,"  Recent measurements of the small-$x$ deep-inelastic regime at HERA translate
to new expectations for the neutrino-nucleon cross section at ultrahigh
energies. We present event rates for large underground neutrino telescopes
based on the new cross section for a variety of models of neutrino production
in Active Galactic Nuclei, and we compare these rates with earlier cross
section calculations.
","[{""version"":""v1"",""created"":""Thu, 22 Feb 1996 17:06:19 GMT""}]","2009-05-05"
"hep-ph/9602372","Valera Lyubovitskij","M.A.Ivanov (PSI, Villigen & JINR, Dubna), M.P.Locher (PSI, Villigen),
  V.E.Lyubovitskij (PSI, Villigen & JINR, Dubna & Tomsk U.)","Electromagnetic form factors of nucleons in a relativistic three-quark
  model","23 pages, Postscript File, 7 Figures, 3 Tables","FewBodySyst.21:131,1996","10.1007/s006010050044","PSI-PR-96-08","hep-ph",,"  We report the calculation of electromagnetic form factors of nucleons within
a relativistic three-quark model with Gaussian shape for the nucleon-quark
vertex. The allowed region for two adjustable parameters, the range parameter
$\Lambda_N$ in the Gaussian and the constituent quark mass $m_q$, is obtained
from fitting the data for magnetic moments and electromagnetic radii of
nucleons. The shapes of electric and magnetic nucleon form factors calculated
in this approach with the central parameters $m_q$=420 MeV and $\Lambda_N$=1.25
GeV are close to the data for momentum transfers $0\le Q^2\le 1$ GeV$^2$
","[{""version"":""v1"",""created"":""Thu, 22 Feb 1996 21:09:52 GMT""}]","2008-11-26"
