"alg-geom/9604005","Carlos Simpson","Carlos Simpson","The Hodge filtration on nonabelian cohomology","LaTeX",,,,"alg-geom math.AG",,"  This is partly a survey article on nonabelian Hodge theory, but we also give
proofs of results that have only been announced elsewhere. In the introduction
we discuss a wide range of recent work on this subject and give some
references. In the body of the paper, we discuss Corlette's nonabelian Hodge
theorem, Hitchin's quaternionic structure on the moduli space of
representations of $\pi _1(X)$ (for a compact K\""ahler manifold $X$), and
Deligne's construction of the resulting twistor space. We then mention the
interpretation of Deligne's space of $\lambda$-connections as the Hodge
filtration of the nonabelian de Rham cohomology $M_{DR}(X,G)= H^1(X,G)$. We go
on to prove several properties of this Hodge filtration, such as Griffiths
transversality and regularity of the Gauss-Manin connection; a local triviality
property coming from Goldman and Millson's analysis of the singularities; and a
weight property coming from Langton's theory. We construct a compactification
of $M_{DR}$ using the Hodge filtration with its weight property. At the end, we
define a nonabelian version of the Noether-Lefschetz locus, and prove that it
is algebraic if the base of the fibration is compact. We pose the open problem
of studying degenerations of nonabelian Hodge structure sufficiently well to be
able to prove algebraicity of the Noether-Lefshetz locus even when the base is
quasiprojective.
","[{""version"":""v1"",""created"":""Thu, 4 Apr 1996 10:22:17 GMT""}]","2008-02-03"
"cond-mat/9604018","Martin Garcia","M. E. Garcia, D. Reichardt and K. H. Bennemann","Theory for the Nonlinear Ultrafast Dynamics of Small Clusters after
  Ionization","11 pages, Revtex, 3 postscript figures",,,,"cond-mat",,"  The ultrafast relaxation of small clusters immediately after ionization is
studied. For small Hg$_n$ clusters we determine the fragmentation-time
distributions induced by ionization. A dramatic change of the fragmentation
behaviour occurs when the temperature before ionization reaches the melting
point of the neutral clusters. The ultrafast dynamics depends nonlinearly on
initial conditions regarding atomic positions and velocities. The resultant
largest Lyapunov exponent increases strongly upon ionization.
","[{""version"":""v1"",""created"":""Wed, 3 Apr 1996 18:02:58 GMT""}]","2007-05-23"
"cond-mat/9604019","Gonzalo Usaj","Horacio M. Pastawski, Patricia R. Levstein and Gonzalo Usaj","Quantum Dynamical Echoes in the Spin 'Diffusion' in Mesoscopic Systems","4 pages, Revtex, 3 Figures available upon request","Phys. Rev. Lett. 75, 4310 (1995)","10.1103/PhysRevLett.75.4310",,"cond-mat",,"  The evolution of local spin polarization in finite systems involves
interference phenomena that give rise to {\bf quantum dynamical echoes }and
non-ergodic behavior. We predict the conditions to observe these echoes by
exploiting the NMR sequences devised by Zhang et al. [Phys. Rev. Lett. {\bf %
69}, 2149 (1992)], which uses a rare $^{13}$C as {\bf local probe }for a
dipolar coupled $^1$H spin system. The non-ideality of this probe when testing
mesoscopic systems is carefully analyzed revealing the origin of various
striking experimental features.
","[{""version"":""v1"",""created"":""Wed, 3 Apr 1996 21:30:07 GMT""}]","2009-10-28"
"cond-mat/9604020","Berezhiani Vazha","V.I. Berezhiani and S.M. Mahajan","Beat-wave generation of plasmons in semiconductor plasmas","11 pages, LaTex, no figures, no macros",,"10.1103/PhysRevB.55.9247",,"cond-mat plasm-ph",,"  It is shown that in semiconductor plasmas, it is possible to generate large
amplitude plasma waves by the beating of two laser beams with frequency
difference close to the plasma frequency. For narrow gap semiconductors (for
example n-type InSb), the system can simulate the physics underlying beat wave
generation in relativistic gaseous plasmas.
","[{""version"":""v1"",""created"":""Wed, 3 Apr 1996 20:05:20 GMT""}]","2009-10-28"
"cond-mat/9604021",,"Alexander N. Korotkov (SUNY at Stony Brook and Moscow State
  University)","Charge Sensitivity of Superconducting Single-Electron Transistor","One reference added and minor difficulty with Postscript file fixed.
  11 pages, RevTex, 3 figures (eps); Submitted to Appl. Phys. Lett","Appl. Phys. Lett. 69, 2593 (1996)","10.1063/1.117710",,"cond-mat",,"  It is shown that the noise-limited charge sensitivity of a single-electron
transistor using superconductors (of either $SISIS$ or $NISIN$ type) operating
near the threshold of quasiparticle tunneling, can be considerably higher than
that of a similar transistor made of normal metals or semiconductors. The
reason is that the superconducting energy gap, in contrast to the Coulomb
blockade, is not smeared by the finite temperature. We discuss also the
increase of the maximum operation temperature due to superconductivity and a
new peak-like feature on the $I-V$ curve of $SISIS$ structures.
","[{""version"":""v1"",""created"":""Wed, 3 Apr 1996 20:48:38 GMT""},{""version"":""v2"",""created"":""Sat, 6 Apr 1996 00:13:49 GMT""}]","2009-10-28"
"cond-mat/9604022","Rajiv Kamilla","R.K. Kamilla, X.G. Wu, and J.K. Jain (Department of Physics, State
  University of New York at Stony Brook, Stony Brook, New York)","Skyrmions in the Fractional Quantum Hall Effect","13 pages including 2 postscript figures; accepted for publication in
  Solid State Communications (1996)",,"10.1016/0038-1098(96)00126-3",,"cond-mat",,"  It is verified that, at small Zeeman energies, the charged excitations in the
vicinity of 1/3 filled Landau level are skyrmions of composite fermions,
analogous to the skyrmions of electrons near filling factor unity. These are
found to be relevant, however, only at very low magnetic fields.
","[{""version"":""v1"",""created"":""Wed, 3 Apr 1996 22:03:38 GMT""}]","2009-10-28"
"cond-mat/9604023","Rajiv Kamilla","R.K. Kamilla, X.G. Wu, and J.K. Jain (Department of Physics, State
  University of New York at Stony Brook, Stony Brook, New York)","Excitons of Composite Fermions","40 pages including 13 postscript figures; accepted for publication in
  Physical Review B (1996); related paper in cond-mat/9511136",,"10.1103/PhysRevB.54.4873",,"cond-mat",,"  The low-energy excitations of filled Landau levels (LL's) of electrons
involve promotion of a single electron from the topmost filled LL to the lowest
empty LL. These are called excitons or collective modes. The incompressible
fractional quantum Hall states are understood as filled LL's of composite
fermions, and the low-energy neutral excitations are excitons of composite
fermions. New techniques are developed to study large systems, which provide
detailed information about the dispersions of the composite fermion excitons.
In particular, it is found that the interaction energy of the exciton is well
described by the `unprojected' composite fermion theory.
","[{""version"":""v1"",""created"":""Wed, 3 Apr 1996 22:26:07 GMT""}]","2009-10-28"
"cond-mat/9604024","Boris Shraiman","Boris I Shraiman and Eric D Siggia","Symmetry and Scaling of Turbulent Mixing","Plain TEX, 13 pages",,"10.1103/PhysRevLett.77.2463",,"cond-mat",,"  The stationary condition (Hopf equation) for the ($n$+1) point correlation
function of a passive scalar advected by turbulent flow is argued to have an
approximate $SL(n, R)$ symmetry which provides a starting point for the
perturbative treatment of less symmetric terms. The large scale anisotropy is
found to be a relevant field, in contradiction with Kolmogorov phenomenology,
but in agreement with the large scalar skewness observed in shear flows.
Exponents are not universal, yet quantitative predictions for experiments to
test the $SL(n, R)$ symmetry can be formulated in terms of the correlation
functions.
","[{""version"":""v1"",""created"":""Wed, 3 Apr 1996 23:00:43 GMT""}]","2009-10-28"
"cond-mat/9604025","Yasuhiro Hatsugai","Yasuhiro Hatsugai (Applied Physics, U-Tokyo)","Quantum Coherence of Edge States in the Quantum Hall Effect --
  Topological Invariants and Edge State Mixing --","All in one postscript file ( with figures )",,,,"cond-mat",,"  Edge states in the integral quantum Hall effect on a lattice are reviewed
from a topological point of view. For a system with edges which is realized
inevitably in an experimental situation, the Hall conductance $\sigma_{xy}$ is
given by a winding number of the edge state on a complex energy surface. A
relation between two topological invariants (bulk and edge) is also clarified.
In a macroscopic system, mixture of the edge states are exponentially small and
negligible. Quantum Coherence between the two edge states gives the
quantization of $\sigma_{xy}$. However, when the system is mesoscopic, the
mixture between the edges states plays a physical role. We focus on this point
and show numerical results.
","[{""version"":""v1"",""created"":""Thu, 4 Apr 1996 08:57:27 GMT""}]","2007-05-23"
"cond-mat/9604026","Reinhold Egger","Reinhold Egger, Hermann Grabert (University Freiburg, Germany)","Friedel oscillations in Luttinger liquids","26 pages, includes special style file and 7 eps-files, to appear in:
  ""Quantum Transport in Semiconductor Submicron Structures"", edited by B.
  Kramer, NATO-ASI Series E (Kluwer, Dordrecht, 1996)",,,,"cond-mat",,"  We study the density disturbance of a correlated 1D electron liquid in the
presence of a scatterer or a barrier. The 2k_F-periodic density profile away
from the barrier (Friedel oscillation) is computed for arbitrary
electron--electron interaction and arbitrary impurity strength. We find that in
presence of correlations, the Friedel oscillation decays slower than predicted
by Fermi liquid theory. In the case of a spinless Luttinger liquid
characterized by an interaction constant g<1, the asymptotic decay of the
Friedel oscillation is x^-g. For a weak scatterer, the decay is even slower at
small-to-intermediate distances from the impurity, with a crossover to the
asymptotic x^-g law.
","[{""version"":""v1"",""created"":""Thu, 4 Apr 1996 10:37:04 GMT""}]","2007-05-23"
"cond-mat/9604027","Ulrich Weiss","Ulrich Weiss","Low-temperature conductance and DC current noise in a quantum wire with
  impurity","4 pages, REVTEX, submitted to Physical Review B, few revisions",,"10.1016/0038-1098(96)00505-4",,"cond-mat",,"  The nonlinear conductance for tunneling through an impurity in a Luttinger
liquid and the nonequilibrium DC current noise are calculated exactly for low
temperatures. We present a pedestrian pathway towards the exact solution which
is based on analytic properties and on a duality between weak and strong
backscattering. The prefactor of the T^2 enhancement is shown to be universally
expressed in terms of zero temperature properties.
","[{""version"":""v1"",""created"":""Thu, 4 Apr 1996 11:16:05 GMT""},{""version"":""v2"",""created"":""Tue, 9 Apr 1996 13:46:46 GMT""},{""version"":""v3"",""created"":""Fri, 12 Apr 1996 10:17:26 GMT""}]","2009-10-28"
"cond-mat/9604028",,"M. Dzierzawa, M. Zamora, D. Baeriswyl, X. Bagnoud (Institut de
  Physique theorique, Universite de Fribourg, Switzerland)","Friedel transition in a modified XY model","10 pages, 4 postscript figures",,,,"cond-mat",,"  Weakly coupled superconducting layers are described by the three-dimensional
XY model with strong coupling in two directions and weak coupling in the third
direction. For the usual Josephson-type interplane coupling the coherence
between the layers is lost at the same temperature as that within the layers.
Thus a low-temperature layer decoupling due to a proliferation of fluxons
between planes, as proposed by Friedel, does not occur in this case. However,
for a modified interplane coupling there are two phase transitions, one of a
Kosterlitz-Thouless type from a disordered high-temperature phase to an
intermediate phase with phase coherence only parallel to the layers, the second
from this effectively two-dimensional phase to a three-dimensional phase with
coherence in all directions and a finite ""n-state"" order parameter. Thus we do
find a ""Friedel transition"" for this special class of models.
","[{""version"":""v1"",""created"":""Thu, 4 Apr 1996 13:06:46 GMT""}]","2007-05-23"
"cond-mat/9604029",,"T. Christen and M. Buttiker (University of Geneva)","Gauge invariant nonlinear electric transport in mesoscopic conductors","(Replaced version, with corrected Eq.(4)); 5 pages, RevTeX, 1 figure,
  uuencoded","Europhys. Lett. 35 523 (1996)","10.1209/epl/i1996-00145-8",,"cond-mat",,"  We use the scattering approach to investigate the nonlinear current-voltage
characteristic of mesoscopic conductors. We discuss the leading nonlinearity by
taking into account the self-consistent nonequilibrium potential. We emphasize
conservation of the overall charge and current which are connected to the
invariance under a global voltage shift (gauge invariance). As examples, we
discuss the rectification coefficient of a quantum point contact and the
nonlinear current-voltage characteristic of a resonant level in a double
barrier structure.
","[{""version"":""v1"",""created"":""Thu, 4 Apr 1996 15:10:03 GMT""},{""version"":""v2"",""created"":""Wed, 24 Apr 1996 06:54:49 GMT""}]","2009-10-28"
"cond-mat/9604030","Peter Varga","Peter Varga","Minimax Games, Spin Glasses and the Polynomial-Time Hierarchy of
  Complexity Classes","revised version, minor additions. 10 pages, AMS-LaTeX, 3 figures",,,,"cond-mat.stat-mech",,"  We use the negative replica method, which was originally developed for the
study of overfrustation in disordered system, to investigate the statistical
behaviour of the cost function of minimax games. These games are treated as
hierarchical statistical mechanical systems, in which one of the components is
at negative temperature.
","[{""version"":""v1"",""created"":""Thu, 4 Apr 1996 14:41:16 GMT""},{""version"":""v2"",""created"":""Sat, 4 Jan 1997 09:49:28 GMT""},{""version"":""v3"",""created"":""Mon, 28 Jul 1997 14:08:31 GMT""},{""version"":""v4"",""created"":""Wed, 10 Dec 1997 19:34:53 GMT""}]","2008-02-03"
"funct-an/9604003","Remo Garattini","Remo Garattini","Harnack Inequality on Homogeneous Spaces","To appear in Annali di Matematica Pura e Applicata",,,,"funct-an math.FA",,"  We consider a homogeneous space $X=(X,d,m) $ of dimension $\nu\geq1$ and a
local regular Dirichlet form in $L^{2}(X,m) .$ We prove that if a Poincar\'{e}
inequality holds on every pseudo-ball $B(x,R) $ of $X$, then an Harnack's
inequality can be proved on the same ball with local characteristic constant
$c_{0}$ and $c_{1}$
","[{""version"":""v1"",""created"":""Wed, 3 Apr 1996 16:45:33 GMT""},{""version"":""v2"",""created"":""Tue, 6 Jun 2000 14:17:27 GMT""},{""version"":""v3"",""created"":""Thu, 3 Aug 2000 15:49:34 GMT""}]","2008-02-03"
"gr-qc/9604010","Carlo Rovelli","Norbert Grot, Carlo Rovelli","Moduli-space structure of knots with intersections","15 pages, latex-revtex, no figures","J.Math.Phys. 37 (1996) 3014-3021","10.1063/1.531527",,"gr-qc",,"  It is well known that knots are countable in ordinary knot theory. Recently,
knots {\it with intersections} have raised a certain interest, and have been
found to have physical applications. We point out that such knots --equivalence
classes of loops in $R^3$ under diffeomorphisms-- are not countable; rather,
they exhibit a moduli-space structure. We characterize these spaces of moduli
and study their dimension. We derive a lower bound (which we conjecture being
actually attained) on the dimension of the (non-degenerate components) of the
moduli spaces, as a function of the valence of the intersection.
","[{""version"":""v1"",""created"":""Thu, 4 Apr 1996 03:42:05 GMT""}]","2009-10-28"
"gr-qc/9604011",,"C. Bertoni, F. Finelli, G. Venturi","The Born-Oppenheimer Approach to the Matter-Gravity System and Unitarity","Latex, 12 pages. Revised version as accepted for publication by
  Class. and Quant. Grav. Some points explained and misprints corrected","Class.Quant.Grav.13:2375-2384,1996","10.1088/0264-9381/13/9/005",,"gr-qc",,"  The Born-Oppenheimer approach to the matter-gravity system is illustrated and
the unitary evolution for matter, in the absence of phenomena such as
tunnelling or other instabilities, verified. The Born-Oppenheimer approach to
the matter-gravity system is illustrated in a simple minisuperspace model and
the corrections to quantum field theory on a semiclassical background
exhibited. Within such a context the unitary evolution for matter, in the
absence of phenomena such as tunnelling or other instabilities, is verified and
compared with the results of other approaches. Lastly the simplifications
associated with the use of adiabatic invariants to obtain the solution of the
explicitly time dependent evolution equation for matter are evidenced.
","[{""version"":""v1"",""created"":""Thu, 4 Apr 1996 13:24:35 GMT""},{""version"":""v2"",""created"":""Fri, 12 Jul 1996 09:12:16 GMT""}]","2008-11-26"
