"acc-phys/9604004","Gayane A. Amatuni","A. Amatuni","Approximate Analytical Description of the Underdense Short Plasma Lens","18 pages,latex","Conf.Proc.C970512:690-692,1997",,,"acc-phys physics.acc-ph",,"  The perturbative approach for describing the underdense
plasma--ultrarelativistic electron bunch system is developed, using the ratio
$\frac{n_0}{n_b}$ as a small parameter ($n_b$--bunch,$n_0$--plasma electron
densities). Focusing of the electron bunch emerged in the first approximation
of the perturbative procedure as a result of the plasma electrons
redistribution. Focusing gradient and strength for ultrarelativistic, flat,
uniform and short bunch are obtained and compared with the previous results.
","[{""version"":""v1"",""created"":""Wed, 17 Apr 1996 11:19:19 GMT""}]","2008-11-26"
"cond-mat/9604103",,"Steven H. Simon (MIT), Ady Stern (Weizmann Institute), and Bertrand I.
  Halperin (Harvard University.)","Composite Fermions with Orbital Magnetization","4 pages, RevTeX, no figures",,"10.1103/PhysRevB.54.R11114",,"cond-mat",,"  For quantum Hall systems, in the limit of large magnetic field (or
equivalently small electron band mass $m_b$), the static response of electrons
to a spatially varying magnetic field is largely determined by kinetic energy
considerations. This response is not correctly given in existing approximations
based on the Fermion Chern-Simons theory of the partially filled Landau level.
We remedy this problem by attaching an orbital magnetization to each fermion to
separate the current into magnetization and transport contributions, associated
with the cyclotron and guiding center motions respectively. This leads to a
Chern-Simons Fermi liquid description of the $\nu=\frac{1}{2m}$ state which
correctly predicts the $m_b$ dependence of the static and dynamic response in
the limit $m_b \rightarrow 0$.
","[{""version"":""v1"",""created"":""Tue, 16 Apr 1996 16:21:27 GMT""}]","2009-10-28"
"cond-mat/9604104","Chris O'Donovan","W. Atkinson, J.P. Carbotte and C. O'Donovan (McMaster University)","a-b Plane Anisotropy in YBCO","To appear in the proceeding of the BICAS Summer School on ``Symmetry
  of the Order Parameter in High-Temperature Superconductors.'' See also
  cond-mat/9506125 and cond-mat/9604049 . 16 pages with 14 figures, LaTeX+epsf,
  tar'd, gzip'd and uuencode'd",,,,"cond-mat",,"  The zero temperature in plane penetration depth in an untwinned single
crystal of optimally doped YBa_2Cu_3O_6.93 is highly anisotropic. This fact has
been interpreted as evidence that a large amount of the condensate resides in
the chains. On the other hand, the temperature dependence of
lambda_a(T)/lambda_a(0) and lambda_b(T)/lambda_b(0) (where the b-direction is
along the chains) are not very different. This constrains theories and is, in
particular, difficult to understand within a proximity model with d-wave
pairing only in the CuO_2 plane and none on the CuO chains but instead supports
a more three dimensional models with interplane interactions.
","[{""version"":""v1"",""created"":""Tue, 16 Apr 1996 18:04:52 GMT""}]","2007-05-23"
"cond-mat/9604105","Gabriel Gomila Lluch","G. Gomila, A. Perez-Madrid and J.M. Rubi","Non-equilibrium thermodynamics of thermionic emission processes in
  abrupt semiconductor junctions, including the effects of surface states","19 pages, RevTex. Submitted to Physica A",,"10.1016/S0378-4371(96)00229-4",,"cond-mat",,"  The methods of non-equilibrium thermodynamics of systems with an interface
have been applied to the study of thermionic emission processes in abrupt
semiconductor junctions, including the effects of surface states . Our analysis
covers different situations of interest, concerning unipolar and bipolar
systems, either degenerate or not, with or without interface states and under
steady and non-steady conditions. In this way, a complete phenomenological
modelling of thermionic emission-interface states processes has been proposed,
overcoming some of the inherent limititations of the currently existing models.
","[{""version"":""v1"",""created"":""Tue, 16 Apr 1996 18:16:26 GMT""}]","2015-06-25"
"cond-mat/9604106","Ely Ben-Naim","E. Ben-Naim, S. Redner, P.L. Krapivsky","Two-Scale Annihilation","revtex, 5 pages, 5 figures, also available from
  http://arnold.uchicago.edu/~ebn","J. Phys. A 29, L561 (1996)","10.1088/0305-4470/29/22/002",,"cond-mat",,"  The kinetics of single-species annihilation, $A+A\to 0$, is investigated in
which each particle has a fixed velocity which may be either $\pm v$ with equal
probability, and a finite diffusivity. In one dimension, the interplay between
convection and diffusion leads to a decay of the density which is proportional
to $t^{-3/4}$. At long times, the reactants organize into domains of right- and
left-moving particles, with the typical distance between particles in a single
domain growing as $t^{3/4}$, and the distance between domains growing as $t$.
The probability that an arbitrary particle reacts with its $n^{\rm th}$
neighbor is found to decay as $n^{-5/2}$ for same-velocity pairs and as
$n^{-7/4}$ for $+-$ pairs. These kinetic and spatial exponents and their
interrelations are obtained by scaling arguments. Our predictions are in
excellent agreement with numerical simulations.
","[{""version"":""v1"",""created"":""Tue, 16 Apr 1996 23:14:01 GMT""}]","2009-10-28"
"cond-mat/9604107","Yamanaka Masanori","Masanori Yamanaka (Department of Applied Physics, University of
  Tokyo), Masaki Oshikawa (Physics Department, University of British Columbia),
  and Seiji Miyashita (Department of Earth and Space Science, Osaka University)","Hidden Order and Dimerization Transition in $S=2$ Chains","3 pages (LaTex with jpsj-style files
  (ftp://ftp.u-tokyo.ac.jp/pub/SOCIETY/JPSJ)) and 1 Postscript figure","J. Phys. Soc. Jpn. 65, 1562 (1996)","10.1143/JPSJ.65.1562",,"cond-mat",,"  We study ground state properties of the $S=2$ quantum antiferromagnetic chain
with a bond alternation \[ H = \sum_{j} [ 1 + \delta (-1)^j ] \mbox{\boldmath
$S$}_{j} \cdot \mbox{\boldmath $S$}_{j+1} \] by a Quantum Monte Carlo
calculation. We find that the hidden $Z_2 \times Z_2$ symmetry is broken for
$0.3 < |\delta| < 0.5$ while it is unbroken in the other regions. This confirms
the successive dimerization transitions first predicted by Affleck and Haldane.
Our result shows that these transitions can be understood in terms of the
hidden $Z_2 \times Z_2$ symmetry breaking, as was discussed using the
Valence-Bond-Solid states. Furthermore, we find that the behavior of the
generalized string correlation is qualitatively very similar to that in the
Valence-Bond-Solid states, including the location of zeroes as a function of
the angle parameter.
","[{""version"":""v1"",""created"":""Wed, 17 Apr 1996 13:34:25 GMT""}]","2009-10-28"
"cond-mat/9604108","Joerg Schmalian","P. Lombardo, J. Schmalian, M. Avignon, and K.-H. Bennemann","Dynamical Mean Field Theory for Perovskites","9 pages, Revtex, 8 postscript figures",,"10.1103/PhysRevB.54.5317",,"cond-mat",,"  Using the Hubbard Hamiltonian for transition metal-3d and oxygen-2p states
with perovskite geometry, we present a dynamical mean field theory which
becomes exactin the limit of large coordination numbers or equivalently large
spatial dimensions $D$. The theory is based on a new description of these
systems for large $D$ using a selective treatment of different hopping
processes which can not be generated by a unique scaling of the hopping
element. The model is solved using a perturbational approach and an extended
non-crossing approximation. We discuss the breakdown of the perturbation theory
near half filling, the origin of the various 3d and 2p bands, the doping
dependence of its spectral weight, and the evolution of quasi particles at the
Fermi-level upon doping, leading to interesting insight into the dynamical
character of the charge carriers near the metal insulator instability of
transition metal oxide systems, three dimensional perovskites and other
strongly correlated transition metal oxides.
","[{""version"":""v1"",""created"":""Wed, 17 Apr 1996 08:59:58 GMT""},{""version"":""v2"",""created"":""Thu, 18 Apr 1996 17:33:00 GMT""}]","2009-10-28"
"cond-mat/9604109",,"J.P. Rodriguez and Pascal Lederer","Confinement of Spin and Charge in High-Temperature Superconductors","12 pages, 1 postscript figure, to appear in PRB (RC), May 1996",,"10.1103/PhysRevB.53.R11980",,"cond-mat hep-lat",,"  By exploiting the internal gauge-invariance intrinsic to a spin-charge
separated electron, we show that such degrees of freedom must be confined in
two-dimensional superconductors experiencing strong inter-electron repulsion.
We also demonstrate that incipient confinement in the normal state can prevent
chiral spin-fluctuations from destroying the cross-over between strange and
psuedo-gap regimes in under-doped high-temperature superconductors. Last, we
suggest that the negative Hall anomaly observed in these materials is connected
with this confinement effect.
","[{""version"":""v1"",""created"":""Wed, 17 Apr 1996 11:51:19 GMT""}]","2009-10-28"
"cond-mat/9604110","Andres M. Somoza","A. M. Somoza, U. Marini Bettolo Marconi, P. Tarazona","Growth in systems of vesicles and membranes","13 pages and 5 postscript figures. To appear in Phys. Rev E",,"10.1103/PhysRevE.53.5123",,"cond-mat q-bio",,"  We present a theoretical study for the intermediate stages of the growth of
membranes and vesicles in supersaturated solutions of amphiphilic molecules.
The problem presents important differences with the growth of droplets in the
classical theory of Lifshitz-Slyozov-Wagner, because the aggregates are
extensive only in two dimensions, but still grow in a three dimensional bath.
The balance between curvature and edge energy favours the nucleation of small
planar membranes, but as they grow beyond a critical size they close themselves
to form vesicles. We obtain a system of coupled equations describing the growth
of planar membranes and vesicles, which is solved numerically for different
initial conditions. Finally, the range of parameters relevant in experimental
situations is discussed.
","[{""version"":""v1"",""created"":""Wed, 17 Apr 1996 11:36:42 GMT""}]","2009-10-28"
"cond-mat/9604111","Heiko Rieger","M.S. Li, T. Nattermann, H. Rieger and M. Schwartz","Vortex lines in the three-dimensional XY model with random phase shifts","8 pages RevTeX, 3 eps-figures included","Phys. Rev. B 54 (1996) 16024","10.1103/PhysRevB.54.16024","HLRZ-19/96","cond-mat",,"  The stability of the ordered phase of the three-dimensional XY-model with
random phase shifts is studied by considering the roughening of a single
stretched vortex line due to the disorder. It is shown that the vortex line may
be described by a directed polymer Hamiltonian with an effective random
potential that is long range correlated. A Flory argument estimates the
roughness exponent to $\zeta=3/4$ and the energy fluctuation exponent to
$\omega=1/2$, thus fulfilling the scaling relation $\omega=2\zeta-1$. The
Schwartz-Edwards method as well as a numerical integration of the corresponding
Burger's equation confirm this result. Since $\zeta<1$ the ordered phase of the
original XY-model is stable.
","[{""version"":""v1"",""created"":""Wed, 17 Apr 1996 11:24:05 GMT""}]","2009-10-28"
"cond-mat/9604112","Nathan Persky","N. Persky, I. Kanter, and S. Solomon","Cluster Dynamics for Randomly Frustrated Systems with Finite
  Connectivity","Revtex, 4 pages with 3 figures","Phys. Rev. E 53 1212 (1996)","10.1103/PhysRevE.53.1212",,"cond-mat",,"  In simulations of some infinite range spin glass systems with finite
connectivity, it is found that for any resonable computational time, the
saturatedenergy per spin that is achieved by a cluster algorithm is lowered in
comparison to that achieved by Metropolis dynamics.The gap between the average
energies obtained from these two dynamics is robust with respect to variations
of the annealing schedule. For some probability distribution of the
interactions the ground state energy is calculated analytically within the
replica symmetry assumptionand is found to be saturated by a cluster algorithm.
","[{""version"":""v1"",""created"":""Wed, 17 Apr 1996 11:46:00 GMT""}]","2016-08-31"
"cond-mat/9604113","Harry-chan","Kikuo Harigaya (ETL, Japan)","Electronic Structures in C60-Polymers (review)","Figures should be requested to the author","in ""Fullerenes - Volume 3"", (The Electrochemical Society, 1996),
  pp. 1102-1114",,,"cond-mat.mtrl-sci chem-ph cond-mat.soft cond-mat.str-el mtrl-th physics.atm-clus physics.chem-ph physics.optics quant-ph",,"  Variations in the band structures of C60-polymers are studied, when
conjugation conditions and the electron number are changed. We use a
semiempirical model with the Su-Schrieffer-Heeger type electron-phonon
interactions. In the neutral one-dimensional C60-polymer, electronic structures
change among direct-gap insulators and the metal, depending on the degree of
conjugations. High pressure experiments could observe such pressure-induced
metal-insulator transitions. The C60-polymer doped with one electron per one
molecule is always a metal. The energy difference between the highest-occupied
state and the lowest-unoccupied state of the neutral system becomes smaller
upon doping owing to the polaron effects. When the C60-polymer is doped with
two electrons per one C60, the system is insulating. When the conjugation in
the direction of the polymer chain is smaller, it is a direct-gap insulator.
The energy gap becomes indirect when the conjugation is stronger. We also study
the antiferromagnetic phase of AC60 by using a tight-binding model with
long-range Coulomb interactions. The antiferromagnetism is well described by
the model. The comparison with the photoemission studies shows that the new
band around the Fermi energy of the AC60 phase can be explaind by the extremely
large intrusion of an energy level into the gap of the neutral system. This
indicates that the interaction effects among electrons are important in doped
C60-polymers.
","[{""version"":""v1"",""created"":""Wed, 17 Apr 1996 13:17:09 GMT""}]","2016-08-31"
"gr-qc/9604033","Bruce Allen","Bruce Allen (University of Wisconsin - Milwaukee)","The stochastic gravity-wave background: sources and detection","45 pages, latex w/CUP cupconf.sty macros and epsfig, 18 postscript
  figures included. To appear in: Proceedings of the Les Houches School on
  Astrophysical Sources of Gravitational Waves, eds. Jean-Alain Marck and
  Jean-Pierre Lasota, to be published by Cambridge University Press 1996. (Note
  NEW publisher). Revisions: typos corrected, 4-month limits on \Omega slightly
  improved, references added, recent work discussed, equations renumbered by
  section, factor of 2 error corrected in equation for \Omega from strings","""Relativistic gravitation and gravitational radiation"", J.-A.
  Marck, J.-P. Lasota. (Proceedings, Les Houches School of Physics:
  Astrophysical Sources of Gravitational Radiation), Cambridge Contemporary
  Astrophysics, 1997, pages 373-417",,"WISC-MILW-96-TH-22","gr-qc astro-ph",,"  A world-wide effort is now underway to build gravitational wave detectors
based on highly-sensitive laser interferometers. When data from detectors at
different sites is properly combined, it will permit highly-sensitive searches
for a stochastic background of relic gravitational radiation. These lectures
(from the Les Houches School in October 1995) review the current status of this
program, and discuss the methods by which data from different detectors can be
used to make measurements of, or place limits on, a stochastic background. They
also review possible cosmological sources and their potential detectability.
","[{""version"":""v1"",""created"":""Tue, 16 Apr 1996 18:47:08 GMT""},{""version"":""v2"",""created"":""Mon, 5 Aug 1996 21:14:31 GMT""},{""version"":""v3"",""created"":""Mon, 30 Sep 1996 22:23:11 GMT""}]","2009-08-21"
"hep-lat/9604013","Rainer Pietig","Rainer Pietig, Franz J. Wegner","Phase Transition in Lattice Surface Systems with Gonihedric Action","17 pages, Postscript figures included","Nucl.Phys. B466 (1996) 513-526","10.1016/0550-3213(96)00072-7","HD-TVP-96-05","hep-lat hep-th",,"  We prove the existence of an ordered low temperature phase in a model of
soft-self-avoiding closed random surfaces on a cubic lattice by a suitable
extension of Peierls contour method. The statistical weight of each surface
configuration depends only on the mean extrinsic curvature and on an
interaction term arising when two surfaces touch each other along some contour.
The model was introduced by F.J. Wegner and G.K. Savvidy as a lattice version
of the gonihedric string, which is an action for triangulated random surfaces.
","[{""version"":""v1"",""created"":""Wed, 17 Apr 1996 08:38:37 GMT""}]","2009-10-28"
"hep-lat/9604014","Henning Hoeber","U.Gl\""assner, S.G\""usken, H.Hoeber, Th.Lippert, G.Ritzenh\""ofer,
  K.Schilling, G.Siegert, A.Spitz and A.Wachter (SESAM-Collaboration; HLRZ/DESY
  and Wuppertal University)","First Evidence of $N_f$-Dependence in the QCD Interquark Potential","9 pages (1 tex file epsf-style + 6 ps-figures)","Phys.Lett. B383 (1996) 98-104","10.1016/0370-2693(96)00700-9","HLRZ Preprint 96-20 and WUB 96-17","hep-lat hep-ph",,"  We present a lattice calculation of the interquark potential between static
quarks in a ``full'' QCD simulation with 2 flavours of dynamical Wilson-quarks
at three intermediate sea-quark masses. We work at $\beta = 5.6$ on lattice
size of $16^3 \times 32$ with 100 configurations per sea-quark mass. We compare
the full QCD potential with its quenched counterpart at equal lattice spacing,
$a^{-1} \simeq 2.0$ GeV, which is at the onset of the quenched scaling regime.
We find that the full QCD potential lies consistently below that of quenched
QCD. We see no evidence for string-breaking effects on these lattice volumes,
$V \simeq (1.5\,\,{\rm fm})^3$.
","[{""version"":""v1"",""created"":""Wed, 17 Apr 1996 10:19:26 GMT""}]","2009-10-28"
"hep-lat/9604016","Karl Jansen","Karl Jansen, Beat Jegerlehner and Chuan Liu","Some aspects of simulation algorithms for dynamical fermions","Plenary talk given by K.J. at the workshop ``Accelerating Fermion
  Algorithms'', J\""ulich, February 21st to 23rd, 1996, 5 pages, 1 figure",,,,"hep-lat",,"  Three topics concerning fermion simulation algorithms are discussed: 1.) A
performance comparison of the multiboson technique to simulate dynamical
fermions and the Kramers equation algorithm, 2.) the question of reversibility
in the Hybrid Monte Carlo algorithm and 3.) the implementation of Symanzik's
improvement program for dynamical Wilson fermions.
","[{""version"":""v1"",""created"":""Wed, 17 Apr 1996 07:06:49 GMT""}]","2007-05-23"
