"alg-geom/9604002","Emilia Mezzetti","Emilia Mezzetti and Dario Portelli","Threefolds in $\Bbb P^5$ with a 3-dimensional family of plane curves","17 pages, to appear in Manuscripta Mathematica Plain TeX",,,,"alg-geom math.AG",,"  A classification theorem is given of smooth threefolds of $\Bbb P^5$ covered
by a family of dimension at least three of plane integral curves of degree
$d\geq 2.$ It is shown that for such a threefold $X$ there are two
possibilities: \item{(1)} $X$ is any threefold contained in a hyperquadric;
\item{(2)} $d\leq 3$ and $X$ is either the Bordiga or the Palatini scroll.
","[{""version"":""v1"",""created"":""Tue, 2 Apr 1996 07:41:19 GMT""}]","2008-02-03"
"chem-ph/9604001","Peter Nightingale","M. Meierovich, A. Mushinski, and M. P. Nightingale (Department of
  Physics, University of Rhode Island, Kingston, Rhode Island, USA)","Van der Waals clusters in the ultra-quantum limit: a Monte Carlo study","World Wide Web URL
  http://www.phys.uri.edu/people/mark_meierovich/visual/Main.html contains an
  informal presentation with color graphics",,"10.1063/1.472459",,"chem-ph physics.chem-ph",,"  Bosonic van der Waals clusters of sizes three, four and five are studied by
diffusion quantum Monte-Carlo techniques. In particular we study the unbinding
transition, the ultra-quantum limit where the ground state ceases to exist as a
bound state. We discuss the quality of trial wave functions used in the
calculations, the critical behavior in the vicinity of the unbinding
transition, and simple improvements of the diffusion Monte Carlo algorithm.
","[{""version"":""v1"",""created"":""Mon, 1 Apr 1996 20:57:47 GMT""},{""version"":""v2"",""created"":""Wed, 3 Apr 1996 14:17:54 GMT""}]","2019-08-15"
"cond-mat/9604001","Paul Cook","P.M.A. Cook, R. Raimondi, and C.J. Lambert","Phase coherent transport in hybrid superconducting structures: the case
  of d-wave superconductors","10 Pages, Revtex. 11 postscript figures available on request",,"10.1007/BF02583830",,"cond-mat",,"  We examine the effect of d-wave symmetry on zero bias anomalies in
normal-superconducting tunnel junctions and phase-periodic conductances in
Andreev interferometers. In the presence of d-wave pairing, zero-bias anomalies
are suppressed compared with the s-wave case. For Andreev interferometers with
aligned islands, the phase-periodic conductance is insensistive to the nature
of the pairing, whereas for non-aligned islands, the nature of the zero-phase
extremum is reversed.
","[{""version"":""v1"",""created"":""Mon, 1 Apr 1996 16:16:35 GMT""}]","2009-10-28"
"cond-mat/9604003","Wojciech Gozdz IChF","W. T. Gozdz and R. Holyst ( Institute of Physical Chemistry Polish
  Academy of Science )","From the Plateau problem to periodic minimal surfaces in lipids,
  surfactants and diblock copolymers","15 pages, Plain TeX , figures available on request or at
  http://saka.ichf.edu.pl/WTGRH/surfaces.html","Macromol. Theory Simul. 5 (1996) 321-332","10.1002/mats.1996.040050212",,"cond-mat",,"  We present the novel method for generation of periodic surfaces based on the
simple Landau-Ginzburg model of microemulsion. We test the method on four
minimal surfaces (P,D,G, and I-WP), find two new surfaces of cubic symmetry,
show how to obtain periodic surfaces of high genus and n-tuply-continuous
phases. We point that the Landau model used here should be generic for all
systems characterized by internal interfaces, including the diblock copolymer
systems.
","[{""version"":""v1"",""created"":""Mon, 1 Apr 1996 17:49:23 GMT""}]","2015-12-29"
"cond-mat/9604005","Peter Schmitteckert","P. Schmitteckert and U. Eckern","Phase Coherence in a Random One-Dimensional System of Interacting
  Fermions: A Density Matrix Renormalization Group Study","4 pages, latex, accepted for publication, PRB - Rapid Communication,
  PS-file including figures:
  http://www.physik.uni-augsburg.de/~peters/Publications/P96_1.html",,"10.1103/PhysRevB.53.15397","TP2-96/2","cond-mat",,"  Using the density matrix renormalization group algorithm, we study the model
of spinless fermions with nearest-neighbor interaction on a ring in the
presence of disorder. We determine the spatial decay of the density induced by
a defect (Friedel oscillations), and the phase sensitivity of the ground state
energy $\DE= (-)^{N} (E(\phi=0) - E(\phi=\pi))$, where $\phi = 2\pi
\Phi/\Phi_0$ ($N$ is the number of fermions, $\Phi$ the magnetic flux, and
$\Phi_0=h/e$ the flux quantum), for a disordered system versus the system size
$M$. The quantity $\ln{(M \DE)}$ is found to have a normal distribution to a
good approximation. The ``localization length'' decreases (increases) for a
repulsive (attractive) interaction.
","[{""version"":""v1"",""created"":""Mon, 1 Apr 1996 17:47:26 GMT""}]","2009-10-28"
"cond-mat/9604006","Jim Freericks","J. K. Freericks (Georgetown University) and G. D. Mahan (University of
  Tennessee and Oak Ridge National Laboratory)","Strong-coupling expansions for the anharmonic Holstein model and for the
  Holstein-Hubbard model","34 pages, typeset in ReVTeX, 11 encapsulated postscript files
  included",,"10.1103/PhysRevB.54.9372",,"cond-mat",,"  A strong-coupling expansion is applied to the anharmonic Holstein model and
to the Holstein-Hubbard model through fourth order in the hopping matrix
element. Mean-field theory is then employed to determine transition
temperatures of the effective (pseudospin) Hamiltonian. We find that anharmonic
effects are not easily mimicked by an on-site Coulomb repulsion, and that
anharmonicity strongly favors superconductivity relative to charge-density-wave
order. Surprisingly, the phase diagram is strongly modified by relatively small
values of the anharmonicity.
","[{""version"":""v1"",""created"":""Mon, 1 Apr 1996 18:47:58 GMT""}]","2009-10-28"
"cond-mat/9604007","Margaret Gabler","Frank Wilczek","Remarks on the Current-Carrying State of Hall Superfluids","Phyzzx, 14 pages, no figures",,,"IASSNS-HEP 96-28","cond-mat",,"  I discuss in an elementary and self-contained way the nature of the
current-carrying state in Hall superfluids. The explicit connection of
fractional charge and rationality of the filling fraction $\nu$ with
quantization of angular momentum, and the discussion of the preferred velocity
profile for bulk current flows may be new; the latter might provide an
interesting experimental handle on a fundamental aspect of quantum
superfluidity.
","[{""version"":""v1"",""created"":""Mon, 1 Apr 1996 20:06:52 GMT""}]","2007-05-23"
"cond-mat/9604008","Stuart A. Trugman","D.J. Scalapino, S.A. Trugman","Local Antiferromagnetic Correlations and $d_{x^2-y^2}$ Pairing","8 pages and one figure",,"10.1080/01418639608240361","LAUR 96-324","cond-mat",,"  The high $T_c$ cuprate superconductors doped near half-filling have short
range antiferromagnetic correlations. Here we describe an intuitive local
picture of why, if pairing occurs in the presence of short-range
antiferromagnetic correlations, the orbital state will have $d_{x^2-y^2}$
symmetry.
","[{""version"":""v1"",""created"":""Mon, 1 Apr 1996 22:29:10 GMT""}]","2015-06-25"
"cond-mat/9604009","Jutta Luettmer-Strathmann","M. B. Walker and J. Luettmer-Strathmann","Josephson tunneling in high-$T_c$ superconductors","Latex File, 18 pages, 6 Postscript figures, submitted to Phys. Rev. B",,"10.1103/PhysRevB.54.588",,"cond-mat",,"  This article describes the Josephson tunneling from time-reversal
symmetry-breaking states and compares it with that from time-reversal invariant
states for both twinned and untwinned crystals and for both $c$-axis and
basal-plane currents, in a model for orthorhombic YBCO. A macroscopic
invariance group describing the superconducting state of a twinned crystal is
introduced and shown to provide a useful framework for the discussion of the
results for twinned crystals. In addition, a ring geometry, which allows
$s$-wave and $d_{x^2-y^2}$-wave superconductivity in a tetragonal
superconductor to be distinguished on the basis of symmetry arguments only, is
proposed and analyzed. Finally, an appendix gives details of the experimental
Josephson tunneling evidence for a superconducting state of orthorhombic
$ux^2+vy^2$ symmetry in YBCO.
","[{""version"":""v1"",""created"":""Mon, 1 Apr 1996 22:37:02 GMT""}]","2009-10-28"
"cond-mat/9604010","Ertugrul Demircan","E. Demircan (The University of Texas at Austin), P. Ao (Umea
  University), Q. Niu (The University of Texas at Austin)","Vortex Dynamics in Superfluid Systems: Cyclotron Type Motion","21 pages, 1 figure included",,"10.1103/PhysRevB.54.10027",,"cond-mat",,"  Vortex dynamics in superfluids is investigated in the framework of the
nonlinear Schr\""{o}dinger equation. The natural motion of the vortex is of
cyclotron type, whose frequency is found to be on the order of phonon velocity
divided by the coherence length, and may be heavily damped due to phonon
radiation. Trapping foreign particles into the vortex core can reduce the
cyclotron frequency and make the cyclotron motion underdamped. The density
fluctuations can follow the vortex motion adiabatically within the phonon wave
length at the cyclotron frequency, which results in a further downward
renormalization of the cyclotron frequency. We have also discussed applications
on the dynamics of vortices in superconducting films.
","[{""version"":""v1"",""created"":""Tue, 2 Apr 1996 00:52:59 GMT""}]","2009-10-28"
"cond-mat/9604011","Kurt Stokbro","Kurt Stokbro","A mixed ultrasoft/normconserved pseudopotential scheme","4 pages, 2 figures","Phys. Rev. B 53, 6869 (1996)","10.1103/PhysRevB.53.6869",,"cond-mat",,"  A variant of the Vanderbilt ultrasoft pseudopotential scheme, where the
normconservation is released for only one or a few angular channels, is
presented. Within this scheme some difficulties of the truly ultrasoft
pseudopotentials are overcome without sacrificing the pseudopotential softness.
i) Ghost states are easily avoided without including semicore shells. ii) The
ultrasoft pseudo-charge-augmentation functions can be made more soft. iii) The
number of nonlocal operators is reduced. The scheme will be most useful for
transition metals, and the feasibility and accuracy of the scheme is
demonstrated for the 4d transition metal rhodium.
","[{""version"":""v1"",""created"":""Tue, 2 Apr 1996 08:03:44 GMT""}]","2009-10-28"
"cond-mat/9604012","Kurt Stokbro","K. Stokbro K. W. Jacobsen, J. K. N{\o}rskov, D. M. Deaven, C. Z. Wang,
  and K. M. Ho","Incomplete melting of the Si(100) surface from molecular-dynamics
  simulations using the Effective-Medium Tight-Binding model","13 pages, 7 figures; To appear in Surface Science","Surface Science 360, 221(1996)",,,"cond-mat",,"  We present molecular-dynamics simulations of the Si(100) surface in the
temperature range 1100-1750K. To describe the total energy and forces we use
the Effective-Medium Tight-Binding model. The defect-free surface is found to
melt at the bulk melting point, which we determine to be 1650 K, but for a
surface with dimer vacancies we find a pre-melting of the first two layers 100
K below the melting point. We show that these findings can rationalize recent
experimental studies of the high temperature Si(100) surface.
","[{""version"":""v1"",""created"":""Tue, 2 Apr 1996 08:45:12 GMT""}]","2007-05-23"
"cond-mat/9604013","Wojciech Gozdz IChF","W. T. Gozdz and R. Holyst ( Institute of Physical Chemistry Polish
  Academy of Science )","High genus periodic gyroid surfaces of non-positive Gaussian curvature","10 pages plain TeX figures available on request or at
  http://saka.ichf.edu.pl/WTGRH/surfaces.html Phys. Rev. Lett. in press","Phys. Rev. Lett. 76, 2726, 1996","10.1103/PhysRevLett.76.2726",,"cond-mat",,"  In this paper we present the novel method for the generation of periodic
embedded surfaces of nonpositive Gaussian curvature. The structures are related
to the local minima of the scalar order parameter Landau-Ginzburg hamiltonan
for microemulsions. The method is used to generate six unknown surfaces of
Ia$\bar 3$d symmetry (gyroid) of genus 21, 53, 69, 109, 141 and 157 per unit
cell. All of them but that of genus 21 are most likely the minimal surfaces.
Schoen-Luzzati gyroid minimal surface of genus 5 (per unit cell) is also
obtained.
","[{""version"":""v1"",""created"":""Tue, 2 Apr 1996 11:20:12 GMT""}]","2015-12-29"
"cond-mat/9604014","Farhad Ghaboussi","F. Ghaboussi","Quantum Hall Effect and Chaotic Motion in Phase Space","Latex",,,,"cond-mat",,"  We discuss the relation between the Quantum Hall behaviour of charged
carriers and their chaotic motion in phase space. It is shown that the quantum
Hall diagram is comparable with the stepped diagram in phase space of a chaotic
motion.
","[{""version"":""v1"",""created"":""Tue, 2 Apr 1996 14:46:47 GMT""}]","2007-05-23"
"gr-qc/9604004","Remo Garattini","Remo Garattini","Vacuum Energy Estimates in Quantum Gravity and the Wheeler-DeWitt
  Equation","Revtex 3.0, preprint, 14 pages",,,,"gr-qc hep-th",,"  In the Wheeler-DeWitt framework, by a gauge fixing procedure, we set up a
scheme to recover a Schr\""odinger type equation, living in the orbits space
with the {\it lapse} function as evolution parameter. By means of the
associated stationary equation, we have the possibility of calculating quantum
corrections to classical quantities. The Schwarzschild wormhole case is
discussed as an example of application.
","[{""version"":""v1"",""created"":""Mon, 1 Apr 1996 19:35:36 GMT""}]","2007-05-23"
"hep-ph/9604206","Konstantin Selivanov","Konstantin Selivanov","Multigluon Tree Amplitudes and Self-Duality Equation","6 pages, Latex, ps is available at
  http://venus.itep.ru/preprints/1996/96021.ps.gz",,,"ITEP-96-21","hep-ph hep-th",,"  A generating function for a class of multigluon amplitudes is constructed as
a particular solution of the self-duality equation.
","[{""version"":""v1"",""created"":""Mon, 1 Apr 1996 19:28:40 GMT""}]","2007-05-23"
"hep-ph/9604207","Bernd Berg","Bernd A. Berg","New Algorithm to Investigate Neural Networks","16 pages and 8 figures. Typos in eqn.(1) and various misleading
  formulations eliminated","Comput.Phys.Commun. 98 (1996) 35-44","10.1016/0010-4655(96)00086-0",,"hep-ph hep-lat",,"  Random cost simulations were introduced as a method to investigate
optimization problems in systems with conflicting constraints. Here I study the
approach in connection with the training of a feed-forward multilayer
perceptron, as used in high energy physics applications. It is suggested to use
random cost simulations for generating a set of selected configurations. On
each of those final minimization may then be performed by a standard algorithm.
For the training example at hand many almost degenerate local minima are thus
found. Some effort is spend to discuss whether they lead to equivalent
classifications of the data.
","[{""version"":""v1"",""created"":""Mon, 1 Apr 1996 19:13:05 GMT""},{""version"":""v2"",""created"":""Thu, 5 Sep 1996 17:57:55 GMT""}]","2009-10-28"
"hep-ph/9604208","Gursevil Turan","Patrick J. O'Donnell and Gursevil Turan","Charm and Bottom Semileptonic Decays","Latex, 19 pages, two figures are attached, a minor change in the
  manuscript related to this","Phys.Rev.D56:295-302,1997","10.1103/PhysRevD.56.295","UTPT--96--06","hep-ph",,"  We review the present status of theoretical attempts to calculate the
semileptonic charm and bottom decays and then present a calculation of these
decays in the light--front frame at the kinematic point $q^2=0$. This allows us
to evaluate the form factors at the same value of $q^2$, even though the
allowed kinematic ranges for charm and bottom decays are very different. Also,
at this kinematic point the decay is given in terms of only one form factor
$A_{0}(0)$. For the ratio of the decay rates given by the E653 collaboration we
show that the determination of the ratio of the Cabibbo--Kobayashi--Maskawa
(CKM) matrix elements is consistent with that obtained from the unitarity
constraint. At present, though, the unitarity method still has greater
accuracy. Since comparisons of the semileptonic decays into $\rho$ and either
electrons or muons will be available soon from the E791 Fermilab experiment, we
also look at the massive muon case. We show that for a range of $q^2$ the
$SU(3)_F$ symmetry breaking is small even though the contributions of the
various helicity amplitudes becomes more complicated. For $B$ decays, the decay
$B \rightarrow K^{*} \ell \bar{\ell}$ at $q^2=0$ involves an extra form factor
coming from the photon contribution and so is not amenable to the same kind of
analysis, leaving only the decay $B \rightarrow K^{*}\nu \bar{\nu}$ as a
possibility. As the mass of the decaying particle increases we note that the
$SU(3)$ symmetry becomes badly broken at $q^2=0$.
","[{""version"":""v1"",""created"":""Mon, 1 Apr 1996 19:34:15 GMT""},{""version"":""v2"",""created"":""Mon, 24 Jun 1996 16:58:04 GMT""},{""version"":""v3"",""created"":""Wed, 26 Jun 1996 13:59:30 GMT""}]","2010-11-23"
"hep-ph/9604209",,"Raju Venugopalan (INT, Seattle)","Small x parton distributions and initial conditions in ultrarelativistic
  nuclear collisions","22 pages in LATEX, to appear in ``Comments in nuclear and particle
  physics""","Comments Nucl.Part.Phys. 22 (1997) 113-130",,"INT96--00--120","hep-ph nucl-th",,"  At the colliders RHIC and LHC, nuclei at the ultrarelativistic energies of
$100$ GeV/A and $2.7$ TeV/A will be smashed together with the hope of creating
an elusive and short-lived state of matter called the quark gluon plasma. The
initial conditions which determine the dynamical evolution of the quark gluon
matter formed in the central region after the collision depend crucially on the
small $x$ component of the nuclear wavefunction before the collision. In this
comment, we discuss recent work which argues that, for large nuclei, weak
coupling techniques in QCD can be used to calculate the distribution of these
small $x$, or wee, partons. The ramifications of this approach for the dynamics
of heavy ion collisions and the various signatures of a quark gluon phase of
matter are discussed.
","[{""version"":""v1"",""created"":""Mon, 1 Apr 1996 22:45:30 GMT""}]","2007-05-23"
