"alg-geom/9604001",,"R. Kaufmann, Yu. Manin, D. Zagier","Higher Weil-Petersson Volumes of Moduli Spaces of Stable $n$-pointed
  Curves","AMSTeX",,"10.1007/BF02101297",,"alg-geom math.AG",,"  Moduli spaces of compact stable $n$-pointed curves carry a hierarchy of
cohomology classes of top dimension which generalize the Weil-Petersson volume
forms and constitute a version of Mumford classes. We give various new formulas
for the integrals of these forms and their generating functions. We also
discuss their relation to the Kuenneth formula in quantum cohomology.
","[{""version"":""v1"",""created"":""Mon, 1 Apr 1996 12:19:14 GMT""}]","2009-10-28"
"gr-qc/9603064","Carlo Rovelli","Marcelo Barreira, Mauro Carfora, Carlo Rovelli","Physics with nonperturbative quantum gravity: radiation from a quantum
  black hole","4 pages, latex-revtex, no figures","Gen.Rel.Grav. 28 (1996) 1293-1299","10.1007/BF02109521",,"gr-qc",,"  We study quantum gravitational effects on black hole radiation, using loop
quantum gravity. Bekenstein and Mukhanov have recently considered the
modifications caused by quantum gravity on Hawking's thermal black-hole
radiation. Using a simple ansatz for the eigenstates the area, they have
obtained the intriguing result that the quantum properties of geometry affect
the radiation considerably, yielding a definitely non-thermal spectrum. Here,
we replace the simple ansatz employed by Bekenstein and Mukhanov with the
actual eigenstates of the area, computed using the loop representation of
quantum gravity. We derive the emission spectra, using a classic result in
number theory by Hardy and Ramanujan. Disappointingly, we do not recover the
Bekenstein-Mukhanov spectrum, but --effectively-- a Hawking's thermal spectrum.
The Bekenstein-Mukhanov result is therefore likely to be an artefact of the
naive ansatz, rather than a robust result. The result is an example of concrete
(although somewhat disappointing) application of nonperturbative quantum
gravity.
","[{""version"":""v1"",""created"":""Mon, 1 Apr 1996 01:42:32 GMT""}]","2009-10-28"
"gr-qc/9604001","Alan Rendall","Alan D. Rendall","An introduction to the Einstein-Vlasov system","36 pages. Lectures given at the Banach centre, Warsaw, March 1996",,,"AEI 005","gr-qc",,"  These lectures are designed to provide a general introduction to the
Einstein-Vlasov system and to the global Cauchy problem for these equations. To
start with some general facts are collected and a local existence theorem for
the Cauchy problem stated. Next the case of spherically symmetric
asymptotically flat solutions is examined in detail. The approach taken, using
maximal-isotropic coordinates, is new. It is shown that if a singularity occurs
in the time evolution of spherically symmetric initial data, the first
singularity (as measured by a maximal time coordinate) occurs at the centre.
Then it is shown that for small initial data the solution exists globally in
time and is geodesically complete. Finally, the proof of the general local
existence theorem is sketched. This is intended to be an informal introduction
to some of the ideas which are important in proving such theorems rather than a
formal proof.
","[{""version"":""v1"",""created"":""Mon, 1 Apr 1996 08:54:09 GMT""}]","2007-05-23"
"gr-qc/9604002",,"M. Gasperini and M. Giovannini","Normal modes for metric fluctuations in a class of higher-dimensional
  backgrounds","19 pages, LATEX, an explicit example is added to discuss the possible
  dependence of the perturbation spectrum on the number of internal dimensions.
  To apper in Class. Quantum Grav","Class.Quant.Grav.14:735-747,1997","10.1088/0264-9381/14/3/015","CERN-TH/96-87","gr-qc astro-ph hep-th",,"  We discuss a gauge invariant approach to the theory of cosmological
perturbations in a higher-dimensonal background. We find the normal modes which
diagonalize the perturbed action, for a scalar field minimally coupled to
gravity, in a higher-dimensional manifold M of the Bianchi-type I, under the
assumption that the translations along an isotropic spatial subsection of M are
isometries of the full, perturbed background. We show that, in the absence of
scalar field potential, the canonical variables for scalar and tensor metric
perturbations satisfy exactly the same evolution equation, and we discuss the
possible dependence of the spectrum on the number of internal dimensions.
","[{""version"":""v1"",""created"":""Mon, 1 Apr 1996 14:21:04 GMT""},{""version"":""v2"",""created"":""Mon, 13 Jan 1997 08:14:56 GMT""}]","2010-04-30"
"gr-qc/9604003","T. Jacobson","Ted Jacobson","1+1 Sector of 3+1 Gravity","9 pages, plain Latex, no figures","Class.Quant.Grav.13:L111-L116,1996; Erratum-ibid.13:3269,1996","10.1088/0264-9381/13/8/003","THU-96/18","gr-qc hep-th",,"  The rank--1 sector of classical Ashtekar gravity is considered, motivated by
the degeneracy of the metric along the Wilson lines in quantum loop states. It
is found that the lines behave like 1+1 dimensional spacetimes with a pair of
massless complex fields propagating along them. The inclusion of matter and
extension to supergravity are also considered.
","[{""version"":""v1"",""created"":""Mon, 1 Apr 1996 15:57:45 GMT""}]","2010-04-06"
"hep-ph/9603447",,"Richard F. Lebed (U.C. San Diego)","Heavy Baryons in SU(2) $\times$ SU(6)","26 pages, hyperlatex with revtex","Phys.Rev.D54:4463-4473,1996","10.1103/PhysRevD.54.4463","UCSD/PTH 96-06","hep-ph",,"  The spectrum of baryons containing heavy quarks of one flavor is described in
terms of representations of the group SU(2) X SU(6), where the two factor
groups refer to spin rotations of the heavy quarks and spin-flavor rotations of
the light quarks, respectively. This symmetry has a natural interpretation in
the heavy quark limit. We exhibit the decomposition of baryon mass operators
under this symmetry and compare to experimental results. We discuss the
relation of this analysis to that of large-N_c QCD as well as four-flavor
SU(8), and indicate the generalization of this work to other properties of
heavy baryons.
","[{""version"":""v1"",""created"":""Sun, 31 Mar 1996 21:25:45 GMT""}]","2014-11-17"
"hep-ph/9603448","Anton Kapustin","Martin Gremm, Anton Kapustin","Order 1/m_b^3 corrections to B\to X_c\ell\bar\nu decay and their
  implication for the measurement of \bar\Lambda and \lambda_1","21 pages, revtex, 2 postscript figures. Section on the
  nonrelativistic quark model estimates is removed; some points of the
  computation are clarified; results unchanged","Phys.Rev.D55:6924-6932,1997","10.1103/PhysRevD.55.6924",,"hep-ph",,"  We compute the order 1/m_b^3 nonperturbative contributions to the inclusive
differential B\to X_c\ell\bar\nu decay rate. They are parametrized by the
expectation values of two local and four nonlocal dimension-six operators. We
use our results to estimate part of the theoretical uncertainties in the
extraction of matrix elements \bar\Lambda and \lambda_1 from the lepton
spectrum in the inclusive semileptonic B decay and find them to be very large.
We also compute the 1/m_b^3 corrections to the moments of the hadronic
invariant mass spectrum in this decay, and combine them with the extracted
values of \bar\Lambda and \lambda_1 to put an upper bound on the branching
fraction Br(B\to D^{**}\ell\bar\nu).
","[{""version"":""v1"",""created"":""Sun, 31 Mar 1996 21:35:03 GMT""},{""version"":""v2"",""created"":""Sat, 10 Aug 1996 01:09:02 GMT""},{""version"":""v3"",""created"":""Tue, 11 Mar 1997 06:14:09 GMT""}]","2011-01-27"
"hep-ph/9603449",,"Elizabeth Jenkins","Heavy Baryon Masses in the $1/m_Q$ and $1/N_c$ Expansions","21 pages, REVtex, version to appear Phys. Rev. D","Phys.Rev.D54:4515-4531,1996","10.1103/PhysRevD.54.4515","UCSD/PTH 96-08","hep-ph",,"  The masses of baryons containing a single heavy quark are studied in a
combined expansion in $1/m_Q$, $1/N_c$ and $SU(3)$ flavor symmetry breaking.
Heavy quark baryon mass splittings are related to mass splittings of the octet
and decuplet baryons. The $\Sigma_c^*$, $\Xi_c^\prime$ and $\Omega_c^*$ are
predicted to the level of a few MeV. A number of bottom baryon mass splittings
are predicted very accurately.
","[{""version"":""v1"",""created"":""Mon, 1 Apr 1996 01:31:14 GMT""},{""version"":""v2"",""created"":""Mon, 2 Sep 1996 23:04:06 GMT""}]","2008-11-26"
"hep-ph/9603450","Johannes Bluemlein","J. Bl\""umlein and A. Vogt","On the Resummation of $\alpha \ln^2 x$ Terms for Non-Singlet Structure
  Functions in QED and QCD","11 pages Latex, inclding two eps-figures, all compressed by uufiles,
  Invited talk at the Cracow Epiphany Conference on Proton Structure, 5--6
  January 1996, Krak'ow, Poland, presented by J. Bl\""umlein; to appear in Acta
  Physica Polonica","Acta Phys.Polon. B27 (1996) 1309-1322",,"DESY 96-041","hep-ph",,"  The resummation of $O(\alpha^{l+1} \ln^{2l} x)$ terms in the evolution
kernels of non--singlet combinations of structure functions is investigated for
both QED abd QCD. Numerical results are presented for unpolarized and polarized
structure functions.
","[{""version"":""v1"",""created"":""Mon, 1 Apr 1996 06:48:31 GMT""}]","2007-05-23"
"hep-ph/9604201",,"S. Pastor (IFIC, Valencia)","Nucleosynthesis constraints on heavy tau-neutrino in the presence of
  annihilations to majorons","Talk given at TAUP 95, Toledo, Sept. 1995; 5 pages, LaTex file + 2
  figures, all compressed by uufiles","Nucl.Phys.Proc.Suppl. 48 (1996) 266-268","10.1016/0920-5632(96)00258-7","FTUV/96-19; IFIC/96-21","hep-ph",,"  We show that in the presence of sufficiently strong $\nu_\tau$ annihilations
to majorons, primordial nucleosynthesis constraints can not rule out any values
of the $\nu_\tau$ mass up the present laboratory limit.
","[{""version"":""v1"",""created"":""Mon, 1 Apr 1996 10:56:26 GMT""}]","2009-10-28"
"hep-ph/9604202",,"G. Altarelli, G. Martinelli, S. Petrarca, F. Rapuano","Failure of Local Duality in Inclusive Non-Leptonic Heavy Flavour","9 pages, 1 figure; Revised: one reference ([11]) has been changed","Phys.Lett.B382:409-414,1996","10.1016/0370-2693(96)00637-5","CERN-TH/96-77, Rome-1 1143/96","hep-ph",,"  We argue that there is strong experimental evidence in the data of b- and
c-decays that the pattern of power suppressed corrections predicted by the
short distance expansion, the heavy quark effective theory and the assumption
of local duality is not correct for the non-leptonic inclusive widths. The data
indicate instead the presence of 1/m corrections that should be absent in the
above theoretical framework. These corrections can be simply described by
replacing the heavy quark mass by the mass of the decaying hadron in the m^5
factor in front of all the non-leptonic widths.
","[{""version"":""v1"",""created"":""Mon, 1 Apr 1996 10:46:30 GMT""},{""version"":""v2"",""created"":""Thu, 4 Apr 1996 14:46:16 GMT""},{""version"":""v3"",""created"":""Fri, 5 Apr 1996 10:20:31 GMT""}]","2009-07-09"
"hep-ph/9604203","Wolfgang Moedritsch","W. Moedritsch","On the Spectrum of Scalar-Scalar Bound States","21 LaTeX pages, 4 eps figures. Completely revised version. Result
  changed","Phys.Rev. D56 (1997) 5386-5394","10.1103/PhysRevD.56.5386","TUW-96-05","hep-ph",,"  A new, exactly solvable, Barbieri-Remiddi like equation for bound states of
two scalar constituents interacting with massless vector particles is
presented, both for stable and unstable particles. With the help of this
equation the bound state spectrum is calculated to O(\alpha^4) for a SU(N)
nonabelian gauge theory. The result for the abelian case reproduces the known
result from the Foldy-Wouthuysen calculation. It is shown how different graphs
as in the fermionic theory contribute to the spectrum to this order.
Furthermore the bound state correction to the decay width for a weakly decaying
system is calculated. This result is equal to its fermionic counterpart. Thus
the theorem on bound state corrections for weakly decaying particles,
formulated previously for fermions only, has been extended to the scalar
theory.
","[{""version"":""v1"",""created"":""Mon, 1 Apr 1996 12:14:53 GMT""},{""version"":""v2"",""created"":""Tue, 7 Jan 1997 12:20:52 GMT""}]","2009-10-28"
"hep-ph/9604204","Claude Bourrely","C. Bourrely, F. Buccella, O. Pisanti, P. Santorelli and J. Soffer","Quarks and Gluons in Nucleon Polarized Structure Functions","14 pages, in Latex, 5 figures. Updated version of the paper, to
  appear in the Proceedings of the Conference on the Fundamental Structure of
  Matter, Ouranoupoulis (Greece) May 28-31 (1997)",,,"CPT-96/PE.3327, DSF-T-96/17","hep-ph",,"  We study the available data in polarized e-p deep inelastic scattering to
test two different solutions to the so called spin crisis: one of them based on
the axial gluon anomaly and consistent with the Bjorken sum rule and another
one, where the defects in the spin sum rules and in the Gottfried sum rule are
related. In this case a defect is also expected for the Bjorken sum rule.
Experimental data, especially the very recent SLAC E154, favour the first
solution and demand a gluon polarization $\Delta G = 2.25 \pm 1.39$.
","[{""version"":""v1"",""created"":""Mon, 1 Apr 1996 15:57:30 GMT""},{""version"":""v2"",""created"":""Fri, 27 Mar 1998 19:49:08 GMT""},{""version"":""v3"",""created"":""Fri, 3 Apr 1998 08:33:25 GMT""}]","2008-02-03"
"hep-ph/9604205","Annemarie Kallen","A. Kallen","The $m^4 \ln m\,$ Contribution to the Nucleon Mass in CHPT","11 pages, LaTeX, 1 postscript figure; complete ps-file is available
  at ftp://ftp-itp.unibe.ch/pub/preprints/1995/BUTP-95_13.ps.gz",,,"BUTP-95/13","hep-ph",,"  In CHPT the hadron masses obtain loop corrections from the pseudoscalar
mesons which are identified with the Goldstone bosons of broken chiral
symmetry. An expansion of the baryon mass in the quark masses therefore
includes non-analytic terms. We calculate the nucleon mass in the one-loop
approximation to order $m^4 \sim m_q^2$. We compare the result in the
relativistic and in the heavy mass formulation of the theory and derive
matching relations between corresponding low-energy constants. We calculate the
pion-nucleon loop in old-fashioned perturbation theory and find a contribution
to the $m^4 \ln m$ term from an intermediate state which does not occur in the
heavy baryon theory.
","[{""version"":""v1"",""created"":""Mon, 1 Apr 1996 11:23:19 GMT""}]","2007-05-23"
"hep-th/9604001",,"Fiorenzo Bastianelli and Ulf Lindstrom","C-theorem for two dimensional chiral theories","7 pages, uses harvmac.tex","Phys.Lett. B380 (1996) 341-345","10.1016/0370-2693(96)00510-2",,"hep-th cond-mat",,"  We discuss an extension of the $C$-theorem to chiral theories. We show that
two monotonically decreasing $C$-functions can be introduced. However, their
difference is a constant of the renormalization group flow. This constant
reproduces the 't Hooft anomaly matching conditions.
","[{""version"":""v1"",""created"":""Mon, 1 Apr 1996 09:48:46 GMT""}]","2009-10-30"
"hep-th/9604002",,"Nicola Maggiore, Olivier Piguet, Sylvain Wolf","Algebraic Renormalization of $N=1$ Supersymmetric Gauge Theories with
  Supersymmetry Breaking Masses","24 pages, plain LaTeX, no figures","Nucl.Phys.B476:329-350,1996","10.1016/0550-3213(96)00360-4","UGVA-DPT-1996-04-917","hep-th",,"  We provide N=1 Super Yang-Mills theory in the Wess-Zumino gauge with mass
terms for the supersymmetric partners of the gauge fields and of the matter
fields, together with a supersymmetric mass term for the fermionic matter
fields. All mass terms are chosen in such a way to induce soft supersymmetry
breakings at most, while preserving gauge invariance to all orders of
perturbation theory. The breakings are controlled through an extended
Slavnov-Taylor identity. The renormalization analysis, both in the ultraviolet
and in the infrared region, is performed.
","[{""version"":""v1"",""created"":""Mon, 1 Apr 1996 15:28:03 GMT""}]","2010-02-05"
"math/9604245","Sivabal Sivaloganathan","James M. Drake (Toronto Hospital for Sick Kids), Sivabal
  Sivaloganathan (University of Waterloo/Fields Institute), Guiseppe Tenti
  (University of Waterloo)","Mathematical pressure volume models of the cerebrospinal fluid",,,,"FI-NP1996-001, formerly math.SC/9604245","math.NA",,"  Numerous mathematical models have emerged in the medical literature over the
past two decades attempting to characterize the pressure and volume dynamics
the central nervous system compartment. These models have been used to study he
behavior of this compartment under such pathological clinical conditions s
hydrocephalus, head injury and brain edema. The number of different pproaches
has led to considerable confusion regarding the validity, accuracy or
appropriateness of the various models. In this paper we review the mathematical
basis for these models in a mplified fashion, leaving the mathematical details
to appendices. We show at most previous models are in fact particular cases of
a single basic differential equation describing the evolution in time of the
cerebrospinal fluid pressure (CFS). Central to this approach is the hypothsis
that the rate change of CSF volume with respect to pressure is a measure of the
compliance of the brain tissue which as a consequence leads to particular
models epending on the form of the compliance funtion. All such models in fact
give essentially no information on the behavior of the brain itself. More
recent models (solved numerically using the Finite Element Method) have begun
to address this issue but have difficulties due to the lack of information
about the mechanical properties of the brain. Suggestions are made on how
development of models which account for these chanical properties might be
developed.
","[{""version"":""v1"",""created"":""Mon, 1 Apr 1996 00:00:00 GMT""}]","2016-09-06"
"math/9604246","Keith A. Kearnes","Keith A. Kearnes (University of Arkansas), {\AA}gnes Szendrei (Bolyai
  Institute)","The relationship between two commutators",,,,"FI-MT1996-002","math.RA",,"  We clarify the relationship between the linear commutator and the ordinary
commutator by showing that in any variety satisfying a nontrivial idempotent
Mal'cev condition the linear commutator is definable in terms of the
centralizer relation. We derive from this that abelian algebras are
quasi-affine in such varieties. We refine this by showing that if A is an
abelian algebra and V(A) satifies an idempotent Mal'cev condition which fails
to hold in the variety of semilattices, then A is affine.
","[{""version"":""v1"",""created"":""Mon, 1 Apr 1996 00:00:00 GMT""}]","2008-02-03"
