"adap-org/9604002",,"Mats Dahlbom and Anders Irb\""ack","Comment on `Avalanche Dynamics in Evolution, Growth and Depinning
  Models'","Withdrawn",,,,"adap-org nlin.AO",,"  This paper is withdrawn.
","[{""version"":""v1"",""created"":""Thu, 18 Apr 1996 06:12:52 GMT""},{""version"":""v2"",""created"":""Sun, 13 Oct 1996 17:05:45 GMT""}]","2015-06-30"
"astro-ph/9604105","Andrew Liddle","Andrew R Liddle","Structure Formation in Inflationary Cosmologies","6 pages LaTeX file with one figure incorporated using epsf. To
  appear, proceedings of the Moriond conference on Microwave Background
  Anisotropies, March 1996",,,"SUSSEX-AST 96/4-2","astro-ph",,"  A brief account is given of large-scale structure modelling based on the
assumption that the initial perturbations arise from inflation. A recap is made
of the implications of inflation for large-scale structure; under the widely
applicable slow-roll paradigm inflation adds precisely two extra parameters to
the normal scenarios, which can be taken to be the tilt of the density
perturbation spectrum and the amplitude of gravitational waves. Some comments
are made about the {\it COBE} normalization. A short description is given of an
analysis combining cosmic microwave background anisotropy data and large-scale
structure data to constrain cosmological parameters, and the case of cold dark
matter models with a cosmological constant is used as a specific illustration.
","[{""version"":""v1"",""created"":""Thu, 18 Apr 1996 09:43:19 GMT""}]","2007-05-23"
"astro-ph/9604106","Jane Charlton","Jane C. Charlton (Pennsylvania State University) and Christopher W.
  Churchill (University of California, Santa Cruz)","QSO Absorption Line Systems as a Probe of Galaxies Like the Milky Way","10 pages, Latex file, and 3 PostScript figures; To appear in Galactic
  Chemodynamics 4: The History of the Milky Way and its Satellite System, eds.
  A. Burkert, D. Hartmann, and S. Majewski (PASP Conference Series); Available
  as a single PostScript file at http://www.ucolick.org/~cwc/qso/abstract.html",,,,"astro-ph",,"  Quasar absorption lines provide detailed information on the chemical,
kinematic, and ionization conditions in galaxies and their environments, and
provide a means for studying the evolution of these conditions back to the
epoch of the first quasars. Among the collection of absorbing structures along
the lines of sight to quasars there is an evolutionary sequence of galaxies
that represent predecessors of the Milky Way and provide a direct view of its
history. Absorption spectra of lines of sight through the Milky Way and through
nearby galaxies reveal a variety of chemical species, ionization conditions,
and kinematic substructures. These absorption profiles are produced by low
density gas distributed in rotating disks, high velocity halo clouds, satellite
galaxies and their debris, superbubbles, and other sub-galactic gaseous
fragments. Guided by knowledge gained by studying nearby galaxies, we are
developing interpretations of the variety of observed absorption signatures.
Images of .4 < z < 1 galaxies responsible for MgII absorption also allow us to
explore the statistical connections between the galaxy properties and their
gaseous content. Quasar absorption lines are fast becoming a powerful
evolutionary probe of gaseous conditions in the Milky Way.
","[{""version"":""v1"",""created"":""Thu, 18 Apr 1996 15:02:42 GMT""}]","2007-05-23"
"astro-ph/9604107","Ulrich Lindner","Ulrich Lindner, Uta Fritze - von Alvensleben, Klaus J. Fricke
  (Universitaets-Sternwarte Goettingen, Germany)","Implications for optical identifications of QSO absorption systems from
  galaxy evolution models","2 pages LaTeX uses lamuphys.sty, 1 POSTSCRIPT figure included, poster
  presented at the ESO Workshop ``The Early Universe with the VLT'' April 1-4,
  1996, the full poster is available at
  http://www.uni-sw.gwdg.de/~ulindner/preprints.html or at
  ftp://eden.uni-sw.gwdg.de/incoming/ulindner/VLTposteroiabs.ps.gz",,,,"astro-ph",,"  We have made an attempt to compile all currently available data on optically
identified QSO absorber systems (Lindner et al. 1996) to establish the status
quo of absorber galaxy data as a basis for the investigation of galaxy
evolution.
  We present a first comparison with results from our galaxy evolutionary
synthesis models to demonstrate the potential power of this kind of approach
and to guide future observations to identify absorber galaxies.
","[{""version"":""v1"",""created"":""Thu, 18 Apr 1996 15:22:43 GMT""}]","2016-08-30"
"astro-ph/9604108","Ulrich Lindner","Ulrich Lindner, Jaan Einasto, Maret Einasto, Klaus J. Fricke","Void Hierarchy -- a guiding principle to the study of faint structures
  in voids","2 pages LaTeX uses lamuphys.sty, 1 POSTSCRIPT figure included, poster
  presented at ESO Workshop ``The Early Universe with the VLT'' April 1-4,
  1996, the full poster is available at
  http://www.uni-sw.gwdg.de/~ulindner/preprints.html or at
  ftp://eden.uni-sw.gwdg.de/incoming/ulindner/VLTpostervoids.ps.gz",,,,"astro-ph",,"  We introduce Void Hierarchy as an important property of the Large--Scale
Structure in the Universe and demonstrate how it can be used to interpret
observations. Moreover the void hierarchy constraints any realistic galaxy and
structure formation scenario.
","[{""version"":""v1"",""created"":""Thu, 18 Apr 1996 15:33:38 GMT""}]","2007-05-23"
"chao-dyn/9604009","Jane Wang","V. Emsellem(1), L. Kadanoff(2), D. Lohse(2,3), P. Tabeling(1), and J.
  Wang(2) ((1) ens, paris, france, (2) univ. of chicago, (3) univ. of marburg)","Transitions and Probes in Turbulent Helium","uuencoded .ps files. submitted to PRE. 12 figures are sent upon
  request to jane wang (jw@control.uchicago.edu)",,"10.1103/PhysRevE.55.2672",,"chao-dyn nlin.CD",,"  Previous analysis of a Paris turbulence experiment \cite{zoc94,tab95} shows a
transition at the Taylor Reynolds number $\rel \approx 700$. Here correlation
function data is analyzed which gives further evidence for this transition. It
is seen in both the power spectrum and in structure function measurements. Two
possible explanations may be offered for this observed transition: that it is
intrinsic to the turbulence flow in this closed box experiment or that it is an
effect of a change in the flow around the anemometer. We particularly examine a
pair of ``probe effects''. The first is a thermal boundary layer which does
exist about the probe and does limit the probe response, particularly at high
frequencies. Arguments based on simulations of the response and upon
observations of dissipation suggests that this effect is only crucial beyond
$\rel\approx 2000$. The second effect is produced by vortex shedding behind the
probe. This has been seen to produce a large modification in some of the power
spectra for large $\rel$. It might also complicate the interpretation of the
experimental results. However, there seems to be a remaining range of data for
$\rel < 1300$ uncomplicated by these effects, and which are thus suggestive of
an intrinsic transition.
","[{""version"":""v1"",""created"":""Thu, 18 Apr 1996 04:32:10 GMT""}]","2009-10-28"
"chao-dyn/9604010","Jaroslaw Kwapien","Jaroslaw Kwapien (Institute of Nuclear Physics, Cracow, Poland),
  Wojciech Slomczynski (Institute of Mathematics, Jagiellonian University,
  Cracow, Poland) and Karol Zyczkowski (Institute of Physics, Jagiellonian
  University, Cracow, Poland)","Coherent States Measurement Entropy","revtex, 22 pages, 14 figures available upon request (e-mail:
  kwapien@castor.if.uj.edu.pl). Submitted to J.Phys. A","J. Phys. A30 1997 3175","10.1088/0305-4470/30/9/025",,"chao-dyn nlin.CD",,"  Coherent states (CS) quantum entropy can be split into two components. The
dynamical entropy is linked with the dynamical properties of a quantum system.
The measurement entropy, which tends to zero in the semiclassical limit,
describes the unpredictability induced by the process of a quantum approximate
measurement. We study the CS--measurement entropy for spin coherent states
defined on the sphere discussing different methods dealing with the time limit
$n \to \infty$. In particular we propose an effective technique of computing
the entropy by iterated function systems. The dependence of CS--measurement
entropy on the character of the partition of the phase space is analysed.
","[{""version"":""v1"",""created"":""Thu, 18 Apr 1996 15:06:56 GMT""}]","2009-10-28"
"cmp-lg/9604005","Thorsten Brants","Thorsten Brants (Universit""at des Saarlandes, Computational
  Linguistics, Saarbr""ucken, Germany)","Better Language Models with Model Merging","LaTeX, 9 pages. In Proceedings of EMNLP-96, Philadelphia, PA",,,,"cmp-lg cs.CL",,"  This paper investigates model merging, a technique for deriving Markov models
from text or speech corpora. Models are derived by starting with a large and
specific model and by successively combining states to build smaller and more
general models. We present methods to reduce the time complexity of the
algorithm and report on experiments on deriving language models for a speech
recognition task. The experiments show the advantage of model merging over the
standard bigram approach. The merged model assigns a lower perplexity to the
test set and uses considerably fewer states.
","[{""version"":""v1"",""created"":""Wed, 17 Apr 1996 17:11:39 GMT""}]","2008-02-03"
"cmp-lg/9604006","Ehud Reiter","Robert Dale (Microsoft Institute, Sydney, Australia) and Ehud Reiter
  (University of Aberdeen, UK)","The Role of the Gricean Maxims in the Generation of Referring
  Expressions","LaTeX file, needs aaai.sty (available from the cmp-lg macro library).
  This paper was presented at the 1996 AAAI Spring Symposium on Computational
  Models of Conversational Implicature",,,,"cmp-lg cs.CL",,"  Grice's maxims of conversation [Grice 1975] are framed as directives to be
followed by a speaker of the language. This paper argues that, when considered
from the point of view of natural language generation, such a characterisation
is rather misleading, and that the desired behaviour falls out quite naturally
if we view language generation as a goal-oriented process. We argue this
position with particular regard to the generation of referring expressions.
","[{""version"":""v1"",""created"":""Thu, 18 Apr 1996 09:16:53 GMT""}]","2008-02-03"
"cond-mat/9604114","Nigel Wilding","N.B. Wilding, M. Mueller and K. Binder","Chain length dependence of the polymer-solvent critical point parameters","13 Pages Revtex, 9 epsf embedded figs. gzipped tar file. To appear in
  J. Chem. Phys",,"10.1063/1.471889","KOMA-96-02","cond-mat chem-ph",,"  We report grand canonical Monte Carlo simulations of the critical point
properties of homopolymers within the Bond Fluctuation model. By employing
Configurational Bias Monte Carlo methods, chain lengths of up to N=60 monomers
could be studied. For each chain length investigated, the critical point
parameters were determined by matching the ordering operator distribution
function to its universal fixed-point Ising form. Histogram reweighting methods
were employed to increase the efficiency of this procedure. The results
indicate that the scaling of the critical temperature with chain length is
relatively well described by Flory theory, i.e. \Theta-T_c\sim N^{-0.5}. The
critical volume fraction, on the other hand, was found to scale like \phi_c\sim
N^{-0.37}, in clear disagreement with the Flory theory prediction \phi_c\sim
N^{-0.5}, but in good agreement with experiment. Measurements of the chain
length dependence of the end-to-end distance indicate that the chains are not
collapsed at the critical point.
","[{""version"":""v1"",""created"":""Wed, 17 Apr 1996 16:08:42 GMT""}]","2009-10-28"
"cond-mat/9604115","Junwu Gan","D-H Lee, Yu.A. Krotov, J. Gan and S.A. Kivelson","The Universal Composite Fermion Hall Conductance at $\nu=1/2$","An error in Eq.(2) of the previous manuscript is corrected 4 pages,
  REVtex, 2 figures. Submitted to PRL",,,,"cond-mat",,"  We show that at electronic filling factor $\nu=1/2$, the lowest Landau level
constraint implies that at any temperature, and in the presence of {\it any}
amount of particle-hole symmetric disorder, the {\it composite fermion} Hall
conductivity is precisely $-e^2/2h$. (The electronic Hall conductivity is
$e^2/2h$.) This is inconsistent with the response of a composite Fermi liquid
in {\it zero} effective magnetic field. We also examine perturbatively the
nature of the putative composite Fermi liquid in the case in which the bare
particles are anyons with ``nearly'' Fermi statistics.
","[{""version"":""v1"",""created"":""Thu, 18 Apr 1996 00:27:41 GMT""},{""version"":""v2"",""created"":""Tue, 23 Apr 1996 21:47:06 GMT""}]","2008-02-03"
"cond-mat/9604116","Uwe Grimm","Uwe Grimm and Michael Baake","Aperiodic Ising Models","37 pages, uuencoded gzipped PostScript file, to appear in: The
  Mathematics of Aperiodic Order, eds. R.V. Moody and J. Patera, in press","The Mathematics of Long-Range Aperiodic Order, NATO ASI series C
  489, edited by R.V. Moody (Kluwer, Dordrecht, 1997) pp. 199-237",,"ITFA-96-07","cond-mat",,"  We consider several aspects of non-periodic Ising models in one and two
dimensions. Here we are not interested in random systems, but rather in models
with intrinsic long-range aperiodic order. The most prominent examples in one
dimension are sequences generated by substitution rules on a finite alphabet.
The classical one-dimensional Ising chain as well as the Ising quantum chain
with coupling constants modulated according to substitution sequences are
considered. Both the distribution of Lee-Yang zeros on the unit circle in the
classical case and that of fermion frequencies in the quantum model show
characteristic gap structures which follow the gap labeling theorem of
Bellissard. We also investigate the zero-field Ising model on two-dimensional
aperiodic graphs, which are constructed from rectangular grids in the same
spirit as the so-called Labyrinth. Here, duality arguments and exact solutions
in the sense of commuting transfer matrices are used to gain information about
the critical behaviour.
","[{""version"":""v1"",""created"":""Thu, 18 Apr 1996 08:36:21 GMT""}]","2007-05-23"
"cond-mat/9604117","Alex Buchel","Alex Buchel and James P. Sethna (Cornell University)","Elastic Theory Has Zero Radius of Convergence","5 pages, no Postscript figures","Phys. Rev. Lett. 77, 1520 (1996)","10.1103/PhysRevLett.77.1520",,"cond-mat",,"  Nonlinear elastic theory studies the elastic constants of a material (such as
Young's modulus or bulk modulus) as a power series in the applied load. The
inverse bulk modulus K, for example depends on the compression P: $ {1/ K(P)} =
c_0 + c_1 P + c_2 P^2 \cdots + c_n P^n + \cdots $. Elastic materials that allow
cracks are unstable at finite temperature with respect to fracture under a
stretching load; as a result, the above power series has zero radius of
convergence and thus can at best be an asymptotic series. Considering thermal
nucleation of cracks in a two-dimensional isotropic, linear--elastic material
at finite temperature we compute the asymptotic form $ { c_{n+1}/ c_n}\to C
n^{1/2}$ as $n \rightarrow \infty$. We present an explicit formula for $C$ as a
function of temperature and material properties.
","[{""version"":""v1"",""created"":""Thu, 18 Apr 1996 10:14:50 GMT""}]","2009-10-28"
"cond-mat/9604119","Juan Luis Manes Palacios","Ana Achucarro and Juan L. Manes","Bogomolnyi-type bounds in unconventional superconductors without
  external magnetic fields","9 pages, Revtex, no figures, submitted to Solid State Communications",,"10.1016/0038-1098(96)00210-4","EHU-FT 95/15","cond-mat hep-ph hep-th",,"  Following Bogomolnyi's classical treatment of vortices, we develop a method
for finding rigorous lower bounds to the Landau-Ginzburg free energy describing
unconventional superconductors in the absence of external magnetic fields. This
allows a more precise description of the magnetic instabilities previously
considered in these systems. In particular, we derive new sufficient conditions
for the stability of both the homogeneous and inhomogeneous equilibrium states.
","[{""version"":""v1"",""created"":""Thu, 18 Apr 1996 14:19:39 GMT""}]","2009-10-28"
"cond-mat/9604120","Bruce Bassett","B. A. Bassett","The Error Function and The Kink Soliton","15 pages, 5 eps figure, Latex2e. To appear in Letters in Applied
  Mathematics. Significant additions and modifications",,,,"cond-mat",,"  We provide analytical functions approximating $\int e^{-x^2} dx$, the basis
of which is the kink soliton and which are both accurate (error $< 0.2 %$) and
simple. We demonstrate our results with some applications, particularly to the
generation of Gaussian random fields.
","[{""version"":""v1"",""created"":""Thu, 18 Apr 1996 14:52:19 GMT""},{""version"":""v2"",""created"":""Tue, 3 Feb 1998 00:18:36 GMT""}]","2008-02-03"
"cond-mat/9604121",,"D. F. Wang","Ferromagnetism in an itinerant electron system: Hubbard model on
  complete graph","8 pages, Latex, preprint of ETH-Lausanne",,,,"cond-mat",,"  In this work, the ground states of the Hubbard model on complete graph are
studied, for a finite lattice size $L$ and arbitrary on-site energy $U$. We
construct explicitly the ground states of the system when the number of the
electrons $N_e \ge L+1$. In particular, for $N_e=L+1$, the ground state is
ferromagnetic with total spin $s_g=(N_e-2)/2$.
","[{""version"":""v1"",""created"":""Thu, 18 Apr 1996 15:08:24 GMT""}]","2007-05-23"
"funct-an/9604008",,"Roberto Longo and John E. Roberts","A Theory of Dimension","AMS-TeX","K-Theory 11 1997, 103-159",,"Univ. Rome ""Tor Vergata"", Dept. Math. 4-95","funct-an math.OA",,"  In which a theory of dimension related to the Jones index and based on the
notion of conjugation is developed. An elementary proof of the additivity and
multiplicativity of the dimension is given and there is an associated trace.
Applications are given to a class of endomorphisms of factors and to the theory
of subfactors. An important role is played by a notion of amenability inspired
by the work of Popa.
","[{""version"":""v1"",""created"":""Wed, 17 Apr 1996 17:57:27 GMT""}]","2008-02-03"
