"adap-org/9603001","Dan Stein","C.M. Newman (Courant Institute of Mathematical Sciences, New York
  University, New York, NY), D.L. Stein (Department of Physics, University of
  Arizona, Tucson, AZ)","Response to Parisi's Comment on ``Non-mean-field behavior of realistic
  spin glasses''","RevTeX file, 2 pages",,,,"adap-org cond-mat nlin.AO",,"  We expand on why our recent results rule out the standard SK picture of
realistic spin glasses.
","[{""version"":""v1"",""created"":""Tue, 2 Apr 1996 19:02:10 GMT""}]","2008-02-03"
"chao-dyn/9603016","Andreas Wirzba","Andreas Wirzba (TH Darmstadt) and Per. E Rosenqvist (NBI)","Three disks in a row: A two-dimensional scattering analog of the
  double-well problem","replaced with published version (minor misprints corrected and
  references updated); 23 pages, LaTeX plus 8 Postscript figures, uses
  epsfig.sty, espf.sty, and epsf.tex","Phys. Rev. A 54 (1996) 2745-2754, A 55 (1997) 1555 (E)","10.1103/PhysRevA.54.2745","IKDA-96/8","chao-dyn cond-mat nlin.CD",,"  We investigate the scattering off three nonoverlapping disks equidistantly
spaced along a line in the two-dimensional plane with the radii of the outer
disks equal and the radius of the inner disk varied. This system is a
two-dimensional scattering analog to the double-well-potential (bound state)
problem in one dimension. In both systems the symmetry splittings between
symmetric and antisymmetric states or resonances, respectively, have to be
traced back to tunneling effects, as semiclassically the geometrical periodic
orbits have no contact with the vertical symmetry axis. We construct the
leading semiclassical ``creeping'' orbits that are responsible for the symmetry
splitting of the resonances in this system. The collinear three-disk-system is
not only one of the simplest but also one of the most effective systems for
detecting creeping phenomena. While in symmetrically placed n-disk systems
creeping corrections affect the subleading resonances, they here alone
determine the symmetry splitting of the 3-disk resonances in the semiclassical
calculation. It should therefore be considered as a paradigm for the study of
creeping effects. PACS numbers: 03.65.Sq, 03.20.+i, 05.45.+b
","[{""version"":""v1"",""created"":""Tue, 2 Apr 1996 17:07:20 GMT""},{""version"":""v2"",""created"":""Fri, 1 Nov 1996 15:02:09 GMT""}]","2008-02-03"
"chao-dyn/9603017",,"Alexander Fel'shtyn","Dynamical Zeta Functions, Nielsen theory and Reidemeister torsion","151 pages, LATeX, 298 KB, no figures, minor grammatical changes",,,"University Greifswald (April ,1996)","chao-dyn alg-geom dg-ga funct-an math.AG math.DG math.FA nlin.CD",,"  The paper consists of four parts. Part I presents a brief survey of the
Nielsen fixed point theory. Part II deals with dynamical zeta functions
connected with Nielsen fixed point theory. Part III is concerned with
congruences for the Reidemeister and Nielsen numbers. Part IV deals with the
Reidemeister torsion . In Chapter 2 we prove that the Reidemeister zeta
function of a group endomorphism is a rational function with functional
equation in the following cases: the group is finitely generated and an
endomorphism is eventually commutative; the group is finite ; the group is a
direct sum of a finite group and a finitely generated free abelian group; the
group is finitely generated, nilpotent and torsion free. In Chapter 3 we show
that the Nielsen zeta function has a positive radius of convergence which
admits a sharp estimate in terms of the topological entropy of the map. For a
periodic map of a compact polyhedron we prove that Nielsen zeta function is a
radical of a rational function. In sect ion 3.4 and 3.5 we give sufficient
conditions under which the Nielsen zeta function coincides with the
Reidemeister zeta function and is a rational function with functional equation.
In Chapter 5 we prove analog of Dold congruences for Reidemeister and Nielsen
numbers. In section 6.2 we establish a connection between the Reidemeister
torsion and Reidemeister zeta function. In section 6.3 we establish a
connection between the Reidemeister torsion of a mapping torus, the
eta-invariant, the Rochlin invariant and the multipliers of the theta function.
In section 6.4 we describe with the help of the Reidemeister torsion the
connection between the topology of the attraction domain of an attractor and
the dynamic of the system on the attractor.
","[{""version"":""v1"",""created"":""Tue, 2 Apr 1996 18:40:59 GMT""},{""version"":""v2"",""created"":""Mon, 23 Sep 1996 14:13:27 GMT""}]","2008-02-03"
"chao-dyn/9603018","Piotr Garbaczewski","P. Garbaczewski, G. Kondrat, R. Olkiewicz","Burgers Velocity Fields and the Electromagnetic Forcing in
  Schroedinger's Interpolating Dynamics","Latex file, 27 pp","Acta Phys. Pol. B 28, (1997), 1731-1746",,,"chao-dyn nlin.CD quant-ph",,"  We explore a connection of the deterministically forced Burgers equation for
local velocity fields with probabilistic solutions of the Schr\""{o}dinger
boundary data problem. An issue of deducing the most likely interpolating
dynamics from the given initial and terminal probability density data is here
investigated to give account of the perturbation by external electromagnetic
fields. A suitable extension of the Hopf-Cole logarithmic transformation allows
to deal with nonconservative drift fields and implies the validity of
appropriately generalised heat equations, which completely determine the
dynamics.
","[{""version"":""v1"",""created"":""Wed, 3 Apr 1996 13:23:19 GMT""}]","2008-02-03"
"cond-mat/9604015","Bernd Rosenow","B. Rosenow, R. Oppermann (Univ. Wuerzburg)","Tricritical behaviour of Ising spin glasses with charge fluctuations","4 pages, 1 Postscript figure, minor changes","Phys. Rev. Lett. 77, 1608 (1996)","10.1103/PhysRevLett.77.1608",,"cond-mat",,"  We show that tricritical points displaying unusal behaviour exist in phase
diagrams of fermionic Ising spin glasses as the chemical potential or the
filling assumes characteristic values. Exact results for infinite range
interaction and a one loop renormalization group analysis of thermal
tricritical fluctuations for finite range models are presented. Surprising
similarities with zero temperature transitions and a new $T=0$ tricritical
point of metallic quantum spin glasses are derived.
","[{""version"":""v1"",""created"":""Tue, 2 Apr 1996 17:44:32 GMT""},{""version"":""v2"",""created"":""Tue, 8 Oct 1996 14:27:56 GMT""}]","2009-10-28"
"cond-mat/9604016","David Carpentier","D.Carpentier, P. Le Doussal and T. Giamarchi","Stability of the Bragg glass phase in a layered geometry","RevTeX. Submitted to EPL","Euro.Phys.Lett. 35 (1996), p. 379","10.1209/epl/i1996-00123-2",,"cond-mat",,"  We study the stability of the dislocation-free Bragg glass phase in a layered
geometry consisting of coupled parallel planes of d=1+1 vortex lines lying
within each plane, in the presence of impurity disorder. Using renormalization
group, replica variational calculations and physical arguments we show that at
temperatures $T<T_G$ the 3D Bragg glass phase is always stable for weak
disorder. It undergoes a weakly first order transition into a decoupled 2D
vortex glass upon increase of disorder.
","[{""version"":""v1"",""created"":""Tue, 2 Apr 1996 19:20:10 GMT""}]","2009-10-28"
"cond-mat/9604017","Daniel Dominguez","Daniel Dominguez (Centro Atomico Bariloche, Argentina)","Vortex dynamics in disordered Josephson junction arrays: from plastic
  flow to flux flow","9 pages. 3 Figures available upon request. Presented in the Workshop
  on Josephson Junction Arrays, ICTP (August 1995). To appear in Physica B
  (1996)",,"10.1016/0921-4526(96)00208-6",,"cond-mat",,"  We study the dynamics of Josephson junction arrays with positional disorder
and driven by an external current. We consider weak magnetic fields,
corresponding to a frustration $f=n+1/25$ with $n$ integer. We find that above
the critical current $i_c$ there is a plastic flow of vortices, where most of
the vortices are pinned and only a few vortices flow through channels. This
dynamical regime is characterized by strong fluctuations of the total
vorticity. The number of the flow channels grow with increasing bias current.
At larger currents there is a dynamical regime characterized by the homogeneous
motion of all the vortices, i.e. a flux flow regime. We find a dynamical phase
transition between the plastic flow and the flux flow regimes when analyzing
voltage-voltage correlation functions.
","[{""version"":""v1"",""created"":""Tue, 2 Apr 1996 23:02:38 GMT""}]","2009-10-28"
"funct-an/9604001","John Quigg","John Quigg (Arizona State University), Iain Raeburn (University of
  Newcastle)","Characterisations of crossed products by partial actions","28 pages, AMS-LaTeX",,,,"funct-an math.OA",,"  Partial actions of discrete groups on $C^*$-algebras and the associated
crossed products have been studied by Exel and McClanahan. We characterise
these crossed products in terms of the spectral subspaces of the dual coaction,
generalising and simplifying a theorem of Exel for single partial
automorphisms. We then use this characterisation to identify the Cuntz algebras
and the Toeplitz algebras of Nica as crossed products by partial actions.
","[{""version"":""v1"",""created"":""Wed, 3 Apr 1996 00:57:46 GMT""}]","2008-02-03"
"funct-an/9604002","John Quigg","John Quigg (Arizona State University)","Crossed product duality for partial $C^*$-automorphisms","18 pages, AMS-LaTeX",,,,"funct-an math.OA",,"  For partial automorphisms of $C^*$-algebras, Takai-Takesaki crossed product
duality tends to fail, in proportion to the extent to which the partial
automorphism is not an automorphism.
","[{""version"":""v1"",""created"":""Wed, 3 Apr 1996 01:36:25 GMT""}]","2008-02-03"
"gr-qc/9604005","Stefan ]minneborg","Stefan Aminneborg, Ingemar Bengtsson, Soren Holst, Peter Peldan
  (Fysikum, Stockholm University)","Making Anti-de Sitter Black Holes","LaTeX, 10 pages, 6 postscript figures, uses epsf.tex","Class.Quant.Grav. 13 (1996) 2707-2714","10.1088/0264-9381/13/10/010","USITP 96-4","gr-qc",,"  It is known from the work of Banados et al. that a space-time with event
horizons (much like the Schwarzschild black hole) can be obtained from 2+1
dimensional anti-de Sitter space through a suitable identification of points.
We point out that this can be done in 3+1 dimensions as well. In this way we
obtain black holes with event horizons that are tori or Riemann surfaces of
genus higher than one. They can have either one or two asymptotic regions.
Locally, the space-time is isometric to anti-de Sitter space.
","[{""version"":""v1"",""created"":""Tue, 2 Apr 1996 18:30:41 GMT""}]","2009-10-28"
"gr-qc/9604006","Julio Cesar Fabris","Julio C. Fabris and Joel Tossa","Scalar Perturbations and Conformal Transformation","Latex, 14 pages","Grav.Cosmol. 3 (1997) 165-171",,"IC/95/379","gr-qc",,"  The non-minimal coupling of gravity to a scalar field can be transformed into
a minimal coupling through a conformal transformation. We show how to connect
the results of a perturbation calculation, performed around a
Friedmann-Robertson-Walker background solution, before and after the conformal
transformation. We work in the synchronous gauge, but we discuss the
implications of employing other formalisms.
","[{""version"":""v1"",""created"":""Tue, 2 Apr 1996 17:03:34 GMT""}]","2007-05-23"
"gr-qc/9604007","Matt Visser","Matt Visser (Washington University)","Gravitational vacuum polarization I: Energy conditions in the
  Hartle--Hawking vacuum","19 pages, ReV_TeX, epsf.sty, 6 eps figures","Phys.Rev.D54:5103-5115,1996","10.1103/PhysRevD.54.5103",,"gr-qc hep-th",,"  It is well-known that gravitationally induced vacuum polarization often
violates the point-wise energy conditions and sometimes violates the averaged
energy conditions. In this paper I begin a systematic attack on the question of
where and by how much the various energy conditions are violated. I work in the
test-field limit, and focus on conformally coupled massless scalar fields in
Schwarzschild spacetime, using the Hartle--Hawking vacuum. I invoke a mixture
of analytical and numerical techniques, and critically compare the qualitative
behaviour to be expected from the Page approximation with that adduced from the
numerical calculations of Anderson, Hiscock, and Samuel. I show that the
various point-wise energy conditions are violated in a series of onion-like
layers located between the unstable photon orbit and the event horizon, the
sequence of violations being DEC, WEC, and (NEC+SEC). Furthermore the ANEC is
violated for *some* of the null geodesics trapped in this region. Having
established the basic machinery in this paper, the Boulware vacuum will be
treated in a companion paper, while other exensions should be straightforward.
","[{""version"":""v1"",""created"":""Wed, 3 Apr 1996 00:14:08 GMT""}]","2011-09-09"
"gr-qc/9604008","Matt Visser","Matt Visser (Washington University)","Gravitational vacuum polarization II: Energy conditions in the Boulware
  vacuum","8 pages, ReV_TeX","Phys.Rev.D54:5116-5122,1996","10.1103/PhysRevD.54.5116",,"gr-qc hep-th",,"  I show that in the Boulware vacuum (1) all standard (point-wise and averaged)
energy conditions are violated throughout the exterior region---all the way
from spatial infinity down to the event horizon, and (2) outside the event
horizon the standard point-wise energy conditions are violated in a maximal
manner: they are violated at all points and for all null/timelike vectors. (The
region inside the event horizon is considerably messier, and of dubious
physical relevance. Nevertheless the standard point-wise energy conditions also
seem to be violated even inside the event horizon.) This is rather different
from the case of the Hartle--Hawking vacuum, wherein violations of the energy
conditions were confined to the region inside the unstable photon orbit. These
calculations are for the quantum stress-energy tensor corresponding to a
conformally-coupled massless scalar field in the Boulware vacuum. I work in the
test-field limit, restrict attention to the Schwarzschild geometry, and invoke
a mixture of analytical and numerical techniques. This *suggests* that general
self-consistent solutions of semiclassical quantum gravity might *not* satisfy
the energy conditions, and may in fact for certain quantum fields and certain
quantum states violate *all* the energy conditions.
","[{""version"":""v1"",""created"":""Wed, 3 Apr 1996 01:31:02 GMT""}]","2011-09-09"
"gr-qc/9604009","Matt Visser","Matt Visser (Washington University)","Gravitational vacuum polarization III: Energy conditions in the (1+1)
  Schwarzschild spacetime","7 pages, ReV_TeX","Phys.Rev.D54:5123-5128,1996","10.1103/PhysRevD.54.5123",,"gr-qc hep-th",,"  Building on a pair of earlier papers, I investigate the various point-wise
and averaged energy conditions for the quantum stress-energy tensor
corresponding to a conformally-coupled massless scalar field in the in the
(1+1)-dimensional Schwarzschild spacetime. Because the stress-energy tensors
are analytically known, I can get exact results for the Hartle--Hawking,
Boulware, and Unruh vacua. This exactly solvable model serves as a useful
sanity check on my (3+1)-dimensional investigations wherein I had to resort to
a mixture of analytic approximations and numerical techniques. Key results in
(1+1) dimensions are: (1) NEC is satisfied outside the event horizon for the
Hartle--Hawking vacuum, and violated for the Boulware and Unruh vacua. (2) DEC
is violated everywhere in the spacetime (for any quantum state, not just the
standard vacuum states).
","[{""version"":""v1"",""created"":""Wed, 3 Apr 1996 01:36:01 GMT""}]","2011-09-09"
"hep-lat/9604001","Wolfgang Franzki","W. Franzki, J. Jersak. R. Welters (RWTH Aachen, Germany)","Two-dimensional model of dynamical fermion mass generation in strongly
  coupled gauge theories","18 pages, LaTeX2e, requires packages rotating.sty and curves.sty from
  CTAN","Phys.Rev. D54 (1996) 7741-7750","10.1103/PhysRevD.54.7741","Juelich, HLRZ 06/96; Aachen, PITHA 96/11","hep-lat",,"  We generalize the $N_F=2$ Schwinger model on the lattice by adding a charged
scalar field. In this so-called $\chi U\phi_2$ model the scalar field shields
the fermion charge, and a neutral fermion, acquiring mass dynamically, is
present in the spectrum. We study numerically the mass of this fermion at
various large fixed values of the gauge coupling by varying the effective
four-fermion coupling, and find an indication that its scaling behavior is the
same as that of the fermion mass in the chiral Gross-Neveu model. This suggests
that the $\chi U\phi_2$ model is in the same universality class as the
Gross-Neveu model, and thus renormalizable and asymptotic free at arbitrary
strong gauge coupling.
","[{""version"":""v1"",""created"":""Wed, 3 Apr 1996 13:15:21 GMT""}]","2009-10-28"
"hep-lat/9604002","Christof Gattringer","Christof Gattringer","Lattice Regularization of the Chiral Schwinger Model","18 pages","Nucl.Phys. B476 (1996) 374-396","10.1016/0550-3213(96)00361-6","MPI-PhT/96-23, UNIGRAZ-UTP-03-04-96","hep-lat hep-th",,"  We analyze the chiral Schwinger model on an infinite lattice using the
continuum definition of the fermion determinant and a linear interpolation of
the lattice gauge fields. For non-compact and Wilson formulation of the gauge
field action it is proven that the effective lattice model is
Osterwalder-Schrader positive, which is a sufficient condition for the
reconstruction of a physical Hilbert space from the model defined on a
Euclidean lattice. For the non-compact model we furthermore establish the
existence of critical points where the corresponding continuum theory can be
reconstructed. We show that the continuum limit for the two-point functions of
field strength and chiral densities can be controlled analytically. The article
ends with some remarks on fermionic observables.
","[{""version"":""v1"",""created"":""Wed, 3 Apr 1996 15:34:23 GMT""}]","2009-10-28"
