"acc-phys/9604002",,"B. Norum and R. Rossmanith","Polarized Beams in a Muon Collider","ps-file","Nucl.Phys.Proc.Suppl.51A:191-200,1996",,"BNL-CAS-TH-10-96","acc-phys physics.acc-ph",,"  This paper presents a first overview on how to obtain and maintain polarized
beams in a muon-collider
","[{""version"":""v1"",""created"":""Thu, 11 Apr 1996 14:34:03 GMT""}]","2009-07-28"
"astro-ph/9604056","J. Kirk","J.G. Kirk (1), P. Duffy (1), Y.A. Gallant (2) ((1) MPI Kernphysik,
  Heidleberg, (2) Sterrenkundig Instituut, Utrecht)","Stochastic particle acceleration at shocks in the presence of braided
  magnetic fields","7 pages, 3 figures A&A style LaTeX, to appear in Astronomy &
  Astrophysics","Astron.Astrophys. 314 (1996) 1010-1016",,"MPK-ASTRO-96-03","astro-ph",,"  The theory of diffusive acceleration of energetic particles at shock fronts
assumes charged particles undergo spatial diffusion in a uniform magnetic
field. If, however, the magnetic field is not uniform, but has a stochastic or
braided structure, the transport of charged particles across the average
direction of the field is more complicated. Assuming quasi-linear behaviour of
the field lines, the particles undergo sub-diffusion on short time scales. We
derive the propagator for such motion, which differs from the Gaussian form
relevant for diffusion, and apply it to a configuration with a plane shock
front whose normal is perpendicular to the average field direction. Expressions
are given for the acceleration time as a function of the diffusion coefficient
of the wandering magnetic field lines and the spatial diffusion coefficient of
the charged particles parallel to the local field. In addition we calculate the
spatial dependence of the particle density in both the upstream and downstream
plasmas. In contrast to the diffusive case, the density of particles at the
shock front is lower than it is far downstream. This is a consequence of the
partial trapping of particles by structures in the magnetic field. As a result,
the spectrum of accelerated particles is a power-law in momentum which is
steeper than in the diffusive case. For a phase- space density $f\propto
p^{-s}$, we find $s=\sdiff[1+1/(2\rcomp)]$, where $\rcomp$ is the compression
ratio of the shock front and $\sdiff$ is the standard result of diffusive
acceleration: $\sdiff=3\rcomp/(\rcomp-1)$. A strong shock in a monatomic ideal
gas yields a spectrum of $s=4.5$. In the case of electrons, this corresponds to
a radio synchrotron spectral index of $\alpha=0.75$.
","[{""version"":""v1"",""created"":""Thu, 11 Apr 1996 14:40:38 GMT""}]","2007-05-23"
"astro-ph/9604057","Jurgen Knoedlseder","Juergen Knoedlseder, Uwe Oberlack, Roland Diehl, Wan Chen, and Neil
  Gehrels","Search for 1.809 MeV Emission of 26Al from nearby Supernova Remnants
  using COMPTEL","4 pages, accepted for publication in A&AS",,,,"astro-ph",,"  We report the negative results of our searches in COMPTEL data for 1.809 MeV
gamma-ray line emission from four localized regions which contain nearby
supernova remnants (SNRs). The upper flux limits (2 Sigma) are found to be in
the range of 1.4*10e-5 to 2.4*10e-5 photons/s/cm/cm. These upper limits do not
severely constrain the theoretical 26Al yields from individual core collapse
supernovae due to large uncertainties in the SNR distances and the nature of
the progenitor stars.
","[{""version"":""v1"",""created"":""Thu, 11 Apr 1996 14:12:55 GMT""}]","2007-05-23"
"atom-ph/9604003","Dima Verner","D. A. Verner, E. M. Verner, G. J. Ferland (University of Kentucky)","Atomic Data for Permitted Resonance Lines of Atoms and Ions from H to
  Si, and S, Ar, Ca and Fe","6 pages of text, latex, 1 figure, 4 tables; tables in ASCII format
  available at ftp://asta.pa.uky.edu/dima/lines/ or at
  http://www.pa.uky.edu/~verner/atom.html Accepted by Atomic Data Nucl. Data
  Tables",,"10.1006/adnd.1996.0018",,"atom-ph astro-ph physics.atom-ph",,"  We list vacuum wavelengths, energy levels, statistical weights, transition
probabilities and oscillator strengths for permitted resonance spectral lines
of all ions of 18 astrophysically important elements (H through Si, S, Ar, Ca,
Fe). Using a compilation of experimental energy levels, we derived accurate
wavelengths for 5599 lines of 1828 ground-term multiplets which have gf-values
calculated in the Opacity Project. We recalculated the Opacity Project
multiplet gf-values to oscillator strengths and transition probabilities of
individual lines. For completeness, we added 372 resonance lines of NeI, ArI,
FeI and FeII ions which are not covered by the Opacity Project.
Intercombination and forbidden lines are not included in the present
compilation.
","[{""version"":""v1"",""created"":""Wed, 10 Apr 1996 21:35:26 GMT""}]","2009-10-28"
"cmp-lg/9604001","Kemal Oflazer","Kemal Oflazer and Gokhan Tur (Department of Computer Engineering,
  Bilkent University, Ankara Turkey)","Combining Hand-crafted Rules and Unsupervised Learning in
  Constraint-based Morphological Disambiguation","gzipped and uuencoded postscript, 13 pages. Also available as
  ftp://ftp.cs.bilkent.edu.tr/pub/ko/emnlp.ps.z",,,,"cmp-lg cs.CL",,"  This paper presents a constraint-based morphological disambiguation approach
that is applicable languages with complex morphology--specifically
agglutinative languages with productive inflectional and derivational
morphological phenomena. In certain respects, our approach has been motivated
by Brill's recent work, but with the observation that his transformational
approach is not directly applicable to languages like Turkish. Our system
combines corpus independent hand-crafted constraint rules, constraint rules
that are learned via unsupervised learning from a training corpus, and
additional statistical information from the corpus to be morphologically
disambiguated. The hand-crafted rules are linguistically motivated and tuned to
improve precision without sacrificing recall. The unsupervised learning process
produces two sets of rules: (i) choose rules which choose morphological parses
of a lexical item satisfying constraint effectively discarding other parses,
and (ii) delete rules, which delete parses satisfying a constraint. Our
approach also uses a novel approach to unknown word processing by employing a
secondary morphological processor which recovers any relevant inflectional and
derivational information from a lexical item whose root is unknown. With this
approach, well below 1 percent of the tokens remains as unknown in the texts we
have experimented with. Our results indicate that by combining these
hand-crafted,statistical and learned information sources, we can attain a
recall of 96 to 97 percent with a corresponding precision of 93 to 94 percent,
and ambiguity of 1.02 to 1.03 parses per token.
","[{""version"":""v1"",""created"":""Thu, 11 Apr 1996 11:47:25 GMT""},{""version"":""v2"",""created"":""Fri, 12 Apr 1996 11:24:29 GMT""}]","2008-02-03"
"cmp-lg/9604002","Kemal Oflazer","Kemal Oflazer and Okan Yilmaz (Department of Computer Engineering,
  Bilkent University, Ankara, Turkey)","A Constraint-based Case Frame Lexicon","gzipped, uuencoded postscript, 6 pages. Also available as
  ftp://ftp.cs.bilkent.edu.tr/pub/ko/coling96-ccl.ps.z ; To Appear in
  Proceedings of COLING 96, Copenhaged, Denmark, August 1996",,,,"cmp-lg cs.CL",,"  We present a constraint-based case frame lexicon architecture for
bi-directional mapping between a syntactic case frame and a semantic frame. The
lexicon uses a semantic sense as the basic unit and employs a multi-tiered
constraint structure for the resolution of syntactic information into the
appropriate senses and/or idiomatic usage. Valency changing transformations
such as morphologically marked passivized or causativized forms are handled via
lexical rules that manipulate case frames templates. The system has been
implemented in a typed-feature system and applied to Turkish.
","[{""version"":""v1"",""created"":""Thu, 11 Apr 1996 12:18:42 GMT""}]","2008-02-03"
"cmp-lg/9604003","Kemal Oflazer","Kemal Oflazer (Department of Computer Engineering, Bilkent University,
  Ankara, Turkey)","Error-tolerant Tree Matching","gzipped and uuencoded postscript, 5 pages. Minor fix in one of the
  figures. Also available as
  ftp://ftp.cs.bilkent.edu.tr/pub/ko/coling96-ettm.ps.z",,,,"cmp-lg cs.CL",,"  This paper presents an efficient algorithm for retrieving from a database of
trees, all trees that match a given query tree approximately, that is, within a
certain error tolerance. It has natural language processing applications in
searching for matches in example-based translation systems, and retrieval from
lexical databases containing entries of complex feature structures. The
algorithm has been implemented on SparcStations, and for large randomly
generated synthetic tree databases (some having tens of thousands of trees) it
can associatively search for trees with a small error, in a matter of tenths of
a second to few seconds.
","[{""version"":""v1"",""created"":""Thu, 11 Apr 1996 13:05:15 GMT""},{""version"":""v2"",""created"":""Wed, 17 Apr 1996 08:37:26 GMT""}]","2008-02-03"
"cond-mat/9604061",,"T. K. Lee and C. T. Shih","Dispersion of a single hole in the t-J model","LaTex file, 5 pages with 5 embedded eps figures",,"10.1103/PhysRevB.55.5983",,"cond-mat",,"  The dispersion of a single hole in the t-J model obtained by the exact result
of 32 sites and the results obtained by self-consistent Born approximation and
the Green function Monte Carlo method can be simply derived by a mean-field
theory with d-RVB and antiferromagnetic order parameters. In addition, it
offers a simple explanation for the difference observed between those results.
The presence of the extended van Hove region at (pi,0) is a consequence of the
d-RVB pairing independenct of the antiferromagnetic order. Results including t'
and t"" are also presented and explained consistently in a similar way.
","[{""version"":""v1"",""created"":""Thu, 11 Apr 1996 02:32:15 GMT""},{""version"":""v2"",""created"":""Wed, 9 Oct 1996 15:47:12 GMT""}]","2009-10-28"
"cond-mat/9604062","Paul Goldbart","Paul M. Goldbart (1), Horacio E. Castillo (1), Annette Zippelius (2)
  ((1) University of Illinois at Urbana-Champaign, (2) Universitaet Goettingen)","Randomly Crosslinked Macromolecular Systems: Vulcanisation Transition to
  and Properties of the Amorphous Solid State","Review Article, REVTEX, 58 pages, 3 PostScript figures","Adv. Phys. 45, 393 (1996).","10.1080/00018739600101527","University of Illinois at Urbana-Champaign preprint P-95-09-062-iii","cond-mat",,"  As Charles Goodyear discovered in 1839, when he first vulcanised rubber, a
macromolecular liquid is transformed into a solid when a sufficient density of
permanent crosslinks is introduced at random. At this continuous equi- librium
phase transition, the liquid state, in which all macromolecules are
delocalised, is transformed into a solid state, in which a nonzero fraction of
macromolecules have spontaneously become localised. This solid state is a most
unusual one: localisation occurs about mean positions that are distributed
homogeneously and randomly, and to an extent that varies randomly from monomer
to monomer. Thus, the solid state emerging at the vulcanisation transition is
an equilibrium amorphous solid state: it is properly viewed as a solid state
that bears the same relationship to the liquid and crystalline states as the
spin glass state of certain magnetic systems bears to the paramagnetic and
ferromagnetic states, in the sense that, like the spin glass state, it is
diagnosed by a subtle order parameter.
  In this review we give a detailed exposition of a theoretical approach to the
physical properties of systems of randomly, permanently crosslinked
macromolecules. Our primary focus is on the equilibrium properties of such
systems, especially in the regime of Goodyear's vulcanisation transition.
","[{""version"":""v1"",""created"":""Wed, 10 Apr 1996 19:32:07 GMT""}]","2015-06-25"
"cond-mat/9604063","John Golden","John M. Golden, Bertrand I. Halperin (Harvard)","Higher-Order Results for the Relation between Channel Conductance and
  the Coulomb Blockade for Two Tunnel-Coupled Quantum Dots","27 pages, 1 RevTeX file with 4 embedded Postscript figures. Uses epsf",,"10.1103/PhysRevB.54.16757",,"cond-mat",,"  We extend earlier results on the relation between the dimensionless tunneling
channel conductance $g$ and the fractional Coulomb blockade peak splitting $f$
for two electrostatically equivalent dots connected by an arbitrary number
$N_{\text{ch}}$ of tunneling channels with bandwidths $W$ much larger than the
two-dot differential charging energy $U_{2}$. By calculating $f$ through second
order in $g$ in the limit of weak coupling ($g \rightarrow 0$), we illuminate
the difference in behavior of the large-$N_{\text{ch}}$ and
small-$N_{\text{ch}}$ regimes and make more plausible extrapolation to the
strong-coupling ($g \rightarrow 1$) limit. For the special case of
$N_{\text{ch}}=2$ and strong coupling, we eliminate an apparent ultraviolet
divergence and obtain the next leading term of an expansion in $(1-g)$. We show
that the results we calculate are independent of such band structure details as
the fraction of occupied fermionic single-particle states in the weak-coupling
theory and the nature of the cut-off in the bosonized strong-coupling theory.
The results agree with calculations for metallic junctions in the
$N_{\text{ch}} \rightarrow \infty$ limit and improve the previous good
agreement with recent two-channel experiments.
","[{""version"":""v1"",""created"":""Wed, 10 Apr 1996 22:14:01 GMT""}]","2009-10-28"
"cond-mat/9604064",,"Y. Alhassid and H. Attias","Universal Parametric Correlations of Conductance Peaks in Quantum Dots","12 pages, RevTex, 2 Postscript figures","Phys. Rev. Lett. 76 (1996) 1711","10.1103/PhysRevLett.76.1711",,"cond-mat",,"  We compute the parametric correlation function of the conductance peaks in
chaotic and weakly disordered quantum dots in the Coulomb blockade regime and
demonstrate its universality upon an appropriate scaling of the parameter. For
a symmetric dot we show that this correlation function is affected by breaking
time-reversal symmetry but is independent of the details of the channels in the
external leads. We derive a new scaling which depends on the eigenfunctions
alone and can be extracted directly from the conductance peak heights. Our
results are in excellent agreement with model simulations of a disordered
quantum dot.
","[{""version"":""v1"",""created"":""Thu, 11 Apr 1996 01:56:15 GMT""}]","2009-10-28"
"cond-mat/9604065","Jun'ichi Inoue","Jun-ichi Inoue (Department of Physics, Tokyo Institute of Technology
  and RIKEN)","Retrieval Phase Diagrams of Non-monotonic Hopfield Networks","Latex 13 pages using IOP style file","J.Phys.A: Math.Gen. 29 (1996) 4815-4826","10.1088/0305-4470/29/16/008",,"cond-mat.dis-nn",,"  We investigate the retrieval phase diagrams of an asynchronous
fully-connected attractor network with non-monotonic transfer function by means
of a mean-field approximation. We find for the noiseless zero-temperature case
that this non-monotonic Hopfield network can store more patterns than a network
with monotonic transfer function investigated by Amit et al. Properties of
retrieval phase diagrams of non-monotonic networks agree with the results
obtained by Nishimori and Opris who treated synchronous networks. We also
investigate the optimal storage capacity of the non-monotonic Hopfield model
with state-dependent synaptic couplings introduced by Zertuche et el. We show
that the non-monotonic Hopfield model with state-dependent synapses stores more
patterns than the conventional Hopfield model. Our formulation can be easily
extended to a general transfer function.
","[{""version"":""v1"",""created"":""Thu, 11 Apr 1996 03:53:21 GMT""},{""version"":""v2"",""created"":""Mon, 25 Aug 1997 23:41:24 GMT""}]","2009-10-28"
"cond-mat/9604066","Gerhard Muller","Yongmin Yu and Gerhard M\""uller (University of Rhode Island), V.S.
  Viswanath (Oak Ridge National Laboratory)","Dimer and N\'eel order-parameter fluctuations in the spin-fluid phase of
  the s=1/2 spin chain with first and second neighbor couplings","RevTex file (7 pages), 8 figures (uuencoded ps file) available from
  authors",,"10.1103/PhysRevB.54.9242",,"cond-mat",,"  The dynamical properties at T=0 of the one-dimensional (1D) s=1/2
nearest-neighbor (nn) XXZ model with an additional isotropic
next-nearest-neighbor (nnn) coupling are investigated by means of the recursion
method in combination with techniques of continued-fraction analysis. The focus
is on the dynamic structure factors S_{zz}(q,\omega) and S_{DD}(q,\omega),
which describe (for q=\pi) the fluctuations of the N\'eel and dimer order
parameters, respectively. We calculate (via weak-coupling continued-fraction
analysis) the dependence on the exchange constants of the infrared exponent,
the renormalized bandwidth of spinon excitations, and the spectral-weight
distribution in S_{zz}(\pi,\omega) and S_{DD}(\pi,\omega), all in the
spin-fluid phase, which is realized for planar $nn$ anisotropy and sufficiently
weak nnn coupling. For some parameter values we find a discrete branch of
excitations above the spinon continuum. They contribute to S_{zz}(q,\omega) but
not to S_{DD}(q,\omega).
","[{""version"":""v1"",""created"":""Thu, 11 Apr 1996 13:55:09 GMT""}]","2009-10-28"
"cond-mat/9604067","Mehran Kardar","Ramin Golestanian, Mark Goulian, and Mehran Kardar","Fluctuation-Induced Interactions between Rods on a Membrane","REVTEX, 14 pages, with 2 Postscript figures",,"10.1103/PhysRevE.54.6725","MIT-CMT-MK-96-1","cond-mat",,"  We consider the interaction between two rods embedded in a fluctuating
surface. The modification of fluctuations by the rods leads to an attractive
long-range interaction between them. We consider fluctuations governed by
either surface tension (films) or bending rigidity (membranes). In both cases
the interaction falls off with the separation of the rods as $1/R^4$. The
orientational part of the interaction is proportional to $\cos^2\left[
\theta_1+\theta_2 \right]$ in the former case, and to $\cos^2\left[
2\left(\theta_1+\theta_2\right) \right]$ in the latter, where $\theta_1$ and
$\theta_2$ are angles between the rods and the line joining them. These
interactions are somewhat reminiscent of dipolar forces and will tend to align
collections of such rods into chains.
","[{""version"":""v1"",""created"":""Thu, 11 Apr 1996 14:52:28 GMT""}]","2009-10-28"
